[0.00-8.00] 大家好,今天是2025年6月12日
[614.18-621.18] 我們的採購團隊,因為他們的因應措施就是預測可能短缺的原物料
[621.18-627.18] 並且做一個內部的決策來評估需要預先訂購的原物料
[627.18-630.18] 以預防未來的公標不足的問題
[630.18-638.18] 在客人方面來看,客人對於他們庫存的管理更加的嚴謹
[638.18-641.18] 所以公司的生產計畫有做了一步的進步
[641.18-647.18] 我們是依照客人的訂單需求來排計畫生產
[647.18-653.18] 以滿足客人的供需平衡,並且廣充公司的物料庫存數量
[653.18-658.18] 最後,風險就是市場上的未知風險
[658.18-662.18] 我們客人在市場上面臨的很多風險
[662.18-666.18] 客人的風險就是我們公司的風險
[666.18-670.18] 我們必須掌握客人在市場上的最新動態
[670.18-673.18] 緊密跟隨客人的機制來做變動
[673.18-679.18] 現在市場上的未知風險就是美國總統川普的關稅政策
[679.18-685.18] 首先,加徵這個關稅本來就會增加品牌商進口的成本
[685.18-689.18] 因此勢必會提高商品在零售市場上的售價
[689.18-697.18] 進而影響到消費者的消費能力,還有更換購買機械的頻率
[697.18-698.18] 當然,客人無法順利的消費
[700.18-704.18] 加上公存一定會造成公司的採購訂單
[704.18-709.18] 另外,對於各國不同的關稅稅率
[709.18-713.18] 也會影響到未來客戶訂單的走向
[713.18-717.18] 如果台灣的關稅稅率能夠比其他國家還要低
[717.18-723.18] 加總的製造成本比競爭股還要低的時候
[723.18-725.18] 對公司未必是全然的壞處
[725.18-728.18] 可是,我們公司不應該把未來的財產
[730.18-733.18] 寄託在川普的關稅稅上
[733.18-735.18] 因為這個比較不切實際
[735.18-738.18] 重要的就是提升公司的競爭力
[738.18-742.18] 因此公司不斷研發新的產品
[742.18-746.18] 今年也會陸續推出許多新產品
[746.18-749.18] 希望可以刺激客戶的需求
[751.18-755.18] 另外,我們公司也積極增加配件的加工資質率
[755.18-759.18] 近幾年不斷增購CNC的加工設備
[760.18-762.18] 目標是在未來需要加工製成
[762.18-767.18] 還有研磨製成的零件都在場內並可以完成
[772.18-775.18] 以上就是GT機械股份有限公司
[775.18-778.18] 2025年第一季的財報
[781.18-784.18] 接下來是Q&A的時間
[790.18-792.18] 請大家分享一下
[792.18-796.18] 那沒有其他問題要提問的話
[796.18-800.18] 我們今天的訪問說明會就到這邊告一個段落
[800.18-802.18] 謝謝
