[0.00-8.00] 各位长官
[340.14-343.74] 那我们会对本简报
[343.74-346.04] 内容来保留一些修改及
[346.04-348.60] 编辑的权利
[348.60-353.20] 那首先针对第一季的营运绩效
[353.20-356.28] 第一季在营收部分
[356.28-357.82] 所有集团是2.0的
[357.82-361.66] 2.6亿跟上一季相比是减少19%
[361.66-365.50] 跟去年同期相比是减少20%
[365.50-368.58] 那在前一年度的113年度呢跟
[368.58-373.44] 112年度相比的话整体营收是减少5%
[373.44-376.26] 其次是营业费用的部分
[376.26-379.58] 第一季所有的营业费用
[379.58-382.40] 是占1.13亿元
[382.40-387.52] 那整个营业的费用率是43%
[387.52-394.18] 那其中以销售管理跟研发费用的话分别是占21%
[394.18-402.88] 10%以及12%
[402.88-406.20] 那有关毛利以及营业利益的部分
[406.20-412.36] 14年的第一季毛利总金额是1亿3200万元
[412.36-416.20] 毛利率是来到50%是过去五季的
[416.20-417.48] 相对的
[417.48-418.50] 是较高的
[418.50-419.52] 毛利率
[419.52-427.46] 那以营业毛利的金额来看的话跟上一季相比是减少13.8%
[427.46-431.82] 跟去年同期相比是减少17.3%
[431.82-438.48] 在营业利益本业的部分呢营业利益金额在第一季是1900万元
[438.48-441.28] 营业利益是7%
[441.28-445.38] 那如果以纯粹金额来看跟上一季相比是
[445.38-446.40] 减少
[446.40-447.44] 60%
[447.48-448.50] 那如果以纯粹金额来看呢
[448.50-453.62] 就是11.8%跟去年同期相比也是减少大概55%
[453.62-459.76] 那在营业外的收入及支出部分呢
[459.76-461.56] 第一季的
[461.56-467.44] 这个营业外的收入支出是减少
[467.44-470.00] 1亿4600万元
[470.00-473.84] 那其中呢在按照
[473.84-480.24] 按损益以及依照损益按公允价值衡量的金融
[480.24-484.84] 负债是达到1亿6700万元
[484.84-489.46] 那另外汇兑利益在第一季是有收益是1300
[489.46-491.00] 万元
[491.00-493.30] 所以第一季跟去年比起来
[493.30-501.48] 在这个业外的金融资产这边负债是因为股市的关系波动比较大
[501.48-501.74] 在税前净利的部分呢第一季呢是在这个业外的金融资产这边负债是因为股市的关系波动比较大
[501.74-503.80] 在税前净利的部分呢第一季呢是在这个业外的金融资产这边负债是因为股市的关系波动比较大
[503.80-507.38] 第一季是有税前净损
[507.38-511.74] 所有金额是1亿2700万元
[511.74-514.30] 如果跟上一季相比的话
[514.30-516.60] 在税前的净利是衰退
[516.60-525.30] 百分之170跟去年同期相较是衰退百分之150
[525.30-528.64] 以税后净利跟美股盈余来看的话
[528.64-530.16] 今年的第一季
[530.16-531.44] 税后
[531.44-533.76] 净利归属于母公司的业主是
[533.76-538.12] 亏损1亿3800万元
[538.12-542.20] 然后在这个美股盈余的部分
[542.20-546.04] 以目前的股本是7.99亿来计算的话
[546.04-549.38] 美股盈余是亏损1.72元
[549.38-553.72] 跟去年相较分别是大概
[553.72-558.60] 去年同期相较是减少百分之166
[558.60-563.72] 跟上一季相比是减少百分之180
[563.76-569.14] 接下来我们从全球六大州各个区域
[569.14-572.20] 来看集团的营收比重的话
[572.20-577.84] 目前最高的占比仍然是北美洲包含美国跟加拿大
[577.84-581.16] 在第一季的比重是65%
[581.16-586.28] 那其次是欧洲欧洲所有地区在第一季的营收是占
[586.28-588.34] 集团营收16%
[588.34-593.46] 亚洲包含中东的话第一季的营收比是12%
[593.46-598.32] 其次是台湾全国占集团营收3%
[598.32-600.62] 中南美是占2%
[600.62-606.52] 大洋洲以及非洲是合占2%
[606.52-609.58] 那另外两年度2023年2024年
[609.58-613.42] 请各位法人自行参考
[613.42-618.04] 接下来由产品我们分为大约9大类
[618.04-622.14] 来分析我们的集团产品营收
[622.14-623.42] 目前在
[623.46-629.10] 营收比重最高的依然是网络摄影机IP Camera
[629.10-632.16] 第一季是占比55%
[632.16-637.80] 那其次大概第2名的大概都是
[637.80-641.90] 占比7%的分别有监控系统
[641.90-645.48] 门禁产品方案
[645.48-647.26] 集团安装
[647.26-653.16] 收益以及周边外购品的收益个别占7%
[653.46-655.26] 这是第3
[655.26-659.86] 那第二大的这个营收比重是影像管理软体
[659.86-665.50] 包含我们的AI管理软体云端管理软体或者是
[665.50-667.54] 可以支援大规模的
[667.54-669.34] 中央监控
[669.34-674.96] CMS软体这合计是9%是我们的第2大类
[674.96-682.64] 接下来占比比较小的有包括非成品的销售和RMA运费占5%
[682.64-689.56] 占比比较小的有包括这个我们的GB平板解码器这是1%
[689.56-691.60] 以及车牌辨识系统
[691.60-694.92] 含硬体跟软体是占2%
[694.92-698.76] 那一样2024年跟2023年两年度的
[698.76-704.40] 营收比重再请各位自行参考
[704.40-710.04] 那接下来讲述一下目前汽油科技在产品这边的
[710.04-712.60] 核心开发重点
[712.64-719.30] 目前的产品策略
[719.30-723.40] 核心有三大策略分别是第1个
[723.40-727.74] 我们归纳出六大产品核心价值
[727.74-733.38] 希望能够为企业及客户在监控领域能够带来
[733.38-738.24] 比较超越它的成本的一个价值
[738.24-742.60] 第2个是我们希望能够开发云端管制平台
[742.60-746.96] 将影像从一般的智慧化
[746.96-750.80] 还有这个云端能够把它整合起来
[750.80-753.10] 成为一个管制中心
[753.10-757.20] 第3个是我们希望藉由AI的技术
[757.20-758.72] 将我们的软体
[758.72-761.04] 透过人工智慧来分析
[761.04-766.92] 能够在各领域来进行一个深化的应用
[766.92-771.78] 那首先我们在产品的核心价值部分
[771.78-772.04] 我们是以一个产品的价值来分析的方式来说是一种产品的核心价值部分的部分
[772.04-772.30] 我们是以一个产品的核心价值部分的部分
[772.30-776.66] 我们是以人工智慧的技术核心来出发
[776.66-781.26] 那我们既有的一些产品包括门禁控制
[781.26-782.80] 门禁管理软体
[782.80-785.86] 或者是我们的中央监控软体
[785.86-787.14] 企业级软体
[787.14-788.94] 行动装置软体
[788.94-794.32] 这些都是我们的跟其他的同业相较起来
[794.32-799.70] 自行开发一个比较有利基的一个软体的基础
[799.70-801.48] 在这样的基础下呢
[801.48-801.74] 我们透过人工智慧的技术核心价值
[801.74-803.28] 透过人工智慧
[803.28-804.56] 再继续将
[804.56-806.86] 这边有黄色三角形
[806.86-811.46] 就是我们推出在单机型的这个云端主机
[811.46-814.02] 可以有人行车辆的
[814.02-815.56] 侦测功能
[815.56-822.48] 并且可以连接到我们的云端监控摄影机以及云端监控软体
[822.48-828.36] 然后另外再搭配即将推出的V20的影像管理软体
[828.36-831.44] 它可以将我们的软硬体
[831.44-831.70] 它可以将我们的软硬体
[831.70-833.24] 直接整合并且
[833.24-835.80] 扩充到云端的平台上
[835.80-840.14] 那在各行各业导入不一样的应用方案解决方案
[840.14-840.92] 譬如
[840.92-843.48] 刚刚所提的车牌辨识系统
[843.48-848.86] 或者是不同的监控保全的各项需求
[848.86-852.18] 那这个就是我们在未来
[852.18-857.56] 会将产品的核心慢慢导入这个方向去
[857.56-859.86] 就是脱离原本的
[859.86-861.66] 只专注于这个
[861.66-864.74] 硬体或者是只专于本机端
[864.74-870.88] 我们希望将它推到远端甚至云端的这个应用
[870.88-876.76] 那在云端管制平台这会是奇有科技在下一阶段
[876.76-881.38] 我们希望能够推行的一个产品的概念
[881.38-883.68] 那它最主要的概念就是
[883.68-885.72] 利用整合奇有科技
[885.72-888.28] 目前既有的软体硬体
[888.28-891.36] 以及前端摄影机后端
[891.66-893.20] 和相机的监控系统
[893.20-896.26] 除此之外还能将第三方
[896.26-898.32] 只要它是有走这个
[898.32-901.14] ONVAP或RTSP
[901.14-906.00] 协定的这个摄影机监控系统都一起纳入
[906.00-909.58] 奇有科技的云端管制平台架构来
[909.58-912.66] 那我们在这个云端架构最先会
[912.66-915.72] 希望能够有三个主要的
[915.72-917.00] 产品
[917.00-918.54] 分别是我们的
[918.54-920.58] 刚刚有讲的单机型的
[920.58-921.62] CB Pro
[921.66-923.96] 银端的监控主机
[923.96-925.76] 并且再搭配奇有
[925.76-928.06] 向来比较擅长的这个软体
[928.06-930.88] 就是GB AI Guard VMS
[930.88-933.70] 那透过这些软硬体能将第三方
[933.70-935.22] 以及奇有本身的
[935.22-939.32] 这个摄影机监控系统的影像全部纳入
[939.32-943.42] 那同时在一般的监控场域常常会见到的
[943.42-944.96] 一些感应器比如说
[944.96-947.78] 侦测火灾的温测感测器
[947.78-950.34] 侦测这个红外线
[950.34-951.62] 人
[951.66-953.20] 人体体温的红外线
[953.20-954.98] 这个感测器
[954.98-958.32] 甚至是一般家用住宅的瓦斯感测器
[958.32-959.60] 也可以透过
[959.60-962.42] 奇有的这个IO Box一起整进来
[962.42-964.46] 那我们的
[964.46-966.00] 下一个目标就是
[966.00-968.56] 当这些前端的整合好之后
[968.56-971.38] 能够再搭配我们接下来开发的
[971.38-975.22] GVCVW就是云端的
[975.22-980.08] 管制中心这样的软体来架构大型的一个监控保全
[980.08-981.62] 管制的概念
[981.66-986.26] 那这整个概念呢其实就是要解决目前在
[986.26-991.64] 一般的监控业主以及一般的保全业主他们的痛点
[991.64-993.70] 各个品牌的装置无法
[993.70-996.50] 事先的整合以及目前
[996.50-999.58] 人力缺口的这两个痛点
[999.58-1003.42] 那在解决这些问题之前我们必须先符合
[1003.42-1007.52] 这个就是云端管制平台它的一个架构
[1007.52-1009.56] 能够将前后端
[1009.56-1011.62] 以及软硬体全部整合好
[1011.66-1017.80] 那接下来才能再开发往这个云端管制平台的方向来继续开发
[1017.80-1023.44] 让这个不管是业主端或者是保全
[1023.44-1029.58] 这个保全业主端或者是使用这个产品的
[1029.58-1035.72] 这个大楼或是住宅都能够享受我们在人工智慧软体
[1035.72-1040.84] 平台以及影像管理软体的这个深化的好处与优点
[1041.66-1047.04] 那人工智慧软体呢我们希望在交通应用以及
[1047.04-1050.36] 场域安全应用来推广
[1050.36-1055.22] 那因此我们开发了一些软体在交通应用方面
[1055.22-1061.62] 譬如是针对一些管制区域的滞留侦测或者是道路违规逆向
[1061.62-1068.80] 禁止进入区域的入侵侦测或者特殊区段的交通区间测速
[1068.80-1071.36] 人潮拥挤或车辆拥挤及
[1071.66-1074.98] 地区的技术甚至在港口
[1074.98-1080.88] 这个进出的卡车护柜码的辨识这些目前我们都已经开发
[1080.88-1085.22] 将来在我们的交通应用部分都可以做一个很好的推广
[1085.22-1087.54] 那在特定的场域比如说
[1087.54-1093.68] 是工厂或者住宅或者是商业地区呢我们一样有针对人车的自由
[1093.68-1100.34] 侦测或者是跨线侦测甚至在建筑工地呢它可以针对安全帽跟
[1100.34-1101.62] 这个安全
[1101.66-1104.98] 工作背心是否有穿戴的一个侦测
[1104.98-1107.80] 那另外火焰群聚
[1107.80-1113.44] 侦测这个也是通常在一些场域里面会有特殊的需求跟应用
[1113.44-1117.28] 那这些在我们刚刚所提的VMS以及AI Guard
[1117.28-1120.10] 都可以做得到
[1120.10-1121.62] 那
[1121.62-1127.26] 综合上述我们的这些软体硬体以及整合的功能能力呢
[1127.26-1130.84] 将来汽油科技也希望能够找寻更多
[1130.84-1131.62] 在保存的
[1131.66-1137.30] 领域有经验的保全业者一起携手来合作
[1137.30-1141.38] 我们的概念是希望能够推出云端管制中心
[1141.38-1144.72] 那这样的架构呢当然就是希望能够
[1144.72-1145.74] 把
[1145.74-1150.60] 其有擅长的这个系统整合的能力结合保全业主
[1150.60-1153.42] 他们在保全的经验
[1153.42-1159.56] 一起携手合作将在地的这个保全推广升级成为这个
[1159.56-1161.62] 云端的远端保全
[1161.66-1166.52] 并且把到目前为止已经实现的数位化智慧化
[1166.52-1169.34] 以及云端化再进一步推广
[1169.34-1171.64] 变成监控的自动化
[1171.64-1174.20] 但是要实现自动化之前呢
[1174.20-1176.26] 我们必须要先落地
[1176.26-1180.34] 透过我们刚刚所说明的这个汽油的
[1180.34-1184.96] CVW这样的云端管制中心的软体硬体架构
[1184.96-1191.10] 让保全业者能够透过远端来控制一些
[1191.10-1194.68] 就是Sensor并且能够做影像监控
[1194.68-1199.80] 那车道可以做车牌辨识同时呢对于业主他有需求的
[1199.80-1202.88] 譬如透过手机APP与
[1202.88-1205.18] 远端保全进行对讲
[1205.18-1209.54] 或门禁控制甚至跟人性化的一些邮件服务
[1209.54-1215.68] 将来也都能够在我们的云端管制中心来实现
[1215.68-1221.06] 那进而能够让我们的Business Model从英网的B2B在推广
[1221.10-1235.44] 到B2B2C
[1235.44-1240.82] 那接下来就是未来的转换部分呢
[1240.82-1244.40] 我们分为四点
[1244.40-1249.52] 首先就是针对刚刚所说明的这六大的核心产品
[1249.52-1250.80] 会是我们
[1250.80-1255.40] 从接下来的下一个阶段所专注的范围
[1255.40-1260.02] 那我们可以看到从刚刚的这些介绍我们比较强调的是
[1260.02-1261.04] 软体
[1261.04-1263.08] 然后应用以及整合
[1263.08-1266.42] 而不是只有单纯的产品
[1266.42-1268.46] 或者是硬体产品的
[1268.46-1269.48] 贩售
[1269.48-1272.82] 那我们也希望能够与有
[1272.82-1278.20] 相关的保全业的业者或者有这样子大规模
[1278.20-1280.76] 企业及监控需求的业者
[1280.76-1284.60] 来合作共同推广云端的管制中心
[1284.60-1287.42] 那它会是架构在
[1287.42-1291.52] 我们的GVCVW这样的一个云端的
[1291.52-1295.10] 管制中心软体以及硬体的架构上
[1295.10-1300.22] 第三点是持续来发展AI的人工智慧软体
[1300.22-1302.78] 并且来维持高毛利
[1302.78-1307.12] 从软体来出发呢有另外一个好处就是
[1307.12-1312.76] 当我们销往国外的这个关税或对等关税的议题
[1312.76-1316.34] 没有办法暂时解除之后的前提下
[1316.34-1321.96] 软体将会是受到影响比较少的一个产品
[1321.96-1326.58] 那同时它也能够彰显汽油科技在软体开发
[1326.58-1327.60] 这边的优势
[1327.60-1329.90] 进而让我们整体的这个
[1329.90-1336.04] 财务结构能够维持比较健康也能够维持一个高毛利的表现
[1336.04-1337.08] 那第四点
[1337.08-1341.94] 就是我们持续会在业外做一个比较稳健的投资
[1341.94-1346.04] 并且创造一个长期的利益
[1346.04-1350.64] 那虽然在第一季我们的这个本业
[1350.64-1353.72] 因为大环境的关系
[1353.72-1356.02] 没有能够正成长
[1356.02-1359.10] 不过透过业外的一个稳健投资
[1359.10-1361.40] 我们还是希望能够持续为
[1361.40-1367.04] 投资人来带来一个比较长期稳健的一个获利
[1367.08-1371.44] 那以上我先介绍到这边
[1371.44-1375.02] 那针对刚刚的这个
[1375.02-1381.16] 刚刚的这个部分呢我再稍微说明一下
[1381.16-1387.30] 以目前这一份简报在左半边就是我们的三个产品
[1387.30-1392.42] GEV CB Pro就是我们未来要推出的云端单机型软品
[1392.42-1393.70] 这个是硬体
[1393.70-1396.52] 那这个GEV AI Guard以及GEV V-Arch
[1397.08-1399.64] GMS这两个是软体
[1399.64-1404.00] 那到目前为止市面上还有许多的传统摄影机
[1404.00-1405.52] 尤其在一些
[1405.52-1408.08] 暗场的情况下
[1408.08-1412.70] 有非常多是甚至连网路摄影机或者是
[1412.70-1416.02] 传统的或者是这个网路的影像
[1416.02-1417.56] 系统都还没有升级
[1417.56-1421.40] 一样是维持在传统的DVR数位
[1421.40-1422.68] 监控系统
[1422.68-1425.50] 那透过我们的这些
[1425.50-1427.04] CB Pro云端的
[1427.04-1429.60] 监控主机甚至是我们开发出来的
[1429.60-1430.88] AI软体呢
[1430.88-1435.48] 那将来各个暗场他在不管是不同品牌或者甚至是
[1435.48-1436.52] 他的系统
[1436.52-1439.08] 尚未升级成
[1439.08-1441.88] 网路可以接纳的这个
[1441.88-1448.04] 规格都可以跟我们的人工智慧软体来无缝的接轨
[1448.04-1451.36] 那这一方面就可以去解决很多
[1451.36-1454.18] 这个暗场当他希望从
[1454.18-1456.22] 传统的系统甚至是
[1457.04-1460.36] 更好的这个数位系统升级成云端化的
[1460.36-1462.16] 这会是我们的一个
[1462.16-1465.48] 为业主带来一个最主要的解决方案
[1465.48-1470.36] 那右半边呢这边从CBW以及我们的Cloud Cam
[1470.36-1473.94] 这就是我们接下来今年希望能够推出来的
[1473.94-1480.34] 这会是装设在Cloud Camera可以装设在一些新的暗场
[1480.34-1483.92] 甚至CBW呢他可以为传统的保全业者
[1483.92-1486.48] 来做一个无痛的升级
[1486.48-1490.06] 只要透过安装这个我们的CBW Server呢
[1490.06-1494.16] 传统的这个保全业者他可以
[1494.16-1497.48] 在所有的影像触发
[1497.48-1499.54] 可以更及时以外呢
[1499.54-1502.86] 更重要的一点我们也可以透过减少
[1502.86-1506.44] 传统保全业者常遇到的问题就是假警报
[1506.44-1510.54] 假警报能够有效的减少到80%以上
[1510.54-1514.64] 那藉由减少假警报呢另外一个好处就是
[1514.64-1516.44] 他也可以有效的来减少
[1516.48-1519.04] 管制中心的这个人员配置
[1519.04-1522.62] 那这对于目前人力缺乏的一些
[1522.62-1525.70] 保全业者或一些安装业者来讲
[1525.70-1528.52] 这会是一个很有吸引力的利基
[1528.52-1532.86] 那以上我的简报到这边为止
[1532.86-1535.42] 那接下来呢是我们的Q&A时间
[1535.42-1539.58] 那我再交给给我们的财务长来主持
[1546.48-1565.42] 好那稍微再补充一下就是我们今年第一季主要亏损的原因
[1565.42-1567.72] 其实本业本身来讲还是
[1567.72-1571.82] 有小赚那营业利益大概是7%左右
[1571.82-1574.90] 那主要的亏损还是来自于这个业外
[1574.90-1576.44] 因为我们有
[1576.44-1580.28] 因为那时候第一季的整个股市波动比较大
[1580.28-1584.64] 那公司持有这个金融资产的部位
[1584.64-1585.92] 相对来讲
[1585.92-1587.70] 受到冲击也比较大
[1587.70-1590.52] 所以那时候有亏损的大概1.7亿左右
[1590.52-1593.08] 不过那个是属于未实现
[1593.08-1596.40] 那像我们现在第二季的部分大概就
[1596.40-1597.68] 逐渐回来了
[1597.68-1599.74] 第二季就会稍微有回温一些
[1599.74-1602.04] 当然我们现在比较关心的是
[1602.04-1603.84] 本业营收的部分
[1603.84-1606.40] 营收现在刚刚有提到
[1606.44-1610.02] 第二季的部分可能还是跟第一季算是比较持平
[1610.02-1612.08] 没有什么太大的一个波动
[1612.08-1614.38] 那可能比较动能会比较强
[1614.38-1615.92] 应该会在下半年的时候
[1615.92-1617.44] 尤其在第四季
[1617.44-1619.24] 好那现在
[1619.24-1621.28] 不晓得各位投资先进
[1621.28-1624.36] 有没有一些其他的问题想要提出的
[1636.44-1640.02] 对
[1640.02-1643.10] 请
[1643.10-1646.42] 我本身是一开始是有
[1646.42-1647.96] 本身是有
[1647.96-1651.28] 因为现在AI不再有
[1651.28-1655.12] 跟原本的核心的进度
[1655.12-1657.68] 我还听说AI倒入以后
[1657.68-1661.78] 到底是没有要领取
[1661.78-1665.12] 基本上就是
[1665.12-1666.40] AI上面利用到的
[1666.44-1670.02] OK好
[1670.02-1672.32] 其实刚刚在
[1672.32-1673.60] 我们这边有一个
[1673.60-1674.64] 情报
[1682.06-1687.94] 其实这张图里面看似简单其实它包含了我们的技术能量在里面
[1687.94-1694.34] 那这边所有的技术包含了所有的硬体的整合跟软体AI化跟云端化
[1694.34-1696.40] 所以尤其是AI跟云端化
[1696.44-1701.30] 我们在前面那边所面有讲到我们主要的核心技术
[1701.30-1703.36] 里面就有包含一个AI
[1703.36-1707.20] 那AI的应用在我们的这张图里面呢
[1707.20-1708.48] 不好意思
[1712.06-1717.44] 在这张图里面其实在我们的任何的一个点里面都会有相对
[1717.44-1720.24] 刚刚讲的那些AI不管是在
[1720.24-1722.56] 人脸辨识或智能的辨识
[1722.56-1724.08] 或者是一些
[1724.08-1725.88] 交通安全等等之类的
[1725.88-1728.96] 它就看你的应用段在什么地方
[1728.96-1732.28] 但是现在最重要的是说有很多的单一的一个应用
[1732.28-1734.32] 可是却没有有效的整合
[1734.32-1736.64] 那其有现在是把过去
[1736.64-1737.40] 曾经
[1737.40-1740.48] 一个一个所开发出来的一些
[1740.48-1742.00] 单点的一种
[1742.00-1747.12] 单独的一种应用现在在做另外一个高层次的一种整合
[1747.12-1752.24] 但这种整合其实对于某一些的产业来讲它是非常需要的
[1752.24-1755.84] 因为现在有很多的业界我们现在有接触到的
[1755.84-1757.64] 像是保全业啦
[1757.64-1758.92] 保全业他就说
[1758.92-1761.22] 刚刚有提到一个保全
[1761.22-1764.54] 保全它其实有1 2 3 4 5 6 7个系统
[1764.54-1766.08] 比如说像那个
[1766.08-1767.36] 车牌辨识系统
[1767.36-1769.40] 或者是监控系统对脚系统
[1769.40-1771.96] 还有保全文件还有邮件等等之类的
[1771.96-1776.06] 他们很会用到这些可是现在对于一些保全公司来讲
[1776.06-1778.62] 它每套系统都是独立的
[1778.62-1779.90] 它是各自独立的
[1779.90-1784.26] 因此在各自的管理上它会产生非常大的loading
[1784.26-1785.80] 甚至还有些资讯和系统的组织
[1785.84-1787.12] 也需要
[1787.12-1788.92] 需要有些人去做有效的
[1788.92-1790.20] 就是要有
[1790.20-1791.22] 聘雇一些
[1791.22-1793.78] 的人去做这方面的一些管理
[1793.78-1794.54] 那
[1794.54-1797.10] 其有现在目前就是
[1797.10-1798.90] 除了在原有的这些
[1798.90-1801.20] 我们不敢说这边全部都做好了
[1801.20-1803.50] 大概做的大概没有好多
[1803.50-1805.56] 都除了那个邮件服务还没办法
[1805.56-1807.08] 其有本身有
[1807.08-1808.36] 有这个车牌
[1808.36-1810.42] 有这个监视有对讲
[1810.42-1812.72] 然后也有这个远端监控
[1812.72-1814.52] 那保全当好就是
[1814.52-1815.80] 就是
[1815.80-1817.84] 保全说实在它是一个流程的
[1817.84-1819.12] 管理的概念
[1819.12-1820.40] 它只是一种应用
[1820.40-1821.18] 某一种
[1821.18-1824.00] 影像的一种应用的一种流程
[1824.00-1828.34] 那这个流程我们现在正在找一些合作的对象来去
[1828.34-1829.88] 来去maping这个流程
[1829.88-1833.98] 把这些影像重新排列组合还有功能需求
[1833.98-1837.56] 重新的做一个有效然后把这个我们原有的技术
[1837.56-1840.64] 然后再加上AI甚至它有些产品
[1840.64-1842.16] 希望能够远端化
[1842.16-1845.24] 因为很多local端的那些产品
[1845.24-1847.54] 产生很多的那些成本
[1847.54-1850.62] 就是说你要随时去看那些
[1850.62-1852.92] 维护啦维护成本相对来讲
[1852.92-1853.94] 比较高
[1853.94-1857.02] 那现在也确实有一些慢慢在接受
[1857.02-1859.58] 就是说因为比如说像ServeWire
[1859.58-1860.86] 你就要去维护
[1860.86-1862.14] 甚至要去更换
[1862.14-1863.92] 甚至有什么样的bug
[1863.92-1865.20] 有什么样的问题
[1865.20-1869.30] 现在有很多慢慢的可以接受远端化的手机
[1869.30-1875.20] 刚刚这位同事先进一步讲说我们这个部分在我们的
[1875.24-1878.56] 我们这里面到底有没有产生什么样
[1878.56-1880.88] 我们没有错过之前是卖IPM
