[0.00-11.30] 各位同志先敬我
[214.82-220.22] 然后所以我们在外观设计上就比较符合年轻人喜欢的一些形态
[220.22-221.94] 接下来就是我们的公社的部分
[221.94-224.66] 其实我们也会去先去做调查
[224.66-226.70] 就是我们每个案子之后我们都会做调查
[226.70-228.34] 就是请大家工具厂
[228.34-232.66] 就是年轻人喜欢什么样的公共设施
[232.66-235.30] 各位知道最近有那个高尔夫球
[235.30-236.24] 那个室内高尔夫球
[236.26-240.36] 那个有人点这个奥米在规划中是不是要做这个
[240.36-243.24] 其实我们在高雄案子有做了一个那个保龄球
[243.24-245.36] 双绕保龄球道
[245.36-248.28] 我觉得我们公司在这方面其实会比较用心
[248.28-250.46] 才会比其他的建议上更用心
[250.46-252.40] 那再来就是他的格局
[252.40-254.40] 我们公司一般来讲
[254.40-257.60] 我们公司都是七成的成品设计
[257.60-259.68] 都是两码跟三码的产品
[259.68-261.84] 我们不会去做那个大坪数的
[261.84-263.44] 因为现在的总量比较高
[263.44-265.14] 所以我们做大坪数的可能会掉点
[265.14-266.24] 所以我们都是做那个大坪数的
[266.26-268.26] 然后我们就做两坪到三坪
[268.26-269.26] 然后控制总价
[269.26-271.26] 这样销售的速度会比较快一个
[271.26-278.26] 那接下来是我们百分之百的营造厂
[278.26-282.26] 那跟各位讲为什么你们要自己的营造厂
[282.26-284.26] 是因为第一个你有自己的营造厂
[284.26-287.26] 在品质控制上跟成本控制上
[287.26-290.26] 还有工具的控制会比较有效率
[290.26-292.26] 如果你都是发大包
[292.26-295.26] 而且发包的你如果发大包的话
[295.26-296.26] 他就会有一个大包的效率
[296.26-298.26] 他要求的力管对情况很高
[298.26-300.26] 会稀释掉你的毛的
[300.26-302.26] 所以如果我们自己的营造厂的话
[302.26-308.26] 那在品质 工具跟成本控制上会比较有效率
[308.26-310.26] 接下来就是因为我们这个营造厂
[310.26-312.26] 其实它的规模其实也不小
[312.26-316.26] 它2025年的成本完工金额是44亿
[316.26-318.26] 2024年是44亿
[318.26-320.26] 那2025年的目标是80亿
[320.26-325.26] 所以因为它也是可以贡献我们公司有营收的部分
[325.26-327.26] 这是我们自己的营造厂
[327.26-333.26] 那这是我们在达力美国的扣达黑戴案子的话
[333.26-335.26] 我们是203户
[335.26-336.26] 那未收户是56户
[336.26-339.26] 但是56户里面有45户已经出租了
[339.26-342.26] 那我们暂时先把它保留
[342.26-343.26] 就是出租的原因是因为
[343.26-346.26] 第一个美国现在的房贷利率太高了
[346.26-348.26] 所以已经到那个狗战
[348.26-352.26] 就是美国各位知道最近的一些状况不是这么明确
[352.26-354.26] 那我们会等它明确之后
[354.26-356.26] 我们再做后续的调整
[356.26-361.26] 那也希望说川普的降息的策略能够成功
[361.26-364.26] 其他的一个部分
[364.26-366.26] 等一下会比较详细的介绍
[366.26-369.26] 那我跟各位报告我们已经有取得
[369.26-371.26] 有的在渠道中
[371.26-372.26] 在规划中
[372.26-375.26] 然后就是说如果说我们
[375.26-378.26] 因为在美国拿建造相对台湾的想法很复杂
[378.26-381.26] 拿到建造之后再出动的话
[381.26-382.26] 那个收益的时间也不错
[382.26-384.26] 就像我们之前有两个案子
[384.26-387.26] 也是后来拿到建造之后直接把它储存掉
[387.26-390.26] 所以那个收益就可以立即做实现的过程
[392.26-397.26] 那接下来是我们公司在高中刚专的这个商场
[397.26-400.26] 这个商场的话旁边是高一
[400.26-403.26] 其实我们公司要投资这个商场之前做的一个动作
[403.26-404.26] 就是我们公司去调查
[404.26-406.26] 这个高一是500床
[406.26-409.26] 比如说北高最大的一院500床以上
[409.26-412.26] 才会有500床的那个区域型的一院
[412.26-413.26] 那其实我们在
[414.26-416.26] 投资案之前我们也去问过高一
[416.26-419.26] 问他们说你们有没有自己的能识
[419.26-421.26] 或者高一的
[421.26-424.26] 他们没有你识
[424.26-426.26] 所以我们才会大胆投资
[426.26-428.26] 因为如果是500床
[428.26-430.26] 他每天光医疗人员
[430.26-434.26] 那个就是病患病患的家属跟行政人员
[434.26-435.26] 他每天
[435.26-436.26] 那个
[436.26-440.26] 就是消费的那个人数其实也就够了
[440.26-442.26] 我们刚刚不是有打算
[442.26-444.26] 本来是想说打一个地下通道直接连到高一
[444.26-446.26] 后来因为是流入高一
[446.26-448.26] 那这个案子其实我们在平常日
[448.26-450.26] 我们假日的话是吸引
[450.26-453.26] 就是吸引当地的那个民众来跟消费
[453.26-454.26] 那平常日的话
[454.26-455.26] 因为高一的关系
[455.26-459.26] 所以他其实本身的那个就是能力就都不足
[459.26-460.26] 那这个案子的话
[460.26-463.26] 每一年差不多会贡献公司两亿的那个
[463.26-464.26] 有这个人流
[464.26-469.26] 所以这个对公司的帮助也是很大
[469.26-471.26] 那接下来关于那个公司的
[471.26-472.26] 去年2024年
[472.26-474.26] 今年的结束
[474.26-476.26] 其实我想在我们的那个
[476.26-477.26] 在未近年能够做报道
[481.26-483.26] 各位法轮朋友们好
[483.26-485.26] 关于去年的细项期
[485.26-489.26] 我们公司进行上期讲的一个还不错的时机
[489.26-491.26] 截止到去年年底
[491.26-494.26] 我们整合合并收来到123亿
[494.26-496.26] 那其实他虽然叫2023年
[496.26-497.26] 大概少了30亿
[497.26-501.26] 可是因为我们的劳力率跟净利率大幅的提升
[501.26-504.26] 所以PPS还较前年排名
[504.26-505.26] 排名较好
[505.26-508.26] 所以EPS去年来到了5.5块
[508.26-510.26] 那其实大家这样看
[510.26-514.26] 其实因为我们目前的毛利率大概
[514.26-516.26] 截到去年占上30%了
[516.26-519.26] 其实较过往的前三年大概25%左右
[519.26-520.26] 都大概
[520.26-522.26] 增加了5个百分点
[522.26-526.26] 那当然净利率也从13%左右拉到了17.5
[526.26-529.26] 那其实未来我们几个案子的
[529.26-531.26] 毛利率跟净利率我们自己再评估
[531.26-533.26] 未来三年基本上毛利增长30%以后
[534.26-535.26] 应该是可以达成
[535.26-537.26] 那净利率我们也是朝向
[537.26-541.26] 目标是在20%以上的目标在努力
[541.26-542.26] 那另外比较特别是
[542.26-546.26] 这边有一个是去年我们有一个2.6亿的
[546.26-547.26] 会实现的消耗收益
[547.26-550.26] 这个是针对我们那个
[550.26-554.26] 世界有卖15%的土地给我们的这个合作方
[554.26-558.26] 那这个部分的收益会在今年
[558.26-561.26] 总增这个案子事件总增之后可以认列
[561.26-562.26] 大概可以在贡献
[562.26-564.26] 今年可以在贡献0.5%
[564.26-566.26] 0.5块的EPS
[566.26-569.26] 那关于大家关心的是建商普遍负债比
[569.26-570.26] 比较高的问题
[570.26-574.26] 我们去年的负债比来到了74%左右
[574.26-578.26] 较前几年大概都在80%也显著的下降
[578.26-581.26] 其实我们在去年的第三季的时候
[581.26-583.26] 负债比大概来到6.9了
[583.26-584.26] 那主要是因为第四季
[584.26-588.26] 我们去年买的中销复兴的一个DUGON的土地
[588.26-590.26] 玻雷比很大笔的土龙
[590.26-593.26] 所以去年底的负债比才来到64
[593.26-595.26] 那其实主要是未来
[595.26-598.26] 其实我们在未来的一个开发
[598.26-601.26] 其实我们很多DUGON跟捷运连开的部分
[601.26-605.26] 我们对建商来讲比较大的土地支出这一块
[605.26-606.26] 减少之后
[606.26-609.26] 其实未来没有土龙大幅动波的前提下
[609.26-612.26] 其实我们在未来的目标应该
[612.26-615.26] 负债比是有机会低于到70%以下
[615.26-617.26] 甚至可以到65%
[617.26-619.26] 这个目标来前进
[619.26-623.26] 那另外真的就是
[623.26-625.26] 对我们的这个鼓励的部分
[625.26-630.26] 去年我们其实秉着就是获利跟权利股东分享的精神
[630.26-634.26] 其实我们去年的获利的配罢
[634.26-636.26] 我们大概配了3.5块的现金
[636.26-637.26] 0.5的指标鼓励
[637.26-639.26] 合计4块钱
[639.26-643.26] 这个鼓励的配罢率将近是8成
[643.26-646.26] 换算现在的殖地率大概已经来到了8%以上
[646.26-650.26] 所以算是我们秉持着跟大家分享的
[650.26-652.26] 这个获利跟大家分享的精神
[652.26-654.26] 配罢率算的还不错
[654.26-657.26] 那你如果拉前看平均4年的
[657.26-661.26] 鼓励配罢率也来到将近67.93%
[661.26-665.26] 其实它整个的一个配罢率的
[665.26-667.26] 朝向7成来迈进
[667.26-668.26] 那展望未来10年
[668.26-671.26] 其实我们在很多土地的库存都已经
[671.26-674.26] 目前都已经买的差不多的情况下
[674.26-677.26] 我们的每年的推案
[677.26-679.26] 或是每年完工入账的时程
[679.26-681.26] 也基本上都排好了
[681.26-684.26] 所以说在未来的这样的模式情况下
[684.26-687.26] 其实我们的鼓励配罢率基本上
[687.26-690.26] 应该会逐步的可以达到我们这边提到的
[690.26-694.26] 就是大概都会在60%以上
[694.26-697.26] 那当然也是让参与这个跟着达力
[697.26-701.26] 增长的股东有一个很好的一个回馈
[701.26-704.26] 那接着我们在针对这个案件上
[704.26-707.26] 请我们总经理来做说明
[711.26-713.26] 各位组织信心大家效仿
[713.26-716.26] 接下来个案推上以后来为各位报告
[716.26-721.26] 那报道连下有一些公司在未来的一些经营策略的方向
[721.26-726.26] 首先跟各位报告是我们今年三大营收的来源
[726.26-729.26] 那我们去年年底大概也有大概简单的报告
[729.26-734.26] 我们今年大概主要还是靠我们在台北的达力军事
[734.26-736.26] 这个案子总销是34.5亿
[736.26-738.26] 目前销售率已经百分之百
[738.26-739.26] 那这个案子的进度
[739.26-740.26] 因为我们当初目标设定在
[741.26-742.26] 7月份啊
[742.26-745.26] 实照那最近可能有一些下雨的因素
[745.26-747.26] 还有些进口材料上的比例
[747.26-749.26] 我们目标是设定在8月底
[749.26-750.26] 可以取得实用实照
[750.26-751.26] 这是没有问题的
[751.26-754.26] 总体进度大概落后一个多月了
[754.26-758.26] 那年底以前完成所有的那个
[758.26-760.26] 销务是没有问题的
[760.26-764.26] 再来就是我们的台南的世界人
[764.26-767.26] 这个世界人这个案子的总销进额更高
[767.26-768.26] 达到91.7亿
[768.26-771.26] 目前的销售率已经达到75%
[771.26-772.26] 那跟各位报告一下
[772.26-776.26] 它的进度目前外观的装修正最后一个阶段
[776.26-777.26] 准备在提转
[777.26-779.26] 屋顶的刚过也都要装完善
[779.26-783.26] 应该是在7月份各位就可以看到我们外加就拆下来
[783.26-785.26] 所以我们的目标原本是9月
[785.26-787.26] 当然也是因为天候因素的等等
[787.26-790.26] 我们现在整个进度在10月9号
[790.26-793.26] 最近排出来的进度在10月9号可以取得实照
[793.26-796.26] 那也是目标希望能够有部分
[796.26-799.26] 可以在今年年底可以交付人民
[799.26-801.26] 那另外其他的来源就是
[801.26-804.26] 大概我们去年度任意的几个个案
[804.26-808.26] 那有成都包含了松干达力
[808.26-810.26] 松干达力我们大概去年还有将近100户
[810.26-813.26] 到目前为止大概剩下80几户的成屋
[813.26-816.26] 而且每个月都有持续在销售当中
[816.26-819.26] 创世纪的部分大概剩下大概十几户
[819.26-822.26] 也是大概有陆续在持续销售
[822.26-824.26] 达力世界湾目前大概剩7户
[824.26-829.26] 也是有慢慢上个月还有在销售标准户
[829.26-831.26] 这是整个进度
[831.26-833.26] 今年三大案的一个
[833.26-835.26] 那我们
[835.26-836.26] 呃
[836.26-839.26] 报告一下就是后面两年82627年
[839.26-841.26] 几个完工的个案
[841.26-844.26] 我们预计就是明年度明年度我们的未来是
[844.26-846.26] 他的销售率是百分之百的
[846.26-848.26] 因为完工
[848.26-851.26] 那也所以是在台中中区的部分
[851.26-854.26] 这个案子大概销售率到76%
[854.26-856.26] 目前持续用
[856.26-858.26] 那个因为我现在大概已经快上两个
[858.26-859.26] 大概上了
[859.26-860.26] 他的实照时间大概是在
[861.26-863.26] 明年的2月左右
[863.26-864.26] 可以拿实照
[864.26-867.26] 那在合运合运就是我们今年刚推的案子
[867.26-869.26] 因为他是楼层比较低
[869.26-871.26] 我们明年度也可以能列
[871.26-874.26] 那目前销售率也达到25
[874.26-875.26] 在后年的部分
[875.26-876.26] 我们有
[876.26-878.26] 刚三的达力双子星
[878.26-879.26] 这个案子比较特殊
[879.26-882.26] 原本我们是排在2026年要要入战
[882.26-883.26] 好
[883.26-884.26] 那
[884.26-888.26] 因为这个案子告我们碰到那时候大直的那个鸡胎的事件
[888.26-890.26] 我们这个案子又是处于在刚三地区
[890.26-893.26] 在刚三地区很不稳定的一个激励条件
[893.26-895.26] 所以我们那时候
[895.26-897.26] 毅然决然就是把地下室的安全支撑
[897.26-900.26] 跟那个一些挡堵措施再加强
[900.26-902.26] 增加了一个支撑
[902.26-904.26] 又增加了一些挡堵措施
[904.26-906.26] 所以整整地下室工企做了半年多
[906.26-910.26] 所以我们就把他的整个任业的时间往后
[910.26-912.26] 完工时间往后延到2027
[912.26-915.26] 那再来就是我们最火的新高铁
[915.26-917.26] 在台中新高铁
[917.26-919.26] 目前他的销售率是已经85%了
[919.26-920.26] 已经达到85%
[920.26-923.26] 甚至他的高楼层都已经有破
[923.26-925.26] 当地的一些高单价
[925.26-928.26] 甚至各位看持家任命应该有到60
[928.26-933.26] 那世界学也是我们今年度推案的一个个案
[933.26-935.26] 在我们的桥头
[935.26-937.26] 等于说全民万岁以后第三期的
[937.26-942.26] 我们从全民万岁还有未来式到世界学
[942.26-944.26] 目前他的销售率是达到35%
[944.26-947.26] 那这个案子大概现在目前捐价是42万
[949.26-953.26] 那2025我们推案就刚刚提的
[953.26-958.26] 我们记一下大概整个推案的金额可以达到220万
[958.26-963.26] 接下来我会跟各位一一报告个案的一些细节一点
[963.26-968.26] 那刚刚提到的合理这个案子在北投士林科学园区
[968.26-973.26] 他也是在金人堡一个园区的一个附近
[973.26-976.26] 那这个案子目前他已经盖到三楼板
[976.26-977.26] 结构已到三楼板
[977.26-978.26] 因为他这个是三楼
[979.26-980.26] 所以其实不高
[980.26-982.26] 明年度一定可以完工认定
[982.26-987.26] 而且我们在台北的案子其实进步都控制的还算蛮平稳的
[987.26-988.26] 他是地下3地上14
[988.26-990.26] 所以速度还蛮平的
[990.26-993.26] 他的主项性能达到60个亿
[993.26-995.26] 刚刚提到的世界学
[995.26-999.26] 他的基地面积有1800多米
[999.26-1001.26] 总楼壁板面积有14000
[1001.26-1006.26] 所以他有376户382个车位
[1006.26-1009.26] 那目前销售量已经达到30%
[1009.26-1013.26] 所以他大概也是刚刚我们那个
[1013.26-1014.26] 附董提到的
[1014.26-1015.26] 他是2到3房型的
[1015.26-1016.26] 没有什么大品数
[1016.26-1018.26] 最大的有到30几平
[1018.26-1020.26] 但是那个量体都很大
[1020.26-1024.26] 主力品数还是在22到大概28平左右
[1024.26-1028.26] 这个他的总销金额可以达到41亿
[1028.26-1034.26] 那另外就是我们在台中西屯的达利石穗
[1034.26-1035.26] 这个案子我们叫寒断
[1035.26-1038.26] 在这个地区寒断是当初一个很有名的一个地段
[1038.26-1040.26] 他在台湾大道上
[1040.26-1044.26] 又在于捷运目前在已经在营运的绿线
[1044.26-1047.26] 跟蔚蓝十年会开通的蓝线
[1047.26-1049.26] 捷运蓝线上交叉口
[1049.26-1050.26] 我自己走路大概走到
[1050.26-1053.26] 从这个案子基地走到捷运站大概7分钟
[1053.26-1055.26] 7分钟可以达到绿线
[1055.26-1056.26] 那个是叫什么站
[1056.26-1058.26] 市政府站
[1058.26-1060.26] 这个总销金额也41亿
[1060.26-1064.26] 那我们开始在已经开始在销售了
[1064.26-1067.26] 所以目前销售的进度是大概15%
[1067.26-1072.26] 那这个案子因为处于这个算是台中南京华的地段
[1072.26-1076.26] 他目前成交的均价大概落在73万一平
[1076.26-1081.26] 那另外就是我们台南的都更案
[1081.26-1086.26] 都更案我们平时段也是经营会陆续的来公开销售
[1086.26-1091.26] 那平时案这边应该各位知道这边在台南也是属于一个进化地段
[1091.26-1094.26] 我们第一期的销售可能会从R12R12
[1094.26-1096.26] 也就是一个比较靠公载
[1097.26-1100.26] 靠平时公载另外的角落一边的
[1100.26-1102.26] 我们大概分两期来推出
[1102.26-1106.26] 但是第一期这样推出的话大概总销金额也会有81亿左右
[1106.26-1110.26] 我们讲的都是纯粹是我们达利本身可以分回的进度
[1112.26-1114.26] 那在2028以后
[1114.26-1117.26] 大概我们抓到6到7年甚至到8年了
[1117.26-1121.26] 我们把我们的案子大概做个简单的盘点跟各位做报告
[1121.26-1125.26] 整个公司未来的开发方向已经有点变了
[1125.26-1126.26] 各位可以看得到
[1126.26-1130.26] 上面这几个橘色的部分是我们所谓的公办图根或自办图根
[1130.26-1136.26] 那这个部分占我们公司整个开发营运的量体达到了6成
[1136.26-1139.26] 那在黄色部分是我们捷运连开案的
[1139.26-1142.26] 捷连连开案大概占我们开发量体的28
[1142.26-1145.26] 剩下的28才是我们的自建
[1145.26-1148.26] 我们的自地自建的一个案子
[1148.26-1151.26] 所以这个案子的部分供各位参考
[1151.26-1154.26] 那各位看一下我们的基地的面积比如说整个下来
[1154.26-1157.26] 累计大概有到36000多坪
[1157.26-1160.26] 所以未来大概将近10年内我们的土地不准量是无用
[1160.26-1162.26] 就是其实无余的
[1162.26-1164.26] 比较没有问题
[1164.26-1167.26] 那好处就是我们这些公办图根
[1167.26-1170.26] 当然我们要做一些回饋给市政府或者是捷运单位
[1170.26-1173.26] 然后把有些像国防部他要分布的
[1173.26-1176.26] 这些一旦条件我们得了最后申请的内容
[1176.26-1177.26] 慢慢要实现这个东西
[1177.26-1181.26] 好处就是我们的土地成本会相对比较少
[1181.26-1184.26] 所以整个资金压力会减轻很多
[1184.26-1189.26] 那整个未来三年我们持续推荐
[1189.26-1192.26] 大概农工销售的金额都会有百亿
[1192.26-1193.26] 都会有百亿以上
[1193.26-1196.26] 那2028到2033这六年以内
[1196.26-1200.26] 我们统计一下刚刚那些案子大概初步概估
[1200.26-1202.26] 他将近有1200多亿分六年
[1202.26-1205.26] 我们把平均每年大概有200亿
[1205.26-1208.26] 当然我们的完工自用完工认定
[1208.26-1210.26] 所以你们有时候刚刚DT不一定
[1210.26-1213.26] 但是我们算大概可以大概200亿
[1214.26-1216.26] 好未来台湾的部分
[1216.26-1221.26] 首先报告一下我们近期的一些重要的灾药
[1221.26-1225.26] 我们在3月今年的3月11日在台南
[1225.26-1228.26] 都乱又取得了1300多亿
[1228.26-1230.26] 我们在台南贵人这边
[1230.26-1236.26] 从一起国家强大到世界人
[1236.26-1238.26] 其实销售都相当的好
[1238.26-1240.26] 那总统对这边也相当有信心
[1240.26-1243.26] 因为这个是一个未来的一个新区一个重镇
[1243.26-1246.26] 所以我们也持续在这边在开发
[1246.26-1248.26] 虽然目前看到只有1353亿
[1248.26-1253.26] 我们持续在跟周遭的营地不排除用核建的方式
[1253.26-1255.26] 扩大我们开发的学费
[1255.26-1258.26] 希望能够到3000亿甚至到4000亿
[1258.26-1262.26] 那另外我们分别在今年3月跟4月
[1262.26-1268.26] 也都在高雄市的左营眷村跟屏东市的车站
[1268.26-1273.26] 获得了一个最优申请人的一个都市更新的一个联合公司
[1273.26-1274.26] 我们也有开发案
[1274.26-1277.26] 这两个案子等一下也会有详细的介绍
[1277.26-1281.26] 那另外我们在3月30日也完成了年度的现金增值
[1281.26-1284.26] 我们目前的股本已经达到4489亿
[1284.26-1292.26] 再就是今年也公告了我们的要配发的现金股利是3.5%以及0.5%的股票股票
[1292.26-1296.26] 那当然我们在6月份的股东会有再详细的做报告
[1296.26-1300.26] 那当然我们的企业运行的目标
[1300.26-1302.26] 还是希望能够成为我们最具现金的目标
[1303.26-1306.26] 我们是一个现代化国际化的一个地产开发商
[1306.26-1309.26] 我们也都占上年度推荐量的两台影仗
[1309.26-1312.26] 所以长期目标还是希望能够永续的经营
[1312.26-1315.26] 将这个获利能够跟我们投资人来共同贡献
[1318.26-1321.26] 所以我们在前两年有跟各位报告
[1321.26-1323.26] 我们要逐步改变我们的开发模式
[1323.26-1326.26] 所以我们在今年跟今年真的逐步有实现了
[1326.26-1330.26] 从我们钢山的捷运乐购商场到阿基万
[1330.26-1333.26] 阿基万是我们第一个捷运的临开住宅
[1333.26-1340.26] 那这个最近的消息我们预计在今年的十月会拿到建造
[1340.26-1342.26] 建造因为我们接下来就为名
[1342.26-1348.26] 然后就可以开始跟一些跟那个捷运单位
[1348.26-1351.26] 分配比例
[1351.26-1353.26] 分配比例谈完以后
[1353.26-1355.26] 我们就会正式开始动工下去做了
[1355.26-1359.26] 所以预计应该机会的话也是大概明年有机会开始下去动
[1359.26-1362.26] 那接下来就是去年的高雄的黄县跟菊县
[1362.26-1366.26] 我们这个案子也预计在六月份会跟高雄市政府来办一个
[1366.26-1369.26] 盛大的一个签约的一个记者会
[1371.26-1374.26] 那这个就是我们近期得标的
[1374.26-1377.26] 应该说获得最优申请人的捐赠
[1377.26-1380.26] 我们当初会拿这个捐赠单元第一单元二
[1380.26-1382.26] 我们总共有三个单元
[1382.26-1384.26] 但是我们只投单元一个单元
[1384.26-1386.26] 因为基地的股价大
[1386.26-1389.26] 我们认为这两个单元可以合并起来联合开发
[1389.26-1391.26] 我们的目标运行一直是这样的
[1391.26-1396.26] 再加上刚提到我们左脑是这边高雄南市右滩
[1396.26-1399.26] 这边他讲有求右滩的这边
[1399.26-1403.26] 他们家好像走路运动都可以走到这个基地
[1403.26-1404.26] 会看到黄色的地方
[1404.26-1407.26] 那这个基地它的地理条件是相当的好
[1407.26-1411.26] 所以看你左营高铁大概开车五到十分钟一定可以到
[1411.26-1415.26] 未来的直线捷运跟县门的红线捷运站
[1415.26-1420.26] 他应该是市应站最近捷运市应站R17
[1420.26-1421.26] 是最近的
[1421.26-1425.26] 而且各位他会来到台积电其实只要三分钟而已
[1425.26-1428.26] 这边厄南连长
[1428.26-1430.26] 在上方应该是日月光的总部
[1430.26-1432.26] 日月光的总部在这边
[1432.26-1436.26] 周围还有一些那个海军医院
[1436.26-1439.26] 海军医院等等高雄大学也在附近
[1439.26-1440.26] 它的地理条件是相当好
[1440.26-1442.26] 那当初我们在评估这个案子的时候
[1442.26-1444.26] 其实我们是很保守的
[1444.26-1447.26] 我们当初估的时候是用单坪大概售价
[1447.26-1450.26] 只用大概40点多去估
[1450.26-1454.26] 那各位想想看这以后未来发行捷运跟这几个利多状况下
[1454.26-1456.26] 应该这个房价应该不止到这边
[1456.26-1458.26] 所以我们蛮期待这个案子的
[1458.26-1462.26] 那接下来就是最近的屏东火车站
[1462.26-1465.26] 刚提到屏东的东区真的在火车站
[1465.26-1468.26] 我们大概在四月份的时候
[1468.26-1471.26] 四月应该说上上礼拜
[1471.26-1474.26] 上上礼拜特别我还特别不去这边周边去看
[1474.26-1477.26] 周边包含了一个胜利新村
[1477.26-1479.26] 最近这个算一个模范的一个郡主席的家庭
[1479.26-1481.26] 一个习惯的一个眷村改建
[1481.26-1483.26] 一个活化的一个地方
[1483.26-1485.26] 还有加上我们的屏东公园
[1485.26-1487.26] 屏东大学
[1487.26-1489.26] 火车站附近有太平洋百货
[1489.26-1491.26] 最主的一个太平洋百货商圈
[1491.26-1493.26] 大概最乐道的其中在这里
[1493.26-1497.26] 加上未来的各块处的高低预定高铁
[1497.26-1499.26] 其实只有差一站而已
[1499.26-1500.26] 我们也蛮看好这个地方
[1500.26-1503.26] 那当然我们在这个竞标的时候
[1503.26-1506.26] 我们也大概是会在火车站
[1506.26-1509.26] 跟我们的住宅这边混作合理的
[1509.26-1512.26] 二楼跟一楼会做局部的连通
[1512.26-1516.26] 让以后直接从火车站就可以走路到这个商场
[1516.26-1519.26] 我们目标规划大概是三栋
[1519.26-1521.26] 三大栋第三二十地下四层
[1521.26-1523.26] 一到三楼大概是商场
[1523.26-1526.26] 由我们来代为经典管理
[1526.26-1528.26] 我们是十年栋的
[1528.26-1532.26] 那当然在产学的部分
[1532.26-1535.26] 我们持续有跟这几所大学来做配合合作
[1535.26-1538.26] 办了一些关国教学等等
[1538.26-1539.26] 在二月份的时候
[1539.26-1542.26] 我们也去高雄大学做了一个
[1542.26-1545.26] 他们每个礼拜三的一个教学讲座
[1547.26-1549.26] 在ESG我们还是秉持这四大方向
[1549.26-1551.26] 环境富裕提升业务方式
[1551.26-1553.26] 衡量人心的
[1554.26-1556.26] 大概就是我们今年在四月
[1556.26-1558.26] 我们谢董也亲自带队
[1558.26-1561.26] 到香山那边去种了五百多棵树
[1561.26-1562.26] 那我们预计要弄两亿千棵
[1562.26-1566.26] 董事长有提到就是我们希望未来
[1566.26-1567.26] 我们每卖一间房子才能够有
[1568.26-1570.26] 就当社会种一棵树
[1570.26-1572.26] 因为盖房子毕竟对环境
[1572.26-1573.26] 会造成一些创企
