[0.00-12.08] 各位线上参与的投资先进大家午安
[157.26-163.74] 第四季毛利率为33.6%
[163.74-167.96] 在产品结构优化的效应
[167.96-169.32] 逐渐显现下
[169.32-173.46] 较上季提升0.8个百分点
[173.46-177.04] 毛利率维持在高达
[177.04-179.20] 为历史次高
[179.20-185.32] 第四季营业利益率为16.4%
[185.32-189.64] 较上季上升0.5个百分点
[189.64-192.58] 同样为历史次高
[192.58-197.18] 营业利益则较去年成长8%
[199.00-200.74] 威蜀母公司净利
[200.74-203.18] 来到新台币6.4%
[203.46-207.04] 年增5%
[207.04-211.40] 每股盈余为新台币5.35元
[211.40-214.98] 请看到第五页
[214.98-218.06] 接下来看营收结构
[218.06-221.90] 由于持续耕耘新产品与应用
[221.90-224.96] 效应逐渐显现
[224.96-229.06] 加上2023年的基期较低
[229.06-233.44] 接着季营收较2023年同期增加
[233.44-236.26] 13%
[236.26-241.64] 占第四季营收比重74%
[241.64-243.68] 建材与涂料业务
[243.68-247.78] 第四季相较2023年同期
[247.78-251.36] 也有双位数的成长
[251.36-253.66] 建材与涂料业务合计
[253.66-258.02] 占营收比重22%
[258.02-261.86] 请看到第六页
[261.86-263.42] 割叶制2024年同期增长
[263.42-272.64] 本页是市场负债表
[272.64-274.68] 同样提供给各位参考
[274.68-276.98] 南宝2024年的营收
[276.98-277.76] 获利
[277.76-278.78] 每股盈余
[278.78-281.86] 皆创下历史新高
[281.86-284.92] 请看到第七页
[284.92-287.22] 本页是资产负债表
[287.22-290.56] 同样提供给各位参考
[290.56-292.10] 南宝目前账上
[292.10-293.38] 是净现金部位
[293.42-297.94] 在现金鼓励的部分
[297.94-302.46] 南宝2024年获利创下历史新高
[302.46-308.66] 公司也决定将这份获利回馈给股东
[308.66-311.42] 董事会已决议
[311.42-316.98] 2024年发放每股19元的现金鼓励
[316.98-323.76] 发放金额与每股现金鼓励也为历史新高
[323.76-327.98] 鼓励发放率是85%
[327.98-336.62] 现金殖利率以今日收盘价计算达到5.4%
[336.62-340.84] 请看到第九页
[343.98-345.68] 接下来跟大家分享
[345.68-346.84] 未来的营运价格
[346.98-348.16] 展望策略部
[348.16-350.26] 请看到第十页
[350.26-356.16] 对于未来展望南宝目标
[356.16-359.58] 今年营收再创新高
[359.58-362.62] 首先在鞋材方面
[362.62-367.20] 我们持续和运动品牌合作
[367.20-370.96] 共同开发新材质技术
[370.96-372.96] 争取新订单
[372.96-376.56] 目前成果逐渐显现
[376.56-376.96] 我们的产品和产品的产品
[376.96-377.96] 都在业务上有所提供
[377.96-378.96] 并开始逐步贡献营收
[378.96-379.96] 此外鞋材以外的特用接着剂
[379.96-380.96] 在持续拓展新的产业应用下
[380.96-381.96] 与鞋材等两大业务
[381.96-382.96] 为今年成长双引擎
[382.96-383.96] 而创新驱动的Nexgen成长策略
[383.96-384.96] 也持续发挥我们激进的产品
[384.96-385.96] 与产品的产品的产品
[385.96-386.96] 与产品的产品的产品
[386.96-387.96] 与产品的产品
[387.96-388.96] 与产品的产品
[388.96-389.96] 与产品的产品
[389.96-390.96] 与产品的产品
[390.96-391.96] 与产品的产品
[391.96-392.96] 与产品的产品
[392.96-393.96] 与产品的产品
[393.96-394.96] 产品的产品
[394.96-395.96] 产品的产品
[395.96-396.96] 产品的产品
[396.96-397.96] 与产品东西
[397.96-398.96] 3的产品
[398.96-400.06] Whoa可以
[400.06-400.96] 产品中心
[400.96-401.96] Nevertheless,
[401.96-402.96] 这个特征
[402.96-403.96] 以及艺术的挑战
[403.96-404.92] 设计
[404.92-405.92] 还有些协模
[405.92-406.92] 受到更好的收获
[406.92-407.68] 并具有的
[407.68-408.68] 可减少于
[408.68-409.80] ambassador dna
[409.80-410.84] 经济和维有
[410.84-411.34] 各种 Fiona
[411.34-411.96] h temas
[411.96-412.96] 产品的提供
[412.96-420.72] 是7位
[420.72-421.84] 维修ச筹
[421.84-425.10] 将增强今年整体营收表现
[425.10-430.34] 我们的目标持续产生稳定的现金流
[430.34-435.00] 并维持稳健的现金鼓励政策
[435.00-438.32] 如同前面提到的
[438.32-444.50] 2024年的现金鼓励发放率达到85%
[444.50-449.46] 远高于配发率至少65%的鼓励政策
[449.46-458.28] 最后我们的目标是将长期ROE提升到20%以上
[458.28-463.24] 我们将继续提升营运效率
[463.24-470.12] 致力于持续结构性改善营业利益率
[470.12-472.98] 请看第11页
[475.38-478.62] 南宝以提升ROE作为核心策略
[478.62-485.20] 南宝的股东权益报酬率ROE已连续三年成长
[485.20-489.50] 2024年达到19.4%
[489.50-494.68] 持续往20%以上的长期目标前进
[494.68-497.70] 请看到第12页
[497.70-503.14] 第四季南宝的营业利益率
[503.14-507.00] 较上季提升0.5个百分点
[508.08-508.60] 我们的目标是
[508.60-514.18] 我们持续强化核心优势聚焦高毛利产品
[514.18-523.60] 费用控制也是近几年南宝努力的重点之一
[524.16-529.54] 目标达成低于15%的长期目标
[529.54-534.66] 右图也展现南宝的营业利益率
[534.66-537.74] 虽然能受到原物料等
[537.74-538.58] 但也能受到原物料等外部费用利益率
[538.60-539.10] 但也能受到原物料等外部费用利益率
[539.10-539.60] 但也能受到原物料等外部费用利益率
[539.60-540.10] 但也能受到原物料等外部费用利益率
[540.10-540.60] 但也能受到原物料等外部费用利益率
[540.60-541.10] 但也能受到原物料等外部费用利益率
[541.10-543.60] 但观察长期趋势
[543.60-548.60] 以逐渐结构性改善
[548.60-553.60] 请看到第13页
[553.60-555.60] 再来跟各位说明
[555.60-561.60] 南宝双主轴策略之一的NATURE成长策略
[561.60-564.60] 这个策略有两大重点
[564.60-567.60] 第一个是主动
[567.60-568.16] 南宝主动的成长策略是什么呢?
[568.16-568.66] 主动的成长策略是什么呢?
[568.66-569.16] 主动出级
[569.16-571.72] 寻找合作的对象
[571.72-574.22] 第二个是提前
[574.22-579.70] 及早和合作伙伴共同研发创新
[579.70-584.18] 我们锁定产业龙头
[584.18-587.78] 透过早期资讯共享
[587.78-589.84] 快速开发
[589.84-594.68] 符合市场需求的接着解决方案
[594.68-597.24] 以持续提升市占率
[597.24-598.14] 与好处
[598.16-600.16] 并提升市场需求
[600.16-602.16] 例如在鞋用胶
[602.16-608.16] 我们是第一个帮国际品牌开发出新材料接着技术
[608.16-613.16] 让跑鞋达到高性能标准
[613.16-615.16] 半导体用胶方面
[615.16-624.16] 我们则推出高粘着高速降粘无残胶的UV减粘胶
[624.16-627.16] 大幅提升制成效率
[627.16-628.16] 我们推出高粘着高速降粘无残胶的UV减粘胶
[628.16-629.00] P Return
[629.00-630.16] 出售至 Brand M wild
[630.16-631.36] 加上每天成面推销
[631.36-634.16] 目工作用胶的部分
[634.16-636.16] 新方案让产能提升10倍
[636.16-643.16] 有效防止膨胀与缩缩
[643.16-646.16] 目前持续真正做出作用
[646.16-648.16] 创新ertechain
[648.16-650.16] 持续增进产品效能
[650.16-652.16] 提供更好的解决方案
[652.16-656.12] seafood
[656.12-657.08] 食品 духов开销
[657.08-658.08] 公司市场规则
[658.08-663.20] 向各位說明各事業群的營運展望已策略佈局
[664.48-665.76] 在協財方面
[666.78-668.32] 目前我們觀察到
[669.60-672.42] 不同品牌之間的成長動能
[673.18-675.24] 能有所差異
[676.52-678.30] 但整體市場需求
[678.56-679.58] 維持穩健
[681.64-686.24] 南寶長期與全球主要運動品牌皆有合作
[686.24-692.38] 因此我們會隨著整體產業成長而成長
[693.66-697.76] 關注產業發展趨勢同時力求
[698.02-699.30] 成長表現
[699.80-702.12] 優於產業平均
[703.14-705.70] 持續推動市佔率的提升
[708.26-711.32] 此外近期我們積極與品牌
[711.58-713.64] 夥伴共同開發
[713.88-716.20] 新材質與接著進行
[716.50-717.00] 技術
[718.28-720.08] 以滿足市場需求
[720.84-722.64] 並爭取新訂單
[723.66-724.94] 這些努力
[725.72-727.76] 已逐步顯現成果
[728.78-730.84] 開始對營收產生貢獻
[732.12-734.68] 我們將持續深化這類
[734.92-735.96] 高附加價值
[736.20-737.48] 產品的佈局
[738.76-741.08] 強化南寶的競爭優勢
[743.12-746.20] 在協財以外的接著技產品方面
[746.50-749.06] 我們觀察到
[749.56-751.88] 客戶需求持續回升
[752.90-755.72] 市場逐步回歸成長軌道
[756.48-757.50] 其中
[758.02-760.32] 半導體與光學用膠
[761.08-762.36] 木工用膠
[762.62-764.42] 及未柴用膠
[764.68-766.20] 表現相當強勁
[767.48-768.52] 策略上
[769.02-772.10] 我們持續拓展新市場機會
[773.12-775.68] 提升高毛利產品的比重
[776.50-777.78] 以創新
[778.80-780.08] 接著解決方案
[780.60-782.38] 積極切入半導體
[782.64-783.66] 電子產業
[783.92-786.22] 木工及紡織用膠
[786.74-787.50] 等領域
[789.04-790.32] 著重提升
[790.84-791.86] 產品效能
[792.88-794.42] 開發更多應用
[796.46-798.26] 其中我們特別看好
[798.76-801.84] 半導體接著劑及電子領域
[802.10-803.38] 相關應用
[804.40-805.16] 因此
[805.16-807.72] 我們將加大
[808.48-809.52] 資源投入
[810.80-814.88] 進一步強化產品技術與市場布局
[817.44-818.22] 另外在
[818.98-821.28] 塗料與建材業務方面
[822.32-823.84] 以2024年
[825.12-826.40] 全年來看
[827.68-829.74] 建材的營收佔成體
[830.00-831.78] 合併營收的16%
[833.06-834.60] 主要來自澳洲
[835.16-837.20] 目標持續成長
[837.72-841.30] 此外策略上將透過持續併購
[841.82-844.38] 加速建材業務的布局
[845.66-846.68] 塗料方面
[846.94-849.50] 以2024年全年來看
[850.52-854.10] 營收佔成體合併營收的7%
[855.12-856.40] 今年持續
[856.92-859.74] 著重在提升獲利表現
[862.30-864.08] 請看到第15頁
[865.16-869.26] 另外也和各位投資先進報告
[870.28-871.82] 南寶在國內外
[872.32-873.86] ESG評級上
[874.12-875.92] 屢屢獲得佳績
[876.68-878.22] 並持續精進
[879.50-880.78] 今年2月份
[881.80-884.10] 國際永續評比機構
[884.88-887.44] 標普全球最新發布
[888.46-890.76] 2025年永續年間
[892.30-895.12] 南寶首度獲選列入
[895.42-896.44] 年間會員
[897.98-899.52] 在本次評比中
[900.28-902.08] 南寶獲得總分
[902.32-903.86] 75分的成績
[904.64-907.20] 於全球化學同業中
[908.22-909.50] 排行前
[910.00-910.78] 2%
[912.82-914.36] 請看到第16頁
[915.38-922.04] 接續幾頁為ESG評級資料與南寶永續發展的重點摘要
[922.30-923.84] 請各位參考
[925.68-927.20] 那以上是今天的簡報
[927.72-929.00] 接下來的Q&A
[929.26-930.54] 歡迎大家提問
[931.04-931.82] 謝謝大家
[934.64-935.92] 謝謝林協理
[936.42-940.26] 那接下來我們將開始進行今天的Q&A
[940.78-944.36] 開放線上的各位投資先進進行提問
[944.62-948.20] 再提醒你歡迎您點視窗下方問與答的功能
[948.72-950.00] 並輸入您的問題
[950.24-951.78] 我們會傳給所有的主持人
[952.04-952.56] 謝謝
[953.58-955.12] 首先我們將針對在會前的
[955.42-956.96] 所受到投資的問題
[957.46-958.74] 來進行回答
[959.52-960.02] 首先
[960.80-962.58] 第一個投資人提問是
[963.10-963.60] 請問
[963.86-966.94] 南寶去年營收達到歷史新高
[967.20-968.72] 表現十分出色
[969.24-971.54] 今年的營收預期如何
[972.32-973.84] 能否進一步分析
[974.36-976.16] 分享一下今年的展望
[977.18-980.00] 這題我來說明
[981.02-984.34] 我想我們今年的目標能持續追求創新高
[985.42-988.24] 所以在我們會持續開發各種接觸機的應用
[989.26-991.04] 然後逐漸顯現一些成果
[991.82-994.12] 因此鞋用以外的特用接觸機
[994.64-996.42] 成長幅度是最值得期待的
[996.68-999.24] 半導體光學膠木工用膠
[1000.00-1002.82] 過去幾年都有兩三成的成長或更高的成長表現
[1003.34-1007.44] 所以今年也期待這些產品持續貢獻整體的成長表現
[1008.72-1015.12] 在鞋材業務方面目前看來整體需求穩健希望持續透過研發創新提供客戶更優勝
[1015.42-1015.92] 主要指的服務
[1016.44-1018.74] 逐步取得更多的市場份額
[1019.52-1021.30] 那建產圖料也期待持續
[1021.82-1022.84] 穩定的成長
[1023.60-1026.42] 加上購併的雲德CIA一年的營收月市益
[1026.94-1028.72] 也於2025年1月開始
[1029.50-1031.04] 並表貢獻營收
[1031.80-1034.62] 所以今年的整體營收還是有信心能持續成長的
[1035.12-1035.64] 謝謝
[1038.96-1040.24] 好謝謝執行長
[1041.52-1044.60] 第二個投資人提問是想請問
[1045.42-1049.26] 今年整個鞋材業務的展望大概是如何呢
[1050.54-1052.32] 請Jeffery幫你回答一下
[1053.60-1055.14] 鞋材的業務
[1055.40-1059.76] 來看的話需求還是蠻穩健的所以這個我們會繼續
[1060.26-1065.12] 在於營收就是今年大家團隊會繼續努力下去
[1065.90-1072.04] 那另外由於各國運動國際品牌的一些成長動能有些差異所以
[1072.30-1074.86] 訂單有些是漲有些是
[1075.16-1079.26] 有些是漲但國際運動品牌幾乎都是我們的客戶所以產業成長我們的
[1079.52-1080.80] 業績也是會跟著成長
[1081.04-1085.14] 那也有些新興品牌上我們也都努力在透過各種方式去爭取他們的
[1085.40-1085.92] 訂單
[1086.16-1086.68] 謝謝
[1090.26-1091.54] 好謝謝Jeffery的回答
[1092.32-1093.60] 第三個問題是
[1094.10-1094.62] 在
[1094.88-1095.38] 半導體
[1095.64-1097.18] 光鞋領域相關的產品
[1097.44-1098.46] 他們的應用為何
[1098.72-1099.74] 如果半導體供應鏈
[1100.00-1100.76] 是在
[1101.02-1101.52] 在
[1101.78-1102.30] 在
[1102.56-1103.06] 在
[1103.32-1103.84] 在
[1104.08-1105.12] 在
[1105.42-1106.96] 未來
[1107.20-1110.02] 往美國移動中那是否會影響
[1110.80-1112.08] 你們的佈局策略呢
[1114.12-1116.42] 為什麼你回答
[1117.96-1121.54] 那目前我們在光電領域
[1122.06-1123.34] 成效是比較好
[1123.60-1127.18] 主要是應用在一些顯示器的光學用膠
[1127.44-1129.48] 譬如說在OCA
[1129.74-1130.76] 或PIN光片
[1131.52-1133.58] 或者是在保護膜這些
[1134.08-1135.12] 那這些都是
[1135.42-1137.20] 進口取代
[1137.98-1141.04] 那目前也都穩定在出貨
[1141.82-1147.44] 那相對日本相對整體難保的營收來看這些市場的佔額
[1147.96-1149.24] 都還是非常的小
[1150.52-1156.16] 那在未來半導體產業的這個部分我們也剛剛才起步
[1156.40-1157.94] 我們生產的膠水
[1158.46-1160.76] 製作成UV結黏這個
[1161.28-1164.60] 那初期是很黏那照射UV之後
[1165.42-1166.44] 快就不黏
[1167.20-1168.48] 那也不會有殘膠
[1168.74-1171.82] 所以是有利於這些製程上的一些應用
[1172.84-1175.92] 那目前半導體相關的應用還是很少了
[1176.16-1176.94] 那我們
[1177.20-1179.76] 努力持續推進一些新的應用
[1180.52-1183.60] 那亞洲市場已經是很大的一個
[1183.84-1185.12] 空間了所以
[1185.38-1189.48] 目前對我們整個策略的佈局影響是不大
[1190.24-1194.86] 那我們也持續去關心整個半導體產業的一些動態跟發展
[1195.16-1197.20] 以上說明
[1199.26-1200.80] 好謝謝Morrison的說明
[1201.56-1203.36] 下一個投資人提問是
[1204.12-1206.68] 2024年發放19元的
[1206.94-1207.44] 股利
[1207.96-1211.28] 現金股率的發放率高達85%
[1212.32-1213.08] 請問
[1213.60-1215.12] 股利政策考量
[1215.38-1216.66] 主要是哪些因素呢
[1217.18-1220.24] 那未來是不是也可以期待這樣的發放率呢
[1221.78-1224.08] 財務問題要請林先生來回答
[1224.34-1224.86] 好
[1225.16-1225.68] 好
[1226.44-1228.74] 保有流動性和維持
[1229.00-1231.82] 資產負債表的穩健是首要的考量
[1232.58-1236.16] 那目前南寶的現金流充沛穩定
[1236.94-1238.72] 負債比例也不高
[1238.98-1240.78] 是進現金部位
[1241.28-1244.62] 那南寶的產能充足產能利用率
[1244.88-1246.92] 也有可以提升的空間
[1247.44-1248.72] 資本支出
[1248.96-1254.08] 大多是為了客戶配合客戶就近服務的投資
[1254.08-1257.92] 那目前按照既定計劃實成
[1258.94-1262.02] 並配合當地的一些法規按部就班進行
[1262.28-1264.58] 暫時比較沒有急迫性
[1265.08-1267.90] 所以資本支出的壓力不大
[1268.42-1270.46] 那另外同時也會考量
[1270.72-1272.76] 長期ROE的水準
[1274.04-1275.58] 由於獲利累積
[1275.84-1277.64] 那股東權益若
[1278.14-1280.20] 增加太快而變大
[1280.44-1283.52] 維持高ROE會越來越困難
[1284.08-1286.12] 所以所以我們也會
[1286.38-1287.40] 評估
[1287.66-1289.20] 適度利用
[1289.96-1292.78] 調整發放現金股利的方式
[1293.04-1294.84] 來提升ROE
[1296.12-1297.14] 那此外
[1297.90-1303.80] 也會隨著注意景氣產業等外部環境的變化
[1304.82-1306.60] 那對於未來的每年
[1307.64-1311.72] 會評估獲利表現資本支出計劃
[1312.24-1313.78] 併購機會等等
[1314.60-1318.94] 但在資產負債表與現金流健康的情況下
[1319.46-1321.50] 還是會提供穩定的
[1322.02-1323.56] 現金股利配發
[1324.06-1325.34] 回饋給股東
[1325.86-1327.40] 以上說明謝謝
[1329.96-1331.24] 好謝謝Hank說明
[1332.26-1334.82] 下一個投資人提問是想請問
[1335.58-1336.36] 公司在
[1336.86-1339.42] 碳纖維上的展望是為何
[1340.44-1342.50] 好的這個我來回答
[1343.00-1344.04] 在碳纖維方面
[1344.34-1345.62] 目前發展應用的領域
[1346.12-1346.90] 包括車用
[1347.16-1348.94] 改裝車
[1349.20-1349.96] 雪櫚車
[1350.48-1351.50] 手機
[1352.52-1353.30] 滑鼠
[1353.80-1354.84] 筆電
[1356.36-1357.40] 這個大項目
[1357.64-1360.72] 那我們Q1已經開始有一款
[1361.24-1366.36] 滑鼠和筆電就出貨了然後滑鼠和筆電也有新的客戶在談
[1366.60-1369.16] 希望在Q3 Q4有新的量出來
[1369.94-1370.70] 然後
[1370.96-1371.48] 現有的
[1371.72-1374.04] 電單在Q2會量會不會持續增加
[1374.34-1375.88] 因為有些小的學習曲線的問題
[1376.90-1380.74] 那汽車改裝還有新車方面我們希望在第3季
[1381.24-1382.28] 開始有
[1382.52-1383.80] 比較大量的出貨
[1385.08-1385.60] 所以
[1385.86-1386.62] 整體來講
[1386.88-1390.20] 下半年都會有相對比較高的成本和表現
[1391.48-1392.00] 謝謝
[1396.10-1398.40] 好謝謝執行長的說明
[1398.92-1402.76] 那再下一個這個之前的投資人提問是
[1403.00-1404.04] 目前市場
[1404.34-1405.62] 開始擔憂科技
[1405.88-1408.18] 及半導體產業的展望
[1408.44-1414.58] 甚至於在通膨預期及消費者信心上也有比較保守的一些看法出來
[1414.84-1416.12] 那請問南寶
[1416.62-1417.90] 對此類的看法
[1418.42-1420.20] 有何comment
[1420.46-1422.76] 以及未來應該如何因應
[1424.04-1424.56] 好
[1425.08-1431.22] 我想從南寶的歷史數據來看公司在不同的經濟周期下的
[1431.48-1434.04] 抗波動能力是相對穩健的
[1434.34-1437.40] 過去我們的營收只有在重大的全球事件當中
[1438.18-1440.22] 例如2018年的金融危機
[1440.74-1442.78] 2020年的COVID疫情
[1443.30-1446.36] 有出現稍微的負成長以外
[1446.88-1450.46] 過去南寶60年來都是美聯儲持續穩定成長
[1450.98-1453.80] 這主要是來自我們多元的應用市場和產品組合
[1454.30-1456.86] 讓我們不會過度依賴單業產業或客戶
[1457.12-1459.94] 能夠在不同市場環境下保持韌性
[1460.44-1461.48] 所以我想
[1462.50-1463.00] 我們的
[1463.00-1464.04] 客戶的
[1464.30-1466.08] 地理區域都是很分散
[1466.60-1468.14] 比較不會受到單一事件的影響
[1468.40-1469.92] 要說影響的話也比較低的
[1470.44-1473.26] 那我們會持續優化產品組合和多元布局
[1473.76-1476.58] 根據新的成長機會並降低單一產業
[1477.10-1477.60] 的影響
[1478.38-1481.44] 這幾年我們也積極提升高毛利產品組合
[1481.70-1482.98] 優化產品結構
[1483.24-1485.80] 讓ROE與EAD的成立水準提高
[1486.56-1488.10] 其實事實上有所變動
[1489.12-1490.40] 南寶的獲利能力
[1490.66-1494.00] 比過去更穩定這也是公司這幾年轉型的成果
[1494.30-1495.32] 此外
[1495.84-1498.90] 南寶的財務結構穩健現金流充足
[1499.42-1503.00] 能夠確保我們在景氣保守的環境下
[1503.26-1506.32] 能夠維持穩定的營運和投資計劃
[1506.58-1507.36] 和現金鼓勵
[1507.60-1508.88] 好謝謝
[1511.70-1512.22] 好
[1512.72-1514.52] 謝謝執行長的說明
[1514.78-1517.08] 那我們現在開始回答
[1517.34-1518.88] 線上投資人的提問
[1519.12-1522.96] 那我們在重複這個問題之前還是提醒線上所有的投資人
[1523.22-1523.74] 如果你有
[1523.74-1526.30] 任何要請教公司的問題
[1526.56-1529.62] 您可以點選視窗下方問與答的功能
[1529.88-1530.90] 並輸入您的問題
[1531.42-1532.96] 我們會傳送給
[1533.22-1534.24] 所有的主持人
[1534.50-1536.80] 並且在您回答這個
[1537.30-1539.36] 打入問題之後我們會盡快的安排
[1539.86-1541.14] 管理層回答
[1541.66-1545.24] 那第一個線上的投資人提問是想請教半導體
[1545.50-1546.26] 用膠
[1546.78-1548.82] 是有什麼樣的佈局呢
[1552.42-1553.70] 謝謝關金
[1554.00-1557.84] 半導體裡面的用膠主要有幾個佈局的方向
[1558.10-1560.40] 第一個就是用在一些研磨
[1560.66-1562.44] 晶片的研磨減薄
[1563.46-1567.30] 這第一個那第二個是研磨完之後的切割
[1567.56-1569.86] 有很多切割完之後
[1570.12-1573.20] 怎麼切得比較好切完之後怎麼把它拿起來
[1573.46-1574.74] 這個是切割掉帶
[1575.24-1578.06] 那第三塊就是在一些製程保護
[1579.34-1583.70] 半導體裡面有很多的化學物理加熱照光
[1584.00-1585.28] 耐酸耐鹼
[1585.78-1587.06] 不同的應用
[1587.32-1588.86] 那這些
[1589.62-1590.66] 製程上面
[1591.16-1592.70] 有些地方你就是要保護
[1593.72-1595.52] 不要被污染或不要被破壞
[1595.78-1598.58] 所以這些製程用膠事實上這個有很多的應用
[1599.10-1602.18] 我們也持續跟客戶配合
[1602.68-1604.48] 去發展新的應用
[1604.98-1606.02] 以上說明
[1608.82-1610.88] 好謝謝Morris的說明
[1611.90-1613.18] 第二個投資人提問是
[1613.44-1618.30] 請問第四季的營業利益率為16.4%
[1618.82-1620.86] 創歷史的次高紀錄
[1621.38-1625.72] 那請問2025年是否有進一步提升的空間呢
[1626.50-1629.56] 那另外就是主要驅動的原因
[1630.08-1630.84] 大概為何
[1631.62-1633.66] 好這點我們讓Hank來回答
[1633.92-1635.70] 好謝謝
[1638.26-1639.30] 營業利益率
[1639.54-1641.08] 長期還是
[1641.34-1641.86] 有
[1642.10-1643.14] 進一步提升的
[1643.40-1643.90] 空間
[1672.32-1673.10] 那這個部分
[1673.40-1674.42] 不是我們能夠
[1674.94-1675.96] 完全掌控的
[1676.22-1677.74] 不過大家可以參考
[1678.00-1680.06] 簡報的第12頁的圖表
[1680.56-1681.58] 可以看到
[1682.10-1684.14] 營業淨利率與原料
[1684.66-1685.94] 原物料的走勢
[1686.20-1687.74] 有點反向關係
[1688.24-1692.08] 過去我們的營業利益率很少能夠達到10%以上
[1692.34-1694.90] 但現在已經有連續八個季度
[1695.16-1696.70] 維持在10%以上
[1697.46-1700.54] 毛利率也在不同區間間波動
[1701.56-1703.10] 這個反映出我們的
[1703.40-1704.42] 營運的體質
[1704.94-1706.22] 有明顯的提升
[1706.98-1709.28] 即使市場的環境有波動
[1709.80-1711.58] 我們仍然能保持
[1711.84-1713.12] 五件的獲利能力
[1714.14-1716.70] 那展望2025年
[1716.96-1719.02] 我們會繼續聚焦在
[1719.26-1720.80] 提升產品組合
[1721.58-1723.36] 擴大高毛利的業務
[1723.62-1725.16] 優化營運效率
[1725.66-1729.26] 同時也會靈活應對市場變化
[1729.50-1730.28] 以確保
[1730.78-1732.84] 營業利益率波動穩定
[1733.40-1736.22] 並在有機會時進一步的提升
[1736.46-1738.26] 以上的說明謝謝
[1740.06-1740.56] 好
[1740.82-1742.62] 謝謝Hank的說明
[1743.90-1745.42] 下一個投資人提問是
[1745.68-1749.52] 請問南寶產品供應是否會受到
[1749.78-1750.30] 美國
[1750.54-1753.10] 有關提高關稅的影響
[1753.62-1757.72] 我們的生產基地會如何調配及因應
[1758.74-1759.76] 相關的措施呢
[1763.14-1764.94] 因為我們
[1766.22-1768.26] 沒有直接出口到美國去
[1768.52-1771.08] 有的是很少的量那不影響整個的
[1771.34-1771.84] 收入
[1772.36-1775.42] 其他主要是關鍵是我們的客戶
[1776.20-1778.50] 我想他們在什麼國家
[1779.78-1781.82] 問題或什麼要什麼回應我們會
[1782.08-1785.66] 配合他們的客戶去減少他們的關稅
[1786.44-1787.72] 主要生產基地
[1788.22-1791.04] 鞋彩或相關的相機都有相對的佈局所以
[1791.82-1793.10] 我們應該是
[1793.40-1798.00] 就配合市場的變動來調整應該是衝擊會不會很大
[1801.58-1802.36] 好謝謝
[1802.86-1804.66] 好謝謝你一個說明
[1805.18-1807.48] 下一個現場投資人提問是
[1808.24-1814.38] 想請問光學用膠以及UV膠的市場大概有多大
[1814.64-1815.16] 謝謝
[1816.44-1817.46] Wayson可以
[1818.22-1818.74] 大概
[1819.00-1819.76] 估一下吧
[1820.28-1821.30] 好謝謝
[1821.56-1823.10] 因為市場
[1823.40-1824.16] 一直在變化
[1824.42-1825.18] 那這個
[1825.44-1828.26] 應用的層次也越來越多了我們
[1828.78-1832.62] 一些新興的應用也一直在陸續發展
[1833.38-1837.22] 那從整個市場面的大小來看
[1837.48-1841.58] 光學用膠跟這個粗估我們看可能在
[1842.08-1844.38] 白億的範圍
[1844.64-1847.72] 台幣的範圍裡面了那這個可能
[1848.22-1850.54] 還要一讓不同應用
