[0.00-1.36] 各位同志很晚
[611.36-615.72] 那在歐洲地區以及在亞洲地區裡面的日本地區
[615.72-617.00] 相較前一年
[617.00-618.80] 因為第四季的是
[618.80-620.58] 比較少新品出貨所以
[620.58-624.68] 營收是微幅的減少
[624.68-626.48] 那美國地區這邊看到地區的銷售是2.3億
[626.52-629.08] 那在歐洲地區的銷售是9400萬
[629.08-631.12] 第三季是6800萬
[631.12-633.94] 這個部分是成長了4成
[633.94-637.02] 比上去年第四季5400萬
[637.02-639.32] 這邊是成長了7成
[639.32-642.40] 所以在美國地區算是成長幅度是
[642.40-643.68] 蠻不錯的
[643.68-644.96] 那也是因為
[644.96-653.14] 客戶當地在銷售的情況還不錯算是穩健的成長
[653.14-655.20] 那再看到整個損益的變動
[655.20-656.48] 飼養整個
[656.52-659.84] 前三季的營收是持續創新高
[659.84-663.68] 那剛剛有提到第四季是略微減緩
[663.68-665.74] 那主要還是收到
[665.74-667.78] 前三季的新品比較多
[667.78-670.34] 那第四季是比較偏re-pure的
[670.34-672.64] 所以略微稍微緩一些
[672.64-675.20] 那整體去
[675.20-679.82] 中關2024年的成長主要是有三個部分
[679.82-682.38] 那第一個部分是採拋佔比的成長
[682.38-684.42] 從兩成增加到三成
[684.42-685.20] 那細水椒採拋推到市面上的成長是有三個部分
[685.20-685.70] 那細水椒採拋推到市面上的成長是有三個部分
[685.70-686.22] 那細水椒採拋推到市面上的成長是有三個部分
[686.22-690.82] 推到市面上之後其實蠻多的消費者還蠻愛用這樣子的一個產品
[690.82-693.64] 因為它除了美觀之外它還可以讓眼睛
[693.64-695.70] 能夠更健康更透氧
[695.70-698.26] 所以這個推到市場上的反應是蠻好的
[698.26-699.78] 那有幾款爆款的產品
[699.78-703.62] 造成細水椒採拋佔比的提升
[703.62-706.18] 那第二個部分是老花多焦片
[706.18-708.24] 有出到歐洲市場
[708.24-710.02] 在第三季的時候
[710.02-712.34] 那老花多焦片是
[712.34-715.40] 隨著年齡增長就開始可能40歲以上都會有些老花的問題
[715.40-715.92] 那老花多焦片是隨著年齡增長就開始可能40歲以上都會有些老花的問題
[715.92-716.94] 那老花多焦片是隨著年齡增長就開始可能40歲以上都會有些老花的問題
[716.94-719.76] 所以我們這個產品也正式出到歐洲去
[719.76-725.14] 那也是希望可以延長大家戴隱形眼鏡的年齡
[725.14-727.18] 那第三個部分是散光片
[727.18-730.76] 在第四季的時候出到日本地區
[730.76-733.58] 那散光片我想蠻多人其實只有散光
[733.58-736.92] 那只是說之前可能會受限於
[736.92-740.24] 拋棄式的隱形眼鏡可能比較少有散光功能的
[740.24-743.56] 所以可能會用加度數的一些方式去補它跟度數
[743.56-745.88] 但是有散光功能加上近視功能
[745.88-745.90] 但是有散光功能加上近視功能它是有一個很大的問題的
[745.90-748.20] 它可以讓整個視覺更清晰
[748.20-750.76] 所以這個其實是市場上有蠻大的需求
[750.76-754.10] 那客戶其實也很希望有這樣的產品出來
[754.10-758.44] 那我們也正式在第四季出到日本地區
[758.44-761.00] 那再來是展望2025年
[761.00-764.34] 那第一個部分我們是希望剛剛講的彩拋
[764.34-765.86] 還有老花多焦片
[765.86-766.90] 還有散光片
[766.90-768.94] 這些特殊的功能性鏡片
[768.94-772.52] 在市場的佔比能夠提升
[772.52-774.82] 那第二個部分是產能
[774.82-775.86] 我們原本的月產
[775.86-778.68] 是3800萬片
[778.68-781.50] 那我們現在在現有的設備之下
[781.50-783.54] 我們去提升設備效率
[783.54-785.58] 以及提升良率
[785.58-789.94] 我們就已經增加了月產的到4200萬片
[789.94-793.78] 那這是在不增加完全設備投資的情況下
[793.78-798.90] 那這個對於成本也是可以有效的降低
[798.90-801.20] 那另外我們因為
[801.20-805.82] 產能加動率已經連續幾季都達到九成
[805.82-808.12] 所以我們已經有去下單
[808.12-809.66] 再去做一個擴限
[809.66-811.20] 那預計在第四季
[811.20-819.90] 月產能可以提升到4600萬片
[819.90-822.72] 在資產負債的部分
[822.72-824.76] 隨著營運的擴增
[824.76-826.82] 所以我們的營收賬款
[826.82-829.12] 以及應付款項
[829.12-833.22] 比上去年底有略微的增加
[833.22-834.74] 在存貨的部分
[834.74-835.78] 去年底是5197萬片的部分
[835.82-839.66] 已經降到6億以下
[839.66-841.70] 那這個部分我們的存貨週短率
[841.70-845.04] 從四個月降到三個月
[845.04-848.36] 算是比較健康的一個水準
[848.36-849.90] 那其他在
[849.90-852.20] 金融資產非流動的部分
[852.20-855.78] 去年底有一個26500萬
[855.78-857.32] 採用權益法投資
[857.32-858.60] 這邊今年
[858.60-859.62] 2020年底
[859.62-861.42] 有一個42500萬
[861.42-864.50] 那這個主要是對明達醫學的投資
[864.50-865.78] 我們在11月底
[865.82-868.64] 已經對他的投資達到20%
[868.64-870.42] 所以改成權益法投資
[870.42-872.98] 那在2023年底的時候是
[872.98-874.02] 接近2.7億
[874.02-877.60] 那2024年我們全年是增加了投資1.8億
[877.60-879.38] 所以整個
[879.38-882.20] 轉到權益法投資是轉了4.5億
[882.20-885.78] 那這個是整個一個投資的變動
[885.78-889.38] 在金融負債的部分
[889.38-891.42] 2023年底是10.5億
[891.42-893.72] 2024年底是8.3億
[893.72-895.78] 這部分減少了2.2億
[895.82-898.90] 整個負債比率
[898.90-900.42] 降到了30%
[900.42-903.50] 在前一年是3.7%
[903.50-907.60] 所以整個財務結構也是更加的穩健
[907.60-909.90] 在其他權益法條件這邊
[909.90-912.46] 2023年底是負的1.9億
[912.46-914.76] 2024年是正的1000萬
[914.76-915.78] 這個主要是
[915.78-916.82] 馬幣
[916.82-917.84] 的影響
[917.84-921.16] 因為剛剛有說我們其實工廠在馬來西亞
[921.16-923.98] 所以整個馬來西亞當地會是馬幣的報表
[923.98-925.78] 那馬幣在去年
[925.82-928.64] 升值了9%
[928.64-929.92] 所以整個
[929.92-932.74] 他當地的淨值是4.2億的馬幣
[932.74-935.04] 所以整體換算的
[935.04-936.82] 差異就比較高
[936.82-939.64] 那馬幣匯率在第三季是變動最大的
[939.64-942.46] 第三季就升值了12%
[942.46-945.02] 那第四季的部分是貶值了5%
[945.02-947.06] 所以已經有比較趨緩了
[947.06-948.86] 那馬來西亞當地因為
[948.86-950.40] 經濟一些情勢的關係
[950.40-952.18] 所以可能就是匯率會
[952.18-954.74] 必別是比較強勢一些
[954.74-955.78] 那但是整體已經是
[955.82-959.40] 已經到第四季有趨緩
[959.40-960.68] 以上是整個財務報表
[960.68-961.46] 已經開放了
[961.46-962.74] 我們現在進行Q&A
[962.74-964.02] 那如果
[964.02-965.80] 我們後面的
[965.80-967.08] 投資先進
[967.08-969.64] 如果你們有任何的問題的話麻煩請舉手
[969.64-971.70] 然後我也把麥克風寄給你們
[971.70-972.72] 謝謝
[976.56-977.58] 你好
[977.58-979.12] 這邊三個問題請教
[979.12-982.44] 第一個是我們公司針對今年保利率的想法
[982.44-985.78] 因為上一次法術有提到說其實我們有機會是回到
[985.82-987.36] 市場上的
[987.36-988.38] 這是第一個
[988.38-990.18] 那第二個是說我們
[990.18-991.96] 今年第四季新增產能
[991.96-993.50] 這樣子的一個費用
[993.50-995.54] 可能會對我們影響多少
[995.54-998.10] 那第三個是說
[998.10-1000.92] 現在我們看到日幣其實是有升值
[1000.92-1002.20] 而且蠻明顯的
[1002.20-1004.26] 然後馬幣也回穩
[1004.26-1005.78] 回復的點值
[1005.78-1008.10] 那這樣對我們的毛利上
[1008.10-1011.68] 有什麼樣正面的影響或影響不可以多大
[1011.68-1014.74] 那不然再加問一個就是說那我們投資
[1014.74-1017.82] 民大醫學是想要產生什麼樣子的一個
[1017.82-1018.58] 縱向
[1018.58-1019.34] 往上
[1022.68-1025.24] 感謝這個投資人的提問
[1025.24-1028.30] 針對第一點毛利的部分可以看到剛剛
[1028.30-1032.40] 我們去年在這個營收創新高的情況之下整個
[1032.40-1035.98] 生產的架動力量拉高其實成本是
[1035.98-1039.32] 下降蠻多所以毛利有蠻明顯的
[1039.32-1040.08] 進步
[1040.08-1041.88] 那今年從
[1041.88-1044.70] Q1來看還是蠻正向的啦
[1044.74-1045.76] 我們也有看到
[1045.76-1047.30] 在這個年度上
[1047.30-1048.58] 我們有看到
[1048.58-1048.84] 生產的
[1048.84-1049.34] 會在
[1049.34-1050.62] 在有一些
[1050.62-1051.90] 成長這樣
[1051.90-1056.52] 那針對第二個問題是說產能的擴充會增加多少
[1056.52-1060.10] 其實我們去年下半年就做了一些
[1060.10-1064.46] 舊的產線的優化的調整其實沒有花太多投信設備的錢
[1064.46-1065.48] 就做一些
[1065.48-1066.24] 改造
[1066.24-1070.08] 生產的效率有提升大概10%
[1070.08-1071.36] 我們之前的
[1071.36-1073.42] 產能是3800萬片
[1073.42-1074.70] 那我們去年
[1074.70-1075.46] 20萬片
[1075.46-1079.30] 那現在的架動還是非常滿所以剛才我講我們已經
[1079.30-1081.10] 有下新的
[1081.10-1083.40] 設備訂單出去在今年
[1083.40-1085.70] 第四季產能就會開到4600
[1085.70-1088.78] 那這個就大概是我們對於今年
[1088.78-1091.60] 客戶端需求的這個
[1091.60-1092.62] 準備
[1092.62-1096.20] 所以那個成長率大概可以從這邊去思考
[1096.20-1099.54] 那當然在經濟規模擴充之下其實我們
[1099.54-1102.10] 工廠現在的人力其實是
[1102.10-1103.38] 沒有增加太多
[1103.38-1104.66] 所以整個集合起來
[1104.66-1106.96] 我相信毛利率一定是會再往
[1106.96-1109.26] 更正向這邊去發展
[1109.26-1112.08] 那關於明達部分還是請
[1112.08-1113.10] 董事長這邊來
[1113.88-1119.26] 跟各位報告一下那明達這一塊呢其實我們飼養大概因為我們是從
[1119.26-1122.58] 在眼科這一塊
[1122.58-1128.72] 那其實飼養的長遠發展是希望在眼科的健康這個我們會往這邊投資去做那個
[1128.72-1129.74] 專業的
[1129.74-1131.80] 眼科健康的集團
[1131.80-1136.40] 所以各位可以看到剛才也有聽到我們除了隱形眼鏡以外其實我們
[1136.40-1137.44] 眼用製劑
[1137.44-1141.78] 白環就是人工類異或眼藥水這一塊我們內部其實已經有在
[1141.78-1143.84] 投入在研發
[1143.84-1149.98] 那當然我們對我們來講我們飼養這一塊我們還是技術導向的公司我們不會說去外面買東西來就去
[1149.98-1151.26] 賣貼牌去賣
[1151.26-1152.28] 那不是我們
[1152.28-1154.32] 想要做的我們認為我們還是在
[1154.32-1156.64] 投資技術研發這一塊
[1156.64-1158.68] 那所以這個從
[1158.68-1160.48] 隱形眼鏡眼藥水
[1160.48-1166.12] 那再來的話眼科這一塊的話各位如果眼鏡有問題第一個就是要去做檢測
[1166.12-1170.46] 所以檢測儀器對我們來講也是眼科非常重要的一塊
[1170.46-1176.86] 那現在明達醫學其實是台灣這一塊專門在做眼科檢測儀器設備這一塊的
[1176.86-1178.14] 專業公司
[1178.14-1184.04] 那他公司的營收破率也蠻穩的設備各方面也是在市場上蠻先進的
[1184.04-1187.88] 所以大概兩三年前有機會我們就開始
[1187.88-1189.16] 投資這個公司
[1189.16-1190.18] 那到現在是
[1190.18-1191.46] 20%
[1191.46-1195.56] 那產業來講我們希望是大家不管是全域跑道講的
[1195.56-1199.66] 大家把台灣比較優秀的公司在眼科相關的公司大家整合起來
[1199.66-1202.46] 那一起來打這個市場那這樣Laborate
[1202.46-1205.80] 我認為大家的綜合會比較大一點
[1205.80-1208.36] 那回到毛利率剛才有講到就是說
[1208.36-1211.94] 剛才講的從3800到4200其實我們的
[1211.94-1215.52] 資本支出非常少因為我們只把線體稍微改善
[1215.52-1220.14] 那資本支出有的就從4200到4600這個是真的要再擴限的
[1220.18-1222.48] 400萬片是要擴限的
[1222.48-1227.10] 那但不管怎麼樣從3800到4200其實我們的效率就
[1227.10-1229.14] 這就會貢獻到我們的毛利率
[1229.14-1235.28] 那同一件的話像你剛談到日幣的話大概今年我想大概這個範圍或者甚至再好一點
[1235.28-1239.38] 所以這兩個加成起來我認為說今年就我們講回到
[1239.38-1243.74] 回到那個10幾%的毛利率這今年應該
[1243.74-1245.52] 應該把握度還蠻高的
[1250.18-1267.84] 好我想要請教兩個問題
[1267.84-1270.40] 那第一個我是想要問說我們今年對
[1270.40-1274.76] 各個地區的一個看法怎麼樣我們哪個地區我們比較期待
[1274.76-1279.10] 那第二個是在於彩炮新品我們今年有沒有什麼可以跟我們分享
[1279.10-1280.14] 以上謝謝
[1280.18-1283.26] 好
[1283.26-1285.56] 就是首先我先從
[1285.56-1289.14] 美國這邊開始講起就其實我們去年營收創新高之後
[1289.14-1292.46] 幾乎每個區域的營收都是
[1292.46-1295.28] 創下公司的歷史新高除了
[1295.28-1297.34] 中國那邊還差一點點
[1297.34-1299.90] 那美國這邊其實
[1299.90-1304.50] 我們去年的成長率也蠻好的然後最主要是
[1304.50-1307.82] 舊的客人他做一些行銷活動就是
[1307.82-1310.14] 銷售的成長預期比他預期的還好
[1310.14-1311.94] 所以美國那邊是
[1311.94-1314.74] 還蠻正向的然後我們也有
[1314.74-1316.02] 有帶一些
[1316.02-1317.82] 舊客人有賣進去一些
[1317.82-1319.36] 新品項進去
[1319.36-1322.42] 那再來歐洲這邊大概
[1322.42-1328.58] 去年營收也是創新高然後到目前看起來成長的動能也蠻穩定的
[1328.58-1332.16] 那就是後續就是看我們去年推進去的那個
[1332.16-1337.28] Multifocal那個老化片看市場的客人推動的狀況
[1337.28-1340.10] 如何所以歐美看起來就算是蠻穩定的
[1340.14-1342.18] 但是穩定在成長
[1342.18-1343.46] 那
[1343.46-1345.26] 再來就是
[1345.26-1349.36] 中國跟台灣這邊其實我們台灣的客戶大概有
[1349.36-1354.48] 六七成的晶片都是賣進去中國所以中國整個市場看起來是
[1354.48-1356.26] 我們目前就是
[1356.26-1359.34] 成長上算是比較緩和的區域
[1359.34-1361.38] 我們去年的
[1361.38-1362.92] 中國區的
[1362.92-1366.50] 營業額跟前年比的話基本上還是有
[1366.50-1368.04] 大幅的成長
[1368.04-1370.10] 那只是說我們前年基期也比較低
[1370.14-1373.98] 那現在今年看起來那個金額還是會成長
[1373.98-1375.78] 但是幅度的話
[1375.78-1379.62] 我們現在內部在看是比較保守那這邊
[1379.62-1383.46] 主要是我們現在的成長動能都是我們的舊客人
[1383.46-1384.48] 其實
[1384.48-1385.76] 在市場的
[1385.76-1388.58] 口碑都很好所以他們的review都算
[1388.58-1389.60] 蠻穩定的
[1389.60-1392.16] 那我們供進去的幾個新客戶
[1392.16-1397.28] 這個細水交通是比較高單價看起來他們推動上的成長率是
[1397.28-1399.32] 比較差一點
[1399.32-1400.10] 那這個
[1400.14-1402.70] 再來第3個部分就是日本的部分
[1402.70-1407.56] 其實我們日本區在去年算是成長非常的高
[1407.56-1409.86] 那主要就是我們的
[1409.86-1411.66] 採拋產品在
[1411.66-1415.24] 去年供進去日本幾個大客戶之後反應很好
[1415.24-1417.54] 他的review算是比我們
[1417.54-1418.82] 預期的高
[1418.82-1421.64] 那再加上舊的球面片
[1421.64-1425.48] 其實客戶那邊的銷售動能也都比預期的好
[1425.48-1427.28] 那球面片的
[1427.28-1430.10] 通路夠多之後我們現在的舊客人基本上就要有一個很大的
[1430.14-1431.16] 要求我們
[1431.16-1434.74] 閃光片要也供給給他所以今年的
[1434.74-1436.80] 成長動能就是這個
[1436.80-1438.58] 閃光片會暫時
[1438.58-1440.12] 蠻重要的
[1440.12-1446.26] 所以綜合以上來講除了中國成長會比較低一點之外我們其他幾個區域
[1446.26-1449.86] 今年看起來應該都還是有機會會再
[1449.86-1454.20] 創新高
[1454.20-1456.50] 以上是我這邊的回覆
[1460.14-1466.28] 採拋新品是這樣其實採拋它就是一個流行品它其實即使是舊客戶它每一季
[1466.28-1467.82] 甚至每半年
[1467.82-1469.86] 就固定都是會有新的圖案
[1469.86-1473.46] 例如說像我們現在家裡都有幾十個案子在跑就是
[1473.46-1475.24] 新的圖文這樣
[1475.24-1479.60] 那今年的整體到目前看起來成長
[1479.60-1480.62] 數字
[1480.62-1483.18] 總量都還是會比去年多
[1490.14-1494.24] 請教就是
[1494.24-1496.28] 跟國內這些
[1496.28-1502.42] 其他兩三家的競爭者那你們在日本或是中國那你們用的策略是
[1502.42-1504.22] 要怎麼樣去做一個
[1504.22-1506.52] 取分就是你們的
[1506.52-1508.82] 假設像你們以日本為
[1508.82-1512.92] 主要的主攻市場未來來講剛才你們提到的嘛
[1512.92-1515.22] 那些策略上有沒有比較
[1515.22-1518.30] 特別的地方可以跟我們分享一下嗎
[1518.30-1520.10] 謝謝
[1520.10-1524.96] 謝謝投資者的提問
[1524.96-1527.78] 對我們來講其實我們是一個製造商
[1527.78-1530.34] 其實我們就是服務的客戶
[1530.34-1531.10] 其實
[1531.10-1534.94] 飼養定位以來其實我們一直的不是看國內的同業
[1534.94-1537.26] 因為我們飼養是做系列交
[1537.26-1541.86] 當我們在跨境市場的時候其實就只有前世大有系列交
[1541.86-1546.22] 所以我們的策略一直是我們是在跟前世大競爭市場
[1546.22-1547.74] 這是飼養的策略
[1547.74-1550.06] 所以為什麼飼養在做的時候其實我們的
[1550.06-1551.86] 產品都是定的前世大
[1551.86-1555.44] 我們產品品質要求一定要做到跟前世大一樣好
[1555.44-1560.04] 那這也是我們多年以來我們策略基本上策略來講還是一樣
[1560.04-1563.62] 那我們跟我們的通路夥伴不管在日本在哪個市場
[1563.62-1566.44] 我們都希望我們去跟前世大競爭市場
[1566.44-1568.74] 那現在的話老實講是說
[1568.74-1571.30] 日本那一塊的話為什麼會表現比較好
[1571.30-1575.14] 因為日本那一塊基本上這塊策略執行的比較徹底一點
[1575.14-1576.42] 因為日本那一邊
[1576.42-1580.02] 除了因為日本通路比較多一點他還有
[1580.06-1582.62] 他有領科醫師的通路他有線上通路
[1582.62-1584.16] 他有實體通路
[1584.16-1585.94] 那這邊的話會相互拉抬
[1585.94-1589.54] 所以你要攻前世大的話這一塊是怎麼會比較快
[1589.54-1591.58] 那中國那一塊當然也是有
[1591.58-1594.40] 但中國那一塊大家都知道就是線上比較多
[1594.40-1600.02] 那線上那一塊的話當然就是一個另外一種比較不一樣的game
