[0.00-6.80] 新农股份有限公司法人说明会会议开始
[310.46-313.26] 比去年同期减少了1.8亿
[313.26-314.70] 年减1%
[314.70-317.22] 其中植物保护部门
[317.22-318.64] 110亿
[318.64-320.34] 减少4亿
[320.34-321.68] 年减4%
[321.68-325.56] 植保主要是南美的沙虫剂市场
[325.56-327.88] 业绩衰退影响
[327.88-330.34] 那再来超市的部分是
[330.34-332.02] 43亿成长1亿
[332.02-333.34] 年增2%
[333.34-336.62] 主要是竹北及桃园新展店
[336.62-337.72] 所以业绩成长
[337.72-339.76] 那第三个部分
[339.76-342.74] 家用品团散27亿成长2亿
[342.74-343.96] 年增10%
[343.96-352.24] 主要是玉美的业绩成长
[352.24-354.82] 以及家用品的通路业绩成长
[355.56-357.36] 第四个部分是
[357.36-360.32] 其他是玉范湖泥土的失业9亿
[360.32-362.82] 减少了0.8亿
[362.82-363.98] 年减8%
[363.98-368.00] 接下来我们看到地区别的销售占比
[368.00-370.48] 新农集团地区别的销售占比
[370.48-372.26] 在台湾占60%
[372.26-376.10] 分别是台湾植保18%
[376.10-378.38] 超市23%
[378.38-380.64] 家用品集团占14%
[380.64-382.04] 还有泥品5%
[382.04-385.36] 其余的40%都是海外的营收
[385.36-385.54] 其余的40%都是海外的营收
[385.56-389.20] 那海外的营收都是来自海外的植保事业群
[389.20-392.90] 其中东北亚主要是日本跟韩国占了5%
[392.90-395.18] 中国的部分占10%
[395.18-398.38] 亚洲其他地区占4%
[398.38-399.70] 欧洲10%
[399.70-401.48] 美洲11%
[401.48-403.62] 全球布局均匀
[403.62-407.16] 可以分散南北半球的淡忘记的经营风险
[407.16-409.94] 接着我们看到合并存益表
[409.94-414.60] 就本页来看利益减少3882万
[414.60-415.44] 主要是因为
[415.56-417.96] 营收的部分是有减少
[417.96-421.36] 但是因为毛利率产品组合的关系
[421.36-422.60] 毛利率有提升
[422.60-425.00] 所以整个就消货毛
[425.00-428.00] 营业毛利来看是增加的
[428.00-431.08] 那提升的部分主要是因为产品组合
[431.08-433.70] 今年成长业绩成长的部门
[433.70-437.12] 刚好都是落在这个毛利率的结构
[437.12-438.64] 比较好的事业部
[438.64-442.44] 包含台湾的植物保护部门
[442.44-445.54] 然后大陆的药业部门
[445.56-450.12] 然后巴西子公司的毛利也有成长
[450.12-453.12] 那另外就是风炕超市的业绩成长
[453.12-455.52] 那它的毛利率也是有提升
[455.52-458.60] 另外就营业费用的部分
[458.60-460.96] 主要是推销费用增加了
[460.96-463.60] 那推销费用增加的主要原因是
[463.60-466.80] 受到这个船运费的涨价的关系
[466.80-469.36] 外销费用的部分有多了8000多万
[469.36-473.56] 那今年的产品药政的独立投资
[473.56-475.16] 也有增加支出
[475.16-475.54] 那这个产品的独立投资也有增加支出
[475.56-477.38] 增加了7000多万
[477.38-479.08] 这是整个营业费用增加
[479.08-482.64] 所以呢造成这个营业利益的部分
[482.64-485.56] 是有略幅的减少
[485.56-490.58] 那业外的收支跟去年通期比差异不大
[490.58-493.26] 那因为上述的原因
[493.26-497.54] 所以造成这个税前净利减少了3147万
[497.54-500.58] 母公司的业主净利10.5万
[500.58-502.16] EPS是2.5元
[504.16-505.54] 接着获利能力
[505.56-507.56] 那这个货币的部分
[507.56-509.56] 毛利率提升了2%
[509.56-512.56] 主要是我刚刚提到产品组合的关系
[512.56-516.56] 毛利率高的单位刚好今年营收的成长
[516.56-520.56] 造成它这个营业占比比较高
[520.56-523.56] 包含台宝包含超市等等
[523.56-526.56] 所以这个整个毛利率的提升
[526.56-529.56] 是有受到这个产品组合的影响
[529.56-534.56] 那营业利益率跟税后的净利率降低
[534.56-535.56] 主要是因为这个产品组合的关系
[535.56-538.56] 我刚才提到营业费用的外销运费上涨
[538.56-542.56] 还有投资产品的登记费用增加
[542.56-546.56] 那接着我们看到下一页负债比的部分
[546.56-550.56] 负债比44.7
[550.56-553.56] 较去年略增了0.4%
[553.56-559.56] 主要是预美在2024年有购置工业区的不动产
[559.56-563.56] 所以固定资产有增加3.8亿
[563.56-564.56] 那同时呢
[564.56-566.56] 那同样的银行存款
[566.56-569.56] 银行的借款也有增加1.8亿
[569.56-573.56] 所以就整个造成负债比有略微提升
[573.56-576.56] 接下来我们看到股利分派的部分
[576.56-580.56] 新荣公司一直以来都是以维持稳定的获利
[580.56-583.56] 稳定的股利政策为目标
[583.56-585.56] 2024年的EPS是2.5
[585.56-588.56] 那董事会的决议现金股利也是2.5
[588.56-593.56] 那今天刚好就是新荣公司的出席日
[593.56-599.56] 那发放比例的部分是100%
[599.56-605.56] 那现金股利的发放日预计是在4月16号发放
[605.56-607.56] 以上说明
[607.56-616.56] 好
[616.56-618.56] 请各位投资先进
[618.56-620.56] 如果有任何问题可以在线上提出
[620.56-621.56] 好
[621.56-622.56] 请各位投资先进
[622.56-623.56] 好
[623.56-624.56] 请各位投资先进
[653.56-658.56] fast
[658.56-660.56] Т nyt
[662.56-666.56] mus
[667.56-669.56] nearly
[670.56-672.56] 冰
[672.56-676.56] Avenue
[676.56-678.06] 侧
[678.06-680.56] 下
[680.56-703.28] 主保护剂
[703.28-706.62] 在2024的价格
[706.62-709.46] 其实是没有很大幅的变动
[709.46-714.84] 但是比起2023还是有下降
[714.84-717.36] 那目前看起来2025
[717.36-720.72] 从2024到2025目前的话
[720.72-722.76] 整个价格包括
[722.76-724.94] 以新农公司来讲
[724.94-727.98] 最主要的变化是这个除草剂
[727.98-730.38] 那目前看起来除草剂的价格
[730.38-732.74] 并没有大幅的波动
[732.74-736.46] 大概维持在目前的价格
[739.46-754.48] 那2025的营收指引
[754.48-758.98] 我们整个新农公司分布在四个
[758.98-761.56] 产品的类型
[761.56-766.00] 那以目前一到二月的营收来看
[766.00-768.82] 我们就公告到二月的营收
[768.82-769.44] 我们就公告到二月的营收
[769.46-774.40] 主保护
[774.40-777.60] 2025一到二月的累计
[777.60-779.26] 跟2024同期比
[779.26-782.30] 也有小幅的衰退
[782.30-784.32] 主要还是在刚刚提到的
[784.32-786.14] 蓝美市场的影响
[786.14-788.98] 那因为我们蓝美市场有除草剂
[788.98-790.02] 有沙虫剂
[790.02-791.90] 有沙菌剂
[791.90-794.18] 那比较受到影响的是
[794.18-796.28] 刚刚提到是沙虫剂的部分
[796.28-798.46] 因为沙虫剂
[798.46-799.44] 要看有虫害的部分
[799.46-801.02] 才有它要的需要
[801.02-803.98] 所以目前比较受到影响是
[803.98-807.74] 沙虫剂的销量有减少
[807.74-810.36] 那在超市的部分
[810.36-813.06] 会持续的展店
[813.06-816.10] 去年是开了两家店
[816.10-818.38] 那今年目前也预计就是
[818.38-820.16] 二至三家
[820.16-826.46] 那以目前一到二月看起来
[826.46-828.68] 公告的营收
[829.46-832.84] 成长比较大的是
[832.84-833.84] 交通品团散
[833.84-835.84] 事实上还有就是农产品运销
[835.84-838.00] 这个就是我们如果看到子公司
[838.00-840.46] 是玉美公司这家公司
[840.46-842.96] 这家公司在交通品
[842.96-844.64] 在各个通路
[844.64-847.24] 还有在食品农产品在各个通路
[847.24-848.28] 都持续成长
[848.28-851.14] 目前是整个2025
[851.14-853.14] 以一到二月公告来讲
[853.14-856.10] 是主要的成长成长的来源
[856.10-857.54] 那这个成长的趋势
[857.54-859.26] 目前看起来还是会
[859.26-862.86] 持续往上有成长的空间
[862.86-865.94] 第四个在预办混凝土部分
[865.94-870.34] 多少会受到一个整个
[870.34-872.70] 景气的影响还有建案推的影响
[872.70-874.50] 因为我们的预办混凝土
[874.50-877.02] 主要在三大部分有公共工程
[877.02-879.64] 有工厂的厂房有建筑案
[879.64-881.16] 那以中部地区来讲
[881.16-885.30] 这三个部分都有受到一些影响
[885.30-887.00] 所以目前看起来他是
[887.00-889.26] 所以但如果以金额来讲的话
[889.26-893.30] 应该还是比例比较高
[893.30-895.94] 但金额并不是很大
[895.94-906.38] 刚提到了2025
[906.38-908.02] 对各个一到二月
[908.02-911.98] 各个事业群的营收的情形
[911.98-913.78] 所以展望整个2025
[913.78-915.78] 还是会朝着这四个部分
[915.78-918.54] 这四大产品的类群
[918.54-919.10] 然后
[919.26-920.66] 去持续的成长
[920.66-922.82] 尤其在植物保护方面
[922.82-924.02] 我们一直致力于
[924.02-925.98] 微生物药剂的
[928.38-929.54] 推广
[929.54-931.98] 最近在媒体上有看到
[931.98-934.86] 我们有跟农事所合作一支
[934.86-936.82] 继转一支光感菌
[936.82-938.30] 但是一个比较特别是
[938.30-940.38] 可以说是全球第一个能够
[940.38-943.26] 微生物药剂的杀虫杀满剂
[943.26-945.58] 那过去的微生物药剂
[946.54-948.26] 比较偏重在肥料方面
[949.26-950.42] 有一个新的产品
[950.42-953.30] 也能够带动我们整个产品的成长
[953.30-959.10] 整个微生物药剂可以说是整个新农公司
[959.10-963.02] 在植物保护一个很重要的发展的方向
[963.02-966.98] 那世界各国都努力在化学
[966.98-969.98] 农药跟肥料能够减量
[969.98-971.62] 能够保护土地
[971.62-975.58] 新农公司作为台湾的植物保剂
[975.58-978.18] 植物保护的领导者
[978.18-979.22] 我们一直致力于这些工作的方向
[979.26-984.50] 我们一直在减少空气跟土壤的受到的影响
[984.50-987.94] 所以积极的在发展微生物农药肥料
[987.94-990.46] 那目前在全国的在台湾里面
[990.46-992.42] 我们也是销售最高
[992.42-993.74] 市占率最高
[993.74-995.90] 因为这个微生物的
[997.98-1001.66] 药剂他就类似我们人在吃保健品一样
[1001.66-1003.74] 需要专人去推广
[1003.74-1007.02] 所以我们有全国各供应中心的
[1007.02-1009.86] 拥有证照的推广人员
[1009.86-1012.38] 对所有的农友做示范
[1012.38-1015.34] 做观摩来推广我们的产品
[1015.34-1017.54] 所以这个是我们整个植物保护剂
[1017.54-1020.94] 在台湾发展一个很重要的一个方向
[1037.02-1041.12] 我把它叫它代表城开일
[1041.12-1042.14] 我们是ổ室
[1042.14-1042.66] 就好
[1042.66-1044.18] 我们从中间 niemand
[1044.18-1045.26] 人肯认为
[1047.62-1047.94] 3还是3
[1047.94-1048.86] 然后他谈同一个
[1048.86-1050.84] humid o
[1050.84-1051.22] 怎样
[1051.22-1051.48] 检查
[1051.48-1053.94] 7
[1053.94-1054.36] 或5
[1054.36-1055.22] 包括
[1055.22-1057.88] út
[1057.88-1059.96] 7
[1059.96-1061.20] 0
[1061.20-1061.82] 120
[1061.82-1062.24] 8
[1062.96-1066.62] 10
[1066.62-1066.98] Crow
[1066.98-1067.00] Dж
[1067.00-1069.88] 取到销售的许可证
[1069.88-1071.52] 那有了销售许可证
[1071.52-1075.46] 就可以有成长的动能
[1097.00-1099.26] 关于运费方面
[1099.26-1102.06] 我们客户的契约都是
[1102.06-1104.74] 运费是由客户来承担
[1104.74-1107.60] 所以有关于所有运费的变动
[1107.60-1108.94] 我们会转嫁到
[1108.94-1111.06] 我们的销售的价格上面去
[1111.06-1113.42] 这个部分倒是对公司
[1113.42-1114.86] 没有重大影响
[1114.86-1118.60] 接着现在贸易战
[1118.60-1120.62] 目前对公司的生产
[1120.62-1121.90] 跟农产品的出口
[1121.90-1124.00] 也没有影响
[1127.00-1156.98] 谢谢大家
[1157.00-1186.98] 谢谢大家
[1187.00-1189.18] 各位投资先进还有问题吗
[1217.00-1227.20] 关于子公司的获利情形
[1227.20-1229.94] 我们在我们的财报上面的
[1229.94-1230.94] 后面的步骤
[1230.94-1232.64] 都有很详细的说明
[1232.64-1233.90] 我可以讲一下
[1233.90-1236.24] 去年的最后结算的情形
[1236.24-1238.98] 我们各个事业产品项目
[1238.98-1240.32] 刚好在各个子公司
[1240.32-1241.36] 刚好都分类开
[1241.36-1242.64] 有关于超市部分
[1242.64-1243.90] 就可以看到
[1243.90-1245.42] 唐文风刚超市公司
[1245.42-1246.38] 他获利的情形
[1246.38-1246.98] 玉美公司
[1247.00-1248.12] 就是玉美公司
[1248.12-1250.60] 那其他主要就看行为公司
[1250.60-1253.24] 那我现在提一下玉美公司
[1253.24-1254.76] 去年的
[1254.76-1257.72] 整个税后的话
[1257.72-1258.72] 他的获利是
[1258.72-1266.10] 两亿三千万
[1277.00-1285.00] 玉美公司2024年是两亿三千万的获利
[1285.00-1286.12] 税后净利
[1286.12-1288.92] 2023年是一亿九千万
[1288.92-1291.00] 也成长了百分之二十二
[1291.00-1294.40] 所以看到我们已经公告的营收
[1294.40-1298.04] 跟去年的各个子公司获利的情形
[1298.04-1302.00] 整个玉美公司是持续的在成长
[1307.00-1314.48] 因为我们并没有
[1314.48-1317.00] 有个先进提到玉美2025年
[1317.00-1318.36] 因为并没有做猜测
[1318.36-1320.12] 那我刚讲的是2024年
[1320.12-1324.60] 那我刚才有提到以一到二月的营收的情形
[1324.60-1328.60] 他玉美公司是成长的百分之十二一到二月
[1328.60-1330.64] 所以整个获利的成长
[1330.64-1335.56] 我们还是在我们的预期当中
[1337.00-1340.00] 算是iras86
[1340.00-1341.00] 我们 M b u g
[1341.00-1344.92] 才是剩次的
[1344.92-1346.56] 我们对 alleged外货的�무 Deny
[1346.56-1349.52] そして官方执行网市惹 arena
[1349.52-1351.08] 是也是
[1351.08-1352.34] 会做 inquisition
[1352.34-1354.00] 是然后赎的
[1354.00-1355.52] 但是警局最新的
[1355.52-1356.94] 那咱们大家想的
[1356.94-1359.84] 你为什么不要在entre klar
[1359.84-1360.56] 看他这个轮胎
[1360.56-1360.88] 好
[1360.88-1361.74] 那现在我们之前
[1361.74-1362.48] 还有一个 KL zero
[1362.48-1364.62] 但是现在其实是我说的
[1364.62-1366.28] 我们到底要做哪个
[1366.28-1366.92] reported
[1366.92-1396.90] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1396.92-1426.90] 明镜与点点栏目
[1426.92-1456.90] 明镜与点点栏目
[1456.92-1486.90] 明镜与点点栏目
[1486.92-1516.90] 明镜与点点栏目
[1516.92-1534.82] 明镜与点点栏目
[1546.92-1576.90] 明镜与点点栏目
[1576.92-1606.90] 明镜与点点栏目
[1606.92-1630.02] 明镜与点点栏目
[1636.92-1654.92] 明镜与点点栏目
[1654.92-1657.80] 请问各位先进还有问题吗?
[1662.68-1665.00] 谢谢各位投资先进的提问
[1665.00-1666.52] 如果没有问题
[1666.52-1666.76] 请问各位先进还有问题吗?
[1666.76-1669.06] 今天的法说会就到此结束
[1669.06-1673.36] 后续如果任何问题欢迎与公司进行联系
[1673.36-1675.36] 非常感谢各位的出席
[1675.36-1677.52] 也敬祝各位身体健康
[1677.52-1678.70] 投资顺利
[1678.70-1679.60] 谢谢大家
