[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-34.68] 各位法人代表及媒体的朋友大家好
[333.92-338.92] 持续给予育农企业的支持与建议
[338.92-340.92] 谢谢大家
[346.92-348.92] 各位投资法人及媒体朋友大家好
[348.92-350.92] 那接下来由我来说明
[350.92-354.92] 2024整理的营运的一个绩效的一段话
[354.92-355.92] 那首先说明在
[355.92-358.92] 2024的整体的合并资产总额是在
[358.92-361.92] 2903亿4千万元整
[361.92-365.92] 跟去年同期的部分是下降了3.2%的幅度
[365.92-367.92] 我想投资法人也清楚
[367.92-370.92] 我们在去年有处分了在杭州的育农汽车金融
[370.92-375.92] 由于它的一个资产总额大概是在85亿的台币
[375.92-377.92] 排除这个项目之后
[377.92-380.92] 我们的这个变动是在持平的状况
[380.92-382.92] 同样的在大陆的部分
[382.92-384.92] 如果排除这个项目的话
[384.92-389.92] 跟去年同期大概资产总额大概小幅增加1%的幅度
[389.92-395.92] 那台湾的部分是比较是受到销金企业的这个资产余额是呈现下滑的
[395.92-397.92] 不过在汽金是增长的
[397.92-401.92] 那Net来讲的部分是小幅下滑1.2%的幅度
[401.92-407.92] 不过可以看得出我们在大陆的比重大概只有近一成左右的一个水准
[407.92-409.92] 那在合并营收的一个表现部分
[409.92-412.92] Q4的营收总额是在106千九百万元
[412.92-418.92] 跟Q3的部分大概是呈现小幅下滑的这个状况
[418.92-423.92] 那全年的合并营收是在414亿7千1百万元整
[423.92-427.92] 跟去年同期的部分是呈现持平的一个状况
[427.92-430.92] 那同样在营收的一个结构的部分
[430.92-433.92] 海外的大陆的占比大概也是接近一成
[433.92-437.92] 那至于在合并的一个税前的一个建立的部分
[437.92-441.92] 全年的一个税前是在69亿3千3百万元整
[441.92-445.92] 跟去年同期减少了17.7%的一个幅度
[445.92-453.92] 那我想还是在销金包括TAC本身跟预付数位的这一间的公司的余额下降
[453.92-459.92] 那导致营收产生比较大幅的一个下滑所导致的这个结果
[459.92-463.92] 那在全年的EPS是在8.88元
[463.92-468.92] 跟去年同期的11.0其实减少了2.19元的一个水准
[468.92-469.92] 那另外在由于我们整个税后是呈现了一个水准的一个结果
[469.92-470.92] 那另外在由于我们整个税后是呈现了一个水准的一个水准
[470.92-471.92] 那另外在由于我们整个税后是呈现了一个水准
[471.92-473.92] 那包括ROA跟ROE的一个 Ratio也是表现是跟去年同期
[473.92-475.92] 那包括ROA跟ROE的一个 Ratio也是表现是跟去年同期
[475.92-477.92] 分别下滑了0.51%跟4.04%
[477.92-479.92] 分别下滑了0.51%跟4.04%
[479.92-481.92] 分别下滑了0.51%跟4.04%
[481.92-483.92] 那ROA的部分是在1.73%
[483.92-485.92] 那ROA的部分是在1.73%
[485.92-487.92] ROE的一个部分是在13%左右的一个水准
[487.92-489.92] ROE的一个部分是在13%左右的一个水准
[489.92-491.92] 那接下来看一下30天这个研制率的状况
[491.92-493.92] 那接下来看一下30天这个研制率的状况
[493.92-495.92] 那Q4的研制率的部分
[495.92-496.92] 那Q4的研制率的部分
[496.92-501.92] 在台湾的部分大概这几季都维持在1.6%的一个幅度左右
[501.92-505.92] 不过后面可以看到我们在绝对数值的部分
[505.92-512.92] 大致上Q4的部分是比Q3的部分有下降了大概4%左右的一个幅度
[512.92-514.92] 那在大陆的部分
[514.92-517.92] 虽然跟去年同期是呈现增加的一个状况
[517.92-521.92] 不过Q4的2.4%的一个预期比
[521.92-524.92] 也比Q3的2.5%有所下滑
[524.92-526.92] 那在同业的一个环境
[526.92-530.32] 表現中也算是蠻優良的一個水準
[532.32-536.32] 那接下來看一下我們整體就是升息資產的一個
[536.32-541.52] 總金額是在2344億3300萬元整
[541.52-547.42] 那在季的部分是呈現86億的一個減少
[547.42-550.72] 那減幅的部分是在3.6%的幅度
[550.72-555.42] 那年變動的部分是減少大概181億
[555.42-558.32] 那減幅大概是7.1%
[558.32-562.62] 那後面會說明減少的一個主要的一個產品是在哪邊
[562.62-566.62] 那台灣的占比大概是在88%的一個幅度左右
[566.62-573.62] 那裡面結構大概88%大概是2063億
[575.82-580.32] 那接下來看一下我們在消費性金融的一個資產餘額狀況
[580.32-584.42] 那這個部分除了TAC本身的四輪的乘用車
[584.42-585.22] 包含新車
[585.22-586.12] 中古車
[586.12-592.42] 那另外也有100%投資的預付數位去負責二輪的機車跟商品的這個業務
[592.42-597.82] 那整體的一個到年底的資產餘額是在1169億
[597.82-601.42] 那跟上季比減少了大概49億
[601.42-605.12] 那減幅大概是4%的一個幅度
[605.12-609.02] 那不過雖然我們的整個銷金的資產餘額
[609.02-612.82] 說到包括智力公約還有資產品質等等的這些議題
[612.82-614.72] 那看起來資產餘額是很高的
[614.72-617.32] 那這個資產餘額是呈現減少的狀況
[617.32-621.92] 不過連續三季的這個減幅已經有所減緩
[621.92-626.62] 那年變動的部分是減少大概241億
[626.62-629.92] 那減幅大概是17%的一個幅度左右
[629.92-632.22] 那結構比比較大的還是在中古車
[632.22-634.52] 大概是在761的金額
[634.52-639.52] 那至於在台灣期間的部分
[639.52-643.72] 這個主要是在新興100%投資這間公司在運營的
[643.72-644.52] 那到年底的這個投資的部分是在760億的金額之中
[644.72-648.72] 那到年底的資產餘額是在886.5億
[648.72-654.12] 那不管是在季變動跟年的部分都是呈現那個增長的一個狀況
[654.12-657.12] 那季的部分是增加了大概23億
[657.12-659.32] 那增幅大概是2.6%
[659.32-661.52] 年增加大概108億
[661.52-665.12] 那增幅大概是4%的幅度左右
[665.12-667.92] 那目前企經的一個這個升息資產
[667.92-672.32] 大概占整個outstanding大概38%的一個幅度左右
[672.32-674.52] 那或許看起來也都還是能夠維持成長的一個狀況
[674.72-680.32] 那至於在大陸企業金融的一個部分
[680.32-682.12] 那主要是蘇州裕租
[682.12-684.72] 那也是企業企業100%投資的公司
[684.72-690.72] 那在年底的資產餘額是在人民幣大概61億的一個金額左右
[690.72-694.52] 那我想大家也非常清楚在大陸的一個政經經濟環境
[694.52-697.72] 其實是相對比較的複雜
[697.72-700.72] 那還有包括一些關稅的等等的議題
[700.72-703.72] 那公司也是比較採取比較是關注的
[703.72-704.72] 那公司也是比較採取比較是關注的議題
[704.72-711.72] 但是我們也能夠將資產品質為優先的這樣子的一個角度在運營
[711.72-716.32] 那資產有大概比較是呈現質問的狀況
[716.32-717.52] 我們整體的一個這產品質
[717.52-720.62] 那在臺灣剛有提到就是說我們這個ratio大概
[720.62-724.12] 維持在1.6%的一個幅度左右
[724.12-728.22] 不過可以看得出我們的Q4的這個預期的金額
[728.22-733.72] 從前一季的34億有降到大概32.8億的一個金額
[733.72-736.28] 是3.8%的一个幅度左右
[736.28-738.50] 那在大陆的一个部分
[738.50-742.84] Q4的这个预期比是在2.4
[742.84-744.78] 那跟Q3的部分2.5
[744.78-746.70] 有略微的下滑的一个状况
[746.70-748.60] 那在绝对数字的部分
[748.60-751.52] 也大概是减少了2400万的人民币
[751.52-754.48] 减幅大概是3.4%的一个幅度
[754.48-759.80] 再来看一下我们年度的这个
[759.80-762.78] 归属母公司的这个获利表现
[762.78-765.22] 是在51.51亿左右
[765.22-769.42] 那跟去年同期呈现18%的一个下滑
[769.42-770.64] 那刚有所提到
[770.64-774.46] 主要还是来自于销金这个业务的因素
[774.46-776.06] 主要是这个因素所导致的
[776.06-778.98] 那EPS是在8.88元
[778.98-782.34] 那至于在ROA的一个表现的一个部分
[782.34-784.40] 是在1.73
[784.40-785.28] 那不过我们可以
[785.28-787.10] 我们的公司的一个算法是
[787.10-791.02] 直接是税后净利去处于
[791.02-792.78] 我们的整体的一个资产
[792.78-795.22] 的一个平均的一个总额
[795.22-799.82] 那并没有把这个利息的一个费用加上来
[799.82-801.58] 因为我们主要是认为就是
[801.58-803.50] 因为利息的部分是我们本业的业务
[803.50-805.82] 所以我们并没有把这个部分加进来
[805.82-808.82] 那如果依据一般标准的公司的ROA
[808.82-810.34] 会在3%以上
[810.34-812.26] 那ROE的一个表现的部分
[812.26-814.02] 也受到税后的下降
[814.02-816.58] 跟整个平均股东权益的一个增加
[816.58-818.90] 所以使得我们的ROE是降到
[818.90-821.22] 大概13%的一个幅度左右
[822.78-825.30] 那再看一下我们
[825.30-827.86] 就是去年Q4对
[827.86-830.38] 前一年度的就是单Q的这个
[830.38-832.44] 获利的这个比较的一个状况
[832.44-835.26] 那我们的这个毛利的金额
[835.26-837.52] 是在44.7亿的一个金额左右
[837.52-841.36] 那我们的毛利率从去年的53.1
[841.36-846.66] 其实上有下降到44.44%左右的一个幅度
[846.66-849.18] 减少了大概8.7个百分点
[849.18-850.92] 那里面的这个金额
[850.92-852.70] 这个变动减少12亿的
[852.70-852.76] 一个幅度
[852.78-853.28] 这个变动的一个部分
[853.28-855.08] 主要还是在融资
[855.08-856.32] 特别是在销金的部分
[856.32-858.14] 大概就影响接近有11亿
[858.14-860.92] 所以主要因素大概是这边所导致的
[860.92-863.56] 那另外我们在子公司的
[863.56-866.10] 这个一个费用的部分
[866.10-868.02] 有从其他费用
[868.02-869.22] 这边分类到
[869.22-870.52] 这个成本
[870.52-872.06] 所以也导致我们这个毛利率
[872.06-875.24] 大概有降了两个百分点的这个金额
[875.24-876.10] 的那个比例
[876.10-879.44] 那这个从分类的金额大概是在1.9亿的一个台币
[879.44-881.66] 那也是因为这样子
[881.66-882.70] 所以也使得我们
[882.70-885.16] 这其他营业费用跟去年同期
[885.16-886.96] 有比较大的一个减幅
[886.96-890.62] 那跟去年同期减了大概5.7%
[890.62-892.92] 517的一个金额左右
[892.92-896.24] 那减幅大概是在21%
[896.24-897.20] 那可以看得出
[897.20-899.28] 不管是在其他费用率
[899.28-902.04] 或者是这个预期性损失率的话
[902.04-904.70] 我们在Q4的这个费用的这个比例
[904.70-907.86] 都是呈现下降的一个状况
[907.86-912.62] 那另外在我们在23年这边的
[912.62-912.68] 我们在Q4的这个费用的这个比例
[912.70-913.90] 我们的业外收支是比较高
[913.90-917.98] 那主要是之前在海外有一些税务的这个反反
[917.98-920.32] 所以使得我们的业外的这个变动
[920.32-922.22] 也有比较大的差异
[922.22-923.40] 那纵上所述
[923.40-926.38] 我们的税后的净利是在8.3亿
[926.38-928.98] 那跟去年同期减了大概1亿
[928.98-932.68] 7300万的一个金额
[932.68-934.96] 那到年度的一个部分
[934.96-936.46] 那年度的部分
[936.46-938.62] 毛利是在201亿左右
[938.62-941.00] 那我们的整体的一个毛利率也从
[941.00-942.54] 而去年大概是54.7%左右
[942.54-942.58] 那我们的整体的一个毛利率也从
[942.58-946.34] 有降到48.6%
[946.34-949.46] 那这个部分刚有一个部分是从分类的问题
[949.46-952.56] 那另外还有就是我们融资事业的这个
[952.56-956.76] 获利下降也是主要是导致这个25亿的部分
[956.76-960.48] 大概它的影响金额也几乎是全部都是消尽
[960.48-962.42] 这边的这个影响
[962.42-965.38] 那另外就是值得可能还是提到
[965.38-966.44] 我们财务成本
[966.44-967.56] 也就是资金成本的部分
[967.56-969.00] 跟前一年度的一个
[969.00-971.80] 其实大概是持平没有太大的一个变化
[971.80-972.56] 那我们的财务成本也就是资金成本的部分
[972.58-972.62] 那我们的财务成本也就是资金成本的部分
[972.62-972.64] 那我们的财务成本也就是资金成本的部分
[972.64-975.14] 再来就是我们的其他营业的一个
[975.14-980.98] 费用率也从前一年度的23.9降到23.1
[980.98-989.14] 那一样同样的预期信用损失率也从前一年的11.9下降到10.3%这样子的一个幅度
[989.14-993.94] 那另外业外收支如果就金融动的部分没有太大的差异
[993.94-996.78] 不过2024有储盆一个汽车金融的利益
[996.78-999.70] 大概是3亿左右的一个水准
[999.70-1000.62] 那也有影响到EPS接近0.4亿
[1000.62-1000.72] 那也有影响到EPS接近0.4亿
[1000.72-1002.72] 那也有影响到EPS接近0.4亿
[1002.72-1004.00] 的一个金额左右
[1004.00-1010.08] 那重上我们的2024全年度的税后净利是在51亿左右
[1010.08-1013.54] 那跟去年同期少了大概13亿的一个金额
[1013.54-1022.02] 那再来看一下就是去年的Q4跟前一季度的这个比较
[1022.02-1029.90] 那整体的这个毛利率大概也是从48%有降到这14%的一个金额
[1029.90-1030.70] 那整体的这个毛利率大概也是从48%有降到这14%的一个金额
[1030.70-1031.10] 那整体的这个毛利率大概也是从48%有降到这14%的一个金额
[1031.10-1031.20] 那整体的这个毛利率大概也是从48%有降到这14%的一个金额
[1031.20-1033.36] 重分类的大概影响两个百分点
[1033.36-1036.74] 那另外这边减少5.8亿左右
[1036.74-1039.40] 主要还是刚提到的这个融资事业
[1039.40-1043.62] 那融资事业的一个毛利率主要受到营收的减少
[1043.62-1046.98] 所以使得毛利的一个金额是减少的
[1046.98-1049.66] 那这个部分影响的金额就是4亿左右
[1049.66-1054.66] 所以都还是消金业务影响的这个主要的这个原因
[1054.66-1060.68] 那至于在其他费用率或者其他费用率的部分都还是跟那个Q3的这个金额有影响的
[1060.70-1063.96] 中上的部分有呈现那个下滑的这个状况
[1063.96-1066.82] 那大概就是我们预期稀有损失的部分
[1066.82-1068.96] 虽然比Q3还要来的增加
[1068.96-1072.54] 不过我们Q4的部分比较还是季节性的这个因素
[1072.54-1074.72] 那包括回收的部分也是比较少
[1074.72-1078.60] 还有我们的拍卖车也会尽量在Q4的部分把它拍卖出去
[1078.60-1081.84] 那中上的部分业外收支
[1081.84-1085.36] 因为Q3这边有处分汽车金融的这个利益
[1085.36-1088.30] 所以这个5105的金额是比较大的
[1088.30-1090.68] 那中上所住我们大概Q4的一个
[1090.68-1093.14] 单季的一个获利是大概8.3亿
[1093.14-1103.10] 那跟去年同期大概是减在47%的幅度
[1103.10-1109.24] 那再来看一下我们在ESG的一个表现跟执行成果跟获奖的这个疏容
[1109.24-1112.04] 那首先是在环境永续的这个购品
[1112.04-1116.36] 那在绿能的这个事业的这个案场刚总经有提过
[1116.36-1117.78] 我们也超过大概300
[1117.78-1119.54] 总共大概329万场
[1119.54-1120.60] 那整个
[1120.68-1123.56] 突破的建制容大概是200MW
[1123.56-1130.64] 那这大概是月当255座的大洋森林公园每年CO2的这个吸附的量
[1130.64-1135.80] 那还有就是在我们在就是持续会布局电动车充电站
[1135.80-1137.66] 就是EMAS的生态圈
[1137.66-1140.30] 那这代表的就是我们移动级服务
[1140.30-1146.20] 那还有包括我们绿能车的这个车队的这个建制也净增加6000台
[1146.20-1148.86] 那达到大概8000台的一个水准
[1148.86-1150.66] 那在社会参与的部分
[1150.68-1153.04] 我们长期会提供偏乡的一个解房
[1153.04-1155.84] 那包括偏乡的这个接驳跟创生
[1155.84-1159.76] 那运行了大概一年大概超过20万公里
[1159.76-1164.40] 那这月当就是绕行台湾213圈的这个概念
[1164.40-1169.64] 那另外我们还有连续独家去赞助这个文化步道的一些表演
[1169.64-1174.78] 那全年大概有逾22.7万人的一个场次的这个参与
[1174.78-1181.34] 那还有文化院的文化共荣跟平权共享的这个MVV的这个签订
[1181.34-1184.54] 那一样有持续是支持我们强照
[1184.54-1187.54] 那还有包括扶植车的一个部分
[1187.54-1190.90] 那也有提供这个扶植车的这个需求的人
[1190.90-1193.70] 可能贷款案件的支持
[1193.70-1197.90] 那这个额度也有超过大概3000万的一个金额
[1197.90-1200.10] 那另外我们可能持续有强化
[1200.10-1203.94] 在公司治理部分有强化我们整个内部的这个
[1203.94-1204.34] 呃
[1204.34-1204.64] 呃
[1204.64-1204.78] 呃
[1204.78-1210.50] ,这个制裁的这样子的一个管理的一个验证
[1210.50-1213.80] 那还有就是持续强化资讯安全
[1213.80-1218.18] 这个任性来取得ISO20027001相关的一个认证
[1218.18-1222.52] 那在呃我们113年度包括育龙企业本身
[1222.52-1227.28] 还有海外的一些呃公司也获得一些殊荣跟呃
[1227.28-1228.68] 不少的这个肯定
[1228.68-1232.48] 那包括我们在哈佛商业评论有个董事长
[1232.48-1234.34] 上市公司企业领袖
[1234.34-1241.40] 那还有包括DSAA永续行动SDG这个金奖的一个部分等等
[1241.40-1245.58] 那其他的请各位那个投资法人进行参与
[1245.58-1251.04] 那呃另外就是关于这个113年这个公益的这个活动的一些记录
[1251.04-1254.34] 那也请呃各位那个投资法人进行参与
[1254.34-1256.42] 那以上说明
[1256.42-1262.68] 那也欢迎待会各位的评论
[1264.34-1266.22] 开始
[1294.34-1324.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1324.34-1354.32] 明镜与点点栏目
[1354.34-1384.32] 明镜与点点栏目
[1384.34-1414.32] 明镜与点点栏目
[1414.34-1441.88] 明镜与点点栏目
[1444.34-1474.32] 明镜与点点栏目
[1474.34-1504.32] 明镜与点点栏目
[1504.34-1534.32] 明镜与点点栏目
[1534.34-1564.32] 明镜与点点栏目
[1564.34-1594.32] 明镜与点点栏目
[1594.34-1624.32] 明镜与点点栏目
[1624.34-1654.32] 明镜与点点栏目
[1654.34-1655.52] 明镜与点点栏目
[1655.52-1670.44] 明镜与点点栏目
[1671.18-1672.80] 这里我简单说明一下
[1672.80-1675.60] 与硬из荣的子公司
[1675.60-1678.10] 易电跟新心
[1678.10-1680.62] 目前在光电这一块
[1680.62-1683.46] 已经有329座
[1683.46-1683.58] 目前在光电这一块
[1683.58-1683.66] 已经有329座
[1683.66-1683.86] 目前在光电这一块
[1683.86-1684.30] 目前在光电这一块
[1684.30-1686.90] 總共的發電也
[1686.90-1690.90] 預估今年會來到8160幾萬度了
[1690.90-1696.30] 整個售電的金額應該也還不錯
[1696.30-1701.22] 應該我們會把一些剩下的
[1701.22-1702.58] 還在建置中的
[1702.58-1704.38] 在今年都把它完成
[1704.38-1706.86] 然後開始跟一些企業
[1706.86-1710.72] 我們用力電 力能這一塊來售電
[1710.72-1714.56] 價格也會比我們賣給台電來得好
[1714.56-1718.36] 所以整個看起來金額應該
[1718.36-1720.54] 我們預估
[1720.54-1723.00] 這個因為才年初而已
[1723.00-1728.02] 我是個人認為應該是在4億到5億左右
[1728.02-1730.24] 4.5億到5億左右
[1730.24-1731.70] 這是光電
[1731.70-1735.04] 除能我們有三座
[1735.04-1737.88] 兩座大的總共有114M
[1737.88-1738.92] 就一座RAG
[1738.92-1740.38] 這一個在雲林
[1740.38-1740.70] 一個在台北
[1740.70-1742.36] 一個在花蓮
[1742.36-1746.10] 那也都應該都已經上線掛錶了
[1746.10-1749.66] 那目前看起來都蠻順的
[1749.66-1754.94] 然後整體的營收有福而期待
[1754.94-1758.90] 當然以目前還是用投標的方式
[1758.90-1761.70] 所以這個他的投標的金額
[1761.70-1765.66] 還是看供給跟需求
[1765.66-1767.52] 所以這個比較不穩定
[1767.52-1770.36] 不過長期來看應該會趨於穩定
[1770.36-1772.92] 我所謂從長期應該是
[1772.92-1776.00] 5年到20年左右
[1776.00-1779.84] 這前面這兩三年應該是不穩定
[1779.84-1782.40] 所以這個不過我們還是有顧
[1782.40-1784.44] 我們還是有顧一下
[1784.44-1787.76] 大概營收大概會將近7億左右
[1787.76-1789.82] 7億元的營業收入
[1789.82-1792.12] 不過除能基本上
[1792.12-1796.98] 還有折舊還有一些設備折舊還有一些費用
[1796.98-1799.50] 所以他後面的收益
[1799.50-1800.32] 會在好處上來的
[1800.36-1802.92] 他後面可能會走一半以後
[1802.92-1805.74] 他的收益才會大幅的增加
[1805.74-1808.80] 那我們預計今年的話
[1808.80-1811.88] 稅後應該是有1億以上
[1811.88-1814.96] 保守大概來看大概有1億以上的一個
[1814.96-1817.00] 潛在發電的金額
[1821.10-1822.88] 另外就是有問到我們
[1822.88-1825.70] 就是1到2月的一個
[1825.70-1826.98] 獲利
[1826.98-1828.52] 減少主要的原因
[1828.52-1830.32] 那這個部分主要是我們在業外
[1830.36-1833.18] 有就是發行那個CB
[1833.18-1835.22] 那CB的這個評價
[1835.22-1836.76] 損失所造成的
[1836.76-1838.80] 那這個業外的變動
[1838.80-1842.14] 大概是減少大概2100萬的這個金額左右
[1842.14-1843.92] 那至於就是說
[1843.92-1847.00] 利息收入的部分
[1847.00-1849.04] 什麼時候可能會轉正
[1849.04-1851.60] 那剛有提到就是說我們後續的
[1851.60-1854.16] 今年的整體的這個outstanding
[1854.16-1858.00] 應該還是很有機會是呈現這個正成長
[1858.00-1859.04] 那利息收入的部分是什麼時候可能會轉正
[1859.04-1859.28] 那剛有提到就是說我們後續的今年的整體的這個outstanding應該與而還是很有機會是呈現這個正成長
[1859.28-1860.32] 那利息收入的部分是呈現這個正成長
[1860.36-1861.90] 這一塊的變動
[1861.90-1863.44] 我們可能還沒有一定的把握
[1863.44-1864.72] 不過我想那個
[1864.72-1868.80] 變動減幅的金額應該會逐漸縮小當中
[1868.80-1871.62] 那另外這邊也有提到就是
[1871.62-1874.96] 進口車這個調降關稅的一個部分
[1874.96-1878.02] 那這個議題當然最近在媒體上
[1878.02-1881.10] 應該也有一些的一個探討
[1881.10-1882.88] 只不過說可能
[1882.88-1887.24] 關稅的部分這個可能還是品牌那邊可能在回答比較
[1887.24-1888.52] 可能比較合適一點點
[1888.52-1890.32] 那不過對我們假設
[1890.32-1896.20] 這是業績的這個影響因為我們現在整體的這個新車的outstanding大概是
[1896.20-1896.98] 60億
[1896.98-1901.08] 但我們total 2000多億的outstanding的餘額其實也不到7%
[1901.08-1905.68] 那如果說初步啦就是如果整體的這個
[1905.68-1909.26] 關稅真的是有調降的話那當然
[1909.26-1912.84] 進口車的一個數量其實是應該會增多
[1912.84-1915.40] 也許整體的汽車的
[1915.40-1920.28] 銷售量其實是會往上增的那對於這個分期的時候
[1920.28-1923.86] 就是業務應該它還是有一定的一個利基的一個存在
[1923.86-1925.40] 不過我想這個可能
[1925.40-1929.50] 包括時程或相關的這個影響可能還是要觀察
[1929.50-1930.52] 大概是這樣
[1948.70-1950.24] 好的我們今天非常謝謝大家的收看
[1950.28-1951.82] 謝謝影韻團隊這邊的分享
[1951.82-1954.38] 那我們今天法說會就先到此告一段落
[1954.38-1956.16] 也謝謝各位投資生請參與
[1956.16-1956.94] 謝謝大家
[1956.94-1958.72] 謝謝富豪
[1958.72-1959.50] 謝謝
[1959.50-1961.04] 謝謝
[1961.04-1962.56] 拜拜
