[0.24-5.12] 长荣钢铁股费有限公司法人说明会会议开始
[455.24-456.78] 豪宅的建商
[456.78-458.58] 双向园他本身在
[458.58-463.70] 台中北屯的一个建案这个案子对我们来讲总共有7286吨
[463.70-465.74] 那基本上他是
[465.74-472.40] 地下三楼地上三四楼有一个建案
[472.40-475.72] 那接下来这个是我们在南港也就是
[475.72-479.06] 南港轮胎的案子的世界名珠
[479.10-482.68] 那这个案子总共有八栋的建筑
[482.68-486.02] 大概楼高大概都差不多27到30楼
[486.02-487.30] 地上
[487.30-490.10] 然后我们这一个案子我们做的三栋
[490.10-491.14] 就是
[491.14-492.42] 大分之三
[492.42-494.72] 那我们做的就是在
[494.72-496.00] 这个照片上来看
[496.00-497.02] 可能是
[497.02-499.06] 右边算来的第1栋
[499.06-501.12] 还有最中间那两栋
[501.12-502.90] 这个是我们的
[502.90-506.74] 世界名珠的一个建案那这个案子我们做的部分就差不多有
[506.74-509.06] 18363吨左右
[509.10-518.32] 那这个是我们建案是台中老佛爷
[518.32-523.94] 这个是知名建商中泰建设跨足台中北区的一个建案
[523.94-528.04] 那他就在那个台中自然科学博物馆的前面
[528.04-531.62] 那这个是中泰跟巴黎的时尚大师
[531.62-533.16] Claude Laguerre
[533.16-537.26] 就是我们说这个老佛爷
[537.26-539.06] 的一个跨界合作的建筑
[539.06-542.14] 的一个时尚住宅
[542.14-544.70] 那这个部分来讲他有两栋地下
[544.70-547.26] 5楼第3、4楼的一个建案
[547.26-549.30] 那总共是15000
[549.30-553.66] 019吨
[553.66-555.96] 以上的部分是刚购的部分
[555.96-556.98] 那再来报告
[556.98-564.40] 报告子公司转投资的事业跟营运概况跟产业的一个发展
[564.40-567.48] 那我们转投资的事业包括第一个新荣
[567.48-569.02] 那他本身在中立
[569.06-572.64] 那他本身主要处理就是就是家户垃圾
[572.64-575.20] 还有家户垃圾处理废弃物之后
[575.20-577.26] 产生的一个发电
[577.26-579.04] 受电的一个收入
[579.04-583.40] 那当然他还有一部分是可以自收一部分的垃圾
[583.40-589.54] 那这部分的投资占比我们公司的投资占比大概72.36%
[589.54-592.86] 那第二个转投资的公司是水美工程
[592.86-593.90] 那他
[593.90-597.74] 主要的业务是处理有害的废弃物或是医疗的废弃物
[597.74-599.02] 他本身来讲在
[599.06-599.82] 桃园
[599.82-600.86] 观音
[600.86-605.20] 那我们公司投资的占比是48.13%
[605.20-607.26] 然后最后一个是荣鼎绿能
[607.26-609.56] 那荣鼎绿能一样是在观音
[609.56-612.62] 那他主要一样是处理桃园的一个家用
[612.62-614.16] 的废弃物
[614.16-616.72] 还有自收的一般的事业废弃物
[616.72-617.74] 那我们
[617.74-620.30] 还有他比较特别就是说他也帮忙
[620.30-622.86] 桃园市政府去处理他的一些
[622.86-624.14] 厨余然后
[624.14-625.18] 银杨消化
[625.18-626.70] 然后可以产生电
[626.70-628.76] 然后再卖给台电这个收入
[628.76-634.90] 那我们的投资占比是50.06%
[634.90-636.18] 那接下报告各
[636.18-637.20] 公司的一个
[637.20-639.76] 营运的概况那首先这是
[639.76-641.04] 新荣的部分
[641.04-646.16] 我想这张是新荣第一季跟前三年进场量跟处理量的比较
[646.16-650.52] 我想因为在前两年从2022年开始
[650.52-652.32] 一直到去年
[652.32-654.10] 那我们事实上这个
[654.10-656.40] 新荣都在做整改的工作
[656.40-658.72] 所以大家可以看到今年我们
[658.72-660.26] 第一季的
[660.26-661.28] 进场量
[661.28-662.30] 是
[662.30-664.60] 10745
[664.60-666.14] 那处理量是
[666.14-668.44] 102446吨
[668.44-670.50] 这个很明显都在
[670.50-672.28] 前两年的季平均
[672.28-673.82] 因为前两年都在
[673.82-675.62] 整改的阶段
[675.62-677.92] 然后他也比2022年还高
[677.92-679.46] 那2022年因为他
[679.46-681.24] 设备那个时候比较老旧
[681.24-683.04] 我想这个就是我们
[683.04-684.58] 做整改的目的
[684.58-686.62] 他的效能提升了
[686.62-688.16] 以后他的处理量
[688.16-689.96] 跟发电量也会提升
[689.96-691.74] 那同时他也可以
[691.74-693.02] 兼顾符合
[693.02-695.08] 最新的一个环保的一个
[695.08-696.86] 要求
[696.86-698.66] 这张是我们在
[698.66-699.68] 新荣的
[699.68-701.72] 今年第一季跟前三年
[701.72-704.28] 他发电受电量的一个比较
[704.28-705.06] 然后
[705.06-706.08] 一样的
[706.08-709.92] 今年第一季很明显还是优于前三年的平均
[709.92-711.96] 这个还是我刚才提到的因为
[711.96-715.80] 整改之后他整个效能事实上是真的可以看得出他的
[715.80-717.86] 成长
[718.16-719.70] 那新荣未来展望
[719.70-720.46] 我想
[720.46-722.26] 重要的他整改完成了
[722.26-723.80] 那当然再来就是
[723.80-727.12] 配合桃园市政府交付的垃圾
[727.12-728.66] 能够来做一个
[728.66-729.68] 正常
[729.68-730.44] 稳定
[730.44-731.48] 的一个营运
[731.48-733.00] 跟运转
[733.00-733.78] 那当然
[733.78-734.54] 他最
[734.54-738.90] 未来当然带刚才我提到的包括废弃排放的检测值
[738.90-741.20] 这方面都可以符合
[741.20-743.76] 日需严格的这个环保法规
[748.16-749.70] 接下来是水美的部分
[749.70-750.72] 那水美在
[750.72-752.52] 今年第一季来讲
[752.52-756.36] 跟前三年进场跟处理量的一个比较
[756.36-760.20] 那今年他第一季他的进场量是6168吨
[760.20-763.26] 那处理量是5393吨
[763.26-765.56] 那因为他事实上是今年
[765.56-766.84] 开始
[766.84-767.62] 做
[767.62-768.90] 试运转
[768.90-770.44] 那也做一些测试
[770.44-772.48] 那当然在测试完了之后
[772.48-776.32] 可能要停止一段时间就是等到政府的一些
[776.32-778.12] 包括说排烟
[778.16-779.96] 固定污染源的一个
[779.96-781.48] 一些测定
[781.48-786.86] 那目前还在等待他这个书面通知
[786.86-790.70] 以下这几张是我们水美本身在
[790.70-793.00] 新建的43吨
[793.00-795.56] 每天43吨的一个新闪现
[795.56-797.10] 的一个
[797.10-800.94] 完成的一个照片
[800.94-804.52] 那我想针对水美未来的一个
[804.52-807.08] 展望当然
[807.08-808.12] 目前因为
[808.12-811.20] 事实上我想我在上一次法税会
[811.20-812.72] 又跟各位报告
[812.72-814.26] 事实上
[814.26-816.56] 在有害废稀物的部分来讲
[816.56-818.88] 国内的竞争越来越激烈
[818.88-822.46] 所以他的单价事实上是在往下
[822.46-824.50] 他的处理单价是往下降的
[824.50-826.56] 那我们之前的策略就是
[826.56-827.84] 让他
[827.84-829.62] 以量来自驾
[829.62-831.16] 我们希望说
[831.16-832.44] 提高他的量
[832.44-833.72] 来补足这个差额
[833.72-835.26] 这个价格不好分
[835.26-838.08] 来让他的获利能够持续的一个稳定
[838.12-839.40] 那目前
[839.40-842.22] 刚才有报告过我想
[842.22-845.04] 他本身来讲他在分两个
[845.04-847.60] 他的营运文件申请已经在
[847.60-849.38] 今年的4月9号合格了
[849.38-852.20] 那现在就在等这个桃园市政府
[852.20-855.28] 环保局的固定污染源的操作许可证
[855.28-857.32] 的一个审查
[857.32-860.40] 那据了解是已经审查通过了现在在
[860.40-862.96] 等待公部门的这个行政流程
[862.96-866.28] 应该预估在5月底应该可以拿到
[866.28-868.08] 这我想跟各位做一个报告
[868.12-873.24] 接下来在荣鼎的部分
[873.24-874.52] 我想这是
[874.52-879.38] 荣鼎今年第一季跟去年因为他是去年才
[879.38-881.18] 开始做一些试运转
[881.18-883.48] 然后这个今年第一季他的
[883.48-886.56] 热出力量是59,010吨
[886.56-889.62] 然后热出力量是56,500吨
[889.62-892.96] 因为他毕竟刚开始这个所谓运转没多久
[892.96-896.54] 所以在比较上来讲这个整个基础可能还是比较薄弱
[896.54-897.04] 所以
[897.04-898.08] 这个我们会长期来关注的
[898.08-899.88] 观察他整个后续的一个
[899.88-903.46] 营运的一个绩效
[903.46-906.78] 然后这个这张图表是他本身来讲
[906.78-909.08] 在热出力跟
[909.08-912.68] 鸳鸯消化本身的发电量跟受电量
[912.68-913.96] 那我想他在
[913.96-914.98] 第一季的
[914.98-918.82] 那个受电量是46,174
[918.82-921.64] 发电量是52,316吨
[921.64-923.42] 然后在鸳鸯的部分
[923.42-926.76] 那事实上可以看到他第一季
[926.76-928.04] 他的鸳鸯的
[928.04-930.08] 发电量事实上是比较少的
[930.08-931.12] 460
[931.12-933.68] 60
[933.68-935.72] 460千度而已
[935.72-938.54] 然后在受电量是401千度
[938.54-940.58] 那这主要是第一季因为
[940.58-943.66] 似乎交互给他的厨余
[943.66-945.20] 量不足
[945.20-948.26] 所以他这个第一季的这个所谓的
[948.26-951.34] 鸳鸯消化的发电量跟受电量都偏少
[951.34-958.00] 那在荣鼎绿能未来的展望方面当然
[958.00-962.60] 目前因为他事实上当初在BOT案
[962.60-964.66] 的这个合约行为里面
[964.66-965.68] 本来在
[965.68-969.26] 2024年跟2025年都是属于
[969.26-970.54] 要配合
[970.54-972.60] 新农整改期间
[972.60-975.92] 要处理那个桃园市政府的垃圾
[975.92-977.46] 那虽然现在新农
[977.46-981.30] 已经整改完毕可是他毕竟还有一些义务要帮
[981.30-984.88] 桃园市政府处理一些之前这个累积的一些
[984.88-986.92] 所谓的废弃物所以这个还是
[986.92-987.96] 目前还是第一优先
[988.00-990.56] 那当然他还是持续
[990.56-993.88] 自己会收一些量来提高他的所谓的营
[993.88-995.94] 那在鸳鸯消化的部分
[995.94-996.96] 那当然
[996.96-1000.54] 也在今年2月3号取得商转营运的许可
[1000.54-1002.84] 然后这一部分就是配合
[1002.84-1004.64] 桃园市政府交互的
[1004.64-1005.92] 厨余量
[1005.92-1007.20] 来
[1007.20-1009.00] 稳定的处理量能
[1009.00-1011.56] 来维持一个收电的收益
[1011.56-1013.34] 我想这一部分本来就是
[1013.34-1015.64] 合约的一个义务的一个性质
[1015.64-1016.92] 那就是配合
[1016.92-1017.96] 市府交互多少的
[1017.96-1020.26] 我们就处理多少
[1020.26-1023.84] 以上是几家那个环保子公司的一个
[1023.84-1026.66] 营运的概况的一个跟产业发展的一个说明
[1026.66-1027.94] 那接下来报告
[1027.94-1032.30] 合并的财务概况
[1032.30-1035.62] 这是我们今年第一季跟前三年合并营收
[1035.62-1037.68] 跟损益的一个比较
[1037.68-1038.70] 那我想
[1038.70-1041.00] 今年的第一季在营收
[1041.00-1044.32] 我们是38亿8227万
[1044.32-1046.38] 然后在我们的合并的
[1046.38-1047.92] 营业经历来讲是
[1047.96-1050.52] 8亿5811万
[1050.52-1054.88] 那在税后的存益是7亿2928万
[1054.88-1057.68] 那这部分当然合并的营收跟损益
[1057.68-1059.48] 那归属于母公司的经历
[1059.48-1060.50] 今年是
[1060.50-1065.36] 第一季是6亿2444万
[1065.36-1068.96] 然后我们的第一季的EPS是1.49
[1068.96-1069.72] 我想
[1069.72-1071.52] 提的是跟各位报告一下我想
[1071.52-1074.32] 这个合并营收多大于
[1074.32-1076.64] 前三年的季平均
[1076.64-1077.92] 然后今年第一季的EPS是1.49
[1077.92-1077.94] 然后今年第一季的EPS是1.49
[1077.96-1082.56] 可以说是历年来的一个新高
[1082.56-1086.16] 包括从我们上市所有的数据看起来
[1086.16-1088.72] 第一季事实上1.49是
[1088.72-1091.78] 算是我们的历年来的一个新高
[1091.78-1099.20] 那我们今年第一季跟前三年营收的一个组成
[1099.20-1099.98] 我想
[1099.98-1102.80] 针对这部分来讲在
[1102.80-1105.10] 母公司就是商专钢铁部分
[1105.10-1107.92] 我们的第一季我们的营收是
[1107.92-1110.74] 29亿7189万
[1110.74-1113.56] 然后我们子公司转投资的部分是
[1113.56-1116.62] 9亿1038万
[1116.62-1118.16] 然后这边来讲
[1118.16-1122.00] 在母公司的部分占比是差不多76.55%
[1122.00-1123.54] 这部分来讲我想
[1123.54-1124.56] 不管是
[1124.56-1125.32] 本业
[1125.32-1126.86] 或是环保的
[1126.86-1129.94] 营收都大于前三年的季平均
[1129.94-1131.72] 那当然
[1131.72-1136.08] 本业的部分还是维持一定的一个比例水准
[1137.92-1143.56] 那今年第一季跟前三年的净利组成的统计
[1143.56-1144.84] 我们在
[1144.84-1149.44] 母公司本身的一个净利组成大概占了68.6%
[1149.44-1151.74] 这个表也让大家参考
[1151.74-1158.92] 那今年第一季跟去年第一季的一个存益比较我想
[1158.92-1161.98] 各项的数据不管是营收
[1161.98-1162.76] 净利
[1162.76-1164.04] 或是税后存益
[1164.04-1165.06] 包括
[1165.06-1166.08] EPS
[1166.08-1167.88] 各项都是增加的
[1167.92-1169.72] 我想刚才有报告过
[1169.72-1171.00] 今年的
[1171.00-1173.56] 第一季1.49的EPS是
[1173.56-1177.90] 历年来的最好的一次
[1177.90-1181.48] 那最后报告永续发展跟利能政策方面
[1181.48-1182.76] 然后我们在
[1182.76-1187.64] 环境保护的方面来讲我们完成了2024年的温室气体的盘查
[1187.64-1189.94] 而且取得了第三方的一个
[1189.94-1190.96] 认证
[1190.96-1193.00] 的机构的查证
[1193.00-1196.60] 那同时我们也完成了和平报表子公司的
[1196.60-1197.88] 温室气体的盘查
[1197.88-1199.42] 的工作
[1199.42-1202.74] 然后我们的三家子公司新荣水美荣鼎
[1202.74-1204.28] 这部分
[1204.28-1205.56] 都会利用
[1205.56-1207.60] 这几年的时间
[1207.60-1209.92] 针对这个所谓的
[1209.92-1212.98] 敦请外面的查证机构来做查证
[1212.98-1214.52] 那我们规划
[1214.52-1218.88] 在2027年完成和平报表子公司的一个查证
[1218.88-1219.90] 然后在
[1219.90-1223.22] 废弃物方面我们也跟外面的厂商
[1223.22-1224.50] 合作的厂商来
[1224.50-1226.56] 执行这个我们所谓的一般
[1226.56-1227.84] 刚够有一个叫前五号的工程机构
[1227.88-1228.90] 然后我们也跟外面的厂商合作的工程机构
[1228.90-1229.68] 来制成
[1229.68-1232.74] CLSM就是所谓的低强度的控制材料
[1232.74-1234.02] 这部分已经
[1234.02-1235.56] 再利用的一个计划
[1235.56-1238.12] 那这部分已经进入产品审查
[1238.12-1241.44] 然后我们在友商环境我们推动绿色采购
[1241.44-1244.26] 我们也荣获了台南市政府GEO绿色
[1244.26-1246.56] 采购企业奖的一个奖项
[1246.56-1249.64] 这个我们应该已经连续得了好几年了
[1249.64-1251.94] 应该我们还是会持续努力下去
[1256.04-1257.84] 然后在社会回馈方面来讲
[1257.88-1261.72] 我们会落实职业安全的卫生政策
[1261.72-1264.80] 我们希望是达到零值灾事故为目标
[1264.80-1266.84] 然后我们也积极参与了
[1266.84-1268.88] 多面向的公益活动
[1268.88-1271.20] 包括支持国内不管是艺文
[1271.20-1273.24] 关怀在地的社区
[1273.24-1276.06] 或是教育或是偏乡医疗
[1276.06-1277.60] 投入环保方面
[1277.60-1279.90] 来实现企业
[1279.90-1281.44] 社会的责任
[1281.44-1282.46] 那当然
[1282.46-1285.02] 我们为了维护员工的身心健康
[1285.02-1287.84] 我们持续执行优于法规频率
[1287.84-1291.68] 跟局局的员工健康身体检查
[1291.68-1294.76] 并且不定期的举办一些健康讲座
[1294.76-1298.84] 还有教育宣导的部分
[1298.84-1300.38] 那在公司自己方面来讲
[1300.38-1303.20] 我们永续发展执行行行
[1303.20-1304.48] 我们会定期
[1304.48-1307.80] 去向我们的永续委员会跟我们的董事会做报告
[1307.80-1309.08] 然后
[1309.08-1312.68] 我们在2024年的永续报告书事实上已经编列完成
[1312.68-1313.44] 那目前
[1313.44-1316.00] 在会进行所谓的第三方的机构的一个验证的过程之后
[1316.00-1316.76] 在会进行所谓的第三方的机构的一个验证的过程之后
[1316.76-1317.80] 在会进行所谓的第三方的机构的一个验证的过程之后
[1317.84-1320.92] 正式公布
[1320.92-1324.76] 那我们也跟国政中心产学合作
[1324.76-1327.56] 而且跟国内其他三家钢构厂
[1327.56-1329.36] 共同来申请所谓的
[1329.36-1331.66] 智慧型自动化多层
[1331.66-1334.48] 多道焊接方法的一个专利
[1334.48-1337.80] 这个已经在今年的一月份取得了
[1337.80-1340.88] 这个所谓的专利核准的审定
[1340.88-1344.98] 那另外我们在113年第11届的公司治理评鉴
[1344.98-1346.52] 我们还是一样
[1346.52-1347.80] 在名列在20%以上的公司的执行方法
[1347.80-1348.56] 在名列在20%以上的公司的执行方法
[1348.56-1354.72] 在名列在20%以上的公司的执行方法
[1354.72-1356.24] 那在利用政策方面
[1356.24-1360.86] 我想我们持续会来促进产业多元发展
[1360.86-1362.40] 我们希望达到永续经营
[1362.40-1364.44] 那不管是节能减碳
[1364.44-1366.24] 被器物资源再利用
[1366.24-1368.28] 或是促进再生能源发展
[1368.28-1370.32] 这些我们都会做
[1370.32-1373.40] 那我们在太阳暖光电方面
[1373.40-1374.94] 系统除了说
[1374.94-1377.76] 之前已经外租的
[1377.76-1382.62] 不管是新租厂的1722kW
[1382.62-1385.70] 还有新营厂的499.8kW
[1385.70-1387.24] 那我们在去年
[1387.24-1389.28] 2024年之前
[1389.28-1391.08] 总共完成的制设的是
[1391.08-1394.14] 2547.21kW
[1394.14-1396.20] 那这部分来讲跟去年的
[1396.20-1398.24] 把所有的报告有点不太一样
[1398.24-1399.78] 差异的0.65
[1399.78-1401.06] 比之前多一点点
[1401.06-1402.60] 那个是因为太阳暖
[1402.60-1404.64] 我们在送电最后审核的时候
[1404.64-1405.66] 本身来讲
[1405.66-1407.72] 审定的量就是这样子
[1407.76-1410.58] 然后今年我们预计还是会持续来做
[1410.58-1411.60] 那目前
[1411.60-1414.92] 正在施做160kW的一个太阳能
[1414.92-1416.72] 的一个部分
[1416.72-1418.26] 那以上是我的简报
[1418.26-1419.28] 谢谢各位
[1424.66-1426.70] 谢谢总经理的简报
[1426.70-1429.26] 接下来进行Q&A时间
[1429.26-1434.90] 经营团队将为各位贵宾就先前所提之问题做说明
[1434.90-1436.44] 就那个
[1436.44-1437.72] 贵宾提出来的
[1437.72-1438.74] 这个问题
[1438.74-1441.04] 我来说明一下
[1441.04-1444.64] 那首先这位贵宾所提出来是
[1444.64-1448.22] 请说明预期114年刚购
[1448.22-1450.78] 及环保事业营收
[1450.78-1452.82] 及获利行行
[1452.82-1456.16] 那有关于这个题目的话我请
[1456.16-1461.52] 我们总经理来做个说明
[1461.52-1463.58] 谢谢
[1463.58-1465.62] 我想我这边做个报告
[1465.62-1466.64] 在
[1466.64-1467.68] 113年
[1467.72-1468.74] 就是去年
[1468.74-1469.52] 其实
[1469.52-1474.38] 我们的吊装量是123,000多吨
[1474.38-1478.72] 事实上在前年我们预估其实数据是比这个高的
[1478.72-1480.78] 但是因为我们这个行业
[1480.78-1482.82] 本身讲会涉及到
[1482.82-1485.38] 业主本身他本身的设变
[1485.38-1488.20] 或是说工地土木缺工的一个影响
[1488.20-1489.22] 他的共进
[1489.22-1490.24] 会往后延
[1490.24-1494.34] 所以我们后来去年才完成的123,000多吨
[1494.34-1495.12] 那
[1495.12-1497.68] 相当于下岸者很多都递延到今年来
[1497.68-1499.22] 那
[1499.22-1503.82] 就目前来看的话我们依照现在在手的订单刚才有跟各位报告过
[1503.82-1505.36] 包括应该有23万
[1505.36-1506.12] 5000多吨
[1506.12-1507.40] 那这部分来讲
[1507.40-1508.18] 今年
[1508.18-1512.28] 114年的出货量应该可以维持一定的水准
[1512.28-1513.30] 目前来看
[1513.30-1515.86] 应该是绝对比去年还高才对
[1515.86-1519.18] 那当然实际上还是要看
[1519.18-1523.28] 业主的营造工进会不会有什么大变化
[1523.28-1526.36] 预估在114年刚购需求
[1526.36-1527.64] 看起来是稳定的
[1527.68-1528.70] 那当然
[1528.70-1529.72] 我想
[1529.72-1532.28] 资金成本有可能会受到材料
[1532.28-1533.32] 波动
[1533.32-1536.12] 还有人力成本事实上我想大家都知道
[1536.12-1537.40] 这几年
[1537.40-1539.46] 我们的公司每年在调
[1539.46-1543.04] 那我想这个是应该要调的那每年大概有大概
[1543.04-1548.68] 4%到5%的一个调幅那这部分事实上也会增加我们的成本
[1548.68-1549.44] 那当然
[1549.44-1552.00] 我们这边会持续努力的来
[1552.00-1553.02] 控制
[1553.02-1554.30] 成本
[1554.30-1555.84] 我们
[1555.84-1557.38] 这个刚购本业来讲
[1557.38-1558.92] 在获利表现应该
[1558.92-1560.96] 还是可以维持相当的一个水准
[1560.96-1562.50] 对
[1562.50-1564.80] 然后在三家环保
[1564.80-1566.34] 公司方面来讲
[1566.34-1568.38] 然后新农部分刚才有提到的
[1568.38-1570.44] 他本身整改完成之后
[1570.44-1572.74] 那事实上他的处理量能效率
[1572.74-1573.76] 都有提升
[1573.76-1575.82] 那我想这个也是可以期待的
[1575.82-1578.62] 那水美的部分我想
[1578.62-1581.18] 一样的刚才在报告也提到
[1581.18-1583.24] 虽然现在建生比较激烈
[1583.24-1587.08] 然后单价事实上不可避免的是往下降了
[1587.08-1589.64] 可是因为我们用量的提升
[1589.64-1591.18] 我相信他的获利
[1591.18-1594.76] 还是可以维持一定的一个水准
[1594.76-1596.56] 然后荣鼎的部分来讲
[1596.56-1600.40] 那刚才也报告过他现在当然还部分
[1600.40-1602.96] 还在出于所谓的企业员来
[1602.96-1603.98] 配合
[1603.98-1605.76] 新农整改的一个
