[0.00-7.00] 我们非常感谢大家的支持
[777.64-780.88] 像5G通信还有包括车用
[780.88-784.18] 军用还有包括一些消费性电子的部分
[784.18-790.14] 这些部分其实如果大概经过这两三年的催化之后
[790.14-794.98] 其实像目前在5G mini wave这边的话
[794.98-796.88] 其实有一些订单
[796.88-800.56] 就是像我们跟转投资公司能源科技这边
[800.56-802.94] 我们有一些业务上的往来
[802.94-805.40] 还有就是在军用的话
[805.40-807.40] 其实跟我们像汉翔
[807.40-807.64] 其实跟我们像汉翔
[807.64-810.26] 部分也有一些业务上的往来部分
[810.26-811.48] 在车用部分的话
[811.48-814.48] 其实有一些车用的一些产品的话
[814.48-816.88] 有些销售的部分
[816.88-820.02] 然后5G的话就是一些外接的基地
[820.02-825.72] 还有也是会用到有关连接器这边的一些重要的产品
[825.72-828.40] 在画面的右边部就是我们传统
[828.40-831.56] 我们讲的光主动被动眼镜的部分
[831.56-835.80] 光主动其实最早的话应该说到大概10年前
[835.80-837.40] 那时候其实主要的光
[837.40-839.52] 光主动是2.5G模组
[839.52-844.70] 因为刚好大概10年前那时候刚好中国大陆的话
[844.70-847.02] 它也是一个网路部件
[847.02-850.28] 那时候也是主要是跟华为的往来
[850.28-854.64] 所以跟华为大概有将近五六年的一个往来时间
[854.64-859.52] 其实也那时候也让我们在公司的获利营收也是算还蛮不错的
[859.52-863.16] 可是其实随着中国大陆的话它慢慢崛起
[863.16-867.16] 其实后来在这一块的部分由于门槛的基础
[867.40-868.52] 不是那么高
[868.52-870.70] 再加上其实中国的话
[870.70-874.78] 它其实在一些供应商的部分做一些大力的扶持
[874.78-877.06] 所以导致于说很多台厂的部分
[877.06-879.28] 你在这一块要再跟大陆竞争的话
[879.28-881.16] 其实会变得到很大的压力
[881.16-883.56] 所以我们后来在疫情前的话
[883.56-886.52] 我们就就毅然既然我们就是跟华为这边的话
[886.52-888.56] 我们就尽量我们就不戒单
[888.56-890.40] 有一些可能低毛利负毛利的部分
[890.40-891.90] 我们就不戒单
[891.90-897.24] 所以在那个大概跟华为这边大概慢慢逐渐逐渐的
[897.40-903.40] 分离之后其实也经过大概有两年多的一个营收的一个大概有个地破槽
[903.40-905.28] 大概的时候营收其实有下降
[905.28-909.10] 可是其实这两年两三年的当中
[909.10-911.20] 其实业务方面也继续的开发
[911.20-916.16] 所以在欧美的部分也陆续开发出其他的一些重要客户
[916.16-918.02] 包括像一些电信公司
[918.02-918.98] 西班牙电信
[918.98-919.78] 葡萄牙电信
[919.78-921.48] 还有法国电信的部分
[921.48-925.90] 那美国这边也是有一些相关的一些产品的一些供应客户的话
[925.90-927.24] 有这些产品的需求
[927.40-929.52] 所以就这两年的话
[929.52-932.24] 其实在在主动这一块的话
[932.24-938.60] 其实也慢慢的让之前好时期的那些那些业务的部位慢慢拿回来
[938.60-939.90] 拿回来的部分
[939.90-941.94] 那主动这一块的话
[941.94-943.44] 在疫情前的话
[943.44-945.70] 其实大家知道其实疫情前的话
[945.70-950.86] 整个的欧洲跟美国的部分整个需求是大幅的下滑
[950.86-952.70] 那像去年前年的部分的话
[952.70-956.90] 其实我想很多这个同业的部分都是在做
[956.90-958.98] 那个存货企划的部分
[958.98-959.82] 那存货企划的话
[959.82-962.32] 其实在大概七年度
[962.32-966.94] 七年底今年应该七年底大概都大致都已经企划完成了
[966.94-969.44] 所以未来今年度开始的话
[969.44-970.66] 波萨这边的话
[970.66-973.70] 主动这边他主要的销售是会从2.5G的话
[973.70-978.70] 就是成品会改到大概天机时机的这一块的部分
[978.70-979.82] 那当然还是一样
[979.82-985.02] 我们会积极争取欧美这些大厂的一些订单的部分
[985.02-986.82] 那另外还有就是在被动部分
[986.90-989.02] 被动部分刚刚有提到
[989.02-990.98] 其实我们被动部分我们自己这样
[990.98-993.02] 我们只公司宁波厂部
[993.02-994.90] 我们有做一些自己做一些
[994.90-997.14] 跳接线还有闪现的部分
[997.14-998.40] 那主要的话
[998.40-1001.66] 其实重要的来自于数据中心这一块
[1001.66-1005.14] 就是数据中心就是美信大厂这一块的部分
[1005.14-1009.14] 那其实这一块的部分在最近这三年度
[1009.14-1011.44] 其实他的整个营收是成倍数成长
[1011.44-1014.24] 好像七年度
[1014.24-1016.40] 2024跟2023的话
[1016.90-1019.66] 这一块的大概的营收大概成长了将近五倍
[1019.66-1022.60] 就从之前的大概10亿
[1022.60-1025.90] 大概增到50亿的营收的水准
[1025.90-1029.82] 那其他还有一些就是包括存息的还有一些
[1029.82-1034.56] 就是在生技医疗有些医业合作的部分的话
[1034.56-1036.40] 在OCT光源模组等等这一块
[1036.40-1038.70] 我们也是有一些往来的客户
[1038.70-1043.40] 就是有些客户的话是可以供应给这些相关的这一些不同营业来使用
[1043.40-1044.90] 那这一张的话就是我们的这个营收的水平
[1044.90-1045.90] 我们的这个营收的水平是在2024年度的时间之内的一部分
[1045.90-1046.90] 那这一张的话就是我们的这个营收的水平是在2024年度的时间之内的一部分
[1046.90-1048.10] 就是私意图
[1048.10-1051.32] 因为其实本身我们供应给美希大型的部分
[1051.32-1053.78] 其实它有些是因为有一些保密关系
[1053.78-1056.02] 所以它的图片的部分我就不方便放上去
[1056.02-1058.86] 那这是从应该从网路抓的部分
[1058.86-1062.90] 就是一般我们现在目前供应给美希大型部分
[1062.90-1065.10] 大概就是有点类似这样子
[1065.10-1066.90] 如果你到一个机房去看的话
[1066.90-1070.78] 大致上这些东西都是我们供
[1070.78-1071.90] 比如说像某一个厂
[1071.90-1073.90] 也许可以说某一个美工某一个桌的话
[1073.90-1076.74] 他可能里面布的这一些设备的部分
[1076.90-1080.10] 大致上我們都有佔的比重都還蠻多
[1080.10-1081.80] 像是配色這種基底箱
[1081.80-1084.16] 或者說這些纜線部分的話
[1084.16-1087.72] 其他都會用到我們光勝這邊的這些產品
[1087.72-1093.84] 那以光勝的話
[1093.84-1095.60] 其實主要產品的應用領域的話
[1095.60-1096.66] 其實蠻廣的
[1096.66-1097.94] 包括剛剛也提到說
[1097.94-1100.14] 在5G的這些通信部分
[1100.14-1104.36] 還有包括在電話上的數據中心這一塊
[1104.36-1106.60] 這一塊是最主要的一些
[1106.60-1108.26] 主要的一個領域部分
[1108.26-1109.80] 然後再是車用
[1109.80-1111.40] 還有近視的部分
[1111.40-1113.80] 還有光學檢測的航太
[1113.80-1114.82] 寬頻
[1114.82-1117.02] 然後生意跟消費性電子的部分
[1117.02-1119.02] 所以其實很多產品的話
[1119.02-1120.56] 其實這兩年
[1120.56-1123.36] 因為其實你公司的話單靠自己
[1123.36-1125.70] 其實有時候要去開發一些新產品
[1125.70-1128.12] 或者是要去擴充一些不同領域的話
[1128.12-1129.16] 其實是蠻辛苦的
[1129.16-1133.82] 所以其實這兩年我們也慢慢的在
[1134.36-1135.56] 在本業以外的話
[1135.56-1137.26] 也會去找一些可能跟
[1137.26-1138.26] 比如上下游
[1138.26-1141.66] 或者有些可能有跟產品有關的一些
[1141.66-1142.82] 合作廠商的話
[1142.82-1145.16] 但是不管是策略聯盟
[1145.16-1146.26] 或者是什麼樣的方式的話
[1146.26-1149.70] 我們都樂於去擴充我們在
[1149.70-1152.00] 這些領域上面的產品
[1152.00-1154.52] 可以讓我們的那個
[1154.52-1155.36] 那個銷售範圍
[1155.36-1159.86] 營業範圍可以更廣
[1159.86-1161.76] 那光勝的話
[1161.76-1164.16] 其實在整個的垂直整合能力方面
[1164.16-1166.00] 其實也是我們的優勢
[1166.00-1168.06] 我們其實可以一條龍的部分
[1168.06-1169.90] 那是包括我們的製工具
[1169.90-1173.42] 我們的一些半成品加工跟一些
[1173.42-1174.56] 那個測試的部分
[1174.56-1178.80] 其實我們都有這些能力來進行
[1178.80-1181.66] 所以其實對於整個產品的話
[1181.66-1183.46] 上下游整的對於我們來說
[1183.46-1186.12] 不是什麼困難的
[1186.12-1187.66] 只是說比較有機會的話
[1187.66-1190.52] 我們可以做一個一條龍的垂直整合
[1194.16-1195.46] 那品質認證部分
[1195.46-1197.60] 其實我想這個部分因為
[1197.60-1199.46] 不管之前跟中國華為
[1199.46-1200.76] 或者跟現在美信大廠
[1200.76-1204.20] 還有跟其他歐洲這些電信大廠的部分
[1204.20-1206.76] 勢必的話在有關品質認證的部分
[1206.76-1208.92] 一定要達到達成他們的標準
[1208.92-1210.56] 所以其實我們也會
[1210.56-1211.92] 我們也都follow這些
[1211.92-1214.86] 不管最新的這些規定
[1214.86-1217.82] 不管是一些各國的規定
[1217.82-1218.90] 或者是政府的規定的話
[1218.90-1222.10] 其實我們都會有潛力去
[1222.10-1223.30] 在品質這邊的話
[1223.30-1224.00] 簡直會達成
[1224.00-1226.30] 可以符合各個供應商
[1226.30-1228.00] 或各個客戶的需求
[1230.04-1231.00] 那專利部分的話
[1231.00-1231.70] 其實一樣
[1231.70-1233.20] 其實這個產品
[1233.20-1234.06] 其實這個領域的話
[1234.06-1236.00] 其實產品的專利是很重要
[1236.00-1237.90] 因為有一旦你一個專利的話
[1237.90-1240.00] 如果花很多時間
[1240.00-1241.10] 如果沒有申請專利的話
[1241.10-1242.20] 當然就是對自己而言
[1242.20-1243.54] 是一個很大的損失
[1243.54-1244.86] 所以我們其實每一個產品
[1244.86-1246.36] 在研發過程當中
[1246.36-1248.74] 我們就會適時的去申請專利
[1248.74-1250.06] 那這邊看到是160
[1250.06-1250.60] 其實不只
[1250.60-1251.86] 因為我這邊其實統計的數字
[1251.86-1253.14] 裡面有更新說是
[1253.14-1253.96] 是到2021年
[1253.96-1257.36] 應該大概有差不多200個的部分
[1257.36-1258.46] 這個其實專利是
[1258.46-1259.90] 也都會有一些新產品
[1259.90-1261.20] 持續的申請專利
[1266.30-1268.60] 那就整個2024來說
[1268.60-1270.96] 其實2024對我們公司來說
[1270.96-1272.30] 是一個很重要的指標
[1272.30-1274.56] 我想其實不管從
[1274.56-1276.12] 公司內部的營收
[1276.12-1277.96] 毛利 獲利
[1277.96-1280.02] 從外部的股價
[1280.02-1281.82] 其實都是結合的
[1281.82-1283.10] 那其實變於說
[1283.10-1284.80] 對於公司的經營層來說
[1284.80-1286.80] 其實我覺得是一個挑戰
[1286.80-1287.64] 也是一個壓力
[1287.64-1291.16] 那當然我們公司還是一直堅持著
[1291.16-1292.60] 我們一直以來的經營
[1292.60-1294.44] 就是說其實公司是一直滿
[1294.44-1295.64] 穩健保守的原則
[1295.64-1298.00] 公司的管理層其實也都一直很
[1298.00-1299.70] 很踏實的在經營
[1299.70-1301.44] 那面對2025年的話
[1301.44-1303.10] 其實來說
[1303.10-1304.96] 其實2025年的話
[1304.96-1307.06] AI還是整個主要的
[1307.06-1309.00] 還是整個市場的主旋律
[1309.00-1311.10] 那也是未來在整個
[1311.10-1312.94] 在目前整個經濟市場上的一部分
[1312.94-1315.10] 那也是很重要的一個角色
[1315.10-1317.84] 所以我想2025 2026
[1317.84-1321.14] AI的從市場的一些分析
[1321.14-1321.98] 調查來看的話
[1321.98-1323.60] 其實AI還是主流
[1323.60-1326.60] 所以我想可能我們的在
[1326.60-1328.44] 不管在主動被動
[1328.44-1329.80] 光通這些產品的話
[1329.80-1331.30] 其實我想未來的話
[1331.30-1332.14] 在2025的話
[1332.14-1334.74] 其實如果以現在市場的需求來看的話
[1334.74-1336.60] 其實還是很樂觀的
[1336.60-1339.94] 那另外在
[1339.94-1342.94] 面臨到那個另外在其他的AI以外
[1342.94-1343.94] 的產業部分
[1343.94-1346.18] 其實我們也一直積極在扣充
[1346.18-1348.24] 我們的整個的一些營利
[1348.24-1350.28] 包括有一些可能相關的部分
[1350.28-1354.00] 像之前提到我們在
[1354.00-1355.70] 微星低軌微星這一塊
[1355.70-1357.60] 我們如果從各位可以看到
[1357.60-1360.18] 我們有投資那個能源科技
[1360.18-1361.40] 那還有包括生意部
[1361.40-1363.80] 我們投資新生科技
[1363.80-1366.14] 還有包括在
[1366.14-1367.34] CPU 矽光子這一塊
[1367.34-1368.94] 我們投資合成科技
[1368.94-1371.94] 還有包括其他的有一些可能我們有些
[1372.94-1374.94] 未來有些如果不錯的標的的話
[1374.94-1376.70] 其實我們都不排除說
[1376.70-1379.18] 一些異業的合作
[1379.18-1382.34] 那2025年的話其實
[1382.34-1385.80] 如果就因為其實
[1385.80-1389.28] 你說說2025年度整體的掌握來看
[1389.28-1390.98] 其實因為我有一些
[1390.98-1393.44] 其實因為像數據大廠這一塊
[1393.44-1395.30] 它其實他們能見度
[1395.30-1396.88] 因為不是可以看一整年
[1396.88-1398.74] 大概可以看一季兩季的部分
[1398.74-1400.94] 如果就上半年來看的話
[1400.94-1402.70] 目前我們是覺得還蠻樂觀的
[1402.70-1404.90] 因為其實目前來看的話
[1404.90-1406.84] 就像剛剛前面提到
[1406.84-1407.86] 今年第一季的話
[1407.86-1409.74] 其實的獲利就已經可以
[1409.74-1411.90] 達到我們大概七年上半年的
[1411.90-1413.00] 已經大概有過半了
[1413.00-1415.10] 所以其實我們對上半年是蠻有信心的
[1415.10-1415.84] 那下半年部分
[1415.84-1417.30] 其實我們還是一樣會持續努力
[1417.30-1420.26] 我想只要市場有這個需求
[1420.26-1423.06] 只要這AI的話還是持續的話
[1423.06-1424.04] 發熱的話
[1424.04-1425.96] 我想相信對於光勝
[1425.96-1427.26] 對於所有我們台灣的一些
[1427.26-1428.70] 光東型產業的話
[1428.70-1430.96] 都是一些正面效益的
[1430.96-1432.46] 那大概就是以上就是我
[1432.70-1434.90] 公司大概整個的簡報
[1434.90-1437.20] 跟大家做一個說明
[1437.20-1439.30] 那不曉得各位有什麼問題
[1439.30-1442.30] 感謝光勝經營團隊的精密分享
[1442.30-1443.80] 那我們現在是Q&A時間
[1443.80-1445.20] 當然在開放大家問答之前
[1445.20-1446.26] 我們會有一些問題
[1446.26-1448.66] 跟針對經營團隊定義的一個詢問
[1448.66-1450.20] 那獨角三個題目
[1450.20-1451.84] 那第一個是請問光勝
[1451.84-1454.14] 在上列轉投資公司的能力系列
[1454.14-1455.56] 當中能源科技
[1455.56-1458.10] 以及合勝科技的轉投資布局
[1458.10-1460.46] 以效可及效益可以說明一下嗎
[1460.46-1461.56] 可以
[1461.56-1462.70] 剛剛在結尾的時候有提到
[1462.70-1465.76] 說我們的轉投是能源科技跟合勝
[1465.76-1467.34] 其實還有其他家
[1467.34-1470.40] 那能源科技是我們在去年的話
[1470.40-1471.66] 轉投資的部分
[1471.66-1473.84] 那大概我們公司有投資了3億
[1473.84-1477.40] 大概持股目前算是說
[1477.40-1480.80] 該公司經營團隊以外最大的股東
[1480.80-1482.20] 那如果你們跟我去查的話
[1482.20-1483.94] 他其實不單只有我們家三公司
[1483.94-1487.20] 就我知道能源科技的股東
[1487.20-1488.86] 其實包括光勝之外
[1488.86-1490.46] 還有英業達 耀登
[1490.46-1492.40] 還有好像是四五間
[1492.70-1493.70] 都是三公司
