[0.00-4.00] 歡迎參加今日的雙胖科技股份有限公司的周詳會議
[713.00-716.00] 可以各位可以看到我們的產品的組合的變化
[716.00-718.00] 比重的變化
[718.00-723.00] 那各位看到這個
[723.00-727.00] 消費性IC
[727.00-735.00] 消費性IC它其實一直以來大概都是在
[735.00-739.00] 在我們公司都一直在維持在12到14左右
[739.00-743.00] 那這兩年也差不多符合這個比重
[743.00-746.00] 然後多媒體
[746.00-749.00] 那個MCU維工式IC
[749.00-752.00] 一直以來其實都在45到50之間
[752.00-754.00] 那這兩年呢因為在清庫存的關係
[754.00-756.00] 電單比較少
[756.00-759.00] 所以大概落到40到42
[759.00-762.00] 那110年更慘
[762.00-764.00] 那時候只有36%
[765.00-768.00] 那多媒體IC呢
[768.00-771.00] 過去都在40到42、3左右
[771.00-776.00] 那也差不多去年也是維持在43的比重
[776.00-782.00] 那我想這樣的我們三大產品性的比重
[782.00-785.00] 未來差不多也是會維持這樣子
[785.00-789.00] 大概就是多媒體跟維工式機大概會占我們
[789.00-792.00] 都是在40到45左右
[792.00-794.00] 然後那個消費性IC大概就占我們了
[794.00-797.00] 大概就占我們在15左右
[797.00-798.00] 這樣的比重
[798.00-800.00] 一直維持這樣子
[808.00-809.00] 這個MCU主要用
[809.00-811.00] 這個當然我已經有說明過了
[811.00-812.00] 就是三
[812.00-814.00] 主力就是三個應用
[814.00-817.00] 一個是在醫療量測的應用
[817.00-818.00] 那一個是泛用型的
[818.00-821.00] 就是主力在各式小家電
[821.00-824.00] 還有一些遙控器等等
[824.00-828.00] 就是行動電源充電器的控制IC
[828.00-832.00] 然後在電腦周邊這一塊呢
[832.00-836.00] 這幾點就是主力是靠電競相關的應用
[836.00-838.00] OK
[844.00-846.00] 這裡也是一樣
[846.00-849.00] 就是針對我們這個三大應用它的比重的變化
[849.00-854.00] 那這裡可以看到就是一個好現象
[854.00-858.00] 就是我們在這個低階的泛用型的MCU
[858.00-863.00] 它從過去48然後到了兩年前44
[863.00-864.00] 到去年到42
[864.00-866.00] 這邊有降下來的話
[866.00-871.00] 對我們MCU的毛利率也會比較沒有那麼大的壓力
[871.00-874.00] 因為這邊的毛利率是偏低的
[874.00-880.00] 然後在USBMCU跟這個我們叫做SLC的MCU
[880.00-883.00] 在量測醫療保健這一塊呢
[883.00-885.00] 毛利率相對好一些
[885.00-891.00] 那可以看到去年它們量比重都有稍微增加一些的
[900.00-907.00] 這裡是針對我們的影像融為體的晶片的一個發展的經過
[907.00-911.00] 那各位可以看到就是我們最早2006年開始推出
[911.00-914.00] 內建就是筆電的攝影機
[914.00-920.00] 然後再來就是到疫情期間
[920.00-923.00] 那時候那個外掛的攝影機
[923.00-927.00] 因為它居家工作外就很風行
[927.00-937.00] 就在2021、2022我們的外掛的甚至已經比重幾乎要超過我們的內建那個比重
[937.00-940.00] 然後到2025年的發展呢
[940.00-943.00] 這個發展也回味到比較正常
[943.00-946.00] 就是我們的內建是還是占到差不多
[946.00-950.00] 2024年的去年我們內建差不多60%
[950.00-952.00] 然後外掛40%
[952.00-956.00] 那我想這個比重未來應該也差不多是這樣
[956.00-958.00] 就是60到70是內建
[958.00-963.00] 然後外掛可能就是在30、40左右
[963.00-967.00] 那這個最新的發展就是我們在內建、筆電的這邊呢
[967.00-969.00] 大概今年我們會完全跟隨這個發展
[970.00-972.00] 先上這個最新的主流的應用
[972.00-976.00] 就是在規格上就是HPT
[976.00-980.00] HPT他們講的就是有點有AI
[980.00-986.00] 有AI概念的一個監控網路攝影機
[986.00-993.00] 這是我們這個多媒體獎品的一個電腦
[993.00-995.00] 一個眼鏡的說明
[995.00-997.00] 這裡我剛剛有提到就是
[997.00-999.00] 不過我們的環球在我們外掛的一個建議就是
[999.00-1001.76] 所以我剛剛有提到在以去年來看
[1001.92-1009.28] 去年是因為我們的筆電有內建的IC
[1009.44-1014.72] 因為有衰退 所以整體這個是衰退
[1014.88-1018.24] 所以感覺好像是非筆電這一塊增加的時候
[1018.40-1020.00] 20幾增加到34
[1020.16-1025.04] 其實是這一塊 藍色這一塊去年是衰退的
[1025.04-1031.44] 去年因為有一些比較新的晶片
[1031.60-1037.80] 沒有跟上幾大品牌他們的需求
[1037.96-1041.08] 就是他們每年在一個固定時間點
[1041.24-1044.36] 他們有些新的機種 那你要趕上那個時間
[1048.48-1054.40] 以上就是針對我們雙半產品線的一個說明
[1054.56-1054.96] OK
[1055.20-1058.44] 接下來就是我們談一下我們的財報
[1058.60-1060.36] 黃經理跟這位說明
[1063.56-1064.36] 謝謝總監
[1064.52-1067.72] 因為其實這個財報數字已經出來有一段時間了
[1067.88-1070.36] 相信法人朋友們都已經很熟悉數字
[1070.52-1072.32] 我們就是簡單的回顧一下
[1072.48-1077.96] 就是我們113年的營收是27.44億
[1078.12-1083.72] 比112年的26.09億增加了5%
[1083.88-1084.92] 剛才有提到說
[1085.16-1088.92] 其實各個產品線都有一些成長
[1089.08-1090.96] 那唯獨就是多媒體這邊
[1091.12-1093.56] 因為我們產品上面的一些小狀況
[1093.72-1096.88] 所以是比我們原先預期的有弱了一些
[1097.04-1099.16] 但是蠻好是說除了多媒體之外
[1099.32-1103.68] 其他每個產品線都看到將近兩位數以上的成長
[1103.84-1109.36] 那我們今年度也還有陸續推一些新的產品
[1109.52-1111.96] 所以剛才總監也有跟大家報告說
[1112.12-1114.16] 今年度的話我們預期說
[1114.16-1120.60] 我們的營收會比去年度還是能夠有一個還不錯的幅度的成長
[1120.76-1124.80] 那營業經濟的部分去年是1.79億
[1124.96-1127.72] 那比前年的1.85億也少了一些
[1127.88-1130.60] 那事實上我們的毛利率是差不多的
[1130.76-1133.68] 那最主要是有一些費用比較高的關係
[1133.84-1138.36] 因為我們其實就是去年底也為了一些新產品的投資
[1138.52-1142.04] 有做了一些比較高的金額的廣造的支出
[1142.20-1144.08] 所以這個部分就是讓我們
[1144.24-1146.96] 我們的營業經濟就是雖然營收成長
[1147.12-1148.76] 但是營業經濟有少了一點
[1148.92-1152.16] 所以EPS是1.07元
[1152.32-1155.12] 然後庫存的部分大家之前一直關心
[1155.28-1157.88] 就是MCU的庫存的部分
[1158.04-1159.72] 那還有很多產品庫存的部分
[1159.88-1162.56] 那從我們的庫存數字可以看到說
[1162.72-1166.24] 我們其實過去一兩年在庫存降低的部分
[1166.40-1168.60] 進行的努力都蠻有成效的
[1168.76-1173.76] 那我們在去年底的庫存是到了6.27億
[1174.24-1176.40] 那已經比前一個年度又下降
[1176.56-1181.32] 尤其是周轉天數已經從253天大幅的降到170天
[1181.48-1184.68] 整個庫存的控制是蠻健康的狀態
[1184.84-1187.40] 那這個是在財報的這一塊
[1187.56-1190.16] 那我們個別來看
[1190.32-1193.92] 剛才其實已經大致上有跟各位就是報告過說
[1194.08-1195.04] 我們的營收
[1195.20-1199.20] 然後毛利的部分其實毛利率是相當的
[1199.36-1203.04] 就是說我們各個產品組合的毛利率並沒有說
[1203.04-1206.56] 你受到有一些什麼ASB影響太大的關係
[1206.72-1208.64] 我們的毛利率還是蠻遲穩的
[1208.80-1211.80] 那營業淨利的部分會比較少
[1211.96-1214.76] 主要就是因為剛有提到說費用的部分
[1214.92-1216.72] 那是投產的一些光照
[1216.88-1220.04] 所以有侵蝕掉一些我們的利益
[1220.20-1224.40] 那所以看到的是說營業淨利只有就是
[1224.56-1228.92] 對人的8500萬就比較少一點
[1229.04-1232.12] 那單獨看
[1232.28-1233.00] 那單獨看
[1233.16-1234.80] 季度的表現的話
[1234.96-1238.72] 其實第四季就113年跟12年
[1238.88-1242.00] 兩季的整個的營收是差不多的
[1242.16-1244.04] 甚至於就是113年第四季
[1244.20-1246.72] 尤其是12月的時候表現還不錯
[1246.88-1249.44] 那但毛利的部分
[1249.60-1252.40] 就是第四季的時候有一些產品線
[1252.56-1254.40] 就是毛利有稍微降一點點
[1254.56-1256.60] 主要也是說媒體這一塊
[1256.76-1258.92] 有稍微降一點點
[1259.08-1262.16] 那所以在這一塊上面就是毛利率會比
[1262.32-1262.96] 前一年
[1263.16-1266.12] 度的第四季少一些
[1266.28-1270.92] 那費用的話其實兩個季度是也差不多的
[1271.08-1273.40] 就是113跟112
[1273.56-1278.48] 那所以最後我們那個去年第四季的EPS是0.2
[1278.64-1282.76] 那從第四季跟第三季來看的話
[1282.92-1286.64] 我們第四季的營收是7.17億
[1286.80-1290.40] 那跟我們第三季來看是有一個4%的成長
[1290.56-1291.96] 然後毛利的部分
[1292.08-1293.88] 其實金額有增加
[1294.04-1295.48] 毛利率也是相對差不多
[1295.64-1298.40] 那但是看到淨利又好像很明顯的比較少
[1298.56-1300.24] 只有980萬
[1300.40-1303.28] 最主要還是我提到的那個光照的支出
[1303.44-1306.04] 我們是在去年底我們有投產了一個
[1306.20-1309.96] 應該是本公司目前以來就是最高階的一個製程
[1310.12-1312.80] 一個蠻高金額的一個光照的支出
[1312.96-1317.68] 那這個光照的支出就是造成我們去年底的時候
[1317.84-1319.88] 整體的費用有比較上升
[1320.04-1321.08] 然後在這個
[1321.08-1324.16] 這個淨利的部分也受到一些影響
[1324.32-1326.68] 那但是受惠與惠對的關係
[1326.84-1330.80] 所以我們最後的EPS還是有比那個11
[1330.96-1333.08] 有比上一季有好一些
[1333.24-1335.32] 就是可以回升到0.21
[1335.48-1340.80] 那這是公司過去幾年的一個鼓勵分派的情形
[1340.96-1345.28] 然後可以看到說其實公司一直以來的政策
[1345.44-1347.60] 都是走一個比較高配發
[1347.76-1350.88] 那今年度董事會還沒有決定
[1350.88-1353.44] 我們要怎麼樣的去做一個配發
[1353.60-1355.40] 那預計要到5月的時候
[1355.56-1359.84] 我們才會確認說我們這個鼓勵的一個政策
[1360.00-1364.20] 那這個就是我們今天有關於業務跟財務的報告
[1364.36-1366.76] 那非常感謝國票跟大家
[1366.92-1368.96] 那以上我們的訪問就進行到這邊
[1369.12-1370.20] 謝謝大家
