[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-33.02] 好 线上的各位投资先进午安
[33.02-38.10] 谢谢大家今天上线参加中国货柜的线上法人说明会
[475.98-478.98] 它进出口到大陆的量是逐年在递减
[478.98-483.98] 那这个是主要台中港有一些量减少的部分
[483.98-486.98] 那在台中港它的航线的组成
[486.98-488.98] 主要还是两岸航线跟近洋线
[488.98-491.98] 那两岸航线大概占了40%左右
[491.98-494.98] 那近洋的部分大概占了60%
[494.98-495.98] 那除了我刚刚讲的这个
[495.98-496.98] 因为这个近年来
[496.98-500.98] 我们台湾台商进出口到大陆的货量的占比
[500.98-502.98] 有逐年下降的趋势之外呢
[502.98-504.98] 还有另外一个就是
[505.98-508.98] 往年有一些大众物资
[508.98-509.98] 黄小玉啊
[509.98-510.98] 就黄豆啊
[510.98-511.98] 小麦啊
[511.98-513.98] 玉米玉米这些东西啊
[513.98-516.98] 它是透过高雄上来的
[516.98-518.98] 那这些航商会尽量
[518.98-521.98] 为了增加这个高雄台中港的这个运量
[521.98-522.98] 装卸量
[522.98-525.98] 他会尽量用所谓的这个母船的方式
[525.98-526.98] 送到台中港来
[526.98-528.98] 那近年来这方面的话
[528.98-529.98] 就是转运的部分
[529.98-531.98] 用母船转运的部分也变得比较少一点
[531.98-532.98] 所以说纵观来讲
[532.98-534.98] 可以看到这个台中港的部分
[534.98-537.98] 这个今年的作业量来讲的话
[537.98-538.98] 今年第一季的作业量
[538.98-539.98] 比去年第一季来讲
[539.98-540.98] 相较来讲的话
[540.98-542.98] 是少的幅度比较高一点
[542.98-543.98] 少的幅度最高
[543.98-544.98] 大概是四个港口里面最高
[544.98-546.98] 大概少了7.2%
[546.98-549.98] 那这是台中港的情况
[549.98-550.98] 好
[550.98-551.98] 看了台中港之后
[551.98-553.98] 我们再看看高雄港
[553.98-555.98] 那高雄港今年第一季的话
[555.98-557.98] 总共做226万
[557.98-559.98] 226万TU
[559.98-562.98] 那相较去年第一季来讲的话
[562.98-564.98] 225万TU的一季
[564.98-566.98] 来讲的话变化并不是那么大
[566.98-568.98] 但还是稍微增加一些
[568.98-573.98] 那增加的幅度大概达到0.6个百分点
[573.98-574.98] 百分比
[574.98-576.98] 那基本上来讲高雄港
[576.98-577.98] 事实上来讲
[577.98-578.98] 它是我们整个台湾最大的
[578.98-580.98] 是国际商场里面最大的一个港口
[580.98-582.98] 那大部分进出口
[582.98-584.98] 这个两岸航线
[584.98-586.98] 欧美航线等等
[586.98-588.98] 都靠这个高雄港
[588.98-589.98] 那高雄港事实上来讲
[589.98-592.98] 今年跟去年来讲的变化并不是那么大
[592.98-594.98] 货量还算是稳定
[594.98-598.98] 所以增加幅度大概到只有0.6个百分点
[598.98-601.98] 那这是高雄港的状况
[601.98-602.98] 那第一部分的话
[602.98-604.98] 我们就针对这个四个国际港口的装卸量
[604.98-606.98] 跟各位做个个性做个报告
[606.98-608.98] 那下面来讲的话
[608.98-610.98] 我会跟各位报告一下我们
[610.98-612.98] 中国货会在整个台湾的一个业务的一些
[612.98-614.98] 分布的范围跟形态
[614.98-616.98] 那事实上来讲的话
[616.98-618.98] 中国货会在台湾的话
[618.98-620.98] 我们是进了两个码头
[620.98-622.98] 北部的话是金融港
[622.98-624.98] 中部的话就是台中港
[624.98-626.98] 我们在金融跟台中
[626.98-628.98] 我们都有自己的货柜经营
[628.98-630.98] 那金融港的部分呢
[630.98-632.98] 我们成租的码头
[632.98-634.98] 我们跟TIBC成租的码头是
[634.98-636.98] 19号 20号跟21号码头
[636.98-638.98] 总共有三座码头
[638.98-640.98] 那台中港的部分呢
[640.98-642.98] 我们成租了9号的部分
[642.98-644.98] 然后10号跟11号码头
[644.98-646.98] 再加上31号码头的后线
[646.98-650.98] 那整个北部金融港的码头经营业者来讲的话
[650.98-652.98] 大概有三家
[652.98-654.98] 就是说我们中国货柜之外呢
[654.98-656.98] 还有TIBC
[656.98-658.98] TIBC就是台湾港贸公司
[658.98-660.98] 那基本上是台湾港贸公司的
[660.98-662.98] 金融分公司
[662.98-664.98] 那另外一家的话在金融的货柜经营业者的话
[664.98-666.98] 就是东岸的延熙
[666.98-668.98] 所以说整个金融港的码头业者的话
[668.98-670.98] 经营码头业者的话大概只有三家
[670.98-672.98] 我们讲东岸的话就是延熙货
[672.98-674.98] 延熙国际通营股份有限公司
[674.98-676.98] 那西岸的部分就是我们中国货柜
[676.98-678.98] 跟台湾港贸公司
[678.98-680.98] 金融分公司
[680.98-682.98] 这是金融的情况
[682.98-684.98] 那台中港的部分呢
[684.98-686.98] 除了我们中国货柜之外呢
[686.98-688.98] 另外还有长龙海运跟万海海运
[688.98-692.98] 我们是租9号跟10号11号码头
[692.98-694.98] 还有31号码头的后线
[694.98-698.98] 那长龙的话就是32 33
[698.98-702.98] 那万海的话就是32号跟部分35号嘛
[702.98-704.98] 基本上来讲的话
[704.98-706.98] 台中港的话码头业者就是这三家
[706.98-708.98] 中国货柜长龙海运跟万海航运
[708.98-710.98] 那这是有关于这个我们
[710.98-712.98] 中国货柜在北部机构的
[712.98-714.98] 这个货柜的部分
[714.98-716.98] 就是我们的金融跟中部台中的
[716.98-718.98] 货柜经营的形态
[718.98-720.98] 好那我们看下一页
[720.98-722.98] 下一页来讲的话就是
[722.98-724.98] 我们针对货柜码头的装卸量
[724.98-726.98] 来做一个比较
[726.98-728.98] 那我们先看金融港的部分
[728.98-730.98] 那在金融港的部分呢
[730.98-732.98] 我们去年2020年一整年
[732.98-734.98] 我们金融中柜的话
[734.98-738.98] 我们是总共承揽了71.9万个TEU
[738.98-740.98] TEU就是一个货柜单位
[740.98-742.98] 就是一个24个货柜单位
[742.98-744.98] 那黄色的部分的话是港务公司
[744.98-746.98] 就是我刚讲的金融港公司
[746.98-748.98] 台湾港公司的金融分公司
[748.98-750.98] 他做了33.4万TEU
[750.98-752.98] 那剩下的部分就是
[752.98-754.98] 东岸年薪的部分
[754.98-756.98] 他总共承揽了59.7万TEU
[756.98-758.98] 那我们看一下去年的这个
[758.98-760.98] 作业量的比例来讲的话
[760.98-762.98] 我们中国货柜的话大概占了43.5%
[762.98-764.98] 大概占了43.5%
[764.98-766.98] 的整个金融装卸量
[766.98-768.98] 那TIPC的话呢
[768.98-770.98] 他大概占了23%
[770.98-772.98] 25.3%
[772.98-774.98] 那东岸年薪的部分呢
[774.98-776.98] 大概占了31%
[776.98-778.98] 所以在这个货柜承揽方面的话
[778.98-780.98] 所以在这个货柜承揽方面的话
[780.98-782.98] 金融部分我们中国货柜的装卸量的
[782.98-784.98] 占比还是相对来讲是比较高一些的
[784.98-786.98] 占比还是相对来讲是比较高一些的
[786.98-788.98] 那是去年的情况
[788.98-790.98] 那我们再看右边这边
[790.98-792.98] 右边这个图的话是今年的第一季
[792.98-794.98] 跟去年第一季的比较
[794.98-796.98] 那第一季来讲的话
[796.98-798.98] 我们今年做16.1万TEU
[798.98-800.98] 那TIPC的话呢做7.7万TEU
[800.98-802.98] 那
[802.98-804.98] 年薪的话
[804.98-806.98] 东岸年薪的话他做13.2万TEU
[806.98-808.98] 那基本上来讲的话
[808.98-810.98] 大概我们中国货柜跟这个年薪的部分
[810.98-812.98] 都有部分的减少
[812.98-814.98] 那当然TIPC的部分有增加一些
[814.98-816.98] 那我们减少的原因
[816.98-818.98] 之前有跟各位叙述过
[818.98-820.98] 大概就是因为第一季有些行商
[820.98-822.98] 做一些测评性的调整
[822.98-824.98] 让船进屋之外
[824.98-826.98] 那我们主要的几个客户像Postco
[826.98-828.98] 就是中国远洋
[828.98-830.98] 那他有些试航诊的部分
[830.98-832.98] 他没有办法取得所以我们等于少了
[832.98-834.98] 这个行驶的量
[834.98-836.98] 那基本上来讲的话
[836.98-838.98] 我们货柜的量减少主要是这些原因
[838.98-840.98] 第一季的部分
[840.98-842.98] 那看完这个
[842.98-844.98] 那看完这个吉隆港装卸量的比较之后
[844.98-846.98] 我们再看一下这个
[846.98-848.98] 圆平图就所谓的百分比
[848.98-850.98] 那刚刚也讲过了
[850.98-852.98] 基本上来讲的话我们这三家
[852.98-854.98] 货柜的装修公司
[854.98-856.98] 他share的量的百分比
[856.98-858.98] 今年来讲跟去年第一季同期来比
[858.98-860.98] 并没有太大的变化
[860.98-862.98] 我们中国还是占了43.5%
[862.98-864.98] 那延伸的部分呢
[864.98-866.98] 35.77%
[866.98-868.98] 那港澳公司的部分呢
[868.98-870.98] 他就增加了一些20.73%
[870.98-872.98] 那港澳公司增加的部分基本上来讲
[872.98-874.98] 也是因为这个
[874.98-876.98] 可能是东岸年薪
[876.98-878.98] 他有一些码头拥塞的部分
[878.98-880.98] 他就船只来不及
[880.98-882.98] 没有办法及时的做一些提供船货的服务
[882.98-884.98] 所以他就移拨到港澳公司里面去
[884.98-886.98] 所以港澳公司因此增加了一些百分比
[886.98-890.98] 那这整个有关于这个吉隆港货柜装卸业者的
[890.98-892.98] 装卸量的部分
[892.98-894.98] 跟他私在领域的部分
[894.98-896.98] 好接下来我们看一下台中港
[896.98-898.98] 那一样的
[898.98-900.98] 台中港在去年一整年
[900.98-902.98] 2024年来讲的话
[902.98-904.98] 我们中国货柜一整年做的是
[904.98-906.98] 55.3万个tew
[906.98-908.98] 3万个tew
[908.98-910.98] 长文的部分呢
[910.98-912.98] 他做了61.3万个tew
[912.98-914.98] 那万海的部分做
[914.98-916.98] 42.3万个tew
[916.98-918.98] 那占比来讲的话呢
[918.98-920.98] 我们中贵的话大概占了35%
[920.98-922.98] 那
[922.98-924.98] 长文大概占了39%
[924.98-926.98] 那万海的部分大概占了26%
[926.98-928.98] 那是整个占比
[928.98-930.98] 那右边的部分
[930.98-932.98] 我们看第一季的部分
[932.98-934.98] 今年第一季
[934.98-936.98] 我们是中国货柜在台中的部分
[936.98-938.98] 做12.7万个tew
[938.98-940.98] 那相较于去年的话
[940.98-942.98] 是4.1万tew来讲的话
[942.98-944.98] 我们大概也有减少
[944.98-946.98] 那长文的部分呢他也是减少
[946.98-948.98] 万海他部分他也是减少
[948.98-950.98] 那减少的原因
[950.98-952.98] 我们之前也有大概跟各位叙述过了
[952.98-954.98] 就是可能这个逐渐
[954.98-956.98] 有些策略的调整
[956.98-958.98] 航商就是我们的厂商
[958.98-960.98] 台中部分的厂商在出往
[960.98-962.98] 港澳部分地区的部分
[962.98-964.98] 有做一些比例上的一些调整
[964.98-966.98] 所以说整个量的部分
[966.98-968.98] 来讲的话相较来讲的话
[968.98-970.98] 是有些减少的部分
[970.98-972.98] 这是台中的
[972.98-974.98] 再看占比
[974.98-976.98] 占比的部分的话那去年来讲的话
[976.98-978.98] 第一季的话我们中贵占了35%
[978.98-980.98] 万海呢他
[980.98-982.98] 长荣占37%
[982.98-984.98] 万海占了27%左右
[984.98-986.98] 那我们中贵占比
[986.98-988.98] 从去年35%降到
[988.98-990.98] 今年34%
[990.98-992.98] 那大概就是因为这个
[992.98-994.98] 货柜量减少的原因
[994.98-996.98] 那万海跟长荣的部分呢
[996.98-998.98] 他的占比的部分有一些
[998.98-1000.98] 稍微的增加
[1000.98-1002.98] 我在这边跟各位报告一下
[1002.98-1004.98] 因为长荣跟万海
[1004.98-1006.98] 他们本身他们的背景
[1006.98-1008.98] 本身就是航商
[1008.98-1010.98] 那因为在今年第一季的话有一些
[1010.98-1012.98] 全球各地有一些空柜的调节
[1012.98-1014.98] 就是说
[1014.98-1016.98] 从大陆地区
[1016.98-1018.98] 或其他东亚地区出口的空柜
[1018.98-1020.98] 因为可能用不到那么多空柜
[1020.98-1022.98] 所以他们会有一个策略线的调整
[1022.98-1024.98] 把这些空柜运回来
[1024.98-1026.98] 这个台中港
[1026.98-1028.98] 所以说他们在空柜的调节的部分
[1028.98-1030.98] 他们的量因此有做一些增加
[1030.98-1032.98] 并不是真正的货物的增加
[1032.98-1034.98] 而是做一些空柜
[1034.98-1036.98] 空柜调整的部分增加
[1036.98-1038.98] 所以他们的占比相较来讲就没有像中国货柜来讲
[1038.98-1040.98] 因为中国货柜本身就是一个马头叶子
[1040.98-1042.98] 我们并不像他们一样
[1042.98-1044.98] 是用航商的背景
[1044.98-1046.98] 有一些空柜的量可以做一些调节
[1046.98-1048.98] 所以占比的部分我们中国会调的稍微多一些
[1048.98-1050.98] 那这个是
[1050.98-1052.98] 台中港的部分
[1052.98-1054.98] 那当然台中港的部分
[1054.98-1056.98] 从去年7月份
[1056.98-1058.98] 中国大陆针对台湾的航商在ECFA的部分
[1058.98-1060.98] 做了一些调整
[1060.98-1062.98] 就是说取消了台湾的一些ECFA的关税利率
[1062.98-1064.98] 所以说单数的量
[1064.98-1066.98] 到大陆的量
[1066.98-1068.98] 做了一些有意思的
[1068.98-1070.98] 那这些部分的减少
[1070.98-1072.98] 那这个台中港货柜马头的市占比的部分
[1072.98-1074.98] 还有这个占比的部分
[1074.98-1076.98] 接下来我跟各位报告一下
[1076.98-1078.98] 有关于这整个海运市场的这个情况
[1078.98-1080.98] 还有一些未来的一些展望
[1080.98-1082.98] 那当然这个部分的话
[1082.98-1084.98] 我们可以从几个面向去探讨
[1084.98-1086.98] 那第一个我们可以从国际的经济情势去看
[1086.98-1088.98] 那第二个就是说
[1088.98-1090.98] 现在目前市场的一些风虚的一些状况
[1090.98-1092.98] 那当然第三个就是
[1092.98-1094.98] 我们比较重视的
[1094.98-1096.98] 2025年一些比较重大的一些
[1096.98-1098.98] 海运的市场的一些风虚
[1098.98-1100.98] 那这个就是我们的讯息的部分
[1100.98-1102.98] 跟各位再一一做个报告
[1102.98-1104.98] 那在这个整个国际经济状况来讲的话
[1104.98-1106.98] 那在这个整个国际经济状况来讲的话
[1106.98-1108.98] 我们现在来讲的话就是
[1108.98-1110.98] 2025年的话
[1110.98-1112.98] 3月份的时候
[1112.98-1114.98] 全国三大主要经济的研究机构预测
[1114.98-1116.98] 今年的经济成长率落在2.4%到3.1%之间
[1116.98-1118.98] 今年的经济成长率落在2.4%到3.1%之间
[1118.98-1120.98] 那这个东西呢
[1120.98-1122.98] 这个经济成长率预测
[1122.98-1124.98] 又相较于去年2024年12月做的经济成长率预测的时候
[1124.98-1126.98] 又下销
[1126.98-1128.98] 大概下销0.2%到0.3%之间
[1128.98-1130.98] 所以2025年的部分
[1130.98-1132.98] 这个经济成长率的部分
[1132.98-1134.98] 只有下销大概0.2%到0.3%之间
[1134.98-1136.98] 大概是整个成长率在落在
[1136.98-1138.98] 大概是整个成长率在落在2.4%到3.1%
[1138.98-1140.98] 这个是全球的经济成长率
[1140.98-1142.98] 这个是全球的经济成长率
[1142.98-1144.98] 那有关经济成长率的部分
[1144.98-1146.98] 我们可以从四个面向
[1146.98-1148.98] 大概四个面向去探讨
[1148.98-1150.98] 大概跟各位介绍一下
[1150.98-1152.98] 第一个就是因为这个全球化有整个碎片化
[1152.98-1154.98] 它不再像以前是整个
[1154.98-1156.98] 像是全球化
[1156.98-1158.98] 像因为有些问题出来像关税啊各方面的问题
[1158.98-1160.98] 它不再像以前是整个碎片化的趋势
[1160.98-1162.98] 那当然就是另外第二个就是通膨压力的部分
[1162.98-1164.98] 那当然就是另外第二个就是通膨压力的部分
[1164.98-1166.98] 那还有整个世界工厂这个中国大陆它整个经济的情况
[1166.98-1168.98] 那还有整个世界工厂这个中国大陆它整个经济的情况
[1168.98-1170.98] 那另外国外部就是我们
[1170.98-1172.98] 红海苏伊士运河
[1172.98-1174.98] 还有那个俄乌战争的
[1174.98-1176.98] 是敌人争执的部分的冲突
[1176.98-1178.98] 就四个面向去观察
[1178.98-1180.98] 那我们先看这个全球化业的碎片化的部分
[1180.98-1182.98] 那这个当然是受到美国这个
[1182.98-1184.98] 对等关税政策的影响
[1184.98-1186.98] 那这个对等关税政策一宣布出来
[1186.98-1188.98] 对等关税政策一宣布出来
[1188.98-1190.98] 各个国家对这个贸易的恐惧
[1190.98-1192.98] 更加深的国家
[1192.98-1194.98] 更加深的国家各个国家的恐惧
[1194.98-1196.98] 相对的他们会提到一些贸易的一些壁垒
[1196.98-1198.98] 相对的他们会提到一些贸易的一些壁垒
[1198.98-1200.98] 那这些动作都会降低整个全球经济成长率的成长
[1200.98-1202.98] 那这些动作都会降低整个全球经济成长率的成长
[1202.98-1204.98] 那为了这个因应这个对等关税政策的这个变动
[1204.98-1206.98] 那为了这个因应这个对等关税政策的这个变动
[1206.98-1208.98] 所以很多国家他们的企业
[1208.98-1210.98] 都将他的生产基地慢慢移回他们自己国家
[1210.98-1212.98] 都将他的生产基地慢慢移回他们自己国家
[1212.98-1214.98] 所以这个产生对整个
[1214.98-1216.98] 之前的全球的整个公民来讲
[1216.98-1218.98] 会产生一个
[1218.98-1220.98] 重组的一个动作
[1220.98-1222.98] 那通膨压力的部分呢
[1222.98-1224.98] 当然说因为加增这个关税嘛
[1224.98-1226.98] 那这一定肯定是会对到
[1226.98-1228.98] 会加高企业的生产成本
[1228.98-1230.98] 会加高企业的生产成本
[1230.98-1232.98] 那整个全球劳动力的市场都会更加紧张一点
[1232.98-1234.98] 那整个全球劳动力的市场都会更加紧张一点
[1234.98-1236.98] 然后物价就更难以回到原来的这个物价
[1236.98-1238.98] 然后物价就更难以回到原来的这个物价
[1238.98-1240.98] 当然就会持续在发酵
[1240.98-1242.98] 那当然各国央行也可能会因为这个
[1242.98-1244.98] 那当然各国央行也可能会因为这个
[1244.98-1246.98] 通膨压力然后就是延迟这个降息啊
[1246.98-1248.98] 通膨压力然后就是延迟这个降息啊
[1248.98-1250.98] 那高利率的政策可能就会影响整个经济的成长
[1250.98-1252.98] 那高利率的政策可能就会影响整个经济的成长
[1252.98-1254.98] 那我们再看中国的部分
[1254.98-1256.98] 那中国在出口
[1256.98-1258.98] 工业生产的成本整个来讲
[1258.98-1260.98] 成长是趋缓
[1260.98-1262.98] 然后再加上最近这个
[1262.98-1264.98] 美国又对这个关税的问题
[1264.98-1266.98] 美国又对这个关税的问题
[1266.98-1268.98] 对中国的经济的问题
[1268.98-1270.98] 对中国的经济的问题
[1270.98-1272.98] 对中国的经济的问题
[1272.98-1274.98] 更是更加打击
[1274.98-1276.98] 外资的部分
[1276.98-1278.98] 慢慢因为这些原因
[1278.98-1280.98] 贸易战关税战
[1280.98-1282.98] 慢慢因为这些原因
[1282.98-1284.98] 贸易战关税战
[1284.98-1286.98] 分分的撤出整个中国
[1286.98-1288.98] 对中国来讲
[1288.98-1290.98] 他的整个经济压力
[1290.98-1292.98] 他和赤字的提升部分
[1292.98-1294.98] 都可能会增加
[1294.98-1296.98] 那这个都会影响整个经济的前景
[1296.98-1298.98] 地缘政治的部分
[1298.98-1300.98] 那这个都会影响整个经济的部分
[1300.98-1302.98] 那这个都会影响整个经济的部分
[1302.98-1304.98] 那这个都会影响整个经济的部分
[1304.98-1306.98] 那这个都会影响整个经济的部分
[1306.98-1308.98] 那相对来讲的话
[1308.98-1310.98] 应对这些冲突
[1310.98-1312.98] 各国政府的一些相对应应的方案
[1312.98-1314.98] 会增加一些支出
[1314.98-1316.98] 同时就会排挤到其他
[1316.98-1318.98] 经济的发展计划
[1318.98-1320.98] 这些都是影响到整个
[1320.98-1322.98] 全球经济的一些关键因素
[1322.98-1324.98] 全球经济的一些关键因素
[1324.98-1326.98] 在下一页来讲的话
[1326.98-1328.98] 我们来报告一下目前的海运市场的状况
[1328.98-1330.98] 这一页来讲的话
[1330.98-1332.98] 就可以秀出这个目前
[1332.98-1334.98] 全球前20大航商的排名
[1334.98-1336.98] 那第一名来讲的话
[1336.98-1338.98] 还是MSC
[1338.98-1340.98] MSC就是所谓的地中海航运
[1340.98-1342.98] 它占了20.1%
[1342.98-1344.98] 那再过来第二名的话是马斯基集团
[1344.98-1346.98] 它占了14.3%
[1346.98-1348.98] 那第三名的话是CMA
[1348.98-1350.98] 占了12.2%
[1350.98-1352.98] 我在这边跟各位报告
