[0.00-5.06] 好,各位投资先进
[556.68-558.82] 那现在我们在第一季
[558.82-561.58] 有大概384块的价差
[561.58-563.02] 其实这个是
[563.02-565.08] 是PLUS的数据
[565.08-567.92] 那就看我们看这个趋势
[567.92-569.90] 其实看起来是
[569.90-571.90] 虽然艰巨挑战
[571.90-576.16] 但是整个状况稍微是比
[576.16-579.12] 去年好一点
[579.12-582.98] 那GPS就是从141
[582.98-584.90] 现在第一季大概有155
[584.90-587.62] 是整个看起来整个状况
[587.62-589.58] 在价差的部分相对
[589.58-593.02] 是比以往还好一点
[593.02-596.98] 那EPS的价差
[596.98-598.94] 刚刚有特别提
[598.94-600.42] 跟大家报告就是
[600.42-603.06] 在价差的部分会比去年差
[603.06-604.78] 主要还是因为大陆
[604.78-607.06] 全球的倾销
[607.06-608.54] 那低价倾销
[608.54-611.16] 就会导致我们那个价差
[611.16-612.00] 整个缩小
[612.00-614.24] 那等一下我们会有一个
[614.24-616.70] 那个图片让大家知道说
[616.70-619.04] 大陆的现在的产能
[619.04-621.44] 尤其是EPS大概有多少
[621.44-622.18] 好
[623.02-626.44] 那整个Q第一季
[626.44-630.12] 我们大概是负的0.14
[630.12-632.74] 那同期的话
[632.74-636.18] 2014年的第一季是负的0.26
[636.18-638.56] 那相对表现是
[638.56-641.46] 会比去年同期会好一点
[641.46-644.92] 那主要还是因为价差
[644.92-648.26] 还没有放到比较大的价差
[648.26-651.64] 导致就是虽然有好一点
[651.64-652.76] 但是
[653.02-655.32] 还是充满了一些挑战
[655.32-660.70] 那我们看第二季的展望
[660.70-664.26] 其实延伸从第一季延伸到第二季
[664.26-665.70] 其实我们看到的
[665.70-669.32] 就是从4月到现在5月
[669.32-672.68] 其实最重要的影响
[672.68-676.04] 还是那个大陆产能的外溢
[676.04-679.12] 那地缘政治是
[679.12-681.72] 因为最近比较常
[681.72-682.94] 比较发生
[682.94-683.00] 比较多的发生
[683.02-686.10] 比较近的还是印巴的战争
[686.10-688.98] 那印巴战争是在印度的北部
[688.98-691.02] 所以看起来是有影响
[691.02-693.34] 但是实际上对印度的市场
[693.34-696.08] 影响确实是不大
[696.08-698.34] 那美国的关税
[698.34-700.04] 还有汇率的波动
[700.04-704.14] 其实这个是我们第二季
[704.14-706.58] 一个很重要的一个挑战
[706.58-708.30] 那美国的关税
[708.30-711.94] 其实在4月的时候有延迟
[711.94-712.94] 就是在对台湾的负面费用
[712.94-717.30] 其实台湾有延伸了90天
[717.30-719.34] 就是开放了90天
[719.34-722.92] 那90天以后才会对关税再有一个波动
[722.92-726.26] 那大陆的是5月份
[726.26-730.10] 5月份也是开放了90天
[730.10-732.14] 那其实这个不确定性
[732.14-735.46] 其实对我们这种大宗商品
[735.46-742.06] 其实是一个比较严重的一个挑战
[742.06-742.86] 那造成
[742.86-747.98] 其实是对市场供需会造成一个很大的影响
[747.98-749.26] 那当然
[749.26-752.72] 那个联准会的利率看起来
[752.72-755.82] 我们也觉得利率的决策也会有影响
[755.82-757.02] 但是目前看起来
[757.02-758.02] 短期之内
[758.02-761.80] 美国应该是不会有降息的可能
[761.80-763.86] 这个我们还是要持续观察
[763.86-767.24] 那整个欧洲这个状况
[767.24-769.26] 其实我们的销售策略
[769.26-771.16] 其实一直以来
[771.16-772.82] 就是还是希望能够
[772.86-774.90] 把产能极大化
[774.90-778.24] 能够做到全产全销是最好
[778.24-780.54] 那我们目前这几个产品
[780.54-784.58] ABS是希望能够做到极大
[784.58-786.56] 那还没有做到全产
[786.56-791.16] 那GPS跟EPS的部分
[791.16-795.38] 其实在第一季我们已经是做到全产
[795.38-796.66] 那第二季
[796.66-799.12] 其实我们受到那个
[799.12-802.24] 那个大陆请销的影响
[802.24-802.82] 在
[802.86-804.66] EPS的部分
[804.66-806.96] 可能会稍微落后
[806.96-808.24] 我们原来的
[808.24-810.84] 的希望能够做到全产
[810.84-814.06] 但是也大概有八九成的产能
[814.06-818.10] 那另外一个就是开发新的市场
[818.10-821.30] 主要是这个才是我们可以
[821.30-824.52] 长久生存的一个策略
[824.52-829.70] 那其实刚刚有跟大家提过
[829.70-831.58] 就是大陆的供需
[831.58-832.82] 2025年
[832.86-834.66] 2025年的供需
[834.66-838.62] ABS大概增加了220吨
[838.62-841.62] 那GPS有增加70吨比较少
[841.62-844.78] EPS增加了110吨
[844.78-846.60] 110万吨
[846.60-850.66] 那2025年其实它总产能
[850.66-854.40] ABS就有1100万吨
[854.40-857.70] 那GPS有870万吨
[857.70-860.46] 那EPS有大概1000万吨
[860.46-862.64] 其实这个最
[862.86-865.94] 就从这个看起来
[865.94-868.36] 你们就会知道中国大陆的产能
[868.36-870.40] 是有外溢的严重
[870.40-873.36] 尤其是在大陆
[873.36-876.60] 国内的经济不好的状况下的时候
[876.60-878.60] 其实就会影响到
[878.60-880.74] 那个
[880.74-884.14] 它的所有产能就会外溢到全球各地
[884.14-890.50] 这个是我们现在急需想要解决的一个问题
[890.50-890.86] 对
[890.86-892.82] 那唯一就是我们就是
[892.86-894.14] 只能够
[894.14-897.98] 那个尽可能的在全球
[897.98-900.02] 全球的销售
[900.02-902.84] 尽可能减少跟大陆的
[902.84-903.86] 大陆
[903.86-906.18] 如果大陆的货进去太多
[906.18-907.96] 其实我们也只能够
[907.96-909.24] 转移
[909.24-912.32] 转移阵地到到其他的地方
[912.32-914.62] 这个是我们目前
[914.62-916.16] 想要做的就是
[916.16-919.22] 尽量以前我们是希望就是
[919.22-922.30] 逃离大陆就是不要把
[922.86-924.90] 所有的产能都放在大陆
[924.90-925.94] 那
[925.94-927.98] 开发其他非大陆市场
[927.98-929.52] 现在我们是
[929.52-930.54] 除了
[930.54-932.08] 非大陆市场以外
[932.08-933.62] 现在我们是
[933.62-936.18] 希望把点布的更广
[936.18-936.94] 比较
[936.94-939.24] 撒的更广
[939.24-944.88] 来布局
[944.88-948.46] 这个是中国大陆在
[948.46-949.48] 那个
[949.48-952.30] 今年的的一个开工率啊
[952.30-952.82] 其实他
[952.86-955.94] 那个ABS的开工率其实
[955.94-959.78] 一直都不高PS也是那EPS更惨
[959.78-961.30] 我刚讲EPS
[961.30-963.36] 他的需求
[963.36-964.38] 几乎等于
[964.38-966.42] 是供给的
[966.42-967.70] 一半多一点
[967.70-968.48] 所以他
[968.48-972.06] 整个中国大陆在红线的部分EPS其实
[972.06-973.08] 都是
[973.08-973.86] 大概开五
[973.86-976.16] 开五成左右而已
[976.16-978.20] 那ABS大概
[978.20-982.30] 也是ABS的部分是灰色的部分大概
[982.30-984.86] 都是六七成
[984.86-989.46] 那其实这个就会比较辛苦有时候
[989.46-990.50] 他
[990.50-991.78] 产能开了
[991.78-992.80] 但是
[992.80-994.84] 就外移到
[994.84-996.64] 中国大陆以外的市场
[996.64-997.40] 造成
[997.40-1001.24] 市场很多竞争
[1001.24-1003.54] 那我们是希望
[1003.54-1004.82] 在Q
[1004.82-1006.36] 第二季的部分
[1006.36-1009.18] 其实第二季的部分我们还是
[1009.18-1010.72] 跟以往的
[1010.72-1011.48] 的
[1011.48-1012.26] 的决策是一样的
[1012.30-1015.88] 虽然受到关税的调涨
[1015.88-1017.16] 汇率的波动
[1017.16-1017.68] 那
[1017.68-1018.70] 我们
[1018.70-1022.28] 其实就是针对这些问题点
[1022.28-1024.34] 我们唯有就是
[1024.34-1027.40] 能够
[1027.40-1030.98] 抛开中国大陆的扩建的那些产能
[1030.98-1032.02] 那
[1032.02-1035.60] 把那个海外市场的点步的更广一点
[1035.60-1038.16] 减少单一市场的依赖
[1038.16-1039.94] 才能够发挥我们
[1039.94-1041.48] 全产全销
[1041.48-1044.04] 最后做到那个可以
[1044.04-1045.58] 那个持续
[1045.58-1046.34] 把
[1046.34-1048.90] 获利增加
[1048.90-1050.44] 但是看起来我们
[1050.44-1053.00] 第二季其实还是
[1053.00-1055.56] 是比较有挑战性的
[1055.56-1058.12] 刚其实有很多
[1058.12-1062.48] 投资人也问了一些问题关税的问题
[1062.48-1064.00] 到时候我们也是
[1064.00-1067.34] 会统一来回答其实在汇率的
[1067.34-1069.90] 关税跟汇率的问题其实
[1069.90-1071.18] 是让我们
[1071.48-1073.78] 第二季跟第三季充满
[1073.78-1076.08] 很大挑战的一个
[1076.08-1077.88] 一个点
[1077.88-1081.46] 大概我的报告到这边
[1081.46-1081.98] 请
[1088.38-1091.20] 各位投资先进大家好我是李淳瑶
[1091.20-1094.52] 那我就接下来报告财务数字的部分
[1094.52-1095.80] 那
[1095.80-1100.66] 我们首先是说明合并损益表的部分销售量我们第一季是
[1100.66-1101.44] 9.98万
[1101.48-1104.30] 那成长了增加了百分之
[1104.30-1106.08] 增加百分之4%
[1106.08-1109.42] 那营收的部分我们是42.3亿元
[1109.42-1112.74] 较去年同期增加了4.41亿元
[1112.74-1116.32] 那主要就是因为价格跟那个海运费成长
[1116.32-1117.86] 所以增加比较多
[1117.86-1123.24] 那在所以我们的销货毛利是2.09亿元较去年同期也是增加
[1123.24-1124.26] 蛮多的
[1124.26-1128.10] 所以我们的毛利率从1%提高到了5%
[1128.10-1131.18] 那营业费用部分是2.74亿元
[1131.18-1132.98] 较去年同期增加了
[1132.98-1134.26] 5300万
[1134.26-1139.12] 主要都是因为海运费大幅的成长导致相关的费用的增加
[1139.12-1141.42] 那本期的营业亏损是
[1141.42-1145.26] 6500万元较去年同期减少亏损的
[1145.26-1148.08] 1.24亿元
[1148.08-1153.70] 那意外的收入是1200万较去年同期减少了5000万
[1153.70-1157.30] 主要是兑换收入的减少以及认列投资
[1157.30-1159.08] 亏损的增加
[1159.08-1161.90] 那本期的净损是5400万
[1161.90-1165.48] 较去年同期减少亏损的4800万
[1165.48-1171.36] 那我们第一季的亏损是0.14元
[1171.36-1174.18] 那再来说明产品别的收入
[1174.18-1177.26] 那台达的部分主要是EPS为主
[1177.26-1180.32] 那EPS中山是12.6亿元
[1180.32-1182.38] 那占比是30%
[1182.38-1187.24] 然后再来是EPS台湾的话是6.1亿元
[1187.24-1188.78] 占比是14%
[1189.08-1192.16] 那EPS的部分就占了那个
[1192.16-1194.46] 整个营收的44%
[1194.46-1198.80] 那ABS的部分是12.8亿元占比30%
[1198.80-1202.90] GPS的部分是9.2亿元占比22%
[1202.90-1208.28] 玻璃棉的部分是1.5亿元占比4%
[1208.28-1210.08] 那财务比率的部分
[1210.08-1211.60] 我们本期是亏损的
[1211.60-1214.68] 所以我们的营业损失率是1.5%
[1214.68-1217.50] 净损率是1.3%
[1217.50-1218.26] 那
[1218.26-1220.82] 负债占资产比是35%
[1220.82-1222.62] 主要是我们的短期借款
[1222.62-1224.92] 较去年底稍微有减少
[1224.92-1227.98] 所以导致我们相关的流动比率跟速动比率
[1227.98-1230.80] 也比去年底有稍微好转一点点
[1230.80-1234.38] 那再来是我们的收货天数是52天
[1234.38-1237.46] 跟去年底的42天有稍微多了一些
[1237.46-1240.02] 主要是因为大陆地区春节关系
[1240.02-1242.06] 所以导致收款有些延迟
[1242.06-1245.14] 那公司这边也都采取了相对应的措施
[1245.14-1248.22] 预计未来很快就可以回复正常
[1248.26-1252.10] 那再来是平均收货天数是26天
[1252.10-1254.92] 有比去年底23天有多一些些
[1254.92-1257.48] 以上主要就是我们的财务比率说明
[1257.48-1260.54] 接下来就是我们的Q&A的时间
[1260.54-1267.46] 好那感谢台南化经营团队带来的简报分享
[1267.46-1271.30] 那现在进行Q&A意见交流提问
[1271.30-1275.66] 那请经营团队就报名阶段事先收集到的提问
[1275.66-1278.22] 先统一做个回复说明谢谢
[1278.26-1284.66] 好我是台南化的总经理吴培基
[1284.66-1287.98] 现在来到我们的问答环节
[1287.98-1297.20] 那请各位法人还有媒体的先进提问
[1297.20-1299.76] 因为从那个
[1299.76-1301.82] 线上的一些
[1301.82-1303.34] 提问
[1303.34-1305.90] 有汇整了一些资料
[1305.90-1307.96] 那主要还是
[1308.26-1311.58] 对第一个问题就是对我们对
[1311.58-1314.92] 后续的看法
[1314.92-1318.24] 后续的展望其实刚刚开会
[1318.24-1320.04] 刚刚在
[1320.04-1322.34] 演讲的时候也有
[1322.34-1324.64] 跟大家说过其实
[1324.64-1329.26] 我们台南化的产品主要是面临
[1329.26-1330.54] 关税
[1330.54-1332.32] 汇率还有
[1332.32-1336.16] 中国大陆产能外溢的影响其实
[1336.16-1338.22] 不管在第2期
[1338.22-1341.04] 或者是第3期其实
[1341.04-1342.82] 我们对于
[1342.82-1343.60] 这个
[1343.60-1346.16] 后续的展望其实还是觉得
[1346.16-1347.94] 是充满挑战但是
[1347.94-1348.98] 其实
[1348.98-1353.06] 充满挑战还是那个销售量的问题
[1353.06-1354.10] 我们
[1354.10-1358.18] 刚刚有跟大家报告就是其实我们在销售的部分
[1358.18-1359.98] 除了现在除了
[1359.98-1364.58] 外移中国大陆以外的市场也布点比较多
[1364.58-1365.36] 其实
[1365.36-1368.18] 也造成就是我们在
[1368.22-1370.78] 这几个产品里面
[1370.78-1372.82] 它的价差
[1372.82-1375.64] 已经有稍微比以往好一点
[1375.64-1376.66] 这个是
[1376.66-1380.50] 值得我们觉得说如果能够持续当然是最好
[1380.50-1381.54] 那
[1381.54-1383.84] 另外的挑战
[1383.84-1386.90] 就会分两个一个是数量一个价
[1386.90-1389.72] 所以我们在几个产品里面
[1389.72-1391.52] 看起来EPS还是
[1391.52-1393.56] 相对比较辛苦的就是
[1393.56-1395.86] 他说大陆的影响比较大
[1395.86-1397.14] 所以价差
[1397.14-1397.92] 有
[1397.92-1399.96] 有收缩
[1399.96-1401.24] 那其他大概
[1401.24-1405.08] 会相对比较好在展望的部分其实
[1405.08-1406.12] 是
[1406.12-1408.68] 还是比较充满挑战
[1408.68-1409.18] 对
[1409.18-1412.76] 那另外一个部分就是关税
[1412.76-1414.56] 的问题其实
[1414.56-1417.64] 关税其实现在
[1417.64-1419.68] 它的影响其实是
[1419.68-1422.24] 是现在比较少了因为中国大陆
[1422.24-1423.78] 也开放
[1423.78-1426.60] 还有三个月那台湾
[1426.60-1427.88] 是从4月开始有了
[1427.88-1432.48] 三个月那目前观察起来就是三个月过后
[1432.48-1434.02] 如果美国还
[1434.02-1436.32] 继续开放的话其实
[1436.32-1438.88] 对我们的影响就稍微会
[1438.88-1440.16] 比较
[1440.16-1441.70] 没有影响那么大
[1441.70-1442.72] 如果
[1442.72-1445.04] 如果还是有限缩的话
[1445.04-1448.88] 其实对销售量我们当时
[1448.88-1450.92] 遇到的状况就是
[1450.92-1451.44] 他
[1451.44-1454.76] 把关税拉高其实我们的
[1454.76-1457.32] 销售量就会受到影响
[1457.88-1461.20] 那如果他持续开放老实讲就是
[1461.20-1463.00] 销售量会受到影响
[1463.00-1464.28] 三个月后
[1464.28-1465.04] 那
[1465.04-1467.36] 那个如果持续
[1467.36-1470.16] 开放的话其实影响就相对少
[1470.16-1471.20] 那
[1471.20-1473.24] 汇率的问题其实
[1473.24-1476.06] 从
[1476.06-1477.60] 台达化在
[1477.60-1479.38] 4月
[1479.38-1480.92] 开始其实
[1480.92-1482.46] 汇率确实有
[1482.46-1483.74] 受到一些影响
[1483.74-1486.56] 那目前台达化
[1486.56-1487.84] 的经营团队
[1487.88-1489.92] 对在避险的部分
[1489.92-1490.96] 其实
[1490.96-1492.74] 也做了一些调整
[1492.74-1493.76] 那
[1493.76-1496.08] 我们财务的部门也对
[1496.08-1497.10] 避险
[1497.10-1498.38] 有一些
[1498.38-1499.40] 方案
[1499.40-1500.42] 尽量把
[1500.42-1502.98] 汇率的影响降到最低目前
[1502.98-1505.28] 只能够用这种方式来
[1505.28-1507.08] 来处理
[1507.08-1510.92] 那大概问的问题大概就是这些那
[1510.92-1514.00] 是不是还有其他在线上的问题
[1514.00-1516.80] 请那个投资人
[1516.80-1517.84] 说可以可以
[1517.88-1521.72] 可以提出来
[1521.72-1522.74] 那
[1522.74-1527.10] 线上的先进可以利用聊天室的功能
[1527.10-1531.44] 以文字留言提问那我再会将您的问题
[1531.44-1533.24] 复述一遍
[1533.24-1542.96] 那请问现场的先进有需要提问的吗
[1547.88-1554.54] 好那
[1554.54-1557.10] 这个媒体还有法人
[1557.10-1560.94] 先进没有问题的话我们今天的
[1560.94-1562.98] 法说会就到这里结束
[1562.98-1564.26] 谢谢大家
[1564.26-1570.40] 好再次感谢台达化学工业股份有限公司经营团队今天的分享与
[1570.40-1570.92] 解答
[1570.92-1577.32] 那本场次的法说会就到这边告一段落那谢谢各位投资先进与会参加谢谢
[1577.88-1591.70] arbeiten
[1591.70-1598.62] Zhi
[1598.62-1599.38] Здrab
[1599.38-1600.66] Raz
[1600.66-1602.20] 这就是 phenomena
[1602.20-1602.64] 姐姐
[1602.64-1605.28] Mos
[1605.28-1606.00] 一居.
[1606.00-1606.56] u
[1606.56-1607.32] Salt
[1607.32-1607.78] Raz
[1607.78-1607.86] Di disks. Is it cool.
