[0.00-20.22] 欢迎各位投资先进参加台湾聚合化学品股份有限公司
[684.92-687.48] P的破产其实是非常不明显的
[687.52-689.56] 所以我们在去年
[689.56-692.38] 第二季到第三季EBA很差的时候
[692.38-695.96] 我然后当时LDP的头部级
[695.96-697.50] 大部分都短缺
[697.50-699.30] 所以我们公司
[699.30-702.12] 把生产线融了一部分来
[702.12-703.40] 生产EBA
[703.40-706.98] 所以我们2024年LDP的销量
[706.98-710.04] 跟去年成长了39%
[710.04-713.64] 那EB的部分
[713.64-715.94] 最主要是因为大陆这边
[715.94-717.48] 新墙扩张的这个效果是非常强的
[717.52-719.32] 这个速度还有这个
[719.32-720.60] 幅度太大了
[720.60-723.92] 前年
[723.92-724.68] 对
[724.68-727.50] 那去年有大陆一个保风扩散之后
[727.50-730.58] 整个大陆的供缺情况其实有
[730.58-732.12] 慢慢的在改观
[732.12-734.16] 那再来就是说在需求面
[734.16-736.46] 我大概看到
[736.46-739.54] 经济成长的增速其实也在放缓
[739.54-741.32] 然后光伏的需求
[741.32-742.60] 成长不如预期
[742.60-746.20] 那这边我可能得必须要特别说一下
[746.20-747.48] 其实光伏的需求增长的增长
[747.52-752.38] 光伏的这个状态在2024年的成长度其实还不低
[752.38-754.18] 可是因为
[754.18-757.00] 它的供应的状态
[757.00-758.78] 原本是仰待
[758.78-760.84] 大陆和职业的进口要去供应
[760.84-763.64] 但是因为大陆这几年的什么破产
[763.64-766.98] 那光伏级的技术也有提升
[766.98-770.04] 所以很多大陆的破产的
[770.04-771.58] 一边的光伏级的
[771.58-775.94] 也渐渐的打入了这些光伏的领域里面
[775.94-777.48] 那因为它的这个立场
[777.52-778.54] 很短
[778.54-779.82] 所以
[779.82-784.18] 我们的主力客户可能要被一个多月的成长
[784.18-785.20] 多月的扣存
[785.20-786.48] 那现在如果
[786.48-788.02] 一旦和仰待
[788.02-789.80] 破产同营的话
[789.80-790.58] 那
[790.58-792.88] 这个不需要被那么多
[792.88-796.20] 也是因为这个原因虽然看到光伏级的装机量
[796.20-797.24] 并没有
[797.24-799.28] 所以就是没有回收
[799.28-803.88] 但是其实光伏级的EV的需求量在这个市面的买气
[803.88-806.20] 其实是不算太好的
[807.52-812.38] 那刚刚报告的就是说2024年它第一季的一边的光伏级的装盘之后
[812.38-813.66] 那4月份之后
[813.66-816.22] 那这个4月份这个时间就是
[816.22-817.76] 大陆的新增的产能
[817.76-818.52] 暴风
[818.52-820.84] 还有30万吨的整个产能投产
[820.84-822.36] 那其实整个
[822.36-825.70] 压力在多米房所以房型就
[825.70-826.98] 转变深
[826.98-830.56] 那这个分别其实一直到
[830.56-831.58] 去年的
[831.58-832.60] 10月份
[832.60-834.92] 大陆的很多的
[834.92-835.94] 货物商
[835.94-837.48] 设置工厂他们对于
[837.52-839.32] 第四季的看法
[839.32-840.60] 还是悲观的
[840.60-843.16] 但是因为整个
[843.16-845.20] 在这个过程之中
[845.20-848.52] 整个公面不断的去降低部分
[848.52-849.80] 反而太多了
[849.80-852.12] 所以到10月中之后
[852.12-853.64] 这个
[853.64-856.46] EVA厂发现说降不下来的
[856.46-859.02] 那这些厂商要去恢复部分的时候
[859.02-861.84] 发现影像不是那么容易可以恢复部分
[861.84-864.14] 所以反而有一点强调的情况
[864.14-867.22] 所以在大陆的这个内贸市场它从
[867.22-868.76] 去年的10月份开始
[868.76-870.54] 行情就稍微反弹
[870.54-871.58] 那
[871.58-874.90] 美金市场方大概延迟了超过一个月之后
[874.90-877.72] 在就是进口量的这个美金的
[877.72-879.00] 爆汗的行情
[879.00-880.28] 才从
[880.28-882.06] 孤立然后慢慢的上涨
[882.06-884.38] 延续到目前
[884.38-886.42] 所以在当时
[886.42-890.52] 除了这个供应链在降低之外
[890.52-892.30] 很多的石化厂
[892.30-893.84] 包含
[893.84-894.86] 我们实验室一样
[894.86-897.18] 他有做这个有些事情是有
[897.22-898.24] 收藏进攻
[898.24-899.52] 或者是专场
[899.52-901.06] 的这个动作
[901.06-904.38] 所以整个EVA的整个收入
[904.38-906.44] 收入过剩都是整个
[906.44-907.98] 包商所面临过剩
[907.98-909.00] 或者是
[909.00-909.76] 厂家所面临过剩
[909.76-910.28] 其实
[910.28-914.38] 在当时做一个蛮明显的下降
[914.38-917.44] 另外这边有一个大项报告就是
[917.44-919.50] 我们如果过去看
[919.50-922.30] 大陆的EVA的表灰熏油量
[922.30-926.40] 在2024年的时候是一个蛮明显的萎缩
[926.40-927.18] 它萎缩的
[927.18-928.46] 30万吨
[928.46-932.30] 其实这个数字其实有点
[932.30-934.34] 大家看到这个数字的时候是有点吃心脏
[934.34-935.88] 因为这是第一次
[935.88-937.42] 大陆EVA的这个
[937.42-939.22] 这个需量出现萎缩的情况
[939.22-943.56] 但是实际上我们去了解了我们下游的
[943.56-945.10] 主要的这个
[945.10-946.12] 利用领域
[946.12-948.94] 真实的需求其实并没有很明显的
[948.94-950.22] 大概跟
[950.22-952.52] 我们的调成大概人多零
[952.52-953.30] 二三零
[953.30-954.58] 差异不是太大
[954.58-956.36] 那为什么会
[956.36-957.14] 就是看到
[957.18-958.20] 完全像是
[958.20-962.04] 最主要的原因是因为我们的
[962.04-964.60] 这个同业的大陆的EVA的业者
[964.60-966.14] 它降低固成
[966.14-968.96] 然后还有很多贸易商
[968.96-970.24] 包含
[970.24-971.52] 下游工厂
[971.52-972.54] 他们也去做
[972.54-974.34] 去贸易顾顺的工作
[974.34-976.64] 根据我们的调查
[976.64-978.18] 光贸易商可能降
[978.18-980.98] 首倍的顾顺大概就降了大概十几万吨
[980.98-983.30] 包含这个大陆的冯庄农业者
[983.30-984.82] 也大概降了十几万吨
[984.82-986.88] 再加上同业所以
[987.18-990.26] 整个大陆的EVA的生命
[990.26-992.30] 实际区域在2020年
[992.30-994.34] 我们预估大概是
[994.34-998.96] 2023年超过相当的
[998.96-1001.26] 那另外就是
[1001.26-1005.10] 大陆这边因为新增的产品主要的
[1005.10-1007.92] 对生产的规格都是在
[1007.92-1010.22] 包含钢铁和光伏器的产品
[1010.22-1012.02] 还有是比较容易生产的
[1012.02-1013.80] 发泡机的
[1013.80-1017.14] 我们讲的大陆讲的变量就是VA含量在
[1017.18-1020.00] 大概在14%到20%之间的
[1020.00-1021.02] 这个规格
[1021.02-1022.56] 然后还有run down
[1022.56-1024.10] 那有些预浏在
[1024.10-1025.38] 普通的这个点点
[1025.38-1028.18] 所以这个进程是比较激烈的
[1028.18-1031.78] 那对于生产技术难度比较高
[1031.78-1034.34] 这边其实通过这一边
[1034.34-1036.38] 目前大陆基本上
[1036.38-1037.40] 没有什么生产
[1037.40-1039.70] 大概只有一家有曾经去试过
[1039.70-1041.50] 但是做了不胜的成功
[1041.50-1043.04] 那也就照样
[1043.04-1045.34] 供应在比较低端的产品
[1045.34-1047.14] 那这个产品主要还是
[1047.18-1049.22] 这个洋洲地区的市场
[1049.22-1050.50] 还是靠台湾
[1050.50-1051.54] 还有韩国的
[1051.54-1054.60] 主要两三家的这个业主在供应
[1054.60-1055.88] 那是
[1055.88-1059.22] 是重要供应商之一
[1059.22-1060.50] 另外
[1060.50-1063.56] 大家也看到义务业在
[1063.56-1065.36] 过去年也享受了
[1065.36-1067.40] 这个比较大的
[1067.40-1068.18] 样应
[1068.18-1069.70] 所以我们公司
[1069.70-1072.02] 也齐齐在发展这些产品
[1072.02-1074.32] 那另外就是
[1074.32-1076.36] 是合适的时机
[1076.36-1077.14] 去生产的产品
[1077.18-1079.48] 专产比我们的LDP
[1079.48-1083.84] 可以看到我们2024年
[1083.84-1086.66] 我们公司在LDP跟EVA
[1086.66-1088.18] 这个合计的销售量
[1088.18-1089.98] 其实还是比前一年
[1089.98-1094.08] 还要稍微增加3500多吨
[1094.08-1096.38] 那这边这个图表可以看到
[1096.38-1097.40] 就是我们
[1097.40-1100.22] 两具EVA目前的这个销售量
[1100.22-1102.26] 确定是接近38000吨
[1102.26-1104.58] 跟前一年比起来的生产
[1104.58-1106.88] 大概18000吨左右
[1107.18-1111.78] 那减少的部分最主要是
[1111.78-1113.84] 光伏级的EVA
[1113.84-1115.62] 光伏级的EVA从
[1115.62-1117.94] 前一年做的2万零
[1117.94-1118.96] 800多吨
[1118.96-1121.00] 降低为大概6000吨左右
[1121.00-1125.36] 也是一个比较明显的整个价格
[1125.36-1127.14] 那从这边可以看到
[1127.14-1128.94] 我们产品的应用价比
[1128.94-1131.24] 有一个比较明显的改变
[1131.24-1134.06] 最主要就是光伏级的EVA的
[1134.06-1136.10] 整个应用价比的大幅的下降
[1137.18-1141.54] 那我们来看一下这个销售的数值
[1141.54-1144.34] 其实这几年两具的EVA销售量
[1144.34-1146.66] 其实相较较强是比较稳定的
[1146.66-1148.96] 但是在它的销售
[1148.96-1150.74] 确实在去年
[1150.74-1152.80] 显示一个比较大的改变就是我们的
[1152.80-1155.86] DP增加了大概1万多吨
[1155.86-1159.46] 那DP的部分是少了大概9000吨左右
[1159.46-1164.32] 那刚刚大家报告过
[1164.32-1167.14] 那这不是6天来我们的销售量
[1167.18-1172.56] 基本上相对来讲是比较定的
[1172.56-1176.14] 然后我们来看一下2060B级的营运展望
[1176.14-1180.24] 我们从原油方均率来看
[1180.24-1182.54] 最近的这个
[1182.54-1185.62] 美国发行对中国发行对
[1185.62-1188.18] 加拿大墨西哥的这些包括中国
[1188.18-1190.74] 那对全球的经济
[1190.74-1192.78] 后面的这个全球经济的成长
[1192.78-1194.06] 是大概是
[1194.06-1196.36] 看法是有些引游
[1196.36-1197.14] 那
[1197.18-1199.22] 另外俄乌战争这边
[1199.22-1200.50] 看起来也有
[1200.50-1201.28] 这个
[1201.28-1202.56] 正在谈判
[1202.56-1204.10] 也都属乎和平的速报
[1204.10-1205.12] 然后
[1205.12-1207.68] OPEC的这个还预计4月份
[1207.68-1208.70] 打算要增产
[1208.70-1210.50] 所以原油在1月中
[1210.50-1211.78] 大概1月15号
[1211.78-1213.06] 创产高度之后其实
[1213.06-1215.62] 最近其实慢慢慢慢的在保险
[1215.62-1216.38] 保险速度
[1216.38-1217.92] 稍微比较慢一点
[1217.92-1219.70] 那以西的部分
[1219.70-1225.86] 以西的部分在去年的第四季还有今年的1月甚至2月中旬之前
[1225.86-1227.14] 还是比较强势
[1227.18-1227.70] 是的
[1227.70-1230.26] 那最主要是因为大陆的这个
[1230.26-1231.28] SPA场
[1231.28-1232.56] 包含Bama SPA
[1232.56-1234.10] 它下游的
[1234.10-1236.40] 这个它是整个complex一起
[1236.40-1238.70] 这个这个
[1238.70-1239.46] 施工
[1239.46-1241.00] 但是它的下游部分
[1241.00-1244.34] 包含P1还有DG的文献网功
[1244.34-1247.66] 那它没有上游原料所以就得去上游
[1247.66-1248.68] 买原料
[1248.68-1250.98] 所以它去市场上买的这些现货引擎
[1250.98-1253.54] 那对现货引擎的价格提供了
[1253.54-1254.82] 比较强的支撑
[1254.82-1256.62] 那另外在2月的时候
[1256.62-1258.66] 还有马来西亚的那些厂
[1258.66-1262.00] 也出现了一些事故所以有停车
[1262.00-1264.30] 那所以它在1 2月份的时候
[1264.30-1267.12] 现货引擎的价格相对来讲是比较坚挺的
[1267.12-1271.98] 但是从2月底3月出售以西的价格其实也慢慢的
[1271.98-1272.74] 下跌
[1272.74-1276.34] 现在大概800多块钱
[1276.34-1279.14] 那后续的话我们
[1279.14-1282.98] 其实也是必须要看一下就是说
[1282.98-1284.78] 上游跟下游
[1284.78-1288.10] 这些彼此的这个投产的事件
[1288.10-1292.20] 对于我们后续的这个一期的交流是因为
[1292.20-1294.26] 带来一些影响
[1294.26-1298.34] 那VM的部分其实刚刚的图片中里面
[1298.34-1300.90] 我没有跟大家报特别说明
[1300.90-1305.26] 应该
[1305.26-1306.54] 不好意思
[1306.54-1310.90] 但是应该有一段VM其实在2022年到2023年其实
[1310.90-1312.94] 就慢慢的
[1312.94-1314.74] 也是想做一个公布的
[1314.78-1315.80] 不过有点压力
[1315.80-1319.14] 所以VM在去年其实
[1319.14-1322.20] 价格其实也是蛮低的
[1322.20-1326.30] 那一季的部分到有一个新的VM的投产
[1326.30-1328.60] 但是它的效果因为
[1328.60-1331.16] 最近包含大陆的投进
[1331.16-1333.22] 还有一些应变的新的
[1333.22-1334.50] 投产
[1334.50-1337.30] 那另外有VM的新的投产
[1337.30-1341.92] 所以这个投产的消耗量其实是大后于
[1341.92-1344.74] VM的供应量所以我们认为VM的供应量
[1344.78-1347.08] 可能会稍微
[1347.08-1352.98] 供过于学生的这个压力可能会稍微缩短一点
[1352.98-1357.84] 那EV的部分因为第一季的这个公布的需求
[1357.84-1359.12] 其实还不错
[1359.12-1360.90] 那最主要是
[1360.90-1362.70] 还是延续
[1362.70-1364.74] 10月份第四季
[1364.74-1367.56] 去年第四季的这个
[1367.56-1369.62] 交就是封装模仿
[1369.62-1371.66] 围捕扑水的这种需求
[1371.66-1373.70] 到目前为止还可以
[1373.70-1374.74] 目前为止
[1374.78-1376.58] 我们所了解
[1376.58-1378.62] 大陆的我们的投业
[1378.62-1379.38] 实质化场
[1379.38-1380.92] 应准度还是比较低的
[1380.92-1384.26] 所以从去年的
[1384.26-1385.54] 10月份到
[1385.54-1387.06] 目前为止整的一边
[1387.06-1389.62] 它还是延续的发展的态势
[1389.62-1392.18] 但是下半年
[1392.18-1394.50] 会有一些新的产量的
[1394.50-1395.78] 持续会投产
[1395.78-1398.34] 那另外我们也要看一下就是
[1398.34-1403.70] 光伏的这个需求是不是可以延续向上半年的这样的制度
[1403.70-1404.74] 所以这个可能
[1404.74-1407.04] 也得持续去观察
[1407.04-1410.88] Mentality-V的这个走势
[1410.88-1414.98] 那另外就是大陆的食物产生变化的扩张产能
[1414.98-1416.26] 那
[1416.26-1418.30] 产能扩张的
[1418.30-1419.58] 其实是
[1419.58-1421.12] 蛮
[1421.12-1422.40] 蛮夸张的
[1422.40-1425.48] 未来可能还是会
[1425.48-1428.30] 笼罩在这个不过于穷的这个压力之下
[1428.30-1429.58] 那为了
[1429.58-1431.88] 因应这样子的这个压力
[1431.88-1432.90] 所以
[1432.90-1434.70] 对于我们刚刚提到的这个
[1434.74-1438.84] EPE跟扑夫级的整个营业小村
[1438.84-1441.14] 去完结这个
[1441.14-1442.68] 应用级的BAR
[1442.68-1444.98] 光伏级的营业的这些规则
[1444.98-1446.52] 的这个压力
[1446.52-1448.82] 那今天离开
[1448.82-1449.58] 这个
[1449.58-1453.42] 光伏级的市场的较大竞争
[1453.42-1455.22] 那以上是我的报告
[1455.22-1456.76] 那接下来请我们的
[1456.76-1459.32] 财务经理张生丹经理来
[1459.32-1461.36] 跟大家报告财务状况
[1464.74-1468.58] 各位博士先生各位朋友大家好
[1468.58-1469.34] 那先
[1469.34-1472.94] 接下来由我为各位报告养育公司的财务状况
[1472.94-1475.74] 首先我们看一下
[1475.74-1481.12] 113年的合并损益部分那113年的合并营收是60亿
[1481.12-1487.26] 那比112年的67亿大概减少了10%减少了6.8%
[1487.26-1492.90] 左右那这主要是因为销售量部分大概虽然有增加大概4%
[1492.90-1494.70] 那整体的平均价格
[1494.74-1496.54] 大概下跌了13%
[1496.54-1497.56] 这影响
[1497.56-1502.94] 那在毛利方面的话那因为整个平均价格下跌了13%
[1502.94-1507.02] 那另外在原料部分的价格也大概上升了10%
[1507.02-1508.56] 所以是整个
[1508.56-1511.38] 价差缩小才变成价差缩小
[1511.38-1514.70] 所以113年的毛利率只有2%
[1514.70-1517.26] 那毛利额只有1.3%
[1517.26-1521.10] 那比112年的毛利率大概少了15%
[1521.10-1523.92] 那在毛利额部分大概少了10亿
[1523.92-1524.70] 那接下来
[1524.70-1529.30] 在营业费用部分113年的营业费用是2.44亿
[1529.30-1532.12] 那主要是因为一些还运费的增加
[1532.12-1533.92] 所以比112年
[1533.92-1535.96] 增加大概2200万
[1535.96-1538.02] 那在本业
[1538.02-1540.32] 的营运中央部分毛利
[1540.32-1543.90] 额是1.35亿营业费用是2.44亿
[1543.90-1547.74] 所以113年的营业亏损是1.09亿
[1547.74-1550.04] 那损失率是-12%
[1550.04-1551.84] 那同样的说到毛利率
[1551.84-1552.60] 倒影了
[1552.60-1554.66] 减少了影响所以那个营业率
[1554.70-1559.56] 大概是1.33亿左右
[1559.56-1563.14] 那再来看业外部分的话113年的业外
[1563.14-1564.18] 支出是
[1564.18-1566.48] 8.11亿
[1566.48-1568.52] 那
[1568.52-1573.38] 这组成的话主要是来自群里马的投资的损失是9.61
[1573.38-1574.42] 那主要是投资
[1574.42-1578.76] 指挖的损失另外有鼓励收入8600万
[1578.76-1581.58] 注定收入减300万对半利益的
[1581.58-1582.86] 2900万
[1582.86-1584.66] 那这个数字的领域外的数字是-2.31亿
[1584.70-1585.72] 跟114
[1585.72-1589.30] 二年相较的话大概有增加了3800万
[1589.30-1590.58] 那整个
