[30.00-33.60] 會參加永庸金證券舉辦的第一季投資論壇
[206.90-210.40] 之後大家要放一個OPEX Ratio
[210.40-212.10] 可能都還是要放大概
[212.80-214.20] 我放個FINITIAL MODEL裡面
[214.20-216.40] 可能還是要放個8%上下
[217.90-219.40] 應該是不會超過8%啦
[219.40-220.60] 但是就是
[221.80-223.90] 我覺得放8%會稍微保守一點
[224.40-226.80] 那在收入的部分第四季來
[227.10-231.50] 來看他也比前三季來的都低
[231.80-236.00] 那因為我們在第四季的時候有一些大陸廠的
[236.90-237.90] 營業稅
[237.90-238.90] 我們有做
[238.90-240.60] 因為之前體力也比較多一點
[240.60-243.30] 所以我們有做一次性的回充
[244.40-247.60] 那大家各位應該都還是知道
[248.10-250.20] 聯罵還是持續在做海外運營會員
[250.20-252.20] 因為我們要去建這個泰國廠
[252.20-254.60] 所以放在FINITIAL MODEL裡面
[254.60-257.40] 接下來的數字可能還是要放個35%左右
[257.40-258.10] 會比較
[258.60-259.80] 比較可以
[259.80-261.60] 比較精準一點
[263.40-266.70] 那接下來就是看我們接下來的
[266.90-270.40] 這個鼓勵
[270.40-274.00] 我們這一次是相對來說的配息率稍微
[274.00-276.70] 又都維持在這個80%
[276.70-280.50] 目前看起來管理階層應該都是想要維持這個
[281.10-282.60] 較高這個配息率的水準
[282.60-287.60] 因為我們也是想要把除了持續的投入我們的R&D之外
[287.60-289.40] 然後泰國廠建廠之外
[289.40-292.50] 我們也是想要回饋給投資人跟股東們
[294.60-295.00] 那
[295.80-296.40] 今年
[296.40-300.50] I看今年的展望其實不外乎還是一樣是
[300.50-303.50] 就是AI還有
[303.50-305.30] 甚至是車用
[305.30-310.10] 這幾個重點我們還是持續有在持續在耕耘中
[310.10-310.90] 那
[311.40-314.20] 講到AI我們會分成
[316.30-318.90] 歐美系的跟中系的
[318.90-322.30] 在歐美系這邊我們持續有在
[322.60-324.00] 在
[324.20-325.30] 編寫
[325.30-326.30] 不管是
[326.40-329.20] 之前以前說的那些
[330.30-330.90] 這個
[331.50-333.80] Hanvidia相關的這些配版之外
[333.80-339.50] 其實我們的M7的材料也已經成功的導入他們的
[339.50-340.00] 的
[340.50-342.60] 的那個系統裡面
[342.60-345.70] 也就是說未來他們如果有新的產品
[346.60-350.70] 針對於這種GB200或是未來更後面一點的GB300
[350.70-353.70] 都是很有可能會使用到我們的M7等級的
[353.70-355.30] 就是加速使用我們M7等級的材料
[355.30-357.80] 那
[358.50-359.80] 另外在中國這邊
[360.50-363.50] 當然是我們也是受惠於Deep-Seq的這個關係
[363.50-364.90] 相對來說
[365.30-368.10] 目前看起來Deep-Seq的確是可以用比較
[369.50-372.90] 比較符合成本的一些方式去
[373.70-377.60] 採用這種中高階的CCL材料
[377.60-379.40] 那其實我們
[379.90-381.20] 過去跟這些
[382.30-383.80] 中系的這種伺服器的版材來講
[383.80-385.00] 其實我們過去跟這些中系的這種伺服器的版材來講
[385.00-385.50] 其實我們過去跟這些中系的這種伺服器的版材來講
[385.50-386.50] 製造商都是有很密切的關係
[386.50-389.00] 製造商都是有很密切的關係
[389.00-391.70] 那這邊我就不方便提他們的名字
[391.70-394.00] 但是就是過去的有在做
[394.80-399.90] 伺服器等級的PCB版廠都是我們的大客人
[399.90-404.70] 那他們現在也都有持續的在去拿到更多的
[404.70-407.00] 不論是什麼華為的訂單
[407.00-408.30] 或者是其他
[408.80-410.60] 其他server ODM的訂單
[411.20-413.70] 那這個都是對我們來說相對來說非常有
[415.00-416.00] 有受惠的
[416.50-417.50] 我稍微
[419.20-419.70] 就是
[421.40-422.20] M6
[422.70-427.00] 包含M6以上等級的這些材料過去在20
[427.60-431.00] 2023年的時候可能只佔我們整體營收
[431.50-432.80] 10%左右
[433.20-436.90] 但是在2024年就是去年一整年的時候
[436.90-438.40] 它已經翻倍成長
[438.40-439.30] 佔到了
[439.70-441.90] 20多個出頭percentage
[442.20-444.80] 也就是說我們的高速材料佔我們整體營收
[444.80-447.40] 持續的一直在加速
[447.40-450.10] 而且是以倍速的方式在成長
[450.10-454.00] 那我們今年M6
[455.50-460.90] 包含以上的這些材料應該也是會以倍速的成長進行
[461.30-463.70] 那當然就像我剛剛說不外乎是這些
[464.70-467.50] AI他們所需要的這些材料升級之外
[467.50-471.20] 其實在消費性電子甚至是AIPC
[471.20-474.50] 還有車用上面他們對於材料的需求
[474.80-476.10] 也持續在升級
[480.10-483.40] 那目前估第一季
[486.40-488.40] 目前估第一季的話
[488.40-490.40] 我們因為畢竟有過年嘛
[490.40-491.50] 那它又是傳統
[492.20-492.90] 淡季
[493.60-495.80] 所以可能營收上面會有
[496.40-501.50] 微幅的小掉一個Mid single digit到High single digit的一個
[502.00-502.80] 一個狀況
[503.00-504.10] 那但是
[504.80-508.40] 在利率上面我們目前預期應該還是可以
[508.90-512.50] 維持持平到就是持平上下
[512.50-513.10] 因為
[513.50-514.90] 不外乎就是我們的
[515.60-518.40] 我們的Podemic持續的在改善
[518.40-520.40] 然後還有一些新的一些
[521.10-522.30] 一些專案是
[522.90-526.90] 大概是要就是可能3月4月才會開始
[526.90-529.20] 陸續的加速放量
[530.10-532.10] 那今年一整年看的一個
[532.60-533.70] 一個Growth Rate
[533.70-534.50] 我們估
[534.80-537.10] 大概我都會先保守一點
[537.10-541.10] 我看大概是可能10到20%的這個水準
[542.40-544.70] 然後看起來會是逐漸轉強
[545.50-548.60] 第一季可能第一季是稍微比較偏弱一點點
[548.60-551.30] 但是會逐漸慢慢慢慢開始轉強
[551.80-553.20] 那下半年的話
[553.70-556.70] 會有更多的一些一些Growth Strives的話
[556.70-558.60] 我可能就後續再跟大家分享
[560.60-563.50] 我剛剛好像忘了講我們第四
[563.50-564.60] 去年第四季
[564.80-566.30] 車用營收
[567.40-569.50] 他其實也比我們想像來的
[570.30-571.20] 好很多
[571.20-573.30] 因為我本來我記得我上一次是
[573.70-575.90] 跟大家分享說我覺得車用會掉
[575.90-577.30] 但是其實車用
[578.90-581.00] 可能是因為關稅上面東西
[581.00-582.60] 所以他們在去年第四季的時候
[582.60-583.50] 客人都有
[584.50-585.80] Place一些Rush Order
[591.50-592.90] 好那我就先分享到這邊
[592.90-594.10] 我們再進入Q&A
[594.80-595.50] 謝謝
[595.50-599.50] OK非常謝謝Ken的說明
[599.50-602.50] 那在堂會邊如果有任何問題的話
[602.50-604.50] 歡迎你就可以舉手直接提問
[604.50-605.30] 謝謝
[605.30-605.80] 謝謝
[605.80-606.80] 謝謝
[606.80-607.80] 謝謝
[607.80-608.80] 謝謝
[608.80-609.80] 謝謝
[609.80-610.80] 謝謝
[610.80-611.80] 謝謝
[611.80-612.80] 謝謝
[612.80-613.80] 謝謝
[613.80-614.80] 謝謝
[614.80-615.80] 謝謝
[615.80-616.80] 謝謝
[616.80-617.80] 謝謝
[617.80-618.80] 謝謝
[618.80-619.80] 謝謝
[619.80-620.80] 謝謝
[620.80-621.80] 謝謝
[621.80-622.80] 謝謝
[622.80-623.80] 謝謝
[623.80-624.80] 謝謝
[625.60-625.80] 謝謝
[625.80-626.80] 謝謝
[626.80-628.80] 謝謝
[628.80-629.80] 謝謝
[629.80-630.80] 謝謝
[630.80-631.80] 好沒問題
[631.80-634.20] 我先講產能上面
[634.20-635.48] 泰國廠我們接下來
[635.48-639.60] 我們在第一期就是預期先要建造出來
[639.60-644.00] 每個月30萬張到40萬張的產能
[644.00-647.00] 那其實這些產能
[647.00-650.00] 我當然不能說他訂單是已經都有
[650.00-653.80] 但是其實已經都有客人已經有在
[653.80-654.80] 進口
[654.80-657.56] 有在跟我们提需求了
[657.56-659.48] 所以我们泰国厂应该
[659.48-662.14] 有机会可能会是在
[662.14-664.58] 泰国厂第一期
[664.58-666.26] 这30万张到40万张月产的
[666.26-667.76] 有机会会是在今年
[667.76-669.82] 今年底以前
[669.82-671.28] 就是全部扩出来
[671.28-673.98] 那当然也是因为
[673.98-674.56] 大家都知道
[674.56-676.66] 都是因为中美贸易的关系
[676.66-678.94] 美国的客人基本上
[678.94-679.76] 现在还没有
[679.76-680.94] 但是不排除
[680.94-682.88] 未来几个月
[682.88-683.56] 或是半年内
[683.56-684.52] 他们就会要求说
[684.52-685.36] 他们都是要
[685.36-687.76] 在东南亚生产的这个材料
[687.76-691.92] 那一开始我们布局的方式
[691.92-693.56] 当然也还是都会以
[693.56-694.58] 高阶的产品
[694.58-695.86] 不论是高阶车用
[695.86-697.26] HDI相关的
[697.26-699.60] 或者是还有这些
[699.60-701.56] AI Server相关
[701.56-703.80] 或是多层版的这种
[703.80-707.92] 伺服器的相关的产品去布局
[707.92-712.14] 然后再回答第二个问题
[712.14-713.70] 我们今年的
[713.70-721.64] 今年的各个Segment的走的方向
[721.64-724.46] 当然最强的还是会是基础建设
[724.46-726.74] 因为就像我们刚刚讲的
[726.74-728.94] 目前有发现
[728.94-732.50] 不应该说目前已经有观察到
[732.50-734.46] 还是以AI Server
[734.46-736.74] AI Data Center这个需求是最大的
[736.74-739.62] 那当然联贸在过去一年半
[739.62-742.94] 我们没有抢到一开始的那个
[742.94-743.70] 那个
[743.70-747.54] 那个头像就是在所有的产品
[747.54-749.34] 都在往AI Server走的时候
[749.34-752.14] 我们没有变成最大的这个
[752.14-753.94] AI Server的CCO的供应商
[753.94-756.50] 但是现在已经陆陆续续都看到
[756.50-758.04] 所有的客人
[758.04-760.86] 他们都也都是在找
[760.86-764.18] 找更多的这些CCO Suppliers
[764.18-766.22] 特别是能做这种多层版
[766.22-770.06] 不论是M8 M7 M6
[770.06-771.86] 甚至是有一些产品
[771.86-773.40] 他们需要用到M4的
[773.70-775.74] 这个产品
[775.74-780.10] 特别是这种170
[780.10-783.94] M4就是这个MIDLOSS的材料
[783.94-785.74] 它其实也是高速材料
[785.74-788.04] 那像170系列过去
[788.04-792.90] 联贸都有很好的那种放量的这个Track Record
[792.90-794.94] 不管是用在一般型的伺服器
[794.94-796.22] 甚至是AI伺服器
[796.22-797.76] 我们还有基地台
[797.76-801.10] 我们都有用这个M2等级的MIDLOSS的材料
[801.10-803.66] 所以如果而且它现在的毛利率
[803.70-806.00] 还是来得相对来说非常好
[806.00-810.86] 因为它已经走到一个就是一个很极致的一个
[810.86-813.68] 一个效果它既能满足客人的需求
[813.68-818.30] 我们又能够有还不错的一个获利表现
[818.30-819.32] 那
[819.32-824.18] 因为我刚刚说了因为我们M6 M7 M8这些
[824.18-826.22] 产品它都是持续的
[826.22-827.76] 持续的加速放量
[827.76-831.34] 所以在Infrastructure基础建设这边我
[831.34-833.66] 我估应该还可以说是
[833.66-839.04] 它的成长性会优于我刚刚讲的这个Copay Every 10到20
[839.04-841.34] 那
[841.34-842.88] 汽车电子
[842.88-845.44] 汽车电子比较Valor才有一点
[845.44-845.94] 我
[845.94-849.54] 没办法去给一个很精准的一个成长性
[849.54-851.06] 但它也是正向成长
[851.06-853.38] 这是肯定的
[853.38-854.66] 再来就是消费性电子
[854.66-857.46] 消费性电子我们预期
[857.46-860.28] 随着这个它对产品材料的需求
[860.28-862.34] 持续提升的状况下
[862.34-863.64] 它的成长性也会增加的
[863.64-867.48] 是会在我刚刚给的Copay Every 10到20这个上缘
[867.48-871.06] 那智慧型手机
[871.06-875.42] 对联贸来说它真的是占联贸营收比算是比较小
[875.42-876.70] 可能就是不到
[876.70-879.26] 第四季已经不到5%了
[879.26-881.30] 所以我觉得它的
[881.30-883.36] 变动性
[883.36-888.22] 可能对我们的整个营收和毛利率
[888.22-889.76] 比较没有那么大的影响
[889.76-892.06] 好 谢谢
[893.64-895.18] 谢谢
[895.18-896.20] 谢谢
[910.02-912.32] 显卡我都是把它放在
[912.32-915.14] 其实我是把它放在消费性电子里面
[915.14-918.72] 过去我都是把它放在跟PC这一块一起的
[918.72-923.36] 像PC这个占我们消费性电子的
[923.36-923.60] 这个是这样一个功能
[923.60-925.84] 营收比大概有八成
[925.84-930.36] 也就是说PC相关占我们整体营收
[930.36-932.06] 大概有10%左右
[932.06-935.20] 那里面我没办法
[935.20-937.70] 没办法再细去细猜一分说
[937.70-942.42] 显卡跟一般的PC的板子占多少
[942.42-945.44] 但我猜显卡应该也有占到
[945.44-951.90] 这个PC10%里面的一半吧
[953.60-954.54] 谢谢
[954.54-965.38] 我在delibrary一下
[965.38-966.74] 刚刚提到那个显卡
[966.74-969.48] 它其实现在用的材料也已经从
[969.48-975.84] 过去的这种M等级的提升到M2跟M3
[975.84-976.62] 抱歉
[976.62-978.98] 以前是用M跟M2
[978.98-981.58] 然后现在是用M4跟M6了
[983.60-1011.84] 因为去年第四季应该是70%左右
[1011.84-1013.58] 这个是M4跟M5的一半
[1013.58-1021.04] 今年第一季的话应该大概也是接近70%
[1021.04-1023.28] 我应该还没到70%
[1023.28-1026.72] 但是今年一整年我们在看
[1026.72-1030.84] 我当然就是不包含泰国厂拓扩出来这个产能
[1030.84-1036.64] 今年应该可以回到可能75%到80%之间
[1043.58-1052.58] 我相信应该是有的
[1052.58-1053.64] 对吧
[1053.64-1054.10] 对吧
[1054.10-1061.58] 应该是下半年就会开始贡献营收
[1061.58-1065.10] 但是真的要有实质放量的这个营收
[1065.10-1070.02] 我保守估可能还是要到明年出的时候
[1070.02-1072.98] 会比较确认
[1073.58-1082.76] 因为目前联贸本身的产能
[1082.76-1084.88] 一个月还是就已经有
[1084.88-1090.42] 545万张的这个月产能
[1090.42-1093.22] 所以我们目前都还是可以满足客人的需求
[1093.22-1102.32] 去年资本支出大概是在
[1102.32-1106.34] 我记得是在17亿左右
[1106.34-1110.52] 去年资本支出大概是在17亿
[1110.52-1113.56] 今年应该只会多一点
[1113.56-1117.18] 大概落在18亿到20亿之间
[1117.18-1123.14] 大家一定知道说我们上礼拜五
[1123.14-1127.40] 已经有宣布说我们要做泰国的第二期
[1127.40-1130.86] 那个是会再增加14亿
[1130.86-1134.96] 我忘记是泰铢还是台币
[1134.96-1136.44] 但是换算起来其实差不多
[1136.44-1160.78] 去年底是540万
[1160.78-1160.84] 去年底是540万
[1160.86-1168.02] 去年底是540万
[1168.02-1169.30] 我aggressive draw一点
[1169.30-1172.12] 今年就是会580
[1172.12-1175.64] 但是如果没有这么快扩出来的话
[1175.64-1185.56] 就可能还是550左右这样子
[1185.56-1190.78] 对
[1190.78-1197.94] 对
[1197.94-1202.04] 对
[1202.04-1208.18] 对
[1208.18-1210.74] 低级M6以上的占比
[1210.74-1213.30] M6以上
[1213.30-1220.74] 15指尖
[1220.78-1226.16] 因为去年一整年就已经20几啦
[1226.16-1227.18] 20出头
[1227.18-1230.26] 对
[1230.26-1230.76] 对
[1230.76-1236.40] 年底会超过30
[1236.40-1239.46] 年底会超M6包含M6以上年底会超过30
[1239.46-1242.80] 这样我一整年才会有接近30
[1242.80-1243.82] 30的这个
[1243.82-1246.90] 现在大概是20
[1246.90-1248.94] 20以上的这个年底会超过30
[1248.94-1249.70] 20以上的这个年底会超过30
[1249.70-1250.74] 20以上的这个年底会超过30
[1250.78-1257.86] 总体来说
[1257.86-1259.14] 如果你是个欠佳的样子
[1259.14-1260.92] 35到40那你就 stret象很 Ninja
[1260.92-1261.24] nourishing
[1261.24-1262.04] 把你都担心了
[1262.04-1263.08] 这对 fairy  изヽ
[1263.08-1263.58] 30了
[1263.58-1264.04] 버
[1264.04-1264.96] 25
[1265.76-1266.08] 呢
[1266.08-1267.34] 然后
[1267.34-1268.06] transplant
[1268.06-1269.88] 价值
[1269.88-1271.08] nonsense
[1271.08-1271.96] overtel
[1272.60-1273.00] 捞
[1273.00-1274.64] 了
[1274.64-1275.22] 兔
[1275.22-1276.18] 这个
[1276.18-1276.64] 嗒
[1276.64-1276.92] 这个
[1276.92-1277.66] 脑 рас
[1277.66-1278.32] 得看
[1278.32-1280.60] 什么时候的
[1280.60-1280.74] 我
[1280.74-1282.74] 在推出的需求
[1289.74-1292.74] 其他的相關CSV的ASIC
[1292.74-1294.74] 我們當然本來就已經有兩家
[1294.74-1296.74] 這個持續都還有
[1298.74-1300.74] 中系的ASIC我們也有
[1302.74-1303.74] 其實也就是說
[1303.74-1308.74] 其實現在不管是美系或是中系
[1308.74-1310.74] AI或是General Server
[1310.74-1316.74] 我們都是有佔一定的一個份額在裡面
[1316.74-1318.74] 接下來只會多不會少而已
[1319.74-1322.74] 特別是來自於中國這邊的
[1322.74-1324.74] 不管是他們用自己的ASIC
[1324.74-1329.74] 或者是他們用NVIDIA的這個GPU
[1329.74-1333.74] 其實我們都是已經在這個供應鏈裡面了
[1338.74-1340.74] 所以我們就要先去看
[1340.74-1342.74] 這個人體的供應鏈
[1342.74-1344.74] 然後再去看看
[1344.74-1346.74] 什麼樣的供應鏈
[1346.74-1348.74] 我們是用M6的
[1348.74-1350.74] 其實M6的供應鏈
[1350.74-1352.74] 它是用M7的
[1352.74-1354.74] M6的供應鏈
[1354.74-1356.74] 其實M6的供應鏈
[1356.74-1358.74] 它是用M5的
[1358.74-1360.74] M5的供應鏈
[1360.74-1362.74] 它是用M5的
[1362.74-1363.74] M5的供應鏈
[1363.74-1364.74] 它是用M5的
[1368.74-1370.74] M5的供應鏈
[1370.74-1372.74] 它是用M5的
[1372.74-1374.74] M5的供應鏈
[1374.74-1376.74] 它是用M5的
[1376.74-1378.74] M5的供應鏈
[1378.74-1380.74] 它是用M5的
[1380.74-1382.74] M5的供應鏈
[1382.74-1384.74] 它是用M5的
[1384.74-1386.74] M5的供應鏈
[1386.74-1388.74] 它是用M5的
[1388.74-1390.74] M5的供應鏈
[1390.74-1393.74] PTFE其實我們以前在做5G基地台的時候
[1393.74-1395.74] 就有測試了
[1395.74-1397.74] 然後也是可以生產的
[1397.74-1398.74] 只是說
[1398.74-1400.74] 這個市場傳聞
[1400.74-1402.74] 我們自己是覺得
[1402.74-1405.74] 因為鐵浮動這個東西它是比較軟
[1405.74-1406.74] 它也不耐
[1406.74-1408.74] 不管是比較軟還是不耐熱
[1408.74-1409.74] 反正它就是
[1409.74-1410.74] 它不能多壓
[1410.74-1412.74] 它是否高速傳輸
[1412.74-1413.74] 而不是否
[1413.74-1415.74] 這個
[1415.74-1416.74] 運算的
[1416.74-1418.74] 不是否這種高效率的
[1418.74-1420.74] 高效率的相關的
[1420.74-1421.74] 那
[1421.74-1423.74] 我這裡有一張圖
[1423.74-1431.74] 就是PTFE這個相關的其實都是
[1431.74-1436.74] 其實主要都是這家美國Rogers在出的
[1436.74-1438.74] 也就是說
[1438.74-1441.74] 真的能夠做PTFE
[1441.74-1443.74] 能夠大量生產
[1443.74-1444.74] 而且有
[1444.74-1447.74] 有這個Mass production track record
[1447.74-1448.74] 除了它之外
[1448.74-1452.74] Rogers大概佔全球60%到70%的這個產能
[1452.74-1453.74] 那剩下的
[1453.74-1456.74] 當然就還有中國一家生意
[1456.74-1457.74] 它的確有
[1457.74-1458.74] 為什麼
[1458.74-1459.74] 因為它在2017年的時候
[1459.74-1464.74] 它買了日曆化成這家日商的這個
[1464.74-1467.74] Tephlon的這個技術
[1467.74-1468.74] 所以它可以做
[1468.74-1469.74] 它就是在去
[1469.74-1470.74] 不是去年抱歉
[1470.74-1473.74] 在之前5G基地台很蓬勃的時候
[1473.74-1476.74] 它是生意是專門在做這個射頻
[1476.74-1478.74] Antenna這一塊的這個
[1478.74-1480.74] CCO Supplier
[1480.74-1481.74] 那
[1481.74-1485.74] 市場的確我也是有聽到說
[1485.74-1487.74] 可能未來在
[1487.74-1490.74] 應該是在Switch Tray還是什麼Optical Module
[1490.74-1492.74] 光模塊跟光傳輸這一塊
[1492.74-1496.74] 他們是想要轉用PTFE Tephlon的材料
[1496.74-1499.74] 但我覺得這個相對來說
[1499.74-1503.74] 對我們台廠可能會受惠比較沒那麼大
[1503.74-1508.74] 因為畢竟整個終端的市場
[1508.74-1511.74] 他們想要用的這個CCO Supplier
[1511.74-1515.74] 也有供應商可能還是會侷限在Rodgers
[1515.74-1516.74] 那
[1516.74-1517.74] 為主
[1517.74-1519.74] 那當然可能因為生意它
[1519.74-1520.74] 在哪邊
[1520.74-1522.74] 生意畢竟是有這個
[1522.74-1525.74] PTFE的這個製造製程的
[1525.74-1526.74] 所以它可能也會受惠
[1526.74-1529.74] 那對於台廠的貢獻可能比較少
[1541.74-1543.74] 那
[1543.74-1545.74] 我現在就想要講一下
[1545.74-1547.74] 這個AI比重
[1547.74-1549.74] 其實現在以為它是高階的
[1549.74-1551.74] 但是因為它是高階的
[1551.74-1552.74] 所以它其實是高階的
[1552.74-1553.74] 所以它是高階的
[1553.74-1554.74] 所以它是高階的
[1554.74-1556.74] 那
[1556.74-1557.74] 那
[1557.74-1559.74] AI比重我現在真的很難猜得出來
[1559.74-1560.74] 那
[1560.74-1564.74] 剛剛有分享就是我們的
[1564.74-1566.74] 高階產品
[1566.74-1567.74] 不要說只有高階
[1567.74-1568.74] 就是
[1568.74-1570.74] 屬於高階的產品的
[1570.74-1572.50] 佔我們營收20幾個%
[1572.50-1576.10] 然後2023年才10個%上下而已
[1576.10-1581.06] 我在估這些產品裡面
[1581.06-1582.62] 我這樣講好了
[1582.62-1584.14] M7這個等級的材料
[1584.14-1586.74] 2023年佔營收可能就是low single
[1586.74-1587.98] 非常low single digit
[1587.98-1596.42] 去年它佔到了快大概4 5個%左右
[1596.42-1600.26] M7幾乎我們放量的客人
[1600.26-1601.90] 都是屬於AI相關的
[1601.90-1604.46] 所以說如果單獨講M7的話
[1604.46-1607.06] 它是AI其中的一部分的
[1607.06-1608.54] 一部分的
[1608.54-1611.46] 都是AI的contribution
[1611.46-1615.70] 它基本上它就翻了大概3到4倍
[1615.70-1621.10] 我們M6 M4也有用在AI上面
[1621.10-1625.10] 只是說可能大部分還是會用在傳統的伺服器
[1625.10-1626.38] 或是一些高階車
[1626.38-1632.98] 和高階筆電上面
[1632.98-1638.30] 等於說我們AI的營收佔比
[1638.30-1654.78] 基本上一定是超越兩倍以上的年對年的成長
[1656.38-1661.30] 對
[1661.30-1664.26] 988G跟988GL
[1664.26-1665.66] 對
[1665.66-1666.78] 上面的兩個
[1666.78-1680.06] 目前看起來M7應該也是
[1680.06-1681.78] 一定也是兩倍以上成長
[1681.78-1683.46] 對
[1686.38-1692.82] 接下來呢
[1692.82-1694.74] 轉到這個
[1694.74-1696.74] 我記得 Cruise
[1696.74-1703.74] 我記得色比
[1704.02-1704.42] 都是
[1704.42-1704.98] 我們的
[1716.38-1739.88] 知道我這樣判斷的準不準
[1739.88-1741.16] 因為這一兩個月
[1741.16-1745.50] 第一因為當然就是傳統的過年嘛
[1745.50-1748.12] 所以它的確我們的出
[1748.12-1749.50] 車用的出
[1749.50-1751.88] 所有產品的出貨量都沒有到非常好
[1751.88-1754.34] 但是過月基本上
[1754.34-1759.04] 針對於就是車用電子
[1759.04-1764.16] 或者是消費性電子的出貨量都成長了很多
[1764.16-1765.90] 那我不知道這個會不會
[1765.90-1767.38] 是不是受到關稅的影響
[1767.38-1768.22] 可能提前拉貨
[1768.22-1770.34] 還是說他們本來就有
[1770.34-1774.50] 已經準備是要打算開始先被庫存了
[1775.50-1778.50] 因為他們的確是有看到
[1778.50-1781.50] 他們的客人有這樣子的需求
[1781.50-1785.50] 那目前觀察我看
[1785.50-1789.50] 三月的營收應該也是會比二月來的再更好
[1805.50-1807.94] 那然後接著要止結業以後
[1807.94-1808.86] 這一半還是可以再降成但
[1808.86-1809.78] 但是因為我們預計
[1809.78-1810.64] 不知道它根本就不會服務
[1810.64-1811.40] 效本的轉य
[1811.40-1833.34] сли�ุ沙
[1833.34-1834.26] .-
[1834.26-1834.50] ,-
[1834.50-1835.36] -
[1835.50-1851.60] 第七队
[1851.60-1855.06] 对Limitation那一段全部都过去了
[1855.06-1859.40] 前面那段现在就是在加速的
[1859.40-1860.38] 加速的
[1860.38-1861.80] 机器都已经
[1861.80-1864.30] 下单也买了
[1864.30-1866.42] 就是现在就是在加速的去把它
[1866.42-1869.50] 对对对对
[1869.50-1872.78] 这第一期会有前后段的
[1872.78-1873.10] 的
[1873.10-1875.66] 的这个制程都会过去
[1875.66-1878.08] 然后就是可以做到至少三十万张
[1878.08-1878.74] 第一期
[1891.40-1891.76] 嗯
[1894.30-1899.14] 好
[1899.14-1900.58] 利率今年我会
[1900.58-1904.58] 先保守点放可能
[1904.58-1906.90] 可能14到16
[1906.90-1908.38] 以上这样子
[1908.38-1913.26] 我知道我去年是讲今年应该是可以做到15到17
[1913.26-1914.02] 甚至18
[1914.02-1916.50] 但是我还是先保守
[1916.50-1919.38] 因为目前现在才第一季而已
[1919.38-1920.62] 然后又有蛮多
[1920.62-1923.74] 总经验上面一些不确定性
[1923.74-1924.30] 所以我现在
[1924.30-1926.96] 先估在今年可能14到16
[1926.96-1929.06] 多的这个毛利率
[1929.06-1943.38] 这个是非常保守的一个毛利率区间
[1943.38-1946.98] 嗯
