[0.00-3.84] 好 各位老朋友新朋友大家好
[4.36-8.44] 歡迎各位今天來參加王品參與普遍衛生公司的發售會
[1005.04-1007.60] 在台灣餐飲市場上獨特的一個
[1007.86-1008.38] 能力
[1009.92-1012.72] 各位可以看到這個就是在全聯的
[1012.98-1013.76] 貨架上
[1014.26-1015.04] 我們能夠
[1015.34-1015.84] 擴散有的
[1016.10-1018.40] 櫃位已經越來越面積越來越大
[1020.20-1022.50] OK這是2025年我們最近剛
[1022.76-1023.52] 推出的產品
[1024.04-1027.88] 當時這個萬仙的這個青花椒麻牛肉麵
[1028.14-1030.18] 大概三天就賣了兩萬箱
[1030.70-1031.98] 算是成績非常好的
[1037.86-1038.64] 這個也都是
[1039.14-1040.42] 各位在餐桌
[1040.68-1042.22] 在家裡的餐桌
[1042.48-1044.00] 在辦公室的餐桌
[1044.26-1044.78] 可以看得到的
[1045.08-1050.08] 這個就是一般進入家庭的一個醬料
[1050.08-1054.08] 紅油操手就是我剛剛說的
[1054.08-1057.08] 最近剛剛推出的新產品
[1057.08-1060.08] 那另外冷凍水餃跟餛飩
[1060.08-1063.08] 這個也都是我們賣的非常好的一個主力產品
[1063.08-1067.08] OK接下來就是財務的狀況
[1067.08-1070.08] 待會各位如果有更多細節的問題
[1070.08-1072.08] 梁總監都會跟各位做回覆
[1072.08-1074.08] 那我先做個簡單的說明
[1074.08-1078.08] 各位可以看到就是我們今年在Q1的時候
[1078.08-1081.08] 其實營收大幅的增長
[1081.08-1086.08] 其實最主要是因為今年的春節假期比較長比較完整
[1086.08-1088.08] 一共有九天
[1088.08-1095.08] 那網品的這個市場規模又到了一個一定的程度
[1095.08-1099.08] 所以我們在初二初三連續兩天
[1099.08-1104.08] 都達到單日營收破億元
[1104.08-1110.08] 這個是在台灣餐飲界獨一無二
[1110.08-1115.08] 其他大概了不起很多餐飲業餐飲同業
[1115.08-1121.08] 即便是上市櫃他可能一個月都做不到上億元
[1121.08-1125.08] 那網品一個集團之力單日營收就能夠突破億元
[1125.08-1127.08] 那我也跟各位說明
[1127.08-1131.08] 其實在過去這兩天的母親節假期
[1131.08-1134.08] 我們一樣都有這樣發生的事情
[1134.08-1136.08] 我們有很輝煌的成績
[1136.08-1138.08] 但是也不方便現在跟各位說數字
[1138.08-1142.08] 但我只能說我們這兩天的母親節那兩天
[1142.08-1144.08] 週六週日的情況
[1144.08-1147.08] 只比初二初三好
[1147.08-1150.08] 這也就是我們在市場上的規模程度
[1150.08-1154.08] 越來越具有領先的地位
[1154.08-1158.08] 才會有這樣的差距
[1158.08-1161.08] 那各位也當然會非常關心
[1161.08-1163.08] 整個對於目前
[1164.08-1166.08] 關稅對台灣經濟的影響
[1166.08-1171.08] 還有匯率對台灣消費能力的影響
[1171.08-1174.08] 我也必須坦白跟各位說
[1174.08-1176.08] 在四月
[1176.08-1181.08] 川普4月2號宣布所謂的美國解放日之後
[1181.08-1185.08] 的確他有帶來短暫的影響
[1185.08-1188.08] 在餐飲市場上
[1188.08-1194.08] 的確在整個四月有些微的影響
[1194.08-1198.08] 但是網品因為規模已經夠大
[1198.08-1201.08] 然後我們的佈局也比較完整
[1201.08-1204.08] 也就是我們在高價中價低價
[1204.08-1208.08] 中評價的品牌我們都佈局的比較完整
[1208.08-1213.08] 所以我們受到的影響相對的會比
[1213.08-1217.08] 例如做高價的自助餐
[1217.08-1220.08] 他可能受到的影響就會比較大
[1220.08-1222.08] 怎麼說呢
[1222.08-1223.08] 當經濟恐慌
[1223.08-1224.08] 但是我們也有一個問題
[1224.08-1227.08] 大家覺得荷包有可能縮水的時候
[1227.08-1234.08] 他可能就會減少高價位餐廳用餐的評次
[1234.08-1237.08] 但是相對於我們這樣佈局比較廣泛
[1237.08-1239.08] 我們雖然也會受到影響
[1239.08-1242.08] 但是相對的我們受到的影響比較少
[1242.08-1245.08] 所以我們在四月的營收
[1245.08-1250.08] YOY還是呈現一個正成長的趨勢
[1250.08-1253.08] 對這一點我相信可以回答各位比較關切的說明
[1253.08-1256.08] 然後進入到五月
[1256.08-1259.08] 當然受到母親節假期的影響
[1259.08-1264.08] 所以整個上半個月銷售狀況都非常的暢旺
[1264.08-1271.08] 這一點我們也判斷就是隨著這個美中雙方關係
[1271.08-1274.08] 有一些逐步雖然大家檯面上跑得很激烈
[1274.08-1279.08] 但是看起來大家的實質動作都朝向和解的方向在走
[1279.08-1282.08] 所以台灣的情況似乎大家也找出辦法
[1282.08-1286.08] 所以我們認為除了經濟情勢的和解
[1286.08-1293.08] 母親節這個假期大家聚餐的效應受到這兩個結果的影響
[1293.08-1299.08] 所以整個上半個月的銷售成績還是非常的暢旺
[1299.08-1301.08] 比去年要高
[1301.08-1308.08] 所以餐飲業大概要比較後面才能告訴各位
[1308.08-1311.08] 整個消費市場受到的影響
[1312.08-1314.08] 景氣如何
[1314.08-1317.08] 可是上餐廳吃飯的人數跟金額
[1317.08-1320.08] 大概就比較能夠具體的展現
[1320.08-1325.08] 整個台灣經濟市場消費力度的一個呈現
[1325.08-1328.08] 這點跟大家做說明
[1328.08-1332.08] 那各位可以看到我們在這個大陸的情況
[1332.08-1333.08] 因為我剛剛跟各位報告過
[1333.08-1335.08] 各位也很清楚
[1335.08-1337.08] 就是這個消費力道持續的下滑
[1337.08-1339.08] 內捲的情況很嚴重
[1339.08-1340.08] 但是我們仍然持平的穩定
[1340.08-1341.08] 但是我們仍然持平的穩定
[1341.08-1342.08] 但是我們仍然持平的穩定
[1342.08-1345.08] 在那個數字上沒有太大的變化
[1345.08-1346.08] 在那個數字上沒有太大的變化
[1346.08-1355.08] 那這裡各位可以看到是我們在這幾年來的一個營業額的變化
[1355.08-1362.08] 那各位可以看到就是我們在低季創造了一個最好的營收情況
[1362.08-1365.08] 那接下來4月還正成長
[1365.08-1371.08] 我們仍然希望今年能夠繼續突破200億的目標
[1371.08-1373.08] 更往上走
[1373.08-1376.08] 擴大我們的領先優勢
[1376.08-1377.08] 擴大我們的領先優勢
[1377.08-1380.08] OK
[1380.08-1384.08] 這個接下來是我們EPS的一個概況
[1384.08-1388.08] 各位可以看到過去兩年我們一共賺了三個股本
[1388.08-1392.08] 那今年第一季也還不錯
[1392.08-1394.08] 4.41元
[1394.08-1400.08] 這個大概是我們過去單季第三高的紀錄
[1401.08-1406.08] 那主要就是我們營收超出標準
[1406.08-1408.08] 超出損益兩平點之後
[1408.08-1411.08] 替我們帶來的邊際效益更擴大
[1411.08-1416.08] 所以我們的第一季繳出了一個非常亮眼的成績
[1416.08-1421.08] OK
[1421.08-1424.08] 未來展望這每一次我都會跟各位報告過
[1424.08-1428.08] 網品最大的優勢就是我們多品牌的發展
[1428.08-1431.08] 那這個情況也不會改變
[1431.08-1435.08] 我們仍然持續多品牌發展為我們主要的核心
[1435.08-1437.08] 但是我剛也跟各位報告
[1437.08-1439.08] 今年不會再有新的品牌
[1439.08-1445.08] 但是我們仍然會持續加速展店的一個情況
[1445.08-1447.08] OK
[1447.08-1450.08] 以上就是我跟各位所做的一個簡報說明
[1450.08-1453.08] 那到此結束非常謝謝大家
[1453.08-1456.08] 接下來我們就進行QA的時段
