[0.00-29.98] 大家好。我是戴宇国际的IR师,
[371.76-375.00] 那它因为线上的
[375.00-377.76] 现在是比较偏主流的销售管道
[377.76-379.06] 就是实体店面的话
[379.06-381.24] 目前基本上的销售
[381.24-383.04] 不会像是线上来的那么好
[383.04-384.46] 加上线上销售
[384.46-384.52] 就是在美国
[384.54-386.18] 我们的身份也比较好控管一些
[386.18-388.70] 那我们最近几年在欧洲地区市场
[388.70-390.60] 也是有很努力的积极拓展
[390.60-391.90] 所以就有
[391.90-393.62] 就是让我们欧洲的占比
[393.62-394.94] 来到两成以上
[394.94-396.84] 我觉得这是一个蛮好的进步
[396.84-397.62] 不然我们其实
[397.62-400.02] 以往的销售都是在美国
[400.02-401.78] 就是有点太单一地区了
[401.78-405.18] 那剩下的地区的占比
[405.18-406.24] 再给大家详考一下
[406.24-407.70] 就是比较少一点
[407.70-410.40] 大约就是五趴或是五趴以下而已
[410.40-413.58] 那在外来的掌握能够算
[413.58-414.46] 还是这三个地区
[414.46-417.54] 这三个就是商用健身器材市场的布局
[417.54-419.42] 跟电辅车的推动
[419.42-422.18] 跟全球销售通路的拓展
[422.18-424.28] 这三个也一直都是我们公司
[424.28-426.88] 蛮积极发展的方向
[426.88-429.88] 那商用的话就是刚刚有讲到Spirit品牌
[429.88-431.80] 我们就是现在就是很主打
[431.80-433.92] 这品牌去推进一些欧美地区的
[433.92-436.10] 小型电锁健身房
[436.10-438.02] 那是我们的CT1000系列的产品
[438.02-441.90] 也是获得了台湾精品奖
[441.90-443.66] 给大家参考一下
[443.66-444.14] 然后我们
[444.14-446.18] 在今年的TESPO有涨出
[446.18-449.32] 然后FEEBO也有涨
[449.32-453.34] 然后目前得到的回馈都还蛮好的
[453.34-454.66] 然后电辅车的话
[454.66-456.74] 就是还在努力中
[456.74-459.08] 因为其实自有品牌的推广
[459.08-460.52] 就是稍微比较困难一点
[460.52-462.78] 所以今年的电辅车成长门
[462.78-466.60] 大部分还是在代股中那个部分
[466.60-468.46] 那我们也会一直陆续推出
[468.46-471.02] 我们电辅车自有品牌的新产品
[474.14-476.18] 然后我最后再补充一下
[476.18-478.56] 最近大家可能比较关注的就是
[478.56-481.98] 美国的关税的一些影响
[481.98-484.74] 跟我们的因应的策略
[484.74-486.10] 目前就是因为美国
[486.10-489.06] 现在就是有一些对等关税的政策
[489.06-490.98] 那目前我们公司的做法是
[490.98-493.78] 我们原先在中国有一个加薪系顿厂
[493.78-495.54] 那我们有把大部分的产能
[495.54-497.54] 都移回来台湾生产
[497.54-499.30] 那未来输美国的产品的话
[499.30-501.62] 就会是从台湾工厂这边生产
[501.62-503.38] 对等产品直接输入美国
[503.38-503.42] 那原先做的产品的话就会是从台湾工厂这边生产对等产品直接输入美国
[504.14-505.82] 中国的产能是还有留一些
[505.82-509.68] 因为其实中国制造还是相对的成分比较低一些
[509.68-511.60] 所以在出非美国地区的时候
[511.60-515.44] 还是可以依客户的要求去由中国厂这边开始出货
[515.44-517.22] 那另外就是因为
[517.22-521.24] 输美国的产品很多都移回来台湾嘛
[521.24-523.08] 那因为台湾的成分本身
[523.08-525.30] 就是会比中国再高一些
[525.30-528.98] 所以其实我们有跟客户端去达成涨价的策略
[528.98-531.84] 那目前售品牌的产品的涨价幅度
[531.84-533.30] 大约是10到20%
[533.30-533.38] 是一品项目的产品
[533.38-534.90] 是一品项做不同
[534.90-537.94] 那已经在三四月的时候就已经陆陆续续的
[537.94-539.60] 有把产品的价格调上去
[539.60-542.96] 那终端价格的话也是有同步调啊
[542.96-544.28] 但也不是每个品项都有调
[544.28-546.56] 就是看我们的产品跟客户端
[546.56-548.14] 他那边看的状况
[548.14-549.92] 那再来就是
[549.92-551.30] 因为其实现在
[551.30-554.12] 原本美国加上这些器材
[554.12-557.18] 蛮多的品牌他们会请中国那边代工
[557.18-560.42] 但因为现在中国面临着比较高关税的问题
[560.42-561.90] 所以变成说我们会
[561.90-563.36] 目前是有听到的
[563.38-564.82] 有一些转单的效应
[564.82-568.70] 像是Amazon他们就叫我们丢一些需求
[568.70-571.70] 就是想要跟我们购入一些便宜的电跑
[571.70-575.58] 就对我们来说也算是好消息
[575.58-579.90] 对就是算说关税的问题还让大家很紧张
[579.90-583.22] 但是我们也是有除了我们现在因应的策略之外
[583.22-585.76] 我们也是有得到一些可能转单的效益
[585.76-586.88] 这样子
[586.88-588.28] 然后看大家有什么问题
[591.90-592.82] 好
[592.82-594.58] 谢谢富里的说明
[594.58-597.62] 那接下来进行问与答的交流时间
[597.62-601.44] 欢迎线上的投资人可以直接打开麦克风提问
[601.44-606.92] 那也可以用文字提问的方式把你的问题留置聊天室
[606.92-608.12] 欢迎大家提问
[614.84-618.68] 富里这边就是在聊天室已经有三个问题了
[618.68-620.54] 您这边看得到吗
[620.54-621.58] 有有有我看到
[621.58-622.66] 我看一下
[622.82-623.82] 好再麻烦你
[623.82-632.48] 家用商用医疗附件户外和其他五类产品毛利率的区间跟排序品
[632.48-636.38] 目前毛利率最高的还是会以医疗附件为主
[636.38-639.20] 那再来就是商用再来是家用
[639.20-643.56] 那户外家具这一块原先是在中国工厂生产的
[643.56-648.60] 但是因为近几年其实户外家具市场它衰退的蛮厉害
[648.60-652.74] 所以大家可以看到它的占比基因少很多了
[652.74-658.64] 我们24年的营收相较于23年衰退有蛮大一部分就是户外家具的营收下来
[658.64-661.76] 但是其实也对我们来说可能也不太会是坏事
[661.76-665.14] 因为其实户外家具的毛利一直以来都是我们产品里面最低的
[667.74-672.26] 然后问2025年的营收跟毛利率
[672.26-680.06] 今年的话主要成长动能就是刚刚有讲到的商用健身器材跟脚踏车的带子装业务
[680.06-682.70] 那可以跟大家分享一下就是我们今年第一年
[682.70-688.86] 一季电动车电腐车带组装的营收是已经超过去年全年的
[688.86-692.18] 所以大家可以以这样子的规模去换算一下
[692.18-697.46] 就是我们大概全年如果以简单算数就是直接把它乘以4的概念去算的话
[697.46-701.80] 就会是他们多了这一部分是我们今年相较去年的成长
[701.80-705.68] 那商用的话就还是要再看一下下半年跟客户的状况
[705.68-710.50] 但是上半年看起来商用的一直都还不错
[710.50-714.40] 就是有一些小中小型的连锁健身房的客户
[714.40-717.28] 然后因为我们刚刚也有提到我们有参赛
[717.28-721.50] 那像是地宝展开使馆都有一些新的客户加入
[721.50-726.28] 所以其实今年的商用我们预计大概大概也可以成长大概10到15%左右
[729.10-735.34] 现在的生产基地比重大部分都会在台湾大概可能八成左右
[735.34-738.56] 然后中国他们还会留一些小小的产线
[738.56-740.04] 因为可以应付
[740.50-741.94] 美国地区以外的客户
[741.94-746.62] 因为其他其他地区的客户就不会有像美国这样高关税的问题
[746.62-748.26] 所以就还是可以从中国出
[750.58-752.02] 转单的规模
[753.26-754.78] 可否量化
[754.78-758.56] 因为是我刚刚讲到才从我们董事长那边收到的讯息
[758.56-760.96] 就听说是有这转单的效益
[760.96-762.78] 但可能还在洽谈阶段
[762.78-766.02] 所以可能还不太清楚他的规模到底多大
[768.58-770.28] 公民公司eBike的情况
[770.50-773.18] 跟计划是说自由品牌吗
[773.18-774.38] 自由品牌的话
[774.38-779.74] 目前就是持续的做一些广告投放跟网站的优化
[779.74-783.18] 然后就是就形象我们自己的的脚踏车品牌
[783.18-785.06] 我们也有参加很多展览
[785.06-787.10] 就是增加他的曝光度
[787.10-788.22] 但是自主品牌的话
[788.22-791.08] 他发销时间真的确实会比较慢一些
[791.08-794.26] 但在代股东那一部分可能比较可以跟你说明
[794.26-800.26] 就是其实我们eBike的代股东业务今年全员的话算是订单都还蛮满的
[800.50-803.98] 其实客户里面是走偏向预购的方式
[803.98-808.46] 所以我们现在的状况是我们能做出几台的话
[808.46-810.06] 就会租给他们几台这样子
[810.06-814.78] 所以目前看起来代股东的话会是今年比较明确的成长动能
[814.78-818.58] 自由品牌的话可能就还是要再看一下市场的状况
[830.50-836.62] 自行车代组装跟自有品牌的比重目前几乎都是代组装
[836.62-841.46] 你可以先把目前有贡献的电幅车移收都把它放成代组装
[854.78-856.50] 然后在自行车的部分
[856.50-860.04] 目前除了原本的台中大甲厂之外
[860.04-860.46] 就是
[860.50-863.46] 因为我们今年上半年有做现增跟CD
[863.46-867.82] 那部分其实就是那时候说就是要做台中大甲二厂
[867.82-874.26] 台中大甲二厂主要的就会是来做电幅车的车架的烤漆厂
[874.26-878.22] 主要是因为我们现在在做电幅车组装业务
[878.22-879.82] 其实当台蛮多的
[879.82-887.30] 但是就会比较面临到可能车架的取得跟车架的颜色的一些困难
[887.30-889.26] 所以我们就是有打算自己去
[889.26-890.26] 执行
[890.50-892.26] 这个车架的烤漆
[896.10-898.18] 2025年是获利的吗
[898.18-900.02] 今年第一季的话是吧
[900.02-902.50] 但是全年的话月还没结束
[903.94-906.78] 因为其实在组装业务不太会赔钱
[906.78-910.62] 因为就像代工就是他就是一个代工的业务
[910.62-913.78] 基本上没有什么就是一些固定的费用
[913.78-916.54] 算是毛利率可能没有像自由品牌那么高了
[916.54-918.50] 但是算是一个蛮稳定的事业
[920.50-923.06] 所以我们就有这个固定的费用
[923.06-924.34] 所以我们就有这个固定的费用
[924.34-928.42] 台湾和中国目前出美国的关税税率如何计算
[928.42-931.46] 中国的话就是依照目前的话
[931.46-935.14] 可能还是先会看美国和那边的策略
[935.14-938.78] 因为其实现在我们有去问很多报关行
[938.78-940.14] 就是我们当地
[940.14-941.74] 就是美国当地的报关行
[941.74-945.10] 就是每一间回答的其实好像都有点不太一样
[945.10-949.50] 所以我想说我等真的比较确定之后再跟大家讲好
[949.50-949.58] 因为我怕就是美国当地的报关行就是每一间回答的其实好像都有点不太一样 所以我想说我等真的比较确定之后再跟大家讲好
[949.58-952.46] 因为我怕就是可能讲一讲之后可能又不太一样
[952.46-956.58] 因为在美国的策略也是一直就是有一直在更新
[969.46-973.46] 但其实目前台湾出给美国的话应该是就不用太担心
[973.46-976.38] 因为我们现在就是价格有做调整
[976.38-979.42] 所以基本上对我们的影响就不会到太大
[979.42-979.50] 而且我们现在就是价格有做调整
[979.50-979.74] 所以我们现在就是价格有做调整
[979.74-981.74] 其实我们其实我们有美国子公司
[981.74-984.06] 美国子公司它其实有自己的仓库
[984.06-988.46] 其实先前我们就有输满多产品放在美国子公司的仓库
[988.46-992.34] 所以如果有些客户临时有需要一些订单或者一些货的话
[992.34-994.46] 就可以先从美国子公司里面调度
[994.46-1004.38] 自行车代组装的业务客户是目前我们是有一个比较大的客户
[1004.38-1009.34] 但他不太让我们说他的品牌是什么
[1009.34-1014.46] 能说就是可能欧美地区蛮知名的品牌
[1014.46-1017.66] 很有品牌知名度
[1017.66-1021.18] 但是我们不太能直接讲说是哪一个品牌
[1021.18-1023.10] 就是会牵涉到合约的问题
[1023.10-1031.90] 想请问Q2205台币升值对于汇率损失的情况
[1031.90-1036.54] 第二季应该会面临到蛮多的汇兑损失
[1036.54-1037.82] 没有错
[1037.82-1038.92] 但是我想应该
[1039.34-1042.66] 全部的有在跟美国交易有收美金的
[1042.66-1046.26] 大家遇到的状况应该都是差不多的
[1046.26-1049.06] 因为汇率确实是我们比较难控制的一环
[1049.06-1051.62] 但我们现在就是只能做好我们自己的本业
[1051.62-1058.54] 汇率那一部分就只能看到时候怎么应该说
[1058.54-1061.86] 因为你未实现的账面一定都还会认定
[1061.86-1065.26] 我们自己也是有在做一些避险的策略
[1065.26-1068.62] 只是在汇率上面一定多多少少都还是会有一些汇率损失
[1069.34-1077.76] 所以说
[1077.76-1080.24] 我们要往哪
[1081.82-1087.78] 至于我先u-iy和wii在几点一BACK
[1087.78-1089.62] 要先不过概了
[1095.14-1097.90] 大家都有所答案
[1097.90-1099.18] 我就有点感到 paling
[1099.18-1101.18] 这种电辅车是告诫的
[1103.94-1105.68] 营收和成本以美元计价
[1105.68-1109.24] 我们的营收约有6到7成来自于美国
[1109.24-1112.64] 所以营收大部分都是以美国美元算
[1112.64-1114.52] 但是成本我们在台湾制造
[1114.52-1115.68] 所以是用台币算
[1129.18-1136.96] 想请教车价的产能拼击解决的程度
[1136.96-1141.12] 你产能满载情况还缺多少车价
[1141.12-1144.48] 新的厂可以填满多少缺口
[1144.48-1147.00] 我们以第一季来说
[1147.00-1150.62] 车价大约就是少了大概
[1150.62-1156.68] 一个月我们原本当时预估一个月会出
[1156.68-1158.22] 1000
[1158.22-1159.16] 1000
[1159.18-1161.66] Some more than 1000
[1161.66-1162.14] umbles
[1162.14-1164.02] 但后来有少
[1164.02-1171.12] 我记得应该算是一个月大约300到500台车价的缺口
[1171.12-1174.88] 如果预估我们的新的厂的话
[1174.88-1179.58] 基本上就是赔满足我们现在产能
[1179.58-1182.14] 我们现在的缴费车的产能
[1182.14-1184.78] 就不太会有车价的问题
[1184.78-1188.82] 现在好像预计应该是今年年底的时候来改号
[1189.18-1196.26] 汇率升值的压力可否转嫁给客户
[1196.26-1200.20] 现在整个营收自由品牌跟代工的比重是多少
[1200.20-1203.46] 汇率的升值
[1203.46-1207.78] 目前我们转嫁给客户的比较好谈的话
[1207.78-1211.26] 可能就是在就是像生产基地
[1211.26-1213.72] 一回来台湾跟关税这些
[1213.72-1216.08] 那汇率的话基本上可能会比较困难
[1216.08-1218.18] 因为汇率它是每天都在变动的
[1219.18-1222.40] 但我们目前已经是有先涨到10到20%
[1222.40-1224.60] 到时候还是会再看情况
[1224.60-1227.92] 因为关税问题可能也都还会有一些变动
[1227.92-1230.46] 所以可能到时候还会再跟客户
[1230.46-1232.60] 就是持续的密切的下谈
[1232.60-1237.00] 整个营收自由品牌跟代工的比重是多少
[1237.00-1240.78] 目前我们如果是指全部
[1240.78-1242.40] 就是包含健身器材的话
[1242.40-1245.98] 其实我们大部分基本上都是自由品牌
[1245.98-1248.38] 我们现在只有脚踏车是做
[1249.18-1251.18] 带子装比较多
[1251.18-1253.48] 健身器材现在已经很少做带工
[1253.48-1257.56] 应该八成以上应该都是自由品牌的
[1257.56-1262.56] 如果是只要讲脚踏车的话
[1262.56-1265.80] 现在基本上很九成都是脚踏车
[1265.80-1266.84] 都是带子装的
[1266.84-1277.16] 这个品牌装装怎么这样
[1277.16-1279.02] 由我们健身器材受品牌的话
[1279.02-1279.16] 我们现在就来看这个品牌装装
[1279.18-1280.88] 我们中端都有涨价
[1280.88-1283.54] 一品向涨
[1283.54-1285.88] 就不是每一个产品都有涨
[1285.88-1289.12] 就是我们应该说我们有些产品
[1289.12-1292.64] 比方说我们涨价的有十个产品好了
[1292.64-1295.58] 但是中端涨价的不会就是十个产品都涨
[1295.58-1297.88] 会有大约七八个涨
[1297.88-1298.96] 会有几个不涨
[1298.96-1301.22] 因为其实还是要去看一下
[1301.22-1304.84] 就是中端消费者对于这个产品的需求
[1304.84-1307.32] 因为像有的真的是主打便宜的产品
[1307.32-1309.16] 就很难再去把它往上涨
[1309.18-1313.32] 那这部分我们都是有跟我们美国的
[1313.32-1315.86] 就是大客户有同步确认
[1315.86-1318.74] 因为我们售目前主要都是在美国销售
[1318.74-1322.16] 那售又分自由品牌跟实体的
[1322.16-1323.92] 实体的话就是给DSG
[1323.92-1325.56] 就是Dix Sporting Goods
[1325.56-1328.44] 然后我们就是有跟他们一起就同步
[1328.44-1332.22] 讲好说哪些产品在中端的价格会去做涨价
[1332.22-1338.98] 4月E-Bike的带子装出了多少
[1338.98-1340.98] 我们就来看看
[1340.98-1344.98] 4月的话我们有其实在脚踏车部分有遇到
[1344.98-1346.98] 就是传奇的问题
[1346.98-1349.98] 所以其实没有出的那么多
[1349.98-1351.98] 就有有点延后
[1351.98-1355.98] 就是传奇的安排有点延后
[1362.98-1365.98] 但其实4月的营收应该会更漂亮一点
[1368.98-1372.98] 所以这就是我们的一个提问
[1372.98-1373.98] 好
[1373.98-1374.98] 好
[1374.98-1375.98] 好
[1375.98-1376.98] 好
[1376.98-1377.98] 好
[1377.98-1378.98] 好
[1378.98-1379.98] 好
[1379.98-1380.98] 好
[1380.98-1381.98] 好
[1381.98-1382.98] 好
[1382.98-1383.98] 好
[1383.98-1384.98] 好
[1384.98-1385.98] 好
[1385.98-1386.98] 好
[1386.98-1387.98] 好
[1387.98-1388.98] 好
[1388.98-1389.98] 好
[1389.98-1390.98] 好
[1390.98-1391.98] 好
[1391.98-1392.98] 好
[1392.98-1393.98] 好
[1393.98-1394.98] 好
[1394.98-1395.98] 好
[1395.98-1396.98] 好
[1396.98-1397.98] 好
[1398.98-1400.98] purchase
[1400.98-1401.98] cill
[1402.42-1402.98] 好的
[1402.98-1403.82] 需要
[1403.98-1404.98] 对
[1404.98-1409.02] 
[1420.08-1421.96] 当然
[1421.98-1426.98] 我们ye
[1426.98-1427.98] 猜
[1427.98-1430.98] 所以就还在下场的阶段
[1443.98-1447.98] 目前电补车代工能提供服务的品项有哪些
[1447.98-1450.98] 你说我们出的电补车的品项
[1454.98-1456.98] 感觉比较pnct bike那种
[1457.98-1467.98] 因为是比较偏高阶的电补车
[1467.98-1470.98] 所以可能会比较倾向像cpbike的那种
[1486.98-1487.98] 福利报纸
[1487.98-1492.98] 想问一下目前能出的自由零组件是什么
[1492.98-1495.98] 比如说像车架还是
[1495.98-1498.98] 还是出整机
[1498.98-1505.98] 我们是说整机那有些会用自己零件的是
[1505.98-1507.98] 目前没有
[1507.98-1509.98] 所以车架那些都是外购的
[1509.98-1510.98] 对
[1510.98-1514.98] 所以未来的话还是都是移组到复回组
[1514.98-1517.98] 还是说你们会发展一些自己能提供的零件的
[1517.98-1519.98] 就是车架
[1519.98-1523.98] 目前如果车架可能以后就会是用自己的
[1523.98-1524.98] 用自己的
[1524.98-1526.98] 那未来还有其他的规划吗
[1529.98-1531.98] 目前只有听说车架
[1531.98-1534.98] 但如果之后有其他的机会可以提供其他零组件
[1534.98-1538.98] 当然也会想要去朝这方面努力
[1540.98-1544.98] 我想问一下这个部分的话毛利率跟利润大概是多少
[1544.98-1545.98] 因为其实
[1545.98-1547.98] 我觉得台湾好像也蛮多
[1547.98-1550.98] 就是厂商也在做这一块的
[1550.98-1553.98] 就是我看毛利率跟利润其实都算
[1553.98-1554.98] 就是比较偏
[1554.98-1558.98] 就跟你们目前平均毛利率是偏蛮低的
[1558.98-1561.98] 想问一下你目前这一块的想法
[1561.98-1567.98] 目前电腐车带组装的毛利率就大概三成左右而已
[1567.98-1570.98] 你说带组装毛利率有三成
[1570.98-1572.98] 因为我们是高阶的
[1572.98-1574.98] 我们产品是高阶的
[1574.98-1577.98] 所以我们的毛利率可以大约三成左右
[1577.98-1580.98] 但是比我们这些器材低
[1580.98-1584.98] 因为我们这些器材光是家用就有35到40
[1586.98-1588.98] 我想问一下就是说
[1588.98-1590.98] 因为我看有一些像比如说像达芳
[1590.98-1594.98] 或是有一些他们组装毛利才可能10到20%
[1594.98-1596.98] 所以30%是
[1596.98-1599.98] 就是您对高阶定义就是刚刚有提到
[1599.98-1603.98] 就是说10万块的台币的终端售价是这样的吗
[1603.98-1604.98] 对啊
[1604.98-1606.98] 就已经OK
[1606.98-1607.98] 嗯
[1607.98-1608.98] 所以目前还是
[1608.98-1610.98] 要看他们跟客户谈的状况
[1610.98-1613.98] 但我们大概就是抓三成
[1613.98-1617.98] 因为我们的我们其实应该说
[1617.98-1620.98] 像是我们上一个我们原本是聚称嘛
[1620.98-1622.98] 就是做带组装是聚称
[1622.98-1628.98] 那他现在的办公室其实就是跟我们台中代理家厂一起共用
[1628.98-1632.98] 所以光在成本上面其实我们就可以节省还蛮多的
[1632.98-1634.98] 就跟原有些人是可以共用的
[1634.98-1636.98] 像一些会计人员之类的
[1636.98-1637.98] 对啊
[1637.98-1641.98] 所以其实我们毛利差不多三成
[1641.98-1643.98] 因为是出高阶的产品
[1643.98-1644.98] OK
[1644.98-1650.98] 所以利润的话大概是各位数字还是以现在规模来看
[1650.98-1651.98] 嗯
[1651.98-1652.98] 对啊
[1652.98-1653.98] 可能差不多
[1653.98-1654.98] OK
[1654.98-1655.98] 好谢谢
[1655.98-1656.98] 不会
[1666.98-1696.98] 
[1696.98-1702.98] 那今天呃待与国际的线上法人说明会就到这边结束
[1702.98-1703.98] 那感谢大家的参与
[1703.98-1704.98] 谢谢大家
[1704.98-1705.98] 也谢谢小玉复理
[1705.98-1706.98] 谢谢
[1706.98-1708.98] 好祝大家投资顺利
[1708.98-1709.98] 拜拜
[1709.98-1711.98] 拜拜
