[0.00-3.24] 現在我們5月16號下午2點1分
[349.52-350.52] 這都簽回來
[352.52-353.52] 請問什麼
[353.52-354.52] 請問他叫什麼名字
[354.52-355.52] 是他這個簽名嗎
[356.52-358.52] 景隧
[358.52-359.02] 玉碩
[359.02-359.52] Severus
[359.52-360.52] release
[360.52-361.52] 和
[361.52-362.00] 所以
[364.52-365.52] 我問你
[365.52-366.52] 是誰
[366.52-367.52] 這是我
[371.52-372.52] 是豪邻
[372.52-381.52] 是華藝
[381.52-382.52] 跟
[382.52-384.52] erto
[384.52-385.52] 是 coherence
[385.52-386.52] 詳細就給您 gerek了
[386.52-409.52] 只有這個人在線上,其他人都退了
[416.52-426.52] 這個人在線上,其他人都退了
[426.52-436.52] 這個人在線上,其他人都退了
[436.52-444.52] 這個人在線上,其他人都退了
[444.52-454.52] 這個人在線上,其他人都退了
[454.52-464.52] 這個人在線上,其他人都退了
[464.52-471.52] 這個人在線上,其他人都退了
[471.52-472.52] 這個人在線上,其他人都退了
[472.52-473.52] 這類人的 Hoffext organize 世界是 ?
[473.52-474.52] 很美的 Ad disappearsか?
[534.52-537.52] 好像這樣才能用住
[594.52-596.92] 現在已經
[596.92-599.92] 沒有,那個沒有在這裡
[599.92-601.92] ABE啊
[624.52-654.02] 請問現在這樣子連線的畫面跟聲音都有清楚嗎?
[654.02-654.52] 對
[655.52-656.52] 不好意思
[662.52-663.52] 大家都聽到的話
[663.52-666.52] 那我們就繼續往下
[671.52-673.52] 那問題我們等一下再回來看
[673.52-676.52] 我先把所有的內容做一個報告
[676.52-679.52] 目前的在建案有21個公案
[679.52-682.02] 然後其中我們住宅的案件有5件
[682.02-683.52] 公務工程有9件
[683.52-684.02] 常辦商辦
[684.02-685.52] 常辦商辦類有7件
[685.52-689.52] 然後這些的總承攬額是新台幣552億
[689.52-691.02] 然後到4月底止呢
[691.02-694.52] 整個未實現的收入是383億
[694.52-699.02] 然後右邊就是我們這一些的在建公案的一個圖示
[702.52-705.02] 然後大家可以看到我們這邊的這個
[705.02-708.02] 業務發展的一個派圖
[708.02-711.02] 那我們依照這個營收的這個分布呢
[711.02-713.02] 我們即在去年底的時候
[713.02-714.02] 去年底的時候呢
[714.02-717.02] 我們的公共工程達到了5成
[717.02-718.52] 然後住宅2成
[718.52-720.52] 然後常辦約略是3成
[720.52-722.02] 那今年前4月呢
[722.02-725.52] 因為一些工程進度的一些安排
[725.52-727.52] 然後我們目前的公共工程
[727.52-729.52] 約略就是43%
[729.52-731.52] 住宅類是25%
[731.52-734.02] 然後常辦類的部分是32%
[737.02-743.02] 然後另外我們持續focus在我們技術開發的這個呈現
[743.02-747.52] 然後在設計階段我們持續做了BIM的低碳建築評估
[747.52-750.52] 還有可修飾樑柱接頭的專利
[750.52-751.52] 等這些研發
[751.52-753.52] 另外在施工階段呢
[753.52-757.52] 我們從事的是高強度鋼筋混凝土的新工法
[757.52-759.52] 跟專利鋼筋工法
[759.52-762.52] 還有專利測量技術追求精準施工
[762.52-764.52] 這樣子的工法的一個引進
[764.52-768.02] 然後持續朝向低碳永續發展的這個
[768.02-770.02] ESG的一個脈絡前進
[770.02-772.02] 然後在科技觀看的話呢
[772.02-773.02] 我們也有一個專利測量技術的一個引進
[773.02-774.02] 然後在管理的部分呢
[774.02-778.02] 我們不斷的追求這個數位科技的應用
[778.02-783.02] 包含在公務現場的一些管線的3D組裝圖的自動化
[783.02-785.02] 還有工程評檢的電子化
[785.02-787.02] 然後在幕僚支援的部分呢
[787.02-790.02] 持續進行的BIM的設計整合規劃
[790.02-793.02] 跟自動化程式計算材料數量
[793.02-797.02] 然後來落實這個數位科技應用的這個一個趨勢
[799.02-802.02] 然後另外在公司的企業社會責任方面呢
[802.02-803.02] 我們其實剛剛有提到
[803.02-807.02] 我們是得到114年度的台北市勞動安全獎
[807.02-810.02] 得獎的這個工地是我們在中山區的
[810.02-813.02] 例行設宅的住宅興建工程的這個工地
[813.02-818.02] 那我們其實有得到這個優良人員的獎項
[818.02-820.02] 另外還有得到這個公安創意獎
[820.02-825.02] 主要在這個防治墜落跟人因性危害的部分呢
[825.02-828.02] 有一個公安創意的一個設計
[828.02-832.02] 另外在這個利害關係人的部分呢
[832.02-835.02] 我們持續進行這個利害關係人的問卷
[835.02-839.02] 然後跟公司的這個疑慮相關的環節
[862.02-864.02] 我們相信 종來在別的病房
[864.02-865.02] наши人已經將政府做到已經匀的卷包
[880.02-885.02] 勞動ジバン
[885.02-887.02] 沒有國家去仰望
[887.02-889.02] 但是我們就需要卷包
[889.02-890.02] 這些是什麼
[890.02-891.02] 賓州公民!!!!
[892.02-895.02] 有問題,我們可以要求一下
[897.02-900.02] 因為我發現他現在手機包會累
[907.02-910.02] 現在應該有人上,那裡面就很少人
[911.02-914.02] 就是說日本也沒有加在Rain裡面
[914.02-916.02] 有,看一下
[916.02-922.02] 有,有,有
[922.02-924.02] 有人進來
[929.02-932.02] 那參加會外面,參加會議的人會講嗎
[932.02-934.02] 或是像電視出來的主持人
[934.02-939.02] 那現在這樣子還斷斷續續嗎
[939.02-941.02] 我們的聲音大家聽得到嗎
[941.02-945.02] 可以看得到簡報的內容嗎
[945.02-946.02] 可以看得到簡報的內容嗎
[946.02-951.02] 現在是別讓論斷掉
[955.02-958.02] 我們這個一定,我們用這個軟體嘛
[958.02-962.02] 不能用別的資訊的工具
[962.02-965.02] 沒有,我們用規定
[965.02-966.02] 對,但是我們
[966.02-968.02] 只要你過時的時間
[968.02-971.02] 我們這種對外人很勉強
[971.02-974.02] 都要聽的,對,要聽
[974.02-976.02] 因為聽死的話就死了
[976.02-978.02] 所以我們只能用電腦,就不能用電腦
[978.02-980.02] 可是他一樣可以看得到
[980.02-981.02] 他可以看得到嗎
[981.02-982.02] 簡報
[982.02-983.02] 對,他可以看得到
[983.02-986.02] 但是就是不用視訊的
[986.02-988.02] 因為就是變成只能用電腦
[988.02-994.02] 電腦的那個收音跟放鬆是比較好一點的
[994.02-996.02] 這裡比較看得到
[1002.02-1005.02] 今天我先弄好
[1006.02-1007.02] 我們讓他朋友看 initially
[1007.02-1015.02] 剛剛很想要模糊掉
[1015.02-1034.02] 然後先它的困境
[1064.02-1074.12] 那我們重新又連線了
[1074.12-1074.58] 不好意思
[1074.58-1076.98] 今天的Zoom的這個主題有點問題
[1076.98-1082.38] 那我們這個在這個利害關系的部分
[1082.38-1086.62] 我們就是持續會進行與公司營運相關的
[1086.62-1089.74] 這些環境永續跟社會和諧的經營議題
[1089.74-1091.10] 進行風險評估
[1091.10-1093.66] 然後我們今年剛好也擔任這個
[1093.66-1097.00] 臺北市營造工地自主管理策略聯盟的盟主
[1097.00-1102.92] 然後進行這個智慧防災科技營造融合的
[1102.92-1105.64] 一個觀摩學習
[1105.64-1108.74] 然後進行這個利害關系人的溝通
[1108.74-1112.04] 然後另外在公司治理部分
[1112.04-1116.74] 我們在2024年的第11屆的公司治理評鑑
[1116.74-1119.72] 我們為時跟2023年的成績是
[1119.72-1120.86] 評鑑結果
[1120.86-1127.06] 6到20%的這個公司
[1127.06-1132.22] 然後也在這個市值50到100億的這個公司裡面
[1132.22-1134.50] 得到前5%的這個一個
[1134.50-1136.86] 評鑑的一個成績
[1136.86-1139.42] 然後目前有16家上市櫃公司
[1139.42-1141.46] 是評鑑結果在前5%
[1150.86-1161.18] 西安社長
[1161.18-1167.26] 銀行手提 singer 指導
[1167.26-1169.34] 소� congratulations
[1169.34-1171.02] 沒有像線上那樣
[1171.02-1176.00] 居然在 LEAK 開設當地暴風雨
[1176.00-1178.76] 這是學校計畫平台的表演
[1178.76-1179.98] wards Ping Tower  músicaamiовать allá
[1179.98-1180.72] 那個都是收音所講的
[1180.72-1180.84] 有沒有視訊紀錄 daude tv 做 Utah 了嗎onden umph 向下一批動畫機兒電話打結果可以輸給 disturb mereca Turner 很不容易用通 entend難換電話加電 uit all obeng to obe fel rushing to email and dubbing all the international cource and hope you can see us again could plants giant car cars and YOTS enjoy einen extra great support from the community everyone in Hong Kong
[1180.86-1182.86] 這一直錄
[1188.86-1190.86] 人家會跑來
[1190.86-1192.86] 到現場來看
[1194.86-1196.86] 因為你那邊
[1196.86-1198.86] 你現在看得到嗎
[1198.86-1200.86] 對,可以看到你都不可能
[1200.86-1202.86] 像
[1202.86-1204.86] 不知道耶
[1204.86-1206.86] 因為我現在沒辦法
[1206.86-1208.86] 這個連切換裝的都
[1208.86-1210.86] 可以
[1216.86-1218.86] 因為之前不是有龍哥講話
[1218.86-1220.86] 會有回音
[1220.86-1222.86] 對,會有回音的
[1222.86-1224.86] 可是
[1224.86-1226.86] 那個回音是只有我們聽得到
[1226.86-1228.86] 就是我們這邊一直在回音
[1228.86-1230.86] 一直在回音
[1230.86-1232.86] 應該熟悉的時候會
[1232.86-1234.86] 他們會聽到一點雜音
[1234.86-1236.86] 對,會有聽到
[1236.86-1238.86] 因為龍哥本身他的
[1238.86-1240.86] 聲音出來
[1240.86-1242.86] 然後又回去
[1242.86-1244.86] 他們就會聽到
[1244.86-1246.86] 就是講的聲音一直重複
[1246.86-1248.86] 又加入了
[1248.86-1250.86] 我現在很怕
[1250.86-1252.86] 這個社會有一點問題
[1252.86-1254.86] 會進來出去
[1254.86-1256.86] 進來出去
[1256.86-1258.86] 很少遇到這種情況
[1258.86-1260.86] 對啊
[1260.86-1262.86] 因為小時候滿穩的
[1262.86-1264.86] 就有些人在許約
[1264.86-1266.86] 就有些人
[1266.86-1268.86] 去
[1268.86-1270.86] 就有些人去
[1270.86-1272.86] 去
[1272.86-1274.86] 去
[1274.86-1276.86] 去
[1276.86-1278.86] 去
[1278.86-1280.86] 去
[1280.86-1282.86] 去
[1282.86-1284.86] 去
[1284.86-1286.86] 去
[1286.86-1288.86] 去
[1288.86-1290.86] 去
[1290.86-1292.86] 去
[1292.86-1294.86] 去
[1294.86-1296.86] 去
[1296.86-1298.86] 去
[1298.86-1300.86] 去 society
[1300.86-1301.86] 我這個用腦
[1301.86-1302.86] 微量
[1302.86-1303.86] 這個
[1303.86-1305.86] 
[1305.86-1307.86] 好
[1307.86-1308.86] 我不會
[1308.86-1310.86] 走吧
[1310.86-1312.86] 後面
[1312.86-1317.86] atra
[1327.50-1328.46] 連線
[1328.46-1328.86] 沒有
[1328.86-1330.86] 沒有
[1330.86-1332.86] 我解決我
[1332.86-1334.86] 沒有沒有沒有
[1334.86-1336.86] 有三個也先是
[1342.86-1344.86] 對他
[1344.86-1348.86] 還是你要再跟他玩
[1348.86-1350.86] 沒錯
[1350.86-1352.86] 他現在沒有
[1352.86-1354.86] 就是在吃飯
[1354.86-1356.86] 在吃飯
[1356.86-1358.86] 還是你回音就回音吧
[1358.86-1360.86] 是不是繼續看
[1360.86-1362.86] 對那怎麼辦
[1362.86-1364.86] 把他的麥克風跟喇叭都打開
[1364.86-1366.86] 對
[1366.86-1368.86] 他應該也
[1368.86-1370.86] 需要這個也看得到
[1370.86-1372.86] 等一下喔
[1372.86-1374.86] 那都可以先收起來
[1374.86-1376.86] 先收起來
[1376.86-1378.86] 因為他們可以看到
[1378.86-1380.86] 一定可以看到你的
[1380.86-1382.86] 現在就是你講話的聲音
[1382.86-1384.86] 講話聲音就是都打開
[1384.86-1386.86] 音訊打開
[1386.86-1388.86] 我怎麼怎麼聽得到
[1388.86-1390.86] 那這樣子聽得到聲音嗎
[1390.86-1392.86] 我們現在用另外一個方式
[1398.86-1400.86] 好那我們不好意思我們就用這個方式
[1400.86-1402.86] 然後如果不清楚的時候再讓我們知道
[1402.86-1404.86] 那我們這邊就進行到
[1404.86-1406.86] 這個投影片的最後一頁
[1406.86-1408.86] 就是我們
[1410.86-1412.86] 就是在這個市值50到100億的
[1412.86-1414.86] 這個公司的
[1414.86-1416.86] 類別前的1%
[1416.86-1418.86] 那以上就是我們這次法說會的
[1418.86-1420.86] 一個準備的一個內容
[1420.86-1422.86] 那我們先回到這個剛剛有
[1422.86-1424.86] 先進門問的
[1424.86-1426.86] 問題
[1426.86-1428.86] 先回到第一個
[1428.86-1430.86] 第一個是新玉問的
[1430.86-1432.86] 您問到的是這個資產負債表的
[1432.86-1434.86] 金融資產的變動
[1434.86-1436.86] 然後這個部分其實
[1436.86-1438.86] 這裡面的金融資產的
[1438.86-1440.86] 變動其實屬於這個類別的
[1440.86-1442.86] 有包括貨幣型基金
[1442.86-1444.86] 有包括股票跟股票型基金
[1444.86-1446.86] 債券型基金然後這個部分
[1446.86-1448.86] 都是我們在進行一個
[1448.86-1450.86] 資產配置的時候的
[1450.86-1452.86] 會配置的一個部分
[1452.86-1454.86] 所以其實有增加其實也主要是
[1454.86-1456.86] 因為之前有一些存款到期
[1456.86-1458.86] 然後我們把它轉到
[1458.86-1460.86] 這個流動性強的
[1460.86-1462.86] 這個貨幣型基金做一個配置
[1462.86-1464.86] 這個主要先
[1464.86-1466.86] 最近這個
[1466.86-1468.86] 這個問題做一個說明
[1468.86-1470.86] 另外第二題有一個問到的是
[1470.86-1472.86] 關稅的影響
[1472.86-1474.86] 對公司的影響程度
[1474.86-1476.86] 這個部分呢因照我們
[1476.86-1478.86] 目前的這個得到的資訊
[1478.86-1480.86] 跟一個判斷因為我們公司是
[1480.86-1482.86] 兩端都在內的就是我們
[1482.86-1484.86] 客戶在國內然後廠商
[1484.86-1486.86] 也在國內所以我們目前
[1486.86-1488.86] 對這個關稅的影響呢
[1488.86-1490.86] 目前的評估是在
[1490.86-1492.86] 可控的一個範圍
[1492.86-1494.86] 好
[1494.86-1496.86] 然後再來有問到的是
[1496.86-1498.86] 住宅公共工程跟
[1498.86-1500.86] 廠辦商辦的毛利率
[1502.86-1504.86] 這個部分我們其實
[1504.86-1506.86] 不方便就各個這個
[1506.86-1508.86] 大項去進行一個
[1508.86-1510.86] 個別的一個說明
[1510.86-1512.86] 那其實大家可以看到
[1512.86-1514.86] 反正我們平均在這樣子的
[1514.86-1516.86] 投資組這樣的這個佈局的
[1516.86-1518.86] 組合裡面我們的第一季的毛利率
[1518.86-1520.86] 是15%我們沒有辦法
[1520.86-1522.86] 就個別的這個項目去做
[1522.86-1524.86] 一個毛利率的一個大概
[1524.86-1526.86] 跟各位的一個說明
[1526.86-1528.86] 近年來毛利率
[1528.86-1530.86] 提升的原因
[1534.86-1536.86] 目前毛利率提升的原因
[1536.86-1538.86] 主要是完工案
[1538.86-1540.86] 完工案的部分呢這個
[1540.86-1542.86] 業主的追加的部分
[1552.86-1554.86] 那請問還有其他的
[1554.86-1556.86] 問題嗎
[1562.86-1564.86] 怎麼看造價變化
[1564.86-1566.86] 那我請我們
[1566.86-1568.86] 業務劉副總回答
[1578.86-1580.86] 各位好
[1580.86-1582.86] 我們看
[1582.86-1584.86] 造價當然以目前來看
[1584.86-1586.86] 原物料
[1586.86-1588.86] 雖然鋼筋是
[1588.86-1590.86] 比較持穩
[1590.86-1592.86] 但是其他的部分還是
[1592.86-1594.86] 微幅上揚那另外尤其
[1594.86-1596.86] 工資的部分也是
[1596.86-1598.86] 目前來講也還是有
[1598.86-1600.86] 微幅上揚
[1600.86-1602.86] 所以造價的部分應該在
[1602.86-1604.86] 未來還是我們很重要
[1604.86-1606.86] 一個競爭力的
[1606.86-1608.86] 要呈現的
[1608.86-1610.86] 這一個部分
[1610.86-1612.86] 也就是怎麼如何控制我們的成本
[1612.86-1614.86] 然後能夠取得
[1614.86-1616.86] 承攬案
[1616.86-1618.86] 好謝謝
[1622.86-1624.86] 以目前我們的
[1624.86-1626.86] 今年的規劃我們大概
[1626.86-1628.86] 還是以100億到150億
[1628.86-1630.86] 這個區間
[1630.86-1632.86] 來做我們承攬量的
[1632.86-1634.86] 這個規劃
[1644.86-1646.86] 請問還有沒有問題
[1646.86-1648.86] 或者是對剛剛的
[1648.86-1650.86] 一個說明還需要補充的嗎
[1654.86-1656.86] 好的
[1656.86-1658.86] 好
[1658.86-1660.86] 好
[1660.86-1662.86] 好
[1662.86-1664.86] 好
[1664.86-1666.86] 好
[1666.86-1668.86] 好
[1668.86-1670.86] 好
[1670.86-1672.86] 好
[1672.86-1674.86] 好
[1674.86-1676.86] 好
[1676.86-1678.86] 好
[1678.86-1680.86] 好
[1680.86-1682.86] 好
[1682.86-1684.86] 好
[1684.86-1686.86] 好
[1686.86-1688.86] 好
[1688.86-1690.86] 好
[1690.86-1692.86] 好
[1692.86-1694.86] 好
[1694.86-1696.86] 好
[1696.86-1698.86] 好
[1698.86-1700.86] 好
[1700.86-1702.86] 好
[1702.86-1704.86] 好
[1704.86-1706.86] 好
[1706.86-1708.86] 好
[1708.86-1710.86] 好
[1710.86-1712.66] 從20剛剛的那個損益表
[1712.66-1714.80] 其實2023、2024
[1714.80-1716.56] 2023那一年比較低
[1716.56-1719.16] 其實是那一年有一個單案的損失
[1719.16-1720.60] 一次性的認列
[1720.60-1723.40] 然後後面其實到2024、2025
[1723.40-1725.10] 其實我們這個毛利率
[1725.10-1728.18] 其實都是有一些提升
[1728.18-1730.62] 其實除了這個業主
[1730.62-1733.04] 之前提到的這個完工案的業主追加
[1733.04-1734.88] 另外還有其實就是
[1734.88-1738.02] 我們一些廠辦的一些配置
[1738.02-1739.18] 然後另外公眾工程
[1739.18-1741.48] 其實都有一個相對穩定的一個毛利率
[1741.48-1744.68] 所以整個其實是形成
[1744.68-1748.36] 我們現在一個毛利率的一個情況
[1748.36-1750.26] 你說今年還會處分造聯嗎
[1750.26-1753.30] 那這是其實是我們這個投資事業的佈局
[1753.30-1755.50] 我們還是會持續看這個
[1755.50-1759.30] 後續的一個走勢進行一個調控
[1769.18-1774.68] 請問還有
[1774.68-1777.36] 對剛剛的說明還需要補充
[1777.36-1779.42] 還是還有其他問題嗎
[1779.42-1788.70] 廠辦和公共工程的毛利率比以前高
[1788.70-1792.34] 您的問題是指我們新接的案的廠辦
[1792.34-1795.28] 和公共工程的毛利率比以前高
[1795.28-1797.20] 您的問題是這樣子
[1797.20-1799.18] 新接的部分
[1799.18-1812.96] 現在市場的變化是比較多
[1812.96-1818.64] 那我們當然希望持續能夠維持我們的毛利率
[1818.64-1823.14] 所以重點還是我們自己的那個管控的部分
[1823.14-1825.10] 那以上這邊做個說明
[1829.18-1835.08] tittana
[1849.24-1850.60] 請問
[1850.60-1852.80] 還有其他的問題嗎
[1859.18-1864.68] 那因為現在已經2點32分
[1864.68-1865.28] 然後不好意思
[1865.28-1868.22] 今天的這個Zoom的這個連線不是很穩定
[1868.22-1870.18] 那主要如果沒有的話
[1870.18-1873.68] 我們就謝謝各位的投資先進今天的參加
[1873.68-1877.74] 那我們今天的這個第一次法說會就到這邊結束
[1877.74-1878.04] 謝謝
