[0.00-2.40] 各位投資先進下午好
[349.36-353.98] Intel跟AMD的定義是說它的CPU裡面下一個MPU
[353.98-357.18] 所以是整形網路晶片之後
[357.18-359.54] 這樣子的PC就叫AIPC
[359.54-363.80] 這樣的AIPC事實上不能執行
[363.80-371.40] 像Deep Sink,連Deep Sink這樣子簡化的model的AI軟體都沒有辦法跑
[371.40-379.20] 所以真正的PC要裝到
[379.20-384.56] 就是一個可以做AI的PC
[384.56-386.24] 硬體的要求實在很高
[386.24-391.38] 就是你目前的Deep Sink的話
[391.38-392.96] GPU加一顆絕對不行
[392.96-394.82] 大概要加八顆
[394.82-398.42] 然後Memory容量要很大
[398.42-403.36] SSD的容量也要變很大才行
[403.36-408.62] 就是至少還是設備整齊的東西啦
[408.62-409.06] 然後
[409.06-413.10] 即使這樣弄了之後
[413.10-414.90] 最後
[414.90-418.82] 真正的AI的服務可以
[418.82-420.58] 可以成為
[420.58-422.18] 真的有市場需求的話
[422.18-423.18] 還是在雲端做
[423.18-424.94] 因為你只要每個月交一點錢
[424.94-426.66] 就可以做事情
[426.66-429.86] 而且你如果真的買硬體的話
[429.86-432.54] 硬體買下去你就開始懷疑
[432.54-434.06] 因為第二年之後
[434.06-436.54] 你的硬體的計算能力已經不行了
[436.54-437.66] 到第三年
[437.66-438.96] 第二年第三年之後
[438.96-439.04] 更難了
[439.04-440.80] 就不知道怎麼辦
[440.80-444.68] 但是如果你是去跟雲端買service
[444.68-445.92] 反正交一樣的錢
[445.92-446.60] 他們不會一直
[446.60-449.08] 他不會隨心的算你給你
[449.08-451.76] 而且那個因為你自己買個PC
[451.76-452.84] 那些Model
[452.84-453.56] 新出來的Model
[453.56-455.72] 你又搞半天把它裝上去
[455.72-456.96] 要幹嘛的
[456.96-458.86] 煩死了
[458.86-460.46] 所以就是
[460.46-462.72] 等一下就有人要問我Edge
[462.72-466.12] 就先分析給你聽
[466.12-468.88] Edge computing教學實名都沒有用的問題
[468.88-469.88] 就在這裡
[469.88-473.88] 買了硬體之後當場就後悔
[473.88-475.60] 規格當場就不行
[475.60-481.24] 非AI產業的需求還是看不到亮點
[481.24-489.12] 最近有人搞什麼眼鏡
[489.12-491.80] AI眼鏡這些事情
[491.80-494.80] 其實都是那個人
[494.80-498.72] 就是舊的發起重新再想
[498.72-501.64] 會不會會少會少
[501.64-503.72] 所以眼鏡這個事情我就一直搞不懂
[503.72-505.04] 因為像我是在
[505.04-506.36] 我不帶眼鏡眼鏡
[506.36-508.04] 我是帶近視眼鏡的
[508.04-509.24] 我又要買AI眼鏡
[509.24-517.08] 我到底是去3C店買還是去眼鏡店
[517.08-519.12] 那川普的那個關稅政策
[519.12-520.72] 這個東西我們一樣的
[520.72-521.76] 就是
[521.76-522.48] 就是哇
[522.48-524.28] 因為
[524.28-526.60] 一來川普關稅的事情
[526.60-528.56] 他商業一直搞夠
[528.56-531.20] 這不是什麼新鮮事
[531.20-532.32] 那頂多是說
[532.32-537.04] 那個家的稅率可能會不太一樣
[537.04-539.08] 但是
[539.08-540.88] 那個
[540.88-544.28] 他商業的我們這個產業鏈怎麼應對
[544.28-545.72] 這一次大概是怎麼應對
[545.72-547.32] 而且
[547.32-550.04] 那個
[550.04-550.80] 川普下來
[550.80-552.88] Python上來之後的
[552.88-553.72] 可是
[553.72-556.76] 美國關稅並沒有取消
[556.76-558.56] 所以產業鏈其實
[558.56-559.56] 該怎麼適應
[559.56-561.48] 都已經適應的差不多了
[561.48-563.84] 現在剩下的就是一些明星像什麼
[563.84-566.60] 行政者威脅說對台灣
[566.60-568.44] 生產的精品要加大量資產關稅
[568.44-570.04] 這個事情
[570.04-572.16] 那個
[572.16-573.92] 後續影響的這件事情
[573.92-576.12] 就繼續看
[576.12-578.52] 然後至少對我們公司來講
[578.52-579.52] 就是
[579.52-582.44] 不管是他對什麼國家收稅
[582.44-584.24] 人權這個事情
[584.24-586.36] 對整個產業都一樣
[586.36-587.72] 並不是只有對我們公司
[587.72-588.52] 所以
[588.56-590.28] 其實整個怎麼應對
[590.28-591.76] 其實也是整個
[591.76-593.32] 台灣產業一起應對
[593.32-596.56] 我們是跟著大家的政策做就是
[596.56-598.96] 然後
[598.96-600.84] 電視面板
[600.84-603.40] 機械電視面板
[603.40-604.00] 那個
[604.00-605.56] Moyer跟諾布的電視面板
[605.56-606.48] 並沒有很多
[606.48-609.20] 就是電視面板的價格稍微
[609.20-610.08] 這個是
[610.08-611.08] 最近
[611.08-613.16] 一兩年比較少見的事情
[613.16-614.12] 那
[614.12-616.08] 會出現這個事情
[616.08-617.20] 最主要原因還是
[617.20-618.40] 面板上產能現在還是
[618.56-620.56] 只開了六七成而已
[620.56-622.56] 就是看他們產能調控
[622.56-624.56] 那個
[624.56-626.56] 調控多一點價格才能上去
[626.56-628.56] 另外一個
[628.56-630.56] 比較難以的原因是
[630.56-632.56] 去年大陸不是有好多貼換區
[632.56-634.56] 所以確實刺激了很多
[634.56-636.56] 電視的
[636.56-638.56] 面板的量
[638.56-640.56] 但是那個
[640.56-642.56] 雖然今年甚至還在
[642.56-644.56] 今年我們產值的效益不夠
[644.56-646.56] 因為這個東西是提前消費
[646.56-647.56] 這麼一天消費完之後
[647.56-649.56] 那個
[649.56-650.56] 你都已經去換新的
[650.56-651.56] 不可能再拿新的
[651.56-653.56] 一年新的都會再去換新的
[653.56-655.56] 所以
[655.56-657.56] 這個事情就是包括什麼
[657.56-659.56] 那個拉貨潮啊
[659.56-661.56] 換機潮這些東西
[661.56-662.56] 都不是好事
[662.56-663.56] 因為那個
[663.56-665.56] 那個零肉業績
[665.56-666.56] 並沒有變大
[666.56-667.56] 提前消費
[667.56-669.56] 結果就是
[669.56-671.56] 後面的
[671.56-673.56] 那個生意會變少
[673.56-675.56] 那些
[675.56-677.56] 那些拉貨大家會趕著辦事
[677.56-679.56] 那個
[679.56-681.56] 最後總共加起來的
[681.56-683.56] 一整年賺下來加起來的生意
[683.56-684.56] 沒有變多
[684.56-686.56] 就在那邊下盲貨了
[686.56-688.56] 我們希望就是市場整個都穩定
[688.56-690.56] 大家都是穩定的
[690.56-692.56] 在生產在銷售這樣最好
[692.56-694.56] 好
[694.56-696.56] 然後
[696.56-698.56] DDR5的PMIC的事情
[698.56-700.56] 其實那個格局
[700.56-701.56] 事實上不會變
[701.56-703.56] 因為
[703.56-705.56] 我們的客戶都是兼用外商的
[705.56-707.56] 因為
[707.56-709.56] PTT號規格其實一直有在
[709.56-710.56] 一個
[710.56-711.56] 一個絕對的
[711.56-712.56] 的community上
[712.56-713.56] 宣布
[713.56-714.56] 就是叫台規格
[714.56-715.56] 然後一個PTT號也是一樣
[715.56-716.56] 都是
[716.56-718.56] 因為
[718.56-719.56] 那個
[719.56-720.56] 事情都解釋不透
[720.56-721.56] 只要是
[721.56-722.56] 國際高層的
[722.56-724.56] 有台積貨或是絕對這種東西
[724.56-725.56] 其實
[725.56-727.56] 那個
[727.56-728.56] State定的時候
[728.56-729.56] 是
[729.56-731.56] 外商東西都已經做好了
[731.56-733.56] 他們如果東西沒有做好
[733.56-734.56] 就不想重新規格
[734.56-736.56] 那最後規格Final是
[736.56-738.56] 沒有上直線產品的規格
[738.56-739.56] 到最後
[739.56-740.56] 取得一個公司之後才
[740.56-742.56] 才是必成Final版
[742.56-743.56] 所以
[743.56-745.56] 當我們現在在community裡面可是
[745.56-747.56] 我們拿到的就是
[747.56-749.56] 那個開發的
[749.56-751.56] 產品出來的時候
[751.56-752.56] 應該比他們晚一點
[752.56-753.56] 所以
[753.56-754.56] 那個客戶那邊也是
[754.56-755.56] 用外商的
[755.56-757.56] 先上去養殘
[757.56-759.56] 那我們要
[759.56-761.56] 爭取W的時間點
[761.56-762.56] 也要比他們晚
[762.56-763.56] 所以
[763.56-764.56] 這個
[764.56-765.56] DDR5的
[765.56-768.56] 像DDR這種有
[768.56-770.56] 絕對規格的東西
[770.56-772.56] 不是說被運転
[772.56-774.56] 被運転認證完之後
[774.56-775.56] 就很順利
[775.56-776.56] 是
[776.56-777.56] 那個只是輪票
[777.56-780.56] 真正的問題是怎麼去從
[780.56-782.56] 已經在賣的外商裡面
[782.56-784.56] 拿到那個Market share
[784.56-785.56] 那
[785.56-787.56] 這次需要時間
[787.56-788.56] 就是
[788.56-790.56] 你是如果在運到
[790.56-792.56] 我只能講說這個東西就是
[792.56-793.56] 就是這樣弄
[793.56-794.56] 一個
[794.56-796.56] 外商先吃到市場後
[796.56-797.56] 慢慢去吃到市場
[797.56-798.56] 這個事情做了很多年
[798.56-800.56] 就是這樣子
[800.56-803.56] 等久了市場就會做到
[803.56-805.56] 然後接下來是
[805.56-807.56] 中國內捲的事情
[807.56-808.56] 就繼續捲吧
[808.56-810.56] 那個
[810.56-812.56] 只要他們國運
[812.56-814.56] 大陸國運的經濟沒有
[814.56-816.56] 明顯的好轉之前
[816.56-818.56] 他們就怎麼繼續捲下去
[818.56-821.56] 所以這個也不是我們控制的
[821.56-823.56] 之前也解釋過說我們其實大部分產業
[823.56-825.56] 都不跟他們競爭了
[825.56-827.56] 就
[827.56-829.56] 那個
[829.56-831.56] 欸
[831.56-833.56] 就
[833.56-835.56] 基本上其實就是
[835.56-837.56] 看
[852.40-853.56] 包括
[853.56-855.56] 那個經驗製造
[855.56-856.56] 大家也都知道
[856.56-857.56] 成熟
[857.56-859.56] 成熟的那個
[859.56-861.56] 成熟經驗製造的
[861.56-863.56] 直接給大陸公司一樣被追上來
[863.56-865.56] 就用產能跟力拼
[865.56-867.56] 那
[867.56-869.56] 像TIO
[869.56-871.56] Device這種公司也沒有辦法繼續成長
[871.56-872.56] 我們應該
[872.56-875.56] 台灣公司應該有辦法找到
[875.56-877.56] 適當的路可以去維持成長
[877.56-879.56] 那
[879.56-881.56] 所以就總結就是
[881.56-883.56] 所有工業用的東西
[883.56-885.56] 繼續做
[885.56-887.56] 所有活動也繼續做
[887.56-889.56] 一個
[889.56-891.56] 就前幾天看到
[891.56-893.56] TIO的那個
[893.56-895.56] 訪問後
[895.56-897.56] 我怎麼會想那個
[897.56-899.56] 就是
[899.56-900.56] 去年
[900.56-902.56] 2024年TIO的
[902.56-904.56] 一月免車用占百分之三次
[904.56-907.56] 工業用占百分之三次
[907.56-910.56] 所有占百分之五
[910.56-912.56] 這幾個加起來
[912.56-914.56] 無法的釋放
[914.56-916.56] 那它的剩下的
[916.56-918.56] 那個PC啊
[918.56-920.56] consumer這個東西
[920.56-922.56] 要不就不加起來
[922.56-924.56] 在占了很多
[924.56-926.56] 所以這很明顯這個是一個
[926.56-930.56] 就是長期生長的趨勢
[930.56-932.56] 那車用
[932.56-934.56] 其他車用占百分之五
[934.56-936.56] 只剩下百分之五
[936.56-938.56] 百分之五
[938.56-940.56] 所以有剩百分之五應該是
[940.56-942.56] 就是一個
[942.56-944.56] 它在搜索這個
[944.56-945.56] 骨折的平面
[945.56-948.56] 特別的用力去爭取
[948.56-950.56] 所以跟NPS啊
[950.56-953.56] 直接給錢占到
[953.56-956.56] 占到那一圈
[956.56-957.56] 好
[957.56-958.56] 然後就
[958.56-961.56] 一樣就是持續增加研發人力
[961.56-963.56] 因為之前講過了
[963.56-965.56] RD的那個
[965.56-967.56] 固定的那一行是
[967.56-970.56] 是不會做限制
[970.56-972.56] 只是找到的人
[972.56-975.56] 人才不容易找
[975.56-977.56] 好
[977.56-979.56] 好
[979.56-981.56] 好
[981.56-983.56] 謝謝董事長的分享
[983.56-985.56] 那現在歡迎各位投資先進
[985.56-987.56] 直接打開麥克風
[987.56-988.56] 進行提問
[988.56-991.56] 或使用我們的聊天室提問
[991.56-993.56] 最好用聊天
[993.56-994.56] 不會這樣
[994.56-996.56] 那個文字大家都會看到不會忘記
[996.56-998.56] 好
[998.56-1003.56] 那如果各位投資先進
[1003.56-1005.56] 有其他的問題的話
[1005.56-1008.56] 歡迎直接使用聊天室打字出來
[1008.56-1010.56] 那董事長這邊會看到
[1010.56-1013.56] 那我這邊也會幫忙提問
[1013.56-1022.56] 今天那個會應該盡量不會開太久
[1022.56-1024.56] 因為那個
[1024.56-1026.56] 那個政教水規定一年要錄兩次
[1026.56-1027.56] 錄以兩次
[1027.56-1030.56] 那個做太久那個檔案太大
[1030.56-1032.56] 上傳了之後傳到快死掉
[1032.56-1035.56] 他還有一個奇怪的部分是
[1035.56-1038.56] 今天不知道今天下班生一定要上傳上去
[1038.56-1039.56] 好
[1039.56-1044.56] 那董事長這邊聊天室有開始有問題的提問
[1044.56-1046.56] 那個無窮
[1046.56-1047.56] 未選的無窮
[1047.56-1050.56] 那個今年微幅真的有下降空間嗎
[1050.56-1054.56] 這個應該是新同學就是
[1054.56-1056.56] 有關微幅價格
[1056.56-1058.56] 我們都不能講
[1058.56-1060.56] 就是新聞上頭
[1060.56-1062.56] 那個哪一家誰降多少
[1062.56-1064.56] 那些新聞自然都會出來
[1064.56-1067.56] 因為那個cover這些青年場的人
[1067.56-1069.56] 一定會挖這種消息出來
[1069.56-1071.56] 我們是不能講的
[1073.56-1076.56] 然後世界數資本的
[1076.56-1079.56] 全面降價
[1079.56-1082.56] 主要是合同產品運用
[1082.56-1084.56] 其實
[1084.56-1090.56] 其實那個降價會影響到
[1090.56-1092.56] 我們毛利率的東西其實
[1092.56-1095.56] 一定是要營業夠大
[1095.56-1099.56] 量夠大的東西才會有影響
[1099.56-1101.56] 那其實就是
[1101.56-1106.56] 這種東西也比較被競爭者拼上
[1106.56-1107.56] 就是量大
[1107.56-1110.56] 量大東西他都會去搶
[1110.56-1113.56] 那個我們為了要
[1113.56-1115.56] 守住市佔率的時候
[1115.56-1119.56] 就只好跟著調一些
[1119.56-1121.56] 之前也解釋過說
[1121.56-1123.56] 其實我們會撞到
[1123.56-1126.56] 大股降價產品現在已經越來越少
[1126.56-1128.56] 我先
[1134.56-1136.56] 聽
[1136.56-1137.56] 因為比較高
[1137.56-1138.56] 正在錄製
[1138.56-1140.56] 秉惠總指揮議
[1140.56-1141.56] 其實
[1141.56-1143.56] 我沒有把我移成位置
[1143.56-1148.56] 我們出貨都是跟著客戶走
[1148.56-1150.56] 沒夠合理
[1150.56-1152.56] 就反正
[1152.56-1154.56] 我們一股的業績
[1154.56-1156.56] 就是要比去年
[1156.56-1158.56] 就是
[1158.56-1160.56] 相對
[1160.56-1162.56] 去年的
[1162.56-1164.56] Q1
[1164.56-1166.56] YY1應該也是
[1166.56-1167.56] 因為中芯質比的話
[1167.56-1168.56] 應該會比較好
[1168.56-1169.56] 所以
[1169.56-1172.56] 我們希望大致上是每個市民都可以
[1172.56-1173.56] 那個
[1173.56-1175.56] 穩定的增加
[1175.56-1177.56] 那
[1177.56-1181.56] IPFS也沒有
[1181.56-1183.56] 今年車用公用需求
[1183.56-1185.56] 也
[1185.56-1188.56] 至少從GI的那個
[1188.56-1192.56] 法學會上看起來是
[1192.56-1194.56] 車用的看起來
[1194.56-1196.56] 還是沒有什麼
[1196.56-1198.56] 那個太大的信心
[1198.56-1199.56] 那
[1199.56-1202.56] 公費需求其實並
[1202.56-1205.56] 沒有變不好
[1205.56-1206.56] 那
[1206.56-1207.56] 我
[1207.56-1211.56] 公費需求其實一直是非常穩定的
[1211.56-1213.56] 這也是我們為什麼
[1213.56-1214.56] 就是
[1214.56-1215.56] 要去弄一個
[1215.56-1216.56] 應該屬於應用的關係
[1216.56-1217.56] 因為
[1217.56-1220.56] 這個需求跟景氣好像不太有關係
[1220.56-1222.56] 景氣好的時候它很不會爆蒸
[1222.56-1225.56] 景氣不好它也不會這樣
[1225.56-1227.56] 原因是因為這一座
[1227.56-1228.56] 公約
[1228.56-1231.56] 應用的機器的工資其實都很保守
[1231.56-1232.56] 就像
[1232.56-1234.56] 事前缺貨的時候
[1234.56-1236.56] 工廠長拼命進機器
[1236.56-1237.56] 那些做機器的工人
[1237.56-1239.56] 是乖乖的補
[1239.56-1240.56] 補貨單材的
[1240.56-1241.56] 那就
[1241.56-1242.56] 就這樣做
[1242.56-1244.56] 那
[1244.56-1246.56] 也是這樣做他們就不會被燙到
[1246.56-1248.56] 他們搞了多年
[1248.56-1249.56] 知道說
[1249.56-1252.56] 這種生產製造這種東西不可能瞬間
[1252.56-1253.56] 一下增加這麼多
[1253.56-1256.56] 好
[1256.56-1259.56] 一個Nami DJ的玩笑說
[1259.56-1261.56] 第一季比去年第四季成功
[1261.56-1264.56] 那個是
[1264.56-1265.56] 那個是
[1265.56-1266.56] 那個是
[1266.56-1268.56] 過去兩年來
[1268.56-1269.56] 更
[1269.56-1271.56] 更為推出那個
[1271.56-1272.56] 缺貨那幾年
[1272.56-1274.56] 其實每年第四季對我們
[1274.56-1275.56] 這種
[1275.56-1276.56] IC設計的人
[1276.56-1277.56] 因為我比較上學
[1277.56-1278.56] 所以
[1278.56-1280.56] 生意都不是最好的時候
[1280.56-1283.56] 然後就是
[1283.56-1286.56] 每年的Q1 Q2 Q3
[1286.56-1287.56] 和QoQ
[1287.56-1289.56] 都是正的
[1289.56-1291.56] 然後到Q4 QoQ一定會下來
[1291.56-1293.56] 那
[1293.56-1294.56] 那
[1294.56-1296.56] 降價壓力
[1296.56-1297.56] 其實一直是
[1297.56-1298.56] 是
[1298.56-1299.56] 那
[1299.56-1300.56] 那個
[1300.56-1304.56] 為什麼第一季毛利率保守
[1304.56-1305.56] 就是
[1305.56-1307.56] 不管哪一季毛利率都要保守啊
[1307.56-1308.56] 因為
[1308.56-1310.56] 去年第四季三年期所以就
[1310.56-1312.56] 36到38
[1312.56-1313.56] 這樣
[1313.56-1314.56] 大家就不會問來問去
[1314.56-1316.56] 我如果寫多的
[1316.56-1318.56] 你們就會問說為什麼會有多寫少的
[1318.56-1319.56] 為什麼會有寫少的
[1319.56-1320.56] 就
[1320.56-1321.56] 結果時間猜不出來
[1321.56-1322.56] 所以就
[1322.56-1323.56] 就這樣子
[1323.56-1324.56] 那個
[1324.56-1327.56] 保守的錢
[1327.56-1328.56] 其實就像
[1328.56-1331.56] 蠻混過關
[1331.56-1332.56] 那個
[1332.56-1334.56] 勤康科
[1334.56-1336.56] 投資
[1336.56-1340.56] 除了中國補貼增加需求外
[1340.56-1342.56] 近期加益
[1342.56-1344.56] 是地震面產業
[1344.56-1347.56] 這個呢
[1347.56-1349.56] 當我解釋中國補貼雖然
[1349.56-1350.56] 從去年
[1350.56-1352.56] 從七月開始吧
[1352.56-1354.56] 到現在已經半年多了
[1354.56-1355.56] 所以
[1355.56-1357.56] 他們在帶來的需求
[1357.56-1359.56] 那個我們的客戶都認為
[1359.56-1361.56] 應該影響不大
[1361.56-1365.56] 至於地震造成的不只是
[1365.56-1368.56] 而是面板業者其實影響真的不大
[1368.56-1369.56] 因為
[1369.56-1370.56] 剛剛有解釋過
[1370.56-1371.56] 說
[1371.56-1373.56] 他的產業利用率都
[1373.56-1374.56] 都產六七成嘛
[1374.56-1376.56] 所以就是
[1376.56-1378.56] 那個
[1378.56-1380.56] 其他的廠只要隨便
[1380.56-1381.56] 就大陸的廠隨便開一下就解決了
[1381.56-1382.56] 所以
[1382.56-1385.56] 那個
[1385.56-1387.56] 至少在
[1387.56-1388.56] 今年之內
[1388.56-1390.56] 不要說五年了
[1390.56-1391.56] 講不起來
[1391.56-1392.56] 今年之內
[1392.56-1394.56] 肯定產能不會滿
[1394.56-1397.56] 所以所有的價格變動都是由工體面決定
[1397.56-1400.56] 到那時候如果多開一點產能
[1400.56-1402.56] 價格就下去
[1402.56-1404.56] 他們找該價格就上來
[1404.56-1407.56] 好
[1407.56-1408.56] 一個
[1408.56-1410.56] 就是
[1410.56-1411.56] CS
[1411.56-1413.56] 亞波特
[1413.56-1415.56] 目前二五年定單零件度
[1415.56-1416.56] 這個
[1416.56-1419.56] 我們永遠只能給當季的該等
[1419.56-1421.56] 在場其實
[1421.56-1423.56] 變數太多講的沒有
[1423.56-1426.56] 那個
[1426.56-1428.56] 多講的最後被打臉
[1428.56-1434.56] 整個產業的狀況其實是
[1434.56-1437.56] 每次都會加一些條件就是
[1437.56-1439.56] 如果不去考慮
[1439.56-1441.56] 那些不合公平數項
[1441.56-1446.56] 什麼那個公平關稅會不會有什麼亂搞等等的
[1446.56-1448.56] 正常情況其實
[1448.56-1451.56] 二五年應該
[1451.56-1454.56] 那個也是會有成長
[1454.56-1458.56] 就是全球經濟的那個成長力
[1458.56-1461.56] 不過它目前沒加什麼世界營養什麼
[1461.56-1462.56] 有的沒有
[1462.56-1464.56] 估起來都還是在成長
[1464.56-1466.56] 好
[1466.56-1471.56] 一個華南用餐江先生
[1471.56-1474.56] 對我們各領域的成長性排序
[1474.56-1476.56] 這個
[1476.56-1479.56] 這個我也看不出來
[1479.56-1481.56] 真的是看不出來
[1481.56-1487.56] 所以就是要去買AI眼鏡
[1487.56-1489.56] 好我們先到這邊看還有沒有什麼問題
[1489.56-1490.56] 好
[1490.56-1491.56] 大家可以去看
[1491.56-1493.56] 我們現在看到的這個
[1493.56-1494.56] 就是
