[0.00-3.00] 來擔任本次法收會的主講公司
[529.00-532.00] 也是他們在日本
[532.00-534.00] 已經有102年的
[534.00-536.00] 一個老字號的沙熱廠公司
[536.00-539.00] 那相對的他們有累積相當多的
[539.00-541.00] 除了技術的實力之外
[541.00-542.00] 更重要的是它在
[542.00-545.00] 汽車業的產業的這些客戶上面
[545.00-547.00] 有廣大的扎實的技術
[547.00-549.00] 包含了在日本當地
[549.00-551.00] 以及他們在1990年
[551.00-552.00] 就在泰國的設廠
[552.00-553.00] 它設廠在泰國的
[553.00-556.00] 比KT汽車工廠還要早了一兩年
[556.00-558.00] 有很扎實的在汽車產業的這些
[559.00-560.00] 客戶機組
[560.00-562.00] 那我們考量到
[562.00-564.00] 我們在沙熱事業部
[564.00-566.00] 未來在拓展全世界跟產品
[566.00-568.00] 跟客戶的這個廣度上面
[568.00-570.00] 做的這個策略上的這個收購
[570.00-572.00] 主要就是希望兩家公司
[572.00-574.00] 結合發揮中效
[574.00-576.00] 除了我們繼續持續發展
[576.00-578.00] 電子業半導體機組以外
[578.00-580.00] 在東南亞跟日本
[580.00-581.00] 還有廣大蔚來汽車
[581.00-583.00] 以及蔚來的一些精密機械
[583.00-585.00] 主要的這些市場
[585.00-587.00] 是我們以後盼求的方向
[587.00-589.00] 那相信兩家公司的這個結合
[589.00-591.00] 能夠未來在我們的
[591.00-593.00] 商品產品上面
[593.00-595.00] 有更精進更廣大的
[595.00-597.00] 這個未來的這個營售動力
[597.00-599.00] 好
[599.00-601.00] 那最後呢
[601.00-602.00] 我跟大家報告
[602.00-604.00] 今年的2025的展望
[604.00-607.00] 那因為我們的
[607.00-609.00] 剛剛提到的就是在去年
[609.00-612.00] 連續四季有業外的這個收入
[612.00-614.00] 有超過我們稅前的16%
[614.00-617.00] 所以今天就只能將
[617.00-619.00] 今年各事業部可能的這個
[619.00-621.00] 方向跟大家說明
[621.00-623.00] 就沒有辦法給大家歪歪的
[623.00-624.00] 一個猜測
[624.00-627.00] 不過我會在這邊再仔細說明一些
[627.00-629.00] 首先在ABU
[629.00-630.00] 商人事業部
[630.00-632.00] 我們目前看到的在
[632.00-636.00] 基本談的這些專在機械工具及客戶的
[636.00-637.00] 這些營售
[637.00-639.00] 將足跡
[639.00-641.00] 足跡的會回升
[641.00-643.00] 那目前看到的估計應該還是
[643.00-644.00] 就是在第一季
[644.00-647.00] 也有包含了公共填數的影響
[647.00-648.00] 那再加上呢
[648.00-650.00] 我們在高階的這些沙輪以及
[650.00-653.00] 主要在重要APF的客戶上面
[653.00-655.00] 有增加了一些需求包含了
[655.00-658.00] 國內外APF的客戶有新增
[658.00-660.00] 還有一些產能的增加
[660.00-662.00] 所以呢我們今年預估
[662.00-665.00] 我們的沙輪事業部的
[665.00-668.00] 不管在營收跟獲利上面
[668.00-669.00] 都會較2024的
[669.00-672.00] 有機會就是小伏的成長
[672.00-674.00] 那BPU鑽石事業部的話
[674.00-676.00] 除了在剛剛提到二氮米
[676.00-677.00] 三氮米這些的持續增長
[677.00-680.00] 跟Quarter by Quarter的持續增加
[680.00-682.00] 那我們預估今年會有超過
[682.00-684.00] 雙位數的這個成長
[684.00-688.00] 那去年跟大家報告的這個產能的部分
[688.00-690.00] 我們5萬克的產能已經Ready
[690.00-692.00] 那也就是說我們有機會在
[692.00-694.00] 今年客戶最大需求的時候
[694.00-696.00] 去滿足客戶的需求
[696.00-698.00] 去年的平均大概是
[698.00-701.00] 大概3萬5千克到3萬以上
[701.00-703.00] 那最高有達到4萬克
[703.00-706.00] 那今年的產能預估平均
[706.00-708.00] 有機會達到4萬克最大的發展
[708.00-711.00] 我們目前是有5萬克的這個產能
[711.00-713.00] 那另外兩件這個contentual的
[713.00-715.00] 未來主要發展
[715.00-717.00] Quarter by Quarter的成長契機
[717.00-720.00] 還包含了一個是我們看到在
[720.00-721.00] 不只新晉製程
[721.00-724.00] 在成熟製程的客戶
[724.00-726.00] 國內外的客戶都有
[726.00-730.00] 除了目前看到所NandBridge的這些產量
[730.00-732.00] DMV還沒有回升零錢以外
[732.00-735.00] 其他的新晉成熟製程的邏輯
[735.00-739.00] 跟基因的部分已經是有看到利用率是在回升
[739.00-741.00] 那第二件事是在
[741.00-743.00] 之前跟大家報告的這個
[743.00-746.00] 在美國IDF的客戶的這個進度
[746.00-750.00] 是有好消息我們的content window
[750.00-751.00] 又連絡了繼續
[751.00-753.00] 那也就是說之前有一段時間
[753.00-755.00] 大概是因為一些政策的關係
[755.00-758.00] 還有其他的因素影響
[758.00-763.00] 但是我們現在又重啟了這些認證以及程序
[763.00-765.00] 那有機會在今年
[765.00-767.00] 可以看到實際的貢獻
[767.00-771.00] 那最後在SBU經營事業部的話
[771.00-776.00] 今年目前看到的ASB主要的幾個大項產品
[776.00-780.00] 跟大公司這些看起來都較去年並沒有再跌價
[780.00-781.00] 而且有部分的產品
[781.00-784.00] 原末有3%支持到二十個產品
[784.00-788.00] 是ASB有較去年個位數的上漲
[788.00-791.00] 那全面的其他主要的影響的話
[791.00-793.00] 可能要等到今年的年底的時候
[793.00-795.00] 我們再看客戶的需求
[795.00-798.00] 但是目前看到在高規格的產品
[798.00-802.00] 的確現在看起來客戶需求是有點吃緊
[802.00-806.00] 所以剛剛提到了我們在中南牆擴產的這個目的
[806.00-809.00] 就是有信心在明年我們的產能增加以後
[809.00-813.00] 它就是十萬片能夠以最快在幾個月的速度內
[813.00-815.00] 就讓它滿載
[815.00-820.00] 那剛剛提到的這個十萬片的增加產能
[820.00-823.00] 其中的三萬片會在今年的下半年底
[823.00-825.00] 就是在六月底 七月的時候
[825.00-829.00] 去增加也是在我們的中南牆的第二期
[829.00-833.00] 那這個部分也是會高一些的再生經驗位置
[833.00-838.00] 那另外一部分就是我們公設策略的
[838.00-840.00] 除了剛剛有增加產能以外
[840.00-843.00] 我們還是會持續增加高一些產品的組合
[843.00-847.00] 尤其是在這個特殊經驗的這個比重
[847.00-851.00] 目前看到有機會今年的這個
[851.00-852.00] 特殊經驗
[852.00-854.00] 因為它相對ASB跟Gross Margin
[855.00-858.00] 都是相對是比較高的一個產品
[865.00-870.00] 那目前的話有機會在今年的下半年
[870.00-874.00] 看到這個出貨的這個特殊經驗的這個數量
[874.00-877.00] 會是比去年是增加一倍
[877.00-879.00] 會增加一倍以上
[879.00-882.00] 那是我們預期今年在SBU
[882.00-884.00] 可以在營售部分以及在order
[885.00-888.00] 毛利率不只維持還能夠向上的主要因應
[888.00-889.00] 那中關以上的話
[889.00-891.00] 三個事業部
[891.00-894.00] 我們在今年都預期它的毛利率以及營售
[894.00-896.00] 都會較去年的這個成長
[896.00-900.00] 那主要的關鍵點就是剛剛威納報告的
[900.00-903.00] 這幾個主要的Top 3
[903.00-907.00] 那以上那個大概簡報就到這個地方
[907.00-910.00] 好那待會再進行Q&A的部分
