[0.00-3.84] 我們非常歡迎惠陽來參加我們的台新論壇
[203.60-208.60] 法人朋友或媒體朋友也都歡迎到我們公司來互相交流
[209.60-214.60] 那麼講到這個財務資訊的話
[214.60-216.60] 我們就可以跟大家分享一下
[216.60-218.60] 這個是我們2024年的財務資訊
[218.60-221.60] 那去年的話EBS是達到8.08
[221.60-223.60] 整體來看的話呢
[223.60-225.60] 因為我們是每個月公告的關係
[225.60-227.60] 所以會比較建議投資人朋友
[227.60-229.60] 如果是要了解公司的營運的變化的話
[229.60-231.60] 主要可以參考OP的MARGIN
[231.60-239.60] 那因為這個散裝航運公司大部分它的成本是比較穩定的
[239.60-242.60] 也就是說我們不是像製造業一樣有
[242.60-245.60] 銷貨越多然後成本也會越增加的情形
[245.60-252.60] 因為我們船舶的折舊、利息、船員保險、華郵這些東西
[252.60-254.60] 跟收入沒什麼關係
[254.60-257.60] 就是船員不動請站在那邊它也是要
[257.60-258.60] 也會有成本
[258.60-261.60] 所以呢看OPERATION MARGIN的話
[261.60-264.60] 大概就可以看那跟市場的變化
[264.60-267.60] 可以去做一個INDICATOR
[267.60-269.60] 就可以也是一個指標啦
[269.60-271.60] 那當然是不是一支都可以看這個是不一定
[271.60-273.60] 因為每一家船公司
[273.60-275.60] 工作的時候都會有一些方法
[275.60-278.60] 來盡量減少景氣波動
[278.60-280.60] 對於業績的衝擊
[280.60-282.60] 所以像我們惠亞航運公司的話呢
[282.60-286.60] 之前幾年大概可能在2019之前
[286.60-290.60] 大部分都是採取固定租金的合約
[290.60-292.60] 所以我們的OPERATION MARGIN會非常穩定
[292.60-295.60] 那但是後來的話我們慢慢增加指數連結的船型
[295.60-298.60] 這個稍後也會再跟大家多提到一些
[298.60-302.60] 那因為這個營運方式的變化
[302.60-304.60] 所以呢可以看到我們每個月的OPERATION MARGIN
[304.60-305.60] 都會變化的
[305.60-306.60] 在傳統也在淡季啦
[306.60-309.60] 這個二月的時候一般來講是最差的
[309.60-313.60] 那去年的話其實從年底開始就不是很好
[313.60-317.60] 所以這個也會反映在OPERATION MARGIN上面
[317.60-321.60] 那麼2025年呢我們目前都是每個月公告之節
[321.60-323.60] 那今年的話其實第一季
[323.60-325.60] 也許去年一個比較不好的狀況
[325.60-328.60] 所以也都是成績並不是很理想
[328.60-330.60] 所以我們在今年四月開始稍微有好一些
[330.60-332.60] 那我們希望這個季節還可以繼續
[332.60-335.60] 那在船隊方面的話呢
[335.60-342.60] 我們認為這個船隊其實是跟省裝船公司的策略是緊密相關的
[342.60-345.60] 所以呢你公司用什麼樣的買什麼樣的船
[345.60-348.60] 其實一定程度來講就會影響你有什麼樣的客戶
[348.60-351.60] 然後你的生意出在什麼樣的市場
[351.60-353.60] 做比較緊密的連結
[353.60-358.60] 那我們在船隊方面的話呢各位看到我們其實除了CAPSIDE很少以外
[358.60-361.60] 其他的船隊是都滿平均都有投資的
[361.60-363.60] 那外航船種來講的話呢
[363.60-365.60] 之前大家可能認為中小型船會主
[365.60-367.60] 可能就是在HANDY比較多
[367.60-371.60] 那其實我們這幾年在COLOR MAX和SUPER MAX投資也相當多
[371.60-374.60] 那不過在目前新船的布局方面的話
[374.60-376.60] 大概就是還是以HANDY的數量比較多
[376.60-383.60] 那麼這個主要是影響到船舶載運的貨物不太一樣
[383.60-386.60] 所以呢不同的船型如果以散裝來講的話
[386.60-388.60] 因為載運的貨物不太相同
[388.60-392.60] 所以它面對的市場也會有一些不一樣
[392.60-395.60] 所以我們平常大家討論BDI BDI BDI
[395.60-397.60] 那其實BDI是分為四個分類
[397.60-403.60] 那這個也是我們是希望我們把這個船型就是依照這樣的概念去做為一個分類
[403.60-407.60] 然後讓投資人可以做一個參考
[407.60-412.60] 那如果和國內其他一些散裝航運上市的船公司來相比的話
[412.60-416.60] 各位看得到像新興域裡面都是以CAPSIDE這項PARAMETER為主
[416.60-417.60] 那中航基本上都可以用這個方式來做的
[418.60-425.60] 然後台航的話就是以SUPER和PARAMETER都有
[425.60-427.60] 那四維可能就是HANDY SMALL ANDY比較多
[427.60-431.60] 那我們來講的話就是各船型基本上都有一些
[433.60-440.60] 那麼這次我們也是以2025年Q1的數字有整理一些同業財務比較給各位做參考
[440.60-446.60] 那麼也像剛剛所提的因為我們公司目前來講算是有指數連結的船型比較多
[446.60-450.60] 所以在回令跨權上面來講並不是維持得很好
[450.60-453.60] 所以就會受到市場比較大的衝擊
[457.60-463.60] 那麼在我們的營收結構方面我們大部分的這個收入還是租金收入
[463.60-469.60] 所以在財報上的話大家會看得到說租金收入尤其是長約部分還是佔85%
[469.60-474.60] 那在以前來講的話呢這個就是表示我們的收入營收的能見度很高
[474.60-476.60] 就是欸我們基本上可以
[476.60-479.60] 可以譬如說未來的這個收入是鎖定的
[479.60-482.60] 那現在的話因為剛剛有跟大家說明過
[482.60-487.60] 在2019年之後我們有比較多的船舶租約轉形成指數連結
[487.60-489.60] 什麼叫指數連結呢
[489.60-493.60] 就是它會依照因為BDI這種型的市場上幾乎是每天發布
[493.60-496.60] 我說幾乎是因為假日它當然就不發布
[496.60-499.60] 那基本上每天發布它會反映市場的變化
[499.60-505.60] 所以這種指數連結型的船大部分會以BDI的某一個子分類
[505.60-510.60] 比方說BPI BSI的數字它會有一個
[510.60-512.60] 當然指數本身是一個數字
[512.60-516.60] 但它會有一個每日的日租金
[516.60-520.60] 那我們會用日租金來連結
[520.60-525.60] 比方說是這個日租金的110%或是這個日租金的107%
[525.60-531.60] 作為我們租金的每日租金的這個數字
[531.60-534.60] 所以呢如果BDI變動的話
[534.60-539.60] 就會影響到我們指數連結的船舶的租金水準
[539.60-544.60] 那另外的話短約包含是一年以內的這種租約
[544.60-549.60] 還有固定租金的也有這個到航次期租的幾乎是50%
[549.60-551.60] 也有運費收入
[551.60-557.60] 那這些東西呢其實在合約的型態不太一樣
[557.60-561.60] 會造成船東的責任義務會有一些不同
[561.60-563.60] 那簡單來講的話
[563.60-568.60] 運費收入是論貨物的量來計算
[568.60-571.60] 所以呢這就是港費啊油費
[571.60-573.60] 船東多少付
[573.60-575.60] 那如果是在租約的性質的話
[575.60-578.60] 不管是這個短約或是長約
[578.60-582.60] 港費啦這個油錢啊基本上就是租家要付
[582.60-584.60] 所以各位在我們的財報上可以看到
[584.60-589.60] 油費佔就是油價啦油的費用佔的比重並不會很高
[589.60-593.60] 會稍微有一些這是反映了我們有少數的論論
[593.60-595.60] 譬如說我們認真租船
[595.60-597.60] 然後還有我們船舶進屋
[597.60-601.60] 或者是因為某一些是歸因於船東的事故
[601.60-605.60] 必須要停在那邊等或偏航的時候
[605.60-607.60] 這個錢租家是不會付的
[607.60-609.60] 就是說要船東去做
[609.60-612.60] 對阿這個是我們目前營收主要的結構
[614.60-617.60] 那剛剛跟大家有提到這個紙住連結型的船舶
[617.60-619.60] 那我們在這個2025年4月
[619.60-621.60] 今年4月來看的話
[621.60-625.60] 總共紙住連結型的船舶是達到81艘
[625.60-631.60] 那其實這個數字會比81除上跟130
[631.60-633.60] 還要再多一些
[633.60-636.60] 因為呢我們大部分的大型的船舶
[636.60-639.60] 像這個巴拿馬極限船型
[639.60-642.60] 這邊有28艘都是紙住連結的
[642.60-644.60] 各位看得到我們這邊有想
[644.60-645.60] 我們巴拿馬極限型就35艘
[645.60-647.60] 35艘當中28艘都是
[647.60-649.60] SUPRA的話有29艘
[649.60-651.60] 但是紙住連結的就26艘
[651.60-653.60] 所以像這類的船型
[653.60-656.60] 比較大型的船大部分都紙住連結
[656.60-658.60] 那為什麼用紙住連結呢
[658.60-662.60] 其實這個東西是雙方對風險的一個認定
[662.60-664.60] 簡單講呢
[664.60-668.60] 船東大部分是希望能夠有穩定的現金流
[668.60-670.60] 那如果要訂固定租約的話
[670.60-673.60] 就是把市場波動的風險轉讓給租家
[673.60-675.60] 那麼租家當然在這方面來講
[675.60-677.60] 就牽扯到他的view
[677.60-679.60] 對市場未來的確定性怎麼樣
[679.60-681.60] 那當市場面對比較大風險
[681.60-683.60] 比較大不確定性的時候
[683.60-685.60] 他們可能就會在這個固定租金上面
[685.60-687.60] 打比較大的折扣
[687.60-689.60] 才能確保他們是會賺錢的
[689.60-691.60] 那麼如果是紙住連結型的話呢
[691.60-693.60] 他們就可以等於是雙方上帝
[693.60-695.60] 他們也擔一些我們也擔一些
[695.60-697.60] 所以在這種情形下
[697.60-699.60] 第一個我們是認為
[699.60-701.60] 比較有機會長期來講
[701.60-703.60] 得到更好的財務的報酬
[703.60-706.60] 雖然是相對來講
[706.60-708.60] 收入沒有這麼穩定
[708.60-710.60] 可是長期來講報酬是比較良好的
[710.60-712.60] 那再來說的話
[712.60-714.60] 其實這幾年雖然在市場的
[714.60-716.60] 一直有上上下下的波動
[716.60-718.60] 不過基本上我們對於
[718.60-722.60] 大概中期左右的這個產商基本面
[722.60-723.60] 原來是比較看好的
[723.60-724.60] 所以我們認為
[724.60-726.60] 紙住連結的轉型
[726.60-729.60] 跟著紙住連結的租金租約方式
[729.60-731.60] 不是一個不好的策略
[731.60-733.60] 所以我們可以這樣做
[733.60-734.60] 那當然很重要的是
[734.60-736.60] 因為我們公司現在財務穩定性
[736.60-739.60] 可能是比六七年前比較好
[740.60-742.60] 這也是我們採取更多
[742.60-745.60] 紙住連結性的一個原因
[745.60-748.60] 那當然紙住連結就沒有高贏的
[748.60-750.60] 所以如果現在跟去年來比的話
[750.60-754.60] 如果是BPI平均掉了26.78%
[754.60-757.60] BSI平均掉了18.99%
[757.60-760.60] 都是將近在20%左右的這個跌價
[760.60-763.60] 所以這個東西會反映到我們的營收上面
[767.60-769.60] 那麼在自營的部分的話
[769.60-772.60] 其實自營船隊在我們公司的營收比重
[772.60-773.60] 一直都不是很大
[773.60-775.60] 而且會以老船為主
[775.60-776.60] 所以目前只有六條船
[776.60-778.60] 而且都是small handy在做
[778.60-779.60] 那為什麼放一張呢
[779.60-781.60] 因為其實第一個是
[781.60-782.60] 其實這個一直都是投資人
[782.60-784.60] 都會有好奇的一個地方
[784.60-786.60] 說我們為什麼要做自營呢
[786.60-789.60] 因為自營比較能夠直接面對市場
[789.60-790.60] 所以我們認為
[790.60-793.60] 有一個即使不是很大的自營船隊
[793.60-795.60] 是有幫助的
[795.60-796.60] 那再來講的話呢
[796.60-797.60] 有自營的能力
[797.60-798.60] 也是在跟著
[799.60-801.60] 跟租家談判租約
[801.60-803.60] 如果有一些不是很順利去約的時候
[803.60-805.60] 如果我們有自營的能力的話
[805.60-808.60] 我們比較可以在策略上
[808.60-810.60] 有一個比較大的談判空間
[810.60-812.60] 不會有開天窗的問題
[812.60-814.60] 因為你不租我就自己自營
[814.60-816.60] 所以主要是策略性的意義比較大
[816.60-817.60] 不過傳統來講
[817.60-819.60] 我們自營都不怎麼賺錢的
[819.60-820.60] 坦白講是這樣
[820.60-821.60] 因為就是一些老船
[821.60-822.60] 然後比較小的船
[822.60-823.60] 在市場上來講
[823.60-824.60] 不是很大的主流
[824.60-827.60] 而且只有六條的營運船隊
[827.60-828.60] 也不能夠說是有很大的主流的船隊
[829.60-830.60] 所以我們就不可以
[830.60-831.60] 有很巨大的經濟規模
[831.60-836.60] 那我們公司傳統來講的話呢
[836.60-840.60] 比較重要的營收成長的動力
[840.60-842.60] 是來自於新船
[842.60-843.60] 所以我們新船呢
[843.60-845.60] 因為我們其實算是一個定期
[845.60-847.60] 在建造新船的船公司
[847.60-849.60] 因為我們認為船舶
[849.60-852.60] 雖然不敢講說到科技日新月異
[852.60-853.60] 因為美領船
[853.60-854.60] 它用年限還是20多年
[854.60-856.60] 但是新船一般來講
[856.60-859.60] 他們在不管是在環保標準上面
[859.60-860.60] 安全的標準上面
[860.60-863.60] 都會比舊船要稍微好一些
[863.60-865.60] 而且長期而言
[865.60-867.60] 公司要一直保持著
[867.60-870.60] 能夠跟市場上最好的出家人合作
[870.60-871.60] 我們也是需要新船
[871.60-877.60] 才有辦法長期和我們希望的出家人做配合
[877.60-880.60] 那麼以2024年新船營運來講的話
[880.60-882.60] 其實普遍他們平均毛利率
[882.60-884.60] 也比我們自領高很
[884.60-887.60] 就是跟全公司的平均要高
[887.60-888.60] 那這個主要也是因為呢
[888.60-893.60] 新船能夠談判到的租金
[893.60-895.60] 常常都會稍微好一些
[895.60-898.60] 所以可能會比我們平均還會好一點
[898.60-899.60] 而且目前交了新船
[899.60-901.60] 其實成本還是比較好的
[901.60-903.60] 其實新船船舶是這樣的
[903.60-905.60] 船價長期來講還是荒廣的
[905.60-906.60] 有在上升
[906.60-908.60] 所以我們之前訂的世界船
[908.60-909.60] 目前來看的話
[909.60-912.60] 其實是也不算是貴的
[912.60-916.60] 所以這也都是我們長期在建造新船的一個
[916.60-917.60] 可能
[918.60-919.60] 背景
[919.60-921.60] 因為公司畢竟130條船
[921.60-924.60] 必須要定期的開船換機
[924.60-926.60] 那在2025年呢
[926.60-928.60] 我們新船數量就會減少
[928.60-930.60] 那為什麼我們新船數量減少呢
[930.60-933.60] 這個是因為2025年要造新船的話呢
[933.60-935.60] 大概其實往回推
[935.60-938.60] 幾乎都是2021左右下定
[938.60-939.60] 甚至於2020
[939.60-942.60] 那在2020因為碰到疫情的關係
[942.60-944.60] 所以其實大家都不太定期船
[944.60-946.60] 所以我們2024年2025年其實新船的數量
[946.60-947.60] 算是比較少的
[948.60-950.60] 那因為疫情剛過的時候呢
[950.60-955.60] container就是貨櫃船大好
[955.60-957.60] 所以呢當時也訂很多貨櫃
[957.60-961.60] 對於日本船廠的船舶物味
[961.60-962.60] 有一定的影響
[962.60-963.60] 有一定的牌子
[963.60-965.60] 那因為對船廠來講的話
[965.60-967.60] container他們可以賣比較貴
[967.60-970.60] 所以他們比較喜歡賣container
[970.60-974.60] 那這種balker就是散裝船
[974.60-977.60] 普遍來講船價不是非常理想
[977.60-982.60] 所以呢這個對於我們在建造新船有一定的影響
[982.60-984.60] 所以我們這幾年其實算是
[984.60-985.60] 跟傳統來講
[985.60-988.60] 屬於capital expenditure
[988.60-991.60] 就是資本支出比較少的機會
[991.60-993.60] 那我們剛好也利用這個機會
[993.60-995.60] 進行一些財務節奏的調整
[995.60-999.60] 那希望可以增加工資長期的財務的穩定
[999.60-1003.60] 那麼這個我們現在這樣子喔
[1003.60-1005.60] 我們雖然現在換言語
[1005.60-1006.60] 其實對我們的營收來講
[1006.60-1008.60] 營越來越不重要了
[1008.60-1010.60] 其實我們的船舶是固定出經營的時候
[1010.60-1011.60] 換約就非常重要
[1011.60-1014.60] 因為它對我們的營收是一個重大的影響
[1014.60-1016.60] 但因為我們現在幾乎都直入連結
[1016.60-1017.60] 大家都跟著市場跑
[1017.60-1019.60] 所以換約不換約相對來講
[1019.60-1021.60] 對營收影響就已經很低
[1021.60-1024.60] 但我們如果認為2024年整個換下來
[1024.60-1025.60] 那是錯的
[1025.60-1026.60] 2024年整個換下來
[1026.60-1027.60] 換了17條船
[1027.60-1029.60] 雖然整個hire是有提升的
[1029.60-1031.60] 但是其實對營收來講
[1031.60-1032.60] 也算是相當少
[1032.60-1034.60] 所以不是很大
[1034.60-1035.60] 對
[1035.60-1037.60] 這是2024年的話
[1037.60-1039.60] 不過因為我們公司的這個法作會的power point
[1039.60-1041.60] 是用固定的格式
[1041.60-1042.60] 倒不是說因為懶
[1042.60-1043.60] 主要是因為這樣的話
[1043.60-1048.60] 投資人在查對過去的法作會資料的時候
[1048.60-1049.60] 對於一些財務數字啊
[1049.60-1051.60] 或是換約的數字
[1051.60-1054.60] 可以有一個比較好的時間軸的掌握
[1054.60-1057.60] 所以如果各位對我們有什麼意見
[1057.60-1058.60] 或是過去有沒有亂講
[1058.60-1060.60] 隨時都可以去翻去年的法作會資料
[1060.60-1062.60] 或是前年的
[1063.60-1065.60] 那2025年我們預計
[1065.60-1066.60] 大概有26條
[1066.60-1068.60] 那以目前的實況來講的話
[1068.60-1070.60] 我們認為是會跌的
[1070.60-1071.60] 所以我們在這裡面
[1071.60-1079.60] 估了1.4%對營收的負面影響
[1079.60-1081.60] 那麼接下來的話呢
[1081.60-1083.60] 以上是對公司的這個營業的情形
[1083.60-1084.60] 跟大家做的介紹
[1084.60-1086.60] 主要是包含我們在船隊上
[1086.60-1087.60] 怎麼樣做安排
[1087.60-1091.60] 大概我們現在目前的合約結構的狀況
[1091.60-1092.60] 那接下來的話
[1092.60-1095.60] 我們對小庄航運這個產業
[1095.60-1097.60] 稍微跟大家做一些分享
[1097.60-1099.60] 就是以目前的情形
[1099.60-1100.60] 那當然我想各位看新聞
[1100.60-1102.60] 可能也看到很多內容
[1102.60-1103.60] 如果大家有什麼疑問的話
[1103.60-1104.60] 我們都沒有關係
[1104.60-1105.60] 歡迎
[1105.60-1106.60] 那首先呢
[1106.60-1107.60] 我們就來討論一下
[1107.60-1109.60] 美國經濟政策的變化
[1109.60-1111.60] 其實我們認為美國經濟政策的變化
[1111.60-1113.60] 大概從去年的下半年開始
[1113.60-1116.60] 就一直是市場上一個重要的議題
[1116.60-1117.60] 我想這個部分
[1117.60-1119.60] 應該不只是對於小庄航運
[1119.60-1120.60] 而是對於大部分的產業
[1120.60-1122.60] 尤其各位可能所對的金融業
[1122.60-1123.60] 影響非常巨大
[1123.60-1124.60] 那我想
[1125.60-1126.60] 但是呢
[1126.60-1128.60] 這個跟散裝航運比較有關係
[1128.60-1130.60] 大家比較好奇的主要是兩個
[1130.60-1131.60] 又是分兩個部分
[1131.60-1134.60] 第一個是對於關稅和貿易戰的部分
[1134.60-1138.60] 第二個是關於對中國式的船舶
[1138.60-1140.60] 這個川普總統有宣布說
[1140.60-1143.60] 有要課徵一個特殊的港費
[1143.60-1144.60] 這個服務費
[1144.60-1146.60] 那麼這個會怎麼樣影響
[1146.60-1147.60] 散裝船舶
[1147.60-1148.60] 我們第一步
[1148.60-1150.60] 機會很快做跟大家報告一下
[1150.60-1151.60] 首先呢
[1151.60-1152.60] 在關稅的部分
[1152.60-1155.60] 我們公司本身是不用付關稅的
[1155.60-1157.60] 所以我們以第一階段的影響
[1157.60-1158.60] 如果我們說
[1158.60-1160.60] 美國關稅最直接的影響
[1160.60-1161.60] 就是要付關稅的
[1161.60-1163.60] 不管是要進口到美國的
[1163.60-1166.60] 或者是有些這個出口
[1166.60-1168.60] 應該說出口到美國的出口商
[1168.60-1173.60] 或者是從美國進口東西進來賣的進口商
[1173.60-1175.60] 這些應該是最直接的影響
[1175.60-1177.60] 那其次重要的影響就是呢
[1177.60-1179.60] 因為這些關稅
[1179.60-1182.60] 造成交易沒辦法發生的
[1182.60-1184.60] 這樣的產業
[1184.60-1185.60] 也會受到影響
[1185.60-1187.60] 所以嚴格講起來的話呢
[1187.60-1188.60] 我們應該算是
[1188.60-1189.60] 表示已經第二級了
[1189.60-1190.60] 就是呢
[1190.60-1193.60] 如果美國的貿易活動減少了
[1193.60-1196.60] 那當然去到美國的船運量也會減少
[1196.60-1197.60] 所以呢
[1197.60-1198.60] 這方面來講
[1198.60-1200.60] 我們不能講說完全不受影響
[1200.60-1201.60] 不過從過去的經驗來看呢
[1201.60-1203.60] 其實美國加價關稅
[1203.60-1206.60] 對於散裝航運並不會有大的衝擊
[1206.60-1207.60] 主要原因是因為
[1207.60-1209.60] 以散裝航運而言
[1209.60-1211.60] 美國不是一個很大的進口市場
[1211.60-1212.60] 所以呢
[1212.60-1214.60] 如果美國對於進口品
[1214.60-1216.60] 各徵關稅的話
[1216.60-1219.60] 其實影響並不是很巨大
[1219.60-1221.60] 然後美國的散裝貨
[1221.60-1222.60] 像古物啦這一類的
[1222.60-1224.60] 是出口比較多
[1224.60-1225.60] 進口當然不是沒有
[1225.60-1226.60] 可是相對來講的話
[1226.60-1230.60] 比重是不是很大
[1230.60-1231.60] 那再來講的話呢
[1231.60-1232.60] 美國現在也沒有看到
[1232.60-1234.60] 貿易量水封的情形
[1234.60-1235.60] 所以我們認為呢
[1235.60-1238.60] 這種比較散裝航運所載運的這種
[1238.60-1240.60] 比較接近上流物資
[1240.60-1241.60] 不管是機器設備
[1241.60-1243.60] 或者是肥料
[1243.60-1245.60] 這一類的東西都會載到美國
[1245.60-1246.60] 那麼相對來講
[1246.60-1249.60] 收到的幅度其實不是這麼大
[1249.60-1251.60] 但是要說我們都沒有收到關稅的影響
[1251.60-1253.60] 這也我想也不是很正確
[1253.60-1256.60] 因為確實市場現在就是在跌
[1256.60-1257.60] 那這個部分的話
[1257.60-1259.60] 我覺得就是一個第三波的影響
[1259.60-1261.60] 也就是說因為這個關稅的關係
[1261.60-1264.60] 造成了大家對於
[1264.60-1265.60] 經濟的前景
[1265.60-1267.60] 還有投資的計畫
[1267.60-1270.60] 會產生比較大的不確定性
[1270.60-1272.60] 因為接下來這個生產線
[1272.60-1273.60] 要怎麼佈置
[1273.60-1274.60] 要佈置在什麼地方
[1274.60-1277.60] 才可以減少關稅的衝擊
[1277.60-1279.60] 目前是不知道的
[1279.60-1281.60] 只有知道投資到美國
[1281.60-1282.60] 大概就最沒問題
[1282.60-1283.60] 可是在美國的話
[1283.60-1285.60] 也沒有其他的成本
[1285.60-1288.60] 所以這個部分
[1288.60-1291.60] 很多公司也都在觀望
[1291.60-1293.60] 那我們感覺是呢
[1293.60-1294.60] 確實現在市場上是
[1294.60-1297.60] 瀰漫著一個觀望的氣氛
[1297.60-1300.60] 所以從去年下半年開始
[1300.60-1302.60] 市場的動態其實一直都不斷的
[1302.60-1304.60] 就是有些人說
[1304.60-1305.60] 這個不是很難
[1305.60-1308.60] 就是就算指數不低的時候
[1308.60-1310.60] 基本上也是
[1310.60-1314.60] 不算是大家很活絡的這種狀況
[1314.60-1315.60] 那可能會有
[1315.60-1316.60] 這個投資人員會說
[1316.60-1318.60] 是不是有些搶月單等等的情況
[1318.60-1321.60] 我們自己覺得這個不是很明顯
[1321.60-1323.60] 以我們的觀察來看
[1323.60-1325.60] 當然因為沒有什麼確定的資料
[1325.60-1328.60] 可以來佐證這件事情
[1328.60-1329.60] 那再來講的話
[1329.60-1331.60] 就是針對傳播這種特殊費
[1331.60-1333.60] 我們認為其實這當然跟
[1333.60-1337.60] 美國整體在全球造船業
[1337.60-1338.60] 想要扮演什麼樣的角色
[1338.60-1339.60] 有一定的關係
[1339.60-1342.60] 因為中國在造船業方面
[1342.60-1345.60] 占比是一直在增加當中
[1345.60-1347.60] 那麼美國是不是認為
[1347.60-1349.60] 這個會造成一些安全問題
[1349.60-1352.60] 以至於它打壓中國的造船業
[1352.60-1354.60] 這個是有可能的
[1354.60-1360.60] 不過從純粹就以傳播業來看的話
[1360.60-1362.60] 美國目前要發展
[1362.60-1364.60] 自己要發展造船業
[1364.60-1366.60] 我們認為可能性並不高
[1366.60-1369.60] 因為造船業是一個很長的產業鏈
[1369.60-1371.60] 那需要上游的資源
[1371.60-1374.60] 機器設備 鋼材都有需要
[1374.60-1376.60] 而且它的設計人員
[1376.60-1379.60] 然後相關的裝備
[1379.60-1382.60] 都是各個都有涉及到很多專業
[1382.60-1385.60] 所以我們認為造船業的培養
[1385.60-1386.60] 是需要有時間的
[1386.60-1388.60] 那麼美國離這個
[1388.60-1390.60] 可以發展造船業的這個
[1390.60-1392.60] 從近年代的24世紀到現在
[1392.60-1394.60] 已經非常遙遠了
[1394.60-1396.60] 所以以目前美國的經濟狀況
[1396.60-1398.60] 我們其實覺得
[1398.60-1400.60] 美國要針對對中國船客
[1400.60-1402.60] 其他服務費
[1402.60-1405.60] 來培植它國內的造船產業
[1405.60-1407.60] 我想短期內是不太可能的事情
[1407.60-1409.60] 這個是從造船業來看
[1409.60-1412.60] 但是如果對中國的船客
[1412.60-1414.60] 增一些其他的費用
[1414.60-1416.60] 是不是會減少中國船的競爭性
[1416.60-1419.60] 然後促使造船業在其他的國家發展
[1419.60-1421.60] 我想這是有可能的
[1421.60-1422.60] 因為造船其實是一個
[1422.60-1424.60] 相當勞力密集的產業
[1424.60-1425.60] 所以其實在日本船廠
[1425.60-1427.60] 他們面對的問題也不是說
