[0.00-4.50] 請教我們的張總跟林財務長
[276.00-280.00] 在朝當時吳敦義在擔任市長的時候
[280.00-282.00] 我們的前副總統
[282.00-285.00] 在擔任高雄市長的時候的南興計畫
[285.00-287.00] 就是高雄要有兩個基調啦
[287.00-289.00] 要有一本檔件啦
[289.00-291.00] 一個晨天一個雨天啦
[291.00-293.00] 一個檔期來
[293.00-295.00] 一個檔高過啦
[295.00-303.00] 那起來小港機場應該在這個相當多的政府還有民意代表的努力之下
[303.00-306.00] 所以高雄今年陸陸續續到今年底
[306.00-310.00] 會新增15個不同的航點
[310.00-316.00] 那應該如果假設小道消息是正確的
[316.00-319.00] 恐怕即將在年底以前
[319.00-322.00] 這個高雄有機會飛美國
[322.00-323.00] 為什麼
[323.00-325.00] 那就台積電啦
[325.00-327.00] 因為要設廠嘛
[327.00-328.00] 要有這個問題
[328.00-330.00] 你的機械設備
[330.00-333.00] 老總控包含工程師
[333.00-335.00] 你不可能再去投入轉機啊
[335.00-336.00] 不能再去向上轉機嘛
[336.00-337.00] 要飛過去嘛
[337.00-339.00] 那邊要飛過去嘛
[339.00-340.00] 那不過如果我們聽這麼好
[340.00-343.00] 我們高雄當時享受這麼高等的福利工
[343.00-345.00] 我們可以飛一本的雄本
[345.00-347.00] 飛一本的鋼三
[347.00-348.00] 不是高雄鋼三
[348.00-349.00] 日本鋼三
[349.00-350.00] 如果這麼好
[350.00-351.00] 政府當時這麼好
[351.00-353.00] 我們南北要聽得到這麼好的主意耶
[353.00-354.00] 所以中島剛好
[354.00-357.00] 我們軍醫政協的李總統在說
[357.00-359.00] 你對人家說他們北部先走
[359.00-360.00] 不好意思透露你們
[360.00-363.00] 我看是你們對你們北部人比較好
[363.00-365.00] 因為我們台灣有王毅雄的主管
[365.00-366.00] 都投資在北部
[366.00-368.00] 那南部的資源比較少
[368.00-369.00] 但是沒關係啦
[369.00-371.00] 這個有好有壞啦
[371.00-374.00] 這個一開始或許沒有受到最多的關注啦
[374.00-376.00] 但是因為起點低
[376.00-377.00] 基期低
[377.00-379.00] 那相對的漲幅就高啦
[379.00-380.00] 所以漲幅高到原在這裡啦
[380.00-383.00] 你反正都靠那個20分30分的
[383.00-385.00] 這裡的中島課80分
[385.00-386.00] 哇這樣
[386.00-388.00] 剩下的是四倍耶
[388.00-391.00] 北部的人在那裡都課差不多70幾分啊
[391.00-393.00] 他哪怕課到80分
[393.00-394.00] 也剩下的10%而已啊
[394.00-396.00] 這個比例的差距
[396.00-398.00] 有時候在數據上來看的話
[398.00-399.00] 會明顯這樣子
[399.00-401.00] 所以剛剛台談到就是說
[401.00-402.00] 那它會影響什麼區域
[402.00-403.00] 第一個
[403.00-405.00] 我們就從國際觀的角度來看
[405.00-407.00] 光從機場
[407.00-408.00] 航運的這件事情
[408.00-410.00] 那就不得了了
[410.00-411.00] 這裡還有航空機
[411.00-412.00] 因為空運
[412.00-414.00] 它解決部分
[414.00-415.00] 第二個港域
[415.00-416.00] 海港
[416.00-421.00] 那高雄港更不用說了
[421.00-425.00] 早期也是全世界這個前三大的這個
[425.00-427.00] 吞吐量相當大的港口
[427.00-430.00] 但是吞吐量大不代表它經濟成長
[430.00-432.00] 那個只是廢歸舊歸
[432.00-434.00] 但是相對的代表它轉運的機能
[434.00-436.00] 這是可以去肯定的
[436.00-438.00] 所以高雄
[438.00-439.00] 除了有基地的異化
[439.00-440.00] 有一個小型基地
[440.00-441.00] 未來可能有一個
[441.00-443.00] 暫定叫南興機場
[443.00-445.00] 還有我們高雄港
[445.00-448.00] 入運交通
[448.00-449.00] 有公路
[449.00-450.00] 有國一
[450.00-451.00] 國三
[451.00-452.00] 國十
[452.00-453.00] 台88
[453.00-455.00] 還有未來的國七
[455.00-458.00] 那個捷運
[458.00-460.00] 有紅線橘線
[460.00-462.00] 還有未來的黃線
[462.00-465.00] 還有後面可能很久以後的紫線
[465.00-467.00] 我們不想台北這麼多條線
[467.00-468.00] 我們都不去調解
[468.00-469.00] 但是也算
[469.00-470.00] 當台灣來說
[470.00-471.00] 除了台北以外
[471.00-473.00] 捷運最多條線
[473.00-474.00] 其實是高雄
[474.00-475.00] 因為台中一條而已
[475.00-476.00] 也沒有很多
[476.00-477.00] 我講的現有意義
[477.00-479.00] 所以高雄也沒有輸人太多
[479.00-481.00] 那它未來會延伸到什麼區域
[481.00-483.00] 就可以很明顯看到說
[483.00-485.00] 近期台積電為什麼
[485.00-487.00] 好像整個設廠
[487.00-489.00] 大概都是偏往中南部
[489.00-491.00] 大概第一個土地取得
[491.00-493.00] 其實最主要是電
[493.00-495.00] 電
[495.00-496.00] 為什麼
[496.00-497.00] 因為中北不夠電
[497.00-499.00] 我們這裡南電北送
[499.00-501.00] 所以有時候大家
[501.00-502.00] 北部怎麼會停電
[502.00-504.00] 甚至有時候會說
[504.00-506.00] 之前這個像
[506.00-507.00] 財務長他們應該知道
[507.00-508.00] H會館他們之前
[508.00-510.00] 那個平和公路那邊
[510.00-511.00] 那個電線桿
[511.00-512.00] 把它地下化
[512.00-513.00] 很多人不解
[513.00-515.00] 說這個
[515.00-516.00] 蘇前院長
[516.00-517.00] 這個人
[517.00-518.00] 你是屏東出身的
[518.00-520.00] 所以你去那個地方對不對
[520.00-523.00] 怎麼會沒事把他這個電線桿地下化
[523.00-524.00] 一點都沒有幫助
[524.00-525.00] 錯啊
[525.00-526.00] 他當時是河山廠
[526.00-528.00] 電都要往台北送
[528.00-531.00] 否則每次颱風來電線桿就倒掉
[531.00-532.00] 就停電了
[532.00-535.00] 所以有時候我們在看政策面
[535.00-536.00] 作房地產
[536.00-538.00] 我們在看政策面端的時候
[538.00-539.00] 所以把這些
[539.00-540.00] 民情風俗地理環境
[540.00-542.00] 我們把它串在一起看
[542.00-544.00] 所以高雄有這麼好的基準
[544.00-546.00] 想要開通航線
[546.00-548.00] 主要是要我們關公
[548.00-550.00] 主要是要有工程師方便來回
[550.00-552.00] 主要是方便他們的經援
[552.00-553.00] 他們這些東西
[553.00-555.00] 空運來去運送
[555.00-556.00] 方便
[556.00-558.00] 但是當然不像每天到那些工程師
[558.00-559.00] 所以相對的
[559.00-562.00] 老百姓他也會就近去做官方
[562.00-566.00] 所以他未來的整個區域漲幅會比較
[566.00-568.00] 我認為會更明顯的區域
[568.00-571.00] 應該就在台南高雄屏東
[571.00-573.00] 未來會在這三塊
[573.00-576.00] 他相對的基期都是比較低的
[576.00-578.00] 那可能有很多人會說
[578.00-579.00] 沒有耶
[579.00-580.00] 那起子不好養耶
[580.00-581.00] 沒有耶
[581.00-582.00] 剛才我們財務長
[582.00-583.00] 包括我們財務長在觀光
[583.00-584.00] 我們這裡一個人出而已
[584.00-585.00] 一個人出台就
[585.00-586.00] 喊到這樣
[586.00-587.00] 說不定了
[587.00-588.00] 台積電
[588.00-590.00] 不然還要再試耶
[590.00-592.00] 這會跟我說高雄而已
[592.00-594.00] 你如果在台南要求的
[594.00-596.00] 你如果在屏東要求的看
[596.00-598.00] 那不一樣耶
[598.00-600.00] 一個嘉義說那是一個區
[600.00-601.00] 寒到一天寒到四十幾萬
[601.00-602.00] 要到五十萬耶
[602.00-603.00] 走四天
[603.00-605.00] 請問他們靠港有關嗎
[605.00-606.00] 沒有耶
[606.00-608.00] 嘉義關到四十幾萬人而已
[608.00-610.00] 嘉義關四十幾萬人耶
[610.00-613.00] 屏東關還有最近八十萬人耶
[613.00-615.00] 我還去那裡出多少
[615.00-616.00] 所以
[616.00-620.00] 人口是不是絕對是代表一個區域發展的衡量
[620.00-621.00] 這個
[621.00-623.00] 各家自由解讀
[623.00-624.00] 我尊重
[624.00-625.00] 澳門人口也不多
[625.00-626.00] 澳門的房價多少
[626.00-628.00] 所以這個可以去比喻
[628.00-629.00] 但是
[629.00-630.00] 就業
[630.00-633.00] 它會帶動人口紅利
[633.00-634.00] 這是必然的
[634.00-635.00] 因為就業的話
[635.00-637.00] 它就會有對應的收益
[637.00-640.00] 有可能就需要去做
[640.00-642.00] 有可能需要買車
[642.00-644.00] 一個走寒的
[644.00-645.00] 就很需要買車
[645.00-646.00] 有可能需要
[646.00-647.00] 大眾運輸系統
[647.00-648.00] 有可能需要吃飯
[648.00-649.00] 有可能需要消費
[649.00-651.00] 如果有車子
[651.00-652.00] 車子要跟孩子來
[652.00-654.00] 可能需要去遊蕾行
[654.00-656.00] 可能需要shopping
[656.00-657.00] 需要購物
[657.00-658.00] 需要逛街
[658.00-660.00] 然後它就會有醫療的需求
[660.00-662.00] 然後它可能會有會議的需求
[662.00-664.00] 種種等等
[664.00-666.00] 所以這是一個區域的邏輯概念
[666.00-669.00] 所以如果要問我的個人觀點
[669.00-671.00] 當然我會認為說
[671.00-672.00] 未來
[672.00-673.00] 以台積電
[673.00-674.00] 台積載業影響最大
[674.00-675.00] 一定就是台南
[675.00-676.00] 台南
[676.00-677.00] 高雄跟屏東
[677.00-678.00] 這三個
[678.00-679.00] 重中之重
[679.00-680.00] 高雄
[680.00-681.00] 啊
[681.00-682.00] 早總
[682.00-683.00] 你人家高雄
[683.00-684.00] 說高雄不像
[684.00-685.00] 台南起一波嘛
[685.00-686.00] 對啊
[686.00-689.00] 台南南科它已經一段時間成熟
[689.00-690.00] 那會不會漲
[690.00-691.00] 我還是看好
[691.00-692.00] 它還是會漲
[692.00-694.00] 只是如果你要相對那個基期
[694.00-695.00] 那它會
[695.00-696.00] 漲幅呢
[696.00-697.00] 搞不好屏東
[697.00-698.00] 大家會沒有
[698.00-699.00] 總會屏東
[699.00-700.00] 對
[700.00-703.00] 不要小瞧不起它
[703.00-705.00] 它目前也在成熟
[705.00-708.92] 僅差
[708.92-710.00] 應該
[710.00-710.80] 它現在
[710.80-712.00] 它整個到了
[712.00-713.00] 如果去高雄
[713.00-713.20] 屏東
[713.20-715.00] lit
[715.00-715.52] 撞了
[715.52-716.00] 沒煙
[716.00-717.00] innovator
[717.00-718.00] 放唇
[718.00-719.00] 要爆
[719.00-720.00] 那張
[720.00-721.00] 蔬本当有效
[721.00-721.60] 我跟大家過來
[721.60-724.00] 看看
[724.00-726.00] 世界中最多高級航班
[726.00-727.00] 最高級航班
[727.00-729.00] 超過1.3万 units
[729.00-730.00] 是大部分的
[730.00-731.00] 但是
[731.00-732.00] 是一當
[732.00-733.00] 所謂高級投 tire
[733.00-734.00] 是一上
[734.00-735.00] 105萬
[735.56-738.06] 這個我覺得壓力會大一點點
[738.06-739.06] 因為太快了
[739.18-740.38] 太快了
[740.38-742.50] 但是當然房地產一定要週期
[742.50-744.46] 大家要記住房地產週期是10年
[744.86-746.18] 用10年的角度
[746.18-747.40] 你現在到處搬不上
[747.40-748.72] 你要看未來10年
[748.86-750.36] 你不是看今年
[750.62-752.06] 看馬年 看後年
[752.06-752.90] 要這樣看
[752.90-753.70] 很快看
[753.70-755.10] 我們這個開花一棟
[755.10-755.70] 大家知道嗎
[755.70-756.70] 這種叫漢來
[756.70-758.90] 一棟1995年
[759.64-761.70] 1995年起的時候
[761.70-762.70] 旁邊是
[762.70-764.70] 荒煙漫步
[764.70-766.70] 大家怎麼會去銀洞車
[766.70-767.70] 沒有人去銀洞車
[767.70-768.70] 但是進去看
[768.70-769.70] 不得了
[769.70-770.70] 這附近
[770.70-771.70] 吃六個
[771.70-774.70] 不管要去瑤安區
[774.70-776.70] 還是要去流行音樂中心
[776.70-777.70] 要去碼頭
[777.70-778.70] 尤其如果我們台北下
[778.70-779.70] 一定覺得看來收選
[779.70-780.70] 沒有
[780.70-781.70] 1999年起的時候
[781.70-782.70] 你來會覺得說
[782.70-783.70] 高雄人真無聊
[783.70-785.70] 在這種莫名其妙的地方
[785.70-786.70] 用一棟樓
[786.70-787.70] 那房子沒什麼好
[787.70-788.70] 沒有
[788.70-789.70] 這個又不會蓋
[789.70-792.70] 所以房地產看它每個週期就是10年
[792.70-794.70] 一個週期比一個週期
[794.70-795.70] 它是越來越成長
[795.70-796.70] 台積載是個議題
[796.70-798.70] 它未來還有更多更多的議題
[798.70-800.70] 這些議題可能也期待大家可以
[800.70-803.70] 陸續的透過群意證券
[803.70-807.70] 他們的相關的報導分析
[807.70-808.70] 可以去了解
[808.70-809.70] 這是我個人的一些前見跟觀點
[809.70-810.70] 謝謝
[810.70-811.70] 好 我們謝謝張總
[811.70-813.70] 我為大家小結一下
[813.70-815.70] 就是說這個未來的五年
[815.70-817.70] 台中高雄跟屏東
[817.70-819.70] 因為這個科技產業的進駐
[819.70-821.70] 所以具有這個
[821.70-822.70] 很好的這個通關
[822.70-823.70] 這個投資潛力
[823.70-826.70] 那反之這個台中的這個水南的經貿園區
[826.70-828.70] 因為近期的這個房價飆升
[828.70-830.70] 這個以及這個供需失衡
[830.70-832.70] 那短期內可能會面臨比較大的風險
[832.70-834.70] 那我再簡單小結一下
[834.70-837.70] 也就是說這個高雄的亞灣特區
[837.70-839.70] 跟這個半導體的S廊
[839.70-840.70] 帶有這個潛力
[840.70-842.70] 那漲幅過高或是
[842.70-843.70] 以及這個缺乏同
[843.70-845.70] 同剛性需求支撐的區域
[845.70-848.70] 反觀來講就是風險比較大
[848.70-849.70] 好 那接下來的話
[849.70-850.70] 我再請教下一題
[850.70-851.70] 就是說
[851.70-854.70] 在政府推出這個緊縮的房市的情況下
[854.70-858.70] 今年的房市出現價跌量縮的情況
[858.70-861.70] 那面對這波房市緊縮的週期
[861.70-863.70] 想問這個兩位專家說
[863.70-865.70] 會公司有採取了哪些策略
[865.70-867.70] 來因應這個市場的變化
[867.70-869.70] 那一樣我們先請張總
[873.70-874.70] 剛剛你才會講說
[874.70-876.70] 不能宣傳公司的產品
[876.70-878.70] 所以我們就不能宣傳
[879.70-880.70] 但是我們把它
[880.70-881.70] 把它量化
[881.70-883.70] 剛剛主持人在問這個就是說
[883.70-886.70] 針對應該是具體的問題
[886.70-888.70] 應該會說針對今年
[888.70-889.70] 針對今年
[889.70-892.70] 因為房地產它走上說一個週期是10年
[892.70-895.70] 所以大家房地產現在從以前
[895.70-898.70] 土地取得跟銷售完成交屋
[898.70-900.70] 大概以前抓3年4年
[900.70-902.70] 現在大概抓6年了
[902.70-903.70] 因為這個工期會比較長
[903.70-905.70] 因為缺工缺料
[905.70-907.70] 因為這個COVID-19疫苗
[907.70-909.70] 大家這個介紹的
[909.70-911.70] 從剛剛介紹都化出光了
[911.70-914.70] 所以營建成本已經超出大家的想像
[914.70-918.70] 所以以前在高雄有那種二字頭的
[918.70-922.70] 當時沒買的一定要狠狠的催新章三下
[922.70-925.70] 然後以示下次再有這個機會
[925.70-927.70] 但是應該沒有這個機會
[927.70-929.70] 下次就換五字頭沒有買的
[929.70-930.70] 就再催又下
[930.70-932.70] 因為它越來越波的漲
[932.70-933.70] 不會越來越高
[933.70-935.70] 那變化為什麼呢
[935.70-938.70] 就是剛剛林財務長剛才也在說明說
[938.70-941.70] 可能美加公司的政策不同
[941.70-943.70] 我想政策同不同
[943.70-945.70] 除了是有部分的觀點
[945.70-947.70] 但是會跟著趨勢的
[947.70-952.70] 因為可能在原則上在2000年以前
[952.70-956.70] 我們台灣的家戶人口的人均戶數
[956.70-960.70] 大約是在3點多人一戶
[960.70-962.70] 還要更正經一點
[962.70-965.70] 1970年的時候
[965.70-967.70] 4點多快到5
[968.70-970.70] 正的
[970.70-972.70] 正差不多到1.5億人來講
[972.70-974.70] 我數字我手邊沒有帶
[974.70-976.70] 但是大概我印象中
[976.70-978.70] 大概是2.12人
[978.70-980.70] 所以代表什麼意思
[980.70-982.70] 你年輕越來越久嘛
[982.70-985.70] 所以我算一個4萬的
[985.70-988.70] 他也是在卡卡的這2萬
[988.70-990.70] 大概這個邏輯
[990.70-995.70] 他可能他的房數會隨著你的家戶人口數減低
[995.70-998.70] 所以有時候我們在做這個行業
[998.70-1000.70] 我們就做這樣的一個推敲
[1000.70-1002.70] 大數據一看嘛
[1002.70-1005.70] 就像剛剛我們群眾證件幾位專家
[1005.70-1007.70] 你從大數據看的時候
[1007.70-1009.70] 他已經告訴你這件事
[1009.70-1014.70] 我們就說你靠大家的維持2340億人左右
[1014.70-1017.70] 到現在也是這樣
[1017.70-1020.70] 減價也是兩千三百多萬
[1020.70-1023.70] 那我們的戶數一直在增加喔
[1023.70-1026.70] 近這20年我們台灣的戶數是
[1026.70-1028.70] 非常認真的努力
[1028.70-1030.70] 我們一直在往前衝喔
[1030.70-1031.70] 如果有小孩大學
[1031.70-1032.70] 他自己就出力
[1032.70-1033.70] 就要生家裡了嘛
[1033.70-1035.70] 他就繼續學啊
[1035.70-1036.70] 像我兩個女兒
[1036.70-1038.70] 我們家裡他還變三戶
[1038.70-1040.70] 這一定的啊
[1040.70-1041.70] 他就變三戶
[1041.70-1042.70] 主人踢飛了嘛
[1042.70-1044.70] 所以到一個年紀以後
[1044.70-1047.70] 可能我小孩如果都嫁娼
[1047.70-1049.70] 我看我媽也要長這麼大了
[1049.70-1051.70] 我才短兩百的就好了
[1051.70-1053.70] 我可能就比較舒適啊
[1053.70-1054.70] 我壓力也不會那麼大啊
[1054.70-1056.70] 所以不懂善
[1056.70-1057.70] 他本身在中國大會叫
[1057.70-1059.70] 商品房
[1059.70-1061.70] 意思是商品
[1061.70-1063.70] 他不是萬年久萬無改變的
[1063.70-1065.70] 商品隨著你的時間
[1065.70-1067.70] 就像我們騎車子這樣
[1067.70-1069.70] 以前最早車子出來的時候
[1069.70-1070.70] 叫五金公
[1070.70-1071.70] 一大大機
[1071.70-1073.70] 台灣大哥大武
[1073.70-1075.70] 後來就開始出了小機的
[1075.70-1076.70] 等到越小機的
[1076.70-1078.70] 騎出來比較有原則
[1078.70-1079.70] 最近開始改了
[1079.70-1080.70] 這越騎越大機
[1080.70-1081.70] 還6.5吋的
[1081.70-1083.70] 後來又有人騎平板
[1083.70-1085.70] 那比較好啦
[1085.70-1086.70] 那要戴耳機才對啦
[1086.70-1087.70] 怎麼樣
[1087.70-1088.70] 你變滑
[1088.70-1089.70] 他電視
[1089.70-1090.70] 如果4.2吋
[1090.70-1091.70] 說很大台啊
[1091.70-1092.70] 這要一百吋
[1092.70-1095.70] 這要連那Apartment
[1095.70-1096.70] 客房
[1096.70-1097.70] 還是用銷量方面出租的
[1097.70-1099.70] 人家也要賺六十五吋
[1099.70-1100.70] 不然
[1100.70-1103.70] KTA距離2.8米
[1103.70-1105.70] 人家要賺一百吋
[1105.70-1106.70] 我們這樣看
[1106.70-1107.70] 他舒適你唱歌
[1107.70-1109.70] 但有不同的
[1109.70-1111.70] 那以前我認識的小家庭
[1111.70-1112.70] 既然是小家庭
[1112.70-1114.70] 應該就是那種小小的洗衣機
[1114.70-1115.70] 沒有
[1115.70-1117.70] 他要大台
[1117.70-1120.70] 但是平常是沒在洗
[1120.70-1121.70] 他也會很喪心
[1121.70-1122.70] 他就擺在後面
[1122.70-1123.70] 這就說
[1123.70-1124.70] 除了沒在做什麼
[1124.70-1125.70] 平常洗台沒有
[1125.70-1126.70] 他要大台
[1126.70-1128.70] 要有很多兩檔位
[1128.70-1129.70] 他一直在網購
[1129.70-1131.70] 但是很流暢
[1131.70-1133.70] 要越搭越多
[1133.70-1134.70] 開心啊
[1134.70-1136.70] 這就是社會的演變
[1136.70-1138.70] 社會的演變會造成你在
[1138.70-1139.70] 台風影廠上面
[1139.70-1141.70] 你的產品的格局的量化
[1141.70-1142.70] 譬如說
[1142.70-1143.70] 它的著重點
[1143.70-1145.70] 所以我們就會去想
[1145.70-1148.70] 根據目前市場所需求的面積段
[1148.70-1149.70] 以及消費行為
[1149.70-1150.70] 譬如說
[1150.70-1153.70] 我們公司當這個八檔錢
[1153.70-1155.70] 我們就開始設這個
[1155.70-1157.70] 二家一房正雙位育
[1157.70-1158.70] 對
[1158.70-1159.70] 兩房的愛護
[1159.70-1160.70] 兩特別收
[1160.70-1161.70] 為什麼買兩房的
[1161.70-1162.70] 不可以像三房那樣
[1162.70-1163.70] 有一個主位育
[1163.70-1164.70] 主臥室的概念
[1164.70-1166.70] 那八年前我們就在退
[1166.70-1167.70] 一開始設的時候
[1167.70-1169.70] 市場反應不好
[1169.70-1170.70] 都說要求要卡掉
[1170.70-1172.70] 要做出嘗試
[1172.70-1173.70] 我們覺得說
[1173.70-1174.70] 我們假想的
[1174.70-1175.70] 結果
[1175.70-1176.70] 假設你一定要
[1176.70-1177.70] 發現怎麼
[1177.70-1178.70] 六年前開始
[1178.70-1179.70] 全部市場都變這樣了
[1179.70-1180.70] 就代表說
[1180.70-1181.70] 我們遇見了
[1181.70-1182.70] 另外就是
[1182.70-1184.70] 你的工作陽台的尺寸
[1184.70-1185.70] 要夠的放下
[1185.70-1186.70] 我說的喜多宏
[1186.70-1188.70] 你的這個儲蓄的部分呢
[1188.70-1190.70] 雖然它沒有租價
[1190.70-1191.70] 但是坦白說
[1191.70-1193.70] 我們這裡如果比較有
[1193.70-1194.70] 年紀跟我差不多的
[1194.70-1196.70] 甚至比我略長一點點的阿姨
[1196.70-1198.70] 大家都一定很會租價
[1198.70-1200.70] 但是如果年紀比我略輕的呢
[1200.70-1202.70] 多多少少三歲
[1202.70-1203.70] 還要我租多少錢
[1203.70-1204.70] 所以他們就該有
[1204.70-1206.70] IH-6
[1206.70-1207.70] 看得會的東西
[1207.70-1209.70] 看得會的東西
[1209.70-1210.70] 我們以前都租泡棉而已
[1210.70-1211.70] 但是租泡棉
[1211.70-1212.70] 就是要獨孤
[1212.70-1213.70] 要漂亮漂亮
[1213.70-1214.70] 它就在那邊漂亮
[1214.70-1215.70] 它不實用沒關係
[1215.70-1216.70] 要有風暖機
[1216.70-1217.70] 想要有洗暖機
[1217.70-1218.70] 但是都不想要
[1218.70-1219.70] 沒關係
[1219.70-1220.70] 讓人來看
[1220.70-1221.70] 漂亮就好了
[1221.70-1223.70] 所以它的觀念
[1223.70-1224.70] 已經在做修正了
[1224.70-1225.70] 然後它的電視
[1225.70-1227.70] 包含它網路系統
[1227.70-1229.70] 包含它要求一些
[1229.70-1231.70] 建材的配置
[1231.70-1232.70] 它可能要求就要很高
[1232.70-1234.70] 就希望比較好
[1234.70-1235.70] 我可能這個
[1235.70-1236.70] 以前在排風扇
[1236.70-1237.70] 這裡要三合一的
[1237.70-1238.70] 要四合一的
[1238.70-1240.70] 我可能要有房滿的沙窗
[1240.70-1241.70] 我可能要這樣什麼
[1241.70-1242.70] 對
[1242.70-1243.70] 它的想法一直在與之俱增
[1243.70-1244.70] 然後再來呢
[1244.70-1246.70] 它並不打算約人家
[1246.70-1248.70] 約親友到它家來
[1248.70-1250.70] 所以它需要有一個
[1250.70-1252.70] 漂亮的公設
[1252.70-1254.70] 以及完善的
[1254.70-1255.70] 載配空間
[1255.70-1256.70] 為什麼
[1256.70-1258.70] 大家都很高興的
[1258.70-1259.70] 有的連中方
[1259.70-1260.70] 他都在那邊
[1260.70-1261.70] 用那個蝦皮
[1261.70-1263.70] 那一道
[1263.70-1265.70] 一個客戶一會兒整個來
[1265.70-1266.70] 怕是
[1266.70-1267.70] 你一會兒
[1267.70-1268.70] 不願意念
[1268.70-1270.70] 就是沒辦法
[1270.70-1271.70] 所以這個就是
[1271.70-1272.70] 也在調試
[1272.70-1274.70] 這個有大樓的一個總統
[1274.70-1275.70] 所以我們在這一塊去做調整
[1275.70-1276.70] 第二個就是
[1276.70-1278.70] 我們也因應到
[1278.70-1280.70] 剛剛我們有提到新清安
[1280.70-1282.70] 其實我個人的見解是
[1282.70-1284.70] 新清安真的沒有造成房地產
[1284.70-1285.70] 多大的傷害
[1285.70-1286.70] 可能不好意思
