[0.88-3.50] 各位投资以及媒体先进大家好
[328.68-331.24] 最近又加上汇率变动的因素
[331.24-333.28] 所以我们对于接下来的展望
[333.28-338.16] 会先抱持着比较审慎的看法
[338.16-339.18] 整体来看
[339.18-341.48] 预期第二季相较于第一季
[341.48-343.78] 以及去年同期
[343.78-347.36] 都将有显著成长
[347.36-349.16] 从四个产品来看
[349.16-351.20] 在消费智能产品方面
[351.20-355.04] 主要的产品进入新旧产品交换期
[355.04-358.38] 再加上第一季有新产品推出
[358.38-360.94] 以及近期汇率的因素
[360.94-362.74] 我们预期季对季
[362.74-365.80] 会有略微衰退的情况
[365.80-369.64] 相较于去年同期的大致持平
[369.64-371.70] 在云端网路产品
[371.70-376.04] 随着AI伺服器机柜量产情况越来越成熟
[376.04-379.62] 以及通用伺服器的强劲需求持续
[379.62-385.00] 预计这个产品可以达到强劲成长
[385.00-387.56] 电脑终端产品在第二季
[387.56-388.34] 第一季
[388.34-390.14] 以及去年同期
[390.14-392.18] 都有新产品上市
[392.18-396.02] 预期这一季的表现将大致持平
[396.02-398.84] 在原件以及其他
[398.84-402.16] 主要业务相关的零组件出货增加
[402.16-403.96] 所以这个产品类别
[403.96-409.84] 在季对季年对年也都会显著成长
[409.84-412.14] 在去年展望的部分
[412.14-414.20] 在全年展望的部分
[414.20-416.50] 我们看到的变数
[416.50-418.30] 比上次法说会时
[418.30-420.60] 又更多了
[420.60-426.24] 除了刚提到关税地缘政治以及全球货币政策的变动
[426.24-429.56] 可能影响全球景气表现之外
[429.56-433.66] 即使目前的销量预估并没有太大的变化
[433.66-435.70] 但是因为汇率的关系
[435.70-441.60] 可能会影响到转换成台币后的营收金额的表现
[441.60-444.42] 因此相较于3月份来看
[444.42-448.26] 我们对今年展望会比较审慎一些
[448.30-451.38] 所以我们略微调整今年的展望
[451.38-454.96] 到显著成长
[454.96-457.26] 至于四个主要产品的展望
[457.26-459.56] 方向大致维持不变
[459.56-461.10] 云端网路产品
[461.10-463.66] 仍是主要的成长动能
[463.66-466.48] 尤其AI伺服器的产品能见度
[466.48-468.52] 非常好
[468.52-473.64] 下一个部分我将说明近期的重要事业发展
[473.64-478.26] 最近全球的政经局势和关税政策变化很快
[478.30-481.62] 让整个供应链面临很大的挑战
[481.62-485.22] 但其实我们早在四五年前就已经看到
[485.22-488.02] 区域制造会是一个趋势
[488.02-493.92] 而且当时就开始着手把制造能力往各个区域去扩张
[493.92-498.78] 我们用灵活的供应链管理加上在地生产的策略
[498.78-504.42] 现在已经在全球建立了233个稳固的据点
[504.42-507.22] 而我们在全球的这些生产据点
[507.22-508.26] 横跨了24个国家
[508.26-512.86] 除了亚洲是主要的基地之外
[512.86-516.46] 我们在美洲拥有超过50个据点
[516.46-521.82] 欧洲和印度也分别布局超过了10个据点
[521.82-527.20] 我们在各地更累积了多年的在地营运的经验
[527.20-529.26] 和充沛的人力资源
[529.26-535.14] 这样子的布局让我们能够快速回应客户的需求
[535.14-537.96] 今年我们的云端网路产品
[537.96-538.22] 还是最新的产品
[538.22-539.24] 我们的云端网路产品
[539.24-541.30] 是最主要的成长动能
[541.30-542.32] 回顾第一季
[542.32-545.90] AI伺服器业务的表现相当亮眼
[545.90-547.70] 跟去年同期相比
[547.70-550.76] 营收成长超过50%
[550.76-551.78] 这表示
[551.78-555.38] 市场对算力的需求还是非常强劲
[555.38-558.44] 不管是AI伺服器还是通用型的
[558.44-559.22] 伺服器
[559.22-563.06] 出货量都明显提升
[563.06-565.10] 从客户的角度来看
[565.10-567.92] 今年北美各大CSP厂都宣布
[567.92-572.78] 要持续扩大他们在AI基础设施的投资
[572.78-577.64] 在训练与推理型的AI的大幅成长的带动下
[577.64-582.26] 对通用型伺服器的采购量也同步提升
[582.26-590.20] 这也是我们整体伺服器出货量可以大幅成长的原因
[590.20-592.50] 随着我们自动化程度不断的提高
[592.50-595.32] 生产的良率也越来越好
[595.32-597.62] 所以如同上次法车会
[597.62-599.16] 我跟大家提到的
[599.16-604.28] AI伺服器的表现应该会一季比一季更好
[604.28-606.32] 以目前的情况来看
[606.32-609.40] 我们预估第二季AI伺服器的营收
[609.40-611.44] 不管是跟上一季比
[611.44-614.00] 还是跟去年同期比
[614.00-618.62] 预期都会有将近倍数的成长
[618.62-621.94] 随着AI伺服器进入大量交货期
[621.94-623.74] 预计它将
[623.74-627.58] 为我们的营收带来更显著的贡献
[627.62-629.66] AI伺服器的营收占比
[629.66-637.10] 也有希望超过整体伺服器营收的五成的目标
[637.10-639.14] 接下来我想跟大家分享一下
[639.14-643.50] 我们在智慧制造以及数位健康方面的发展
[643.50-646.06] 3月份在GTC的大会上
[646.06-651.68] 我们展示了以AI Factory为核心的智慧制造应用的成果
[651.68-655.52] 并且第一次公开了可以安全协助
[655.52-657.58] 并送医院检体的
[657.58-660.40] 医护机器人NeuroBot
[660.40-666.28] 以及结合了自动搬运功能的半导体复合型机器人
[666.28-669.36] 另外在伺服器的产线
[669.36-674.48] 机器人组装以及电动巴士工厂的总装模拟
[674.48-675.76] 等专案中
[675.76-679.34] 我们也导入了数位暖身技术
[679.34-682.42] 这帮助我们提升了生产效率
[682.42-685.22] 和设施规划的能力
[685.22-687.02] 在GENAI方面
[687.02-691.88] 我们也积极导入了GENETIC AI的智慧管理技术
[691.88-698.54] 希望能够提升工厂的营运效率以及数据整合的能力
[698.54-699.82] 在EV的部分
[699.82-706.22] 相信大家上周都收到了我们跟山林汽车正式展开合作的好消息
[706.22-707.24] 在未来
[707.24-708.52] 我们也预计
[708.52-711.60] 将协助他们在大洋洲
[711.60-715.70] 销售我们设计开发的车型
[715.70-716.98] 这也呼应了
[717.02-720.60] 我之前提到的EV三大指标之一
[720.60-723.94] 取得传统车厂的订单
[723.94-729.06] 我们在一步一步的实现我们EV事业的目标
[729.06-735.96] 上个月我们在东京首度举办了电动车布局三大策略的发表会
[735.96-738.26] 吸引了数百位来自
[738.26-740.82] 日本汽车产业的人士参与
[740.82-745.18] 他们对我们的委托制造服务CMS
[745.18-746.98] 和委托设计
[746.98-750.30] 制造服务CDMS的模式
[750.30-753.38] 以及垂直整合全球布局的策略
[753.38-755.68] 都很感兴趣
[755.68-756.70] 我们希望
[756.70-758.50] 这次和山林的合作
[758.50-762.60] 能够引领我们未来跟更多的国际车厂
[762.60-765.16] 包括日本传统车厂
[765.16-767.72] 的合作机会
[767.72-768.48] 另外
[768.48-771.30] 大家期待已久的Model B
[771.30-773.10] 跨界休旅车
[773.10-776.94] 也预计在今年下半年正式开始量产
[776.98-779.54] 而电池方面
[779.54-780.56] 合发厂
[780.56-784.66] 已经具备有量产的能力并且已经
[784.66-787.48] 提供产品给客户测试
[787.48-788.24] 后续
[788.24-791.06] 我们会配合国内电动巴士
[791.06-793.10] 和商用车客户的
[793.10-794.38] 计划进度
[794.38-800.02] 协助他们完成电动车国产化的年度目标
[800.02-802.84] 在半导体的发展方面
[802.84-804.38] 车用产品
[804.38-806.94] 正按照进度在第二季开始量产的目标
[806.98-812.10] 同时我们在次世代SIC MOSFET
[812.10-813.12] 这个领域
[813.12-816.20] 拥有优于业界的技术规格
[816.20-820.04] 能够显著提高功率转换效率
[820.04-822.60] 减少能源浪费
[822.60-823.88] 这个部分
[823.88-829.00] 我们预计在今年下半年就可以进入量产
[829.00-832.32] 至于3DIC的设计服务
[832.32-836.94] 我们也已正式跨入了这个门槛很高的领域
[836.94-838.98] 成为台湾少数
[838.98-842.32] 能够提供这项服务的厂商之一
[842.32-848.46] 我们也预计在今年会跨入AI ASIC晶片的设计服务
[848.46-851.28] 并且逐步扩大在欧洲
[851.28-856.14] 美洲以及东南亚的业务布局
[856.14-858.70] 前些时候大家应该有看到
[858.70-864.34] 我们取得了日本福山8寸晶圆厂的100%股权
[864.34-865.36] 接下来
[865.36-866.64] 我们预期可以透过
[866.94-869.24] 3DIC的专业设计服务
[869.24-872.58] 来提升我们在半导体领域的布局
[872.58-876.66] 增加垂直整合和供应链自主的能力
[876.66-882.04] 同时也达到分散生产基地的一个效果
[882.04-884.60] 在低轨卫星领域
[884.60-891.26] 我们正积极参与国家太空中心所主导的各项专案计划
[891.26-895.36] 也在整合国内外顶尖技术与资源
[895.36-896.90] 逐步完善设计
[896.90-903.56] 以及测试并加速我们在6G上的布局
[903.56-907.66] 集团旗下布着半导体设备的金顶
[907.66-912.26] 前阵子也宣布收购富兰登科技
[912.26-917.38] 未来将有助我们在航太产业的发展
[917.38-921.22] 这也让我们化足了无人机的产业
[921.22-923.52] 未来会结合现有的技术
[923.52-925.58] 创造出更多的应用
[926.90-929.72] 接下来我请James跟大家来分享
[929.72-933.04] 集团近期的重大事件
[933.04-934.58] 谢谢董事长
[934.58-937.90] 接下来我针对几个比较重要的近期事件
[937.90-940.98] 来跟大家分享
[940.98-942.52] 在公司治理方面
[942.52-944.82] 我们的中央原局长杨秋景
[944.82-946.62] 已经接任了轮值CEO
[946.62-948.14] 这也象征着
[948.14-949.94] 我们的集团接班人制度
[949.94-953.52] 迈向更永续以及更多元化的做法
[953.52-955.58] 再来就是刚刚董事长提到的
[955.58-956.86] 策略长关润
[956.90-961.76] 在日本盛大举行的集团电动车策略的说明会
[961.76-964.06] 另外我们的产品党肖才佑
[964.06-968.68] 也获选为美国全国制造商协会的董事会成员
[968.68-970.46] 这也凸显出鸿海
[970.46-972.78] 在全球制造业的地位
[972.78-974.06] 即使是在美国
[974.06-976.86] 也是越来越受到重视
[976.86-978.92] 在智慧城市的推动方面
[978.92-981.48] 我们与台北市政府携手合作
[981.48-986.86] 共同推动AI驱动未来台北的智慧城市方案
[986.90-989.98] 另外我们的智慧电动巴士厂站
[989.98-991.76] 数位燃身解决方案
[991.76-995.86] 也获得了2025年的智慧城市创新应用奖
[995.86-997.40] 这部分也显示出
[997.40-1002.00] 我们在智慧交通的AI应用能力
[1002.00-1003.80] 而在研究与创新方面
[1003.80-1008.40] 近期我们正式加入了全球专业联盟LAT Network
[1008.40-1013.52] 这个可以进一步强化鸿海在智慧财产的一个保护机制
[1013.52-1015.32] 此外我们连续八年
[1015.32-1018.14] 重登了全球百大创新机构
[1018.14-1022.74] 展现了我们在创新研发的长期投入成果
[1022.74-1025.04] 在前瞻技术的合作方面
[1025.04-1026.32] 鸿海研究院
[1026.32-1029.66] 与台湾大学携手日本的NICT
[1029.66-1033.50] 成功的突破了新监光通讯的关键技术
[1033.50-1037.60] 同时研究院也在第四代半导体的应用上面
[1037.60-1043.48] 透过跨国的合作成功掌握下一世代电晶体的关键技术
[1043.48-1045.28] 在ESG的实践方面
[1045.28-1048.36] 也有多项的成果来跟大家分享
[1048.36-1052.96] 首先我们首度被纳入标普全球永续年鉴
[1052.96-1055.52] 并且获得产业最佳进步奖
[1055.52-1059.62] 代表我们在ESG的领域有很大的一个进步
[1059.62-1064.48] 另外我们也扩大了第三方RBA VAP的一个集合范围
[1064.48-1069.34] 耗时半年完成了横跨全球九个主要园区的集合
[1069.34-1071.14] 全面的提升的确信度
[1071.14-1073.96] 也落实了ESG的供应链管理
[1075.28-1079.64] 上个月我们也举办了第二届鸿海富士康的永续奖
[1079.64-1080.92] 透过这个奖项
[1080.92-1085.00] 我们鼓励来自于全球更厂区的一个员工以及供应商
[1085.00-1089.62] 发挥创意以实际的行动来推动ESG
[1089.62-1092.18] 在近期的参展活动方面
[1092.18-1095.24] 今年的NVIDIA的GTC大会上面
[1095.24-1099.34] 我们发表了最新一代的GB300 AI伺服器
[1099.34-1103.18] 并且同步分享了三大智慧平台的最新应用
[1103.18-1105.24] 展现我们在AI基础建设的一步
[1105.28-1109.12] 以及在AI的研发能量 生存能力
[1109.12-1112.20] 此外我们也参加了台北国际车电展
[1112.20-1114.24] 并且展示在电动车
[1114.24-1119.10] 车用零组件以及国产化电池的最新进展
[1119.10-1120.38] 最后
[1120.38-1122.44] 在下一周的Computex
[1122.44-1124.22] 我们也有参与展出
[1124.22-1126.52] 欢迎各位利灵参观
[1126.52-1129.86] 一同欣赏最新一代的AI伺服器机柜
[1129.86-1133.44] 以及机器人在三大智慧平台的应用
[1133.44-1135.74] 好 谢谢James
[1135.74-1140.10] 那接下来我们进入法说会的第二个阶段问答时间
[1140.10-1143.94] 我们先针对大家会前的提问会长跟各位报告
[1143.94-1147.00] 之后就会开放自由提问
[1147.00-1150.60] 那第一题有关关税的议题想要请教董事长
[1150.60-1153.66] 目前整个全球关税的政策多变
[1153.66-1156.22] 那要如何评估对于公司的影响
[1156.22-1159.56] 包含像产能的调配 全球布局等等
[1159.56-1161.60] 那公司有哪些因应的策略
[1161.60-1163.40] 对我们又会带来哪些结果呢?
[1163.44-1167.02] 还有什么机会与挑战? 谢谢
[1167.02-1170.36] 因为近期关税政策的变化
[1170.36-1173.68] 现在对企业来讲最大的课题就是
[1173.68-1178.04] 全球化布局的程度以及供应链的韧性
[1178.04-1183.16] 所幸在很多年前我们就已经展开了更为区域化的布局
[1183.16-1187.50] 可以弹性的来因应客户的需求来做调整
[1187.50-1190.32] 影响相对较轻
[1190.32-1193.40] 现在为了搭配整体的供应链
[1193.40-1199.28] 在供应地缘政治的风险以及供应链的多元化的一个策略下
[1199.28-1203.64] 我们在全球持续进行了产能的布卷
[1203.64-1206.72] 也正在加速
[1206.72-1209.52] 加快我们的布局的脚步
[1209.52-1215.42] 以强化我们在区域制造 区域交付的能力
[1215.42-1219.76] 过去一年全球厂区与办公室的数量
[1219.76-1222.32] 我们就增加了超过10%
[1222.32-1223.36] 来到了200%
[1223.40-1224.68] 33个
[1224.68-1231.34] 这就是我们布局更加完整的一个证明
[1231.34-1233.90] 目前我们在墨西哥
[1233.90-1239.02] 印度 越南 欧洲等地的产线也逐步的到位
[1239.02-1240.56] 有效的提升
[1240.56-1244.40] 公司灵活性与抗风险的能力
[1244.40-1245.92] 在台湾
[1245.92-1249.26] 美国 中国大陆 印度的新事业发展
[1249.26-1253.10] 也有很多的计划正在进行
[1253.10-1260.78] 虽然关税造成部分地区的原材料或是物流的成本短期会上升
[1260.78-1265.64] 但我们透过垂直整合以及与客户的协商
[1265.64-1270.50] 并以维持产品获利性的稳定为我们的目标
[1270.50-1272.56] 我们也持续
[1272.56-1280.24] 透过生产自动化以及规模的效益来维持我们整体的竞争力
[1280.24-1282.54] 关税政策会带来一定的挑战
[1282.54-1286.76] 但也会让我们加速优化我们全球供应链的布局
[1286.76-1290.74] 更会刺激集团加速转型
[1290.74-1293.50] 对于未来新市场的扩展
[1293.50-1295.56] 以及服务多元化
[1295.56-1299.68] 这个服务多元客户的角度来看
[1299.68-1302.34] 反而形成了一个长期的机会
[1302.34-1304.58] 谢谢董事长
[1304.58-1307.24] 那下一题是有关汇率的部分
[1307.24-1309.06] 那想要请教财务长
[1309.06-1311.82] 最近新台币对美元快速的升值
[1312.54-1317.14] 我们要怎么看对于毛利率还有账上汇兑损益的影响
[1317.14-1320.98] 以公司目前营收跟成本的这个部位来看的话
[1320.98-1322.78] 美元的占比大概是多少
[1322.78-1326.88] 那另外美元金融资产还有负债凑配的状况
[1326.88-1334.56] 整体来说公司有哪些相对应的策略调整来降低台币升值的影响
[1334.56-1338.66] 我们是以美元作为主要的交易货币
[1338.66-1341.72] 所以营收和成本高比例为美元
[1341.72-1342.50] 大部分可以形成
[1342.54-1344.08] 自然避险
[1344.08-1347.14] 但是财报的功能性货币是台币
[1347.14-1350.74] 所以台币对美元任何重大不利的汇率波动
[1350.74-1354.82] 一定会影响到我们账上台币营收的表现
[1354.82-1359.18] 至于在获利方面主要可能影响到业内的存货成本
[1359.18-1362.00] 以及业外损益的部分
[1362.00-1363.28] 举例来说
[1363.28-1367.38] 台币对美元的年平均汇率升值1元时
[1367.38-1370.44] 会影响到鸿海的营收约3%
[1370.44-1372.50] 毛利率也会减少约6%
[1372.54-1375.36] 以目前来看
[1375.36-1378.42] 我们会持续透过存货管理的机制
[1378.42-1382.52] 让美元贬值对于毛利率的影响降到最低
[1382.52-1384.06] 业外的部分
[1384.06-1386.62] 确实会受到汇率波动的影响
[1386.62-1389.18] 但是我们已经进行必要的避险
[1389.18-1392.00] 将风险降至可控的范围
[1392.00-1394.56] 此外我们公司有一套
[1394.56-1396.86] 因应汇率波动的政策指引
[1396.86-1400.70] 例如跟客户合约中有定定汇率的调整条款
[1400.70-1402.50] 以增加报价的频率
[1402.54-1405.10] 并以合适的金融避险工具
[1405.10-1407.66] 对冲营业投资
[1407.66-1412.26] 以及融资活动产生的汇率风险等多种举措
[1412.26-1415.08] 来降低汇率波动的相关风险
[1415.08-1417.38] 谢谢曹部长
[1417.38-1419.18] 那接下来是最后一个问题
[1419.18-1420.98] 线上若想要提问的朋友
[1420.98-1424.04] 现在可以点选举手符号等候
[1424.04-1426.10] 我们在下一题问答结束之后
[1426.10-1430.44] 将会开放给线上的法人与媒体自由提问
[1430.44-1432.50] 最后一题想要请教的朋友是什么呢?
[1432.54-1433.82] 首先想要提问的是
[1433.82-1435.10] 在今年来说
[1435.10-1437.14] 我们的一季的一季的成长
[1437.14-1438.68] 是否有改变?
[1438.68-1440.22] 我们的一季的成长
[1440.22-1441.76] 是否有改变?
[1441.76-1443.30] 我们的一季的成长
[1443.30-1444.58] 是否有改变?
[1444.58-1446.62] 我们的一季的成长
[1446.62-1448.16] 是否有改变?
[1448.16-1450.46] 我们第一季受惠于
[1450.46-1452.76] 算力需求持续的成长
[1452.76-1454.82] 以及新平台的推动
[1454.82-1456.10] AI伺服器
[1456.10-1459.16] 与通用型伺服器出货表现
[1459.16-1461.46] 皆显著的提升
[1461.46-1462.50] 营收年增
[1462.50-1464.30] 都超过了50%
[1464.30-1466.86] 但是没有达到一倍
[1466.86-1471.20] 主要是因为GB系列在第一季季底
[1471.20-1474.02] 进入了大量生产的阶段
[1474.02-1475.82] 所以大部分产品
[1475.82-1479.14] 都是在第二季才交货
[1479.14-1480.94] 以市场来看
[1480.94-1483.24] 主要北美CSP客户
[1483.24-1486.82] 除了持续扩大AI伺服器部署外
[1486.82-1490.92] 也同步增加了通用型伺服器的采购
[1490.92-1492.46] 支撑了整体
[1492.46-1495.02] 出货的一个成长
[1495.02-1495.78] 展望
[1495.78-1501.68] 第二季我们预期整体伺服器业务将持续成长
[1501.68-1504.24] 营收季增及年增
[1504.24-1508.08] 都渴望达到高双位数增长
[1508.08-1510.38] 在AI伺服器方面
[1510.38-1513.70] GB系列量产能力持续改善
[1513.70-1514.48] 另外
[1514.48-1517.54] 我们也已经跟几家CSP客户
[1517.54-1522.42] 共同开发了ASIC架构的AI伺服器
[1522.46-1526.56] 并且也已经陆续的出货
[1526.56-1531.68] 再加上HDX需求会进一步的扩张
[1531.68-1536.28] 所以AI伺服器的出货量也已经在加速当中
[1536.28-1541.92] 预计会有将近倍数的成长
[1541.92-1546.26] 在大元模型持续更迭优化的带动下
[1546.26-1549.34] 市场对于AI基础设施
[1549.34-1552.16] 以及本地部署解决方案的需求
[1552.16-1553.96] 明显的提升
[1553.96-1556.52] 基于目前订单的能见度
[1556.52-1560.60] 以及主要客户对AI的需求的预测
[1560.60-1562.14] 2025年
[1562.14-1564.70] 我们对AI伺服器营收成长
[1564.70-1566.24] 非常有信心
[1566.24-1570.84] 将实现兆元以上的营收规模
[1570.84-1573.16] 占整体伺服器比重
[1573.16-1578.28] 将会超过50%
[1578.28-1579.30] 谢谢董事长
[1579.30-1582.12] 那我们现在开放给线上的法人与媒体
[1582.16-1583.70] 自由提问
[1583.70-1586.00] 现在我们就来到Q&A节目
[1586.00-1589.84] 英语问题也欢迎
[1589.84-1591.88] 好 第一题我们请
[1591.88-1600.08] Morgan Stanley分析师Sharon请
[1600.08-1601.88] 声音吗
[1601.88-1603.92] 有 请说
[1603.92-1606.48] 好 刘董 财务长 James你们好
[1606.48-1607.76] 我是Sharon
[1607.76-1611.60] 那我这里有两个问题想先请教一下
[1611.60-1614.16] 第一个问题是关于
[1614.16-1616.98] 就是我们在印度生产
[1616.98-1621.32] 这个旗舰手机的一些更新
[1621.32-1626.44] 就是我们的大客户在最近的电话会议里面也提到
[1626.44-1630.04] 就是印度生产的这个智能手机
[1630.04-1633.36] 未来可以满足美国市场的需求
[1633.36-1637.20] 那所以不知道是不是可以请董事长跟我们提点一下
[1637.20-1641.56] 就是鸿海在印度组装手机的这个
[1641.56-1644.12] 三年的这个产能规划
[1644.12-1647.96] 那除了组装之外是不是有一些零组件
[1647.96-1651.80] 也会一并在印度就近供应
[1651.80-1657.94] 那另外关于获利就是组装业务的这个在印度的获利
[1657.94-1660.50] 是不是可以跟在中国相当
[1660.50-1665.62] 因为我们的了解在印度生产的效率还是有一些进步空间
[1665.62-1667.92] 那这个会不会对我们的
[1667.92-1671.52] 智能手机的业务有一些获利上的影响
[1671.56-1673.60] 这是第一个问题
[1673.60-1678.22] 那第二个问题的话就是刚刚董事长也提过
[1678.22-1684.36] 其实我们在我们一直都在做所谓的区域性生产的一个布局
[1684.36-1690.24] 那包含就是各个不同的国家
[1690.24-1694.60] 那我大概想要了解一下是不是可以请财务长
[1694.60-1699.20] 跟我们更新一下就是今年的整个资本支出
[1699.20-1701.52] 是不是还是跟我们当
[1701.52-1708.68] 当初的就是预期大概会再比去年再多20个%
[1708.68-1713.30] 那这多出来的KPX大概是怎么样的一个分配
[1713.30-1719.96] 尤其是对于主要的生产基地包含墨西哥美国印度
[1719.96-1724.04] 还有今天大家也很关注的就是
[1724.04-1731.22] 中东我们是不是会在中东也会有一些新增的AI产能的规划
[1731.22-1731.48] 那
[1731.52-1736.90] 这个KPX是不是会持续的维持在高档
[1736.90-1742.78] 因为如果我们看到就是说我们的KPX还是持续的一个比较大的支出
[1742.78-1746.62] Working capital看起来也是持续的增加
[1746.62-1751.24] 那我们除了做这个举债来支应之外
[1751.24-1755.58] 我们最近会有可能会有做投资的计划吗
[1755.58-1757.12] 这是我的两个问题
[1757.12-1758.92] 谢谢
[1758.92-1760.70] 好谢谢
[1760.70-1761.48] 谢谢Sherry
[1761.48-1761.50] 谢谢Sherry
[1761.52-1762.54] 谢谢Sharon
[1762.54-1767.66] 那我们不会去评论单一客户
[1767.66-1771.00] 或是单一客户的他的产品
[1771.00-1776.36] 所以我可以就整体我们在印度的状况来做回答
[1776.36-1781.48] 整体来看每一个地方的布局都需要长期的经营
[1781.48-1783.80] 尤其是技术能力
[1783.80-1788.14] 我们有很强的训练体系及规模庞大的场域
[1788.14-1791.48] 可以很快的来培养同仁的能力
[1791.48-1796.86] 近几年来我们的员工规模在高峰的时候可以达到90万人
[1796.86-1804.28] 这就可以显示鸿海在完整的管理体系跟训练的能力了
[1804.28-1809.92] 以印度来说我们从2006年就进入了这个市场
