[0.00-1.40] 各位來賓大家好
[144.96-146.96] 統一企業 統一中控
[146.96-148.96] 2024全年度業績
[154.96-156.96] 好的 我們首先跟各位說明一下
[156.96-159.96] 統一企業在2024年的營運狀況
[159.96-162.96] 在2024年我們統一企業的合併營收
[162.96-164.96] 合併毛利及合併的營業利益
[164.96-166.96] 都創歷史新高
[166.96-168.96] 在合併營收方面
[168.96-170.96] 合併的營業毛利6,576億
[170.96-172.96] 年成長13%
[172.96-174.96] 從2019到2024
[174.96-177.96] 我們的營收年均負荷成長率為8%
[177.96-180.96] 合併的營業毛利2,151億
[180.96-182.96] 同比成長15%
[182.96-187.96] 在2019到2024的毛利年均負荷成長率約7%
[187.96-191.96] 2024年我們的毛利率是32.7%
[191.96-193.96] 同比上升0.39個百分點
[193.96-195.96] 包括統一企業 統一中控
[195.96-197.96] 還有統一實業的毛利率
[197.96-198.96] 同比都上升
[198.96-200.96] 合併營業利益338億
[200.96-204.96] 2024年我們的合併營收保持穩定的增長
[204.96-205.96] 帶動毛利增加
[205.96-208.96] 而且毛利的漲幅是超過費用的增幅
[208.96-212.96] 所以進而帶動我們全年的合併營業利益的
[212.96-214.96] 同比增長達18個百分點
[214.96-218.96] 另外合併營業外收入同比減少116億
[218.96-223.96] 主要是因為2023年有兩個比較重大的一次性的收益
[223.96-227.96] 包括第一個是集團在2023年6月30號購入家福的股權
[227.96-229.96] 任業重衡糧利益
[229.96-231.96] 第二個是2023年統一中控
[231.96-235.96] 配合政府徵收處分土耳肥土地集建物的利益
[235.96-240.96] 在2024年我們歸屬於母公司淨利為206.7億
[240.96-243.96] 同比增加12.7%
[243.96-245.96] EPS為3.64元
[245.96-248.96] 同比增加0.41元
[248.96-252.96] 董事會已經提案通過美股現金鼓勵3元
[252.96-254.96] 代股東會決議
[254.96-255.96] 下一頁
[255.96-256.96] 我們來看到
[256.96-258.96] 從部門別的營收
[258.96-260.96] 在集團的四大事業體當中
[260.96-262.96] 2024年的營收
[262.96-268.96] 同比增長率達雙位數的包括有便利商店及流通事業部門
[268.96-270.96] YOYO成長19%
[270.96-272.96] 包括台灣的統一超商
[272.96-274.96] 菲律賓的7-11
[274.96-276.96] 以及統一生活等持續展店
[276.96-280.96] 並且依據不同的場景推出多元行銷活動
[280.96-282.96] 帶動PSD成長
[282.96-284.96] 另外家福體系併入集團的合併基準日是2024年
[284.96-287.96] 6月30日
[287.96-289.96] 所以在2023年家福這一塊
[289.96-291.96] 只有任列下半年的營收
[291.96-296.96] 第二個成長雙位數的是我們的包裝農氣事業部門
[296.96-298.96] 合併營收年增40%
[298.96-302.96] 主要是統一實業受益於鐵產品的訂單回農
[302.96-305.96] 疊加飲料充填業務保持穩定增長
[305.96-308.96] 另外也可以看到我們的食品及食糧部門
[308.96-311.96] 營收成長4%
[311.96-314.96] 主要是統一中控飲料業務保持穩定增長
[314.96-316.96] 再到下一頁
[316.96-319.96] 我們從部門別的營業利益來看
[319.96-321.96] 在四大事業體當中
[321.96-325.96] 營業利益在2024年同比成長率達雙位數的
[325.96-327.96] 包括食品及食糧部門
[327.96-330.96] 我們從橘色部分可以看到
[330.96-333.96] 它的營業佔比在2023年34%
[333.96-336.96] 在今年提升2024年已經提升到40%
[336.96-341.96] 而且各項費用支出符合我們的效益提升原則
[341.96-343.96] 進而提升公司的營利能力
[343.96-346.96] 另外看到包裝容器事業部門
[346.96-349.96] 營業利益同比增長99%
[349.96-353.96] 主要就是統一實業的鐵產品銷量增長
[353.96-354.96] 帶動獲利
[354.96-357.96] 而且飲料的充填業務穩定成長
[357.96-360.96] 另外在便利商店及流通事業部
[360.96-362.96] 營業利益同比增長4%
[362.96-364.96] 包括台灣的統一超商
[364.96-366.96] 菲律賓的7-11
[366.96-368.96] 還有統一生活等
[368.96-372.96] 展店帶動營收毛利還有營業利益同比增長
[373.96-375.96] 再到下一頁
[375.96-377.96] 在資產負債表方面的話
[377.96-380.96] 2024年底合併的總資產約7100億
[380.96-384.96] 其中現金約當現金還有我們的流動金融資產
[384.96-386.96] 共計1345億
[386.96-388.96] 同比增加64億
[388.96-391.96] 副息負債為1574億
[391.96-393.96] 同比增加51億
[393.96-395.96] 主要是統一企業統一超商因應企業營運
[395.96-397.96] 及投資規劃需求所致
[397.96-401.96] 另外可以看到我們的ROE約當16%
[401.96-404.96] 連續兩年保持正增長
[404.96-407.96] 下一頁跟大家說明現金流量表
[407.96-412.96] 2024年度來自營業活動的淨現金流入784億
[412.96-415.96] 較去年同期增加53億
[415.96-418.96] 投資活動現金流出約410億
[418.96-422.96] 較2023年減少是因為2023年購入家福股權
[422.96-425.96] 另外資本支出386億
[425.96-429.96] 包括展店還有大型物流中心的土地及設備等支出
[429.96-430.96] 理財活動的成本是380億
[430.96-433.96] 理財活動淨現金流出約400億
[433.96-435.96] 其中現金股利發放170億
[435.96-439.96] 2024年底的現金為1004億
[439.96-441.96] 接下來跟各位說明
[441.96-447.96] 從統一企業個體的角度主要獲利貢獻的子公司
[447.96-451.96] 統一企業在2024年的營業利益為24.5億
[451.96-454.96] 任業投資收益194億
[454.96-456.96] 同比減少13億
[456.96-459.96] 主要是因為在2023年統一超商取得家福股權
[459.96-461.96] 任業重衡良利益
[461.96-463.96] 在2024年則沒有這個狀況
[463.96-467.96] 那如果看到這個投資收益貢獻增長的子公司
[467.96-472.96] 包括統一證券 藍聯 統一實業 大統一還有統一國際等
[472.96-476.96] 前十大投資收益子公司總共貢獻174億
[476.96-479.96] 最後跟各位說明我們的股利
[479.96-482.96] 公司保持穩定的現金股利配發
[482.96-486.96] 連續42年累積配發股利為85.3元
[486.96-488.96] 累積盈餘分配率為102%
[489.96-492.96] 接下來跟各位說明
[492.96-495.96] 統一中控2024年的營運表現
[495.96-500.96] 統一中控在2024年營收及獲利都創歷史新高
[500.96-503.96] 營收為人民幣303億元
[503.96-505.96] 邁入新的里程碑
[505.96-508.96] 全年的營收同比增長6.1%
[508.96-513.96] 營業毛利也突破歷史高點達98.7億元
[513.96-515.96] 增長13.3%
[515.96-517.96] 毛利率上升2個百分點
[517.96-519.96] 主要是因為部分原物的營運表現
[519.96-521.96] 物料價格同比回落
[521.96-522.96] 產能利用率提升
[522.96-524.96] 還有產品結構優化
[524.96-527.96] 營業利益同比成長12.4%
[527.96-531.96] 全年的營業費用率約25.9%
[531.96-533.96] 比去年略增0.2%
[533.96-536.96] 主要是銷售及市場推廣開支增加
[536.96-540.96] 持續投入品牌建設及通路資產
[540.96-543.96] 冰箱冰櫃折舊增加所導致的
[543.96-547.96] 在2024年淨利為人民幣18.49億元
[547.96-550.96] 同比成長10.9%
[550.96-554.96] 如果我們還原2023年處分合肥的一次性收益
[554.96-558.96] 統一中控稅後淨利同比增長達31.8%
[558.96-561.96] 核心淨利率提升1.2%
[561.96-564.96] EPS為42.81分
[564.96-569.96] 董事會建議2024年現金股息為每股42.81分
[569.96-571.96] 待股東會決議
[571.96-575.96] 接下來看到我們部門別人的營運表現
[575.96-578.96] 在藍色的部分是我們的食品
[578.96-582.96] 2024年食品營收為99.98億元
[582.96-584.96] 佔營收33%
[584.96-586.96] YY1.5%的成長
[586.96-594.96] 其中茄黃2020-2024年營收的年均複合成長率是超過100%
[594.96-597.96] 滿漢大餐我們聚焦蔥燒牛肉口味
[597.96-600.96] 2024年也有雙位數的成長
[600.96-602.96] 老潭酸菜牛肉麵持續提升
[602.96-603.96] 透過高市能的媒體投放
[603.96-604.96] 透過高市能的媒體投放
[604.96-606.96] 來提升品牌周成度
[606.96-609.96] 2024年營收也有高單位數增長
[609.96-613.96] 食品部門的稅前淨利為2.7億元
[613.96-615.96] 同比增加250%
[615.96-617.96] 淨利率2.7%
[617.96-619.96] 是近4年來的最高
[619.96-625.96] 在橘色方面的部分的話是飲料的部門
[625.96-629.96] 2024年飲料的營收為192.4億元
[629.96-632.96] 飲料部門稅前淨利23億
[632.96-633.96] 同比增加21.4億元
[633.96-635.96] 淨利率12.2%
[635.96-639.96] 是近3年來的最高
[639.96-640.96] 在於下一頁
[640.96-643.96] 針對飲品來做進一步的說明
[643.96-646.96] 綠色部分是茶飲85.7億
[646.96-648.96] 蘸飲料的飲收45%
[648.96-650.96] 年營收成長13%
[650.96-653.96] 包括我們統一綠茶以低糖無糖的
[653.96-655.96] 雙產品線佈局
[655.96-658.96] 統一冰紅茶推動產品升級優化
[658.96-661.96] 統一青梅綠茶突顯產品差異化競爭力
[661.96-662.96] 統一青梅綠茶突顯產品差異化競爭力
[662.96-665.12] 皆有双位数营收成长
[665.12-668.64] 双翠则聚焦重点城市深耕经营
[668.64-670.26] 强化品牌定位
[670.26-673.04] 建构长期可持续发展的品牌力
[673.04-676.06] 再看到橘色的部分是奶茶
[676.06-678.50] 2024年营收有64亿
[678.50-680.92] 占整个饮料的营收33%
[680.92-684.58] 统一阿萨姆奶茶持续扩大产品饮用场景
[684.58-686.44] 在下城城市取得成果
[686.44-689.56] 第四季并且开始布局无糖赛道
[689.56-693.12] 另外因应市场的趋势也推出西地奶茶
[693.12-695.06] 收益保持稳步增长
[695.06-697.66] 蓝色的果汁是36亿
[697.66-700.34] 年成长约6%
[700.34-703.90] 包括冰糖雪梨海脂盐都有双位数的成长
[703.90-706.04] 再到下一页资产负债表
[706.04-709.66] 2024年底总资产人民币233亿
[709.66-712.32] 现金及月当现金102亿
[712.32-715.26] 不含租赁负债的借贷有2亿
[715.26-717.56] 比去年还要减少
[717.56-719.54] 主要是因为短期营运资金
[719.54-721.74] 相对充足偿还银行借款
[721.74-725.46] 另外可以看到我们的ROE是13.8%
[725.46-727.24] 也是历史新高
[727.24-730.76] 接下来跟各位说明现金流量表
[730.76-735.70] 2024年营运活动产生的净现金流入约44亿
[735.70-737.20] 同比增加13亿
[737.20-740.10] 投资活动净流出约20亿
[740.10-742.36] 其中资本支出约7亿
[742.36-744.28] 主要是持续投入冰冻化
[744.28-747.10] 融资活动流出约27亿
[747.10-749.52] 发放现金鼓励18.7亿
[749.54-752.62] 是比2023年还要增加4亿
[752.62-754.66] 最后我们看到现金鼓励
[754.66-756.70] 统一中控已经连续7年
[756.70-759.52] 现金鼓励配发率在100%以上
[759.52-761.82] 我们从蓝色的趋势线也可以看到
[761.82-766.18] 鼓励配发的金额也持续保持一个稳定成长的趋势
[766.18-770.78] 好的谢谢
[770.78-772.84] 接下来我们请梁媛说明
[772.84-775.90] 统一实业2024全年度业绩
[779.54-782.62] 投资朋友媒体记者好
[782.62-786.70] 接着报告统一实业2024年营运及财务状况
[786.70-789.02] 首先报告合并水印简表
[789.02-794.14] 统一实业2024年合并营收为新台币448亿5900万元
[794.14-797.20] 较同期成长27.30%
[797.20-801.56] 营收的增加来自于我们公司主要的产品正向营运的结果
[801.56-805.14] 其中铁产品由去年的衰退转为成长
[805.14-806.94] 在2024年合并水印简表
[806.94-808.22] 统一实业2024年合并水印简表
[808.22-809.50] 合并营收为新台币448亿5900万元
[809.50-810.78] 较同期成长2024年合并水印简表
[810.78-811.30] 铁产品的增长
[811.30-812.82] 饮料包装则持续稳定的增长
[812.82-815.90] 两项产品共同推升整体的业绩
[815.90-818.46] 也使得营收创下新高
[818.46-822.30] 2024年合并毛利及营业利益分别为
[822.30-825.38] 新台币54亿7400万元
[825.38-827.94] 以及新台币22亿3000万元
[827.94-831.00] 各较同期成长63.91%
[831.00-833.56] 及112.11%
[833.56-837.14] 毛利及营业利益的成长因为业务量的增加
[837.14-839.46] 产能利用率较高所致
[839.46-839.48] 产能利用率较高所致
[839.48-841.78] 本期净益归属于母公司为
[841.78-844.60] 新台币15亿3200万元
[844.60-847.42] 较同期成长125.02%
[847.42-850.24] 整体可以看到我们2024年的营运
[850.24-851.52] 营收创新高
[851.52-854.84] 获利也较同期显著的成长
[854.84-856.64] 下一页
[856.64-858.16] 再来报告部门营收
[858.16-862.00] 分别从本公司两个主要产品别来看营收的表现
[862.00-866.62] 首先铁产品的营收成长43.38%
[866.62-869.44] 主要是我们铁产品摆脱同期的
[869.44-870.20] 第一名
[870.20-872.00] 销量回升所致
[872.00-875.58] 另外呢你要包装除了集团稳定的订单外
[875.58-877.64] 外部客户的订单也有成长
[877.64-879.42] 整体的营运保持稳定
[879.42-881.98] 营收成长12.84%
[881.98-884.04] 下一页
[884.04-885.56] 接着报告产品的销量
[885.56-888.38] 那我们一样从两个分两个产品别来看
[888.38-891.46] 2024年铁产品的销量较同期成长
[891.46-893.24] 50.58%
[893.24-895.56] 主要得益于客户的库存
[895.56-897.08] 恢复至这场的水位
[897.08-899.40] 以及市场的需求回温的情形下呢
[899.40-901.96] 带动整个销量的提升
[901.96-902.72] 那另外
[902.72-906.56] 饮料包装的销量也较同期成长13.12%
[906.56-909.38] 在饮料市场稳定增长的趋势下呢
[909.38-911.44] 集团以及外部客户的订单
[911.44-912.46] 同步的增加
[912.46-915.28] 推动整体销量的提升
[915.28-917.84] 下一页
[917.84-920.64] 接续报告部门的税前利润
[920.64-922.70] 那我们从图表可以看到说
[922.70-925.00] 2024年铁产品的税前利润
[925.00-927.04] 较同期有大幅的一个改善
[927.04-929.36] 那虽然平均的售价略低于同期
[929.40-933.24] 主要是因为该年的钢铁原料的价格仍处于低点的关系
[933.24-936.56] 但是受惠于刚刚所提到的销量显著的提升
[936.56-938.36] 也带动获利
[938.36-939.64] 同步提升
[939.64-941.94] 全年顺利转亏为盈
[941.94-944.24] 另外饮料包装的税前利润呢
[944.24-945.78] 也较同期的成长
[945.78-948.60] 主要受益于饮料的市场需求提高
[948.60-952.70] 集团以及外部的客户订单相互成长的带动下呢
[952.70-955.26] 同样进一步推升获利的表现
[955.26-957.30] 下一页
[957.30-959.10] 接着报告资产负债表
[959.10-962.18] 统一实业2024年的金融借款以及总负债比
[962.18-964.48] 可以看得出来均比同期来降低
[964.48-967.80] 整体的财务结构稳定而且健康
[967.80-969.60] 下一页
[969.60-971.64] 再来报告现金流量表
[971.64-976.50] 2024年期末的现金有新台币40亿4300万元
[976.50-977.78] 较同期增加
[977.78-980.34] 整体的现金流量充沛
[980.34-981.88] 下一页
[981.88-983.68] 最后报告股利的政策
[983.68-987.26] 统一实业的股利政策如果该年度有获利的话
[987.26-989.06] 则依法提10%的法定预算
[989.06-992.90] 并且提列或回转特别营业公积后呢
[992.90-996.48] 剩余的盈余就是该年度股东可以分配的盈余
[996.48-1000.84] 2024年公司每股的盈余为新台币0.97元
[1000.84-1004.16] 金股东会金董事会决议通过后呢
[1004.16-1005.96] 每股配发新台币
[1005.96-1008.00] 0.97元的现金股利
[1008.00-1012.62] 这个部分在今年的股东会决议后呢就可以发放
[1012.62-1017.74] 以上是统一实业的报告谢谢
[1017.74-1018.24] 谢谢
[1018.24-1018.76] 接下来
[1018.76-1029.00] 请贯州说明大统一2024全年度业绩
[1029.00-1030.54] 各位来宾大家好
[1030.54-1041.54] 接下来报告大统一2024年度的业绩表现
[1041.54-1047.94] 下一页
[1047.94-1049.48] 这一页
[1049.48-1050.24] 那
[1050.24-1052.54] 首先报告合并营收及获利状况
[1052.54-1055.62] 2024年的合并营收是221
[1055.62-1058.18] 比起2023年是略微减少
[1058.18-1064.32] 那么主要的原因的是反映国际间黄豆原料价格下跌进而带动国内产品的
[1064.32-1066.12] 售价调降
[1066.12-1071.74] 然而营收虽然减少但是在去年国内的经济情况是相当的良好
[1071.74-1074.30] 那么需求可以说相当的稳定
[1074.30-1077.12] 让产品的售价下跌的幅度呢
[1077.12-1079.68] 是比原料成本下跌的幅度
[1079.68-1082.24] 最终毛利反而是增加的
[1082.24-1087.88] 加上来自转投资公司的获利表现也都是比去年来优异
[1087.88-1092.48] 这样的结果让我们的营业利益成长来到
[1092.48-1096.58] 16亿3000万成长了7.1%
[1096.58-1099.90] 那么总结2024年的一个财务绩效
[1099.90-1102.72] 不论是营业毛利营业利益
[1102.72-1106.04] 在数字跟比率都是优于前年的
[1106.04-1107.08] 整体的
[1107.08-1107.10] 整体的
[1107.12-1108.92] 合并的税前净利
[1108.92-1111.48] 是比前期增加约9%
[1111.48-1113.52] 达到17亿1000万
[1115.06-1116.84] 那么这个数字呢
[1116.84-1121.20] 可以说是公司成立以来最高的一个获利记录
[1121.20-1124.78] 其中归属母公司的净利有超过是3亿
[1124.78-1127.60] 那么EPS是8.24元
[1127.60-1129.14] 下一页
[1131.44-1134.26] 接下来看合并资产负债表的部分
[1135.02-1137.08] 在2024年期末
[1137.08-1139.64] 与前年年度比较增加了6亿
[1139.64-1142.20] 最主要是来自累积盈余的增加
[1142.20-1144.24] 那么总资产是91亿
[1144.24-1146.04] 总负债为93亿
[1146.04-1148.08] 和前年比较都是增加的
[1148.08-1150.64] 增加的原因除了现金增加以外
[1150.64-1152.96] 主要来自于转投资公司
[1152.96-1155.00] 为营运成长
[1155.00-1157.04] 增加租用仓库设备
[1157.04-1159.60] 账上同时认列使用权资产
[1159.60-1161.40] 跟租赁负债
[1161.40-1163.96] 而负债占总资产的比率
[1163.96-1164.98] 这两年来
[1164.98-1168.06] 都是维持在将近1 3分之一左右
[1168.06-1170.10] 相当的一个稳定
[1170.10-1171.90] 在股东权益的部分
[1171.90-1173.94] 随着累积盈余的增加
[1173.94-1176.50] 2024年是来到了将近59亿
[1176.50-1178.54] 较前期增加了3亿
[1178.54-1182.64] 而2024年的股东权益报酬率是24%
[1182.64-1185.46] 和前期比较的话差异不大
[1185.46-1188.02] 再往下来看流动比率
[1188.02-1189.82] 为320%
[1189.82-1192.38] 和前期比较是有略微降低一些
[1192.38-1193.66] 所以在2024年期中
[1193.66-1194.94] 我们看到的
[1194.98-1196.78] 那么主要是因为年底的时候
[1196.78-1198.82] 有一些应付款项的金额
[1198.82-1200.86] 较高所导致的
[1200.86-1204.70] 下一页
[1204.70-1207.78] 再来看合并的现金流量表
[1207.78-1209.32] 因为获利稳定
[1209.32-1212.38] 所以我们可以维持稳定的现金流入
[1212.38-1214.70] 在2024年来自营运活动的
[1214.70-1217.50] 净现金流入约为21亿
[1217.50-1219.04] 在投资活动方面
[1219.04-1220.58] 包含资本支出
[1220.58-1222.38] 产生净现金流出
[1222.38-1224.16] 2亿7千万
[1224.16-1224.94] 资本支出
[1224.94-1225.96] 在近年来
[1225.96-1228.26] 因为我们公司并没有一些
[1228.26-1230.58] 比较重大的投资项目
[1230.58-1232.36] 所以和前期比较的话
[1232.36-1234.42] 数字变动是不大的
[1234.42-1235.94] 而在投资活动方面
[1235.94-1238.00] 主要是用于发放现金鼓励
[1238.00-1239.28] 净现金流出
[1239.28-1242.10] 2024年是1亿6千万
[1242.10-1244.66] 金额与前期比较是有略微增加
[1244.66-1247.98] 主要是因为我们在去年发放的现金鼓励
[1247.98-1249.78] 从前年的每股6元
[1249.78-1251.82] 提升到每股6块6元
[1251.82-1253.86] 所以综合以上的变动
[1253.86-1254.90] 在2024年来说
[1254.90-1257.46] 年底现金增加了6亿
[1257.46-1259.50] 于而为22亿
[1259.50-1262.84] 下一页
[1262.84-1265.14] 接下来看大同益个体
[1265.14-1267.44] 10年来的一个获利情形
[1267.44-1269.50] 有图表可以看得出来
[1269.50-1271.54] 大同益在各项挑战下
[1271.54-1275.12] 依然保持相当稳定的一个获利情形
[1275.12-1277.94] 从个体财报的税前经历
[1277.94-1278.70] 来看
[1278.70-1282.04] 2015到2019年连续5年
[1282.04-1283.82] 每年均稳定维持在大约
[1283.82-1284.86] 10到12亿之内
[1284.90-1289.00] 而从2020年起到2024年
[1289.00-1290.54] 这一个连续5年
[1290.54-1293.34] 获利水平是提升到15亿左右
[1293.34-1296.94] 那么去年2024年的税前经历
[1296.94-1300.26] 是历史新高点来到15亿9千万
[1300.26-1301.54] 下一页
[1301.54-1305.90] 接下来看每年的一个配息状况
[1305.90-1309.22] 2024年的每股盈余是8.24元
[1309.22-1311.02] 那么经董事会讨论通过
[1311.02-1313.58] 你配发现金鼓励每股7元
[1313.58-1314.86] 后续将提报今天
[1314.90-1315.92] 股东常会
[1315.92-1317.20] 那么股东常会
[1317.20-1319.00] 决议后来配发
[1319.00-1320.54] 而从上方的图表中
[1320.54-1324.12] 绿色柱状体的部分代表每股盈余的数据
[1324.12-1328.22] 我们可以看到从2015到2019年间
[1328.22-1331.54] 每股盈余均维持在5到6元之间
[1331.54-1335.12] 而从2020年起随着业绩持续成长
[1335.12-1338.96] 每股盈余均稳定提升至7元以上
[1338.96-1340.50] 另外在鼓励政策方面
[1340.50-1344.86] 过去10年我们始终坚持着一个现金的鼓励
[1344.90-1346.70] 稳健发放的原则
[1346.70-1349.50] 具体来看2015到2019
[1349.50-1353.10] 这5年我们是连续发放5元的现金鼓励
[1353.10-1355.90] 而从2020年到2022年
[1355.90-1360.78] 随着获利的提升现金鼓励连续3年均达到每股6元
[1360.78-1364.86] 2023年更进一步提高到每股6.6元
[1364.86-1369.48] 此外下方的图表暂时的是我们的一个股息配发率
[1369.48-1374.86] 显示这10年来我们的股息配发率均是维持在70%以上
[1374.90-1379.00] 如果是10年的平均数则是达到85%
[1379.00-1382.06] 下一页
[1382.06-1386.42] 最后一页来说明我们的合并股东权益的情形
[1386.42-1391.02] 去年我们的股东权益报酬率是24%
[1391.02-1393.84] 较前一年度是有略微增加
[1393.84-1395.90] 从这个图表可以看得出来
[1395.90-1397.42] 在过去10年间
[1397.42-1399.98] 大统一的合并股东权益报酬率
[1399.98-1402.54] 都是维持在20%以上
[1402.54-1404.86] 展现出稳定且良好的财务
[1404.86-1408.18] 表现以上是大统一的报告谢谢大家
[1464.86-1466.90] 来这边请
[1472.54-1475.86] 董事长还有管理团队你们好
[1475.86-1477.92] 我是UBS瑞银证券的Daniel
[1477.92-1480.22] 我这边有两个问题想要跟你们请教
[1480.22-1482.26] 第一个是在电商事业
[1482.26-1486.88] 因为公司在今年年初有正式认购PC Home的私募普通股
[1486.88-1489.18] 不知道可不可以请董事长跟我分享一下
[1489.18-1492.26] 我们未来在电商这一块的策略跟布局
[1492.26-1494.82] 尤其是在两家公司的合作方面
[1494.86-1497.42] 那第二个问题是关于股利政策
[1497.42-1499.98] 我观察到就是说统一跟统一超
[1499.98-1503.82] 今年配发的股利的绝对金额是跟去年约当
[1503.82-1506.64] 那我们是不是可以说因为考量到后续几年
[1506.64-1508.94] 我们在物流园区的资本支出
[1508.94-1512.02] 所以近年的股利政策可能会以绝对金额
[1512.02-1513.80] 相同为优先考量
[1513.80-1515.34] 可以做这样的思考吗
[1515.34-1516.62] 对两个问题谢谢
[1516.62-1520.98] 好 第一个是关于电商事业的部分
[1520.98-1522.50] 基本上来讲的话
[1522.50-1524.56] 我们集团在电商事业部分的
[1524.86-1529.98] 所看重的不只是现在的这种所谓的电商
[1529.98-1534.08] 而是在整个数位经济里面的变化情况
[1534.08-1536.38] 集团将来如何能够运用
[1536.38-1538.18] 在我们的观察里面
[1538.18-1543.80] 电商是数位经济里面现在相对表现比较成熟的一个营运模式
[1543.80-1546.36] 但是即使是电商我们也可以看出来
[1546.36-1548.42] 它透过数位的演化
[1548.42-1551.74] 还有特别是人工智慧不断的这个进展
[1551.74-1553.78] 它在整个商业模式来讲
[1553.78-1554.82] 可谓
[1554.86-1557.16] 变化的速度非常快
[1557.16-1558.96] 所以对集团来讲的话
[1558.96-1561.52] 我们今年投入在这个
[1561.52-1563.06] 电商的部分来讲
[1563.06-1565.10] 第一个是让我们的集团
[1565.10-1567.92] 有机会可以更进一步
[1567.92-1569.96] 贴身的去了解一下
[1569.96-1573.54] 有关于这种数位经济的门道
[1573.54-1576.10] 还有它商业的逻辑
[1576.10-1578.66] 那
[1578.66-1580.98] 这个部分来讲的话
[1580.98-1583.78] 当然另外一方面也可以让我们更
[1583.78-1584.56] 了解一下
[1584.56-1586.86] 电商跟实体通路在
[1586.86-1588.66] 获唱其流的部分来讲
[1588.66-1590.96] 它可以扮演什么样的一个角色
[1590.96-1592.24] 所以这个部分来讲的话
[1592.24-1595.56] 它可能会花我们相当长的一段时间来做观察
[1595.56-1598.64] 那相对来讲我们所投入的这些产业
[1598.64-1602.74] 公司来讲基本上它本身有相当好的
[1602.74-1604.02] 人才的基础
[1604.02-1606.06] 还有它的商业底蕴
[1606.06-1608.36] 只是在过去它的
[1608.36-1610.16] 很多
[1610.16-1612.72] 环境因素来讲有一些不确定的因素
[1612.72-1614.52] 所以阻碍了这些
[1614.52-1615.28] 营运的发展
[1615.28-1617.34] 所以外界很期望说
[1617.34-1619.12] 我们进去以后会有
[1619.12-1621.44] 什么样的
[1621.44-1624.24] 加持或者很多作为
[1624.24-1628.34] 这个部分评量应讲我们现在也还在学习阶段
[1628.34-1632.70] 但是我相信在集团提供他们一个很安定
[1632.70-1638.84] 以及很稳定的一个大环境下他们的这些聪明才智还有本身的
[1638.84-1640.12] 底蕴
[1640.12-1641.92] 就能够慢慢的释放出来
[1641.92-1643.96] 那在这过程里面来讲的话
[1643.96-1644.48] 我相信
[1644.52-1646.56] 从集团现有的基础
[1646.56-1648.62] 还有加上这个新的
[1648.62-1649.90] 通路的这个延伸
[1649.90-1652.72] 自然就会有很多新的这个商机
[1652.72-1654.00] 来冒出来
[1654.00-1659.36] 那另外一个有关鼓励的政策来讲的话基本上我们还是采取非常
