[0.00-8.00] 歡迎各位參加龍大銀屆事業股份有限公司
[374.00-378.00] 那跟112年的毛利率31.78%
[378.00-379.00] 是有一些差異
[379.00-380.00] 那主要的差異是什麼呢?
[381.00-386.00] 那就是因為銷售土地的毛利比較低
[386.00-388.00] 所以說相對的把毛利
[388.00-392.00] 公司的一些毛利往下做一個調整
[392.00-394.00] 那建立率的部分也是相同
[394.00-399.00] 建立率是113年是13.68%
[399.00-402.00] 然後112年是18.5%
[402.00-405.00] 剛剛已經有做一個說明了
[405.00-408.00] 那另外一個財務資訊的部分
[408.00-410.00] 是針對近5年來
[410.00-415.00] 這個公司的營業收入及美股盈餘
[415.00-419.00] 那其他前三年度的部分
[419.00-421.00] 就請各位投資人
[421.00-423.00] 還有那個先生女士
[423.00-425.00] 來去自己做參考一下
[425.00-428.00] 那我也是針對112年跟113年的
[428.00-430.00] 這個部分來做一個說明
[430.00-434.00] 那剛剛有講到的112年的
[434.00-437.00] 這個營收是43.66億
[437.00-439.00] 那我們的那個美股盈餘是3.6億
[440.00-445.00] 那113年的營收是62.51億
[445.00-448.00] 那那個稅後得益
[448.00-451.00] 美股盈餘是3.9億
[451.00-458.00] 那另外就是針對近5年的重要的財務比率
[458.00-460.00] 也跟各位做一個說明
[460.00-463.00] 剛剛在前面那張報表
[463.00-465.00] 剛開始的報表有講過
[465.00-468.00] 那其他的部分就請大家參閱一下
[468.00-470.00] 那主要是112年跟113年
[470.00-472.00] 跟113年的比較
[472.00-474.00] 這個毛利率的部分
[474.00-476.00] 還有那個存益率的部分
[476.00-478.00] 然後往下降的原因
[478.00-480.00] 大概有跟各位做一個報告
[480.00-485.00] 那其實111年的毛利都在31%到32%
[485.00-488.00] 那毛利往下降的原因是因為
[488.00-490.00] 出售土地的關係
[490.00-492.00] 毛利下降的關係
[492.00-494.00] 是因為這個原因
[494.00-498.00] 然後針對近5年來的PAY的鼓勵
[498.00-500.00] 然後針對近5年來的PAY的鼓勵
[500.00-501.00] 配發率
[501.00-503.00] 也做一個報告
[503.00-508.00] 那其實前109到111年的部分
[508.00-510.00] 股東自己參閱
[510.00-515.00] 那針對112年跟113年的EPS
[515.00-518.00] 跟現金股利配發的部分
[518.00-520.00] 做一個說明
[520.00-526.00] 那112年的稅後盈餘的EPS是3.69
[526.00-528.00] 然後113年是3.9
[528.00-534.00] 那112年配發的是每股現金股利2.2
[534.00-538.00] 那去年的EPS
[538.00-544.00] 我們在今年預計配發3塊錢的現金股利
[544.00-547.00] 那其實配發率的部分
[547.00-551.00] 我們從111年以後都是逐年上升
[551.00-554.00] 那在111年有51%
[554.00-557.00] 可以配息率51%
[557.00-560.00] 那112年配息率60%
[560.00-565.00] 那到今年到113年去年的這個獲利的部分
[565.00-569.00] 我們在今年預計配發的比率大概77%左右
[569.00-574.00] 目前我們配息的部分都是順間成長
[574.00-578.00] 那針對營運的狀況
[578.00-579.00] 也跟各位做報告
[579.00-581.00] 一開始有跟各位講的
[581.00-584.00] 就是我們有分為兩個事業體
[584.00-587.00] 就是營造事業體跟建設事業體
[587.00-589.00] 那現在針對營造事業體的部分
[589.00-591.00] 來跟各位做一個說明
[591.00-594.00] 那本公司目前有承攬的個案
[594.00-597.00] 大概有兩個營造的部分
[597.00-601.00] 一個是玉鐵企業股為有些公司
[601.00-603.00] 它主要是一個廠房的興建
[603.00-605.00] 跟辦公室宿舍的一個興建
[605.00-609.00] 有公司這邊來做一個興建
[609.00-611.00] 那它的承攬金額是1.8億
[611.00-612.00] 1.3億
[612.00-613.00] 0.9億
[613.00-616.00] 那這個部分都是採完工百分比法
[616.00-619.00] 那這個案子預計是
[619.00-625.00] 今年的第三季會整個都完工
[625.00-628.00] 那這個部分先跟各位做報告
[628.00-631.00] 那另外的承攬個案
[631.00-635.00] 就是我們的屏東國際棒球場
[635.00-637.00] 這個承攬金額比較大高
[637.00-640.00] 就是18億10800萬左右
[640.00-644.00] 然後我們這個案子也是採取完工百分比法的部分
[644.00-645.00] 那在去年的部分
[645.00-647.00] 在113年的部分
[647.00-652.00] 我們都是做一些事前的一個準備
[652.00-655.00] 包括整個假設工程的處理
[655.00-658.00] 還有那個建造的一個申請
[658.00-660.00] 那從今年度開始
[660.00-663.00] 就密集的開始做一個施工
[663.00-668.00] 然後這個案子是預計在116年的第四季
[668.00-670.00] 第四季要完工
[670.00-672.00] 這個跟各位
[672.00-674.00] 針對營造事業體系的部分
[674.00-676.00] 來做一個說明的報告
[676.00-680.00] 那第二個部分是建設事業體
[680.00-682.00] 建設事業體的部分
[682.00-685.00] 目前其實佔我們公司的整個營收的部分
[685.00-687.00] 達到九成以上
[687.00-691.00] 主要公司目前還是以建設事業體的部分為主
[691.00-695.00] 那大概都是以置地之間的方式來做一個呈現
[695.00-700.00] 那跟各位做建設事業體的
[700.00-702.00] 成屋銷售狀況的一個報告
[702.00-703.00] 那由於我們在這個部分來做一個報告的話
[704.00-707.00] 第一個案子是鳳凰時代的部分
[707.00-710.00] 這個很早就已經完工了
[710.00-712.00] 105年就已經完工入帳了
[712.00-715.00] 那因為剛好有剩下一戶漁屋
[715.00-720.00] 那出租給這個
[720.00-723.00] 這個在出租當中
[723.00-725.00] 然後是在出租當中
[725.00-729.00] 那在今年第一季也出售了
[729.00-732.00] 所以說我們這裡的銷售率是100%
[732.00-734.00] 雖然我們到二月底的時候還沒有出售
[734.00-736.00] 但是我們在三月的時候
[736.00-738.00] 這一戶已經售出去
[738.00-743.00] 那我們也在今年的三月入帳了
[743.00-745.00] 那另外新都廳的部分
[745.00-748.00] 這個是在107年的時候完工入帳的
[748.00-751.00] 那也是漁屋生下一戶店鋪
[751.00-754.00] 這一戶店鋪的銷售率99%
[754.00-758.00] 那這一戶的店鋪目前也是出租當中
[758.00-762.00] 那其他在第三個個案的部分
[762.00-764.00] 跟第四個個案這兩個案子
[764.00-767.00] 都是去年完工的個案
[767.00-773.00] 然後這個鳳凰天母是去年的第二季整個完工
[773.00-778.00] 然後鳳凰Villa這個在去年的第四季完工
[778.00-782.00] 然後它的總銷金額是一個是13億
[782.00-784.00] 鳳凰天母的時候是13億
[784.00-787.00] 那鳳凰Villa是37億
[787.00-789.00] 它總戶數的部分
[789.00-791.00] 鳳凰天母有70戶
[791.00-792.00] 然後那個鳳凰Villa有380戶
[792.00-793.00] 然後那個鳳凰Villa有380戶
[793.00-795.00] 那鳳凰Villa有372戶
[795.00-801.00] 那目前已經銷售的到114年的二月底
[801.00-803.00] 以售出的戶數
[803.00-806.00] 鳳凰天母三期是17戶
[806.00-811.00] 然後鳳凰Villa是292戶
[811.00-813.00] 那剛剛跟各位報告的是
[813.00-816.00] 因為鳳凰天母這個案子是透天案
[816.00-819.00] 這個是一個透天住宅案
[819.00-821.00] 然後這個鳳凰Villa是大樓案
[821.00-824.00] 這個後續後面會跟各位做報告
[824.00-829.00] 那目前在入帳的部分是53戶
[829.00-833.00] 到今年二月底入帳的它是53戶
[833.00-838.00] 那鳳凰Villa入帳的是261戶
[838.00-842.00] 那我們的銷售率是一個是81%一個是78%
[842.00-846.00] 那目前我們的漁務目前已售292戶
[846.00-848.00] 那已入帳261戶
[848.00-849.00] 所以說我們還有31戶的銷售率是
[849.00-850.00] 所以說我們還有31戶的銷售率是
[851.00-856.00] 這個部分會在後續今年度的第三
[856.00-862.00] 第一季底或是第二季陸陸續續去做一個入帳交務的動作
[862.00-869.00] 然後再來就是有關我們那個今年度會完工的一些個案
[869.00-872.00] 我們來跟各位做一個說明跟報告
[872.00-876.00] 那小港狂鳳段二期
[876.00-881.00] 二期這個就是在我們剛剛講的鳳凰天母三期的隔壁
[881.00-882.56] 也是一個透天案
[882.56-884.88] 然後它的總銷金額是6億
[884.88-888.18] 我們蓋了32戶的透天住宅
[888.18-892.38] 這個案子是預計先見後受
[892.38-895.28] 它完成的時間是114年
[895.28-899.38] 另外那個前鎮區仁愛段的部分
[899.38-901.02] 它的總銷是12億
[901.02-902.26] 這個是一個大樓案
[902.26-905.00] 然後總戶數有98戶
[905.00-907.32] 這個案子也是先見後受
[907.32-910.00] 預計外公的部分是114年度
[910.00-913.10] 那另外鳳凰信義的部分
[913.10-915.10] 這個是總銷26億
[915.10-916.24] 200零1戶
[916.24-918.28] 它目前這個案子是在預售的時候
[918.28-919.34] 就已經完銷了
[919.34-924.72] 所以它的已售出的戶數是200零1戶
[924.72-927.28] 就是新建跟預售它已經完成了
[927.28-930.82] 所以是這個案子也是在114年完工
[930.82-932.68] 那另外前面這兩個案子是
[932.68-936.06] 成屋完成以後我們才會再做銷售
[936.06-938.32] 那另外鳳凰喬克萬的部分
[938.32-939.80] 總銷也是27億
[939.80-940.00] 有了一百萬元的銷售
[940.00-941.50] 217戶
[941.50-945.00] 那目前這個案子在今年第一季進場
[945.00-947.04] 所以說它剛開始做一個銷售
[947.04-949.68] 目前已售的戶數到2月底
[949.68-951.34] 它是銷售12戶
[951.34-953.62] 大概就是6%左右
[953.62-957.28] 然後這個案子預計大概114年完工
[957.28-959.26] 另外鳳凰翠的這個部分
[959.26-961.96] 這個是在高雄大學的一個建案
[961.96-964.30] 它也總銷是27億
[964.30-966.52] 那總戶數215
[966.52-969.80] 那目前在第一季進場後
[969.80-972.64] 它目前已經銷售的戶數有21戶
[972.64-976.30] 那大概的比率是銷售率大概是10%
[976.30-979.64] 那這個案子也會在114年的部分
[979.64-982.48] 去做一個完工
[982.48-984.78] 那另外還有其他的個案
[984.78-986.58] 就是後續年度
[986.58-989.66] 明年後年或是大後年的一個入帳
[989.66-991.58] 一個完工的一個個案
[991.58-993.52] 跟各位做一個說明
[993.52-996.82] 那一個是南梓高商段的部分
[996.82-998.56] 它總銷8億
[998.56-999.60] 那戶數6億
[999.60-1003.80] 那這個預計在116年完工
[1003.80-1006.28] 那這個目前也都沒銷售的一個
[1006.28-1008.98] 的違化
[1008.98-1010.84] 它是先見後收為主
[1010.84-1012.28] 那另外第二個案子是
[1012.28-1014.68] 前經區後經段的部分
[1014.68-1016.78] 它的總銷金額有33億
[1016.78-1018.46] 然後總戶數92戶
[1018.46-1021.12] 大概是先見後收117年完工
[1021.12-1023.72] 那再來就是岡山大工段的部分
[1023.72-1026.16] 它大概總銷有20億
[1026.16-1028.30] 那總戶數126戶
[1028.30-1029.60] 先見後收
[1029.60-1031.90] 然後這個案子117年完工
[1031.90-1033.98] 那另外花蓮主權段16億
[1033.98-1035.10] 186戶
[1035.10-1036.44] 這個是先見後收
[1036.44-1038.60] 預計也在117年完工
[1038.60-1041.88] 那另外一起經貿段的部分
[1041.88-1043.32] 總銷有65億
[1043.32-1045.48] 那總戶數有329戶
[1045.48-1049.02] 那也是先見後收在118年完工
[1049.02-1052.52] 然後那個預推個案這裡
[1052.52-1055.00] 預估推案的這個合計
[1055.00-1056.62] 從上面之類加下來
[1056.62-1059.60] 大概有240億左右
[1059.60-1063.70] 總戶數有1549億
[1063.70-1067.70] 那針對這一些建設事業體的一個
[1067.70-1069.04] 目前的狀況
[1069.04-1071.64] 就是來跟各位做一個報告
[1071.64-1074.72] 那我們大概以高雄身邊來看的話
[1074.72-1077.26] 就是有部分的案子是在
[1077.26-1079.72] 我們的高雄的北部
[1079.72-1081.36] 就所謂的北高雄
[1081.36-1082.82] 那以我這張來講
[1082.82-1084.42] 南邊叫南高雄
[1084.42-1086.90] 那在北高雄的部分有幾個案子
[1086.90-1089.60] 就是剛剛有講的鳳凰VLAB
[1089.60-1090.84] 這個已經完工了
[1090.84-1092.16] 還有鳳凰信義
[1092.16-1093.78] 鳳凰翠
[1093.78-1095.18] 高商段
[1095.18-1096.14] 這個部分
[1096.14-1097.08] 還有大宮段
[1097.08-1098.30] 這個在岡山
[1098.30-1099.94] 這個鳳凰橋科萬
[1099.94-1101.38] 這個是在橋頭
[1101.38-1105.64] 這個都是在北高雄的一個一個一些建案
[1105.64-1107.38] 那在南高雄這一邊的建案
[1107.38-1109.52] 大概後金段
[1109.52-1110.78] 新都廳
[1110.78-1112.96] 經貿段一起
[1112.96-1114.26] 還有仁愛段
[1114.26-1119.60] 還有這個恐鳳二期跟鳳凰天母三期
[1119.60-1122.04] 這個都是屬於南高雄的建案
[1122.04-1123.10] 有的在小港區
[1123.10-1125.04] 有的在前鎮區
[1125.04-1127.04] 這個有的在前京區
[1127.04-1129.04] 這些案子大概都是
[1129.04-1131.04] 目前公司的一些案子
[1131.04-1133.74] 等一下詳細的進度會再跟各位做報告
[1133.74-1136.38] 那另外主權段的部分是在花蓮
[1136.38-1141.12] 那針對目前的一些個案
[1141.12-1142.62] 包括一些進度
[1142.62-1145.80] 跟各位做一個報告跟說明
[1145.80-1148.20] 那新都廳這個是之前的案子
[1148.20-1149.60] 然後再深深下
[1149.60-1151.10] 於吳就深一戶
[1151.10-1152.34] 目前處處走
[1152.34-1157.64] 那過來鳳凰天母三期的部分
[1157.64-1159.64] 這是城屋
[1159.64-1161.34] 這個是城屋銷售的案子
[1161.34-1162.72] 然後目前是
[1162.72-1164.92] 是已經整個完工了
[1164.92-1167.88] 它的地點在高雄小港區
[1167.88-1168.78] 恐在六街
[1168.78-1169.88] 恐在一街
[1169.88-1173.86] 那我們蓋的是地上三到四樓
[1173.86-1175.32] 那總戶數七十戶
[1175.32-1179.60] 然後總基地面積是2012坪
[1179.60-1183.84] 這個是整個完工後的一個事情
[1183.84-1187.28] 那目前我們剛剛也報告過這個案子
[1187.28-1188.58] 在去年完工
[1188.58-1189.98] 然後到今年的二月
[1189.98-1192.98] 我們已經有銷售17戶了
[1192.98-1194.64] 還有13戶的預務
[1194.64-1199.92] 然後再後續會陸陸續續來做一個城屋的銷售
[1199.92-1201.76] 那另外鳳凰Villa的部分
[1201.76-1203.12] 也是跟各位報告過
[1203.12-1208.10] 這是去年第四季的一個案子
[1208.10-1209.60] 這個也是整個已經完成了
[1209.60-1210.74] 大概已經成交了
[1210.74-1212.16] 現在已經成交五了
[1212.16-1215.44] 那它的地點在高雄市橋頭區
[1215.44-1216.38] 夾蘇路
[1216.38-1221.08] 然後我們是蓋地下一、地上十
[1221.08-1222.38] 有10棟
[1222.38-1225.58] 那基地面積是3千零4坪
[1225.58-1229.56] 那住家有372戶
[1229.56-1231.48] 那目前剛剛有跟各位做報告的
[1231.48-1234.32] 已經銷售了292戶
[1234.32-1236.32] 那剩下80戶的部分
[1236.32-1239.56] 我們會在今年陸陸續續去做一個銷售跟取換
[1239.60-1243.84] 再來就是今年未完工的一個個案
[1243.84-1245.60] 剛剛有跟各位做報告
[1245.60-1249.20] 就是在鳳凰天母三期的隔壁
[1249.20-1251.84] 這個是小港澎澎段二期
[1251.84-1258.56] 這個案子目前我們的整個工程進度
[1258.56-1260.96] 整個結構體都已經完成了
[1260.96-1262.40] 目前在做裝修
[1262.40-1267.44] 這個案子目前已經取得實用執照
[1267.44-1272.48] 預計在五月份會整個完工
[1272.48-1274.64] 完工後再投入銷售
[1274.64-1279.76] 然後它的地點就在鳳凰天母三期的旁邊
[1279.76-1284.00] 然後這個案子我們預計也是會
[1284.00-1288.40] 為案名我們會取為鳳凰天母五期
[1288.40-1291.60] 鳳凰天母五期就是在三期的旁邊
[1291.60-1293.60] 然後它一共是
[1293.60-1296.00] 總共是透天地上三湖
[1296.00-1297.36] 那戶數一共有
[1297.36-1299.12] 32戶
[1299.12-1301.84] 基地面積有1071坪
[1301.84-1303.84] 那這個是透視圖
[1303.84-1305.84] 以後完工的部分
[1305.84-1309.84] 這個完工部分我們還會再補一個完工的照片
[1309.84-1315.04] 那再來是今年也會完工的一個個案
[1315.04-1317.84] 是前鎮區仁愛段
[1317.84-1320.40] 這個部分目前在行程當中
[1320.40-1322.32] 那它的地點是
[1322.32-1325.52] 剛好是前鎮區翠亨北路草崖一路
[1325.52-1327.28] 那它剛好是在
[1327.28-1332.16] 一個前鎮的這個勞工局
[1332.16-1333.44] 現在高中附近
[1333.44-1335.44] 那剛好也是一個接鎮的出口
[1335.44-1337.84] 所以說它的地點相當不錯
[1337.84-1341.04] 那我們的基地面積有412坪
[1341.04-1343.68] 那總消面積有3172
[1343.68-1347.28] 那我這個案子規劃地下二、地上15樓
[1347.28-1350.00] 那總計戶數有98戶
[1350.00-1353.20] 那這個案子目前的整個施工進度的部分
[1353.20-1355.28] 是我們在準備要申請
[1355.28-1357.12] 使用執照當中
[1357.28-1359.84] 那進行使用執照當中
[1359.84-1366.24] 我們這個案子預計在那個114年的第三季季初
[1366.24-1368.80] 可能是七月份的部分
[1368.80-1371.04] 會整個完成
[1371.04-1373.68] 那目前就是也是要等到完成
[1373.68-1376.48] 再進場去做銷售
[1376.48-1380.88] 那再來就是鳳凰信義的部分
[1380.88-1382.88] 這個剛剛已經跟各位報告了
[1382.88-1385.12] 新建在預售已經完銷了
[1385.12-1387.12] 那這個案子目前大家看到的
[1387.28-1391.12] 這個是鳳凰信義是在岡山的這個案子
[1391.12-1394.32] 它這個案子是它的現在目前的一個實境照片
[1394.32-1397.52] 它已經陸陸續續切勾提映
[1397.52-1399.44] 整個外觀都已經完成了
[1399.44-1401.04] 那目前的階段
[1401.04-1407.76] 它也是在準備要申請使用執照的階段
[1407.76-1410.32] 那這個案子也是預計在第三季
[1410.32-1415.44] 今年的第三季七月份左右會整個完工
[1415.44-1416.72] 然後開始準備去做一個實境照片的部分
[1417.28-1419.84] 那這個案子是在公司現在主要的一個教務
[1419.84-1422.40] 那它的地點在康文市岡山區
[1422.40-1424.96] 馮城路 馮城東一路
[1424.96-1427.52] 然後它的基地面積有1,007平
[1427.52-1431.36] 然後總銷面積7,649平
[1431.36-1433.92] 那預計我們蓋的這個是
[1433.92-1436.48] 地下三層 地上14層
[1436.48-1439.04] 我們現在規劃的五屬有
[1439.04-1441.60] 店鋪五戶 住家176戶
[1441.60-1442.88] 那這個案子已經完銷了
[1442.88-1446.72] 也是公司現在主要的今年
[1447.28-1452.40] 在第三季會開始陸陸續續去做一個教務路上的一個業績
[1452.40-1454.96] 那這個案子總銷額是6億
[1454.96-1457.52] 那已經完銷了
[1457.52-1462.64] 另外再來就是今年也會完工的一個共黃橋刻丸
[1462.64-1466.48] 目前剛剛進場預售
[1466.48-1470.32] 那這個是它的透視圖
[1470.32-1475.44] 整個外觀的部分我們等到比較接近的時候
[1475.44-1476.98] 再跟各位做一個
[1477.28-1481.12] 一個圖片上的然後一個照片上的一個更換
[1481.12-1484.96] 那它的地點在高雄市苑巢區滾水路
[1484.96-1488.80] 然後基地面積1,558平
[1488.80-1496.48] 然後總銷平數7,843平
[1496.48-1500.32] 然後它是做地下二地上14樓的一個企業住宅
[1500.32-1502.88] 那總戶數有217戶
[1502.88-1505.44] 那目前這個案子的部分
[1505.44-1507.24] 目前是整個外觀都已經完成了
[1507.24-1507.26] 然後它是整個外觀都已經完成了
[1507.28-1511.38] 然後再做一樓的一個整個裝修還有室內裝修
[1511.38-1517.00] 那這個案子我們是預計也是在今年度114年的第三季
[1517.00-1519.32] 第三季可能在八月左右
[1519.32-1523.66] 八月左右會做一個完工
[1523.66-1526.48] 然後完工後再針對銷售的狀況
[1526.48-1531.86] 再來執行所謂的教務那個撥款路上這個動作
[1531.86-1533.64] 大概會在第三季
[1533.64-1537.24] 那再來就是鳳凰翠的部分
[1537.24-1546.96] 那這個案子是在高雄大學的區域
[1546.96-1548.00] 在高大特區
[1548.00-1553.62] 那離高雄大學大概從建安到高雄大學大門
[1553.62-1556.70] 大概步行大概三到五分鐘就到了
[1556.70-1558.74] 所以地點也相當不錯
[1558.74-1563.60] 那地點是在高雄市南子區大學26間
[1563.60-1566.68] 然後基地面積是641平
[1566.68-1567.20] 然後地點是在高雄市南子區大學26間然後基地面積是641平
[1567.24-1572.10] 然後總銷面積是7239平
[1572.10-1577.22] 那預計我們這個案子是做地下四樓地上15樓
[1577.22-1579.52] 那總部署有200里一屋
[1579.52-1583.36] 那這個案子目前就是今年度剛進場做銷售
[1583.36-1586.44] 那目前反應也都還可以
[1586.44-1589.52] 那銷售的反應也都還可以
[1589.52-1592.08] 另外我們這個案子的整個工程進度
[1592.08-1594.88] 會在今年的第四季
[1594.88-1596.68] 會在今年的第四季
[1596.68-1602.32] 可能在十月或十一月那邊會整合一個完工交付
[1602.32-1608.20] 我們這個案子就是依照整個工程進度的部分
[1608.20-1613.84] 希望說能夠在十月左右或十一月左右能夠順利的完工
[1613.84-1617.42] 然後可以入場交付
[1617.42-1619.98] 那再來就是南子高昌段的部分
[1619.98-1621.52] 這個在新建當中
[1621.52-1626.12] 然後這個規劃這個也是在高雄大學區域裡面的一個建案
[1626.12-1629.96] 這個在高雄市南自區南昌路319巷
[1629.96-1633.04] 然後它的基地面積只有336坪
[1633.04-1635.84] 總效面積2055坪
[1635.84-1638.66] 那是地下二地上40樓
[1638.66-1640.96] 那規劃是店鋪兩戶
[1640.96-1642.24] 住家65戶
[1642.24-1644.80] 那目前這個建案的部分
[1644.80-1647.88] 在做地下室的一個工程
[1647.88-1651.98] 那目前預計我們那個
[1651.98-1653.76] 四月
[1653.76-1656.08] 四月底以前會把
[1656.12-1657.92] 那個
[1657.92-1659.70] 一樓的部分會出土面
[1659.70-1662.26] 大概就是會在四月底的部分
[1662.26-1668.16] 那整個工期的部分當然有包括過在116年才會整個完工
[1668.16-1670.72] 那另外前經區後經段的部分
[1670.72-1672.76] 這個部分也是在新建當中
[1672.76-1677.36] 那它的地點是高雄市前經區大棟二路四中一路
[1677.36-1679.68] 基地面積有556坪
[1679.68-1681.98] 銷售面積7556坪
[1681.98-1686.08] 然後預計新建的樓層它是地下五樓
[1686.12-1688.42] 地上二十四樓的一個建築物
[1688.42-1689.70] 一棟的建築物
[1689.70-1690.72] 然後預計
[1690.72-1692.26] 預計的戶數
[1692.26-1693.54] 有92戶
[1693.54-1695.08] 那這個案子
[1695.08-1697.38] 目前的整個工程進度
[1697.38-1698.66] 還是在
[1698.66-1699.94] 剛出土面
[1699.94-1702.24] 目前在一樓的結構體
[1702.24-1703.78] 在實作當中
[1703.78-1705.84] 那我們這案子是改二十四樓
[1705.84-1710.18] 然後這個案子我們預計在117年才會完工
[1710.18-1712.48] 然後這個案子它的地點
[1712.48-1713.76] 也相當不錯
[1713.76-1715.04] 是在高雄的一個
[1715.04-1716.08] 一個
[1716.12-1718.94] 相當近的一個地方
[1718.94-1721.76] 那也在高雄地方華嚴的行對面
[1721.76-1723.28] 然後在離陰大道山
[1723.28-1726.10] 所以說整個地點是相當不錯
[1726.10-1730.20] 這個案子未來也有可期的地方
[1730.20-1731.48] 那另外
[1731.48-1733.02] 在新建的個案
[1733.02-1735.32] 岡山區大公段的部分
[1735.32-1737.88] 這個是在岡山的一個案子
[1737.88-1742.48] 它地點在高雄市岡山區中山北路
[1742.48-1745.04] 它的基地面積642坪
[1745.04-1745.56] 然後
[1745.56-1748.64] 總消滅區5102坪
[1748.64-1749.66] 預計
[1749.66-1750.94] 該地下山
[1750.94-1752.22] 地上22
[1752.22-1754.78] 然後總戶數是126坪
[1754.78-1756.06] 然後那是一棟
[1756.06-1756.82] 一棟
[1756.82-1758.88] 6坪的一個建築物
[1758.88-1761.68] 那個這個目前的進度是
