[0.00-5.64] 中國人造纖維股份有限公司創立於1955年5月11日
[653.66-655.96] 就不會那麼多的一個剩餘的產能
[656.52-658.06] 那包含有些小廠如果
[658.56-659.84] 在整合掉之後
[661.12-661.90] 對整體
[662.16-662.92] 市場的價格
[663.44-665.22] 會波動不會像現在這麼大
[666.00-670.08] 那如果看利空的部分的話他可能就是整合之後
[670.60-671.88] 如果他們高質化
[672.14-674.44] 的發展或是說他整個上下游整合
[674.96-676.48] 比台灣的這個
[677.26-679.04] 石化業來的更
[679.82-683.40] 更好更深的話那他的競爭力一定是比
[683.92-685.20] 台灣來的高
[685.44-686.48] 尤其是他產能那麼多
[686.78-687.28] 大
[688.06-690.62] 所以這個是有好有壞沒有辦法說
[691.38-692.66] 單看利多還是利空
[693.68-696.24] 那關於內需的展望內需現在
[696.50-698.04] 大陸的內需非常的差
[698.80-700.60] 就是剛才所提到他們的
[701.36-704.70] 這個產能開這麼多現在完全屬於供過於求
[705.72-709.56] 那他們自己本身的這個產品在虧損
[710.84-713.14] 那他們內需的展望當然
[713.92-716.48] 現在中國還是走這個刺激經濟
[716.78-718.32] 降息的這一方面
[719.34-720.36] 可能還是要
[720.88-726.76] 兩三年的時間短期之內他內需的一個增長是還看不到
[727.28-728.56] 至少今年來看不到
[729.58-733.92] 那90天的關稅豁免之後對於公司的營收的影響
[735.20-741.10] 如果你單就我們現在的一個產能分配來講的話大部分
[741.60-744.68] 像占最大營收的部分的一二存
[745.20-746.48] 這部分主要
[746.78-751.38] 90%到95%都是內銷我們現在基本上都不外銷
[752.40-756.50] 所以就算他90天的關稅豁免之後對於公司的營收
[756.76-758.80] 應該是沒有什麼太大的影響
[759.58-761.36] 主要影響還是在於
[761.62-762.40] 國內的市場
[762.64-764.70] 就是國內的這些巨子下游
[765.98-768.28] 那我們的收款幣別當然有美金
[770.58-774.68] 美金的部位還是比較高主要
[774.94-776.48] 我們公司外銷的部分
[776.78-777.54] 當然是收美金
[778.32-780.88] 那台幣升值的話因為現在外銷比
[781.12-782.66] 就整體的外銷比
[783.68-784.20] 佔比
[785.48-787.28] 對於我們這個
[788.30-789.84] 影響的話大概是
[790.08-791.36] 有兩趴左右
[791.62-793.68] 大概就美金這次的升
[793.92-794.96] 就上個月
[795.72-800.84] 這個整體升值的6%到8%對我們公司的影響2%左右
[802.12-806.22] 那我們上次的回收環保殺還有循環經濟的部分目前
[806.72-808.82] 這個環保殺的需求還是很好
[809.34-810.88] 產能還是
[811.12-812.40] 逐漸都在提升
[812.66-815.22] 循環經濟的部分我們就是做我們自己
[815.74-819.58] 公司內部的一些刺激殺還有一些
[820.34-823.68] 廢殺廢條塊這部分的回收
[823.92-824.70] 目前還
[825.46-826.24] 還做得不錯
[827.76-831.60] 那禁止出口到這個宜晚到中國的部分
[832.64-834.42] 他這個禁止出口
[834.68-836.48] 那就等於是斷了中國的這個
[836.78-838.32] 整個的生產
[839.34-840.88] 他一定會提高他的
[841.12-842.16] 的成本
[842.40-844.96] 因為他們以來原就變得非常少
[847.02-848.04] 那最好是可以進
[848.30-849.06] 禁止出口
[849.58-850.86] 這樣對於
[851.12-852.14] 以二存的價格
[852.64-854.18] 還是可以再更穩定一點
[863.14-864.94] 這個今年的第一季的
[865.20-865.96] 25年
[866.22-866.48] 的
[866.78-867.54] 利差是比
[868.06-868.82] 去年
[869.34-870.88] Q1來的好
[871.38-873.18] 今年Q1大概
[874.20-874.96] 就是
[875.22-877.28] 比去年的利差大概多了
[878.30-882.14] 多了30塊美金左右也就是大概多了一塊錢台幣
[888.54-894.68] 如果一分鐘後沒有任何的問題的話我們的法說會將在一分鐘後結束
[896.52-903.68] 那我們的法說會就到現在為止謝謝大家
