[0.00-1.68] 請看見報告
[454.44-457.44] 它就是一個呈現微乎虧損的狀態
[457.44-460.44] 那隨著營收越來越好
[460.44-464.44] 就像剛才提到的從2022到2023一路往上
[464.44-468.44] 所以2023在營收大幅增長的狀況之下
[468.44-473.44] 也造成我們的一個營業經濟也是到一個比較高的狀態
[473.44-475.44] 然後到2024年
[475.44-477.44] 然後到2024年隨著營收下降
[477.44-479.44] 然後整體上又下降
[479.44-481.44] 又呈現下降的一個趨勢喔
[481.44-483.44] 所以其實對好樂體來講
[483.44-487.44] 營收的增長或者是衰退
[487.44-491.44] 對營業經濟的影響其實是蠻大的
[491.44-493.44] 就我們自己內部來看
[493.44-498.44] 就是我們的一個固定成本其實是比較低的
[498.44-500.44] 變季貢獻是比較高的
[500.44-502.44] 所以有比較大的營收增長的時候
[502.44-507.44] 它投入的變季貢獻的金額其實就是比較大的
[507.44-510.44] 那我看一下這個小圖的部分
[510.44-512.44] 就是其實看起來都是從
[512.44-516.44] 不管從Q1 Q2 Q3跟Q4
[516.44-519.44] 其實都是一個往下走的一個狀態
[523.44-526.44] 那小圖這個部分我就不再多說了
[526.44-531.44] 那整個損益表到營業經濟的結構
[532.44-534.44] 就是在臺灣
[534.44-537.44] 就是我們KTE本身在臺灣的一個營業狀態
[537.44-541.44] 那接下來就會到合併報表的一個投資收益的部分
[541.44-544.44] 那剛有提到是第三塊是中國大陸
[544.44-547.44] 中國大陸的部分就是在
[547.44-551.44] 過去就是做一個調整
[551.44-553.44] 那整個把中國大陸的部分收掉
[553.44-557.44] 然後自己的我們自己的一個境外的持股公司
[557.44-559.44] 也把它做一個清算之後
[559.44-562.44] 在整體上來講它的
[562.44-566.44] 因為去年是到三月份
[566.44-570.44] 所以還有大概接近一百萬左右的一個損益的部分
[570.44-575.44] 那2025年這個這一塊應該就會沒有了
[575.44-578.44] 那接下來就是另外一個部分的話
[578.44-580.44] 就是錢櫃的部分
[580.44-584.44] 就是錢櫃在中國的部分也一樣
[584.44-587.44] 就是同步都是全部收掉了
[587.44-592.44] 然後臺灣的表現也就是在臺灣的一個部分
[592.44-597.44] 然後再加進他們有其他類型的轉投資的一個效應
[597.44-602.44] 那同樣也就是在COVID-19這幾年
[602.44-607.44] 對錢櫃的任內的轉折投資收益最高的部分也是在去年
[607.44-611.44] 今年也是呈現微幅下降的狀態
[611.44-617.44] 那在業外的部分除了長期投資的投資損益之外
[617.44-620.44] 還有比較大的金額就是匯兌的部分
[620.44-622.44] 現在目前我們在帳上大概有
[622.44-624.44] 6百萬美金的部分
[624.44-631.44] 那這個就會隨著貨幣的對美金的一個匯率的高低
[631.44-635.44] 然後會呈現在一個匯兌損益的部分
[635.44-638.44] 那在今年的話就可以很明顯的看到
[638.44-640.44] 因為今年的話就是美金是升值的
[640.44-642.44] 台幣是貶值的
[642.44-647.44] 所以今年在匯兌收益上面的金額就會比較大
[650.44-652.44] 好 現金流量這個稍微可以看一下
[652.44-655.44] 負債比的部分 流動比的部分
[655.44-660.44] 其實都是很漂亮的一個數字
[660.44-663.44] 那接下來我們看一下美股盈利的計算
[663.44-667.44] 就是我想這個美股盈利的計算
[667.44-671.44] 我自己的看法就是反正它就是一個很特殊的東西
[671.44-677.44] 對 那在外面有專業投資的機構
[677.44-682.44] 如果沒有特別去注意到EPS的算法的時候
[682.44-685.44] 就會發現我們的EPS很高
[685.44-688.44] 然後我們配發的比例很低
[688.44-690.44] 那實際上不是這麼一回事喔
[690.44-694.44] 就是我們是按照金管會的一個混打級的規定
[694.44-699.44] 就是在跟錢櫃 項目 持股 財權 印法 投資 處理的時候
[699.44-703.44] 我們要用庫藏股票法的方式來計算EPS
[703.44-706.44] 那這個EPS就是在分股的部分
[706.44-710.44] 然後我們現在有庫藏股大概有48張左右
[710.44-711.44] 那才要減掉錢櫃的錢票的部分
[712.44-715.44] 錢櫃對我們的持股有32.10%
[715.44-718.44] 所以其實EPS整體計算上面
[718.44-724.44] 大概會往上虛的浮動3分之1左右
[724.44-726.44] 就因為他們對我們的持股的關係
[726.44-732.44] 所以我們真正的EPS就是會發放給所有的股東
[732.44-736.44] 這個EPS的計算是按照金管會的一個規定
[736.44-739.44] 但是我們在發放現金股利的部分會不會發給錢櫃
[739.44-741.44] 會 還是會
[741.44-743.44] 所以他還是有他自己的一個
[743.44-746.44] 作為股東的一個權利
[746.44-750.44] 但是在這個計算方式好像是把它扣掉
[750.44-751.44] 他就沒有了
[751.44-754.44] 但實際上他還是有現金股利的一個
[754.44-756.44] 收取的一個權利的
[756.44-761.44] 所以我們在一般公司來算的EPS的話
[761.44-765.44] 應該是落在5.23左右
[765.44-770.44] 這個可能真的是會讓大部分的投資人
[770.44-771.44] 就是會想要投資的
[771.44-775.44] 所以我們會比較不清楚說我們公布的EPS
[775.44-777.44] 目前股價80塊
[777.44-780.44] 好像很便宜
[780.44-784.44] 然後我們看一下我們現金股利發放的狀況
[784.44-787.44] 我們這邊有現金股利是這個4.8
[787.44-789.44] 今年這個已經公告了
[789.44-790.44] 所以我們舊的算法的
[790.44-793.44] 舊一般公司的正常算法大概是5.23
[793.44-795.44] 新算法是7.74
[795.44-800.44] 那我們在發現金股利是按照我們的一個
[800.44-802.44] 一個稅後淨利
[802.44-804.44] 然後扣除掉資本供給之後
[804.44-807.44] 然後再加回一些OCI轉回
[807.44-811.44] 或者是轉出之後的餘額
[811.44-813.44] 會分配的餘額來計算
[813.44-815.44] 我們到底可以發多少股利
[815.44-819.44] 所以在今年的4.8的一個狀態
[819.44-821.44] 如果我們按照我們的稅後淨利
[821.44-823.44] 可以發放的股利來看的話
[823.44-826.44] 我們的發放率是有高達91%
[826.44-828.44] 那如果用7.74去算的話
[828.44-829.44] 股利發放率只有60%
[830.44-837.44] 那實際上我們是幾乎把所有的稅後淫魚
[837.44-840.44] 扣掉了這10%的特別淫魚供給之後
[840.44-842.44] 我們幾乎是要成速發放的部分
[842.44-846.44] 這個可能還是要請投資人
[846.44-849.44] 就是特別注意這個地方
[849.44-851.44] 那接下來未來發展策略的部分
[851.44-853.44] 我們就交給總經理
[857.44-858.44] 喂
[858.44-859.44] 何立昌先生好
[859.44-863.44] 接下來我報告一下未來的發展策略
[863.44-865.44] 那何立昌來中長期
[865.44-867.44] 我想在通路策略的部分
[867.44-868.44] 我們還是會
[868.44-870.44] 因為畢竟我們是聯手業
[870.44-872.44] 還是必須以追求規模的擴張為主
[872.44-876.44] 可是我們不會一昧的去追求無效的電數
[876.44-878.44] 所以剛才財務長也有報告
[878.44-881.44] 我們其實針對一些比較經營不上的一些門市
[881.44-884.44] 我們還是會去做一些收點
[884.44-886.44] 那所以在針對目前46家門市
[886.44-888.44] 我們還是會持續的去檢視一下
[888.44-889.44] 它的經營機構
[889.44-892.44] 也許確實是因為人口結構的改變
[892.44-894.44] 或者商圈的轉移
[894.44-897.44] 那像這些店我們可能就會做一個結束
[897.44-902.44] 然後另外在附近的新興商圈去開發一個全新的店
[902.44-907.44] 那在六都的部分未來我們還是會傾向於VMIS這個品牌
[907.44-909.44] 因為我們VMIS目前
[909.44-913.44] 像剛報告的我們在台中豐原的向陽店
[913.44-916.44] 然後台通的西團店還有東港的東港店
[916.44-918.44] 我們這三家店都會走VMIS的路線
[918.44-920.44] 所以我們還是會去做一些新興商圈
[920.44-921.44] 那它在整個設計
[921.44-924.44] 包廂裡面的一些設備其實都是比較有新潮
[924.44-927.44] 比較符合現在年輕人的一些喜好
[927.44-930.44] 所以我們會朝向這個部分去發展
[930.44-932.44] 那在內部的部分呢
[932.44-935.44] 其實還是會比較著重在會員的行銷與經營
[935.44-939.44] 我們目前維尼卡的會員大概有30萬左右
[939.44-943.44] 那這些對我們來說是一個非常忠實的顧客
[943.44-946.44] 那所以我們還是會持續在針對會員做一些
[946.44-947.44] 也許會員日後
[947.44-949.44] 或者是一些會員集點的活動
[949.44-952.44] 那希望在會員的年酌度上面
[952.44-956.44] 可以讓他們能夠持續的回來公司消費
[956.44-958.44] 那另外當然還是提到包廂的部分
[958.44-961.44] 因為畢竟來KV還是以唱歌為主
[961.44-963.44] 那現在大部分人在包廂裡面
[963.44-966.44] 都會希望有一些比較多的娛樂元素
[966.44-968.44] 所以我們還是會持續開發說
[968.44-972.44] 怎麼樣讓包廂裡面有更多的導入一些科技的元素
[972.44-975.44] 能夠讓這個包廂更好玩
[975.44-977.44] 那最後還是
[977.44-979.44] 我們承擔還是不變
[979.44-983.44] 我們是希望創造一個歡樂健康安全的休閒聚會空間
[983.44-987.44] 那也許這幾年經營上面其實是有一些
[987.44-988.44] 遇到一些瓶頸
[988.44-990.44] 遇到一些兩戰
[990.44-992.44] 那當然至少KV我覺得還是
[992.44-996.44] 畢竟它是沒辦法被電商或網路取代的
[996.44-1001.44] 因為它是非常享受一個氛圍或人際互動的一個場所
[1001.44-1003.44] 好 以上所有見到報告
[1007.44-1009.44] 有限公司法人說明會到此於滿結束
[1009.44-1011.44] 謝謝各位和我們先進的參與
[1011.44-1013.44] 謝謝
