[0.00-3.78] 各位有听到我的声音吗
[147.32-149.32] 那还有车用
[149.32-154.32] 好 这个是我们的整个集团的营收占比
[154.32-157.32] 那目前最大的两块就是物联网
[157.32-159.32] 那物联网主要的应用
[159.32-163.32] 我们把这个小尺寸用在穿戴装置非常多
[163.32-165.32] 那还有消费电池
[165.32-169.32] 那还有智慧型手机跟功能性手机
[169.32-172.32] 那智慧型手机可以讲说去年第四季开始
[172.32-176.32] 我们就是开始逐渐的尝试的进入市场
[176.32-180.32] 那今年一月开始算是正式的进入市场
[180.32-184.32] 那物联网这边就是占比有33%
[184.32-185.32] 对整个营收
[185.32-188.32] 那第二大的是手机的感测器
[188.32-190.32] 那手机的感测器
[190.32-193.32] 我们目前有两大类产品
[193.32-195.32] 或者说现在有多增加一类
[195.32-197.32] 就是光学感测 微机电感测
[197.32-202.32] 还有电容感测三种为主要的产品主轴
[202.32-204.32] 第三是公控
[204.32-206.32] 那公控的话
[206.32-208.32] 主要应用在办公室设备
[208.32-215.32] 就是我们常讲的office automation的一些音表机
[215.32-217.32] 电话等等
[217.32-221.32] 那再来就是里面有另外一个比较新兴的
[221.32-223.32] 增长比较快的
[223.32-225.32] 就是政府的标案
[225.32-227.32] 跟智慧电网有关
[227.32-229.32] 那再来就是工业量测
[229.32-232.32] 这些机台设备通常也都是比较季节性
[232.32-234.32] 上半年都会做采购
[234.32-236.32] 上半年就开始投入生产
[236.32-240.32] 那再来有一些移动式的比较小型的医疗设备
[240.32-243.32] 这些都是在我们公控领域里面
[243.32-249.32] 比较常应用到我们小型面板的驱动IC的这些应用
[249.32-251.32] 那车用的部分
[251.32-254.32] 主要就是我们看到过去几年
[254.32-257.32] 在智慧座舱整个兴起
[257.32-260.32] 然后运用在所有的汽车上面
[260.32-263.32] 那我们专攻的就是车用仪表板
[263.32-264.32] 还有显示器
[264.32-265.32] 还有中控
[265.32-268.32] 这个中控是含有有Touch功能的在里面
[268.32-272.32] 这个占比有15%
[272.32-274.32] 那我们来看一下
[274.32-278.32] 我们在第一季整个营收的状况
[278.32-283.32] 第一季的合并营收有43亿
[283.32-285.32] 那如果说以季对季来看的话
[285.32-287.32] 是季减6.16
[287.32-290.32] 那年增是4.4亿
[290.32-293.32] 那以第一季每次都有春节
[293.32-296.32] 工作日减少的状况来看
[296.32-299.32] 这个营收季减6.16算是
[299.32-301.32] 算是没有太
[301.32-303.32] 还算可以的表现
[303.32-305.32] 算蛮正常的表现
[305.32-310.32] 那如果截到1到4月的累计营收的话是58亿
[310.32-313.32] 那年增是5.01
[313.32-317.32] 那我们今年的目标还是要超越去年
[317.32-318.32] 去年我们
[318.32-322.32] 去年跟前年比就是去年的营收的增长年增大
[323.32-325.32] 大约是6点多%
[325.32-328.32] 那我们今年是
[328.32-332.32] 我们目标是要超过去年的这个增长的成绩
[332.32-335.32] 那不过今年我们在5月初有碰到
[335.32-338.32] 一个你可以讲一个headwind
[338.32-341.32] 就是台币对美金的升值
[341.32-342.32] 就是很快速的升值
[342.32-347.32] 所以应该说我们会继续努力往这个目标前进
[347.32-350.32] 那大跃上我们看Q1的这个数字
[350.32-353.32] 毛利率跟上个季其实相差不多
[353.32-357.32] 营业利率或者说费用率也其实差不多
[357.32-360.32] 那营业利率也一样
[360.32-363.32] 那EPS跟上个季也没有相差太多
[366.32-369.32] 那我们来进入这个营收占比
[369.32-371.32] 就是我们产品营收占比
[371.32-373.32] 那我们的营收是合并营收
[373.32-375.32] 就是会把两个子公司
[375.32-377.32] 因为我们对
[377.32-382.32] 生家电子这个Sensor主要的这个sector的提供者
[382.32-383.32] 我们有持股
[383.32-385.32] 母公司持股有46%
[385.32-389.32] 那车用的力领科技我们持有55%
[389.32-390.32] 有绝对的控制权
[390.32-395.32] 所以这个车用是整个而言百分之百就是来自力领科技
[395.32-399.32] 那感测器的话百分之百都来自生家的营收
[399.32-402.32] 所以我们就针对这四个来看一下
[402.32-405.32] 这个Q1有什么变化
[405.32-411.32] 在讲这个营收之前大家可能会有一点好奇
[411.32-414.32] 就是在我们所看到的关税战
[414.32-416.32] 虽然关税战是在4月初
[416.32-419.32] 那我们这个节Q1一到三月嘛
[419.32-426.32] 所以其实关税战或者是川普提出的高关税是在4月初开始
[426.32-429.32] 不过我们在第一季已经有一些客户
[429.32-433.32] 很少部分的客户已经有受到一些不寻常
[433.32-436.32] 或者说他们有做一些提前拉货
[436.32-439.32] 但是这样的客户比例上其实是不高的
[439.32-441.32] 那我们现在看到的这个
[441.32-448.32] 现在看起来就是订单没有看到很大的改变
[448.32-453.32] 意思是说未来的订单的节奏没有很大的变化
[453.32-456.32] 那我们现在可以做的就是密切注意
[456.32-462.32] 关税谈判就是美国跟各个国家的谈判的所产生的不确定性
[462.32-466.32] 主要我们比较考虑的是
[466.32-470.32] 当高关税在某一些地区或者一些国家的时候
[471.32-473.32] 我们的需求可能会减缓
[473.32-476.32] 这是我们比较担心的
[476.32-481.32] 那至于如果高关税对区域的供应链的影响
[481.32-490.32] 以目前如果单只在就是我们的显示器驱动IC来看
[490.32-493.32] 现在的产业链非常的集中
[493.32-495.32] 那这个要变化不是不可能
[495.32-497.32] 但是是相当不容易的
[497.32-501.32] 所以我们还是会就是比较紧密的去关注
[501.32-503.32] 那也很快的要去应对
[503.32-507.32] 这是我目前对美国的关税站这边给各位的update
[507.32-512.32] 那接下来我们看四个sector就是AIoT
[512.32-515.32] 然后公控 感测器跟车用
[515.32-521.32] 那AIoT我们这边看第一季的营收占比有33%
[521.32-525.32] 那跟上个季比的话增加2%
[525.32-530.32] 以这个这一整个季的营收比上个季季对季来说是
[531.32-533.32] 减了6.1%嘛
[533.32-536.32] 那但是这个sector逆势往上扬
[536.32-541.32] 那主要的原因是因为我们今年推出了一个
[541.32-548.32] 就是正式推出TTDI就是显示器驱动晶片
[548.32-550.32] 但是它含有两个比较重要的
[550.32-552.32] 第一个是触控模组
[552.32-555.32] 第二个是零电容的技术也导入了
[555.32-560.32] 那我们对这就是我们开发是一系列的产品
[561.32-565.32] 就是在智慧手机的市场
[565.32-569.32] 那目前智慧手机的面板基本上有两类
[569.32-571.32] 第一类是OLED
[571.32-573.32] 那第二类是TFT
[573.32-577.32] 那我们专注的是在TFT这个市场
[577.32-584.32] 那OLED跟TFT市场目前大约它的量来说是各半左右
[584.32-586.32] 相当的平均
[586.32-591.32] 那其他的规格大部分都被这两个主要的规格
[591.32-594.32] 所就是变成两大主要的规格
[594.32-600.32] 所以我们在今年我们也准备好了进入这个市场
[600.32-605.32] 那可以谈一下就是说我们为什么要进入这个市场
[605.32-611.32] 第一个就是我们发现除了我们进入的HD的TTDI的市场
[611.32-615.32] 还有其他比较特别的规格都慢慢的削减掉
[615.32-620.32] 然后进到我们目前所钻对的HD TTDI这个市场里面
[620.32-622.32] 意思说这个市场是变大的
[622.32-626.32] 那第二就是我们开发出的产品具有优越性
[626.32-629.32] 第一个就是我们导入零电容技术
[629.32-635.32] 让面板厂就是我们的客户减少对电容的采购
[635.32-638.32] 他也不用把电容打件在软板上
[638.32-641.32] 那既然不用打件不用采购
[641.32-644.32] 他也不用做测试测试这些电容的可靠性
[644.32-648.32] 所以我的客户可以节省可观的成本
[648.32-649.32] 那另外呢
[649.32-650.32] 在Performance
[650.32-652.32] 在整个表现来看呢
[652.32-656.32] 我们的这个Touch的TTDI的这一种
[656.32-660.32] 这一系列的产品都有较低的功耗
[660.32-663.32] 而且是比同业更小的体积
[663.32-665.32] 那更高的触控灵敏度
[665.32-667.32] 那这些都是我们的优势
[667.32-671.32] 所以我们今年有定一个目标
[671.32-677.32] 那以目前来看是稍微比我们目标的脚步还更快一点
[677.32-679.32] 就是说我们渗透的速度
[679.32-682.32] 还比我们的年度目标还更快一点
[682.32-685.32] 那结出来在今年的第一季
[685.32-689.32] TTDI的产品占我们总营收大约是6到7%
[689.32-692.32] 那我们对后市还是相当看好
[692.32-698.32] 就是说我们在未来的几个季的渗透
[698.32-700.32] 我们还是相当的
[700.32-702.32] 我们会关注整个市场的状况
[702.32-705.32] 那我们也相当有信心继续推进
[705.32-707.32] 第二个是公控
[707.32-708.32] 那公控的话呢
[708.32-713.32] 可以看到Q1的营收占比是14%
[713.32-716.32] 那这个数字比前一个季增加2%
[716.32-720.32] 那主要公控的产品应用
[720.32-723.32] 都是在就是政府标案
[723.32-725.32] 还有就是工业设备
[725.32-730.32] 那比较有周期性的或者是季节性的表现的话
[730.32-732.32] 都是这两类
[732.32-736.32] 主要政府标案也是在前一年的预算确认之后
[736.32-738.32] 那隔年初
[738.32-739.32] 或者是上半年
[739.32-742.32] 就会开始发案子
[742.32-743.32] 然后开始采购
[743.32-745.32] 那所以上半年基本上
[745.32-748.32] 尤其是第二季或是第一季
[748.32-749.32] 有时候是只有第二季
[749.32-751.32] 那有时候是一二季
[751.32-755.32] 都是政府标案的高峰期
[755.32-758.32] 那下半年就开始做基础建设的建制
[758.32-762.32] 那所以我们希望就是Q1跟Q2
[762.32-766.32] 我们主要看到的比较好的表现的是智慧电网
[766.32-767.32] 那包括一些
[767.32-769.32] 智慧电网的设备
[769.32-771.32] 那电表也会变成智慧电表
[771.32-774.32] 这些都需要比较小的面板
[774.32-778.32] 而且是工业的这个品质的标准的面板
[778.32-780.32] 那我们主要的IC
[780.32-782.32] 在过去几年也开发出来
[782.32-784.32] 就是针对这个市场
[784.32-787.32] 所以这是属于公控这边的表现
[787.32-789.32] 那第三是sensor
[789.32-790.32] sensor的话
[790.32-793.32] 我们有光感
[793.32-795.32] 我们也有MENS
[795.32-798.32] 就是维基电的这些感测器
[798.32-801.32] 那不过我们在第一季比较大的进展
[801.32-806.32] 就是我们今年主要感测器的动能是来自MENS
[806.32-808.32] 就是维基电
[808.32-814.32] 那还有主要是维基电这一类为主
[814.32-819.32] 那我们比较大的进展是电磁波吸收率sensor
[819.32-821.32] 就是这个SAR
[821.32-822.32] 那这一个
[822.32-824.32] 那第二个就是高度计或者说
[825.32-826.32] 压力计
[826.32-828.32] 这两个名字都是一样的
[828.32-830.32] 这两个从去年开始
[830.32-833.32] 就是在一些川台装置
[833.32-836.32] 就是导入或者是开始交付之后
[836.32-839.32] 那今年开始交付给手机
[839.32-843.32] 就是比较有量而且比较平稳的这个市场
[843.32-844.32] 所以简单说
[844.32-846.32] 我们电磁波吸收率跟高度计
[846.32-851.32] 已经在第一季开始交付给中细的手机一些品牌
[851.32-854.32] 那我们接下来也想把
[854.32-857.32] 这几个尤其是高度计
[857.32-860.32] 这一个看可不可以导入川台里面
[860.32-862.32] 好像是手表之类的
[862.32-864.32] 而且也是一线品牌
[864.32-867.32] 那再来就是今年我们在sensor这边
[867.32-870.32] 蛮重要的一个进展
[870.32-873.32] 就是希望我们在既有的
[873.32-875.32] 给智慧装置手机之外呢
[875.32-880.32] 也开发一些带有智慧感测的这些产品
[880.32-882.32] 那有一些可以联网或者说
[882.32-883.32] 它跟一些
[883.32-890.32] 有计算元件的计算的能力的元件封装在一起
[890.32-895.32] 那希望可以开出一条新的新的市场
[895.32-897.32] 那走一条比较
[897.32-900.32] 就是不是那种内卷竞争的路
[900.32-904.32] 不过这个部分还在开发进行中
[904.32-906.32] 车用的部分呢
[906.32-909.32] 我们看一下这个占比跟上一季有稍微掉了一点
[909.32-911.32] 从16%掉到15%
[911.32-913.32] 那主要是第一季的
[913.32-915.32] 我们的车用这个sector
[915.32-917.32] 这个车用sector刚刚有提过
[917.32-920.32] 它是一个完整的公司叫力灵科技
[920.32-922.32] 那力灵科技里面
[922.32-926.32] 基本上有87%是来自于车用
[926.32-931.32] 那有大约13点多%是来自非车用
[931.32-933.32] 那一季我们
[933.32-936.32] 政策上或者说公司的策略上
[936.32-938.32] 就希望把非车用的库存
[938.32-941.32] 做一些出清
[941.32-943.32] 那我们也发现
[943.32-946.32] 就是非车用的客户的库存也在做调节
[946.32-950.32] 所以我们可以讲说在非车的部分
[950.32-952.32] 在最近这一两季
[952.32-956.32] 会因为我们策略上还有调整库存
[956.32-957.32] 这双重的影响
[957.32-959.32] 可能会影响几个月
[959.32-962.32] 那主要呢
[962.32-967.32] 今年我们还是蛮看好车用的整个需求跟出货
[967.32-969.32] 尤其在下半年我们这边看到
[969.32-972.32] 前庄客户就是车用客户的
[972.32-976.32] 整个订单看起来还是相当正面的
[976.32-982.32] 那我们主要车用的这些产品出货的内容
[982.32-985.32] 第一个就是新规格的车用仪表板
[985.32-986.32] 这种仪表板
[986.32-989.32] 它有导入我们一种新的技术叫OSD
[989.32-993.32] 就是一种独立备源的电路控制系统
[993.32-996.32] 那第二就是新一代的
[996.32-999.32] 或者是新规格的台车显示器
[999.32-1002.32] 它比传统显示器可以显示更多的东西
[1002.32-1003.32] 更多的内容
[1003.32-1005.32] 或者说它投影的面积更大
[1005.32-1008.32] 那我们也看到台车显示器
[1008.32-1012.32] 在最近的中国的上海车展
[1012.32-1015.32] 或者说这些展场上面
[1015.32-1018.32] 看到的所有系列的车子
[1018.32-1020.32] 基本上都是百分之百标配
[1020.32-1024.32] 所以我们自己看到的趋势是
[1024.32-1028.32] 台车显示器在未来几年将会走向
[1028.32-1031.32] 就是完全的普及到各个
[1032.32-1035.32] 各层的车种
[1035.32-1037.32] 好那车用触控显示模组
[1037.32-1042.32] 就是说我们在Touch TTDI上面也延伸到车用这边去
[1042.32-1046.32] 那我们预计在今年会交付给后装的客户
[1046.32-1048.32] 就是开始交付
[1048.32-1050.32] 那前装的客户本来
[1050.32-1051.32] 验证的时间就比较长
[1051.32-1054.32] 那我们预计明年会完成验证
[1054.32-1056.32] 然后交付给新车款
[1056.32-1059.32] 好这一页如果没有问题的话
[1059.32-1061.32] 我会往下购
[1062.32-1065.32] 好那我们很快来看一下
[1065.32-1067.32] 矽创的水益摘要
[1067.32-1070.32] 那主要来看一下就是
[1070.32-1073.32] 毛利或者是营业备用率
[1073.32-1077.32] 这边都跟上个季没有相差很多
[1077.32-1079.32] 那业外的话
[1079.32-1083.32] 在矽创这边的业外其实还蛮
[1083.32-1085.32] 应该说蛮简单
[1085.32-1087.32] 它的项目
[1087.32-1090.32] 通常就是金融商品外币兑换损益
[1090.32-1091.32] 利息收入股利收入
[1091.32-1092.32] 跟兑换损益
[1092.32-1093.32] 租金收入
[1093.32-1095.32] 那在这个季里面
[1095.32-1096.32] 这个数字稍微偏高
[1096.32-1100.32] 主要是我们在外汇兑换损益里面
[1100.32-1102.32] 有1700万
[1102.32-1106.32] 或者是股利加利息收入也比较高
[1106.32-1107.32] 有7400万
[1107.32-1111.32] 那租金收入本来就蛮稳定的
[1111.32-1114.32] 好那所以这个数字
[1114.32-1116.32] 基本上就是有少数的变数
[1116.32-1118.32] 比如说股利收入
[1118.32-1120.32] 或者是外币兑换损益
[1120.32-1121.32] 可能会造成这个数字
[1121.32-1124.32] 比较会有一些影响
[1124.32-1127.32] 好那其他的数字
[1127.32-1129.32] 我看一下这个税率
[1129.32-1131.32] 在过去四个季的平均是11
[1131.32-1143.32] 就是第一季的税率是稍微有点比较低
[1143.32-1149.32] 那不过看起来我们每年的税率
[1149.32-1150.32] 都还是在
[1150.32-1154.32] 或许是13%上下是比较正常
[1154.32-1158.32] EPS在这一季是3.45
[1158.32-1163.32] 好我们来看一下矽创的营运周转天数
[1163.32-1167.32] 那这个在矽创这边
[1167.32-1170.32] 我们在营运周转的天数
[1170.32-1172.32] 算维持的相当不错
[1172.32-1175.32] 比如说存货上面目前是96天
[1175.32-1178.32] 那应收账款34天
[1178.32-1179.32] 这个
[1179.32-1181.32] 应收账款如果
[1181.32-1183.32] 它的天数比较少的话
[1183.32-1185.32] 那应付账款
[1185.32-1187.32] 大概是71天
[1187.32-1190.32] 那意思是说应收账款这边
[1190.32-1194.32] 我们收款的时间比较短的话
[1194.32-1198.32] 那对我们对汇率的这个影响也会比较
[1198.32-1201.32] 会冲击会比较少一点
[1201.32-1205.32] 企业永续方面
[1205.32-1208.32] 我们在2023年开始就
[1209.32-1211.32] 发行永续报告书
[1211.32-1215.32] 那最新的永续报告书可以到矽创的官网
[1215.32-1218.32] 那上面有一个企业永续发展
[1218.32-1220.32] 点进去就会看到
[1220.32-1223.32] 那再来我们在公司自体评鉴
[1223.32-1226.32] 过去几年都是排名前6到20
[1226.32-1232.32] 那其他部分我们都还蛮积极在投入
[1235.32-1238.32] 那我们现在开放Q&A
[1239.32-1246.32] 感谢各位投时 谢谢
[1246.32-1248.32] 那好 谢谢
[1248.32-1259.22] 谢谢
[1260.32-1265.24] 那现在表示给Misty Bachelor的
[1265.24-1266.32] 本来就是
[1266.32-1267.78] 有有听到请说
[1267.78-1269.44] 你好我想请教一下我们
[1269.44-1273.92] 2025年的营收毛利率跟费用的展望
[1273.92-1275.78] 大概怎么看呢
[1278.80-1280.52] 好的谢谢你的问题
[1280.52-1285.48] 我们营收我们希望就是比前一年度
[1285.48-1287.58] 表现会更好
[1287.58-1291.86] 那主要我们到目前还是没有改变
[1291.86-1293.04] 这个想法
[1293.04-1297.72] 不过汇率上面的在
[1297.72-1300.52] 汇率在最近有些冲击
[1300.52-1303.54] 那所以我们就是可以讲说继续努力
[1305.72-1309.02] 那主要就是动能还是来自TTDI
[1309.02-1309.92] 这个触控
[1309.92-1313.98] 那含有这个零电容的技术在里面的
[1313.98-1316.64] 而且是针对智慧手机
[1316.64-1318.50] 这个新市场的这个产品
[1318.50-1320.28] 那毛利率呢
[1320.28-1322.78] 我们希望可以稳定在
[1322.78-1323.00] 稳定在
[1323.04-1326.96] 我们在过去几个季啊
[1326.96-1330.24] 应该说我们希望可以稳定在
[1330.24-1332.02] 过去就是33%嘛
[1332.02-1336.08] 或许就是在这个数字的附近
[1336.08-1337.90] 那因为我们新的产品
[1337.90-1339.10] 刚刚有讲TTDI
[1339.10-1342.28] 它初期进入市场的量还蛮少的
[1342.28-1348.12] 所以它的毛利会比我们公司的平均毛利率会稍低
[1348.12-1353.02] 所以可能随着这个新产品的放电量
[1353.04-1355.86] 我们的毛利可能会受到一些影响
[1355.86-1362.04] 所以我们尽可能的就是让毛利维持在大约是
[1362.04-1364.28] 或许是会受到一些影响
[1364.28-1365.60] 就是比33%少一点
[1365.60-1367.12] 但是不要差距太多
[1367.12-1368.36] 这是我们今年的目标
[1368.36-1372.92] 还有
[1372.92-1375.06] 还有
[1375.06-1378.12] 我是不是有漏掉一些问题呢
[1378.12-1379.36] 可不可以提示我一下
[1379.36-1381.60] 刚刚好像那个费用的
[1381.60-1382.88] 今年费用率没有提示过呢
[1382.88-1385.04] 没有提到大概是怎么样
[1385.04-1388.80] 然后再来就是我想请教一下我们关税整体
[1388.80-1392.20] 对我们矽创整个集团是怎么看比较好
[1392.20-1392.96] 它对我们毛利
[1392.96-1395.54] 因为最近其实汇率是蛮多的嘛
[1395.54-1398.60] 从已经变30甚至是29多了
[1398.60-1400.28] 那这个对我们的毛利率
[1400.28-1404.32] 还有我们第二季的那个业外这块要怎么看
[1404.32-1406.00] 那最后顺便再跟我们讲一下
[1406.00-1408.20] 我们如果现在这个汇率
[1408.20-1409.96] 我们的毛利率跟费用
[1409.96-1411.60] 这个毛利率是大概是怎么样
[1412.88-1417.08] 费用率应该是会维持在目前的水准
[1417.08-1422.36] 就是通常过去这段时间就是20%到21%
[1422.36-1427.92] 那我们会基本上会维持在这个地方
[1427.92-1430.20] 那关税战应该说
[1430.20-1434.84] 我们比较考量的主要是高关税
[1434.84-1438.12] 就是地区性的或是哪个国家谈了之后
[1438.12-1440.16] 结果它有高关税
[1440.16-1442.84] 那那个地区的消费
[1442.88-1446.06] 消费需求或者消费率可能会下滑
[1446.06-1447.28] 购买率会下滑
[1447.28-1451.42] 因为主要我们做的大部分在AIOT
[1451.42-1453.72] 物联网或者手机这边
[1453.72-1456.24] 都是会跟消费电子有关
[1456.24-1458.16] 就是跟一般平民百姓有关
[1458.16-1462.16] 所以我们比较担心的反而是需求的往下滑
[1462.16-1465.90] 那如果说讲的是
[1465.90-1472.30] 那个汇率升值
[1472.30-1472.86] 对我们的毛利率是多少呢
[1472.88-1474.88] 第二季的毛利
[1474.88-1476.34] 大概怎么看
[1476.34-1482.10] 汇率升值因为我们收付基本上都是美金
[1482.10-1486.50] 所以主要我们比较会碰到的冲击是
[1486.50-1490.16] 我们的营收用美金收进来之后
[1490.16-1492.42] 反映在财务报表要换成台币
[1492.42-1495.04] 就是在财务报表的上面
[1495.04-1498.48] 在换算成台币会有一些损失
[1498.48-1501.94] 或者说我们以台币作为年度的营收目标的话
[1501.94-1502.86] 会比较低
[1502.88-1504.88] 我们就要挑战了
[1504.88-1508.88] 不然在毛利上面没有太大的冲击
[1508.88-1515.88] 因为我们有那个换会有汇率的损失
[1515.88-1516.88] 第二季
[1516.88-1517.88] 因为第二季刚好要付股利
[1517.88-1519.88] 那这样子换钱换进来
[1519.88-1521.88] 因为我们大概会损的金额
[1521.88-1523.88] 大概可以有想法
[1523.88-1524.88] 第二季大概怎么看
[1524.88-1530.88] 以目前来看应该说
[1530.88-1532.88] 只要美金跟台币的费用是很高的
[1532.88-1534.88] 如果我们用台币互换的话
[1534.88-1536.88] 可能会损失大约是8个百分比
[1536.88-1545.88] 所以就要看我们付出的股利被影响有多少
[1545.88-1548.88] 因为我们目前手上有的现金也蛮多的
[1548.88-1553.88] 不过这个时间算是拉长一点的话
[1553.88-1560.88] 还是会慢慢的就是会放到我们财务报表里面
[1560.88-1567.88] 目前可用的现金存款那些还是以台币为主
[1567.88-1568.88] 就存在国内
[1568.88-1576.88] 那我们第二季的现在以
[1576.88-1578.88] 所以你刚刚提到了就目前的汇率
[1578.88-1581.88] 我们第二季的毛利应该也是33%
[1581.88-1584.88] 然后但因为TDDI放量所以在低一些
[1584.88-1585.88] 大概是这样看
[1585.88-1586.88] 目前的状况
[1590.88-1595.88] 你可不可以再讲一次你的问题
[1595.88-1596.88] 不好意思
[1596.88-1599.88] 因为你刚有提到说我们第二季
[1599.88-1601.88] 因为TDDI有放量
[1601.88-1605.88] 所以我们的毛利会低一点
[1605.88-1607.88] 所以我们第二季的毛利率
[1607.88-1609.88] 可能我们自己抓起来
[1609.88-1611.88] 可能就是比33%再少一些
[1611.88-1613.88] 比如说31%或32%
[1613.88-1615.88] 这样是合理的想法吗
[1615.88-1618.88] 我们没有办法告诉你
[1618.88-1620.88] 这个第二季的数字
[1620.88-1624.88] 只是说我们在以目前推新产品的话
[1624.88-1629.88] 它的毛利率是低于我们公司平均的
[1629.88-1631.88] 所以以这样判断的话
[1631.88-1634.88] 就是我们尽可能的维持一个平衡
[1634.88-1638.88] 就是旧的产品我们尽可能的稳住我们的毛利率
[1638.88-1640.88] 新产品在增加的过程中
[1640.88-1643.88] 尽量减缓对我们毛利率的冲击
[1643.88-1647.88] 好的我没有问题了
[1647.88-1649.88] 谢谢
[1650.88-1652.88] 谢谢
[1680.88-1686.88] 各位同志先进还有问题要提问吗
[1710.88-1720.88] 有的活动欢迎您联系
[1720.88-1739.88] studio de soup
[1739.88-1742.44] 这里面有一个留言不晓得你这边看得到吗
[1742.44-1757.12] 我这边有看到就是
[1757.12-1760.78] 今年的毛利率会不会受到比较严格的挑战
[1760.78-1764.02] 是否维持30%以上的水准
[1764.02-1767.78] 我们只能说第一个就是
[1767.78-1771.62] 毛利率受到汇率还是也是会有
[1771.62-1773.62] 就是你
[1773.62-1777.46] 就是说我们还是会尽可能的去让它
[1777.46-1779.92] 就是让它降低对我们的冲击
[1779.92-1783.80] 那30%以上的水准
[1783.80-1785.62] 那只能说往这边努力吧
[1785.62-1787.10] 嗯
[1797.78-1815.44] 好那我这边看到另外一个问题是有关于就是
[1815.44-1821.56] 我们的新产品在TDDI的市场规模有多大
[1821.56-1826.08] 那公司有没有目标取得多少市占
[1826.08-1827.62] 那目前我们的新产品在TDDI的市场规模有多大
[1827.62-1831.46] 目前我们手上的某一些资料看起来就是
[1831.46-1835.16] 过去一年这个市场的规模
[1835.16-1840.96] 大约有7亿到8亿的units
[1840.96-1844.10] 在整个规模包含它可能有
[1844.10-1849.12] 可能有一些不同的规格在里面
[1849.12-1854.82] 不过都是在我们这个主要的目标市场TDDI里面
[1855.46-1857.46] 那主要是它有
[1857.62-1860.18] 品牌市场那也有一些
[1860.18-1865.04] 白牌市场还有维修市场整个加起来才有这么大的体量这样
[1865.04-1866.32] 那今年
[1867.86-1870.94] 在年初的时候我们开始进入
[1870.94-1872.46] 这个市场吧那
[1872.46-1876.06] 一个月的出货量大约是200万个units
[1876.06-1877.58] 那我们希望
[1877.58-1879.12] 就是
[1879.12-1881.68] 逐步的进入这个市场
[1883.48-1886.04] 可以我们看起来
[1886.04-1887.58] 我们的确有定立一个目标
[1887.62-1888.38] 希望
[1888.38-1891.72] 可能是年底前要达到
[1891.72-1894.28] 800万一个月现在是
[1894.28-1896.32] 年初的时候是200万一个月嘛
[1896.32-1900.68] 那我们年底是希望有800万颗一个月这么高这样
[1900.68-1902.46] 目前看起来速度是
[1902.46-1904.26] 由于我们的预期的
[1906.56-1909.12] 那市占率市占率
[1909.12-1910.92] 如果到
[1910.92-1916.04] 800万一个月的话在那个时间点的话应该
[1916.04-1917.58] 是有超过
[1917.62-1921.72] 整个市场的市占率的10%应该是有的
[1927.10-1928.12] 好那
[1928.12-1931.18] 不知道这样您
[1933.74-1934.78] 就是有没有
