[0.00-4.26] 王太宇副总
[323.66-327.56] 取得各自保护ISO27001以及PINSS的认证
[328.42-334.02] 新光产检持续从落实和保专业
[334.02-337.64] 与风险管控的基础上提升业务品质
[337.64-341.24] 另一方面借由资讯系统项目的提升
[341.24-342.84] 作业流程的改善
[342.84-347.20] 持续精进人员专业素养等内部优化方式
[347.20-348.96] 来维持竞争优势
[348.96-352.92] 创造公司绩效以达到稳健有趣的经营目标
[352.92-357.54] 以上是新光产检的说明报告
[357.54-358.40] 接下来是领导人的意见
[358.42-359.14] 谢谢大家的时间
[359.14-363.76] 谢谢王副总的说明
[363.76-365.44] 大家如果有问题
[365.44-368.66] 请将您的请问以聊员在聊天室当中
[368.66-369.76] 谢谢
[369.76-380.02] 如果没有要发言的部分
[380.02-382.30] 我们今天说明会就到此结束
[382.30-383.06] 谢谢大家
[383.06-386.18] 谢谢副总
[386.18-387.56] 谢谢大家参加
[387.56-388.40] 我们今天发言的部分
[388.42-389.32] 会到这里结束
[389.32-390.32] 再见
