[0.00-9.38] 欢迎各位同事签订参加
[689.68-691.68] 但台灣的進修系規則
[691.68-694.68] 像是牙刃的一些抗壓性
[694.68-696.68] 另外一點
[696.68-697.68] 基於做法上面
[697.68-699.68] 是不是要把生產
[699.68-701.68] 比如說所謂的台灣
[701.68-703.68] 甚至說一進美國
[703.68-705.68] 這一點上面
[705.68-707.68] 想有一些重點是
[707.68-709.68] 對比較少的部分
[709.68-711.68] 比較少的針對性的體制
[711.68-713.68] 一些實際上的做法
[713.68-715.68] 以IVCM來講
[715.68-718.68] 把病毒提出來的小病毒是這麼大
[718.68-720.68] 但是我們還是有所提議
[720.68-722.68] 做一些庇護
[722.68-723.68] 假如我們現在
[723.68-725.68] 假設是實際上
[725.68-727.68] 國際來做假設的話
[727.68-729.68] 進入美國
[729.68-731.68] 以現在IVCM
[731.68-733.68] 特殊為主都是
[733.68-737.68] 就是一般標準生理體系的
[737.68-739.68] 那種大量制造的話
[739.68-741.68] 我們就量級過去
[741.68-743.68] 增加的IVCM
[743.68-745.68] 其實也是下降
[745.68-748.68] 所以我們暫時沒有這樣的規劃進行
[748.68-751.68] 但是我們還是會持續光芒
[751.68-752.68] 關心這件事情
[752.68-753.68] 現在的話
[753.68-755.68] 再讓自己的看待
[755.68-758.68] 競爭保持人同時
[758.68-760.68] 做一些我們預料的調整
[760.68-763.68] 但是其實另外一個觀點
[763.68-766.68] 因為台灣在公共上
[766.68-768.68] 其實是非常被對手
[768.68-769.68] 所以
[769.68-771.68] 所以是被
[771.68-773.68] 給自己來做強調的
[773.68-775.68] 就是台灣的科技製造
[775.68-777.68] 包括我們設計
[777.68-778.68] 所有的東西
[778.68-779.68] 在台灣製造
[779.68-781.68] 我們都找到這個
[781.68-783.68] 然後就提出了
[787.68-789.68] 我們被人家們積極的去做規劃
[789.68-791.68] 然後再成長
[797.68-798.68] 好
[798.68-800.68] 那我現在就想問一下
[800.68-802.68] 我們公司的招待數是
[802.68-803.68] 20個或20個
[803.68-804.68] 然後我們有10個
[804.68-805.68] 那我想請問就是說
[805.68-806.68] 我們公司的招待方式
[806.68-807.68] 是多個
[807.68-808.68] 因為比較多的
[808.68-809.68] 比較少的資訊
[809.68-810.68] 所以我們要看
[810.68-812.68] 有沒有什麼原因
[812.68-814.68] 都可以有
[814.68-817.68] 這是第一個問題
[817.68-818.68] 那另外我想問一下
[818.68-819.68] 資助學上
[819.68-820.68] 公司大概是
[820.68-822.68] 10個到40個
[822.68-824.68] 或這個時候就全停止了
[824.68-825.68] 好
[825.68-826.68] 那我先回答第一位
[826.68-827.68] 他
[827.68-830.68] 他針對現在
[833.68-835.68] 你們都在展
[835.68-836.68] 有10個招待方式
[836.68-837.68] 招待方式
[837.68-838.68] 招待方式
[838.68-839.68] 一個
[839.68-840.68] 那招待方式
[840.68-841.68] 一直都是一個
[841.68-843.68] 後面的平收的先行標
[843.68-844.68] 那招待方式
[844.68-846.68] 開始到量產
[846.68-848.68] 其實要相當於
[848.68-850.68] 超過幾乎正到量
[850.68-851.68] 幾乎以上
[851.68-852.68] 那
[852.68-853.68] 所以
[853.68-854.68] 今年的
[854.68-856.68] 平收動
[856.68-857.68] 他
[857.68-858.68] 其實是一件夠劍事
[858.68-860.68] 而且有些賺錢
[860.68-861.68] 開始投入
[861.68-863.68] 到今年過去開發起來
[863.68-865.68] 那
[865.68-866.68] 下面一張看到
[866.68-867.68] 這個成價
[867.68-868.68] 其實實際上
[868.68-869.68] 我們相對
[869.68-870.68] 貴的企業
[870.68-871.68] 在總量上面
[871.68-872.68] 有
[872.68-873.68] 量的增加
[873.68-874.68] 當然
[874.68-876.68] 這不跟打擊力有關係
[876.68-878.68] 不是所有的賺來貴
[878.68-879.68] 當然
[879.68-881.68] 我們所有的期益
[881.68-883.68] 當然是想給你一個理解
[883.68-884.68] 想要的情況下
[884.68-885.68] 你確實有
[885.68-886.68] 正向的前期表現
[886.68-887.68] 然後
[887.68-895.28] 建屋展移師以整體現在客戶需求的範圍來講
[895.28-898.36] 包括我們的實際應用程序
[898.36-900.44] 已經不是全台只有單純
[900.44-905.52] 大概是數值連鎖店的前台
[905.52-907.84] 我們會延伸到其他市區
[907.84-911.12] 這部分非常重要的資源提供
[911.12-916.20] 另外一個是我們的客戶聚合的版面
[916.20-918.16] 前面在相同客戶情商
[918.16-919.64] 因為產業有了會議
[919.64-923.00] 所以才能夠改變
[923.00-927.72] 有些比較大的優質
[927.72-930.08] 可以透過我們的設計
[930.08-934.36] 結算到很多的階段
[934.36-937.72] 所以當然這些又有新的需求
[937.72-942.00] 畢竟我們還是以客製產業為主
[942.00-944.76] 那這些所謂的客製產品
[944.76-946.16] 會是結算的
[946.20-948.76] 然後去規格上改變
[948.76-950.96] 實際上設計成為需求
[950.96-955.52] 這就是為了讓客戶在亂數上剩下的利益
[955.52-958.92] 第二個問題是制度解大國外
[958.92-962.04] 制度其實不只在台灣
[962.04-963.16] 包括在澳洲
[963.16-965.48] 在全球裏面
[965.48-968.04] 普遍的服務方式
[968.04-971.44] 除了人工費用加貴
[971.44-974.52] 甚至大額的經濟學功
[974.52-975.72] 多多的
[976.20-980.16] 制度解大國已經變成一個現學的情況下
[980.16-981.32] 分兩方面來講
[981.32-983.12] 第一個 印補的部分
[983.12-985.32] 而且本來就是這樣的方案
[985.32-987.52] 只是呈現方式不同而已
[987.52-989.48] 可能是用平衡品去做改
[989.48-991.48] 或者是CPA
[991.48-992.48] 甚至是做設計
[992.48-995.00] 讓我們這些方案透露
[995.00-997.16] 那在軟體的部分
[997.16-999.04] 因為制度解大國
[999.04-1002.52] 它會衍生出一些所謂的漏刷
[1002.52-1006.04] 或是倒數的可能性
[1006.20-1009.88] 或者可能是新的
[1009.88-1013.12] 這些都會造成一些變化
[1013.12-1016.12] 所以我們在印補的方案上面
[1016.12-1018.16] 通過提出的
[1018.16-1019.84] 就是在軟體
[1019.84-1021.44] 監控系統上面
[1021.44-1023.80] 這些針對客戶的利益
[1023.80-1026.68] 是可以衍生出的損失
[1026.68-1030.16] 但它都不會因為進行一個能力漏裕
[1030.16-1033.52] 而製造另外一個ES的制度
[1033.52-1036.04] 所以這是在我們去年
[1036.20-1038.56] 有成立Metro的目的
[1038.56-1041.32] 就是希望從客戶體育的上步
[1041.32-1044.08] 完成其中的方案
[1044.08-1047.20] 而不是只是叫電飯的進行
[1047.20-1049.96] 是要放在這個回答裡面
[1049.96-1052.72] 大部分的問題就是說
[1052.72-1054.72] 讓我們專業的規模
[1054.72-1056.72] 小跟大跟差異規模大
[1056.72-1058.44] 然後製作前
[1058.44-1060.76] 我們平常使用四旋的方法
[1060.76-1061.80] 看我們能不能用
[1061.80-1064.16] 比如說三重的方式去做
[1064.16-1065.72] 做成品
[1066.20-1068.20] 那我先走後面回答
[1068.20-1073.88] 秤重的方式一直都是現在比較早期的做法
[1073.88-1078.48] 但是秤重的問題其實有很多病毒
[1078.48-1080.28] 這也是問題的問題
[1080.28-1082.32] 要打入視覺
[1082.32-1086.88] 因為視覺上做前後化比較沒有視覺
[1086.88-1089.32] 那我講一些我的問題
[1089.32-1092.32] 在秤重上面會想到有什麼問題
[1092.32-1096.16] 因為其實人員操作上面可以
[1096.20-1098.76] 做一些下游的動作
[1098.76-1100.80] 那是用
[1100.80-1102.08] 他這樣看的話
[1102.08-1103.88] 因為他是在看他
[1103.88-1107.20] 可以看到整個手部的所有動作
[1107.20-1110.80] 那這個只有在管理上面的話比較沒有視覺
[1110.80-1113.36] 所以才會有這樣化制
[1113.36-1116.16] 那包括參與這個
[1116.16-1117.96] 科技要化解的部分
[1117.96-1121.04] 那也是在針對一些事
[1121.04-1122.32] 在視覺方面
[1122.32-1124.36] 用天馬的推進去
[1124.36-1126.16] 所以免疫補充也難以
[1126.20-1128.76] 去任何的感染
[1128.76-1129.96] 那這個就在這個方面
[1129.96-1132.56] 那回到剛剛第一個問題是試驗的
[1132.56-1136.44] 其實我們專案上驗
[1136.44-1141.56] 的量子其實因為剛才講過的
[1141.56-1144.12] 都比較大的感覺
[1144.12-1145.40] 然後
[1145.40-1148.72] 後來我們陸續設計的有些比較
[1148.72-1151.04] 我們大型的客戶成功
[1151.04-1152.56] 那你
[1152.56-1155.32] 才提到利率的升降
[1155.32-1156.16] 其實
[1156.16-1158.20] 對量子上的感覺
[1158.20-1160.00] 我是非常在意的
[1160.00-1161.80] 所以不是每個專案
[1161.80-1164.36] 我們都有辦法
[1164.36-1168.44] 直接實現現實性的專案
[1168.44-1171.00] 因為是進公司的資源
[1171.00-1173.32] 不管是人才上的
[1173.32-1176.64] 所以我們會選一些比較會同志
[1176.64-1179.96] 投保率比較高的專案進行
[1179.96-1182.28] 要有同事要有自己的專案
[1182.28-1183.30] 做手
[1186.16-1193.14] leftover
[1193.84-1196.08] 再回 soak
[1196.08-1198.70] 我覺得
[1198.70-1200.08] 我 biod wi
[1200.08-1204.20] affairs
[1204.20-1205.28] Go Sir
[1208.04-1210.42] 他說
[1210.42-1211.04] 跟
[1211.04-1211.76] 갈
[1211.76-1212.96] 你的
[1212.96-1213.76] 跟
[1215.48-1216.12] 運 год
[1216.16-1219.16] 至少目前2324年看到的样子
[1219.16-1223.16] 因为今年第一季的收入
[1223.16-1227.16] 今年第一季似乎没有很佳
[1227.16-1230.16] 所以我想先聊解收季节性
[1230.16-1233.16] 跟今年第一季的动作
[1233.16-1236.16] 是一个问题
[1236.16-1240.16] 以季节线来讲
[1240.16-1243.16] 在疫情之前被疫情发生之后
[1243.16-1250.16] 肯定环境变得很没有规律性
[1250.16-1254.16] 以往第四季是比较淡
[1254.16-1256.16] 一方面是客户的生产企业
[1256.16-1258.16] 二方面是到年齡
[1258.16-1262.16] 在不准的建立上面
[1262.16-1264.16] 不希望跌太高
[1264.16-1267.16] 但是自从疫情完后
[1267.16-1269.16] 这整个Q1到Q4
[1269.16-1271.16] 它整个变得很奇怪
[1271.16-1272.86] 我们有针对
[1273.16-1274.16] 这一点跟你一样
[1274.16-1275.16] 我还是想去比较一下
[1275.16-1278.16] 从2020年开始
[1278.16-1280.16] 每年的pattern
[1280.16-1283.16] 其实是非常没有规律性的
[1283.16-1285.16] 刚才不是有提到
[1285.16-1286.16] 2022年
[1286.16-1288.16] 每年的pattern更是奇怪
[1288.16-1290.16] 原因是因为缺掉了关系
[1290.16-1292.16] 客户在离开了情况下
[1292.16-1295.16] 给他们做一些要称为性的做法
[1295.16-1297.16] 但造成的结果
[1297.16-1298.16] 是不够好
[1298.16-1300.16] 需要时间来调节
[1300.16-1303.16] 但是我们希望就是
[1303.16-1304.16] 时间过去以后
[1304.16-1305.16] 去做一下
[1305.16-1307.16] 毕竟2020年
[1307.16-1308.16] 疫情在现在
[1308.16-1309.16] 把所有的资本
[1309.16-1311.16] 回到我们的身上
[1311.16-1314.16] 所以我们原来在去年
[1314.16-1315.16] 第三季的时候
[1315.16-1316.16] 还是认为
[1316.16-1319.16] Q4应该是最高的
[1319.16-1321.16] 但实际上
[1321.16-1323.16] 去年Q4确实
[1323.16-1326.16] 去年整个市纪率最高
[1326.16-1327.16] 那我们有去
[1327.16-1329.16] 这个描写做问题
[1329.16-1331.16] 然后就放在那里
[1331.16-1333.16] 其实就是客户的信息
[1333.16-1335.16] 其实照样的发射引擎
[1335.16-1337.16] 就是自己的
[1337.16-1340.16] 所有的策略性部分
[1340.16-1342.16] 毕竟是我们的客户
[1342.16-1346.16] 所以他们比较过位
[1346.16-1348.16] 年底的时候
[1348.16-1349.16] 可以去
[1349.16-1352.16] 一定会救起来
[1352.16-1354.16] 现在的做法是
[1354.16-1355.16] 是把需求造成
[1355.16-1357.16] 是所谓的
[1357.16-1359.16] 集结因素了
[1359.16-1361.16] 所以你知道我今年
[1361.16-1363.16] 大家为什么看我今年
[1363.16-1364.16] 的收纵
[1364.16-1366.16] 因为接下来我们到第二季
[1366.16-1367.16] 能不能协助
[1367.16-1368.16] 可以看到
[1368.16-1370.16] 因为第三季
[1370.16-1375.16] 我们有比较有在选择的
[1375.16-1377.16] 那我们的利率
[1377.16-1379.16] 去年是多好
[1379.16-1381.16] 请问一下
[1381.16-1382.16] 请问一下第一个问题
[1382.16-1385.16] 那今年一月跟二月的收纵
[1385.16-1387.16] 有没有新揭露
[1387.16-1390.16] 那看你的数字表现如何
[1390.16-1391.16] 还是
[1391.16-1392.16] 是
[1393.16-1395.16] 我们预期
[1395.16-1396.16] 那也是实际上
[1396.16-1398.16] 相对Q2Q来讲
[1398.16-1400.16] 相对上一季做的表现不错
[1400.16-1402.16] 那现在已经三月了
[1402.16-1404.16] 所以我们最低额期的数字
[1404.16-1407.16] 其实还是保持非常乐观的态度
[1407.16-1408.16] 那我们有些订单
[1408.16-1410.16] 已经收到预订单来
[1410.16-1411.16] 继续
[1411.16-1414.16] 来实在跟客户借价
[1414.16-1417.16] 所以你今年上半年来讲
[1417.16-1420.16] 相对过去几个季度来看
[1420.16-1423.16] 你觉得总统是不是相当乐观
[1423.16-1449.72] 家 acted
[1449.72-1452.16] 保持住
[1452.16-1454.16] 經濟狀況影響
[1454.16-1456.16] 還在的情況下
[1456.16-1458.16] 我們是一個成長
[1458.16-1460.16] 但是地方也是滿新的
[1460.16-1462.16] 而且
[1462.16-1464.16] 關係上的經濟發展
[1464.16-1466.16] 有很多人
[1466.16-1468.16] 用長期的保護氣質
[1468.16-1470.16] 但是比較重要的一個戰略
[1470.16-1472.16] 是我們還是在
[1472.16-1474.16] 當所有並不是
[1474.16-1476.16] 歐洲所有的客戶
[1476.16-1478.16] 全部往上漲
[1478.16-1480.16] 而是世界上
[1480.16-1482.16] 只有幾個客戶而已
[1482.16-1484.16] 我們當然希望
[1484.16-1486.16] 今年這個問題
[1486.16-1488.16] 可以消失
[1488.16-1490.16] 然後以下是以後
[1490.16-1492.16] 它可以回復到以前
[1492.16-1494.16] 跟成長相當重
[1494.16-1496.16] 美國的部分
[1496.16-1498.16] 它生長度度跟力道
[1498.16-1500.16] 還是相當的強
[1500.16-1502.16] 本身市場也不小
[1502.16-1504.16] 所以在美國這邊
[1504.16-1506.16] 客戶常常在上市場
[1506.16-1508.16] 目前
[1508.16-1510.16] 還有很多的客戶
[1510.16-1512.16] 看起來是非常非常樂觀的
[1512.16-1514.16] 所以在專案書上來講
[1514.16-1516.16] 也好多是
[1516.16-1518.16] 過去24年的實際營收
[1518.16-1520.16] 還有新的
[1520.16-1522.16] 或是增加數量的
[1522.16-1524.16] 這邊相對是
[1524.16-1526.16] 健康很多的
[1526.16-1528.16] 不過我們的話就是希望
[1528.16-1530.16] 原來一些戰略消失以後
[1530.16-1532.16] 可以回復到以前
[1532.16-1534.16] 比較正常的
[1534.16-1536.16] 所以我們目前
[1536.16-1538.16] 客戶的數目
[1538.16-1540.16] 受到的觀察
[1540.16-1542.16] 是可以更多的
[1542.16-1544.16] 就是還可以更多的
[1544.16-1546.16] 這一點是經過
[1546.16-1548.16] 2023年的教訓
[1548.16-1550.16] 那2023年來
[1550.16-1552.16] 是我
[1552.16-1554.16] 的客戶其實花了一整年的時間
[1554.16-1556.16] 幾乎一整年
[1556.16-1558.16] 因為
[1558.16-1560.16] 2023年是Q4的時候
[1560.16-1562.16] 居首宅開始
[1562.16-1564.16] 將會議生產
[1564.16-1566.16] 所以大家要是把那個季度
[1566.16-1568.16] 可以看得到
[1568.16-1570.16] 2020的第四季
[1570.16-1572.16] 就還是有一些帥的
[1572.16-1574.16] 就是低落的傾向
[1574.16-1576.16] 然後延續了再加上一季
[1576.16-1578.16] 就一直到2023
[1578.16-1580.16] Q3都不是
[1580.16-1582.16] 有任何
[1582.16-1584.16] 需要加密的
[1584.16-1586.16] 訊息
[1586.16-1588.16] 一直到Q4開始
[1588.16-1590.16] 所以可以簡單的說
[1590.16-1592.16] 客戶跟我們整條工業上面
[1592.16-1594.16] 花了一整年的時間
[1594.16-1596.16] 把一些不必要
[1596.16-1598.16] 或是多餘的庫存
[1598.16-1600.16] 消化掉
[1600.16-1602.16] 經過這次的教訓
[1602.16-1604.16] 其實我們跟客戶
[1604.16-1606.16] 跟投盤時間大概都非常的小
[1606.16-1608.16] 所以目前看起來
[1608.16-1610.16] 目前狀況跟客戶的聯繫
[1610.16-1612.16] 算是比較健康一點
[1612.16-1614.16] 尤其是
[1614.16-1616.16] 近年Q4的數值
[1616.16-1618.16] 需求的強勁程度
[1618.16-1620.16] 這個就會讓我們
[1620.16-1622.16] 心情也更加
[1622.16-1624.16] 比較堅固
[1624.16-1626.16] 這個時間
[1630.16-1644.16] promoteillegal
[1644.16-1646.16] bereits有個
[1646.16-1648.16] 比較較高的
[1648.16-1650.16] 利息發展
[1650.16-1652.16] 內 demi
[1652.16-1654.16] vezes
[1654.16-1656.16] 就會 expecting
[1656.16-1658.16] 現階段
[1658.16-1665.56] 每一個當地的區塊去跟大家各個業者打開
[1665.56-1671.00] 還是說跟總公司一次去跟這13000家的經營
[1671.00-1673.32] 其實這個部分我想要跟你們請教一下
[1673.32-1673.82] 謝謝
[1675.20-1678.70] Berrylian 部分到去年24年
[1678.70-1682.60] Berrylian 算是一個很大的成倍
[1682.60-1685.60] 在成長負責的行業營收上面
[1685.60-1690.30] 就很明顯包括我們的數字時刻
[1690.30-1693.96] 認同一個成長的部分
