[0.00-16.40] 各位投資先進大家午安
[449.02-450.82] 那在这一部分呢
[450.82-455.64] 实际上营收跟营业毛利率也是呈现成长的
[455.64-460.38] 那很可惜的是营业净利率是往下微幅下滑的
[460.38-464.68] 那最主要在这个高附加价值事业群营收里面呢
[464.68-467.64] 智能解决方案是表现的比较好的
[467.64-470.78] 它在营收方面也成长了8个percent
[470.78-476.46] 毛利率营业净利率以及盈利净利金额都较去年同期成长
[476.46-482.36] 那讲到说那营业净利在整个是高附加价值事业群微幅下降
[482.36-484.62] 最主要是在医疗跟网通
[484.62-486.32] 所以我们来讲一下医疗
[486.32-489.94] 医疗实际上整体营收是成长21个percent
[489.94-493.68] 那最主要当然是有并购了诺贝尔丁丁药局进来
[493.68-496.24] 以及自己本体也在成长
[496.24-496.92] 这是第一个
[496.92-500.82] 那整个的毛利率有较去年同期成长
[500.82-503.66] 但是营业净利金额却比较少
[503.66-508.38] 那这个部分我们倒是可以解释成所谓的投资
[508.38-510.74] 因为呢我们知道民济医院
[510.74-516.40] 在南京民济医院在过去两年在建构所谓的第二期的营运
[516.40-518.76] 在2025年已经开出来了
[518.76-521.42] 已经建好了开出来了
[521.42-524.96] 那这边有一些前期必须要投入的成本
[524.96-526.90] 例如这些设备
[526.92-528.72] 必须前期投入
[528.72-531.52] 医护人力必须前期投入
[531.52-537.76] 那这些在一开始的投入都是为未来创造这个营收这个部分
[537.76-540.56] 所以我们认为这是一个比较甜蜜的负担
[540.56-545.56] 这是一般在开始一个新的部分必须要先投入的这样
[545.56-550.20] 以及民济院为了要在资本市场那个上市
[550.20-551.82] 所以呢也有IPO的费用
[551.82-556.62] 它是去年4月上去递件去申请
[556.92-559.28] 所以呢去年第一季并没有这个IPO费用
[559.28-560.60] 那今年第一季有
[560.60-562.72] 所以从整个医疗事业来看
[562.72-565.32] 虽然营业净利率虽然微幅下降
[565.32-570.56] 但是这些费用倒是都是属于比较短期的一个冲击
[570.56-574.10] 希望带来的是更好的未来的一个获利
[574.10-578.14] 或是资本市场上面的加持贡献
[578.14-579.52] 那网通事业呢
[579.52-582.64] 最主要还是在营收上面
[582.64-583.96] 减了13个percent
[583.96-584.80] 那这个在营收规模以及产业的一个需求上呢
[584.80-585.08] 那这个在营收规模以及产业的一个需求上呢
[585.08-585.60] 那这个在营收规模以及产业的一个需求上呢
[585.60-587.54] 以及产业的一个需求上面
[587.54-591.22] 使得整个毛利率营业净利率跟营利净利金额
[591.22-593.42] 都较去年同期下降
[593.42-596.78] 再加上网通的本业获利是亏损的
[596.78-601.22] 所以导致整个高附加价值事业的营业净利的百分比
[601.22-603.20] 被拉下来了
[603.20-604.48] 那下面一个就是说
[604.48-608.50] 民济医院实际上在今年的4月11号
[608.50-612.68] 已经在香港联交所有个披露一网站
[612.68-615.60] 公告聆讯后的相关资料
[615.60-618.94] 这是要联讯后才可以公告的一些
[618.94-621.24] 招股书的相关资料
[621.24-624.10] 所以呢各位投资先进有兴趣
[624.10-625.88] 可以上这个披露一网站
[625.88-629.84] 去看民济医院的这个招股书
[629.84-633.58] 那现在在联讯后所在做的这个动作
[633.58-635.40] 就是在承销的阶段
[635.40-637.98] 所以目前持续在做roll show
[637.98-642.22] 以及在做这个跟投资人这个承销的一个部
[642.22-643.14] 沟通部分
[643.14-643.64] ok
[643.64-645.58] 好
[645.60-675.60] 
[675.60-677.90] 那我们现在就来看看这个
[677.90-679.70] 这个公司的这个效果
[679.70-680.46] 这第一个
[680.46-683.02] 那第二个呢最主要的是我们
[683.02-685.08] 在这几年包括在第一季
[685.08-687.38] 他的毛利率还是持续往上升
[687.38-689.42] 所以带动了整个集团
[689.42-693.26] 舰队的growth margin往上升到17.3
[693.26-695.82] 在营业费用76亿
[695.82-698.90] 那相较于去年的第一季增加10亿
[698.90-702.22] 这10亿的部分实际上一样就是来自于我们并购
[702.22-703.50] 他对营收有增加
[703.50-705.04] 货力有增加
[705.04-706.84] 所以我们看到这个
[706.84-708.12] 这个货力的增加
[708.12-709.64] 是比较偏通路
[709.64-711.96] 所以毛利率高之外opace也会增加
[711.96-713.24] 不过整体
[713.24-716.30] 这个新并购公司对oi的percentage
[716.30-717.58] 也是有提升的
[717.58-719.12] 这是第一个重点
[719.12-722.96] 那第二个这个营业费用的增加主要就是也是来自于
[722.96-726.04] 民基因为民基是毛利率比较高
[726.04-729.88] 那主要在这一季花在这个电商
[729.88-731.66] 跟
[731.66-733.96] 这个广告费上面也有所增加
[733.96-735.00] 不过他带来的
[735.00-736.02] 是提升的
[736.02-737.04] 所以呢
[737.04-742.16] 在最后我们的营业净利金额是增加7200万成长8个percent
[742.16-746.00] 那刚才有稍微说明过就是说毛利率上升
[746.00-747.80] OI percentage维持
[747.80-752.92] 那最主要就是医疗短期冲击短期的投入所作
[752.92-757.78] 影响的一点点的净利率下降以及网通在OI上面的亏损
[757.78-759.06] 所以最后
[759.06-761.62] 我们营业净利率是持平的
[761.62-767.76] 那我们最后归属母公司净利是4亿8300增加2亿2600万
[767.76-769.56] 那成长88个percent
[769.56-772.12] EPS增加了0.13
[772.12-775.96] 那我们就不跟去年第四季比因为
[775.96-779.54] 这两边的季节性因素不太一样那请各位
[779.54-785.94] 投资先进参考QOQ
[785.94-788.24] 我们看一下资产负债表
[788.24-791.58] 那资产负债表的部分呢实际上
[791.62-796.74] 这一季跟去年底的资产负债表没有什么太大的变化
[796.74-800.06] 那主要大家应该关心的还是存货的部分
[800.06-804.16] 在我们的第3月底的存货是446亿
[804.16-807.24] 相较于去年底有上升了26亿
[807.24-811.34] 那较去年同期增加比较多增加了80亿
[811.34-812.86] 实际上这个
[812.86-817.22] 库存的部分如果是跟年底的部分大概
[817.22-818.76] 有些存货
[818.76-821.58] 我们先往像加市达或是明达
[821.62-823.42] 明基有些存货
[823.42-826.74] 因为美国这部分有先运往美国所以有
[826.74-832.88] 导致一些存货上面的一个增加还有一些新并购公司在第1季进来所以存货也增加
[832.88-835.70] 那较去年同期增加80亿
[835.70-841.34] 这个部分最主要的就是也是加沙这边跟明基这边那总体
[841.34-843.38] 增加的比较多实际上这
[843.38-845.68] 明基跟加市达本体的
[845.68-851.06] 营收的成长在今年的第1季有比较比去年第1季
[851.62-853.66] 增长再加上其他子公司
[853.66-857.00] 也有这种备货的一个效应这样子
[857.00-857.50] 好
[857.50-858.78] 那我们看一下
[858.78-861.10] 下面的有一个其他负债
[861.10-863.40] 少增加了19亿
[863.40-865.70] 然后权益总计少了27亿
[865.70-868.78] 这两个科目实际上是重分类的效果
[868.78-870.30] 因为在第
[870.30-875.94] 那个第1季的时候呢就必须要将所谓的先因付现金鼓励从
[875.94-877.74] 权益这边
[877.74-880.04] 移掉然后
[880.04-881.58] 挂在其他因付负债的这边
[881.58-891.30] 负债里面这是那个现金鼓励这是科目重分类的一个效果
[891.30-894.90] 所以看到这个最主要的财务指标里面呢
[894.90-901.04] 那看到还是存货周转天数基本上不管是QOQO YOY都增加个10天
[901.04-905.14] 那这最主要就是都是在因这个关税跟
[905.14-911.54] 提前存货上面的一个准备
[911.54-913.34] 好
[913.34-916.92] 那这是请各位投资先进可以
[916.92-919.98] 参考这个是Quality Chain这样子
[919.98-921.02] 那事实上
[921.02-927.16] 就是说第1季是497那去年第4季是那个540亿是比较高的嘛
[927.16-932.02] 那不过相对于去年的第1季的营收是成长的
[932.02-934.58] 然后我们的营业经济金额
[934.58-938.68] 10亿也就去年同期是增加的
[941.54-945.64] 那Q1的同期也请各位投资先进这边
[945.64-950.50] 自行参考
[950.50-954.34] 那我们来看看这个失业群的营收趋势
[954.34-958.94] 那紫色这部分是highway就是高附加价值的一个加总
[958.94-964.32] 那会看到我们高附加价值的营收在YY是增加7%这样子
[964.32-965.34] 这第1个
[965.34-971.24] 然后在医疗上面营收已经连续两季占上70亿
[971.24-972.52] 医疗的营收
[972.52-973.54] 占上70亿
[973.54-977.64] 相较于去年同期的59亿是成长了21%
[977.64-981.48] 那智能解决方案也是连续两季营收
[981.48-983.28] 这是占上80亿
[983.28-986.08] 那YY也是成长了8%
[986.08-989.92] 那比较可惜是网通这一块的营收是45亿
[989.92-993.76] 那是这几季以来的一个低点
[993.76-1000.16] 那在IT的高附加价值呢大概都维持在30几亿的一个规模
[1000.16-1001.20] 那IT的高附加价值呢大概都维持在30几亿的一个规模
[1001.20-1005.04] 那IT的original就是我们原有的IT的事业这边
[1005.04-1011.96] 营收有235也是成长的YY7%
[1011.96-1016.30] 那我们看看各事业群的这个毛利率区间
[1016.30-1019.64] 所以我们看一下黄色的第1季的
[1019.64-1022.20] 黄色这是毛利率区间
[1022.20-1028.34] 这区间大概会看到是医疗或是BSG的毛利率区间
[1028.34-1030.64] 大概都介于20到25
[1030.64-1034.74] 那网通的毛利率区间也在15跟20
[1034.74-1038.58] 那IT高附加价值这边也20到25
[1038.58-1042.68] 那IT original这边有10到15%这样子
[1042.68-1046.76] 所以整个YY呢BSG的毛利率是上升的
[1046.76-1048.56] 区间是上升的
[1048.56-1050.36] 其他都是维持的
[1050.36-1059.56] 在QOQ呢大概第1季的毛利率区间跟第4季的毛利率区间都维持
[1059.56-1062.64] 那这是更细项的一个营收分布
[1062.64-1067.76] 那请各位投资先进自行参考
[1067.76-1074.16] 那我们这边的列出加萨集团在台湾上市柜新柜的一个公司
[1074.16-1076.96] 那首先我们看到资讯的部分
[1076.96-1079.02] 资讯的部分
[1079.02-1084.64] 就细码的部分呢它的亏损有在空亏这样子
[1084.64-1085.68] 这第1个
[1085.68-1089.00] 在医疗的部分呢总共有4家公司
[1089.00-1089.52] 那整体的部分呢就是医疗的部分呢总共有4家公司
[1089.52-1093.10] 那整体的货力都是有叫YY是增加的
[1093.10-1096.94] 增加比较多的是诺贝尔增加了2300万
[1096.94-1100.78] 那康科特的获利是近4年来的同期新高
[1100.78-1106.16] 在智能解决方案在台湾这边上市上柜新贵公司比较多
[1106.16-1109.74] 那我们看一下整个的获利的一个成绩
[1109.74-1114.60] 有通的获利跟营收都是增加幅度比较高的
[1114.60-1117.16] 而且是近两年同期新高
[1117.16-1119.48] 那其营收是有上升的
[1119.48-1123.84] 18%但获利小幅下滑了400万
[1123.84-1126.90] 那罗森的营收也成长的比较多
[1126.90-1131.76] 那获利也成长了2600万也是近三年同期新高
[1131.76-1135.86] 那拍档也是营收跟获利都有成长的
[1135.86-1139.96] 那唯一就是麦达特在营收小幅下滑2400万
[1139.96-1143.04] 那获利少了13600万
[1143.04-1146.62] 最主要麦达特这边是因为受到业外
[1146.62-1148.92] 所持有这个金融资产
[1148.92-1151.48] 平价的一个影响
[1151.48-1154.56] 那在去年同期有一个比较大的利益
[1154.56-1159.68] 那今年也没有所以这边影响就比较大
[1159.68-1163.00] 那网络通讯这边看到就是
[1163.00-1165.04] 明泰的营收是
[1165.04-1168.64] 整体合并的营收是少了65600万少13%
[1168.64-1171.96] 那获利也少了17300万
[1171.96-1174.78] 明基材是获利上面是有上升的
[1178.92-1182.96] 2025万可以让我们在中间来达到增加
[1182.96-1184.76] 这么快就突然会发现
[1184.76-1187.42] 任务要是无法完成它的限制
[1187.42-1189.34] 却我们也负寡你是不是
[1189.54-1190.96] 總而言之
[1190.96-1192.60] 我们被拖拖拖拖的
[1192.60-1196.20] 在今年我们也有超过15000万4000万
[1196.20-1198.38] 的 creepy 自考
[1198.38-1199.76] 在疫情期间
[1199.76-1202.22] 我们显然我们还能拖延税
[1202.22-1204.14] 但是我们看到
[1204.14-1208.04] 我们之前omon 说的
[1208.04-1208.90] 而且我们看到
[1208.90-1215.40] 跟大家有提到今年整體的這個大方向
[1215.40-1217.14] 景氣的大方向
[1217.14-1220.48] 那大家可以看到我們第一季的成果
[1220.48-1222.38] 剛剛財務長已經做說明
[1222.38-1224.82] 那我們在營收跟獲利上面
[1224.82-1229.66] 跟去年來比都呈現這個YY是成長的
[1229.66-1233.22] 那大家會關心說那第二季呢
[1233.22-1235.60] 那第二季以目前來看
[1235.60-1239.44] 在營收上面應該是樂觀的
[1239.44-1242.40] 那這個最主要來自於
[1242.40-1248.14] 目前是這個關稅的這個90天的這個豁免期
[1248.14-1250.98] 所以可以預期的
[1250.98-1253.76] 多多少少在各個產品線
[1253.76-1258.76] 應該會有增加這個納貨的這樣的意願跟動力
[1258.76-1260.52] 所以在營收上面
[1260.52-1265.60] 第二季應該可以維持我們第一季這樣
[1265.60-1267.84] 的一個YY的成長
[1267.84-1269.44] 那在獲利上面
[1269.44-1274.10] 當然就會比較有更多的變數
[1274.10-1278.14] 那主要的變數來自於就是
[1278.14-1282.02] 關稅站在90天的這個豁免期之後
[1282.02-1284.68] 預期在7月中
[1284.68-1288.96] 可能是7月8號9號這附近
[1288.96-1290.90] 90天到期之後
[1290.90-1295.30] 到底新的對等關稅會怎麼樣
[1295.30-1295.60] 會怎麼樣
[1295.60-1301.60] 也只能等到7月8號9號這附近才能夠明納
[1301.60-1305.10] 那這個各國的關稅隨著跟美國這個談判
[1305.10-1310.34] 那最後的結果是上下怎麼樣
[1310.34-1317.92] 那必須要看這個90天後的這個關稅的詳細的明細
[1317.92-1323.00] 才會決定這個出貨等等的這個影響會如何
[1323.00-1325.30] 那另外一個因素就是
[1325.30-1329.30] 這個這個變數是在這個匯率上面的衝擊
[1329.30-1338.14] 那這幾天大家都看到整個這個美元在這個走跌
[1338.14-1342.28] 那在其他人貨幣在走升
[1342.28-1343.48] 特別是在台幣
[1343.48-1350.56] 在過去這一陣子已經從33塊到最低29塊多
[1350.56-1353.30] 這兩天還維持在30塊左右
[1353.30-1355.30] 這些其實對
[1355.30-1359.30] 貨幣上面也會帶來一些衝擊
[1359.30-1363.30] 尤其是快速的這些急升急貶
[1363.30-1368.32] 大概對整個貨幣都會產生衝擊
[1368.32-1372.86] 那另外當然戰爭的因素又天一樁
[1372.86-1375.66] 大家只要有關心今天的新聞
[1375.66-1379.36] 印巴已經這個印度跟巴基斯坦
[1379.36-1383.02] 已經正式的這個
[1383.02-1385.30] 有這個小規模的衝擊了
[1385.30-1387.30] 這個衝突很明顯的衝突
[1387.30-1390.30] 那這個當然都是不是我們所樂見的
[1390.30-1393.30] 那這些都會再再影響這個
[1393.30-1396.64] 在大家貨幣上面這些衝擊
[1396.64-1398.14] 不過我們還是會努力
[1398.14-1404.58] 盡量來維持我們先前跟大家講的這個大趨勢
[1404.58-1407.52] 那大致上是這樣子
[1407.52-1412.46] 那至於說因應這總統的變化
[1412.46-1415.30] 大家從剛剛我們的報告來看
[1415.30-1417.30] 上次我有特別提到
[1417.30-1419.60] 我們整個集團未來的大方向
[1419.60-1425.04] 雖然三大塊的這個高估價值事業的這個發展齊頭並進
[1425.04-1427.14] 那大家應該有注意到
[1427.14-1431.22] 我們的這個組合悄悄的在變化
[1431.22-1437.06] 那之前這個大家可以看到智能跟網通是走在前面
[1437.06-1439.66] 在營收佔比
[1439.66-1442.66] 那這一次大家有留意到
[1442.66-1445.30] 我們在智能事業群AOD事業群
[1445.30-1447.30] 低積是81億
[1447.30-1450.30] 在我們營收16%
[1450.30-1454.38] 那網通因為還在比較谷底
[1454.38-1457.98] 所以只有45億只佔了9%
[1457.98-1461.58] 但是在醫療大家可以看到已經是72億
[1461.58-1463.78] 那已經佔到14%
[1463.78-1470.32] 那上一次的這個法說我有特別預告
[1470.32-1471.96] 我們未來整個集團
[1471.96-1474.80] 我也重點是從醫療這一塊
[1474.80-1475.30] 來加強這個高估價值的這個變化
[1475.30-1479.30] 加大投資加大成長的速度
[1479.30-1485.98] 那因為這一塊是我們整個集團跟其他的ICT產業
[1485.98-1489.62] 這個直通訊產業的這些
[1489.62-1491.22] 台灣的同業們
[1491.22-1493.78] 大家能夠做差異化
[1493.78-1498.96] 能夠做不同的這樣的一個成長模式
[1498.96-1501.06] 的一個最大的一個區隔點
[1501.06-1505.30] 也就是說在醫療的這個總體的投入的廣度跟深度
[1505.30-1511.98] 我們絕對會快速的來放大投入的這個能量
[1511.98-1514.24] 所以上次我有預告
[1514.24-1516.28] 我們在醫療這方面的成長
[1516.28-1518.92] 會是今年的主要成長動能
[1518.92-1521.98] 今年將較為往年
[1521.98-1524.32] 在醫療的成長的幅度
[1524.32-1526.46] 會在明顯的增加
[1526.46-1531.42] 那因應剛剛提到這些關稅戰的趨勢
[1531.42-1533.86] 這個也是對我們有利的
[1533.86-1535.30] 大家可以看到
[1535.30-1538.10] 我剛剛有稍微看了一下
[1538.10-1540.30] 有先進已經問到
[1540.30-1541.68] 剛剛我們財務黨講說
[1541.68-1546.28] 美洲的這個營收占比是30%
[1546.28-1547.98] 那美國占多少
[1547.98-1553.18] 美國ICT大概精準的說大概是占26%
[1553.18-1554.42] 26%
[1554.42-1556.48] 那當然
[1556.48-1559.66] 其他那4%是來自於一部分是南美
[1559.66-1562.42] 南美洲還有加拿大
[1562.42-1565.30] 所以美國本體大概是26%
[1565.30-1570.78] 那占我們的總體的這個營收大概1 4%
[1570.78-1572.94] 那在醫療這一塊
[1572.94-1577.18] 相對的美國這邊占的比例就相當低
[1577.18-1579.02] 大概只有一%上下
[1579.02-1583.58] 所以相對受到的衝擊又相對的少
[1583.58-1588.68] 所以對我們的未來的要強化
[1588.68-1593.52] 以及放大這整個醫療事業的大方向
[1593.52-1595.16] 是對我們來講有利的
[1595.16-1595.30] 也是一個很大的目的
[1595.30-1600.42] 也就是說比較不會受到整個關稅戰的這個影響
[1600.68-1604.52] 因為關稅戰改變了很多的這些地緣政治的組合
[1604.78-1606.30] 以及全球化的組合
[1606.56-1608.36] 這些都會
[1608.62-1610.14] 需要很多的投資
[1610.40-1612.46] 需要很多的時間去改變
[1612.70-1615.78] 那醫療這一塊因為相對的
[1616.04-1618.60] 在美國這邊的這個銷售
[1618.86-1620.14] 占比相對低
[1620.38-1622.44] 所以我們更有機會能夠
[1622.70-1623.46] 把這一塊的
[1623.72-1625.26] 這個影響度再大大
[1625.56-1627.86] 所以在未來的幾季的這個
[1628.12-1629.66] 法說我相信
[1629.90-1632.72] 各位應該會逐步看到醫療的比重
[1632.98-1634.26] 不管是在營收
[1634.52-1635.28] 在獲利
[1635.54-1637.84] 將來的這個占比會逐步拉升
[1638.10-1640.14] 現在是第二名
[1640.40-1641.18] 在這個
[1641.68-1642.96] 這三大
[1643.22-1644.50] 高附加價值
[1644.76-1646.80] 新事業的這個是占第二大
[1647.06-1649.88] 我相信很快會看到他是第一大
[1650.38-1651.92] 那這個對我們整個
[1653.20-1653.72] 集團
[1653.98-1655.26] 扮演的角色
[1655.56-1660.68] 還有跟業界的這個差異化會有越來越明顯的效果
[1660.94-1661.44] 所以
[1661.70-1665.54] 我大概先就這幾個大方向跟各位先進
[1665.80-1668.10] 還有朋友們做一些
[1668.36-1669.38] 簡單的分析
[1669.64-1670.92] 那等一下針對
[1671.18-1675.26] Q&A會再有更詳盡的這個回答
[1675.52-1677.32] 那接下來就請我們總經理
[1677.58-1679.10] 就訪這邊
[1679.36-1680.64] 來主持下一個階段
[1680.90-1681.66] 各個
[1682.94-1685.00] 主流公司的運營的大方向
[1685.56-1686.58] 還有另外
[1686.84-1688.38] 是各個事業的這個
[1688.62-1689.66] 細部的說明
[1689.90-1690.42] 謝謝
[1693.74-1695.54] 我是總經理就訪
[1695.80-1696.30] 來這個
[1696.56-1698.36] 各位前輩先進報告
[1698.62-1700.40] 那大環境方面我想
[1700.66-1704.76] 剛剛董事長做了不少說明我在這裡就不再重複
[1705.02-1708.60] 目前大家最關心的還是美國關稅問題跟
[1708.86-1711.92] 台幣的升值問題那台幣升值問題
[1712.18-1715.26] 我們會有因應的對策我們一直採取這個nature hedge
[1715.56-1716.06] 的方法
[1716.32-1718.38] 一直在對沖降低美元的部位
[1718.62-1720.94] 來protection我們的這個
[1721.18-1721.96] 關稅的
[1722.22-1723.50] 利率的衝擊
[1724.00-1724.52] 那
[1725.02-1730.14] 關稅有關美國關稅的部分其實這也是我們很關心的事情那第二季因為關稅
[1730.40-1733.22] 談判會帶來全球的不確定性尤其美國市場
[1733.74-1735.52] 這也將影響我們供應鏈的
[1735.78-1738.60] 跟緊急恢復的力道不過無論
[1738.86-1742.18] 外在環境怎麼改變建立這個韌性供應鏈
[1742.44-1743.72] 那是靈活應對
[1743.98-1745.26] 環境變化的關鍵
[1745.56-1746.32] 我們建立
[1746.58-1747.86] 第三地的生產
[1748.12-1751.44] 地的腳步不會停下來我們積極在進行
[1752.22-1754.78] 等到有一個確定的時候再跟各位做報告
[1755.54-1756.06] 那
[1756.56-1758.62] 從加斯達各個事業群的
[1758.86-1762.70] 狀況來看以IT事業群跟醫療事業群成長動能是
[1762.96-1764.50] 最佳明顯的
[1764.76-1768.60] IT產業雖然因為關稅議題帶來不確定性
[1768.86-1771.42] 但也帶來90天的這個
[1771.92-1772.44] 這個gap
[1772.70-1774.48] 讓我們有機會零關稅的這個時間
[1774.74-1775.26] 讓我們有機會
[1775.56-1778.62] 更有機會把貨送到前線去
[1778.88-1779.66] 那麼預估
[1779.90-1782.22] IT在第二季還是會
[1782.46-1784.26] 同期略為成長
[1785.02-1786.06] 醫療事業
[1786.30-1790.40] 剛才董事長也講過那不管醫院或者我們醫療的其他
