[0.00-7.44] 高雄銀行2025年第一季法輪說明會正式開始
[721.68-725.00] 呃是我們的這個財務操作這個部分的因為
[726.28-729.36] 有比去年的同期大概少了1500萬左右
[729.62-732.18] 這個是因為今年第一季事實上
[732.42-737.54] 這個外匯的交易這邊的是比較相對比較不穩定所以我們這邊的大概有
[737.80-740.88] 稍微就是比去年大概少了1500萬左右
[741.64-743.70] 好那我們看下一個圖這個呢
[744.00-750.14] 會比較清楚的說明這兩年度的一個比較這個是用派餅圖的方式我們來
[750.40-750.90] 來顯現
[751.42-754.24] 那上半段的是我們今年度的一個
[754.50-756.80] 第一季的一個狀況那
[757.06-759.10] 下半部是去年同期的
[759.36-760.12] 那首先
[760.38-762.94] 請股東看到我們的這個綠色的這個派圖
[763.20-764.22] 這個是我們整個
[764.48-766.02] 今年第一EQ的
[766.26-767.04] 淨收益的狀況
[767.30-768.32] 那我們可以看到
[768.58-771.64] 他的總金額是11億6300萬
[771.90-773.70] 相對去年同期的9億
[774.00-774.50] 7800萬
[775.02-778.10] 這個是淨增加了1億8500萬
[778.60-779.62] 那這個是
[780.14-780.66] 什麼
[781.42-782.18] 組成
[782.44-785.78] 讓他增加的呢我們看到這個我們的右手邊
[786.02-788.58] 那我們可以看到這個右手邊的派圖
[788.84-790.90] 可以有三大塊非常明顯
[791.14-793.96] 那第一個是這個藍色的部分也就是
[794.22-799.34] 大部分商業銀行最主要的收入的部分也就是利息淨收益
[799.60-800.62] 那我們可以看到
[800.88-802.66] 在今年第一季的時候我們這個
[802.92-803.44] 佔我們
[804.00-806.30] 整個淨收益的這個比重呢他是來到
[806.82-807.58] 71%
[808.10-809.12] 那其次呢
[809.88-814.50] 是這個紅色這一塊這個大概我們的佔比是來到21%
[814.74-818.08] 那再來是這個財務操作的部分是佔了7%
[818.34-820.64] 那相對去年同期來看的話
[820.90-823.20] 事實上這個是有很明顯的一個差距
[823.46-824.22] 我們可以看到
[824.48-828.82] 去年的這個手續費的部分呢這個是來到了24%
[829.08-830.10] 那今年第一季呢
[830.36-833.18] 大概有比去年大概少了3%左右
[833.18-834.72] 那另外這個
[834.98-839.06] 財務操作這個部分也是一樣去年這個佔比是來到10%
[839.32-840.34] 那今年呢
[840.60-842.40] 目前來看大概只有7%
[842.66-845.72] 好那我們首先看一下利息淨收益的部分
[845.98-848.54] 利息淨收益今年第一季是來到
[848.80-853.14] 8億3300萬跟去年同期的6億4000萬
[853.40-855.96] 大概有淨增加了1億9300萬
[856.22-856.74] 那這個
[856.98-861.08] 主要增加的來源最主要有兩個部分第一個是放款的部分
[861.60-863.14] 因為我們的放款大概
[863.44-866.00] 平均股份比去年成長了344億
[866.50-867.28] 所以呢我們
[867.54-869.84] 放款的這個利息的淨收益呢
[870.10-871.38] 比去年同期
[872.14-875.22] 大概淨增加了1億2700萬
[875.72-876.74] 另外一個部分
[877.00-880.08] 的來源是因為負利差的
[880.84-881.36] 有
[881.62-886.48] 關係有變得比較好一點點也就是說呢去年的負利差狀況是比較嚴重
[886.74-890.82] 那今年第一季的這個負利差呢有比去年好了非常多
[891.08-893.14] 這個回升的金額大概有6300萬
[893.44-894.20] 所以
[894.72-897.02] 放款的部分淨增加1億2700
[897.28-900.10] 那這個負利差的部分有回升
[900.34-902.14] 6300萬所以呢這個
[902.40-904.44] 大概加起來就是這個1億9000多萬
[904.96-905.72] 這個大概就是
[905.98-909.56] 我們利息的一個淨收益比去年一個增長的狀況
[910.08-912.64] 好那其次我們來看到我們的手續費
[912.90-916.74] 那手續費呢這個今年EQ跟去年來比較的話
[916.98-918.26] 大概有增加了這個700萬
[918.52-919.04] 那這
[919.30-923.14] 這個700萬主要的來源是來自於我們財富管理
[923.44-925.22] 手續費的一個淨增加
[925.48-926.26] 這個是
[926.50-927.02] 我們
[927.28-929.32] 銀行也是做得非常棒的一個部分
[929.84-933.68] 好那再來的話我稍早也有報告過說這個
[933.94-936.24] 我們的財務操作這個部分呢
[936.50-939.06] 看起來是有比去年少了1500萬
[939.30-941.62] 那這個少的部分呢大概就是在
[941.86-943.14] 外匯交易的部分
[943.40-944.42] 大概是這個部分
[944.68-945.20] 好
[945.46-945.96] 那
[946.22-950.06] 接下來看到我們的這個左手邊也就是說我們整個淨收益
[950.58-952.88] 他的去路是怎麼分派的呢
[953.44-958.04] 當然銀行賺的這個淨收益最大的一塊還是營業費用
[959.06-962.14] 那我們看到今年第一季的營業費用的我們總共是
[962.40-964.44] 金額是71700萬
[964.70-965.98] 跟去年同期的
[966.24-967.52] 7億3200萬
[967.78-969.82] 那大概我們有少了1500萬
[970.08-971.36] 那這個少的部分呢
[971.62-973.14] 最主要的部分是
[973.66-977.50] 因為我們去年在第一季的時候做現金增資的時候因為
[977.76-982.36] 有員工認股那員工認股的部分是要帳列費用
[982.36-984.40] 那這個金額是2900萬
[984.66-988.50] 所以我們今年就沒有這筆的一個費用的支出所以呢
[988.76-989.78] 明顯的我們的
[990.04-993.36] 今年第一季的營業費用就比去年大概就有少了這個
[993.62-994.64] 1500萬
[994.90-996.70] 這個最主要的部分是這一塊
[996.96-997.46] 好
[997.72-999.52] 那其實我們看到我們這個
[999.76-1000.28] 呃
[1000.54-1001.30] 待賬費用
[1002.08-1004.88] 呃承諾及保證的責任準備這一塊
[1005.14-1006.42] 那也跟股東報告
[1006.68-1007.70] 這個科目
[1008.48-1010.26] 是一個淨額的觀念
[1010.78-1011.80] 是一個淨額的觀念
[1011.80-1012.32] 也就是
[1012.62-1014.40] 說你背底待賬的提列
[1014.66-1015.18] 之後呢
[1015.44-1015.94] 你要
[1016.20-1016.72] 扣掉
[1017.22-1018.76] 你的待賬收回
[1019.02-1021.32] 才是你這個科目的一個金額
[1021.58-1022.60] 所以呢我們看到
[1023.12-1025.42] 這兩個差距也就是今年呢
[1025.68-1030.28] 今年第一季這個金額是9000萬但是去年同期我們看到的數字是
[1030.54-1031.82] 負的0.26億
[1032.08-1034.12] 那這個一來一回差距就是這個
[1034.38-1035.66] 1億1600萬
[1036.16-1037.96] 這個主要原因是這個樣子的
[1038.22-1039.76] 我們去年的時候
[1040.26-1041.80] 我們有提列背底待賬
[1042.36-1045.44] 大概1億0600萬但是去年
[1045.68-1047.22] 第一季就收回了
[1047.48-1048.50] 背底待賬
[1049.02-1052.08] 從待賬裡面有收回了1億3200萬
[1052.34-1053.36] 所以呢等於說
[1053.62-1055.16] 收回的比提列的
[1055.68-1056.44] 還要
[1057.20-1057.72] 少
[1058.24-1059.00] 收回的
[1059.26-1060.28] 比提列的
[1060.54-1061.56] 還要多
[1062.08-1062.58] 所以呢
[1063.36-1066.42] 等於說有有回充的一個利益2600萬
[1067.20-1068.72] 那但是今年呢
[1068.98-1072.06] 今年的部分的話我們的提列背底待賬來到
[1072.36-1074.92] 1億0300萬但是我們今年的
[1075.18-1076.20] 待賬的收回呢
[1076.46-1077.48] 到第一季為止
[1077.74-1078.76] 只有1300萬
[1079.02-1081.58] 所以等於說我們就是淨提存了
[1082.34-1083.36] 提列的這個費用
[1084.40-1085.16] 是9000萬
[1085.42-1088.24] 所以這樣一來一回所以跟去年大概差距就是這個
[1088.48-1091.56] 1億1600萬主要是這樣子的一個原因
[1092.08-1095.92] 但是呢提列這個背底待賬當成費用的事實上
[1096.42-1096.94] 這個
[1097.20-1099.50] 不是就是說不好的因為為什麼
[1099.76-1102.06] 因為我們放款的一個成長那法令規定
[1102.36-1103.12] 本來就是放款
[1103.38-1104.66] 只要是正常的放款
[1104.92-1108.00] 基本上都要提一個%的一個背底待賬的費用
[1108.24-1112.34] 那如果他是牽涉到銀行法72條之二的一個放款項目
[1112.60-1113.36] 或者是
[1113.62-1116.18] 中國大陸的放款的一個科目的
[1116.44-1117.20] 項目的話
[1117.46-1119.26] 這個是要提列1.5%的這個
[1119.76-1120.80] 背底待賬
[1121.04-1125.66] 但是這個並不是損失雖然帳列費用並不是損失
[1125.92-1126.68] 跟各位做一個補充
[1127.44-1129.50] 好那接下來我們看下一個頁子
[1130.52-1132.06] 接下來是我們量的部分
[1132.36-1133.38] 我們銀行量的部分
[1133.64-1135.94] 那我們看到首先上面的
[1136.20-1139.78] 藍色的這個曲線圖是我們的一個存款的一個平均預額
[1140.04-1141.06] 那我們可以看到
[1141.32-1142.60] 在今年EQ的時候
[1142.86-1143.88] 我們的這個
[1144.90-1149.26] 存款的這個平均預額是來到2917億
[1149.52-1152.32] 那跟去年同期的2610億
[1152.58-1155.66] 大概近增加了有307億
[1155.92-1157.44] 那我們看到放款的部分
[1157.70-1162.32] 我們放款在今年EQ的平均預額是來到2231億
[1162.56-1165.68] 跟去年同期的1887億來看的話
[1165.94-1168.24] 我們竟增加了344億
[1168.50-1169.02] 那也請
[1169.28-1170.80] 各位股東特別看一下
[1171.06-1172.08] 我們的存款
[1172.60-1174.40] 增加307億
[1174.64-1175.92] 但是我們的放款
[1176.18-1178.24] 卻增加了344億
[1178.48-1179.00] 所以呢
[1179.52-1180.54] 這個也是我們
[1180.80-1185.40] 銀行現在面臨就是說也稍微比較碰到瓶頸的
[1185.66-1186.94] 部分也就是說呢
[1187.70-1188.48] 放款
[1188.72-1191.04] 增加的速度是比存款來得更快
[1191.28-1192.32] 大概也是有這樣
[1192.62-1193.38] 一個情形
[1193.64-1198.24] 那我們看到這個存放款的這個增長的情形其實都是來到
[1198.76-1200.56] 兩位數字以上的成長
[1200.80-1203.36] 存款是來到11點多個%
[1203.62-1206.96] 但是我們的放款的卻已經來到了18點多個%
[1207.72-1213.86] 好那接下來我們看一下下一個頁次這個是結構的部分我們可以先看到是我們的存款
[1214.12-1214.64] 的一個
[1214.88-1217.70] 整個的結構我們先看我們的左手邊
[1217.96-1220.00] 那這個是用按類別來分
[1220.52-1222.32] 剛剛上一個簡報有講到
[1222.62-1223.12] 我們的
[1223.38-1226.46] 存款平均也近增加了307億
[1226.72-1228.24] 那他是增加在
[1228.76-1229.52] 哪一個
[1230.04-1230.80] 存款種類呢
[1231.06-1232.34] 我們可以看到這邊
[1232.60-1235.42] 活期性的大概總共增加91億
[1235.68-1240.28] 那另外定期性的這個存款的大概增加了216億
[1240.80-1244.88] 那這個也是為什麼會活期性的增加的幅度
[1245.40-1248.22] 沒有定期性來的那麼高
[1248.48-1249.24] 就是因為
[1249.50-1252.06] 剛剛報告過我們的放款的增長的速度
[1252.62-1253.12] 非常的快
[1253.38-1257.74] 那我們都知道存款的吸收當然成本越低是越好
[1258.00-1260.30] 但是呢因為活期性的存款的吸收
[1260.56-1263.36] 他的困難度確實是比定期性來的高
[1263.62-1264.64] 那為了支應
[1264.90-1265.68] 放款的成長
[1265.92-1267.98] 所以呢大概我們有比較
[1268.24-1271.82] 用比較高稍微一點的利率去吸收了定期性的存款
[1272.08-1275.14] 所以定期性存款增長的比例是比這個
[1275.40-1278.48] 活期性增長的比例是來的高
[1278.72-1281.04] 那但是這個佔比我們可以看到
[1281.28-1282.32] 我們的
[1282.62-1286.96] 活期性的佔比基本上還是有來到52.18%
[1287.22-1291.32] 那定期性的是來到47.82%
[1291.58-1292.08] 好
[1292.34-1293.62] 那這個是按類別
[1294.14-1296.44] 另外我們看到我們右手邊這個是按
[1296.96-1299.52] 幣別也就是用台外幣來
[1299.76-1300.54] 劃分的話
[1300.80-1302.32] 那首先我們可以看到
[1303.36-1304.64] 我們去年
[1304.88-1308.48] 我們新台幣的部分總共是增加了332億
[1308.98-1310.52] 那因為總的
[1311.28-1312.32] 存款數是增加了
[1312.62-1313.12] 307億
[1313.38-1315.68] 那台幣的就已經增加330億
[1315.94-1316.72] 所以呢是
[1316.96-1319.78] 外幣的部分的大概是有稍微減少了25億
[1320.30-1321.84] 那至於這個佔比的話
[1322.08-1324.14] 基本上來說的話
[1324.64-1327.46] 我們的外幣的這個存款的佔比
[1327.72-1329.52] 大概一般來說的話
[1329.76-1331.30] 不太會超過15%
[1332.08-1332.58] 過去
[1332.84-1334.38] 一直到現在大概是這個樣子
[1335.14-1336.16] 因為
[1336.42-1337.20] 當外幣在
[1337.44-1339.24] 增加的時候事實上我們台幣的
[1339.50-1341.28] 台幣的這個存款的增長的幅度呢
[1341.54-1342.32] 其實也是
[1342.62-1343.12] 很快
[1343.38-1344.40] 所以基本上來講他一直
[1344.66-1345.94] 可能也都沒有超過大概
[1346.20-1346.96] 這個
[1347.22-1348.50] 15%以上
[1349.02-1351.06] 好那這個目前佔比是這個樣子
[1351.58-1352.60] 這個是
[1352.86-1354.40] 以幣別來分的話是這個樣子
[1354.90-1357.98] 好那接下來我們再來看一下我們放款的一個
[1358.24-1360.02] 結構的一個分析
[1360.28-1362.08] 那這個呢我們是
[1362.58-1365.14] 較去年同期增加了344億
[1365.40-1368.98] 那如果首先我們看到左邊也就是按對向來看的話
[1369.24-1372.06] 那我們可以分用契金消金跟
[1372.36-1373.90] 市政貸款來做一個分類
[1374.16-1380.80] 那我們看到今年第一季我們大概的部分是我們的契金的部分是來到
[1381.84-1383.88] 210億
[1386.18-1387.72] 那消金的部分呢
[1388.24-1389.52] 這個是增加的部分
[1389.76-1391.30] 契金增加210億
[1391.56-1396.68] 那消金是增加了66億那市政貸款增加了68億
[1396.94-1398.72] 那如果以佔比來看的話
[1398.98-1400.00] 我們現在大概
[1400.26-1402.06] 契金是佔六五成
[1402.36-1404.40] 那消金的部分的大概在
[1405.18-1406.72] 接近三二成
[1407.22-1411.32] 那另外呢大概有3%左右是我們的市政貸款
[1411.58-1413.12] 那去年的同期
[1413.62-1415.68] 因為去年的同期我們還沒有
[1415.92-1419.00] 市政貸款我們去年的市政貸款是從去年的
[1419.26-1421.04] 4月份才開始有市政貸款
[1421.56-1425.92] 所以因為這個是跟去年同期比較所以去年同期的時候市政貸款是0
[1426.16-1427.96] 那那時候的結構比大概
[1428.22-1429.24] 契金是
[1429.50-1431.28] 66%
[1431.54-1432.32] 那這個消金
[1432.62-1433.38] 的部分大概是在
[1433.64-1434.92] 34%左右
[1436.20-1441.58] 那我們看到這個右手邊右手邊是按幣別也就是用台幣來分的話
[1441.84-1442.86] 那這個也是
[1443.12-1444.14] 我們的
[1444.40-1445.92] 台幣的存款還是在
[1446.18-1447.98] 台幣的放款還是在主要的部分
[1448.48-1449.52] 幾乎都是9成
[1450.02-1450.54] 幾乎
[1450.80-1454.88] 那這個外幣的這個放款的部分基本上他大概都是在
[1455.14-1456.94] 9%到11%
[1457.20-1458.72] 在我們總放款的結構
[1458.98-1460.52] 大概是這樣子的一個比例
[1460.78-1462.06] 那我們看到去年呢
[1462.62-1464.66] 去年整個來看的話我們總共
[1464.92-1467.22] 放款是增加了344億
[1467.48-1472.08] 那如果新台幣來看的話大概是增加了328億那這個佔比
[1472.60-1475.16] 增長的幅度大概有來到19.45
[1475.42-1476.96] 那如果外幣的話
[1477.20-1480.28] 他叫去年同期也增加了16億
[1480.54-1483.10] 那這個增長的幅度大概接近8%
[1483.60-1484.12] 那如果
[1484.38-1486.68] 這個外幣的放款如果換算成
[1486.94-1490.00] 元幣也就是說折合美金來看的話
[1490.26-1491.54] 這個的金額呢
[1491.54-1492.82] 大概相當於
[1493.34-1495.90] 美金6億5000萬左右
[1496.40-1498.46] 就在這個附近上上下下
[1498.96-1502.80] 那現在最新的數字大概是6億6千萬
