[0.00-5.64] 好 两点整
[5.64-11.52] 感谢普通 投资人 法人 媒体朋友
[11.52-15.56] 百忙中参加公司今年第一次的法说会
[166.48-168.28] 在2024年
[168.28-172.12] 就是去年我们公司成立至65周年
[172.12-175.18] 我们积极迈向自然永续
[175.18-178.78] 向净零制纸的目标来前进
[178.82-181.90] 我们再看一下下一页
[181.90-185.98] 下一页报告就是我们的产能状况
[185.98-188.04] 整个集团的产能
[188.04-189.32] 我们的工业用纸
[189.32-190.34] 总共有
[190.34-192.64] 238万公吨
[192.64-194.70] 这里面包含越南有
[194.70-197.00] 70万公吨年产量
[197.00-199.82] 加值有7.2万公吨
[199.82-202.12] 白卡子部分我们有
[202.12-204.16] 年产量是5万公吨
[204.16-208.52] 纸漆的部分包含中国和越南总共
[208.82-216.76] 我们有19.19亿米平方
[216.76-218.80] 财务资讯我们来看一下
[218.80-221.88] 这是我们的投资的架构
[221.88-223.66] 包括我们在
[223.66-225.46] 大陆的部分
[225.46-227.76] 大陆还有东南亚的部分
[227.76-229.82] 东南亚部分的投资状况
[229.82-235.44] 请参阅一下
[235.44-238.78] 这是我们历年来的公司的净纸和
[238.82-240.62] EPS的趋势
[240.62-244.46] 我们可以看得出来从2014年我们公司净纸中是
[244.46-247.02] 7.45元一直提升到
[247.02-250.34] 2024年的26.65
[250.34-253.66] 这个是我们的净纸是逐年有成长
[253.66-256.74] 当然我们的EPS的部分美股盈盈的部分
[256.74-259.56] 会受到整体经济的环境的影响
[259.56-262.12] 及市场的因素而有所拖动
[262.12-264.94] 今年的我们的EPS是
[264.94-266.22] 0.55
[266.22-267.24] 比
[267.24-268.78] 去年的0.83
[268.82-270.10] 稍微低一点
[270.10-272.40] 下一张
[272.40-277.26] 这张是我们的2024年的合并损益表的部分
[277.26-279.58] 我们营收的部分是
[279.58-281.88] 451.78亿元
[281.88-287.00] 比去年同期我们是增多的营业额有增加30.13亿元
[287.00-290.06] 增加的幅度大概7.2%
[290.06-294.42] 毛利的部分有73.76亿元
[294.42-298.78] 比去年同期我们是衰退是减少了2.93亿元
[298.78-301.34] 减少的幅度大概是3.8%
[301.34-302.36] 所以毛利率
[302.36-307.48] 毛利率会从原来的18.2%降到16.3%
[307.48-310.56] 毛利率是下跌了1.9%
[310.56-315.68] 那营业金利的部分营业金从去年的19.88亿元
[315.68-316.70] 变成今年的
[316.70-318.24] 15.44亿元
[318.24-321.06] 我们也是衰退了22.3%
[321.06-326.18] 那营业金利率的部分也从去年的4.7%降到3.4%
[326.18-328.22] 降到1.3%
[328.22-330.26] 那我们的
[330.26-331.80] 营业外的支出的
[331.80-333.86] 业外支出的部分
[333.86-335.90] 总共有
[335.90-337.94] 5.69亿元
[337.94-339.48] 比去年我们大概
[339.48-344.34] 费用是少掉的0.78亿元主要少掉的是汇率的因素
[344.34-345.38] 汇率
[345.38-350.24] 比去年比2023年我们的汇率的损失是少一点
[350.24-353.06] 那在本期金利的部分我们去年
[353.06-357.14] 我们去年是9.33亿元今年是6.57亿元
[357.14-359.44] 我们衰退了29.6%
[359.44-363.28] 所以我们的存益率从2.2%降到1.5%
[363.28-367.38] EPS也从0.83元一股变成0.55元
[367.38-369.68] 减少的一股是0.28元
[369.68-371.74] 再看一下下一张
[371.74-373.02] 这张在
[373.02-375.06] 说明的是我们的营业额的
[375.06-376.08] 营业额的
[376.08-379.16] 组成我们合并营收在2023年
[379.16-382.48] 我们是台币是421.7亿
[382.48-387.10] 在2024年的部分我们的合并营收是451.8亿
[387.10-390.68] 我们先看左边这边的区域别的部分
[390.68-394.52] 我们在2024年的部分我们在台湾的部分是
[394.52-397.60] 我们的营业额是64.8%
[397.60-399.64] 站整体来看
[399.64-400.66] 那在
[400.66-405.02] 中国的部分就是中控的部分大概是3.1%
[405.02-407.32] 越南是22.1%
[407.32-409.88] 那我们如果从2021年的往
[409.88-411.42] 往右边来看的话
[411.42-416.02] 2021年的话我们的在台湾的部分是在69.8%
[416.02-417.06] 将近的部分
[417.10-418.12] 是在3.7%
[418.12-418.90] 但是因为
[418.90-420.42] 越南的营业额
[420.42-422.22] 持续在成长
[422.22-425.04] 所以说我们这边的百分比就降下来
[425.04-429.64] 所以越南也从15.3%提升到22.1%
[429.64-430.66] 这个是在
[430.66-433.48] 以区域别的角度来看
[433.48-436.04] 如果看右边的部分我们看产业别的部分
[436.04-437.84] 产品别的部分
[437.84-440.40] 那在2024年我们
[440.40-443.98] 公子的部分 纸板的部分是占33%
[443.98-446.80] 那纸器部分占了51%
[446.80-450.12] 那纸张的部分占了9.9%
[450.12-452.44] 其他部分占6.1%
[452.44-453.96] 那其实这个
[453.96-457.80] 百分比跟以往大概是差不多
[457.80-460.36] 接下来
[460.36-462.42] 这个是在报告我们的
[462.42-463.96] 鼓励政策的部分
[463.96-465.48] 我们的鼓励政策
[465.48-466.26] 那
[466.26-469.08] 公司是每年都配发现金鼓励
[469.08-470.60] 配发现金鼓励
[470.60-474.70] 但今年的2024年我们是配发现金鼓励是
[474.70-475.98] 0.45
[475.98-476.76] 0.45元
[476.80-480.90] 那如果以我们的EPS的0.55元来看的话
[480.90-485.00] 其实我们的配发率已经达到82%
[485.00-487.80] 那如果以最近的那个
[487.80-491.64] 价格来看我们的殖利率应该也是有达到2%以上
[491.64-493.44] 殖利率
[493.44-496.00] 下面来看
[496.00-503.68] 我们的报告永续策略发展的部分
[503.68-505.22] 这张是在报告
[505.22-506.76] SMART
[506.76-509.06] 我们五大智能的策略
[509.06-512.40] 阵容领先导入智能产销
[512.40-515.46] 以数位资源优化管理成效
[515.46-519.56] 来创造减碳效益和客户满意度
[519.56-524.42] 并藉此开创全台最大的再生循环商谋
[524.42-525.44] 透过
[525.44-530.82] 低碳产品每年贡献减碳达963万公吨
[530.82-534.66] 那我们来看一下这个指标2024年的成果
[534.66-536.72] 那我们在温室气体排放部分
[536.72-541.32] 我们是减了9.38个%
[541.32-545.42] 那回收值利用率的部分也达到95.1%
[545.42-550.04] 那废弃物的资源化部分也达到97.8%
[550.04-552.60] 那供质单位的产品用水量
[552.60-555.66] 我们也减少了15%
[555.66-560.28] 那我们替代燃料率的部分也达到18.63%
[560.28-563.86] 其实我们的成果是非常的好
[563.86-565.64] 我们来看下一张
[566.72-570.04] 这张是在报告我们造纸业的
[570.04-574.40] 造纸业的AI领航
[574.40-577.48] 那在AI的领域上
[577.48-582.08] 我们再先布局智慧智能管理提升低碳
[582.08-583.36] 营运的绩效
[583.36-586.18] 这种藉由AI的技术
[586.18-588.74] 全面推动智慧制造
[588.74-592.84] 实现制造管理与销售的高效整合
[592.84-595.90] 重视能源的管理
[595.90-597.94] 持续提升数位韧性
[597.94-601.78] 未来阵容将持续透过智能化的技术
[601.78-604.86] 驱动我们产销流程优化
[604.86-606.66] 推进低碳转型
[606.66-609.22] 以实现绿色永续的发展
[609.22-613.30] 这个是我们这一张的说明
[613.30-615.62] 我的报告到此结束
[615.62-619.46] 那我们现在把时间交给董经理
[619.46-620.98] 好的
[620.98-623.30] 各位股东投资人华人代表
[623.30-625.86] 以及各位在座的媒体朋友
[625.86-628.68] 我们大家午安大家好
[628.68-632.52] 那么再次谢谢大家白忙中参加政龙公司的
[632.52-634.82] 2025年第一次的法车会
[634.82-638.14] 那么当然谢谢华人人侯总
[638.14-643.02] 那么刚刚已经就政龙公司2024年
[643.02-644.80] 年度的整体经营
[644.80-647.62] 永续发展的各项的路径跟概况
[647.62-650.44] 那么也跟各位做一个说明
[650.44-653.26] 那么在进入Q&A讨论以前
[653.26-655.82] 我想先就几个重要的面向
[655.86-659.96] 再跟大家补充来分享
[659.96-660.72] 那么
[660.72-662.26] 就2024年
[662.26-663.28] 那么
[663.28-665.84] 可以说是相当充满挑战的一年
[665.84-667.38] 那么随着全球
[667.38-670.20] 职业市场面临可以说供需
[670.20-672.76] 供过于求的这个现况
[672.76-673.78] 那么其实
[673.78-677.36] 整个的全球产能利用率大概低于80%
[677.36-680.70] 那么外加上国际的竞争局势的动荡
[680.70-683.26] 虽然促使了企业的营运成本
[683.26-685.04] 当然会持续承压
[685.04-685.82] 但是因为
[685.82-687.86] 在2024年
[687.86-688.90] 整个的
[688.90-691.46] 我们国内的整体的工业用纸
[691.46-692.48] 纸器市场
[692.48-694.02] 还是表现的
[694.02-695.54] 是平稳的
[695.54-696.58] 那么
[696.58-699.90] 在2024年整体公司的营运表现方面
[699.90-702.20] 除了刚刚何副总的报告以后
[702.20-705.28] 其实整体送货量是有成长的5.52%
[705.28-708.10] 那么营收大概有成长7.14%
[708.10-708.86] 那么
[708.86-709.88] 就针对
[709.88-710.66] 那么我
[710.66-713.72] 集团人各区的整营运状况
[713.72-714.74] 在这个地方也
[714.74-715.78] 补充说明一下
[715.82-717.86] 在台湾这一部分
[717.86-719.66] 内续与外销市场
[719.66-721.20] 当然不如一期
[721.20-722.74] 导致于
[722.74-725.54] 我们整体上造纸跟纸器的设备的
[725.54-727.60] 驾动力大概是80%上下
[727.60-729.38] 那么在海外部分
[729.38-730.66] 越南部分
[730.66-732.72] 那么尤其越南的
[732.72-734.50] 这个需求是在成长
[734.50-737.32] 供值整个设备的驾动力
[737.32-739.62] 大概96%以上
[739.62-742.44] 也就是说接近于满产前销
[742.44-743.72] 那么在纸器
[743.72-745.00] 设备方面
[745.00-745.78] 那么由于包括
[745.82-747.62] 高中的需求的增加状之下
[747.62-749.40] 设备的驾动力
[749.40-750.68] 也超过100%
[750.68-752.48] 那么达到116%
[752.48-753.76] 那么持续的
[753.76-755.54] 稳健发展成长
[755.54-757.08] 那么在中国大陆这一部分
[757.08-759.14] 因为大陆的经济
[759.14-760.42] 可以说是放缓
[760.42-763.22] 那么需求也相当低迷
[763.22-765.78] 当然液体这一部分是有点衰退的
[765.78-767.06] 那么受限于
[767.06-768.60] 2024年在
[768.60-771.16] 银物料物流能源
[771.16-772.44] 及人工成本
[772.44-773.98] 其实都在攀升的
[773.98-775.78] 在供需不平衡状
[775.82-776.58] 纸价
[776.58-777.62] 纸价的反应成本
[777.62-778.38] 其实
[778.38-779.66] 相当不容易
[779.66-781.70] 那么因此在获利
[781.70-782.98] 也比2023年
[782.98-784.26] 那么是衰退了
[784.26-785.80] 当然刚刚我们
[785.80-786.58] 我们的
[786.58-787.08] 发言人
[787.08-788.10] 已经
[788.10-789.14] 报告过的
[789.14-791.70] EPS是有衰退0.28
[791.70-793.22] 当然公司
[793.22-794.50] 那么前年
[794.50-796.04] 会积极应对
[796.04-797.32] 应用智慧工具
[797.32-798.60] 强化内部的管理
[798.60-799.88] 提升效力
[799.88-802.18] 从此对外持续跟客户
[802.18-802.96] 沟通
[802.96-804.74] 建立紧密的客户关系
[804.74-805.52] 所以整体的
[805.52-806.28] 营收
[806.28-808.08] 那么
[808.08-810.90] 是有一些微幅的成长的
[810.90-812.94] 那么咱们2025年
[812.94-814.22] 那虽然
[814.22-815.76] 可以说美国的
[815.76-817.30] 新政
[817.30-818.06] 关税的
[818.06-820.62] 这个
[820.62-821.64] 这个
[821.64-822.42] 政策
[822.42-823.44] 那么
[823.44-824.98] 显然会导致
[824.98-826.76] 那么整个全程供应链的
[826.76-828.04] 重新洗牌了
[828.04-829.58] 那也加上中国的
[829.58-830.86] 内需不准
[830.86-832.40] 所以等等的
[832.40-833.42] 诸多
[833.42-834.96] 不确定因素的影响
[834.96-836.24] 那么上半年景气
[836.24-838.54] 实际上能感不很明朗
[838.54-839.06] 但是
[839.06-840.34] 在越南方面
[840.34-842.12] 因为电子行业订单的
[842.12-843.40] 持续转入
[843.40-845.20] 包装的需求
[845.20-847.24] 那么渴望有成长的空间
[847.24-848.28] 因此
[848.28-849.04] 期待
[849.04-851.86] 在经营环境逐步改善的潜力之下
[851.86-853.14] 对下半年
[853.14-855.18] 的景气我们是保持了一个
[855.18-856.72] 审慎乐观的态度
[856.72-857.24] 当然
[857.24-859.02] 整个公司全年
[859.02-861.58] 会在经营管理上面会更加
[861.58-862.86] 精益求精
[862.86-864.14] 那么提升
[864.14-864.92] 整体的
[864.92-865.68] 竞争力
[865.68-867.74] 那么客户不确定的大环境
[867.74-869.52] 所带来的影响
[869.52-871.84] 那么另外在ESG方面
[871.84-873.62] 2024年
[873.62-876.70] 在正龙集团这一部分的温室气体排放量
[876.70-877.46] 比去年
[877.46-878.74] 一年同期
[878.74-880.80] 是减少了5.1%
[880.80-881.56] 那再
[881.56-883.10] 比
[883.10-887.44] 较2018年的基准年是减少了9.3%
[887.44-890.00] 当然我们也同时会延续
[890.00-891.28] 2024年
[891.28-894.36] 正龙集团在AI应用延年的相关布局
[894.36-894.88] 会继续
[894.92-895.68] 交易
[895.68-896.46] 子机
[896.46-898.00] 跟气垫共生的
[898.00-899.28] 正化
[899.28-901.06] 同时会持续
[901.06-902.34] 发展再生能源
[902.34-903.12] 那么
[903.12-903.88] 推动
[903.88-906.70] 废水支援能源化等等的
[906.70-907.98] 这个建设
[907.98-909.76] 进而能够提升
[909.76-911.04] 公司永续在
[911.04-911.56] 制造
[912.58-913.36] 的制造力
[914.38-915.40] 并且在
[915.40-916.94] 以纸张为本的
[916.94-920.00] 自然永续解放的准则之下
[920.00-921.80] 精准掌握低碳商机
[921.80-922.56] 商机
[923.84-924.36] 开发
[924.36-925.90] 环保解决的方案
[925.90-927.94] 以此强化绿色的竞争力
[927.94-929.48] 同时
[929.48-931.78] 会加强这个技术年化
[931.78-932.56] 以满足
[932.56-934.34] 客户及市场的需要
[934.34-935.62] 具体来讲
[935.62-936.90] 在海内外
[936.90-939.20] 布局跟创新方面
[939.20-942.28] 我想分成在台湾国内这一部分的话
[942.28-944.84] 有几项的这样的一个投资
[944.84-945.86] 第一点是
[945.86-947.14] 在后里的
[947.14-948.16] 早期
[948.16-951.24] 绿色花店 绿店这一部分即将
[951.24-952.26] 投产
[952.26-954.32] 那么这是成绩大延的
[954.36-955.12] 延长
[955.12-956.66] 废水资源
[956.66-957.94] 处理的能源化
[957.94-960.50] 也就是早期花店成功的经验
[960.50-961.78] 那么在
[961.78-963.06] 后里场
[963.06-964.60] 的第2套
[964.60-965.36] 废水
[965.36-967.16] 处理的能源化方案
[967.16-969.46] 早期花店这一部分的落实
[969.46-970.48] 那第2点
[970.48-972.28] 因应碳费的增收
[972.28-974.84] 后里场的增值功能
[974.84-976.38] 持续在推动之中
[976.38-977.92] 这是将有助于
[977.92-978.94] 有助于
[978.94-980.22] 减碳
[980.22-982.52] 减煤的双重效益
[982.52-984.32] 整个提升我们能源的经验
[984.36-985.12] 成成立
[985.12-986.16] 第三
[986.16-987.68] 因应工程
[987.68-990.76] 工体资安 智慧制造人才的培育
[990.76-991.52] 我们
[991.52-993.58] 也为供应链伙伴们
[993.58-994.86] 那么以
[994.86-996.40] 产花署合作
[996.40-997.68] 举办了正融
[997.68-1000.48] iPACE的工控资安技
[1000.48-1002.80] 智慧制造供应链专班
[1002.80-1004.08] 培育
[1004.08-1006.38] 职业的资安跟智慧制造的
[1006.38-1007.66] 力领人才
[1007.66-1009.70] 那么在海外的越南方面
[1009.70-1012.26] 在造纸 平壤造纸这一部分的话
[1012.26-1013.28] 那么
[1013.28-1014.32] 年产40万工程
[1014.36-1016.66] 新闻的工用纸的第3部
[1016.66-1017.68] 炒纸机能
[1017.68-1021.28] 也正在顺利进行之中
[1021.28-1023.58] 那么第2个 在AI的智慧化
[1023.58-1024.60] 的这个
[1024.60-1025.62] 策略之下
[1025.62-1028.18] 平壤造纸的气垫系统
[1028.18-1030.24] 也前面导入AI化的
[1030.24-1032.54] 智慧制造系统
[1032.54-1033.56] 那么在
[1033.56-1035.10] 纸器方面
[1035.10-1037.40] 那么今年在冰极
[1037.40-1039.96] 纸器厂这边会增设一部护理机
[1039.96-1040.98] 以增加
[1040.98-1042.52] 纸器的产能
[1042.52-1043.28] 配合
[1043.28-1043.92] 包装
[1043.92-1046.92] 市场的需求成长这样需求
[1046.92-1048.54] 那么以上呢
[1048.54-1050.88] 赵紫紫气在越南的投资啊
[1050.88-1053.70] 渴望在既有的稳健基础之下
[1053.70-1055.82] 提升了整体的竞争力
[1055.82-1058.78] 并且强化满足客户的服务
[1058.78-1061.84] 扩大市场的拓展跟成长
[1061.84-1063.50] 那么以上呢
[1063.50-1065.66] 我想做这样的一个补充
[1065.66-1068.62] 那么最后敬祝大家身体健康
[1068.62-1070.00] 事业蒸蒸日上
[1070.00-1070.52] 谢谢
[1070.52-1073.58] 那么我们现在就要开始了
[1073.58-1075.66] 近日正式的Q&A
[1075.66-1077.34] 那么这个议程
[1077.34-1079.28] 那么请各位投资人
[1079.28-1080.30] 各位法人代表
[1080.30-1083.16] 各位股东也那么踊跃提出来
[1083.16-1084.98] 你们的问题
[1084.98-1086.02] 谢谢
[1086.02-1088.70] 提问时间现在开始
[1088.70-1090.52] 如果您需要提问
[1090.52-1092.98] 请在您的装置按下举手键
[1092.98-1094.96] 在我们开放发言后
[1094.96-1096.92] 再请您按下麦克风键
[1096.92-1098.74] 并开启您的镜头
[1103.58-1106.14] 请问有投资朋友需要提问吗
[1106.14-1114.14] 请问有投资朋友需要提问吗
[1114.14-1117.58] 有一位Sam陈先生
[1117.58-1118.58] 他提问说
[1118.58-1125.30] 请问2025年第一季生产原料成本涨跌的情况
[1125.30-1128.46] 产品售价及毛利影响及趋势
[1128.46-1131.46] 产品售价及毛利影响及趋势
[1131.46-1132.26] 等一下
[1132.26-1133.42] 等一下
[1133.58-1134.02] 好
[1134.02-1138.06] 他是第一季的生产原料成本涨跌情况
[1138.06-1142.44] 产品售价毛利影响及趋势
[1142.44-1144.44] 那应该这样讲
[1144.44-1148.00] 第一季的状况还没有完全出来
[1148.00-1150.30] 但是我们可以看得出来
[1150.30-1153.12] 第一季是我们因为有过年
[1153.12-1155.96] 工作天数是比较少
[1155.96-1159.76] 但是我们的售价看起来是跟吃品的
[1159.76-1162.44] 跟去年年底一样
[1162.44-1163.56] 大概都是吃品的
[1163.58-1169.22] 原料大概也是吃品
[1169.22-1172.02] 目前我们唯一比较在意的就是说
[1172.02-1174.86] 我们的因为工作天数比较少
[1174.86-1176.02] 工作比较少
[1176.02-1179.70] 所以我们的会影响到我们的毛利
[1179.70-1181.46] 目前的状况大概是这样
[1181.46-1185.46] 因为这第一季的状况还没有完全出来
[1185.46-1187.66] 所以目前没有办法跟你说明
[1187.66-1192.38] 好
[1193.58-1198.56] 个日子进展香港这两个23小时前
[1198.56-1200.58] 你说过的
[1200.58-1202.74] 去保值数学
[1203.20-1204.40] eti
[1204.40-1205.02] that
[1205.02-1206.10] 一倍
[1206.10-1207.56] 这个
[1207.56-1208.40] 就是
[1223.58-1253.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1253.58-1283.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1283.58-1313.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1313.58-1343.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1343.58-1373.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1373.58-1403.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1403.58-1425.08] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1433.58-1463.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1463.58-1493.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1493.58-1523.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1523.58-1553.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1553.58-1583.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1583.58-1613.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1613.58-1643.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1643.58-1673.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1673.58-1703.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1703.58-1733.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1733.58-1763.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1763.58-1793.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1793.58-1823.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1823.58-1848.28] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1853.58-1883.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1883.58-1913.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1913.58-1943.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1943.58-1973.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1973.58-2003.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2003.58-2033.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2033.58-2062.08] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2063.58-2093.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2093.58-2123.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2123.58-2153.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2153.58-2183.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2183.58-2213.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2213.58-2243.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2243.58-2273.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2273.58-2303.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2303.58-2333.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2333.58-2363.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2363.58-2366.10] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2393.58-2423.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2423.58-2453.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2453.58-2483.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2483.58-2513.56] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
