[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 订阅 转发 打赏支持明镜与点点栏目
[150.00-179.98] 订阅 转发 打赏支持明镜与点点栏目
[180.00-209.98] 订阅 转发 打赏支持明镜与点点栏目
[210.00-212.00] 订阅 转发 打赏支持明镜与点点栏目
[212.00-216.00] 订阅 转发 打赏支持明镜与点点栏目
[216.00-220.00] 订阅 转发 打赏支持明椿izing 后期股段
[220.00-226.04] 订阅 转发 打赏支持明镜与点点栏目
[226.04-229.80] 订阅 转发 打赏支持明镜与点点栏目
[229.80-233.92] 订阅 转发 打赏支持明镜与点点栏目
[233.92-237.00] 订阅 转发 打赏支持明�Type 人和愛美社区
[237.00-237.90] 订阅 转发 打赏支持明镜与点点栏目
[237.90-242.04] 在前瞻法規創下了歷史新高的一個局面
[620.76-622.72] 但不是奧運
[622.72-623.76] 因為我公司好難 Kranken
[623.76-624.96] 保险里面最高的
[624.96-625.66] 大家都知道
[625.66-628.60] 我们的自有资本比率大概要49.3%
[629.06-631.26] 那这个比率有多高
[631.86-633.26] 保险法的规定是3%
[633.96-635.96] 就是受险公司如果低于3%
[635.96-637.26] 就会被主管机关列管
[637.26-639.22] 然后比那个资本人
[639.22-640.60] 我们公司是49%
[640.86-643.42] 或柴嫌疑反而跟受险不太一样
[643.90-645.42] 那RBC我们从
[645.80-646.76] 去年是900
[646.76-648.40] 好像去年年终是900多
[648.40-650.26] 然后到年底变成720
[650.50-652.26] 是我们公司有产生什么重大的
[652.26-653.76] 经营业务的改变吗
[653.76-654.56] 没有
[654.96-655.56] 只是
[655.56-657.76] 主管机关在RBC的记题标准上
[657.76-659.06] 做了很大的更动
[659.46-661.06] 他把属于就是
[661.06-664.16] 住伙业务员的天灾风险的系数放大
[665.40-667.86] 所以我们RBC从1000掉到
[667.86-669.86] 从900多掉到700多
[670.12-671.06] 那我再重申一下
[671.06-672.46] 这不是只有台产会命名
[672.60-673.86] 所有的保险公司会命名
[673.86-674.76] 大家就看到
[674.76-677.96] 如果你看去年中的RBC跟去年底RBC
[677.96-679.96] 所有的成险公司在这边都会有个gap
[681.86-682.16] 不是
[682.16-685.06] 这不是属于我台产在业务或
[685.26-689.06] 或财务结构上的太大的一个变化
[690.46-693.46] 好那这是去年一个营运状况
[693.56-694.86] 基本上
[695.06-698.16] 公司还是走在一个成长的一个轨道上面
[698.16-701.36] 不管在营收或者是盈余方面
[701.36-703.16] 都只能在一个成长的轨道
[703.16-706.66] 而且来到一个历史新高的一个状态
[708.56-710.36] 好我们看一下我们资产负债表
[711.26-711.76] 其实
[711.76-718.06] 我们看我们资产总额大概是249亿
[718.06-720.16] 大家可以看到在过去这两年
[720.16-723.16] 我们的资产总额增加了快30亿
[723.16-725.76] 过去5年我们资产总额增加快50亿
[725.76-728.06] 这有几个方面
[728.06-730.26] 第一个是我们本身获利逐渐在增长
[730.26-734.26] 就是我们把盈余反映在我们的资产配置上面
[734.26-738.46] 另外一个就是我们投资也受惠于这几年金融环境的
[738.46-740.36] 尤其是股票市场
[740.36-740.86] 连续几年来我们投资了很多货币市场
[740.86-745.66] 连续几年当成让我们金融品质资产的市值不断的往上升
[745.66-751.66] 我这比例的看到这种成长的机率的态势跟过去几年是比较不一样的
[751.66-754.36] 有一种土匪某金融的状态
[754.36-757.26] 好那我们的现金比例还是很高
[757.26-759.86] 来到37.78亿
[759.86-761.86] 比去年大概增加了6亿
[761.86-763.46] 这不是我投资不积极
[763.46-765.26] 实在是钱进来的太快
[765.26-767.26] 我很多资金还有待去花
[767.26-774.46] 然后另外我们在因为指数不断攀高
[774.46-778.26] 我们在股权部位上有做一些负利了解的处分
[778.26-781.26] 那按照会计准则
[781.26-785.26] 我大部分的股票部位都放在OCI
[785.26-789.26] OCI的意思是说他评价的利益不会进到我的损益表
[789.26-792.26] 他处分的利益也不会进到我损益表
[792.26-795.26] 可我处分的利益可以拿来作为配息的依据
[795.26-796.26] 就是说
[797.26-798.26] 在什么都不考虑一下
[798.26-800.26] 我的配息可以高过我的获利金
[800.26-803.26] 如果我在OCI上面有处分获利的
[803.26-805.26] 所以我们在这一块有一些处分获利
[805.26-808.26] 也会作为我们配息的依据
[808.26-810.26] 配息的来源不是依据
[810.26-813.26] 那我们的投资大家也看到
[813.26-819.26] 我们的投资从两年前的136亿一路增长到163亿
[819.26-821.26] 这里面有新增部位的投资
[821.26-825.26] 也有既有部位的一个增值
[825.26-827.26] 因为财报是以市值来看的
[827.26-830.26] 市价认列的一个方式
[830.26-832.26] 好
[832.26-834.26] 那在保险合约之上大家也看到
[834.26-837.26] 在保险合约之上从22亿到29亿
[837.26-840.26] 这就反映我们业务的成长
[840.26-843.26] 就是我有在保险的业务收入
[843.26-849.26] 我才有在保险资产的认列
[849.26-853.26] 那在保险资产就不是我投资收益可以运用的
[853.26-855.26] 那已经被列出了
[855.26-857.26] 就是我钱已经移交给在保险的货币了
[857.26-860.26] 这笔钱的资产就不能来做投资运用
[860.26-863.26] 就算是有点像是分离账的概念
[863.26-865.26] 好
[865.26-868.26] 那可以看到我们业务成长也是蛮明确的
[868.26-869.26] 蛮明显的
[869.26-873.26] 光是在在保业务上面就从22亿增长到29亿
[873.26-875.26] 那呼应到我过去讲
[875.26-879.26] 这两年都是我们商业显种增长的比较明显
[879.26-883.26] 商业显种依赖在保的程度非常的高
[883.26-884.26] 好
[884.26-885.26] 好
[885.26-890.26] 就是看在保的合约资产就可以知道
[890.26-895.26] 就可以大概粗略的看一下我们公司的一个业务增长的一个幅度
[895.26-896.26] 好
[896.26-898.26] 那保险负债也是
[898.26-902.26] 保险负债也是业务增长的一个呈现
[902.26-906.26] 我们大概两年前我们的保险负债大概92.81亿
[906.26-909.26] 到了去年已经来到108.25亿
[909.26-911.26] 也增长了20亿
[911.26-914.26] 就是我因为业务而产生的负债增长了接近20亿
[914.26-915.26] 好
[915.26-918.26] 那我业务的增长应该要超过20亿
[918.26-919.26] 好
[919.26-923.26] 那我们的总负债来到126.37亿
[923.26-926.26] 那股本是我们股本都没有变
[926.26-928.26] 36.22亿
[928.26-931.26] 再提一下我们股本是同业有限最大
[931.26-932.26] 对
[932.26-935.26] 我也不知道为什么会这么大股本
[935.26-939.26] 所以我们在EPS上比较吃亏一点点
[939.26-941.26] 所以我们的获利能力
[941.26-944.26] 如果我们的获利率保险业务获利率或投资报酬率不见得很高
[944.26-949.26] 不见得比其他公司来的少或小
[949.26-952.26] 可是我们在反映在EPS上面
[952.26-954.26] 就因为我们比较大的股本
[954.26-957.26] 你们讲我居然那是我们自己挑的股本
[957.26-959.26] 就是会比较没有办法做
[959.26-962.26] 只看EPS的比较会对我们公司会比较低估一点
[962.26-963.26] 好
[963.26-967.26] 那保留盈余我们有80亿
[967.26-973.26] 这也是我们就看两年前是64.76亿到现在已经81亿了
[973.26-975.26] 我们有几个部分
[975.26-979.26] 一个就是我每年要提的那个什么保健云与公积
[979.26-981.26] 另外还有一个就是特别准备公积
[981.26-983.26] 因为业务增长了才生成这边云
[983.26-985.26] 所以我赚的钱有一半是留在这上面
[985.26-987.26] 过去几十年我赚的钱
[987.26-990.26] 每年赚的钱要有一半留在这上面
[990.26-992.26] 另外一半配给大家
[992.26-994.26] 这样子
[994.26-998.26] 那其他权益大部分就是金融资产的溢价
[998.26-1002.26] 就是我现在所有的金融资产
[1002.26-1004.26] 以市价跟我的成本
[1004.26-1006.26] 我大概还获利五亿多
[1006.26-1008.26] 类似这样的概念
[1008.26-1010.26] 对方案股其他各种
[1010.26-1012.26] 所以我活在整个权益
[1012.26-1013.26] 你看我的权益嘛
[1013.26-1016.26] 我从前年的9.45到去年111亿
[1016.26-1018.26] 再到今年的120亿而已
[1018.26-1021.26] 我股东权益以每年近10亿的速度在增长
[1021.26-1024.26] 好
[1024.26-1026.26] 那看美股净值更明显了
[1026.26-1030.26] 两年前美股净值也只有27块
[1030.26-1031.26] 好
[1031.26-1032.26] 好
[1032.26-1035.26] 那现在到去年底是30.89
[1035.26-1037.26] 到前年底是30.89
[1037.26-1040.26] 到去年底是33.88亿
[1040.26-1043.26] 也就是说我的净值已经来到接近34块钱
[1046.26-1049.26] 不过我们都是股价一直低于我们的净值
[1050.26-1051.26] 没关系
[1052.26-1054.26] 只要净值是往上走
[1054.26-1056.26] 股价一定会跟着往上走
[1056.26-1057.26] 我是这样认为
[1059.26-1060.26] 好
[1060.26-1061.26] 那就是我资产负债表的一个
[1061.26-1063.26] 简单的一个报告
[1063.26-1066.26] 那接下来我们来看实际议表的部分
[1066.26-1067.26] 好
[1067.26-1069.26] 我刚刚报告过
[1069.26-1072.26] 我的千单宝贝收入来到88.73亿
[1072.26-1075.26] 比去年同期增长了6.7%
[1075.26-1080.26] 滞留满期的宝贝大概61.5亿
[1080.26-1083.26] 比去年的59亿也增长了4.3%
[1083.26-1085.26] 这两个之间的差额
[1085.26-1088.26] 你可以简单的算成就是我们的债宝收入
[1088.26-1089.26] 所有千单宝贝控制的收入
[1089.26-1092.26] 所有千单宝贝扣掉债宝收入
[1092.26-1094.26] 就是我自己留下来的宝贝
[1094.26-1096.26] 类似这样的概念
[1097.26-1099.26] 你这样子就可以换稍微换算
[1099.26-1102.26] 我们的那个债宝分数比率大概有多少
[1103.26-1106.26] 那我的净投资收益
[1106.26-1107.26] 我先报告一下我们净投资
[1107.26-1109.26] 净投资去年是7.71亿
[1109.26-1111.26] 比去年的4.89亿
[1111.26-1113.26] 成长了接近6成
[1113.26-1114.26] 刚刚报告过
[1114.26-1115.26] 我们回到下面这个表来看
[1115.26-1118.26] 我各个相似的一个成长的情形
[1118.26-1119.26] 好
[1119.26-1120.26] 我的利息收入
[1120.26-1121.26] 我前年的利息收入
[1121.26-1122.26] 这利息收入包括两个
[1122.26-1123.26] 一个是存款
[1123.26-1126.26] 一个是债券的债息收入
[1126.26-1129.26] 我在前年的债息收入是2.11亿元
[1129.26-1131.26] 到去年一变成2.66亿
[1131.26-1133.26] 我就增长了20
[1133.26-1134.26] 接近26%
[1134.26-1135.26] 那这有两个部分
[1135.26-1137.26] 存款的部分是因为
[1137.26-1138.26] 香港在升息
[1138.26-1141.26] 我发现存款的利息就会增加
[1141.26-1142.26] 可是主力却是在
[1142.26-1145.26] 主力会是在我债券部位的增值
[1145.26-1148.26] 而新产生的一个现金流量
[1148.26-1150.26] 债息的一个现金流量
[1150.26-1156.26] 这边大概会增长大概26%
[1156.26-1158.26] 那因为我去年还在买债券
[1158.26-1161.26] 所以预估今年的这个金额
[1161.26-1163.26] 还会在往上成长
[1163.26-1164.26] 因为去年买的债券
[1164.26-1166.26] 有些可能只有半年
[1166.26-1169.26] 或者是几个月的一个季息收入
[1169.26-1170.26] 到今年它应该是满年
[1170.26-1171.26] 满年的一个季息收入
[1171.26-1174.26] 所以这个金额在
[1174.26-1177.26] 在今年应该会持续的生长
[1177.26-1179.26] 那整个投资水利里面
[1179.26-1180.26] 我敢保证也只有这个
[1180.26-1181.26] 其他我都不敢保证
[1181.26-1183.26] 比如说股价会不会再涨
[1183.26-1184.26] 汇率会不会涨
[1184.26-1185.26] 这都不敢保证
[1185.26-1186.26] 可是我敢保证
[1186.26-1187.26] 这个金额会继续往上涨
[1187.26-1191.26] 那透过水利按公允价值衡量的这个
[1191.26-1194.26] 这个就是我如果股票放在
[1194.26-1196.26] 那个PL部位
[1196.26-1198.26] 它上涨的利率就会进入这一块
[1198.26-1200.26] 那大家都知道
[1200.26-1201.26] 我把大部分的股票部位
[1201.26-1202.26] 都放到OCI去
[1202.26-1205.26] 所以我PL上面数字就没那么大了
[1205.26-1207.26] 那我们就来看看
[1207.26-1208.26] 我们在处分部位的时候
[1208.26-1211.26] 也会以PL为优先
[1211.26-1212.26] 所以这个部位
[1212.26-1213.26] 这比起去
[1213.26-1214.26] 虽然它股价指数就涨
[1214.26-1216.26] 可是我部位变少了
[1216.26-1218.26] 所以来自这一块的这个
[1218.26-1220.26] 评价或增值的利率就变少了
[1220.26-1222.26] 那相反的你可以来看我的这个
[1222.26-1224.26] 透过其他公允
[1224.26-1226.26] 透过其他中和水平按公允价值衡量
[1226.26-1227.26] 是已实现的
[1227.26-1229.26] 这一块大部分就是我刚刚讲的
[1229.26-1232.26] 所谓的股利的收入
[1232.26-1236.26] OCI的部位评价上涨不净损益表
[1236.26-1237.26] 只放在净值的增加
[1237.26-1240.26] 可是它所分配的股利会进入损益表
[1240.26-1244.26] 那我前年从股利只零到1.2亿
[1244.26-1246.26] 我去年在股利零到2.1亿
[1246.26-1249.26] 这个有两个部分
[1249.26-1253.26] 一个是我们投资的上市柜公司的股票
[1253.26-1254.26] 因为获利增长
[1254.26-1256.26] 它的股利本来就有增加
[1256.26-1261.26] 另外一个我透过创投转投资的这个收益
[1261.26-1264.26] 因为我透过创投投资一些股票
[1264.26-1266.26] 那这些股票在行情好的时候
[1266.26-1267.26] 它实现了很多利益
[1267.26-1270.26] 那创投就用股利的方式回馈给我们
[1270.26-1271.26] 所以它算是间接
[1271.26-1274.26] 可是还是受加权指数
[1274.26-1276.26] 或者是整体市场的影响
[1276.26-1277.26] 所以我把它放在一起
[1277.26-1279.26] 那这股利大概有超过
[1279.26-1284.26] 就比同一年增加了9000多万
[1284.26-1286.26] 那群议法的部分也是一样
[1286.26-1288.26] 这是一个转投资
[1288.26-1290.26] 那它的评价方式
[1290.26-1294.26] 也是跟上市的加权指数会有联动
[1294.26-1296.26] 那在指数大涨的情况下
[1296.26-1299.26] 它来自于它的评价盈利也会增加
[1299.26-1301.26] 贵队收益刚刚我跟各位报告过
[1301.26-1304.26] 前年的汇率是不涨不跌
[1304.26-1307.26] 所以我有小幅的汇数
[1307.26-1311.26] 到去年台币贬了6.5%
[1311.26-1313.26] 那我十几亿的国外投资不为
[1313.26-1316.26] 就产生了接近一亿的一个贵队利益
[1316.26-1318.26] 会进了
[1318.26-1320.26] 投资性的不动产
[1320.26-1321.26] 这边我看到了
[1321.26-1323.26] 如果我没有储备利益
[1323.26-1325.26] 我整年的净租金收益
[1325.26-1329.26] 净租金收益约莫在1.4亿上下
[1329.26-1333.26] 那可是我维持这些物业的运作
[1333.26-1335.26] 我需要一些维护费用
[1335.26-1337.26] 包括税啊维修啊什么的
[1337.26-1341.26] 每一年大概有三千多万的一个维护费用
[1341.26-1344.26] 所以我每年的净投资的
[1344.26-1348.26] 净投资的租金收益应该在一亿上下
[1348.26-1350.26] 应该在接近一亿上下
[1350.26-1355.26] 那去年也是租金比较低
[1355.26-1357.26] 因为去年有个租业转换
[1357.26-1358.26] 所以有好几个月
[1358.26-1362.26] 有几个物业我有转收好几个月的租金
[1362.26-1364.26] 因为有租业的更动
[1364.26-1367.26] 那去年的话整个租金都是满租的状态
[1367.26-1369.26] 都是满租的状态
[1369.26-1372.26] 加上我把其中一个物业做了储备
[1372.26-1375.26] 大概会有两千多万的一个资本利益
[1375.26-1377.26] 所以我去年在不动产收益上面
[1377.26-1379.26] 也是一个比较明显的增长
[1379.26-1381.26] 不过我还是要强调
[1381.26-1383.26] 这是一次性的收益
[1383.26-1384.26] 储备不动产
[1384.26-1386.26] 都是一次性的收益
[1386.26-1388.26] 所以回过来看
[1388.26-1391.26] 经常性收益还是回到我们租金本业
[1391.26-1393.26] 那租金的话
[1393.26-1395.26] 因为现在也是一样
[1395.26-1397.26] 利率在上涨
[1397.26-1400.26] 那我就会反映在我们租金的调度上面
[1400.26-1402.26] 如果中间有
[1402.26-1404.26] 这几年中间有renew的情况下
[1404.26-1408.26] 我们都会适当反映我们的资金成本
[1410.26-1412.26] 那就是这个我刚刚报告过
[1412.26-1414.26] 为什么我们的净投资收益
[1414.26-1417.26] 会比去年来的成长
[1417.26-1418.26] 比起前年来的成长
[1418.26-1420.26] 不过前年其实是这几年
[1420.26-1422.26] 我们的投资收益比较低的
[1422.26-1423.26] 为什么
[1423.26-1424.26] 因为前年虽然股市也大涨
[1424.26-1425.26] 可是债券也大涨
[1425.26-1429.26] 所以你在债券上反而会有评价亏损
[1429.26-1434.26] 前年在债券上会有评价亏损
[1434.26-1435.26] 好
[1435.26-1437.26] 那我们的
[1437.26-1439.26] 好
[1439.26-1444.26] 那从这个保险跟赔款的几步就可以看出来
[1444.26-1447.26] 我保险业务利益会比去年下降
[1447.26-1448.26] 你可以看到吗
[1448.26-1451.26] 我业绩成我业绩值成长了6.7个%
[1451.26-1453.26] 我赔款增加了9.3%
[1453.26-1456.26] 所以我赔款的增加的幅度比我业绩成长
[1456.26-1461.26] 就代表我在保险业务上的获利是会下来
[1461.26-1465.26] 原因就不外乎刚刚讲几个天灾的问题
[1465.26-1468.26] 地震台风会造成的部分
[1468.26-1471.26] 那保险不在金变动也是一样
[1471.26-1473.26] 这个是准备金的记忌
[1473.26-1476.26] 也是一样会有
[1476.26-1479.26] 只要业务成长这个保险不在金变动就会跟着成长
[1479.26-1484.26] 佣金支出也是我们很大的一个支出项目
[1484.26-1489.26] 不过你可以看我们佣金支出比起我们的保费的成长还来的低
[1489.26-1492.26] 在费用管控下面我们有一定的一个功率
[1492.26-1496.26] 你看佣金收入跟营业费用大概成长率都在2.8%到2.4%
[1496.26-1500.26] 那你如果去match我们这个6.7到4.3的保费收入
[1500.26-1503.26] 所以我们在费用管控上还是有一些
[1503.26-1506.26] 有一些空间的改进
[1506.26-1510.26] 那整个税后成绩是13.79%运营
[1510.26-1513.26] 比起去年11.78%在生长17%
[1513.26-1517.26] 税后净利大概成长18.8%
[1517.26-1525.26] 那因为去年的这个投资损益成长的比较多一点
[1525.26-1528.26] 所以我们税率会比较低一点
[1528.26-1533.26] 投资收益里面
[1533.26-1536.26] 只有房租跟利息收入要磕税
[1536.26-1538.26] 资本利得跟平价收入不磕税
[1538.26-1541.26] 所以那一年只要我们投资收入比较高一点
[1541.26-1543.26] 我们税率就会比较低一点
[1543.26-1546.26] 反过来如果是本业赚的比较多投资赚的比较少
[1546.26-1547.26] 我们税率就会比较高
[1547.26-1549.26] 本业20%那个跑都跑不掉
[1549.26-1550.26] 那是固定的
[1552.26-1556.26] 我们公司这一年平均下来的税率大概
[1556.26-1558.26] 如果长期平均大概在15%剩下
[1558.26-1562.26] 看当年度的一个保险业务跟投资税率大概是15%剩下
[1563.26-1565.26] 那我们就分配了
[1565.26-1566.26] 好
[1566.26-1568.26] 那再来就是其他综合损益的部分
[1568.26-1570.26] 这其他综合损益就我刚讲的
[1570.26-1575.26] 我放在OCI的股票部位跟债券部位的平价
[1575.26-1579.26] 增加就是这个数字
[1579.26-1585.26] 所以我没有净损益表的平价利益增长有接近4亿元
[1585.26-1588.26] 这个没有净损益表
[1588.26-1590.26] 这也不包括我已经处分的
[1590.26-1592.26] 已经处分的也从这边剔除
[1593.26-1596.26] 所以各位可以看到我去年的净投资收益
[1596.26-1600.26] 其实来到接近11.7亿
[1600.26-1603.26] 净损益表只有7.7亿
[1603.26-1606.26] 我还有4亿放在OCI上面
[1606.26-1607.26] 好
[1607.26-1608.26] 这个是4亿
[1608.26-1611.26] 那去年前年有6.28亿
[1614.26-1615.26] 前年有6.28亿
[1615.26-1617.26] 所以这两年加起来
[1617.26-1622.26] 我的未实现的损益增加了快10亿
[1623.26-1633.26] 这就是我的净值跟盈余会有这么快的就是在这个部位
[1633.26-1634.26] 好
[1634.26-1639.26] 那以上这个是我损益表的一个简单的一个态势
[1639.26-1642.26] 那我们再看看下一个
[1642.26-1644.26] 我们看一下宝贝收入
[1644.26-1647.26] 其实过去台产的
[1647.26-1653.26] 如果大家有follow台产过去的就是一个盈余导向的
[1653.26-1656.26] 非常稳健的一个成果
[1656.26-1659.26] 包括在我们的业绩反应的情况上面
[1659.26-1664.26] 我们过去几年的业绩成长率大概都接近3-5%
[1664.26-1665.26] 这几年比较不一样
[1665.26-1667.26] 这几年受惠于市场
[1667.26-1669.26] 防疫险之后有一个很大的转变
[1669.26-1672.26] 因为我们是最早从防疫险脱身的
