[0.00-0.80] 大家好
[700.50-704.50] 開始幫他們screen新的ADC的後續藥物
[704.50-707.50] 那未來的話也是很有希望可以進到臨床試驗的階段
[708.50-712.50] 另外一個客戶的話也是一個一戰十福的客戶
[712.50-716.50] 那我們目前已經提供他ADC drug擴大最終的產品
[716.50-723.50] 那這個Cdm的話也是我們從PelLinker到Conjugation的ADC
[723.50-727.50] 到最後的之際都是在海洋化學這邊進行研發和生產
[727.50-731.50] 那新的放大生產的需求的話我們也已經開始談差不多
[731.50-733.50] 應該也是在今年會開始進行生產
[733.50-737.50] 所以這個案子也是客戶他們的進展相當不錯
[738.50-743.50] 那另外的進展就是我們的日本澳洲和臺灣的客戶也是越來越多在ADC上面
[743.50-746.50] 所以就是目前不是僅限於原本這兩個大的客戶
[746.50-750.50] 其他一些早期的研發的客戶也知道我們有這些開發的能力
[750.50-754.50] 就是會慢慢的來找我們進行研發還有後續的生產
[754.50-758.50] 那新開放NOSA的話就是除了原本的實驗室之外
[758.50-760.50] 我們的擴建計畫也在進行當中
[760.50-764.50] 那希望未來因為ADC現在是相當熱門的一個開發的方向
[764.50-766.50] 那我們希望在北米爾這邊能夠提供更多的服務
[766.50-767.50] 那希望未來因為ADC現在是相當熱門的一個開發的方向
[767.50-770.50] 提供更多的服務給我們北美的客人
[772.50-774.50] 徵機產線的部分的話
[774.50-780.50] 目前SUA上面我們臺灣這部分已經完成查場大家已經了解了
[780.50-785.50] 那FDA的話也是在去年的7月已經完成現場的集合
[785.50-791.50] 歐盟的查場目前預計是在今年的5月會到台澳化學生產查場
[791.50-796.50] 那這邊的話也是我們自己的一個徵機產品區域的一個查場
[797.50-799.50] 一般產線的預計查場時間的話
[799.50-802.50] FDA也是在去年8月完成查場
[802.50-806.50] 那預計在今年的Q2就會拿到GDP Certificate
[806.50-813.50] 那我們的徵機產線就是提供了小分子大分子水晶動幹商業化產品的生產
[813.50-817.50] 那除此之外我們除了提供單純的沖田服務之外
[817.50-819.50] 我們也是跟醫療器材廠商合作
[819.50-824.50] 然後進行應該是說複合式產品的一個開發
[824.50-826.50] 那這也是我們未來會走的一個line
[827.50-828.50] 然後我們會走的一個line的方向
[828.50-832.50] 然後讓我們徵機的business能夠有更不同的多元的發展
[832.50-835.50] 至於有徵機產品的部分的話
[835.50-837.50] 大家比較關注的是Airgreen的部分
[837.50-840.50] 台灣的話我們的Listing還是持續的進行當中
[840.50-845.50] 那我們預計今年上半年就會拿到台灣第一家醫學中心的發票
[845.50-847.50] 那就是能夠拿到這個發票之後
[847.50-850.50] 其他的醫院也能夠陸續的開始進貨
[850.50-853.50] 那其他除了其歐洲都有已經簽署了合約
[853.50-857.50] 歐洲剛剛已經跟大家報告過就是在今年Q2的時候
[857.50-861.50] 我們已經到台灣我們的徵機廠這邊來做現場的集合
[861.50-866.50] 美國的部分的話我們目前因為已經有一些FDA的額外問題
[866.50-867.50] 我們已經進行回覆
[867.50-871.50] 那我們現在等待FDA的一個最終的回覆
[871.50-873.50] 那我們就會等到我們的進一步消息
[873.50-876.50] 或在Berlin大大對我們最終的服務的時間
[876.50-882.50] 其他的市場的話包括香港巴基斯坦新加坡都已經完成了合約的簽署
[882.50-886.50] 那還有一些其他emerging market我們也是持續的在洽談當中
[887.50-889.50] 除了這個EUBIN之外呢
[889.50-892.50] 我們還有其他三類的產品目前正在開發當中
[892.50-895.50] 包括Aneemia名字拼寫的藥物
[895.50-897.50] 還有GEO P1的產品
[897.50-899.50] 這是剛剛已經報告過
[899.50-901.50] 就是我們已經進行產線的擴充
[901.50-903.50] 因應未來的需求
[903.50-907.50] 那還有一個就是慢性的腎臟病相關的一個產品的開發
[907.50-911.50] 那這些開發就是都在按照我們的規劃中持續的進行
[911.50-916.50] 那也在跟我們可能的合作夥伴在洽談授權當中
[917.50-919.50] 等到有進一步的消息的時候
[919.50-921.50] 我就會再跟大家做報告
