[0.00-2.60] 各位法人及媒體朋友大家午安
[133.00-135.40] 業務動能持續提升
[135.40-137.90] 連帶業務表現尤其突出
[137.90-142.80] 管理銀行福隆爾及主辦銀行MLA
[142.80-146.10] 排名雙中榮厚業界第一
[146.10-150.10] 我們成功主辦了多家國際知名電子業
[150.10-154.00] 及半導體龍頭企業的大型連帶案
[154.00-159.60] 展現我們在契金市場的堅強實力
[159.60-161.60] 外匯A5也相當的強勁
[161.60-164.10] 上半年續作量高達了
[164.10-167.60] 4182億美元連增9%
[167.60-169.80] 主要來自大型跨國
[169.80-173.00] 科技集團貿易結算需求增加
[173.00-177.70] 以及承作銘定存專案的供受成果
[177.70-179.90] 財務管理業務則配合
[179.90-183.40] 政府亞洲高資產管理中心政策
[183.40-185.40] 表現也相當亮眼
[185.40-189.70] 財管2.0高資產業務AVM上半年
[189.70-192.90] 已達2112億元
[192.90-195.80] 財務管理業務進首序會收入
[195.80-197.40] 連增3%
[197.40-200.10] 獲利動能持續提升
[200.10-201.40] 財務績效方面
[201.50-204.10] 地區進收益延增1%
[204.10-205.30] 首序會進收益
[205.30-208.70] 擴除去年高鐵一次性收入後
[208.70-212.10] 延增率為1%
[212.10-214.20] 雖然面臨美國貿易政策
[214.20-217.30] 及地緣政治不確定性的挑戰
[217.30-220.30] 上半年財務操作能認列
[220.30-222.40] 97億元獲利
[222.40-224.90] 資產品質顯著改善
[224.90-228.60] 年化待帳費用率A為9個BP
[228.60-231.80] 減低去年前年待帳費用率
[231.80-233.40] 43個BP
[233.40-236.70] 風險控管成效著數
[236.70-238.80] 政業子公司上半年
[238.80-242.00] 稅後淨利6.91億元
[242.00-246.20] 整體首序會收入23.44億元
[246.20-247.60] 首收業務中
[247.60-250.40] 庫偉托業務表現突出
[250.40-253.00] 淨收益連增27%
[253.00-254.60] 主要受惠以投資人對
[254.60-258.40] 美股交易強勁的需求
[258.40-262.00] 未來政業子公司將積極推動數位轉型
[262.00-264.40] 建置數位服務中心
[264.40-267.30] 優化營政雙開流程
[267.30-269.70] 並開發第二套App系統
[269.70-272.20] 希望能夠提升客戶體驗
[272.20-275.90] 及年輕族群的勝獲力
[275.90-279.50] 票件子公司稅後淨利12.33億元
[279.50-282.40] 較今年同期成長10%
[282.40-283.70] 獲利穩基
[283.70-285.80] 產業領導地位
[285.90-289.00] 集中利息淨收益連增48%
[289.00-291.50] 主要是因為外地在建利息
[291.50-294.30] 匯用減少首次
[294.30-296.20] 首序會用收益利
[296.20-298.20] 連增7%
[298.20-301.40] 起屬因為票件花型量增加
[301.40-306.20] 及年代案首序會收入增加首次
[306.20-309.90] 產前子公司稅後淨利3.96億元
[309.90-314.60] 較去年同期大幅增加3.1億元
[314.60-317.30] 已經達到內部預算的九成
[317.30-318.80] 獲利表現突出
[318.80-321.10] 其中國內保費收入為
[321.10-323.10] 55.19億元
[323.10-325.60] 連增6%
[325.60-327.50] 成長率比較高的減總
[327.50-331.70] 包括航空保險成長了59%
[331.70-335.00] 工程保險成長54%
[335.00-338.50] 健康保險成長31%等
[338.50-342.00] 各項業務動能逐漸趨穩
[342.00-344.50] 投信子公司稅後淨利為
[344.50-347.00] 4,646萬元
[347.00-348.90] 已去年同期持平
[348.90-350.70] 且管理資產規模也達到
[350.70-352.70] 1,148億元
[352.70-354.40] 連增12%
[354.40-359.10] AMC等子公司獲利表現同樣穩定
[359.10-360.50] 在往下半年
[360.50-362.90] 照旺金控將持續深化
[362.90-364.40] 數位金融服務
[364.40-367.90] 協助中小企業穩住匯率風險
[367.90-371.90] 積極推動高雄雅資中心新業務
[371.90-374.30] 強化業績用去經營
[374.30-376.40] 擴大全球供應鏈布局
[376.40-379.90] 並積極配合政府金融政策
[379.90-382.20] 致力成為客戶所選的
[382.20-385.20] 綜合金融服務夥伴
[385.20-388.20] 接下來請我們同仁Jack
[388.20-389.50] 就照旺金控
[389.50-391.40] 截至今年第二季的
[391.40-395.00] 財務及業務概況來進行說明
[395.00-396.20] 謝謝大家
[399.00-401.80] 好 首先我們來看一下
[401.80-403.80] 我們金控的關鍵獲利的
[403.80-404.80] 三項指標
[404.80-407.80] L1、LA跟EPS
[407.80-409.30] 那我們今年上半年
[409.30-413.80] 我們公司的年化的L1達10.02%
[413.80-416.80] 年化LA達0.79%
[416.80-419.80] EPS則為1.23元
[419.80-422.80] 均優於去年2020年的表現
[424.80-426.80] 資本資足率的部分
[426.80-431.80] 金控資本資足率達133.84%
[431.80-433.30] 較過去幾年以來
[433.30-434.80] 大幅的增加
[434.80-436.30] 另外雙重幹行比例
[436.30-439.30] 則為119.04%
[439.30-441.30] 子公司的部分銀行
[441.30-445.30] 子公司的資本資足率達16.97%
[445.30-449.30] 低類資本資足率為14.69%
[449.30-453.30] 普通股資本資足率為14.55%
[453.30-455.30] 那各項資本比例增加
[455.30-457.30] 主要是因為今年1月1號
[457.30-460.30] 開始實施Basel 3的改革新規後
[460.30-465.30] 風險性資產較去年底減少2470億元
[465.30-467.30] 主要包含企業風險
[467.30-468.30] 企業曝險
[468.30-472.30] 權益證件的曝險的風險權術的調整
[472.30-474.30] 還有適用新標準法後的
[474.30-477.30] 作業風險計體下降
[477.30-481.30] 另外票券子公司資本資足率為13.4%
[481.30-485.30] 產前子公司為583.57%
[485.30-488.30] 證券子公司為317.65%
[488.30-491.30] 都大幅超越法定的最低標準
[491.30-494.30] 顯示集團的資本實力堅實
[498.30-500.30] 那再來這個放款的部分
[500.30-504.30] 我們今年第二季的放款餘額為2.3兆元
[504.30-507.30] YY成長率達2.7%
[507.30-512.30] 那迄今客戶因為這個美元放款的比重較高
[512.30-515.30] 受到今年第二季的美元貶值9%的這個影響
[515.30-517.30] 所以美元劃算成財幣後
[517.30-519.30] 放款金額會下降
[519.30-521.30] 如果排除匯率影響的數的話
[521.30-524.30] 其實迄今放款表現是不錯的
[524.30-529.30] 那消金方面房貸業務年成長率達4.5%
[529.30-533.30] 其他消金放款年成長率也有7%
[535.30-537.30] 那針對不同產業的放款趨勢
[537.30-540.30] 我們觀察到目前國內資金需求
[540.30-542.30] 呈現均衡分佈的狀況
[542.30-546.30] 那其中製造業放款年成長率為3.5%
[546.30-550.30] 消金的這個放款年成長率為5.1%
[550.30-554.30] 運輸通信業的放款年成長率為10.3%
[557.30-559.30] 那如果以地區別來看的話
[559.30-561.30] 海外資金客戶的需求
[561.30-562.30] 就如我們剛剛提到
[562.30-563.30] 因為海外分毫不一致
[563.30-565.30] 它是美元的部位
[565.30-568.30] 會受到這個第二季美元貶值的影響
[568.30-570.30] 那如果排除匯率影響數
[570.30-573.30] 其實這個海外放款表現是不錯的
[573.30-576.30] 那國內分毫的需求成長就比較明顯
[576.30-579.30] 年成長率達7.2%
[579.30-582.30] 季成長率也有1.2%的表現
[585.30-588.30] 那如果從放款這個幣別結構來分析的話
[588.30-592.30] 今年第二季我們台幣放款的表現是比較強的
[592.30-595.30] 年成長率達8.1%
[595.30-598.30] 那季成長率也有1.4%
[598.30-600.30] 那外幣的部分因為美元
[600.30-601.30] 如同剛剛提到
[601.30-603.30] 因為第二季美元貶值
[603.30-606.30] 所以這個放款以後換算成台幣後
[606.30-609.30] 其實成長幅度就從正為轉為負
[609.30-611.30] 那如果排除匯率影響數
[611.30-613.30] 其實美元放好YY成長率
[613.30-615.30] 也有大概有7%
[615.30-618.30] 或是一半大概有5%的成長率
[621.30-623.30] 那這個存款的部分
[623.30-626.30] 第二季這個貶值的部分
[626.30-628.30] 第二季這個
[628.30-633.30] 同樣因為受到這個美元貶值的衝擊
[633.30-636.30] 它的外幣定存需求就大大下來了
[636.30-638.30] 減少大概1000多億
[638.30-641.30] 那其實這樣是有助於減緩美元成本的壓力
[641.30-646.30] 台幣活存存款跟去年同期相比是增加4%
[646.30-651.30] 那第二季的整體活存也較上個季度大幅增加1.77%
[651.30-654.30] 來到47.97%
[654.30-659.30] 那這樣子就有機會改善整個資金的成本結構
[659.30-662.30] 進而提升NIM的這個表現
[664.30-668.30] 那第二季存放比達76.92%
[668.30-670.30] 主要是因為放款餘額增加
[670.30-672.30] 讓存款的餘額下滑
[672.30-676.30] 那美元存放比則維持在39%左右
[678.30-680.30] 那存放利差的部分
[680.30-681.30] 那NIM的部分
[681.30-685.30] 今年銀行第二季的存放利差是1.34%
[685.30-688.30] 海外存放利差則為2.59
[688.30-690.30] 較上個季度相差都不大
[690.30-693.30] 那國內存放利差是1.33%
[693.30-695.30] 增加一個BP
[698.30-699.30] 那這個NIM的部分
[699.30-702.30] 其實第二季相當穩定跟上個季度差不多
[702.30-705.30] 那台幣的NIM就呈現成長趨勢
[705.30-707.30] 較上個季度提升6個BP
[707.30-709.30] 達1.19%
[711.30-714.30] 那今年第二季的財富管理收益
[714.30-716.30] 達11.03億元
[716.30-720.30] 目前如果看這個產品線分析來看的話
[720.30-725.30] 銀保這個較去年同期大幅成長30%
[725.30-728.30] 保管費用也增加13%
[728.30-730.30] 那這反映我們的高資產客戶群
[730.30-732.30] 對我們這個信託保管業務的服務的
[732.30-734.30] 這個信賴度的提升
[734.30-737.30] 也為我們推動這個亞資中心的
[737.30-739.30] 業務奠定良好的基礎
[741.30-743.30] 那如果以收益的這個
[743.30-745.30] 首席收益來看的話
[745.30-750.30] 今年上半年銀行首收達42.4億元
[751.30-755.30] 那第二季也有大概20.19億元的優異的成績
[755.30-758.30] 那如果扣除去年高鐵一次性的
[758.30-762.30] 這個10.4億元的收益的影響數來看的話
[762.30-764.30] 其實上半年進首收
[764.30-766.30] 也有大概1%的成長率
[770.30-772.30] 那如果以資產品質來看的話
[772.30-775.30] 目前第二季的NP ratio是0.26%
[775.30-778.30] 較上個季度減少1個BP
[778.30-782.30] 大概金額是少了大概4.47億元
[782.30-787.30] 那覆蓋率已經來到648.76%
[787.30-791.30] 較上個季度大幅提升約39個百分點
[792.30-797.30] 那新增預放也大幅的減少8個BP到0.04%
[797.30-801.30] 大企業的預放也減少9個BP來到0.32%
[801.30-806.30] 那呆帳被用第二季度維持非常低的水準6.15億元
[806.30-810.30] 遠遠低於去年每一個季度的這個數字
[811.30-815.30] 那以上是今年第二季的財務及業務概況的報告
[815.30-818.30] 後面是一些財報跟附錄的資訊
[818.30-821.30] 請各位投資法人跟媒體朋友參考 謝謝
[822.30-825.30] 本次的簡報就在這邊告一個段落
[825.30-827.30] 那接下來進入問答的一個階段
[827.30-830.30] 請有問題的投資人跟我們的媒體朋友
[830.30-831.30] 如果您有疑問的話
[831.30-835.30] 可以在這個畫面的右下角欄位來輸入您的問題
[835.30-840.30] 我們將在待會整理之後會統一的來進行回覆 謝謝
[855.30-861.30] 好 現在我們的投資朋友跟我們的媒體朋友
[861.30-863.30] 也都有提出一些相關的問題
[863.30-866.30] 我們現在就請我們的林志偉經理
[866.30-868.30] 來幫大家來做一些回覆
[868.30-871.30] 來主持這一段的Q&A的時間
[872.30-875.30] 好 那我們還是按照這個大方向的一些問題
[875.30-877.30] 我們先做一些整理
[877.30-880.30] 那這邊我想這一段時間總體經濟
[880.30-886.30] 美國跟台灣各式各樣的external factor都有很多的因素
[886.30-888.30] 那有些投資本來想知道說
[888.30-892.30] 我們對於2025年的總經
[892.30-896.30] 還有一些匯率跟利率跟通膨走勢的一些看法
[900.30-904.30] 好的 這個問題由我來簡單回答一下
[904.30-911.30] 台灣2025年經濟成長形態上熱下冷的左勢
[911.30-918.30] 上半年主要是受惠於AI科技需求及對等關稅提前拉後效應
[918.30-921.30] 根據主機總處及央行的估計
[921.30-925.30] 上半年經濟成長率可以達5%以上
[925.30-928.30] 下半年則隨搭後潮消退
[928.30-931.30] 成長率將趨緩至1%左右
[931.30-936.30] 有用 預估前年的經濟成長率也為3.1%
[936.30-942.30] 美國聯準會的預估美國今年的經濟成長率是1.4%
[942.30-947.30] 另 通後膨脹溫和可控2025年
[947.30-951.30] 上半年平均通膨率為1.93%
[951.30-956.30] 央行預估前年為1.81%
[956.30-958.30] 低於2%的緊接線
[958.30-962.30] 不過我們需要留意國際地緣政治風險
[962.30-968.30] 關稅政策 國內電價及公用事業匯率調整等
[968.30-971.30] 可能帶來的通橫上行壓力
[971.30-978.30] 美國聯準會則預估美國今年的通橫率也為3%
[978.30-980.30] 在利益政策方面
[980.30-985.30] 央行持續關注房市調控成效
[985.30-988.30] 及關稅最終談判的結果
[988.30-994.30] 在經濟成長率仍能保三及通膨溫和情況之下
[994.30-997.30] 除非下半年經濟稍微衰退
[997.30-1001.30] 一起國國央行年底降息的機率並不高
[1001.30-1008.30] 美國部分上週五AFA的主席鮑爾在Jackson Hall
[1008.30-1012.30] 全球央行聯會暗示9月可能降息
[1012.30-1017.30] 但也因為勞動市場跟通膨兩股相反力量的拉扯
[1017.30-1020.30] 大多數經濟學家都認為
[1020.30-1027.30] 9月及下半年其他月份大幅降息的機率並不是很高
[1027.30-1029.30] 至於匯率走勢
[1029.30-1032.30] 新台幣今年貶值近4%
[1032.30-1038.30] 主要是反應、聯絡勢及台美關稅談判引發的增值議題
[1039.30-1044.30] 隨著台灣主要競爭國家關稅談判以比較明朗化
[1044.30-1046.30] 加上央行努力崩潰
[1046.30-1049.30] 台幣近期轉為貶值
[1049.30-1052.30] 並突破30年大關
[1052.30-1059.30] 議題在美國9月降息機率升高及美元指數仍然疲弱之下
[1059.30-1063.30] 雖然台幣升值壓力仍然存在
[1063.30-1067.30] 不過季服升值的機率並不是很高
[1067.30-1073.30] 美元指數自從今年1月20日川普上任之後
[1073.30-1077.30] 到今天為止已經貶值近10%
[1077.30-1081.30] 在美元降息預期增高之下
[1081.30-1086.30] 其中長期走勢能因數震盪天空
[1086.30-1087.30] 以上
[1087.30-1090.30] 下一個是有反問到說
[1090.30-1095.30] 我們今年的這個策略發展的重點
[1095.30-1100.30] 特別是在這個市場的波動跟這個川普關稅政策下
[1100.30-1105.30] 我們將如何將這個挑戰轉為營運的一些成長機會呢
[1106.30-1111.30] 好的關於張金鴻經理人的策略發展
[1111.30-1117.30] 我從集團整體角度來以四大後面說明
[1117.30-1120.30] 首先是雙引擎策略
[1120.30-1122.30] 我們會繼續深化來執行
[1122.30-1125.30] 面對市場的競爭AIA系列
[1125.30-1130.30] 我們會持續強化銀行證件雙引擎協作
[1130.30-1133.30] 銀行子公司會維持核心地位
[1133.30-1139.30] 獲利貢獻度應該會穩定在80%到90%
[1139.30-1142.30] 將持續調整換款結果
[1142.30-1144.30] 替金換款業務
[1144.30-1150.30] 則鎖定台積電、供應業、AIS武器等高成長的產業
[1150.30-1159.30] 交金換款業務則側重在推廣理財情、貸款等高利差的產品
[1159.30-1162.30] 證件子公司重要性也會逐漸提升
[1162.30-1167.30] 將成為集團多元化獲利的關鍵推手
[1167.30-1173.30] 將會更積極來擺把握IPO承銷的張機
[1173.30-1178.30] 並深耕高淨值客戶財富管理
[1178.30-1181.30] 長期目標則是希望能夠達到
[1181.30-1184.30] G-Percent集團獲利貢獻的體重
[1184.30-1191.30] 透過跨措和數據共享集團中效可望持續提升
[1191.30-1196.30] 第二則是透過海外部及戰略轉型
[1196.30-1199.30] 經過業務結構的調整
[1199.30-1203.30] 我們在全球18個經濟體39個季節
[1203.30-1208.30] 以從量的擴張轉向值得提升
[1208.30-1211.30] 特別是川普關稅政策
[1211.30-1213.30] 駐紙供應鏈重整
[1213.30-1216.30] 為我們帶來三大張機
[1216.30-1221.30] 首先是台商互免投資受信需求
[1221.30-1225.30] 再者則是跨境融資服務
[1225.30-1228.30] 最後則為外地避險業務成長
[1228.30-1231.30] 藉由美國自家歷史優秀的分行
[1231.30-1234.30] 及新南向22個據點優勢
[1234.30-1240.30] 我們會努力把挑戰化為成長的機會
[1240.30-1244.30] 第三個是香港跟日本最佳化並進
[1244.30-1248.30] 本公司面對增進情勢不切近性
[1248.30-1251.30] 我們會採取審慎的策略
[1251.30-1254.30] 同時來推動EXE永續發展
[1254.30-1256.30] 強化氣候風險管理
[1256.30-1259.30] 創造差異化競爭的優勢
[1259.30-1263.30] 四、銀行子公司則會透過金控公司
[1263.30-1267.30] 對其現金增資來強化資本結構
[1267.30-1271.30] 第四則其他子公司經營策略的優化
[1271.30-1275.30] 如婆姓及AMC子公司
[1275.30-1278.30] 我們會持續來探討
[1278.30-1281.30] 跟各公股金控策略合作可能性
[1281.30-1283.30] 來優化資源的配置
[1283.30-1288.30] 總之招方金控將以穩健經營為基石
[1288.30-1293.30] 透過商業銀行啟動海外深耕布局
[1293.30-1296.30] 空空優化以其能夠為股東
[1296.30-1299.30] 創造穩定獲利成長動能
[1299.30-1305.30] 好,那下一個是有法人跟媒體朋友都問到說
[1305.30-1307.30] 因為市場有消息指出
[1307.30-1310.30] 身上苗人獸正在尋找策略夥伴或是潛在的買家
[1310.30-1314.30] 不知道我們金控市府有評估這樣的機會
[1314.30-1316.30] 我們在售險併購上面
[1316.30-1319.30] 有沒有什麼一些策略上的考量
[1319.30-1321.30] 在關於這個問題
[1321.30-1326.30] 我想這個三商美方人獸的併購傳聞
[1326.30-1328.30] 我們都非常的關注
[1328.30-1334.30] 當然售險業確實是本級團長期設立的一個目標
[1334.30-1339.30] 但考慮2026年IVERS17接軌帶來的資本壓力
[1339.30-1344.30] 短期內很難準確評估過病的一個價值
[1344.30-1348.30] 所以我們目前暫時是沒有具體的規劃
[1348.30-1351.30] 另外,任何的一個訂購的評估
[1351.30-1356.30] 照風金都會依據財政部訂定的六大要件來進行
[1356.30-1358.30] 前方位的審慎評估
[1358.30-1361.30] 包括企業文化的整合
[1361.30-1363.30] 經營策略與自信
[1363.30-1364.30] 業務互補信
[1364.30-1365.30] 市場定位
[1365.30-1366.30] 差異化
[1366.30-1368.30] 員工情誼保障
[1368.30-1371.30] 及營業祭典整合的效益
[1371.30-1374.30] 整個過程我們都會去重視公會的立場
[1374.30-1379.30] 兼顧股東、員工、客戶及產業發展等多方面的利益
[1379.30-1383.30] 雖然我們目前沒有具體的一個併購計畫
[1383.30-1385.30] 但我們會持續關注市場
[1385.30-1390.30] 以務實策略朝向永續經營來邁進
[1391.30-1395.30] 好,那再來後面應該是一些比較業務性的問題
[1395.30-1398.30] 因為資本蜘蛛率這個基礎比較高一點
[1398.30-1403.30] 所以就是有人問到說我們對於銀行的 IRB 的生產進度
[1403.30-1406.30] 跟資本蜘蛛率提升的效果
[1406.30-1410.30] 還有業務優化應該會用來做什麼樣的一些應用
[1410.30-1412.30] 有什麼樣的想法呢?
[1414.30-1422.30] 這個問題我就請銀行通通處理喬啟處長來回答
[1422.30-1423.30] 好的
[1423.30-1426.30] 首先在生產進度方面
[1426.30-1434.30] 本行已經在去年的 6 月 3 號正式預標申請國內的一般進行固定的重新模型部位
[1434.30-1439.30] 採用基礎內部平等法,也就是 FIRB 法
[1439.30-1441.30] 今晚會已經完成複審
[1441.30-1445.30] 那在今年的 1 月 12 號、1 月 22 號
[1445.30-1449.30] 8 行通知,同一本行失敗一年
[1449.30-1455.30] 主管機關也已經在 7 月 24 號、7 月 25 號兩天
[1455.30-1459.30] 來行進行其初的實地審查
[1459.30-1463.30] 預計在明以前會執行其後的實地審查
[1463.30-1465.30] 目前進度順利
[1465.30-1469.30] 在業務應用上,與現行的標準法相比較
[1469.30-1476.30] 沒有外部信用風險的權術基本上都是 100%
[1476.30-1481.30] FIRB 法可以透過內部信用平等的模型
[1481.30-1485.30] 更細緻的區分企業客戶的信用風險
[1485.30-1491.30] 讓定價和資本分配更接近實際的風險水準
[1491.30-1495.30] 藉此來優化本行受盡風險的定價
[1495.30-1497.30] 以及資本運用的效率
[1497.30-1501.30] 在資本效益方面,事實上的結果顯示
[1501.30-1507.30] FIRB 法對於資本市場的比率有正面的提升效果
[1507.30-1513.30] 對於本行 6 月底的補充部權益比率、第一類資本比率
[1513.30-1520.30] 以及資本市場的比率大約可以提升 1 到 2 個百分點以上回答
[1520.30-1524.30] 謝謝李處長的回答
[1524.30-1530.30] 另外由一屋面無責再請銀行陳道龍副總來加以補充
[1531.30-1536.30] 銀行子公司順利採用 FIRB 法
[1536.30-1540.30] 以及在 2025 年度辦理現金增資
[1540.30-1543.30] 進而提升了整體的資本市族率
[1543.30-1550.30] 這將大幅的強化銀行子公司應對外資經濟情勢變化的經營韌性
[1550.30-1555.30] 其次,在 FIRB 法優化風險定價的基礎上
[1555.30-1558.30] 銀行子公司更能夠更積極的發展業務
[1558.30-1561.30] 特別是在中小企業放款的領域
[1561.30-1564.30] 透過更精準的風險評估和定價能力
[1564.30-1568.30] 除了積極協助企業應對關稅及匯率避險
[1568.30-1571.30] 更能在兼顧風險控管的學習下
[1571.30-1576.30] 提振存款、放款以及財富管理的核心業務的規模
[1576.30-1578.30] 促進獲利穩健的成長
[1578.30-1583.30] 與其銀行子公司 2026 年將渴望擬定
[1583.30-1588.30] 相對積極的營運量目標來鞏固市場的領先地位
[1588.30-1592.30] 進一步拉近與民營銀行的獲利差距
[1592.30-1600.30] 好,那這邊也有很多法人問到有關全年對於放款的一些成長的展望
[1600.30-1603.30] 跟特別是迄今放款的展望
[1603.30-1607.30] 還有連帶市場的一些業務的表現的展望
[1607.30-1615.30] 好的,這個問題我們請招攏副總來跟各位回答,謝謝
[1637.30-1643.30] 二十幾年來,中國的經貿政策將面臨下屬風險
[1643.30-1648.30] 而國內的交金放款仍然受制於房屋管控措施
[1648.30-1653.30] 海外的外地放款部位仍然受到台幣升值因素的影響
[1653.30-1659.30] 與其全年放款成長與其維持跟上半年是相當
[1659.30-1663.30] 而受到美國經貿政策不確定性的影響
[1663.30-1666.30] 我國的企業多採防守觀望的態度
[1666.30-1668.74] 大幅成長大約26%
[1668.74-1670.70] 但是後續的動能
[1670.70-1672.54] 恐將受到關稅政策
[1672.54-1674.20] 以及地門政治沖除
[1674.20-1676.60] 等不確定因素而趨緩
[1676.60-1680.24] 迄今放款動能將聚焦專案融資
[1680.24-1683.54] 供應鏈金融以及都更維奧等案件
[1683.54-1686.44] 在連帶業務方面表現亮眼
[1686.44-1688.94] 根據LSBG的統計
[1688.94-1691.90] 銀行子公司上半年在管理銀行
[1691.90-1695.20] BookBronner以乘坐29件
[1695.44-1697.84] 金額美金36.2億元
[1697.84-1701.94] 在MLA主辦行以35件
[1701.94-1704.14] 金額23.4億美元
[1704.14-1706.34] 雙雙排名第一
[1706.34-1708.30] 未來將更積極的爭取
[1708.30-1710.04] AI供應鏈的移轉
[1710.04-1712.84] 專案融資、大型公共建設
[1712.84-1716.20] 以及都更聯開等高收益的項目
[1716.20-1718.34] 其中在機械連帶方面
[1718.34-1721.24] 包括台灣貨序、中能發電
[1721.24-1723.24] 國泰功能以及大發化
[1723.24-1725.24] 西南等重要案件
[1725.24-1727.24] 離開封建授信的餘額截至
[1727.24-1731.24] 2025年7月底以接近新台幣200億元
[1731.24-1733.84] 未來仍將是銀行子公司
[1733.84-1736.84] 連帶業務發展的重點以上
[1738.04-1741.24] 再來就是有很多媒體朋友跟法人
[1741.24-1743.54] 像比如說星光人獸、工商時報
[1743.54-1745.24] 都有問到就是有關
[1745.24-1747.94] 我們最近發佈的海外分行的
[1747.94-1749.84] 一些整併的新聞跟重訊
[1749.84-1751.94] 想知道我們對於這個
[1751.94-1754.94] 採測計畫的一些細部規劃
[1754.94-1757.94] 還有特別是對海外業務的
[1757.94-1761.94] 獲利跟增長的趨勢可以進一步分享
[1761.94-1764.94] 例如像台商的供應鏈
[1764.94-1768.94] 也有一些supply chain migration
[1768.94-1772.94] 不知道有沒有增設海外分行的規劃
[1774.94-1776.94] 關於這個提問
[1776.94-1780.94] 我也請銀行承受副總經理來回答
[1781.94-1784.94] 好的,首先銀行子公司
[1784.94-1787.94] 近期在推動海外據點的整併計畫
[1787.94-1791.94] 主要是著眼於提升整體經營效益
[1791.94-1795.94] 以及資源運用效率的策略性的考量
[1795.94-1797.94] 整併作業主要針對
[1797.94-1801.44] 同區塊鏈業務同質性高的據點
[1801.44-1804.44] 藉由資源集中與組織優化
[1804.44-1806.94] 強化程序據點的服務能量
[1806.94-1809.94] 以及市場的深耕能力
[1809.94-1811.94] 今後原材料據點的業務
[1811.94-1815.94] 將由同區塊的管理行或分行接收
[1815.94-1817.94] 確保服務不中斷
[1817.94-1821.94] 並持續支援當地牌商與既有客權
[1822.94-1825.94] 也是今年第二季海外分行及國金分行
[1825.94-1829.94] 最前進利金牌幣37.1億元
[1829.94-1833.94] 相較去年同期的金牌幣54.5再億元
[1833.94-1835.94] 減少了金牌幣17.4億元
[1835.94-1838.94] 其中海外獲利的增長主要動能
[1838.94-1841.94] 是來自香港及新南向的國家
[1841.94-1845.94] 主因銀行子公司國內外攜手合作
[1845.94-1848.94] 引導客戶使用本行跨境平台管理資金
[1848.94-1850.94] 增揽存款
[1850.94-1852.94] 並善用資金乘坐受信業務
[1852.94-1855.94] 維持一定的利差
[1855.94-1857.94] 而海外獲利相對落後的
[1857.94-1859.94] 是美國第四個商行
[1859.94-1862.94] 主要因為商用不動產期程增加
[1862.94-1865.94] 以及美元利率仍處於高位
[1865.94-1868.94] 此的企業借款需求相較較為疲弱
[1868.94-1872.94] 銀行子公司在美國、日本、印度
[1872.94-1876.94] 等熱門台廠供應鏈遷徙的據點均有布局
[1876.94-1880.94] 未來將對中台商動向股經資金需求
[1880.94-1883.94] 評估規劃新設據點
[1883.94-1887.94] 此外,隨著近年企業對於數位服務需求增加
[1887.94-1891.94] 銀行子公司亦持續優化全球金融網
[1891.94-1893.94] 跨境資金重台
[1893.94-1897.94] 滿足客戶海外投資所需要的金融服務
