[0.00-4.42] 欢迎各位同志先进
[326.10-328.54] 那根据我们现在ESG的成果的话
[328.54-329.50] 就是我们一百一十三年
[329.50-331.38] 我们也提前在环境面的话
[331.38-332.82] 我们一百一十二年
[332.82-334.74] 提前完成ISO一四零六四之一的
[334.74-336.26] 游客式气体排查
[336.26-337.14] 那后续的话
[337.14-338.74] 我们会持续推动各子公司
[338.74-340.06] 完成排查工作
[340.06-341.14] 那一百一十二年
[341.14-343.62] 我们在大楼的冷却水塔的部分
[343.62-345.38] 导入智能节电的部分
[345.38-346.26] 一百一十三年
[346.26-347.62] 我们是更换电能等级
[347.62-348.30] 一个一四年
[348.30-350.42] 我们会推动电梯的态患
[350.42-353.30] 然后想应用节能减碳措施
[353.30-355.34] 那在减少子弹的使用的部分
[355.34-358.22] 我们客户对订单已经改为线上签合
[358.22-359.26] 客户公司
[359.26-360.54] 跟供应商采购单的
[360.54-362.46] 也以电子邮件来取代
[362.46-364.86] 让我们持续在优化ERP的作业系统
[364.86-366.70] 来减少环境的负担
[366.70-368.06] 那社会面的部分的话
[368.06-368.94] 一百一十二年
[368.94-372.26] 我们去台北造和厂者举办活动
[372.26-373.02] 一百一十三年
[373.02-374.78] 我们是据中立的部会学者
[374.78-378.02] 去举办一个失智长者的康乐活动
[378.02-378.86] 一百一十四年
[378.86-379.98] 我们会透过基金会
[379.98-382.38] 举办国际失智日人的活动
[382.38-384.70] 那我们每年都会透过嘉义基金会
[384.70-386.06] 举办动力救助活动
[386.06-387.26] 光环弱势
[387.26-388.30] 弱势老人
[388.30-389.22] 还有经济弱势
[389.22-390.82] 还有托心病友的一些
[390.82-392.86] 那个讲述学习的部分
[392.86-395.26] 那持续我们会在办公室园区
[395.26-397.06] 举办供应捐血供应活动
[397.06-398.50] 还有捐赠医疗业主会
[398.50-401.38] 并提供良好的一个医疗资源
[401.38-404.10] 那我们每年都会举办加钱活动
[404.10-406.78] 强调员工关注加钱的重要
[406.78-408.50] 并促进团队的邻居率
[408.50-410.34] 跟企业文化的建立
[410.34-411.74] 那这里面的部分的话
[411.74-413.22] 我们有序报告书也完成了
[413.22-414.14] 一百一十二年度
[414.14-416.10] 我们也增加SUSD跟PCFD的
[416.10-417.90] 本责的揭露的部分
[417.90-419.18] 那我们在一百一十二年
[419.18-419.86] 度的话
[419.86-422.90] 我们设置了隶属总合会的
[422.90-424.38] 永续发展委员会
[424.38-426.98] 持续推动永续发展
[426.98-427.98] 一百一十三年度
[427.98-430.02] 我们也取得了资讯安全管理认证
[430.02-431.82] ISO27001的认证
[431.82-432.62] 那目前来讲
[432.62-433.90] 我们在一百一十二年
[433.90-436.22] 我们在第十届的公司治理评鉴的话
[436.22-437.86] 我们是排在中上
[437.86-440.38] 就是前百分之二十一八到三十五八
[440.38-442.46] 那展现对公司治理的驻实
[445.70-448.78] 那我们加一三十年来经营
[448.78-449.14] 核心
[449.14-449.82] 进力
[449.82-451.66] 核心竞争力的部分的话
[451.66-453.90] 就是以新冠病跟新疫模式来
[453.90-455.78] 整合医疗的一个专业领域
[455.78-458.30] 然后持续在亚洲市场深耕
[458.30-460.10] 那目前的范围的话是台北
[460.10-460.46] 台湾
[460.46-461.02] 香港
[461.02-461.46] 菲律宾
[461.46-462.38] 马来西亚
[462.38-464.54] 然后透过与伙伴长期的合作
[464.54-466.70] 吸取成为自己亚洲最有价值的
[466.70-469.02] 一个整合医疗健康展现群
[469.02-470.18] 以上报告
[470.18-471.90] 那看看各位同志先进
[471.90-473.90] 有没有什么问题要提出来
[473.90-475.50] 我们再来这边说明一下
[479.14-482.10] 谢谢财务长的分享跟说明
[482.10-484.46] 那接下来开放Q&A时间
[484.46-486.26] 也请各位同志先进
[486.26-488.54] 以文字讯息的方式进行提问
[488.54-492.02] 会在画面右下方功能列的选项中
[492.02-493.50] 点选聊天的功能
[493.50-494.74] 输入你的问题
[494.74-498.54] 那我们会再请财务长这边点选问题回复
[498.54-499.98] 谢谢
[509.14-510.14] 谢谢
[539.14-540.14] 谢谢
[569.14-570.14] 谢谢
[599.14-600.14] 谢谢
[605.10-607.30] 这个透析的外科耗材的话
[607.30-609.66] 我们大概在15%
[609.66-611.62] 在整个集团营收的话
[611.62-614.98] 85%大概在10%左右
[614.98-619.70] 然后在外科耗
[619.70-621.38] 那个学义透析的话
[621.38-625.18] 我们大概会是在40%左右
[628.46-628.98] 讲的是
[628.98-630.38] 集团和并营收的
[658.98-661.02] 完全不同得多
[661.02-662.70] 那么 DoC 是会竞争的人
[662.70-664.62] 对 veterans 的
[664.62-665.90] 而且对你的因为
[665.90-668.10] 我要上几个复计
[668.10-669.66] ature 可以中在
[669.66-671.10] 对成熟的
[671.10-672.46] 去数学
[672.46-674.46] Sage 的
[674.46-675.14] 实际上
[675.14-676.34] 练习学习还挺好的
[676.34-676.74] 以及
[676.74-678.66] 发挥经验
[678.66-678.94] 助学生
[678.94-679.86] 划架
[679.86-680.02] 全部都是
[680.02-680.98] 其实
[680.98-681.60] пример
[681.60-682.26] 就是
[682.26-682.82] 那种
[682.82-682.98] 对
[682.98-684.06] 实际
[684.06-685.50] 应该没有เห�存机
[685.50-688.58] 实际是
[688.98-718.96] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[718.98-748.96] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[748.98-778.96] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
