[0.00-0.58] 嗯
[196.82-198.22] y
[198.22-198.74] at
[198.74-199.34] at
[199.34-206.36] ev
[206.36-206.88] clockwise
[206.94-207.38] com
[207.38-207.64] sister
[207.64-207.80] let
[207.80-207.88] s
[207.88-208.26] kriegen
[208.26-208.32] turret
[208.32-208.34] at
[208.34-208.38] t
[208.38-208.40] S
[208.40-208.42] uh
[208.42-212.26] 三年当中大家可以去回顾一下我们的历史资料
[212.52-214.56] 我们每一年都是赚钱的
[215.08-219.42] 然后我们持续的发放股利现金股息
[219.68-222.76] 然后随着EPS的成长
[223.26-226.34] 回馈给股东的股息也逐步成长
[226.60-228.38] 这个在后面也都会提到
[229.42-234.54] 那第3个point是我们的所谓的资本额
[234.54-239.14] 目前有20将近26亿的台币的资本额
[239.40-243.50] 那这个在应该是2023年24年
[243.76-246.58] 这两年中间有稍微
[248.10-252.20] 成长了大概将近快9点多趴
[252.46-255.02] 有稍微逮入了在将近
[255.28-258.86] 快9点多趴快不到10趴
[259.12-260.66] 这是因为我们
[261.16-264.50] 在4年前有发行一个20亿的
[264.80-265.56] 可转债
[266.08-267.86] 那因为股价
[268.38-268.90] 不错
[269.40-272.22] 所以这些可转债都全部转成股本
[272.48-274.52] 所以我们股本有稍微有一点膨胀
[274.78-278.10] 那也因为这个股本稍微有点膨胀的关系我们的
[278.36-279.38] Marketcap
[279.64-281.94] 大家可以看到这边有一个
[282.20-283.48] Marketcap的项目
[283.74-286.56] 我们目前的市值大概是8亿
[286.82-288.34] 多美金
[288.60-290.90] 那这个是我
[291.16-293.22] 应该是有一两个礼拜以前
[293.46-294.50] 计算出来的
[294.80-295.56] 一个资料
[295.82-299.14] 那也因为我们5月营收还没有公告
[299.40-301.96] 我也还没有去更新这个版本的投影片
[302.22-305.80] 那再加上这几天我们的股价应该有一些上涨
[306.32-311.70] 所以我们现在应该市值是更接近将近10亿美金的一个
[311.94-312.98] Marketcap
[313.22-317.06] 那事实上我们在过去一段时间也曾经突破
[317.32-318.34] 一个billion
[318.60-322.18] 就是美金10亿的一个市值的一个门槛
[322.70-323.72] 那我们
[323.98-324.50] 呃
[324.80-326.08] 公司这边当然是希望
[326.34-328.12] 公司股价能够
[328.38-330.68] 逐步反映我们公司的真实的价值
[331.20-335.04] 然后可以达到突破美金10亿以上的一个门槛
[335.54-337.60] 那这个对投资人包括
[337.86-339.38] 国内的一些投资法人
[339.90-343.74] 跟外资来看我们公司的时候都会觉得
[344.00-345.54] 更attractive
[346.04-346.82] 因为
[347.06-351.16] 基本上有一些外资或者是国内投资基金
[351.42-354.50] 他们要投的公司基本上要有一个基本的
[354.80-355.56] 市值门槛
[355.82-358.12] 不然那个流通性跟这个
[358.38-359.40] 持股比例
[359.66-360.68] 会过高的问题
[360.94-361.70] 这可能会
[361.96-364.78] 影响他们的投资决策所以我们
[365.04-366.32] 会希望我们的Marketcap
[366.58-368.10] 可以逐步往
[368.36-372.46] 一个billion美金10亿美金的这个目标买进
[373.48-376.56] 那紧接着就介绍我们公司的主要业务
[376.82-377.84] 我们公司
[378.10-381.16] 定位自己成为一个所谓的
[381.42-384.50] 高科技产业材料及整体解决
[384.80-386.34] 方案的一个供应商
[386.84-388.38] 这是什么意思呢
[388.90-391.46] 基本上我们华丽这个通路商
[391.70-392.74] 我们从
[392.98-396.32] 主要从日本还有其他国外的地方
[396.58-397.86] 进口一些
[398.10-400.16] 高科技产业所需要
[400.42-402.72] 上游所需要生产的一些
[402.98-404.00] 原物料
[404.26-408.86] 包括一些化学品的原物料精力化学品的原物料
[409.12-412.18] 还有一些比如说高阶工程塑胶
[412.44-414.24] 或者是PCB的材料
[414.54-417.86] 等等这些高阶的上游原材料
[418.12-421.70] 然后我们引进之后呢我们不只是提供给
[421.96-424.02] 客户去做制造
[424.26-427.34] 我们还会提供技术上的咨询服务
[427.60-429.14] 因为这些原材料
[429.38-432.72] 他在使用上的一些参数parameters
[433.22-434.50] 或者是一些
[434.76-436.56] 微调的一些数据
[436.82-439.62] 这个都会由我们的销售工程师去
[439.88-440.40] 扮演
[440.66-441.68] 客户在
[441.94-442.44] 现场
[442.96-444.50] 其实是单一的
[444.80-445.82] 我们是扮演一个所谓的
[446.08-448.90] 制程工程师FAE工程师这样的角色
[449.14-450.18] 去提供
[450.42-450.94] 技术
[451.20-453.50] 咨询服务给顾客
[453.76-454.52] 所以
[454.78-457.08] 藉由这样子两层的关系
[457.34-458.10] 我们
[459.14-460.66] 跟客户的关系
[460.92-461.44] 是
[461.70-462.72] 更加的
[462.98-463.48] 紧密
[463.74-466.04] 供应商也非常仰赖我们
[466.30-467.84] 提供在地的服务
[468.10-471.16] 供应商毕竟是国外的一些厂商
[472.18-474.50] 在地的服务就我们华丽来提供
[474.80-477.62] 这个等一下都会有再进一步的介绍
[478.12-482.48] 那最后这一页简介一下投影片最下方的
[482.98-486.82] 这个我们的几个未来的目标跟
[487.08-488.88] 持续要努力的方向
[489.14-490.92] 第一个就是高阶半导体
[491.70-495.02] 大家可能如果有一点了解我们华丽的话
[495.28-497.06] 应该知道我们应该是
[497.32-501.16] 台湾半导体或者是整个大中华地区
[501.42-503.46] 半导体化学品原材料
[503.72-504.50] 最大的一个
[504.80-506.34] 全方位的供应商
[508.38-510.94] 主要是包括化学品的原物料
[511.20-515.30] 甚至还有包括特殊气体还有一些零组件等等其他的东西
[516.32-518.10] 我会再做进一步的介绍
[518.36-519.64] 那随着台湾
[520.16-524.26] 大家都知道现在台湾半导体的重要性在全球的重要性
[524.50-528.60] 那随着台湾半导体的逐步发展
[528.86-532.44] 我们也是随着我们的供应商跟我们也都
[532.70-534.50] 随着客户的这个发展
[534.80-536.34] 进程
[536.84-538.90] 我们持续不断的推陈出新
[539.14-540.42] 然后提供
[540.68-541.96] 更高阶的
[542.22-545.80] 现在可能都已经到了两奈米的
[546.06-551.44] 制成的前段制成的这个原物料化学品原物料
[551.94-556.04] 这是未来一个很大的一个我相信大家应该会同意
[556.30-559.12] 这是一个高阶半导体会是一个
[559.38-562.70] 未来一个很大的一个成长的来源
[563.22-564.50] 那再来有所谓的
[564.80-566.58] 高阶载板
[566.84-570.42] 那高阶载板讲的是PCB方面的材料
[570.68-573.76] 我们华力也有带领PCB相关的材料
[574.02-577.86] 那高阶载板等一下会再做进一步介绍
[578.10-578.88] 大家先
[579.14-582.46] 先记得这个方向就是PCB的高阶的
[582.72-584.76] 制成方面也会用到材料
[585.02-590.40] 那AI更不用讲我想这个我还故意把它放到第三个就是不想要太
[590.66-594.50] 太这个成枪烂掉因为大家最近讲AI
[594.80-595.56] 讲太多了
[595.82-598.90] 那可是问题是大家也都知道AI这个是
[599.14-604.02] 无法避免的一个未来必然的一个成长的一个趋势
[604.26-607.86] 那我们华力在AI方面供应的材料很多了
[608.10-608.88] 那
[609.14-614.00] 从我们的高阶的工程塑料
[614.50-618.10] 到半导体也都会供应给AI
[618.34-621.42] 然后PCB这边也有材料也是
[621.68-624.50] 很多的AI Server所需要用的材料
[624.80-625.82] 甚至
[626.08-629.14] 伺服器呀或者是交换器等等这些
[629.40-632.98] 都会用到非常多在应用在AI方面的材料
[633.24-634.52] 这等一下我有机会
[634.78-635.80] 会再做
[636.06-636.82] 主一的介绍
[638.10-638.62] 然后
[638.88-641.70] 这接下来还有一个也是一个
[641.94-644.26] 经营蛮大的一个成长产品
[644.50-646.04] 就是次世代电子产品
[646.56-650.40] 这个基本上是我们的平面显示器产业
[651.16-652.96] 这个区块里面的一个
[653.22-654.50] 大萤幕的电子
[654.80-658.12] 这个等一下也会再做进一步的介绍
[658.38-659.40] 那还有
[659.66-664.02] 包括5G啦然后生技医疗电动车材料那电动车
[664.26-667.34] 这个大家也知道都是一个必然的发展趋势
[667.60-669.64] 这边我们也都提供非常多的
[669.90-671.44] 这个材料在供应
[673.22-676.56] 那Basic Profile介绍完之后我先
[676.82-677.84] 插一页
[678.10-680.90] 简介一下我们公司在
[681.16-682.70] 全球的布局
[682.96-684.50] 大家应该现在都非常
[684.80-686.08] 关心这个所谓的
[686.34-689.66] Geographical的这个
[690.18-691.70] 布局尤其是
[691.96-693.50] 现在这个Geopolitical
[693.76-699.14] 地缘政治的这个影响对全球的制造业影响都非常大
[699.38-704.26] 那首先我们还是以台湾为最主要的生产基地
[704.50-706.30] 那我们在台湾
[706.56-710.14] 中间有一个把台湾放大的图可以看到
[710.40-711.94] 我们在全省
[712.44-713.98] 各主要的科学区
[714.80-718.64] 台北台清竹台中台南高雄
[718.90-720.18] 尤其是现在高雄
[720.68-722.98] 越来越发重要这个
[724.52-727.34] 几乎各个主要的
[728.62-729.90] 晶圆代工厂
[730.16-732.20] 或者是其他的厂商
[732.46-734.76] 也都陆陆续续进入我们南部的科学领域
[735.02-737.58] 所以我们南部那边我们也
[739.12-739.62] Spam
[739.88-741.16] 也扩充了我们的产能
[741.94-743.22] 基本上就是一个
[743.46-744.50] 物流中心
[744.80-746.84] 这个等下来会做介绍
[747.86-753.76] 那台湾以外的大中华地区我想大家这边可以看到大陆这边的
[754.02-754.78] 点据点
[755.04-758.88] 是非常多的我们整个大中华地区都有Cover
[759.14-761.44] 那最主要的是在上海
[761.70-762.72] 以及深圳
[762.98-764.50] 两个地方有我们的两个
[764.76-765.28] 子公司
[765.54-767.58] 我们华丽的子公司
[768.60-771.42] 在做销售然后还有一些分公司
[771.68-773.46] 在做青岛
[773.72-774.50] 苏州啊
[774.80-776.08] 厦门啊
[776.58-779.66] 成都啊等等这些地方都有分公司
[780.18-780.68] 那
[780.94-782.98] 其实从好几
[783.24-783.76] 应该
[784.02-785.80] 好几年前开始吧
[786.06-788.62] 我们在东南亚已经早就有布局
[789.64-791.44] 其实早在
[791.94-795.02] 川普第一任任期的时候
[795.28-797.06] 大家开始做transfer
[797.32-798.60] 到东南亚的时候
[798.86-802.96] 我们早在那个之前我们应该在二三十年前就已经在东南亚布局了
[803.22-805.78] 所以我们现在在东南亚的布局相当完整
[806.28-809.62] 大家可以看到东南亚的主要国家我们都有布局
[810.90-813.96] 那也随着客户重要的
[814.22-816.78] 一个非常大的客户到日本
[817.30-820.62] 到美国我们也都有跟着去布局
[821.14-823.18] 那也都陆陆续续在供应
[823.44-825.24] 客户所需要的材料
[825.48-828.30] 那最后再讲右下角的这一个饼
[828.56-830.36] 我们基本上
[830.60-832.92] 最主要的营收还是来自于台湾
[833.22-834.24] 华丽这个entity
[834.76-836.28] 营收主要还是
[836.54-838.60] 从台湾华丽这边
[838.84-841.92] 认业营收所以有将近60%
[842.18-847.56] 那中国来讲的话大概占34%的营收
[847.80-853.96] 那东南亚地区这些地方新加坡越南泰国马来西亚加起来大概有10%左右的营收
[854.98-856.52] 这个是
[856.76-861.12] 一到四月的资料因为五月的营收还没有出来
[861.38-861.88] 所以
[862.14-862.92] 先讲到营收
[863.22-863.98] 一到四月
[866.28-868.08] 那这一页我就是
[868.34-871.92] 想要跟各位报告一下我刚刚最前面
[872.18-872.94] 有提到
[873.20-875.00] 所有我们华丽提供的附加价值
[875.50-877.04] 之所以可以让我们
[877.30-878.32] 在这个
[878.58-880.36] 庞大的供应链里面
[880.62-882.92] 稳稳的立足然后
[884.20-885.24] 这个成为
[885.48-889.84] 客户跟供应商双方所非常依赖的一个
[890.10-891.12] business partner
[891.38-892.66] 商业伙伴的一个
[893.48-895.26] 重要的一个附加价值
[895.78-900.12] 首先是一个所谓的FAE工程师的这个角色最上面
[900.38-902.68] 这边有写到FAE工程师的角色
[902.94-904.48] 这个就是我刚刚讲到
[904.74-906.02] 大家去想
[906.28-910.62] 如果今天比如说日本那边的供应商来讲好了
[911.14-912.42] 他们要销售
[912.68-914.46] 一些先进的材料
[914.72-918.82] 到大中华地区这边主要的生产基地
[919.08-920.36] 来做制造的话
[920.60-921.64] 他们
[921.88-922.92] 如果
[923.22-932.70] 
[950.10-950.86] 直接到客户的现场
[951.12-952.66] 就变成了客户的FAE
[952.96-955.86] 工程师
[955.86-958.02] 就是所谓制成工程师
[958.02-960.14] 因为我们的销售工程师
[960.14-963.32] 销售人员在介绍产品之前
[963.32-966.44] 其实也都会去日本原厂那边做授训
[966.44-971.06] 他们会了解所有材料的
[971.06-973.04] in and out的所有的知识
[973.04-973.86] 产品知识
[973.86-977.36] 他们也是身兼PM的角色
[977.36-980.52] 那回来之后
[980.52-981.42] 回来台湾之后
[981.42-982.88] 他们就可以在台湾
[982.96-986.80] 就近然后在地提供
[986.80-992.42] 技术上的一个咨询服务
[992.42-994.12] 给客户
[994.12-995.70] 给我们的客户
[995.70-998.76] 这是一个非常重要的角色
[998.76-1001.78] 这是第一个技术上的
[1001.78-1003.54] 一个加值的服务
[1003.54-1005.22] 第二个加值服务
[1005.22-1006.68] 就是我们这边下面
[1006.68-1008.20] 整个的所谓的
[1008.20-1010.64] warehouse custom handling
[1010.64-1012.40] 然后logistics
[1012.40-1012.94] 然后我们的客户
[1012.94-1014.10] 全方位的物流
[1014.10-1014.98] 报关服务
[1014.98-1016.10] 仓服系统
[1016.10-1019.18] 这整套的
[1019.18-1023.30] 所谓的全方位的物流服务
[1023.30-1025.26] 这个也是客户跟供应商
[1025.26-1027.66] 相当依赖我们的地方
[1027.66-1029.58] 尤其供应商来讲
[1029.58-1031.94] 供应商如果自己一家
[1031.94-1034.82] 他想要到台湾这边来做销售的话
[1034.82-1038.10] 他得要自己成立自己的仓服系统
[1038.10-1039.56] 运送他要怎么运送
[1039.56-1042.78] 除非他是找第三方做物流系统
[1042.78-1044.06] 或者是做物流服务
[1044.06-1046.62] 不然就是要建立自己的物流车队
[1046.62-1049.02] 那个都非常的costly
[1049.02-1050.66] 都非常的昂贵
[1050.66-1052.78] 相对来讲的话
[1052.78-1055.78] 由我们华丽及各家之大成
[1055.78-1058.66] 我们把所有供应商的产品
[1058.66-1060.02] 全部都汇总
[1060.02-1061.14] 放到大家可以看到
[1061.14-1062.18] 这边有个图
[1062.18-1063.34] 看起来很小
[1063.34-1063.90] 可以看
[1063.90-1064.82] 可是可以看得出来
[1064.82-1068.26] 是一个很大的一个仓服系统
[1068.26-1070.26] 我们及各家之大成
[1070.26-1072.66] 把所有的供应商的材料
[1072.78-1075.22] 和原物料集中保管
[1075.22-1077.38] 放在我们的仓铺里面
[1077.38-1079.94] 它的每一项产品的单位
[1079.94-1082.26] 仓储成本就可以降低
[1082.26-1083.78] 这样子成本降低
[1083.78-1088.66] 就可以回馈到给供应商跟客户双方
[1088.66-1093.26] 我们华丽中介也可以稍微有一点点
[1093.26-1097.62] markup的一个附加价值的一个加值
[1097.62-1102.74] 这是一个显而易见的一个对供应商的好处
[1102.78-1106.62] 这个仓储系统对客户的好处是什么
[1106.62-1109.70] 大家可以知道
[1109.70-1113.54] 客户现在几乎都不放原物料的库存
[1113.54-1115.58] 客户原物料的库存
[1115.58-1118.14] 它基本上就是放在华丽这边
[1118.14-1120.70] 我们华丽基本上
[1120.70-1123.78] 我们会维持一个月的
[1123.78-1125.82] 原物料的库存
[1125.82-1128.38] 就是差不多一个月的原物料库存
[1128.38-1131.46] 客户随时有集单
[1131.46-1132.46] 不管他是集单
[1132.46-1135.54] 或者是正常排成的单子
[1135.54-1137.84] 他要开始生产的时候
[1137.84-1139.88] 只要提前几天
[1139.88-1142.18] 甚至顶多到一个礼拜以前
[1142.18-1143.98] 跟我们华丽下地
[1143.98-1146.28] 我们华丽就可以在几天之内
[1146.28-1148.58] 大家可以回顾去看到
[1148.58-1150.90] 我们的全省
[1150.90-1152.94] 甚至在中国
[1152.94-1154.48] 我们各地都有我们的
[1154.48-1156.02] 仓储服务系统
[1156.02-1157.30] 跟办公室
[1157.30-1160.10] 随时都可以就近提供服务给
[1160.10-1160.88] 客户
[1160.88-1162.42] 材料上面的工艺
[1162.46-1164.76] 所以基本上来讲
[1164.76-1165.54] 客户
[1165.54-1167.58] 他可以
[1167.58-1168.60] free off
[1168.60-1170.90] 就是
[1170.90-1172.96] 不用去再
[1172.96-1175.00] 准备材料方面的库存
[1175.00-1177.82] 他基本上就是把库存的这个burden
[1177.82-1179.10] 交给我们华丽
[1179.10-1181.14] 那身为通路商我们
[1181.14-1183.46] 责务旁贷的我们就是要准备
[1183.46-1186.02] 这么多的一个月的这个材料的库存
[1186.02-1186.78] 随时
[1186.78-1189.34] 供应客户随时的储蓄
[1189.34-1192.42] 那这也是我们的一个附加价值的一个费用
[1192.46-1195.02] 那我们基本上
[1195.02-1196.30] By doing so
[1196.30-1200.40] 这样做的原因基本上就是提供给
[1200.40-1203.98] 供应商跟客户金流上的一个服务
[1203.98-1206.02] 因为基本上这样大家可以了解
[1206.02-1210.90] 客户跟供应商基本上他们都可以减低他们的working capital
[1210.90-1213.70] 他们的营运资本营运周转季
[1213.70-1214.98] 都可以减轻
[1214.98-1216.52] 客户不用被库存
[1216.52-1219.86] 供应商可以早一点收到他们的AR
[1219.86-1222.42] 应该说他们的AAR
[1222.46-1226.30] 那基本上这就是我们华丽这边提供的附加价值服务
[1226.30-1228.60] 介绍到这里
[1228.60-1231.94] 那接下来是一些比较偏
[1231.94-1234.50] 数字上的一些表现
[1234.50-1236.54] 从这一页大家可以看到
[1236.54-1239.10] 我们华丽10年以来
[1239.10-1242.42] 是一个持续稳定成长的一个
[1242.42-1243.70] 趋势
[1243.70-1246.78] 如果说要在市场上找一家
[1246.78-1248.06] 值得
[1248.06-1249.08] 费用的
[1249.08-1251.14] 那我们就要去找一个
[1251.14-1252.42] 值得
[1252.42-1258.56] 投资的一个长期持续稳定成长的一个value stock
[1258.56-1260.86] 所谓价值成长股的话
[1260.86-1263.18] 我想我们华丽应该可以
[1263.18-1267.78] 轻松的名列在其中
[1267.78-1272.64] 从2014年的不到400亿
[1272.64-1275.20] 不到400亿的这个营收
[1275.20-1279.30] 到10年后我们已经成长double到800亿
[1279.30-1282.38] 在去年已经突破800亿的营收短盘
[1282.42-1287.02] 这个一个K格大家可以回去算一下
[1287.02-1290.62] 是一个非常漂亮的一个成长的一个曲线
[1290.62-1293.68] 那季度的营收
[1293.68-1296.76] 这张图主要是想要跟各位
[1296.76-1298.04] 说明一下
[1298.04-1300.86] 我们华丽的这个营收pattern
[1300.86-1306.74] 还是基本上跟着我们所谓台湾科技产业的这个seasonality
[1306.74-1308.28] 大家可以看到
[1308.28-1310.06] 不管是24年
[1310.06-1312.38] 然后这个
[1312.42-1313.96] 23年
[1313.96-1316.52] 然后21年20年
[1316.52-1320.62] 基本上都是第3季是所谓的seasonal peak
[1320.62-1322.66] 就是营收的高峰
[1322.66-1327.02] 那唯独在2022年是例外
[1327.02-1330.34] 2022年的第3季不是营收高峰
[1330.34-1333.66] 那这个大家应该可以理解大家回想一下
[1333.66-1335.98] 2022年发生了什么事
[1335.98-1340.84] 因为COVID导致的供应链混乱所以物价狂飙
[1340.84-1341.60] 那
[1341.60-1342.38] 2022年
[1342.42-1344.46] 的上半年开始美国
[1344.46-1346.52] Fed开始提高利率
[1346.52-1347.54] 所以
[1347.54-1351.90] 从那时候开始整个需求迅速的下降
[1351.90-1356.76] 所以导致2022年的第3季并没有再创营收的高峰
[1356.76-1359.06] 然后2023年的
[1359.06-1361.10] 营收
[1361.10-1365.46] 2022年下半年就开始有点微幅的衰退
[1365.46-1367.26] 然后23年也
[1367.26-1369.82] 第一季也达到了这个营收的谷底
[1369.82-1372.38] 不过到了23年的第2季开始有点微幅的衰退
[1372.42-1376.00] 我们又开始看到营收的逐步
[1376.00-1377.02] 回稳
[1377.02-1378.30] 开始回升
[1378.30-1382.40] 这个是一个seasonality的一个pad
[1382.40-1383.68] 给各位介绍
[1383.68-1384.96] 那紧接着
[1384.96-1388.54] 这一页是要跟各位介绍我们的产品
[1388.54-1391.88] 我们华丽到底销售代理销售哪些产品
[1391.88-1395.20] 可以由这个
[1395.20-1396.48] 柱状图来
[1396.48-1399.82] 看得到我们有几个主要的营收区块
[1399.82-1402.38] 第一个是蓝色的这个所谓的
[1402.38-1403.92] 下面有Legend
[1403.92-1406.22] 有这个说明
[1406.22-1410.06] 第一个是蓝色的这个所谓的ICT
[1410.06-1415.18] ICT基本上就是所谓的information and communication technology
[1415.18-1418.76] 就是我们中文常讲的这个自通讯
[1418.76-1421.06] 台湾那个
[1421.06-1422.10] 基本上
[1422.10-1425.94] 最大的产业应该就是这个所谓的自通讯产业
[1425.94-1429.00] 那我们华丽在这个产业里面
[1429.00-1432.34] 我们也是一个在我们营收比重最高的
[1432.38-1434.42] 一个区块
[1434.42-1437.50] 那它在我们的营收大概将近38%
[1437.50-1443.38] 那我这边要讲一个这个38%里面的一个比重
[1443.38-1447.48] 可能请大家稍微做一下注记
[1447.48-1451.06] 就是这个38%的营收比重里面
[1451.06-1455.94] 有75%是来自于我们的高阶工程塑胶
[1455.94-1461.06] 等一下我下一个投影片就会介绍什么叫做高阶工程塑胶
[1461.06-1462.34] 75%是来自于我们的高阶工程塑胶
[1462.38-1469.30] 然后在这个38%里面的剩下的25%
[1469.30-1473.14] 是来自于我们的所谓的PCB材料
[1473.14-1477.22] 等一下后面投影片也会做PCB材料的介绍
[1477.22-1480.82] 那先请大家先可能先
[1480.82-1484.40] 注记一下这个营收里面的一个区域
[1484.40-1485.16] 因为
[1485.16-1488.50] 他们这两个材料基本上都是跟
[1488.50-1491.56] 自通讯产业密切相关
[1491.56-1492.34] 所以我们把它grouped
[1492.38-1494.18] 在一起一起看
[1494.18-1501.08] 就是一个所谓ICP自通讯产业的一个区块
[1501.08-1501.86] 那
[1501.86-1508.50] 第二个营收区块就是到今年4月为止
[1508.50-1511.06] 营收比重已经成长到30%
[1511.06-1512.10] 大家可以看到
[1512.10-1514.14] 前几年他都还在
[1514.14-1517.98] 25% 26%左右的一个半导体
[1517.98-1520.02] Semi 红色的这个Semi
[1520.02-1521.30] 半导体产业
[1521.30-1522.34] 在今年
[1522.38-1527.50] 一到四月的营收比重他已经达到30%的比重了
[1527.50-1528.52] 所以
[1528.52-1531.86] 由此可见今年一到四月营收
[1531.86-1535.18] 成长最快的大概就是这个半导体产业
[1535.18-1538.00] 这个等一下也都会再做进一步说明
[1538.00-1540.82] 然后绿色的这个区块是
[1540.82-1543.12] 所谓的Apto-Electronics
[1543.12-1545.42] 这边我们写的是Apto-Electronics
[1545.42-1546.70] 这跟我们
[1546.70-1549.00] 这是跟我们内部的
[1549.00-1552.08] 销售部门的业务部门的名称
[1552.38-1554.42] 有关
[1554.42-1559.30] 不过实际上他们这个业务部门在销售的产品基本上
[1559.30-1563.38] 也就是LCD相关的一些
[1563.38-1567.48] 上游的原材料然后还有一些中游跟下游的
[1567.48-1570.82] 这个半成品跟成品的一些销售
[1570.82-1575.68] 那这个比重也大概占我们一到四月的25%左右的比重
[1575.68-1579.26] 那另外就是其他那个就占比较少
[1579.26-1581.82] 我就不再多进一步赘述了
[1582.38-1584.18] 那as promised
[1584.18-1586.48] 我刚刚有讲说要介绍
[1586.48-1589.80] 怎么是所谓的高阶工程塑胶
[1589.80-1590.58] 那
[1590.58-1595.44] 高阶工程塑胶这个占我们ICT75%比重的这个
[1595.44-1597.74] 高阶工程塑胶呢
[1597.74-1601.32] 大家去想象
[1601.32-1603.62] 大家在每天的daily life
[1603.62-1608.50] 每天的生活里面所接触到的各式各样的3C产品
[1608.50-1610.28] 包括您的笔电啊
[1610.28-1611.82] 您的手机啊
[1611.82-1613.36] 您的平板啊
[1613.36-1616.42] 您的这个Tablet啊
[1616.42-1619.76] 所有的或者是通讯设备
