[0.00-16.74] 中华纸箱股份有限公司2024年第四季营运概况季全年度的法收会
[142.38-148.48] 那销售据点的话有台北台中台南深圳上海香港
[148.72-152.92] 所以可以看到我们这边在两岸三地总共有一些
[152.92-156.40] 五个生产基地跟六个销售据点
[156.40-162.54] 2024年的营运表现我们可以看到这边的一个对账
[162.54-168.94] 在2024年全年的营业收入是207.7亿
[168.94-173.04] 将来2023年209.5亿
[173.04-176.88] 我们的年增长率是负的0.9%
[176.88-178.68] 营业毛利是15.7%
[178.68-182.52] 2023年是10.9亿
[182.52-186.36] 年增长率是41.8%
[186.36-190.46] 营业经历是在2024年是负的5.5亿
[190.46-195.32] 在2023年是负的8.6亿
[195.32-200.18] 业外收支这边的话是2024年是2.4亿
[200.18-202.74] 2023年是1.6亿
[202.74-206.08] 年增长是52.6%
[206.08-208.64] 那都有交去年做大幅度的改善
[208.68-212.52] 那在业外收支这边可以看到利息的话
[212.52-215.60] 利息因为利率的调升所以有一些增长
[215.60-218.66] 但是在于汇兑损益跟论列
[218.66-222.50] 关联企业这边都有交去年增加
[222.50-227.36] 那关联企业这边主要是有投资元泰跟永丰金的部分
[227.36-233.00] 还有股利收入的话这边的股利也由于这些投资交去年过利加
[233.00-234.54] 所以也有增加
[234.54-238.64] 那其他的其他收入的这边有1.78亿
[238.68-242.52] 叫2023年1.6亿也是增加
[242.52-247.90] 那增加主要有一些绿电的收入
[247.90-252.24] 所以前经历这边的话是负的3.6亿
[252.24-256.60] 叫去年的负的6.9亿也是大幅改善
[256.60-261.98] 最后经历是负的2.2亿叫去年负的5.5亿
[261.98-264.02] 这边也是有进步
[264.02-268.64] 那归属在本公司最后经历今年是负的2.5亿
[268.68-270.22] 最后看到EPS
[270.22-273.80] EPS2024年是负的0.23
[273.80-276.88] 叫2023年负的0.53
[276.88-279.18] 增加了0.3
[279.18-284.30] 以上这是2024年的营运表现
[284.30-289.16] 总结这边的话2024年虽然整体国际降价较去年有利
[289.16-292.24] 但是因为在下半年开始下跌
[292.24-297.36] 那在去年的时候也陆续受到地震跟台风天灾的倾倒
[297.36-298.64] 去年的4月份
[298.68-302.52] 有一个大地震以及10月份有两个强烈台风
[302.52-305.34] 那加上美国大选的影响
[305.34-307.64] 所以市场消费较为保守
[307.64-312.24] 全年合并营收是新台币207.7亿
[312.24-315.58] 营业毛利是新台币15.4亿
[315.58-318.14] 毛利率是7.4%
[318.14-321.20] 营业净损是5.5亿
[321.20-323.76] 营业率为负的2.7%
[323.76-327.36] 业外的部分因为受惠于关联企业的利益
[327.36-328.64] 跟鼓励收入的
[328.64-330.68] 增加还有汇兑有利
[330.68-335.56] 所以业外收入是正的2.4亿
[335.56-338.62] 税后净利是负的2.2亿
[338.62-341.70] 那在2025年的展望这边的话
[341.70-346.30] 华子长期耕耘在投入绿色能源跟绿色产品
[346.30-349.64] 贴近环境优先的减碳趋势
[349.64-352.70] 花莲厂的生质能发电设备
[352.70-355.26] 除了在2023年的3月
[355.26-358.60] 已经取得绿电凭证就是再生能源凭证
[358.64-362.74] 在2024年我们也陆续取得了绿电发电的
[362.74-366.32] ISO-14067产品探测机认证
[366.32-370.16] 达到全台第一张的电力永续认证
[370.16-371.96] ISO-13065
[371.96-374.26] 那它是一个生质能的
[374.26-376.30] 永续标准的一个证书
[376.30-381.94] 今年我们更将会投入30亿来新建高效的回收生质
[381.94-386.28] 生质能发电设施来大幅提升绿电产电效率
[386.28-388.60] 朝向全产绿色能源自给自取
[388.64-392.22] 跟零碳排的目标前进
[392.22-396.32] 同时我们华子积极在调整绿色产品组合
[396.32-401.18] 取得了产品的全生命周期评估的第三张查证
[401.18-404.26] 另外再符合台湾的绿色采购法
[404.26-407.32] 我们有提供完整的一个FIC产品线
[407.32-411.16] 也拓展产品去取得一些环保认证跟
[411.16-412.70] 碳足迹的标章
[412.70-416.80] 2025年华子还是会秉持着注重环保产品发展
[416.80-418.60] 朝绿色低碳方向前进的发展
[418.64-422.74] 推动制程节能减碳跟环境友好
[422.74-425.30] 完善一个绿色制造体系
[425.30-427.86] 稳健经营永续发展
[427.86-433.48] 这边的话可以跟大家分享一下我们在2024取得的这个
[433.48-436.30] 是由TUV他给予的纸质品
[436.30-438.86] 那这是我们化验厂的一个营用纸
[438.86-441.16] 他的一个碳排的企业标准
[441.16-443.22] 那他是在说明的一些
[443.22-446.28] 产品是有一个固碳的效果
[446.28-448.60] 那这边的话呢介绍一下我们在
[448.60-451.42] 那个化验厂现在既有的玻璃
[451.42-456.54] 那在未来也让我们会取得这个ISO14067跟ISO13065
[456.54-462.68] 那ISO14067是针对生殖能发电绿片这个部分的一个碳足迹的认证
[462.68-469.08] 那ISO13065就是从源头来讲就是一个生殖能的一个
[469.08-470.36] 发电设施
[470.36-473.68] 那也是一个永续的一个发电设施
[473.68-476.50] 那以上谢谢大家
[476.50-477.78] 那在接下来
[477.78-479.06] 就回到这里
[479.06-480.34] 对谢谢
[480.34-481.62] 谢谢那个
[481.62-483.92] 头衔里的说明
[483.92-486.48] 在接下来我们要进行的是Q&A的时间
[486.48-491.10] 如果各位投资先进还有各位媒体朋友有疑问的话都可以举手发问
[491.10-495.96] 那在提问之前也先告知我们一下您任职的保护还有您的姓名
[495.96-498.26] 那现在我们是不是请我们发言人
[498.26-500.30] 陈总先
[500.30-501.34] 先到前面来
[501.34-505.18] 那有没有来问投资先进有问题的可以举个手把麦克风递过去
[507.78-517.26] 大家好我是那个券宽资本的黄尚宝
[517.26-519.04] 我想问两个问题
[519.04-520.06] 第一个是
[520.06-522.38] 有提到说后续会
[522.38-525.18] 持续的做就是投入绿色能源跟绿色产品的
[525.18-525.96] 就是
[525.96-526.98] 研发或生产
[526.98-531.08] 那想问说就是打入这个绿色工业的成本就是相较跟
[531.08-536.46] 比如说这些能源的需求是直接跟现有的厂商去进行购买或是使用
[536.46-537.74] 这是第一个问题
[537.78-541.36] 然后第二个问题是说就是在后续的
[541.36-544.18] 经营的方针或规划上面有没有想要
[544.18-545.98] 往就是国外去设厂
[545.98-548.28] 因为我看那个年报上面就是
[548.28-550.32] 有些有说到说就是
[550.32-555.96] 可能会需要从国外去把一些原料进来然后在台湾商场之后再把它
[555.96-557.50] 卖到原本那个
[557.50-558.52] 原料
[558.52-562.62] 提供那个国家或是地方那想问说就是有没有想要往
[562.62-564.92] 直接在在地生产的调整这样子
[564.92-566.46] 那如果没有的话是
[566.46-567.74] 什么原因这样子
[567.78-571.36] 谢谢
[571.36-572.90] 一个问题
[572.90-575.98] 绿色能源来讲的话
[575.98-577.76] 我现在做的是
[577.76-579.04] 我的
[579.04-580.06] 输入的
[580.06-581.10] 燃料
[581.10-583.14] 就是我生殖燃料
[583.14-584.68] 是没有增加的
[584.68-586.72] 但是我的产出是
[586.72-588.26] 多了2.5倍
[588.26-589.80] 我这次投资的
[589.80-591.34] 整个设备
[591.34-593.90] 是把效率整个大幅提高
[593.90-595.68] 那它产电率是
[595.68-597.74] 现行的2.5倍
[597.78-598.54] 所以
[598.54-600.08] 这代表的是更节能
[600.08-602.14] 我的
[602.14-606.48] 资源的利用率会更高
[606.48-608.28] 这个问题是
[608.28-609.04] 第一个问题
[609.04-610.84] 那产品的话当然
[610.84-612.12] 我持续往
[612.12-615.44] 整个绿色产品去开发这是没有疑问的
[615.44-616.72] 我们会
[616.72-619.02] 把现有的科技可以做到的
[619.02-619.80] 程度
[619.80-623.12] 不管是在纤维的材料或是纸张的
[623.12-624.66] 一个图布上面
[624.66-626.46] 去替代一些
[626.46-627.74] 云有的塑胶的
[627.74-630.30] 产品
[630.30-634.14] 这个方向目前是没有改变的
[634.14-636.70] 那至于会不会去国外做
[636.70-637.98] 其他投资
[637.98-639.00] 其实我们
[639.00-640.54] 是蛮期待这次的
[640.54-642.84] 生殖能源的效率提升的一个案子
[642.84-643.86] 如果说
[643.86-645.40] 这是一个成功的
[645.40-646.68] 那我们就不排除
[646.68-649.50] 把这样的经验复制到国外目前
[649.50-651.30] 一些闲置的工厂
[651.30-652.32] 去做
[652.32-653.08] 但是
[653.08-654.88] 条件是要有当地人的资源的
[654.88-655.90] 不管是
[655.90-657.44] 木片或是废纸
[657.44-658.72] 这样的资源
[658.72-660.00] 我们才有可能去
[660.00-662.04] 投资当地的一个
[662.04-664.10] 海外的一个设施
[664.10-666.14] 这是我们目前对整个
[666.14-668.44] 提到问题的一个想法
[671.00-673.56] 如果还有其他问题想提问的可以举个手
[673.56-675.10] 我们把麦克风递过去
[685.34-687.40] 段经理好我是华南
[687.44-692.44] 那兩個問題 一個關於公司不磷膜的那個
[692.44-694.44] 那個
[695.44-697.44] 不塑膠磷膜的那個
[697.44-699.44] 你懂我的意思就是我們
[699.44-701.44] 當初的那個一粒產品界
[701.44-703.44] 對 現在大概
[703.44-707.44] 今天就沒有提到幫我補充一下這方面的消息
[707.44-709.44] 第二個關於那個公司的原物料
[709.44-714.44] 那個川普對加拿大要課那個募財稅
[714.44-716.44] 當然不一定成真
[716.44-718.44] 對我們公司的那個原物料的那個供應
[718.44-720.44] 不論是木片 紙漿
[720.44-722.44] 會不會有一些潛在的影響
[722.44-724.44] 第二個問題 再補一個
[724.44-726.44] 沒有啦 先這個
[726.44-728.44] 好 謝謝
[728.44-730.44] 無塑的產品來講的話
[730.44-732.44] 我們一年目前大概就
[732.44-734.44] 不會是在幾億的一個一定
[734.44-736.44] 那我們必須承認
[736.44-738.44] 目前的科技來講的話
[738.44-740.44] 產品是很好 那整個成本
[740.44-742.44] 還不是很理想
[742.44-744.44] 所以我們一直在
[744.44-746.44] 研發怎麼樣把成本降到
[746.44-748.44] 消費者被普及化的範圍之內
[748.44-750.44] 這是我們
[750.44-752.44] 還在努力的
[752.44-754.44] 但是產品其實是到位的
[754.44-756.44] 只是這個成本跟原本一模的比起來
[756.44-758.44] 還是比較高
[758.44-760.44] 這個是有這個問題
[760.44-762.44] 持續在處理
[762.44-764.44] 那第二個問題
[764.44-766.44] 加拿大的問題
[766.44-768.44] 我們也在期盼說
[768.44-770.44] 如果說這個是
[770.44-772.44] 真的有發生的話
[772.44-774.44] 而且是持續一段時間
[774.44-776.44] 也不知道持續多久
[776.44-778.44] 那至少
[778.44-780.44] 以三月份來講的話
[780.44-782.44] 三到四月如果它對加拿大的
[782.44-784.44] 譬如說薑的課稅
[784.44-786.44] 長籤的課稅
[786.44-788.44] 是有25%的話
[788.44-790.44] 那目前看起來是
[790.44-792.44] 歐洲會去補加拿大原本
[792.44-794.44] 供應給美國市場的
[794.44-796.44] 所以說歐洲的
[796.44-798.44] 長籤可能會
[798.44-800.44] 看似比較往上漲
[800.44-802.44] 那加拿大的長籤
[802.44-804.44] 可能就有機會
[804.44-806.44] 到亞洲會相對便宜
[806.44-808.44] 我們是有在觀察
[808.44-810.44] 這樣子的一個狀況
[810.44-812.44] 如果有的話我們當然會去
[812.44-814.44] 採購這樣比較便宜的
[814.44-816.44] 品質又好的纖維
[816.44-818.44] 不過這個我們會去看
[818.44-820.44] 到底它持續性是多久
[820.44-822.44] 那木片也是
[822.44-824.44] 我們做一些特種子的木片
[824.44-826.44] 其實需要所謂的Budge
[826.44-828.44] 就滑木的
[828.44-830.44] 滑木剛好加拿大也有產
[830.44-832.44] 那如果說
[832.44-834.44] 原木採購對價是減少的
[834.44-836.44] 那是不是這樣的木材
[836.44-838.44] 就有機會我們
[838.44-840.44] 可以比較便宜的取得
[840.44-842.44] 同時可以降低我的採購費用
[842.44-844.44] 這個我們有去關注
[844.44-846.44] 不只是加拿大而已
[846.44-848.44] 其他包括南北墨西哥這些
[848.44-850.44] 連動的關係
[850.44-852.44] 其實我們持續在關注
[852.44-854.44] 那我到6月對
[854.44-856.44] 漲價
[856.44-858.44] 長板前漲價的想法是怎麼樣
[858.44-860.44] 這是一個很好的問題
[860.44-862.44] 這是一個很好的問題
[862.44-864.44] 我們在觀察
[864.44-866.44] 因為畢竟從去年的
[866.44-868.44] 11月短纖
[868.44-870.44] 降到低點之後
[870.44-872.44] 整個國際漲價的庫存
[872.44-874.44] 只降的庫存是有開始往下
[874.44-876.44] 減少的現象
[876.44-878.44] 表示大家認為是低點有在出貨
[878.44-880.44] 那連續漲到
[880.44-882.44] 這個月是第四個月
[882.44-884.44] 大陸因為整個年後的
[884.44-886.44] 開工率
[886.44-888.44] 目前看起來
[888.44-890.44] 並不如預期的好
[890.44-892.44] 所以這個月的漲價
[892.44-894.44] 市場上是有
[894.44-896.44] 一些抵抗
[896.44-898.44] 在國際漲價上面
[898.44-900.44] 已經有宣布這個月再漲20塊
[900.44-902.44] 長纖跟短纖
[902.44-904.44] 但是股票接受不接受
[904.44-906.44] 目前還在拔河
[906.44-908.44] 還沒有明朗化
[908.44-910.44] 不過以目前看起來
[910.44-912.44] 長纖繼續往上走的
[912.44-914.44] 機率大於半
[914.44-916.44] 那因為長短纖的價差
[916.44-918.44] 現在已經高達200塊美金了
[918.44-920.44] 所以長纖如果往上走的話
[920.44-922.44] 一般短纖的價差是
[922.44-924.44] 在這個時候
[924.44-926.44] 價差大的時候
[926.44-928.44] 也會跟著往上走
[928.44-930.44] 不然它會有移動性
[930.44-932.44] 長纖就少用多用一點短纖
[932.44-934.44] 所以還是會有量的平衡
[934.44-936.44] 跟市價一些微妙的互動
[936.44-938.44] 這是目前的一個狀況
[938.44-940.44] 那這個月如果說
[940.44-942.44] 這20塊有接受了
[942.44-944.44] 那下個月
[944.44-946.44] 再繼續往上走一兩個月的機會
[946.44-948.44] 就會比較大
[948.44-950.44] 接受不接受
[950.44-952.44] 關鍵在這三天上海它目前在開一個江子
[952.44-954.44] 的會議
[954.44-956.44] 到禮拜四大家就會知道
[956.44-958.44] 比較明瞭一點
[982.44-984.44] 總經理好
[984.44-986.44] 我是Ascenia Capital的Roger
[986.44-988.44] 我想要請問公司對於
[988.44-990.44] 今年25年的
[990.44-992.44] 該的指揮是在營收上
[992.44-994.44] 然後就是考慮到
[994.44-996.44] 剛有提到關稅
[996.44-998.44] 還有就是降價之後
[998.44-1000.44] 對於今年的展望會是什麼樣子
[1000.44-1002.44] 謝謝
[1008.44-1010.44] 今天我們目前看起來
[1010.44-1012.44] 上半年
[1012.44-1014.44] 會比較在需求上
[1014.44-1016.44] 會比較有不確定的因素
[1016.44-1018.44] 因為大家也因為關稅的事情
[1018.44-1020.44] 不知道要不要做
[1020.44-1022.44] 我們現在有客戶
[1022.44-1024.44] 他在生產上是有一些阻礙的
[1024.44-1026.44] 因為大家不知道後面
[1026.44-1028.44] 會發生怎麼樣的
[1028.44-1030.44] 區域性的分配
[1030.44-1032.44] 就算有訂單
[1032.44-1034.44] 他們現在的製造是有點挺看停的
[1034.44-1036.44] 這是目前的一個現象
[1036.44-1038.44] 但是比如說江
[1038.44-1040.44] 因為往後的一季度是
[1040.44-1042.44] 國際江場的稅型
[1042.44-1044.44] 稅休的忘記
[1044.44-1046.44] 不是製造的忘記
[1046.44-1048.44] 大家供應量又有一些題材
[1048.44-1050.44] 可以去談
[1050.44-1052.44] 所以現在有點多空
[1052.44-1054.44] 拔河的一個狀況
[1054.44-1056.44] 所以
[1056.44-1058.44] 整個今年到底會不會比較好
[1058.44-1060.44] 我相信
[1060.44-1062.44] 再過兩個月比較明朗之後
[1062.44-1064.44] 會有一波好一點的行情出來
[1064.44-1066.44] 因為
[1066.44-1068.44] 這兩個月是有點停頓
[1068.44-1070.44] 但是
[1070.44-1072.44] 持續率是怎麼樣下半年
[1072.44-1074.44] 目前我是看不出來
[1074.44-1076.44] 如果說整體經濟
[1076.44-1078.44] 包括烏克蘭的重建
[1078.44-1080.44] 歐洲軍費的
[1080.44-1082.44] 大幅的增加
[1082.44-1084.44] 那也算是一種基礎投資
[1084.44-1086.44] 那可能就有一番的
[1086.44-1088.44] 需求的帶上來
[1088.44-1090.44] 不過這個都還是
[1090.44-1092.44] 要再過幾個月看起來會比較清楚
[1096.44-1098.44] 我們現在想再開放最後一個問題
[1098.44-1100.44] 如果有任何問題想要提出的話
[1100.44-1102.44] 都可以在這個時間內提出您的問題
[1102.44-1104.44] 我們的陳瑞和總經理會回答大家的提問
[1110.44-1112.44] 如果現場沒有任何問題的話
[1112.44-1114.44] 我們今天的法事會就到此告一段落
[1114.44-1116.44] 謝謝大家的參與
