[0.00-2.60] 好OK 各位投資見面大家午安
[2.60-5.50] 我想先請到現行委員大臣這邊
[739.20-744.20] 其中生產視野是246億元佔比78%
[744.20-748.20] 投資視野68億元佔比22%
[748.20-753.20] 到2024年底的負債比是58%
[753.20-756.20] 每股淨值12.3億元
[756.20-759.20] 以上是財務概況的簡要說明
[762.20-765.20] 好的接下來跟各位報告一下
[765.20-768.20] 技術轉型的三個方向
[768.20-770.20] 第一個綠色
[770.20-771.20] 第二個減碳
[771.20-773.20] 第三個是新材料
[773.20-776.20] 我相信這些發展的方向呢
[776.20-783.20] 我們最終的終止是符合ESG的減碳目標
[783.20-785.20] 那所謂綠色呢就是
[785.20-788.20] 第一個往上游的原料來看
[788.20-791.20] 我們是石油化學的
[791.20-792.20] 那個石油化學的原料
[792.20-794.20] 石油鏈結的下游嘛
[794.20-798.20] 所以要如何使用綠色的這些材料呢
[798.20-803.20] 是我們向上整合的一個方向
[803.20-807.20] 那另外就是開發一些塑料的回收啦
[807.20-810.20] 生物質材料的這些
[810.20-813.20] 等等的這些可分解的技術啊
[813.20-817.20] 等等朝綠色的產品方向去邁進
[817.20-819.20] 那減碳的部分呢
[819.20-821.20] 我想最值得一提的就是
[821.20-828.20] 我們在整個高雄零元廠製成的過程當中
[828.20-832.20] 會產生十萬噸的碳排
[832.20-838.20] 那這個部分呢我們在很久很久的之前呢
[838.20-841.20] 我們就已經全部回收了
[841.20-844.20] 那回收來的二氧化碳呢
[844.20-848.20] 第一個我們用在產品的這個原料
[848.20-850.20] 譬如說EC
[850.20-852.20] 碳酸乙烯子這個部分呢
[852.20-855.20] 就含有我們製成中的碳排
[855.20-857.20] 另外呢
[857.20-861.20] 經過二氧化碳經過純化之後呢
[861.20-864.20] 我們就銷售在工業級的
[864.20-869.20] 食品級的還有半導體級的二氧化碳的市場
[869.20-873.20] 尤其值得一提的是半導體級的市場
[873.20-875.20] 這個部分呢雖然量不是很大
[875.20-879.20] 但是呢我們具備這樣的一個ESG概念的產品呢
[879.20-885.20] 為這個半導體產業所歡迎
[885.20-889.20] 然後呢我們會朝這個方向
[889.20-891.20] 繼續去增加我們的客戶
[891.20-893.20] 這個是最值得一提的
[893.20-895.20] 還有呢我們很多產品呢
[895.20-902.20] 目前都有一些能夠譬如說跟碳
[902.20-906.20] 嵌入碳捕捉技術相關的這種工藝
[906.20-908.20] 這個也是我們
[909.20-911.20] 一大亮點
[911.20-913.20] 所以減碳這個部分呢
[913.20-918.20] 是我們用力最深的這個一個方向
[918.20-920.20] 那新材料的部分呢
[920.20-924.20] 就是注重在研發單位的努力
[924.20-928.20] 東聯化學的研發單位
[928.20-933.20] 應該是具有相當強大的一個團隊
[933.20-936.20] 我們具有開發新產品還有
[936.20-938.20] 開發新配方的一個能力
[939.20-941.20] 好接下來看
[941.20-948.20] 這個是我們另外一個核心產品
[948.20-951.20] 也就是東聯安的核心產品
[951.20-954.20] 我剛剛有提到安除潮這個部分
[954.20-960.20] 我們即將要進口自己用的安
[960.20-962.20] 那這個部分呢
[962.20-966.20] 對於我們開發系列安產品的
[966.20-968.20] 這樣的一個幫助呢是很大的
[968.20-970.20] 一方面可以降低成本
[970.20-971.20] 一方面呢
[971.20-973.20] 這個量的這個擴增呢
[973.20-976.20] 我們可以開發比較多的安系列的產品
[976.20-978.20] 那這個相關的運用
[978.20-983.20] 也是相當廣泛的
[983.20-988.20] 那談一下這個減碳的目標
[988.20-990.20] 那我們在
[990.20-993.20] 我很簡單的說就是
[993.20-995.20] 當然我們每年都在努力當中
[995.20-998.20] 那2035年
[998.20-1001.20] 2040年的減碳目標是減少
[1001.20-1004.20] 叫2015年減少35%
[1004.20-1006.20] 那2050年呢
[1006.20-1008.20] 達到碳中和的目標
[1008.20-1011.20] 這個目標我們並沒有改變
[1016.20-1019.20] 基本上的這個介紹
[1019.20-1021.20] 大概到這邊為止
[1021.20-1025.20] 那因為屬於特化
[1025.20-1027.20] 特化產品的業務主管
[1027.20-1029.20] 還有我們原料
[1029.20-1034.20] 以稀還有相關的這個
[1034.20-1036.20] 採購的經理
[1036.20-1037.20] 目前還沒有到
[1037.20-1040.20] 那我想我們先可以先從
[1040.20-1042.20] Q&A的部分
[1042.20-1044.20] 我們可以先回答各位
[1044.20-1047.20] 比較有興趣的問題
[1047.20-1051.20] 歡迎提問 謝謝
[1051.20-1054.20] 好 謝謝以結理跟講解理的
[1054.20-1055.20] 經濟的說明
[1055.20-1057.20] 那接下來進入Q&A的一段
[1057.20-1058.20] 各位投資先進
[1058.20-1059.20] 如果您有問題
[1059.20-1062.20] 可以打開賣車手口部提問
[1062.20-1063.20] 如果不方便口頭提問
[1063.20-1066.20] 也可以在下方的聊天室
[1066.20-1067.20] 做文件提問
[1072.20-1074.20] 結理你有看到嗎
[1074.20-1076.20] 下方有一個核庫投庫
[1076.20-1077.20] 他有問問題
[1077.20-1078.20] 你有看到嗎
[1078.20-1079.20] 要我唸出來
[1079.20-1081.20] 龍輝麻煩你唸一下
[1081.20-1082.20] 我們沒有看到
[1082.20-1084.20] 好 我唸一下
[1084.20-1086.20] 是核庫投庫的一個
[1086.20-1087.20] 有一個自由貸的問題
[1087.20-1088.20] 他提到
[1088.20-1090.20] 綠米加MCA的
[1090.20-1094.20] G&E的價重率
[1094.20-1097.20] 然後還有上述兩種產品的市價
[1097.20-1099.20] 大概都在什麼評價
[1099.20-1103.20] 以及HPE產品目前已經狀況
[1103.20-1106.20] 以及客戶採購狀況
[1106.20-1108.20] 還有未來已經進口
[1108.20-1110.20] 占幣會到多少
[1110.20-1113.20] 主要進口過程的國家有哪些
[1113.20-1114.20] 請教
[1114.20-1116.20] 2025年到2025年
[1116.20-1118.20] 等級的成功
[1118.20-1120.20] 以及需求成長狀況
[1120.20-1122.20] 以及開封率
[1122.20-1124.20] 好
[1124.20-1126.20] 這個當然有一部分是
[1126.20-1128.20] 要採用我們原料的部分
[1128.20-1130.20] 那我可以先回答一下
[1130.20-1133.20] 就是剛剛i系列的產品
[1133.20-1135.20] 關心的就是
[1135.20-1137.20] 之前我們新的這個設備
[1137.20-1138.20] 有兩套
[1138.20-1140.20] 一個是生產EDA的
[1140.20-1142.20] 一個是生產PEA的
[1142.20-1144.20] 在畫面上可以看得到
[1144.20-1146.20] 這個部分呢
[1146.20-1151.20] 因為相關的設備的建設
[1151.20-1152.20] 還有設計呢
[1152.20-1156.20] 都是由東聯化學獨立完成的
[1156.20-1158.20] 所以呢是屬於
[1158.20-1160.20] 在我們公司內部的
[1160.20-1161.20] 屬於一個新的工藝
[1161.20-1164.20] 在去年度完工
[1164.20-1167.20] 量產的這個過程當中
[1167.20-1172.20] 會面臨一些調適的問題
[1172.20-1175.20] 還有一些客戶開發的問題
[1175.20-1177.20] 因為有一些產品呢
[1177.20-1179.20] 像這兩樣產品
[1179.20-1182.20] 你必須要有一些產量出來
[1182.20-1187.20] 你才能夠去跟客戶去做驗證等等
[1187.20-1189.20] 所以呢以
[1189.20-1191.20] 問到這個價動率
[1191.20-1194.20] 並不是太高
[1194.20-1195.20] 並不是太高
[1195.20-1197.20] 而且我們還是在調適當中
[1197.20-1199.20] 大概在五成左右吧
[1199.20-1201.20] 那這個銷量呢
[1201.20-1204.20] 以內銷市場為主
[1205.20-1209.20] 目前還在少量的開發外銷市場
[1209.20-1212.20] 這個是一個比較新的產品
[1212.20-1215.20] 所以我們是還在
[1215.20-1218.20] 走一步摸索一下
[1218.20-1222.20] 然後我們再嘗試的開拓出
[1222.20-1226.20] 這個新的客戶跟新的產品線
[1226.20-1228.20] 那剛剛有提到說
[1228.20-1230.20] 龍輝是不是第二個問題
[1230.20-1233.20] 麻煩再幫我重複一下
[1233.20-1234.20] 好
[1234.20-1236.20] 第二個問題是問
[1236.20-1238.20] HPEC產品目前已經裝好
[1238.20-1240.20] 還有客戶採購裝好
[1240.20-1241.20] 好
[1241.20-1243.20] HPEC呢是
[1243.20-1246.20] 我們應該是前年底的案子
[1246.20-1248.20] 經過一年的建設呢
[1248.20-1250.20] 現在已經到了尾聲
[1250.20-1253.20] 也就是在第一季完整
[1253.20-1255.20] 大部分的這個設備呢
[1255.20-1256.20] 都已經安裝好了
[1256.20-1259.20] 那我們預計是在
[1259.20-1262.20] 第二季也就是
[1262.20-1264.20] 四到六月之間呢
[1264.20-1265.20] 可以量產
[1265.20-1267.20] 那客戶的這個部分呢
[1267.20-1271.20] 是目標放在這個
[1271.20-1274.20] 電池液的客戶
[1274.20-1278.20] 那有可能是日商
[1278.20-1283.20] 然後銷網的這個銷路呢
[1283.20-1285.20] 就是譬如說美國啦
[1285.20-1288.20] 或者是日本啦等等這些
[1288.20-1293.20] 生產電動車電池的這些大的廠商
[1293.20-1296.20] 具體的這個廠商名稱呢
[1296.20-1298.20] 當然我就不能在這邊透露了
[1298.20-1300.20] 所以呢
[1300.20-1302.20] 可以這麼說
[1302.20-1304.20] 綜合來說就是
[1304.20-1308.20] 我們對於能夠順利量產
[1308.20-1311.20] 然後完銷的這個部分呢
[1311.20-1314.20] 是抱持樂觀的態度
[1314.20-1316.20] 輪回第三個問題
[1316.20-1318.20] 麻煩你再
[1318.20-1319.20] 好
[1319.20-1320.20] 第三個問題有關於
[1320.20-1323.20] 問到未來機進口的問題
[1323.20-1325.20] 那現在的進口佔比會到多少米
[1325.20-1329.20] 然後主要進口貨源國家
[1329.20-1330.20] 好的
[1330.20-1332.20] 以西的這個進口呢
[1332.20-1335.20] 佔比
[1335.20-1337.20] 我們應該倒過來說
[1337.20-1341.20] 現在絕大部分都是靠中油的管線
[1341.20-1342.20] 那當然呢
[1342.20-1344.20] 我們要有這個
[1344.20-1347.20] 多管道的原料的來源
[1347.20-1348.20] 所以呢
[1348.20-1350.20] 即使自己建好了以西除潮呢
[1350.20-1352.20] 也不會說
[1352.20-1353.20] 我們會拿中油的貨了
[1353.20-1354.20] 還是會有
[1354.20-1362.20] 應該會有70%的需求會靠進口
[1362.20-1365.20] 那這個來源呢
[1365.20-1368.20] 我想從
[1368.20-1370.20] 亞洲
[1370.20-1372.20] 或者是
[1372.20-1373.20] 中東
[1373.20-1376.20] 這個方面的這個進口都會有
[1376.20-1377.20] 那至於說
[1377.20-1380.20] 美國的以西是不是能夠過來呢
[1380.20-1381.20] 我想就是
[1381.20-1382.20] 看價格
[1382.20-1383.20] 價錢
[1383.20-1384.20] 只要
[1384.20-1385.20] 價格呢
[1385.20-1386.20] 能夠符合
[1386.20-1389.20] 市場的這種競爭的話
[1389.20-1391.20] 這些來源都是有可能的
[1391.20-1393.20] 那
[1393.20-1395.20] 自有進口之後呢
[1395.20-1397.20] 我想在成本上的這個
[1397.20-1398.20] 幫助呢
[1398.20-1400.20] 是相當大的
[1400.20-1401.20] 目前跟中油呢
[1401.20-1404.20] 大概跟市場會差
[1404.20-1408.20] 一噸五六十塊以上的美元
[1408.20-1409.20] 後面的問題呢
[1409.20-1410.20] 我們要有一個
[1410.20-1411.20] 一個比較有效的
[1411.20-1413.20] 後面還有問題嗎
[1413.20-1414.20] 給你看
[1414.20-1415.20] 第四個問題喔
[1415.20-1416.20] 他是問到說
[1416.20-1418.20] 2025到26年的
[1418.20-1422.20] 一二成的供給需求成長狀況
[1422.20-1426.20] 還有開工率嗎
[1426.20-1428.20] 就我跟
[1428.20-1431.20] 我們原料採購的陳經理的了解
[1431.20-1433.20] 就是
[1433.20-1436.20] 以西的價格啊
[1436.20-1438.20] 目前
[1438.20-1439.20] 到今年為止
[1439.20-1440.20] 有一些新的產能
[1440.20-1441.20] 加入之後
[1441.20-1443.20] 一直到2027年之間
[1443.20-1446.20] 都不會有新的產能在加入了
[1446.20-1447.20] 但是呢
[1447.20-1450.20] 因為下游去化的關係
[1450.20-1455.20] 所以以西的這個價格呢
[1455.20-1457.20] 預估是
[1457.20-1460.20] 不會有太大幅度的波動
[1460.20-1463.20] 甚至還有微幅的下跌
[1463.20-1464.20] 然後
[1464.20-1465.20] 當然
[1465.20-1467.20] 整體的油價的這個估計呢
[1467.20-1468.20] 是往下走的
[1468.20-1469.20] 所以
[1469.20-1471.20] 第一個以西原料呢
[1471.20-1474.20] 應該是持平或環部下跌
[1474.20-1477.20] 然後以二成的這個部分呢
[1477.20-1480.20] 當然也會跟石油價格連動啦
[1480.20-1483.20] 但是目前因為
[1483.20-1485.20] 一機的這個開工率呢
[1485.20-1486.20] 普遍都不高
[1486.20-1487.20] 所以呢
[1487.20-1489.20] 在這樣的一個情況之下
[1489.20-1493.20] 供需的層面來看的話
[1493.20-1496.20] 以二成的價格
[1496.20-1497.20] 可能會有一些
[1497.20-1499.20] 往下的微幅變成了
[1499.20-1500.20] 但是變動也不大
[1500.20-1501.20] 所以
[1501.20-1505.20] 拿原料跟以二成這兩個產品來看的話
[1505.20-1507.20] 2025年呢
[1507.20-1508.20] 預計呢
[1508.20-1510.20] 應該不會有太大的波動
[1510.20-1513.20] 那至於說我們內部
[1513.20-1514.20] 因為有
[1514.20-1516.20] 譬如說以西儲罐的完成啊
[1516.20-1517.20] 等等
[1517.20-1519.20] 採購金額的下降
[1519.20-1522.20] 那對於我們成本的這個改善呢
[1522.20-1523.20] 會有很大的幫助
[1523.20-1524.20] 所以呢
[1524.20-1527.20] 整體以二成的這個貢獻
[1527.20-1529.20] 應該是往前走的
[1529.20-1534.20] 往減虧的方向去發展
[1534.20-1537.20] 那這是我的說明
[1537.20-1538.20] 好
[1538.20-1540.20] 然後
[1540.20-1542.20] 其實你那個核酷投資者
[1542.20-1543.20] 需要去詢問
[1543.20-1544.20] 他說
[1544.20-1547.20] 你叫目前進口佔
[1547.20-1550.20] 進口的什麼
[1550.20-1551.20] 以西嗎
[1551.20-1553.20] 佔
[1553.20-1554.20] 進口以西的
[1554.20-1555.20] 他沒有提到
[1555.20-1556.20] 以西沒錯
[1556.20-1557.20] 以西的進口佔
[1557.20-1558.20] 對我們目前
[1558.20-1560.20] 進口的大概只有以西吧
[1560.20-1562.20] 其他的都是
[1562.20-1564.20] 以西的佔比
[1564.20-1567.20] 進口的就是作為
[1567.20-1570.20] 中油供應量的一個調節量而已
[1570.20-1572.20] 有可能是沒有的
[1572.20-1574.20] 有可能是少量的
[1574.20-1576.20] 但是基本上來說的話
[1576.20-1580.20] 我們目前以西儲罐還沒有做好之前呢
[1580.20-1583.20] 進口以西的量是彈性
[1583.20-1584.20] 但是是少的
[1589.20-1591.20] 是含重重的
[1591.20-1595.20] 由於外賣機的
[1595.20-1596.20] 項目是
[1596.20-1605.20] 比如說
[1605.20-1609.20] 我們偏程的
[1609.20-1610.20] 一般來說
[1610.20-1612.20] 是佔半補 用一例えば
[1612.20-1614.20] Philos Philippines
[1614.20-1616.20] 覺得很多特別的
[1616.20-1617.20] 可以球傾上市UMTD
[1617.20-1620.40] 今年有望互轉正或參考區間嗎?
[1620.40-1623.40] 檢規預期大致為何?
[1628.90-1630.90] 我這邊回答一下
[1631.90-1636.20] 整個一二存從2019年開始就持續虧損
[1636.20-1638.20] 主要是因為產能過剩的關係
[1638.90-1641.90] 加上原料面原料沒有辦法
[1643.20-1645.90] 產品沒有辦法反映整個原料成本
[1645.90-1653.90] 從前年開始二三年開始之後就有比較明顯的改善
[1653.90-1658.90] 去年跟今年有比較好的表現
[1658.90-1665.90] 但是如果說要達到損平的狀況恐怕還要一段時間
[1665.90-1668.90] 畢竟現在還是產能過剩
[1669.90-1672.90] 今年跟去年的狀況應該會比去年好
[1672.90-1673.90] 怎麼說呢
[1673.90-1674.90] 因為整個
[1674.90-1675.90] 去年的時候
[1675.90-1677.90] 去年的儀器成本是相對比較高
[1677.90-1680.90] 那今年因為有一些新生產能的出現
[1680.90-1684.90] 所以整個儀器的成本估計會下修
[1684.90-1685.90] 這樣的狀況呢
[1685.90-1688.90] 一二存相對的獲利會比較好
[1688.90-1690.90] 雖然說沒有辦法獲利
[1690.90-1694.90] 但是虧損的狀況會有一些減少
[1694.90-1695.90] 以上回答
[1695.90-1704.90] 好
[1704.90-1705.90] 好
[1705.90-1706.90] 謝謝
[1706.90-1708.90] 優富的長官的回顧
[1708.90-1710.90] 不知道其他
[1710.90-1713.90] 總之先進有沒有相關問題可以
[1713.90-1717.90] 也是一樣聯邦投信的宋先生
[1717.90-1719.90] 他
[1719.90-1724.90] 問請問目前繼續QA還是報告
[1724.90-1727.90] 因為二位業務部長官報告
[1727.90-1731.90] 想問當當協理有說如果二位到的話
[1731.90-1736.90] 有相關業務方面的報告會跟投資先進做說明
[1736.90-1741.90] 那不知道是說會有相關的報告還是說QA的
[1741.90-1742.90] 可以的
[1742.90-1745.90] 我們請陳哲川資深經理針對
[1745.90-1750.90] 以西以二存還有相關產品原料的一個報告
[1754.90-1755.90] 好
[1755.90-1760.90] 這一頁是那個WTI跟NASA的整個狀況
[1760.90-1764.90] 那今年的話因為整個油價持續往下走
[1764.90-1768.90] 所以很多機構都下修了整個WTI的油價
