[0.00-2.06] 各位投资前景
[603.34-604.86] 阿根廷会恢复
[604.86-606.66] 但是没有办法提补
[606.66-609.22] 弥补这个缺口
[609.22-612.80] 所以需求会转去疲弱
[612.80-615.88] 在煤炭的进口部分
[615.88-617.66] 根据IEA的报告
[617.66-618.94] 中国
[618.94-621.00] 跟中国海关的数据
[621.00-625.10] 印度与中国煤炭需求有回升但复苏力的
[625.10-626.38] 复苏力道不强
[626.42-631.54] 中国2025年预计进口煤炭3.7亿吨
[631.54-633.58] 年增1%
[633.58-638.70] 其中30%是用卡萨姆型船来装载
[638.70-640.76] 在船舶的供应方面
[640.76-643.58] 根据Coxen的资料
[643.58-646.38] 今年预估成长3.4%
[646.38-652.78] 新船集中于在第2季到第4季交船
[652.78-654.58] 然后中国
[654.58-656.38] 跟印度人是主要的
[656.42-657.44] 需求方
[657.44-663.08] 但进口的节奏受工业动能跟天气周期的影响是比较大的
[663.08-668.70] 所以南美股物如果出口没有如预期正温
[668.70-672.80] 市场可能会呈现供给增加
[672.80-674.86] 需求走弱
[674.86-676.90] 的格局
[676.90-684.06] 这一页我们看到是VIO
[684.06-686.38] Capsize跟VIO OC的市场展望
[686.42-692.06] Capsize的需求主要是来自于铁矿石的贸易
[692.06-696.14] 根据这个Wall Steel Association的估计
[696.14-698.20] 中国出钢产量
[698.20-700.50] 依据年增1.2%
[700.50-704.08] 所以对于铁矿石有稳定的需求
[704.08-709.46] 海峡型跟VIO OC主要是服务于澳洲跟巴西到中国的航线
[709.46-711.26] 运输距离长
[711.26-715.34] 所以这个TCE的
[715.34-716.38] 租金是非常高的
[716.42-719.24] 所以这个TCE的租金是比较好的
[719.24-724.10] 巴西到中国的距离约为1万2千海里
[724.10-731.02] 跟澳洲到中国3500海里相比是提供比较多的航程收益
[731.02-734.34] 再根据IMF的预测
[734.34-737.92] 全球经济成长预估为3.2%
[737.92-741.00] 中国与印度维持中等扩张
[741.00-745.34] 所以有利于大中原物料进口需求稳定
[745.34-746.38] 基础建设跟钢铁投资的回报
[746.38-749.20] 是一个潜在的利多
[749.20-753.30] 中国出了一个刺激经济政策
[753.30-756.62] 预计会有慢慢发生效果
[756.62-758.92] 在船队扩张的部分
[758.92-764.82] 2025年CAPSYS船队成长预估为1.4%
[764.82-767.88] 游戏基本上没有新的交付
[767.88-770.96] 所以新的供应是比较温和的
[770.96-772.74] 总体来讲
[772.74-774.28] 需求
[774.28-776.34] 铁矿石的需求是稳定的
[776.38-779.20] 供给是有限
[779.20-780.98] 或者是比较少的
[780.98-785.34] 所以市场结构是有支撑
[785.34-789.70] 预计租金保持在中性偏强的格局
[789.70-796.10] 接下来我们看到的是VLCC的展望
[796.10-800.96] 根据CACS的资料
[800.96-804.28] 全球原油运输预计年增来自1.8%
[804.28-806.34] 主要的需求是来自
[806.38-812.52] 印度东南亚及中国的炼油产能扩张
[812.52-815.08] 原油的贸易流向部分
[815.08-819.18] 巴西盖亚纳对亚洲出口航线成长较着重
[819.18-822.00] 航程要超过1万海里
[822.00-826.10] 所以有利于VLCC长途运输的利用
[826.10-829.94] 另外俄罗斯原油持续转向亚洲
[829.94-832.74] 通过中东载出口汇设通道
[832.74-836.34] 会增加VLCC的船队需求
[836.38-840.22] 同海与中国安全问题没有解决的话
[840.22-843.80] VLCC就要捞行非洲的好望角
[843.80-846.62] 增加VLCC平均航程
[846.62-850.72] 与日租金
[850.72-853.02] 就船队的供给部分来说
[853.02-858.14] 根据CACS的资料今年预计成长1.1%
[858.14-861.98] 根据CIA法规跟EUETS的规定
[861.98-866.34] 会造成VLCC的成本压力提高
[866.38-871.24] 然后进而拆解老旧的船舶
[871.24-873.30] 所以总体来讲
[873.30-876.10] 贸易需求稳定上升
[876.10-879.44] 地盐风险能救比较高
[879.44-882.76] 所以会强化航程跟租金支撑的力道
[882.76-886.10] 再来是船舶供给有限拆解挣脱
[886.10-889.42] 市场供需是比较平衡比较稳固的
[889.42-892.50] 就2025年来讲预期
[892.50-895.14] 日租金还是比较偏强
[896.38-902.26] 接下来跟大家报告CMN2 Project的部分
[902.26-907.90] CMN2 Project预计在2025年年底出货
[907.90-912.76] 在三年内预计扩增年产能到1.2亿吨
[912.76-917.62] 对CAPSYS跟VOC的影响有几点
[917.62-918.40] 第一个
[918.40-922.24] 推升的这个盐吨海里的需求
[922.24-926.34] 西非到中国大概要11000海里
[926.38-929.96] 连超过于澳洲到中国的3500海里
[929.96-932.52] 那将会有效的
[932.52-940.98] 支撑这个VOC跟CAPSYS的租金水准
[940.98-942.76] 再来就是说
[942.76-948.66] 这个也会提升这个航运运输的需求跟
[948.66-949.94] 船次
[949.94-951.46] 那预计
[951.46-955.30] CAPSYS的话每年会增加100到120艘
[955.30-956.34] 的需求
[956.38-961.76] VOC是大概60到70个航师的需求
[961.76-962.78] 那当然也
[962.78-967.64] 航线的竞争跟运价的结构也会有产生变化
[967.64-970.20] 西非新产
[970.20-976.10] 新供应的铁与巴西跟澳洲会产生竞争效果
[976.10-977.88] 再来是中国
[977.88-984.02] 采购的车流也会改变
[984.02-985.82] 那随着CMN2 Project的部分
[985.82-986.34] CMN2 Project的部分
[986.34-988.64] 的稳定提升
[988.64-994.02] CAPSYS跟VOC将会成为长期主要的运输船型
[994.02-995.82] 所以总体来讲
[995.82-999.66] 贸易路线会再重新做一个平衡
[999.66-1003.74] 船队的配置的策略也会做一个调整
[1003.74-1006.30] 经费市场的波动
[1006.30-1015.78] 好
[1015.78-1017.32] 接下来是Q&A
[1017.32-1019.10] 不知道各位有没有什么问题
[1019.10-1024.22] 另外我们有一些附件请大家自行参考
[1024.22-1028.32] 好如果没有问题的话我们今天的法授会到此结束
[1028.32-1029.10] 谢谢大家
