[0.00-3.90] 好谢谢大家今天的参与
[155.70-161.54] 那目前我们总共有目前我们有三个中长期的目标
[161.54-166.22] 第一个是维持我们台湾机车市占的第一名
[166.22-171.40] 那第二个是我们全球包含台湾的这个摩托车销售
[171.40-174.76] 那总台数要突破七十万台
[174.76-175.72] 那第三呢
[175.72-176.82] 就是我们现代的
[176.82-181.70] 汽车在台湾的市占率要往前迈到前四名
[181.70-182.34] 好下一页
[182.34-187.24] 那有关我们董事长吴清源先生呢
[187.24-189.50] 他是在2014年进到公司
[189.50-191.42] 那从2017年开始
[191.42-196.70] 他担任公司的董事长跟还有兼任这个总经理
[196.70-197.94] 也就是执行长的位置
[197.94-200.38] 那在2014年呢
[200.38-202.46] 他启动了三个三年计划
[202.46-205.74] 那在他的一个领导改革之下呢
[206.82-207.94] 他就说了
[207.94-213.10] 我们的机车市占率从2014年最低的单月份9%
[213.10-217.70] 提高到2025年单月份最高的46.9%
[217.70-220.06] 好下一页
[220.06-228.58] 那在董事长的一个的领导之下呢
[228.58-230.62] 其实我们做了一些
[230.62-234.70] 比较可以跟竞争对手一些区别的事情哦
[234.70-236.66] 我们在这过去这几年啊
[236.66-239.06] 我们发了一系列的新型环保引擎
[239.06-240.90] 那这样的一个引擎其实
[240.90-242.74] 相较于我们进厂
[242.74-245.30] 它其实更省油排放更少
[245.30-246.66] 那马力更强
[246.66-249.22] 那除了这个部分以外呢
[249.22-252.42] 我们其他所有的一个机车的一个零部件
[252.42-256.50] 我们都是采用比较先进的电控电子控制系统
[256.50-261.10] 那另外一个就是我们在整个对应市场法规的速度是很快的
[261.10-265.94] 所以这个也是为什么我们可以在过去这几年迅速的
[265.94-270.74] 从我们的竞争对手里面去抢得这些市占率哦
[270.74-273.46] 那除了这个以外
[273.46-275.86] 我们也可以看到我们的一个毛利率
[275.86-279.34] 从2014年大概是13%左右
[279.34-283.90] 也大幅上升到2024年的24%以上
[283.90-286.34] 好下一页
[286.34-289.82] 好这边主要是谈我们目前主要的三个循环哦
[289.82-292.30] 那首先是现金循环的部分
[292.30-294.70] 那这部分我们有几个重点
[294.70-295.78] 首先就是我们
[295.94-297.26] 持续专注本业
[297.26-301.26] 那提升我们本业的营收跟这个利润率
[301.26-306.22] 那长期的这个ROE我们会设定在15%以上
[306.22-307.58] 那除了这个以外
[307.58-310.58] 我们也会持续提升三洋SYN机车
[310.58-313.26] 还有Hyundai汽车的市占率
[313.26-315.30] 强化我们的品牌形象
[315.30-317.18] 那至于能源循环的部分
[317.18-320.46] 这部分等会会做进一步的说明
[320.46-322.26] 这边先简短提一下
[322.26-325.90] 我们在能源循环的这个区块里面呢
[325.94-329.78] 我们也有持续去发展多种的电池技术
[329.78-333.66] 那主要原因还是在于电动机车的一个关键
[333.66-335.02] 还是在于它的电池
[335.02-338.18] 那所以在这个一个前提之下呢
[338.18-341.62] 我们有投资自己的一个铝电池的技术
[341.62-343.62] 那也希望这个铝电池技术
[343.62-347.70] 可以是我们三洋未来的另一个营收的制作
[347.70-351.10] 那第三个是我们的资产循环
[351.10-353.90] 我们持续的活化我们三洋的资产
[353.90-355.90] 那我们也将这样的话
[355.94-357.94] 活化的一个收益呢
[357.94-359.74] 持续投入在本业
[359.74-363.02] 那目前我们设定每一个专案的这个ROI
[363.02-364.82] 是大于20%
[366.82-369.10] 好 接下来我大概提了一下
[369.10-372.70] 我们目前在整个摩托车上面
[372.70-375.42] 过去这几年做的几个比较重要的事情
[375.42-377.90] 首先是生产效率的提升
[377.90-380.54] 那还有就是我们通路强化
[380.54-385.78] 以及我们比较就是整个行销计划的一个renewal
[385.94-387.94] 那另外就是在我们的机车上面
[387.94-389.94] 我们是采用更尖端的设计
[389.94-391.94] 好 那接下来我就一个一个
[391.94-394.74] 大概跟各位做一个报告跟说明
[394.74-395.74] 下一页
[395.74-398.26] 走在提升生产效率的部分呢
[398.26-401.70] 其实我们这几年做一个比较重要的事情
[401.70-404.70] 就是我们去整合了车架跟引擎平台
[404.70-407.70] 那过往可能一个车
[407.70-411.70] 一个机种就一个单独的一个车架跟引擎
[411.70-415.78] 那其实对于我们来讲是一个成本的一个无线路
[415.94-418.94] 就是不具成本的一个效益
[418.94-422.94] 所以我们这几年我们也把我们的几个
[422.94-426.94] 我们的机种的一个引擎还有车架
[426.94-430.94] 我们就把它整合成大概三到四个平台
[430.94-432.94] 主要的平台
[432.94-434.94] 那后续的一些新车的部分
[434.94-439.94] 我们就是base on这些平台里面再去做一些微调
[439.94-442.94] 所以这部分也提升了我们整个生产
[442.94-445.94] 跟这个产品推出的一个顺序
[445.94-447.94] 这个设施的一个效率
[447.94-448.94] 那除了这个以外
[448.94-452.94] 我们也把零件这个零件的部分
[452.94-454.94] 售服零件的部分收回来
[454.94-458.94] 由公司这一边去做一个统筹分配跟营运
[458.94-461.94] 那成立了这个零件中心以后呢
[461.94-466.94] 其实我们也让我们的售服品质得到了明显的一个提升
[466.94-470.94] 那这个也在我们消费者的一个满意度里面呢
[470.94-473.94] 可以看得到明显的一个成绩
[473.94-474.94] 好
[475.94-478.94] 那接下来一个部分是通路的部分
[478.94-479.94] 通路的部分
[479.94-482.94] 其实我们这几年除了实体通路以外啊
[482.94-484.94] 我们在网路的社群上面
[484.94-488.94] 我们也持续的不断在做一些这个经营
[488.94-494.94] 那我们会透过这些社群网路去收集各方面的不同意见
[494.94-495.94] 不管是品质也好
[495.94-497.94] 不管是进场也好
[497.94-503.94] 甚至是消费者有没有一些这个期待是还没有被满足的
[503.94-505.94] 我们都透过这样的一个网路平台
[505.94-509.94] 去做一些意见跟资讯的一些收集
[509.94-513.94] 那除了这个虚拟的一个通路以外呢
[513.94-518.94] 我们也在全省各地有许多的
[518.94-523.94] 大概目前大概是接近经销加这个专销
[523.94-526.94] 大概接近700多家的这个通路
[526.94-527.94] 透过这些实体通路呢
[527.94-530.94] 让消费者可以更容易呢
[530.94-532.94] 接触到我们的产品
[532.94-534.94] 那除了这个通路以外呢
[534.94-538.94] 除了持续不断去增加通路的点以外
[538.94-540.94] 我们同一个时间
[540.94-544.94] 我们也透过更紧凑的教育训练
[544.94-547.94] 以及更密集的更完整的一个教育训练
[547.94-552.94] 提供这些这个经销经专销店的这个技师
[552.94-555.94] 有更好的这个修车的技能
[555.94-559.94] 可以去服务我们的这个车主
[559.94-563.94] 那下一页在行销的部分啊
[563.94-565.94] 其实我们这几年走的一个行销策略
[565.94-567.94] 都是比较偏向活泼的
[567.94-571.94] 所以我们太像是传统
[571.94-573.94] 就是只是打打广告
[573.94-576.94] 其实我们这几年也透过一些结合一些电玩品牌
[576.94-581.94] 或者是一些这个知名的一些运动赛事
[581.94-584.94] 去做一些曝光还有露出
[584.94-587.94] 那这个部分我们其实是希望瞄准
[587.94-590.94] 在大概18到35岁这样的一个客群
[590.94-591.94] 因为这个客群呢其实是个人呢
[591.94-593.94] 其实是个人呢其实是个人呢
[593.94-596.94] 口碑推荐的主要的一个来源
[596.94-597.94] 那这个部分呢
[597.94-601.94] 其实我们在这几年的整个一个行销策略的一个
[601.94-603.94] 更活泼多元化之下
[603.94-607.94] 我们从我们后端的整个这个市成率也好
[607.94-613.94] 或者是这个品牌的忠诚度的一个统计数据来看
[613.94-617.94] 其实都有很明显的一个提升
[617.94-621.94] 好那至于在这个车子的设计上面啊
[621.94-623.94] 其实刚刚有提到的就是
[623.94-628.94] 我们这几年在整个车架跟引擎平台的一个整合之下呢
[628.94-633.94] 其实我们从以往大概最少要两年
[633.94-635.94] 才有办法推出一个新机种
[635.94-639.94] 已经大幅缩短到平均18个月以内呢
[639.94-641.94] 就可以推出一个新的机型
[641.94-644.94] 就是缩短到8个月不好意思
[644.94-647.94] 就是从以往大概18到24个月
[647.94-649.94] 能够推出一个新的机种
[649.94-653.94] 到目前大概最快的话能够8个月以内
[653.94-655.94] 就可以推出新的机种了
[655.94-659.94] 那另外就是在我们的整个一个
[659.94-663.94] 就是在我们整个的一个车架
[663.94-665.94] 就是车的一个销售价格上面
[665.94-671.94] 因为其实我们的这几年车新车的一个设计
[671.94-675.94] 还有整个的一个它里面的内部的零部件
[675.94-679.94] 其实都是走比较高质量化的这个方向
[679.94-681.94] 所以其实这也是为什么我们这几年
[681.94-688.94] 我们的车子的单价可以明显的高于我们进场的一个原因
[688.94-691.94] 那另外就是刚刚有提到就是
[691.94-694.94] 我们在对应整个法规的速度上面其实很快的
[694.94-699.94] 所以这也是我们在三年前台湾从这个
[699.94-701.94] 车车转到车车法规的时候
[701.94-705.94] 我们是全台湾第一家能够推出全系列
[705.94-709.94] 符合车车环保法规的这个上市机车大厂
[711.94-716.94] 那接下来大概提一下我们的这个电动机车的一个规划
[716.94-721.94] 那其实电动机车我们认为最关键的核心还是在电池
[721.94-728.94] 所以这个部分我们并不急着像进场一样去推出新的机种
[728.94-734.94] 我们反而花了比较多时间在寻找最佳的这个battery的solution
[734.94-737.94] 那目前我们在电池的记录上面
[737.94-741.94] 我们主要有两个合作的一个合作的一个方案
[741.94-746.94] 那首先是我们自己投资了30亿的这个亚福铝电池
[746.94-753.94] 那亚福这个铝电池其实是亚福除能从工研院计算出来的技术
[753.94-757.94] 那经过这几年的一个调效之后呢
[757.94-765.94] 其实目前已经逐步逐步朝向这个量产化的方向去去迈进
[765.94-771.94] 那目前我们自己的一个预估应该最快是2025年年底
[771.94-776.94] 以后这些参数大概会慢慢的调效完毕
[776.94-781.94] 那2026年以后呢才会有机会去做量产
[781.94-790.94] 那这个铝电池的一个特性呢是在于它能够承受的温差范围其实是很大
[790.94-800.94] 它可以从零下负的40度到80几度的这个适用的这样的温差范围内都可以适用
[801.94-806.94] 另外就是因为它是铝,铝并非这个高污染的金属元素
[806.94-808.94] 所以它污染程度是比较低
[808.94-811.94] 那另外它的生命周期是比较长
[811.94-817.94] 那最重要的是它有快速充放电的这样的特性
[817.94-823.94] 所以它可以快速的去做充放电的情况之下
[823.94-831.94] 也就是说未来它的整个充放电站其实可以大幅的减少设置的这个站数
[831.94-841.94] 那所以我们目前初步的一个对这个铝电池的定位是它是用来取代传统的这个铅酸电池
[841.94-845.94] 那比较适用于在entry level的车款
[845.94-850.94] 那另外一个就是它的储能的应用也是未来的一个很大的一个方向
[850.94-856.94] 那另外在跟台湾中油的一个合作是李三元的电池
[856.94-859.94] 那这个电池它特性是能量密度高
[859.94-861.94] 那生命周期一样是比较高的
[861.94-864.94] 那它一样有快速充放电的这个特性
[864.94-868.94] 那它就比较适用于在这个高阶车款上面
[868.94-873.94] 那目前我们跟中油的这个合作的这个车款
[873.94-877.94] 已经在台南这一边有开始在做一个试运行
[877.94-881.94] 那未来我们会持续看整个试运行的状况
[881.94-889.94] 再持续去扩大这个电池适用的机种跟要推出的这个时间点
[891.94-896.94] 好那在二轮就是机车外销的部分
[896.94-900.94] 其实我们刚刚一开始有提到我们总共有三个厂
[900.94-904.94] 分别是台湾新竹跟大陆的厦门还有越南
[904.94-909.94] 那目前这三个地方都有一些这个外销的机种
[909.94-915.94] 那尤其是厦门厦门是外销机种的一个主要生产基地
[915.94-920.94] 那我们目前横跨的销售国家大概有103
[920.94-923.94] 103到105个国家左右
[923.94-926.94] 那除了我们自有SY的品牌以外
[926.94-929.94] 我们也帮这个意大利品牌Lambretta
[929.94-932.94] 还有法国的Pugio的品牌做代购
[932.94-940.94] 那我们目前自己集团内部的一个愿景是希望能够到2027年
[940.94-945.94] 希望能够全球的机车销售台数能够突破百万台
[945.94-950.94] 那所以以这样的一个愿景去做换算
[950.94-955.94] 接下来我们每年大概会有两成以上的负荷成长率
[955.94-957.94] 这个是机车的部分
[957.94-962.94] 好接下来谈一下汽车的区块
[962.94-964.94] 那其实汽车的部分呢
[964.94-970.94] 我们这几年最主要的这个核心还是希望能够扩大
[970.94-973.94] 现代汽车在台湾的一个市占
[973.94-976.94] 那去年2024年
[976.94-979.94] 虽然在整个台湾的整体的一个市场是有很大的负荷成长率
[980.94-981.94] 是衰退的
[981.94-987.94] 但是其实我们现在汽车还是持续第五年成长
[987.94-992.94] 那销售台数也来到了22682台
[992.94-996.94] 那去年的市占率是4.95%
[996.94-1003.94] 那今年我们尽管整个的一个大环境可能不是那么的友善
[1003.94-1010.94] 但我目前内部定的一个目标还是希望今年能够持续往23000到24000的销售台数去
[1010.94-1015.94] 那也希望今年的整个市占可以顺利的占5%以上
[1015.94-1021.94] 那接下来是我们这几年在汽车这个区块
[1021.94-1026.94] 我们在台湾所做的一些这个一些优化
[1026.94-1030.94] 那首先是新车款的不断推出
[1030.94-1037.94] 那这个部分我们也从原本的这个所谓的轿车转向了这个休旅车
[1037.94-1038.94] 还有商用车
[1038.94-1039.94] 甚至新能源车都是我们的
[1040.94-1043.94] 这两三年的重要主力
[1043.94-1048.94] 那除了这个以外我们也持续在优化我们的这个展示间
[1048.94-1050.94] 就是我们的销售据点
[1050.94-1056.94] 那另外我们也持续去做一些比较活泼的一个行销策略
[1056.94-1058.94] 好接下来大概
[1058.94-1059.94] 下一页
[1059.94-1062.94] 接下来大概聊一下我们的一个电动车
[1062.94-1067.94] 就是在电动汽车的一个整个的一个经营方向
[1067.94-1069.94] 那其实韩国在韩国
[1069.94-1071.94] 现在在电动车这个区块
[1071.94-1077.94] 其实他投入了蛮多的资源跟心力的
[1077.94-1083.94] 那所以目前在整个韩国现代的一个电动车产品线
[1083.94-1087.94] 他其实有纯电车也有油电混合车
[1087.94-1090.94] 甚至有氢燃料电池的车他都有
[1090.94-1097.94] OK那这几年我们也持续的在台湾导入刚刚所提到的
[1097.94-1100.94] 其实氢能源车目前是还没有导入
[1100.94-1102.94] 那除了氢能源车以外
[1102.94-1105.94] 刚刚提到的这个油电混合或者是纯电的
[1105.94-1109.94] 其实这几年我们都有持续不断在做这个导入
[1109.94-1117.94] 那今年我们也预估会推一款是平价款纯电的电车
[1117.94-1120.94] 大概售价是在百万百万元以内
[1120.94-1126.94] 那另外我们也会针对高规格的这个EV
[1127.94-1130.94] 去推出这个高规格的这个EV
[1130.94-1133.94] 那大概目前如果没有意外的话
[1133.94-1137.94] 应该是在第四季会推出这个IONIQ9
[1137.94-1143.94] 这样的一个高阶的这个电动车
[1143.94-1147.94] 好那接下来财务数字的部分
[1147.94-1149.94] 我大概简短提一下
[1149.94-1151.94] 那鼓励的部分呢
[1151.94-1156.94] 其实我们这几年大概都维持4%到5%左右的这个
[1156.94-1158.94] 现金殖利率
[1158.94-1163.94] 那去年可能或许大家会觉得比较低一点
[1163.94-1169.94] 主要是因为其实去年的这个EPS
[1169.94-1174.94] 你面的其中有一部分是属于业外的
[1174.94-1179.94] 所以那部分我们集团这边目前比较定调方向
[1179.94-1182.94] 是会把这个业外赚的钱再拿去投资
[1182.94-1185.94] 我们第三只脚就不动场区块
[1185.94-1186.94] 所以这一边我们
[1186.94-1191.94] 我们的一个配发的这个比率就没有那么高
[1191.94-1195.94] 所以这个殖利率可能就相对就没有那么的高
[1195.94-1198.94] 那不然其实我们过往大概都可以维持在
[1198.94-1201.94] 可能5%左右这样的一个殖利率
[1201.94-1205.94] 好那下一张表是损益表
[1205.94-1208.94] 那其实这边我们也可以看到过去这几年
[1208.94-1210.94] 我们不管是在毛利率也好
[1210.94-1212.94] 或就是所谓的三率也好
[1212.94-1215.94] 其实都有一个比较明显的一个提升
[1215.94-1218.94] 好那资产负债表部分
[1218.94-1223.94] 因为这几年我们的整个营收也是持续不断在增长
[1223.94-1227.94] 所以其实我们不管是现金也好
[1227.94-1230.94] 或是我们总资产也好
[1230.94-1237.94] 那得到这一些所谓的不管是什么营收周期的一个周转率
[1237.94-1239.94] 或者是ROE ROA
[1239.94-1243.94] 这个部分也都有一些比较明显的一个改善
[1243.94-1244.94] 好
[1244.94-1247.94] 那以上是今天的整个简报
