[0.00-12.98] 各位凱基的客户大家午安
[1108.00-1110.94] 那交叉轨子就会是一个非常好的选择
[1112.04-1117.00] 那一如既往
[1117.00-1119.60] 我们在踏入一个产品线之前
[1119.60-1120.48] 一定都会
[1120.48-1120.72] 先来说一下
[1120.72-1122.52] 先做足了功课
[1122.52-1128.40] 然后看看我们跟这个比如说可能其他的同业有什么不一样的地方
[1128.40-1131.18] 确保我们有应该说是确保我们有不一样的地方
[1131.18-1133.02] 品质上面有比较好的优势啊
[1133.02-1135.12] 或者是其他等等
[1135.12-1137.76] 那才会跳入这个产业
[1137.76-1141.98] 那所以我们在交叉轨子的设计上面有很多独家的设计
[1141.98-1144.34] 大家刚刚我有说到说交叉轨子
[1144.34-1148.20] 它其实在如果你需要很高的运行精度的话
[1148.20-1149.48] 它是一个很好的选择
[1149.48-1150.26] 因为其实它在同样的形态上
[1150.26-1151.54] 同样的行程中
[1151.54-1155.02] 它其实可以比线性滑轨来到更高的精度
[1155.02-1156.14] 因为它的
[1167.16-1168.94] 部分就会有一点点的钝点
[1168.94-1172.18] 那在交叉轨子上面就不会有这样子的情形发生
[1172.18-1174.58] 所以才可以达到更好的精度
[1174.58-1178.38] 那我们有一个第一个设计就是在所有的轨子中间
[1178.38-1179.80] 我们都放有储油块
[1179.80-1183.90] 储油块很大的就是可以润滑所有的珠子滚珠
[1183.90-1188.00] 然后让它保持比较被润滑的状态
[1188.00-1190.56] 就可以大大的提升它的寿命
[1196.70-1201.30] 除此之外还有就是我们在排列的方式呢
[1201.30-1205.40] 也让珠子尽量的就比起其他的厂家呢
[1205.40-1209.76] 我们有做一个比较不一样的排列的方式
[1209.80-1211.84] 让它可以更紧密
[1211.84-1214.16] 然后让它接触
[1214.16-1218.00] 就是轨子在接触钢体的部分可以更多
[1218.00-1221.32] 这样子的话它也可以更高的提高它的钢性
[1221.32-1227.98] 那刚刚我有提到一个说就是
[1227.98-1234.38] 就是刚刚提到的这个密度的部分
[1234.38-1239.76] 然后还有这个接触的比例这两个都是可以让它提高它负载的部分
[1239.80-1241.84] 那刚刚我有提到说
[1241.84-1245.94] 交叉轨子因为行程的关系所以它的桌子不会做回流
[1245.94-1249.52] 但是不会做回流的情况之下它有时候在长时间的话
[1249.52-1254.64] 长时间的滚动之下或滑动之下它有的时候会有点偏离它本来的位置
[1254.64-1255.92] 那为了去防
[1255.92-1257.98] 防范这样子的事情发生呢
[1257.98-1260.54] 我们也有一个特别的专利就是
[1260.54-1263.36] 我们有用一个齿轮让它在中间是可以
[1263.36-1264.64] 来
[1264.64-1266.42] 防止这个打滑的
[1266.42-1267.96] 这个发生
[1267.96-1269.76] 那交叉轨子呢其实
[1269.76-1272.32] 很被广泛应用的部分呢就是在
[1272.32-1275.90] 比如说像是光学的检测仪呀光学的工作台
[1275.90-1277.96] 或者是显微镜等等的
[1277.96-1281.28] 那所以现在目前推出的size是size2
[1281.28-1283.08] 也就是滚柱的
[1283.08-1284.60] 这个直径
[1284.60-1286.14] 是两mm
[1286.14-1288.20] 那我们未来也会
[1288.20-1290.76] 有计划在这个产品线上
[1290.76-1293.06] 开发全系列的尺寸
[1293.06-1296.12] 那我相信在这个产品系列上的
[1296.12-1299.72] 如果更完整的开发当然也是拓展我们的业务的范围
[1299.76-1305.40] 那我想提一下说刚刚我有在一开始提到说这个
[1305.40-1309.48] 产品线是怎么来的吗就是跟因为我们有客户上面的需求
[1309.48-1311.54] 那我相信这样子其实就是
[1311.54-1313.32] 立刚开始设计的动力
[1313.32-1315.64] 客户有这样的需求然后跟我们的
[1315.64-1319.72] 研发团队去做沟通去做了解以后来做研发开发
[1319.72-1322.54] 我觉得这也是值得的一个很大的
[1322.54-1327.92] 竞争有竞争力的一个部分就是我们有这样子的研发两能
[1329.76-1341.28] 那刚刚我有提到说我们在束谷
[1341.28-1343.32] 就是希望可以结合
[1343.32-1348.70] 所有我们自有的产品以及技术来建造一个智慧制造工厂
[1348.70-1351.78] 然后当然我们也很希望在这一波
[1351.78-1356.64] 这么重要潮流里面智慧制造工厂工业工业4.0等等的
[1356.64-1359.72] 我们可以成为他其中的核心供应商
[1359.76-1362.06] 那用
[1362.06-1369.24] 马上来的这个简报
[1369.24-1373.32] 这张简报部分我想让大家知道一下说在一个智慧制造
[1373.32-1374.36] 工厂里面
[1374.36-1378.44] 值得科技的几个几大产品线的产品都
[1378.44-1380.24] 扮演着什么样的角色
[1380.24-1385.88] 那其实在一个智慧制造工厂里面我们大概可以把它分成IT层跟OT层
[1385.88-1389.72] 那其实现在不说在IT层上面啊可能资料的
[1389.76-1395.64] 这个传送上面资料的分析或是及时监控这块其实已经很多人在做了
[1395.64-1400.26] 那值得这块能会比较focus在OT层的部分
[1400.26-1404.86] 那OT层当然最底层的部分就是先是硬体设备的部分
[1404.86-1409.22] 那硬体设备其实这里我相信很好懂就是我们当然希望所有我们的
[1409.22-1411.00] 硬体都可以
[1411.00-1414.08] 使用我们的关键性零组件
[1414.08-1416.12] 从我们的线性马达线性
[1416.12-1418.18] 滑轨线性马达然后驱动器控制器等等的设备来做这个设备
[1418.18-1424.58] 或者是我们也可以提供它四系统模组
[1424.58-1426.62] 那接下来呢我们刚刚讲到说
[1426.62-1429.44] 到整场控制的部分可能往上走一点点
[1429.44-1431.24] 到设备
[1431.24-1434.82] 可能从单一个基台的设备控制啊
[1434.82-1437.64] 基台生产线的一些数据
[1437.64-1443.02] 的搜集呀然后或者是截取或者是平行基台跟基台之间的沟通
[1443.02-1447.36] 资讯的传递等等的我们都会透过我们的CPC Studio
[1447.36-1449.92] 来实现OT层的控制
[1449.92-1452.74] 那其实OT层的控制是非常重要的这些
[1452.74-1454.78] 基台上面的资料截取
[1454.78-1457.34] 因为截取完以后你才能够往上面
[1457.34-1460.92] 在上面再去做传递然后他才能够再去做
[1460.92-1464.26] 后续的分析
[1464.26-1466.04] 那大家可能
[1466.04-1470.14] 我很明白的讲到在这个PPT上说OK我们CPC Cells的
[1470.14-1472.44] 应用会在哪里呀然后我们在
[1472.44-1475.26] 软体PLC我们对它有什么规划那
[1475.26-1476.04] 我们的
[1476.04-1477.06] 小手臂呢
[1477.06-1479.88] 小手臂到底会扮演什么样的角色
[1479.88-1481.92] 其实我们一刚开始在
[1481.92-1484.22] 投入机械手臂我相信
[1484.22-1489.60] 其实不用说是产业界的前辈喔其实现在大家都知道说机械手臂
[1489.60-1493.44] 已经在自己的这个市场上算是蛮饱和的
[1493.44-1494.46] 然后也
[1494.46-1499.34] 已经有非常多人在做但是现在的机械手臂其实都是中大型的机械手臂
[1499.34-1503.68] 那也目前在做的工作都是比较以取代劳力
[1503.68-1505.48] 来做搬运的工作
[1505.48-1506.76] 那在
[1506.76-1511.62] 更进一步的自动化好了我们来说因为自动化不是只有整个搬运的制程啊
[1511.62-1513.68] 它还会到组装的制程
[1513.68-1518.28] 然后其实我们也是看好我们觉得接下来空间会是一个很大的
[1518.28-1519.82] 很大讨论的
[1519.82-1521.86] 很重要的一个议题
[1521.86-1524.16] 然后现在的设备也是喔
[1524.16-1525.20] 越来越
[1525.20-1526.72] 会越做越
[1526.72-1529.04] 紧凑越做越compact
[1529.04-1535.18] 一样的如果是一样的可能功能你的设备接下来就会需要希望它可以变成
[1535.18-1535.68] 一半大或者是里面如果是一半大的话你可能就需要一个半大的设备
[1535.68-1535.94] 或者是里面如果是一半大的话你可能就需要一个半大的设备
[1535.94-1536.72] 或者是里面如果是一半大的话你可能就需要一个半大的设备
[1536.76-1542.90] 如果你已经配那当然你就必须得有相对应一起去做配合一起去做工作的
[1542.90-1544.44] 机械手臂
[1544.44-1550.32] 或者是你一样的空间里面的话我如果能够摆两只机械手臂我为什么要只摆一只
[1550.32-1553.14] 然后当然小手臂也有在节能上面有
[1553.14-1556.72] 就是会比较节能嘛所以我觉得在几个议题上面
[1556.72-1558.00] 我们才会往
[1558.00-1560.06] 微型机械手臂做发展
[1560.06-1561.08] 然后也
[1561.08-1564.16] 希望它能够是比较精密的做很多
[1564.16-1566.20] 比较在组装上面的精密的
[1566.20-1566.72] 动作
[1566.72-1566.74] 然后也希望它能够是比较精密的做很多比较在组装上面的精密的动作
[1566.74-1578.78] 那所以当然就是快速讲一下说我们这边就是我们产品线啊还有我们服务范围
[1578.78-1584.14] 那目前公司所掌握的这个技术核心就像我刚刚已经一直在强调的
[1584.14-1588.16] 已经从原先这个可能关键性的主件的供应商
[1588.16-1591.34] 扩展到了整个以手臂为核心的
[1591.34-1593.84] 我们可以提供完整的解决方案
[1593.84-1596.70] 那在我相信市场的期待之下我们也会进行
[1596.70-1600.54] 用软体的应用啊还有我们系统整合的服务
[1600.54-1602.34] 来
[1602.34-1605.14] 提供给我们客户一个完整的解决
[1605.14-1608.22] 方案然后我相信这都是我们在市场上
[1608.22-1616.16] 很大的很好的业务的利基也是我们竞争的优势
[1616.16-1620.26] 会受就像我刚讲到的会先受这个PPT这个图
[1620.26-1622.56] 是因为刚刚有提到说
[1622.56-1626.66] 现在的手臂都是比较大的手臂然后比较中型的手臂
[1626.66-1628.96] 在汽车业上这个组装
[1628.96-1630.76] 大家说你刚可能说
[1630.76-1631.52] 其实
