[0.00-11.26] 大家好
[307.02-310.92] 与经程科技签订了搬迁协议书
[310.92-313.82] 我们在2024年第三季的时候
[313.82-316.88] 就已经将昆山的土地厂房相关的资产
[316.88-319.50] 都移交给当地政府
[319.50-322.80] 在2025年第一季取得的补出款收入
[322.80-325.84] 一共有人民币7500万元
[325.84-327.38] 相当于新台币3.4亿元
[327.38-328.44] 这个费用就比之前提到的
[328.44-328.66] 非常的费用这样的话
[328.66-335.26] 这笔股偿款收入也让京城科技2025年第一季的每股盈余增加了约0.7元
[335.26-342.34] 接下来请各位看2024年税前净利
[342.34-345.30] 税前净利是新台币42亿元
[345.30-348.84] 这一年我们将部分中国地区的盈余汇出
[348.84-352.20] 所以可以看到2024年的所得税费用较高
[352.20-354.84] 税后净利28.5亿元
[354.84-356.96] EBS6.01元
[358.66-361.20] 至于2025年第一季的损益表
[361.20-364.74] 加上我刚刚提到的业外的补偿收入后
[364.74-368.08] 归属母公司的税后净利有7.4亿元
[368.08-370.44] EBS1.57元
[370.44-383.62] 接着第八页我们看京城科技营业收入的变化
[388.66-392.38] 京城科技可以分为两个事业群
[392.38-394.70] 分别是PCB与EMS
[394.70-401.96] 这张图可以看出2023年第一季到2025年4月营业额的变化
[401.96-404.24] 为了方便比较
[404.24-407.88] 在营业额的部分也就是上方橘色的线条
[407.88-412.54] 我们使用的数字是每一个季度营业额的月平均数
[412.54-416.96] 下方蓝色的部分则代表PCB的营业额
[416.96-417.08] 紫色的部分代表PCB的营业额
[417.08-417.12] 下方蓝色的部分代表PCB的营业额
[417.12-417.18] 紫色的部分代表PCB的营业额
[417.18-417.24] 紫色的部分代表PCB的营业额
[417.24-420.28] 紫色的部分代表EMS的营业额
[420.28-424.06] 那么从这张图可以明显看出
[424.06-429.64] 在2025年第一季以前PCB的营业收入约占6到7成
[429.64-433.78] EMS的营业收入约占3到4成
[433.78-441.80] 2025年4月合并Linstake 4月8日到4月30日的营业额后
[441.80-446.64] 京城科技2025年4月的营业额是31.5亿元
[447.24-454.44] 如果跟去年同期也就是2024年第二季相比的话
[454.44-457.26] 京城科的营业额增加了大约6成
[457.26-466.84] 接着第九页
[466.84-471.38] 我们先简单介绍一下Linstake公司以及它营业额的组成
[471.38-472.12] 我们先简单介绍一下Linstake公司以及它营业额的组成
[472.12-475.44] 我们先简单介绍一下Linstake公司以及它营业额的组成
[475.44-477.22] 我们先简单介绍一下Linstake公司以及它营业额的组成
[477.24-479.24] 可以看到左边的这张图
[479.24-483.24] 可以看到Linstake总共包含四家公司
[483.24-487.24] 最上方的Linstake公司位于日本有两个工厂
[487.24-491.24] 分别是下管与石缸两个工厂
[491.24-497.24] 接下来左下方Linstake YGA公司同样是位于日本
[497.24-501.24] 也有两个工厂分别是饭田与丰川
[501.24-505.24] YGA的旁边是位于新加坡的公司
[505.24-507.24] YGA的旁边是位于新加坡的公司
[507.24-510.24] 接下来第四家公司Linstake AMERICA
[510.24-513.24] 则是位于美国圣河西的销售办公室
[513.24-516.24] 就近服务美国客户
[516.24-518.24] 所以Linstake一共有五个工厂
[518.24-527.24] 这五个工厂的地理位置主要产品在后面会有更详细的介绍
[527.24-531.24] 接下来请各位看右边的这张图
[531.24-536.24] 上方蓝色的线条是Linstake每一个季度平均的营业额
[537.24-544.24] 从这里可以看出Linstake的收入是从2024年的第一季就开始稳定的成长
[544.24-548.24] 其中超过六成的收入是由新加坡公司所贡献
[548.24-556.24] 而在日本的下管及石缸工厂则分别贡献约16%及6%的营业额
[556.24-565.24] 接下来的图表上是Linstake的收入
[565.24-576.24] 接下来的第十页到第十一页是产品组合的介绍
[576.24-578.24] 我们先看第十页
[578.24-584.24] 这一页可以看到2024年到2025年第一季的产品组合都没有太大的变化
[584.24-588.24] 首先请大家看最左边是EMS的部分
[588.24-591.24] 紫色的部分代表消费性产品
[591.24-594.24] 2025年第一季消费性产品的比重
[594.24-595.24] 从以下来看
[595.24-598.24] 以前的45%提高到50%
[598.24-605.24] 这是因为来自美国客户下单到马来西亚厂的消费性产品订单成长
[605.24-611.24] 预期未来EMS马来西亚厂的重要性可能会逐渐超越中国厂区
[611.24-614.24] 那么有关EMS在马来西亚的发展计划
[614.24-619.24] 在后面营运展望的地方会有更多更详细的介绍
[622.24-624.24] 看完EMS的部分后
[624.24-627.24] 接着看中间PCB的部分
[627.24-633.24] 单就PCB来看超过7成的收入是来自个人电脑
[633.24-637.24] 车载版的部分主要是销售给日本客户
[637.24-642.24] 占的比重是维持在15%到17%之间
[642.24-645.24] 最右边是合并的结果
[645.24-649.24] 合并来看个人电脑占总收入的6成以上
[649.24-652.24] 其次是消费性产品大约占2成
[652.24-655.24] 收用产品的部分占1成左右
[666.24-669.24] 接下来我们看第11页
[669.24-673.24] Linstake是在2025年4月8日加入京城科技
[673.24-677.24] 在第11页我们用2025年4月的数字
[677.24-680.24] 带大家看一下Linstake的产品组合
[680.24-681.24] 以及京城科技在Linstake加入的数字是在2025年4月8日加入京城科技
[682.24-684.24] 产品组合会产生什么样的变化
[684.24-690.24] 请大家先看左边的图
[690.24-696.24] 从左边的图可以看到Linstake主要的产品是Server
[696.24-698.24] 也就是图中标示深红色的部分
[698.24-702.24] 占了Linstake营业额大约5成
[702.24-706.24] 其次是消费性产品, 约占2成
[706.24-710.24] 接着是ProKart部分,也就是浅蓝色的部分
[710.24-712.36] 占了约14%
[712.36-716.62] 另外还有机器人占的比重大约是8%
[716.62-719.86] 另外还有3%是来自医疗类产品
[733.48-734.00] 那么
[734.00-736.88] 接着请大家看旁边PCB的部分
[736.88-740.28] 原有PCB的营业额在2025年4月
[740.28-742.48] 其实成长了大约17%
[742.48-745.56] 主要是来自个人电脑的订单增加
[745.56-747.32] 所以在这里也可以看到
[747.32-748.74] 2025年4月
[748.74-754.00] PCB个人电脑的营业额占的比重提高到79%
[754.00-755.30] 而在车载版的部分
[755.30-758.96] 因为日系车厂面对美国关税的不确定性
[758.96-760.16] 拉货较为保守
[760.16-763.40] 虽然车载版的营业额也有略微增加
[763.40-765.86] 但是成长的幅度不如个人电脑
[765.86-774.98] 最后请大家看最右边这张图
[774.98-778.28] 这张图是京城科技在合并了Listech之后
[778.28-779.54] 新的产品组合
[779.54-781.40] 从这张图可以看到
[781.40-783.92] 主要的收入还是来自个人电脑
[783.92-785.22] 占了约百分之
[785.22-788.54] 从以前的六成会下降到四成左右
[788.54-790.64] 而Server及消费性产品
[790.64-793.40] 则会各占合并营业收入的两成左右
[793.40-795.84] 另外还有车载版约占百分之十五%
[795.86-798.16] Procar约占百分之五%
[798.16-800.72] 以及机器人约占百分之三%
[800.72-807.08] 有关Listech产品以及PCB未来的发展策略
[807.08-810.20] 在后面的营运展望会有更详细的介绍
[810.20-814.30] 京城科技财务数据方面的说明就到这里
[814.30-815.06] 谢谢各位
[815.06-816.86] 接下来营运展望的部分
[816.86-820.94] 我们请陶振国总经理上来为我们说明PCB的部分
[825.86-829.96] 好
[829.96-833.02] 京城科技的部分主要有两个事业群
[833.02-840.70] 我首先先来介绍PCB的事业群营运的展望部分
[840.70-842.24] 主要有三点
[842.24-845.06] 第一个就是因为地缘政治的关系
[845.06-848.64] 因为客户需要分散风险
[848.64-851.20] 我们这个地方就是使
[851.20-854.54] 因为我们的Aerolab的
[854.54-855.82] 英城的工厂来说是一种工厂的工程
[855.82-858.38] 来支持我们目前现有的客户
[858.38-862.48] 需要分散在中国以外的需求
[862.48-865.80] 第二个就是Listech
[865.80-869.64] Listech市场有很高端的产品跟技术
[869.64-873.22] 但是过去碍于内外的环境
[873.22-875.78] 使得它的产能其实不够大
[875.78-881.16] 我们在4月8号正式交割完了以后
[881.16-885.00] 刚交割了我们这个PSA的进化
[885.00-885.78] 我们的资源是什么?
[885.78-889.36] 我们的资源是协助他们扩充产品
[889.36-892.44] 所以预计在这些高端的产品上面
[892.44-895.00] 特别是像AI的Server
[895.00-897.82] 然后Switch还有ProCut这上面
[897.82-901.66] 我们会多投注PCB的资金
[901.66-903.70] 协助他们把产品扩充
[903.70-906.00] 第三个的部分就是
[906.00-909.08] 在Listech市场有很多高级的
[909.08-913.68] 产品的客户他们也有一般的PCB的需求
[913.68-915.74] 我们的一般的
[915.78-919.62] 这种consumer或是PCB的产品的客户
[919.62-923.72] 他也有高端的PCB用版的需求
[923.72-925.76] 所以我们可以透过
[925.76-927.82] 互相的交流学习
[927.82-930.88] 把客户取代到彼此的工厂里面去
[930.88-933.44] 所以我们的产品线更多元
[933.44-935.50] 所以这里面我们刚有说过
[935.50-938.30] 我们会加了AI的Server
[938.30-939.08] Switch
[939.08-940.36] ProCut
[940.36-942.66] 女棋版等等的产品
[942.66-944.46] 然后互相交流
[944.46-945.74] 那在中国也有很多产品的产品
[945.78-947.58] 在中国这边自己的工厂里面来讲
[947.58-949.10] 我们同样的
[949.10-950.90] 在既有的工厂里面来讲
[950.90-953.98] 我们也投入两个新的
[953.98-954.74] 资金
[954.74-955.76] 分别是
[955.76-957.30] 重庆的HDI
[957.30-959.86] 现在已经进入到第2期的扩充
[959.86-964.22] 黄江的工厂里面我们也投入了做BGA Card
[964.22-967.80] 所以这个火化了我们既有的厂区
[967.80-969.84] 成为未来中国厂区的
[969.84-971.12] 成长的动能
[971.12-974.20] 那你们各位也知道其实现在BGA有很多
[974.20-975.74] 它不只是以前的
[975.78-977.06] 卡的功能而已
[977.06-979.36] 它是兼顾的算力卡
[979.36-982.44] 或是小语言模型的一些运算
[982.44-985.50] 这是在金城哥的
[985.50-988.58] 营运掌控的部分
[988.58-991.40] 那我们也看得到在金城哥所有的
[991.40-992.94] 工厂里面来讲
[992.94-996.00] 总共在全球目前有10个工厂
[996.00-999.58] 包含新加入的Vistek的5个工厂
[999.58-1000.86] 那
[1000.86-1004.20] 这是目前工厂的分布
[1004.20-1005.74] 那大部分的人
[1005.74-1008.04] 对于Vistek都比较陌生
[1008.04-1011.38] 所以我特别把Vistek做一个介绍
[1011.38-1014.70] Vistek是1964年
[1014.70-1016.24] 由日立发成
[1016.24-1018.28] 就是所谓的Hitachi Chemical
[1018.28-1020.34] 它在下管工厂它就有
[1020.34-1021.62] 成立
[1021.62-1024.18] 是属于日立集团
[1024.18-1025.46] Hitachi集团的
[1025.46-1027.50] 1964年它成立
[1027.50-1029.30] 开始做一刷电流板
[1029.30-1032.62] 刚刚有提到一个公司叫做Vistek YGA
[1032.62-1035.70] 事实上YGA事实上可能是别的公司
[1035.74-1036.50] 成立更早
[1036.50-1038.82] 它在1949年就成立了
[1038.82-1041.88] 后来是被日立化成品收购
[1041.88-1047.52] 1972年在新加坡成立这个工厂
[1047.52-1051.36] 石膏工厂是在2002年的时候成立的
[1051.36-1054.68] 那但是在2020年的时候
[1054.68-1058.26] Hitachi Chemical决定把这个事业体
[1058.26-1062.62] 这个事业体包含了CCL的制造以及PCB的制造
[1062.62-1063.90] 这两个事业体
[1063.90-1065.70] 把Street of出去卖出去的
[1065.70-1069.02] 卖给了昭和电动
[1069.02-1070.30] 昭和电动
[1070.30-1071.58] 当时
[1071.58-1076.96] 大概一遍了两年以后又有一家日本的投资公司接手
[1076.96-1077.98] 接手
[1077.98-1078.76] 那
[1078.76-1081.06] 日本的基金公司接手了以后
[1081.06-1082.60] 把它改名为
[1082.60-1085.92] Vistek是在2021年
[1085.92-1087.20] 左右的时期
[1087.20-1089.26] 那2023年的时候
[1089.26-1090.78] Vistek的AMERICA
[1090.78-1092.58] 美国的这个公司刚刚有提到
[1092.58-1094.12] 事实上一直以来就是
[1094.12-1095.66] 当时Spin-off出去的时候
[1095.70-1099.02] 它一直还属于日立化成集团下面
[1099.02-1101.84] 在美国帮忙Vistek做接待
[1101.84-1103.90] 后来在2023年的时候
[1103.90-1105.18] 成立了这个公司以后
[1105.18-1107.22] 我们也一并八收购进来
[1107.22-1109.52] 所以在2025年的时候
[1109.52-1111.06] 今年4月8号
[1111.06-1113.62] 这是成为我们的成员之一
[1113.62-1116.18] 那
[1116.18-1119.26] 刚刚有提过Vistek总共有五个工厂
[1119.26-1120.78] 下版工厂
[1120.78-1123.60] 它所生产的技术能力非常的高
[1123.60-1125.66] 它可以做到96成百
[1125.70-1128.78] 那它主要用在什么地方呢
[1128.78-1131.08] 它会在半导体的测试
[1131.08-1132.36] 就是所谓的ProCard
[1132.36-1134.14] 特别是在HPM
[1134.14-1139.02] 这种高阶的Memory上面所需要用到的ProCard
[1139.02-1140.54] 它可以做到96成百
[1140.54-1142.86] 它的技术能力也非常特别
[1142.86-1144.38] 它说MWB
[1144.38-1146.44] 跟我们所谓的PCB不太一样
[1146.44-1148.22] 不一样的地方是在于
[1148.22-1149.76] 它中间的技术
[1149.76-1153.10] 它的线路的形成是用拉同线的方法
[1153.10-1155.66] 所以使得因为拉同线使得它的
[1155.70-1158.00] 线宽线距非常的均匀
[1158.00-1160.82] 使得它的主Card的控制非常的好
[1160.82-1163.64] 这个在高阶的这个HPM
[1163.64-1166.20] Memory上面它需要用得到
[1166.20-1167.74] 那第二个就是
[1167.74-1169.02] 一般的
[1169.02-1170.54] 半导体的测试
[1170.54-1173.36] 上面所需要的设备上面所需要的Card
[1173.36-1174.14] 就ProCard
[1174.14-1175.16] 那第三个
[1175.16-1177.46] 它也生产一些机器人
[1177.46-1178.22] Norbar
[1178.22-1180.28] 所需要用的PC版
[1180.28-1182.58] 这是第一个下版工厂
[1182.58-1183.86] 那实际上工厂呢
[1183.86-1185.66] 它主要都是做
[1185.70-1186.72] HDI
[1186.72-1188.78] 16层的N1类的
[1188.78-1191.08] 或者类似M3的等级
[1191.08-1192.36] 的这种HDI
[1192.36-1194.14] 那主要用在哪些地方
[1194.14-1197.48] 手机里面中的高频的模组
[1197.48-1200.30] 或者是一些的IoT的模组
[1200.30-1201.82] 光通讯的模组
[1201.82-1202.86] 或是一些Sensor
[1202.86-1203.62] 感知器
[1203.62-1205.16] 大部分都是比较小的
[1205.16-1207.20] 我这边放了两个视力图
[1207.20-1208.74] 这个是非常非常小的
[1208.74-1209.76] 这是一个
[1209.76-1211.30] 一个棒的东西
[1211.30-1212.06] 非常非常小
[1212.06-1214.12] 大部分就是小模组
[1214.12-1215.14] 在使用的
[1215.14-1215.66] 那这是
[1215.66-1218.22] 在
[1218.22-1219.76] 自成线的两个工厂
[1219.76-1221.80] 那YGA的两个工厂
[1221.80-1223.34] 就是饭店工厂跟
[1223.34-1224.62] 工房工厂
[1224.62-1225.90] 那主要生产的
[1225.90-1228.20] 有一个工厂是生产汽车相关的买资
[1228.20-1230.00] 包含了铝基板
[1230.00-1231.28] 然后赛车用的
[1231.28-1233.06] 那另外一个工厂
[1233.06-1235.88] 是生产家电类的
[1235.88-1236.66] 产品
[1236.66-1238.70] 那在新加坡的工厂呢
[1238.70-1241.52] 它的技术能力可以高达50成百
[1241.52-1244.84] 包含了使用非常高阶的
[1244.84-1245.10] 高频的
[1245.10-1246.64] 高速的材料
[1246.64-1248.42] 那还有很多特殊的流程
[1248.42-1249.20] 包含了
[1249.20-1250.74] Special的牙盒
[1250.74-1252.02] 多瓷的牙盒
[1252.02-1253.54] 雷射Steel-Vir
[1253.54-1255.34] 以及Vipo
[1255.34-1257.90] 那我右下角放了一张的图
[1257.90-1259.18] 这张图呢就是
[1259.18-1262.76] 他们所做的这个重文笔大概到达25左右
[1262.76-1264.30] 反后大概在5
[1264.30-1266.10] 到V5mm
[1266.10-1267.38] 甚至可以更高
[1267.38-1269.16] 所以它的技术能力非常的好
[1269.16-1270.96] 那主要用在什么地方呢
[1270.96-1272.74] 这个AI的server
[1272.74-1274.80] 或者是用在一些ASIC
[1275.10-1277.14] AI的ASIC
[1277.14-1279.20] 它所需要用到的用板上面
[1279.20-1279.96] 那
[1279.96-1280.98] 除了这个以外呢
[1280.98-1283.80] 新加坡的工厂也帮忙做一些
[1283.80-1285.08] 半导体测试
[1285.08-1286.36] 不过它的东西
[1286.36-1286.88] 跟
[1286.88-1289.44] 这个夏板工厂的这个Mocas
[1289.44-1290.72] 有点不太一样
[1290.72-1291.48] 它也是
[1291.48-1292.26] 这个
[1292.26-1294.30] 检测半导体的检测设备
[1294.30-1295.58] 不过长得不太一样
[1295.58-1297.12] 功能也不太一样
[1297.12-1298.66] 那除此同时呢
[1298.66-1301.22] 它也生产一些医疗用的
[1301.22-1302.50] 那这些医疗用的
[1302.50-1304.02] 是放在人体里面
[1304.02-1304.80] 或者是
[1304.80-1306.60] 医疗设备
[1306.60-1307.62] 所使用的
[1307.62-1309.16] 所以它的技术层次
[1309.16-1310.94] 又跟我们一般做的设备呢
[1310.94-1311.96] 并不太一样
[1311.96-1313.50] 因为放在人体里面呢
[1313.50-1315.30] 是需要高精密度
[1315.30-1320.68] 以及有很多的管理跟管制
[1320.68-1321.70] 那
[1321.70-1323.24] 以上是
[1323.24-1327.84] 这个基层科的PCB的介绍
[1327.84-1328.86] 各位同志
[1328.86-1330.14] 各位同志先进
[1330.14-1331.16] 小好
[1331.16-1332.20] 我是杨长长
[1332.20-1334.76] 又负责苏米EMC的
[1334.76-1336.04] 发展跟策略
[1336.04-1338.86] EMC厂区
[1338.86-1340.90] 我们EMC局目前有三个工厂
[1340.90-1343.20] 分别在江苏昆山
[1343.20-1345.00] 广东黄江
[1345.00-1346.28] 还有马来西亚伊巴
[1346.28-1351.66] 那昆山厂跟黄江厂都是成立20年以上的工厂
[1351.66-1354.22] 那成立时间最小的是在黄江厂
[1354.22-1357.28] 那目前有20条SMP生产线
[1357.28-1360.62] 主要服务客户是日本跟台湾
[1360.62-1364.72] 那主要产品是个人电脑周边跟消费产品
[1364.76-1368.08] 那接着是昆山厂区
[1368.08-1371.42] 昆山厂区目前有22条SMP线
[1371.42-1374.74] 那产品分布是消费产品
[1374.74-1377.30] 共同产品跟车载产品
[1377.30-1379.36] 那最后成立的是EMS
[1379.36-1381.14] 马来伊巴厂
[1381.14-1383.96] 那主要服务客户是美国客人
[1383.96-1386.26] 那主要产品是共同产品
[1386.26-1389.60] 那马来厂是2018年
[1389.60-1390.36] 成立的
[1390.36-1391.38] 那只有
[1391.38-1394.46] 当时成立只有三条SMP线
[1394.46-1396.00] 那由于客户需求
[1396.00-1398.56] 我们在2023年扩厂
[1398.56-1402.14] 并持续增加到10条SMP线
[1402.14-1403.94] 那马来厂是
[1403.94-1406.74] 我们今年主要的发展中心
[1406.74-1418.78] 那三个厂区目前SMP总限体是在52条
[1418.78-1423.38] 那我们接下来看一下我们中国厂区的发展
[1423.38-1424.42] 跟策略
[1424.46-1429.58] 那目前我们中国区的订单基本上都是非美国区的订单
[1429.58-1434.44] 所以中美贸易对我们中国区的影响是有限的
[1434.44-1436.50] 那以以下图表来看
[1436.50-1441.10] 我们中国厂区主要产品大列是消费产品
[1441.10-1443.14] 约占30%
[1443.14-1446.48] 那主要产品是来把门锁梗
[1446.48-1449.04] 那电脑周边产品
[1449.04-1451.08] 约占32%
[1451.08-1454.42] 主要产品是显卡跟异地扩视板等
[1454.46-1457.78] 那公共产品约占28%
[1457.78-1459.58] 那主要产品是
[1459.58-1461.62] 电动工具控制板
[1461.62-1464.44] 或空调还有消费型控制板
[1464.44-1468.02] 那依目前客户及订单的Focus来看
[1468.02-1473.92] 并没有下修的状况
[1473.92-1477.76] 那今年中国AI技术及相关应用发展迅速
[1477.76-1479.04] 未来产品
[1479.04-1483.38] 开发将会着重在AI产品及节能 储能产品
[1483.38-1486.70] 也就是AI伺服器跟高阶显卡等
[1486.70-1488.76] 具有高附加价值的产品
[1488.76-1492.86] 目前都会是我们现在主要的发展中心
[1492.86-1497.46] 那目前我们已经有小批量在生产AI伺服器
[1497.46-1502.84] 那接着我们看一下我们马来西亚的发展
[1502.84-1506.94] 近几年由于中美贸易的关税问题
[1506.94-1510.78] 很多客户都寻求中国以外的生产基地
[1510.78-1513.34] 而马来西亚是除了泰国跟越南
[1513.38-1516.20] 一个优势的选择
[1516.20-1520.04] 那我们PSA
[1520.04-1523.88] 集团生产在马来西亚已经多年了
[1523.88-1525.92] 那被动云件 PCV
[1525.92-1527.20] 跟机构件
[1527.20-1529.50] 都已经建立了完整的供应链
[1529.50-1532.84] 所以我们EMSP借着我这完整的供应链优势
[1532.84-1535.90] 吸引不少客户转单生产
[1535.90-1542.56] 那产品大类主要是空调产品
[1543.38-1544.92] 通讯产品公共产品等
[1544.92-1549.52] 那未来将持续导入除能产品跟AI产品
[1549.52-1553.36] 等生产线
[1553.36-1556.18] 那今年我们马来西亚能够持续扩展
[1556.18-1557.72] 满足客户需求
[1557.72-1560.78] 持续扩张SMT生产线到12条
[1560.78-1564.38] 那必持续投入自动化设备如自动手臂
[1564.38-1565.40] 自动包通线
[1565.40-1566.94] 一型插件机等
[1566.94-1569.74] 那提高技术门槛跟品质效率
[1569.74-1571.28] 减少人工成本
[1573.38-1575.94] 那开始团队会凭借着弹性生产
[1575.94-1577.98] 稳定的品质交集
[1577.98-1580.54] 及集团完整的供应优势
[1580.54-1583.10] 将保持稳定成长
[1583.10-1586.18] 那我的报告到这里谢谢
[1586.18-1590.02] 那以上我们两家的法税会的报告已经报告完毕
[1590.02-1594.12] 那现在进入Q&A环节
[1594.12-1599.50] 好那我们现在开始进行到Q&A
[1599.50-1601.02] 请请问谢谢
[1601.02-1603.34] 是
[1603.34-1611.28] 你好我是童年童工的研究员
[1611.28-1613.06] 我是想请教你说
[1613.06-1614.86] 刚刚有一系列
[1614.86-1619.46] 日本的技术层次的介绍
[1619.46-1622.80] 想可能也很好奇说那他跟国内几家
[1622.80-1625.10] 像星象店这些的一个
[1625.10-1627.14] 技术层次我们怎么看待
[1627.14-1628.68] 还有现在就是说
[1628.68-1630.74] Google这边的一个TPU
[1630.74-1632.78] 目前的一个出货的
[1632.78-1633.30] 状况
[1633.30-1637.66] 是一般来说是绝对是
[1637.66-1641.24] 首先我先回答你
[1641.24-1642.52] 你的一个问题
[1642.52-1645.34] 就是以Listech的技术能力
[1645.34-1647.38] 跟国内的相比
[1647.38-1649.68] 我们先谈
[1649.68-1650.46] 技术
[1650.46-1652.76] 比较有技术含量的工厂
[1652.76-1655.06] 新加坡的工厂
[1655.06-1658.38] 我认为跟TL1的
[1658.38-1660.94] PC板厂来讲我觉得是
[1660.94-1662.74] 它是位于TL1的
[1662.74-1664.78] 那TL1的有哪几家
[1664.78-1667.10] 因为各家的评定
[1667.10-1669.40] 技术能力的方法不太一样
[1669.40-1670.94] 但是我只能说是说
[1670.94-1674.00] 新加坡的工厂来讲它是属于TL1的
[1674.00-1676.56] 在全世界排在前几位
[1676.56-1679.12] 我相信以它的能力来讲是被
[1679.12-1681.42] 很多客户认可
[1681.42-1684.76] 那第二个呢我们谈的是ProCard
[1684.76-1686.80] 那以ProCard来讲呢
[1686.80-1688.08] 如我所知事实上
[1688.08-1691.42] 全世界做ProCard的厂家大概也就那几家
[1691.42-1692.18] 那
[1692.18-1695.26] 根据我们的研究在我们
[1695.26-1697.56] 订购之前所做的一些的study
[1697.56-1699.10] 来讲它的技术能力
[1699.10-1701.14] 也属于
[1701.14-1702.94] 在前面的
[1702.94-1706.52] 那主要是因为ProCard有很多种不同的形态
[1706.52-1708.56] 它的应用也不太一样
[1708.56-1709.58] 所以呢
[1709.58-1712.66] 我从客人端
[1712.66-1714.20] 以及外面
[1714.20-1716.76] 所听到的是
[1716.76-1718.30] 他们的能力确实是好的
[1718.30-1719.82] 他们唯一
[1719.82-1720.86] 一件事情就是
[1720.86-1722.14] 它的产能相对
[1722.18-1723.98] 会比较受限
