[0.00-2.78] 内部资料以及外部整体经济
[318.64-324.90] 我们在过去几年其实不断的有突破一个新的一个业绩的一个
[325.30-329.14] 加急那我们在去年其实根据yoo的一个报告
[329.14-331.70] 我们在testsac也是排名全球第一名
[331.70-334.00] 那其实跟这一块也是实际相关
[334.00-339.38] 那如果纳入test跟Burn一起来看的话我们在全球去年是排名第二名
[339.38-342.96] 那我想sac是我们的主业我们在未来
[342.96-345.26] 也可以leverage我们在
[345.26-347.58] 我们主要客群上的非常
[347.58-349.88] 非常好的一个地位
[349.88-352.18] 以及产品的这个组合
[352.18-354.22] 我想我们在这个部分
[354.22-355.26] 非常看好我们可以吃的这个东西
[355.30-358.12] 我们可以持续的去
[358.12-360.94] 增加我们在这一块的一个地位
[360.94-365.02] 那procar我们是相对当然是比较后面才进入这个市场
[365.02-368.10] 当然也是因应客人对于我们这一块的一个期许
[368.10-371.68] 所以我们从sac可以先做我们主要客群也希望我们能够
[371.68-373.48] 进入procar这个市场
[373.48-376.04] 所以在这个部分相对客人
[376.04-378.08] 客群也比较集中那但是
[378.08-383.46] 我们其实也做出了不小的一个成绩我们去年的排名虽然不高
[383.46-385.26] 那我们今年的procar
[385.30-387.60] 还是会持续相较去年在
[387.60-389.40] 做蛮大的一个成长
[389.40-392.46] 所以这个部分等等会再跟各位做一个说明
[392.46-396.82] 那overall我们主要的客群以中端客人来讲的话
[396.82-400.92] 绝大多数超过六成都是来自于北美相关的这样的
[400.92-402.46] 晶片商
[402.46-408.08] 那另外比较重要是台湾的公司那台湾这边的话大概24%
[408.08-410.38] 是跟这边的设计上有关
[410.38-413.20] 那另外中国的部分大概是14%
[413.20-415.26] 那当然不外乎现在发展
[415.30-420.42] 最迅速的都是这些AI HPC相关的领域那包含大家
[420.42-422.46] 讨论很热烈的ASIC
[422.46-424.26] 都在在都在这其中
[424.26-427.58] 那当然我们在过去五年之前可能比较
[427.58-431.68] 做比较多的会是这些consumer等级用的CPU以及GPU
[431.68-434.76] 但其实这个部分的客群各位清楚这个是重叠的
[434.76-441.42] 那overall我们全在前十大的客人大概占到我们整体营收在去年是86%
[441.42-445.26] 那overall我们有在跟客人engage的
[445.26-451.40] 交易的部分是其实是蛮多元的超过200家
[451.40-452.42] 那
[452.42-453.20] 这一个
[453.20-459.34] 这一个以客人先进不管是用先进制程或者是所谓先进封装的一个角度来去做观察
[459.34-464.98] 的话其实因为我们是引领于市场跟客人合作最先进的案件所以无论如何
[464.98-466.00] 我们
[466.00-471.88] 手上会拥有最多的营收贡献来源一定是都来自于这些先进
[471.88-474.70] 制程以及先进封装相关的案件为主
[474.70-475.22] 那我想
[475.22-479.32] 这个部分会在尤其第一季应该又会在更集中会突破八成
[479.58-483.42] 那在2024年其实大部分绝大多数来源都是
[483.66-486.48] 76%都是来自于这一块相关的一个领域
[488.54-494.42] 那如果我们就产业来观察我想这个部分当然要呼应一下我们今天这一次活动的主题
[494.68-500.82] 讲到AI大家清楚这个部分数字我就不赘述大家很清楚现在市场上所有不管是做晶片的
[501.08-501.84] 或者是做这些
[502.10-504.92] Server Rack的今天在这个会上都可以
[505.22-507.78] 感受到这一块发展蓬勃的一个
[508.04-510.86] 态势那当然我们也是受惠其中的一员
[511.36-517.50] 那对于公司来讲AI这个部分他的work out需要使用的晶片其实跟过去
[517.76-518.54] 有一些蛮
[518.78-519.30] 不大的
[519.56-522.12] 不大一样的一个情况不是单纯的GPU而已
[522.38-525.18] 那对于我们最重要的一个
[525.70-526.98] 隐含的意义是第一个
[527.24-528.78] 他的封装形式
[529.02-532.36] 他所整合的元件比以前要复杂许多
[532.62-534.40] 那他的封装其实就是
[534.66-535.18] 显著的
[535.48-536.24] 大家可以看到
[536.50-538.30] 他的封装的大小尺寸
[538.54-539.82] 是不断在增加
[540.08-542.38] 如果各位有follow这些现今封装的这个
[542.64-543.66] road map
[543.92-544.18] 你会
[544.44-545.46] 观察到这个状况
[545.98-547.26] 那大封装是一个
[548.02-554.16] 那他要测试这个要求其实也叫一般的consumer产品要来严苛很多所以高频高速这个是
[554.42-554.68] 基本的
[554.94-558.78] 那另外有一个显著的特色是这一些晶片
[559.02-560.82] 尤其for AI或HPC的
[561.08-562.10] 他的
[562.62-563.90] Thermal Design的power
[564.14-565.18] 跟一般consumer
[565.48-566.24] 产品不一样
[566.50-571.62] 好所以各位手机或是个人电脑其实很少会听到尤其是laptop你可能很少会听到会
[572.14-575.72] 超过什么75瓦一个一个主晶片这样的一个设计
[576.48-577.00] 那
[577.26-582.62] 现在我们已经看到从过去如果是种high performance的可能一颗750瓦很了不起
[582.88-585.70] 现在已经超过1000甚至我们已经看到2000
[586.22-590.06] 这样的一个engagement在我们这一端在进行中
[590.56-592.36] 所以客人对这一些的要求
[592.62-594.66] 在在的会影响到我们设计
[594.92-596.96] 这些test socket给他的这样的一个
[597.22-598.24] 条件所以
[598.50-601.32] 对于spec上的要求也会更为严苛
[601.58-603.36] 那基本上可以用一个
[603.62-606.44] 直观方式来理解他封装越大颗
[606.70-608.74] 他的测试条件越复杂
[609.00-612.84] 他这些socket的单价也相对的会越高所以整体的这个
[613.10-615.14] trend是非常明确的
[616.94-618.22] 那我们提供从
[618.46-621.80] 前端在测试waver段的测试界面procard
[622.06-624.62] 以外另外绝大多数都是跟socket
[624.92-627.98] 也就是后段封装所使用的测试界面有关
[628.50-629.02] 所以
[629.26-631.06] 我们无论从waver source
[631.32-632.34] 也是晶圆
[632.60-639.00] 等级的这个测试的解决方案到后段不管是他使用在final test最终测试或者是
[639.50-640.28] system level
[640.78-642.58] 高频高速的系统测试
[642.84-645.14] 甚至这一些更先进的
[645.40-648.72] 不是单纯的老化的动态老化测试dynamic burning
[648.98-651.28] 我们都有相对应的solution提供给客人
[653.58-654.62] 那当然这个
[654.92-657.22] 这个业界讨论在测试方面的
[657.48-661.06] 观察点很多在过往可能常会讨论到就是
[661.32-663.10] 有一些ship lab的情况
[663.36-667.20] 那当然晶圆测试其实无庸置疑很重要你必须确认这一些
[667.46-670.02] waver上的设计所
[670.28-672.06] 所切出来这个带
[672.32-673.34] 他是
[673.86-675.66] 功能是完整无语的
[675.90-682.06] 那还有办法在进行接下来的这个后面的制程你不可能assemble一个有问题的带在接下来
[682.30-683.34] 复杂的工作那个
[683.58-684.62] 那个
[684.92-686.46] 成本以及时间的耗损是会得
[686.70-687.74] 是会累积上去的
[688.24-688.76] 所以
[689.02-695.16] 客人为什么会希望我们再提供这样的solution是因为他也希望提供整个total的这样的一个解决方案给他
[695.42-697.72] 所以晶圆测试非常重要这个大家
[697.98-698.48] 清楚
[698.74-703.60] 那不管是最后会用在covax封装或者是使用这种小晶片的这种chip
[704.12-707.44] 甚至未来大家讲的cpu这些都是很重要的一个环节
[707.96-710.52] 那我们所提供的solution主要是围绕在
[710.78-714.10] cobra以及waver level csp这种封装形式的
[714.92-715.42] 这个
[715.68-716.96] 解决方案以及我们
[717.22-718.24] 从去年开始
[718.50-722.34] 已经陆续有出货的这些memps相关的solution
[723.88-726.70] 那另外对于刚提到ai
[726.94-727.46] 在
[727.72-733.60] 后段封装形式的尺寸大小的眼镜我想这个对于我们的影响是最非常直接
[733.86-735.40] 那除此之外他的
[735.66-738.22] 他的那个单价增加以外
[738.46-741.02] 他对于一些特殊的这种比较
[741.28-742.56] 需要严苛条件
[742.82-744.10] 执行的这种system level test
[744.66-746.96] 的需求也叫其他领域的晶片
[747.22-747.98] 多许多
[748.24-753.88] 那我们就从sot这边的进展我们也看到客人在这一块的需求是
[754.14-755.42] 叫以往来的
[755.66-760.28] 需求更一切所以不管是asp的增加以及在量上面的p跟q
[760.54-762.58] 他都更比过去来的要
[762.84-767.44] 多许多所以这个部分我们的观察以及自己的看法是
[767.70-770.00] 这一个部分sot或者是fan
[770.26-772.56] 所谓是system function test这样的一个领域
[772.82-773.84] 他会超过
[774.66-778.50] 这个socket的这个整体产业的年复恒长的率
[778.76-782.86] 他大概是会在落在5到6个percent之间所以你看他其实是
[783.10-785.92] 大概超过两倍以上的这样的一个成长
[786.44-787.46] 这个是我们的一个看法
[787.72-790.28] 那我们会提供给客人就是使用这一些
[790.78-795.66] 高阶的测试的解决方案所以coaxial是我们的flagship产品
[796.16-801.28] 那hypersocket是未来在一些更high end更严苛条件需要更
[801.54-804.10] higher performing的这个solution上我们所提出来的
[804.66-806.70] 一个方案给客人
[808.24-813.10] 那高速老化这个也是另外一个产业界所观察到的一个
[813.36-813.88] 趋势
[814.14-819.76] 所以我们目前看到在传统所使用的这个burn in测试大概会落在一些
[821.30-823.60] 就是老化测试上面的一个需求所以
[823.86-826.94] 他已经不堪使用他需要再用更高速的一个
[827.18-830.52] 环节去测所以这个部分都会带动这一块的一个需求
[831.54-834.62] 那我想这个数字部分我这边就是
[834.92-841.06] 很快就是解释一下是不是大家对于我们第一季非常清楚我们有一个非常爆炸性的
[841.32-842.08] 一个成长
[842.34-845.42] 那主要推动力除了AI跟HPC之外
[845.66-848.48] 跟我们在procar这边客人
[849.50-851.56] 案件的一个进展有绝对的一个关系
[852.32-858.46] 所以当然他也带动我们在今年第一季不管是growth margin operating margin以及净利上面的一个
[858.72-862.30] 都较去年同期有非常显著的一个成长
[862.82-864.62] 那主要刚刚提到产品主要的
[864.92-867.48] 组合都是来自于高阶的原因那因为
[867.98-869.78] Coaxial socket再加procar
[870.04-871.06] 其实他加起来
[871.32-872.08] 就已经
[872.34-877.98] 接近八成那这个也是我们第一季为什么毛利会在49%的关键的一个原因
[878.74-879.26] 那
[879.50-886.94] 在以终端产品做观察的话第一季主要的构成大概接近五成都是来自于AI跟HPC相关的一个
[887.18-887.44] 应用
[887.70-894.62] 那另外对于这个也是同样是高毛利产品线相关的这PC跟Gaming第一季也占到37%所以
[894.92-898.24] 就我们各个季度其实有些时候他的组成会
[898.50-902.86] 波动蛮大所以第一季几乎绝大多数的跟compute相关的应用有关
[904.64-907.98] 那我想接下来针对我们几个重要的产品主
[908.22-913.34] 产品应用还有技术上面的一个进展跟各位做一个说明及更新
[913.60-916.16] Hyper socket我们刚刚提到他其实基本上是在
[916.42-917.96] 比我们原本Coaxial socket
[918.22-920.52] 在更高阶的一个solution
[920.78-921.80] 所以目前在
[922.06-924.62] 跟许多业界重要的
[924.92-925.94] 这一些客群
[926.20-929.78] 积极的在做sample以及shipment其实我们这个部分
[930.04-933.10] 可以预期接下来会有蛮不错的一个进展
[933.62-936.70] 那CPU其实也是大家关注的一个部分他是一个
[937.72-943.86] 跟现在AI眼镜以及HPC其实息息相关的一个区块虽然在这个阶段他还不是
[944.12-946.42] 太有量的一个领域但是
[946.68-952.56] 能够去从事这个CPU development的客群或者是晶片设计商其实
[953.08-954.36] 都集中在北美客人
[954.62-955.38] 我们跟这些客人
[955.64-957.18] 其实都很紧密的合作
[957.44-962.30] 那我们大概也根据他的需求提供了一些不同的solution给他
[964.34-969.46] 那最后再针对我们socket探针自制的部分我们其实在
[969.72-975.36] 按照我们的步调以及plan持续的在扩张我们这一块的产能以及自制率
[975.60-981.76] 那我们在今年的预期其实并没有调整我们今年希望能够在年底的时候达到一个月
[982.00-983.04] 4.5个
[983.28-984.32] 4.5百万针
[984.62-986.16] 这样的一个规模
[986.40-988.72] 那我们届时预期大概可以
[988.96-995.12] 达到大概超过五成左右的capacity但是我们目标是预计要做到五成的这样的一个自制率
[995.36-996.40] 这个目标并没有变
[996.64-999.72] 那他的带来的效应会节省我们的成本
[999.98-1003.04] 那另外对于我们一些量更大的客群的要求
[1003.30-1008.42] 会有更显著的拓展的一个效应那我想这个部分在接下来几年都会
[1008.68-1009.20] 陆续
[1009.44-1012.00] 对于不管是我们毛利以及我们的top line
[1012.26-1014.06] 做到蛮不错的一个益助
[1014.88-1021.02] 那这边打一个广告我们在就是现在这个时间有在半老体展
[1021.28-1026.90] 东南亚办公展做一个展出那接下来6月时候我们会参加美国的southwest
[1027.16-1032.28] 一个展会那当然我们在6月19会有一个股东会的一个meeting
[1032.54-1035.10] 那如果是跟他是我们股东也欢迎来参加
[1035.60-1040.72] 我想这个是以上很快的一个简报时间有限所以我想用比较快的方式
[1040.98-1042.78] 不知道大家刚刚有没有不清楚的
[1043.04-1043.80] 部分我们可以
[1044.36-1045.90] 来讨论谢谢
[1046.92-1053.06] 谢谢于经理这个云心理精彩的分享那请云经理留在舞台上我们接下来是qa时间
[1053.84-1055.12] 那现场有没有
[1055.36-1057.42] 各位投资先进也要想要提问的
[1057.68-1063.82] 那这边提醒如果想要提问的可以举手发言我们把麦克风递给您这样子方便现在也叫很多在
[1064.08-1065.60] 在线上看直播的朋友可以
[1065.86-1066.88] 听清楚您的问题
[1069.44-1070.22] 非常踊跃
[1073.28-1074.32] 哎于经理早
[1074.62-1075.38] 我想请问
[1075.64-1077.68] 第一个问题是这个
[1077.94-1082.30] 我不晓得你们怎么看现在美国的对等关税的情况
[1082.56-1083.84] 然后第二个问题是
[1084.08-1087.68] 因为台币五月初的时候强生那我不晓得说
[1087.92-1091.76] 比如说大家都会有一个汇率的敏感度的分析的部分
[1092.02-1093.04] 对公司
[1093.30-1094.08] 现阶段
[1094.32-1096.64] 营收是美金或者是非美金的
[1096.88-1099.44] 的部分的话可以请于静跟我们分享一下谢谢
[1099.96-1104.06] 好的好的那这个问题我想第一个先针对关税的部分我做一下说明
[1104.36-1104.88] 我们
[1105.12-1105.64] 公司
[1105.90-1110.50] 因为业态的关系其实绝大多数的产品并不会直接
[1110.76-1112.04] 去到美国去
[1112.30-1116.64] 所以在去年的时候我们其实只有大概low single就是大概
[1116.90-1119.46] 个位数的这样的一个
[1119.98-1120.48] 金额
[1120.74-1121.76] 营收是
[1122.02-1122.80] 直接
[1123.30-1124.32] 出货到美国去的
[1124.58-1127.66] 那为什么会有这样子是因为大部分的
[1128.16-1130.72] 量产的测试并不会发生在美国
[1131.50-1133.80] 那第二个是这一个部分的
[1133.80-1134.32] 关税
[1134.62-1136.66] 或者是相关的这个
[1136.92-1137.44] 影响
[1137.68-1143.84] 就我们跟客人所谈的trade term来说这个部分的费用是会由客人去承担
[1144.34-1147.42] 所以整体来讲他目前对于我们的影响其实
[1147.68-1152.54] 相对来说是都在可以控的范围假设真的有这样的一个
[1152.80-1153.82] 关税的政策
[1154.58-1157.14] 出台的话那这个部分我们还在密切观察中
[1157.40-1160.22] 目前我们的评估是对我们影响相对不会那么大
[1160.48-1164.32] 我们会送过去一定是否客人对比较前期的这些工程
[1164.62-1165.38] 验证相关的需求
[1166.16-1168.96] 这是针对关税可能带来影响的部分
[1169.74-1172.56] 那对于货运的部分因为公司一向是采取一个
[1174.34-1176.90] 自然避险的一个方式
[1177.16-1179.72] 那因为我们不管是收或者是付
[1179.98-1182.54] 其实蛮大一个部分的确都是跟美金有关
[1182.80-1184.32] 我们在销货跟进货的部分
[1185.10-1188.42] 那如果就去年的比重来看的话
[1188.94-1190.22] 假设台币对美
[1190.48-1190.98] 美元
[1191.24-1193.28] 每升值1%我们的预期是
[1193.54-1194.32] 对于我们的
[1194.62-1195.38] 那个
[1196.66-1197.68] 那个营业利益
[1197.94-1200.50] 会有-0.3%的这样的一个影响
[1200.76-1203.58] 这是就去年的这样的一个比重来做观察
[1203.84-1205.12] 那我们目前这个
[1206.64-1207.16] 那个
[1207.42-1209.72] 那个natural hedge这样的一个
[1210.74-1212.02] 就是政策并不会改变
[1212.54-1214.08] 所以我们对于我们的影响
[1214.58-1217.14] 会有但是我们认为就目前来看
[1217.66-1222.52] 汇率的走向毕竟难预测所以这个部分我们也就是采取这样的一个方式去进行
[1222.78-1223.28] 谢谢
[1224.62-1225.12] 好
[1225.38-1225.90] 好
[1227.44-1233.58] 刚才有提到就是那个第1季的产品组合和应用别那可不可以说明一下就是第2季
[1233.84-1237.92] 第3季甚至到第4季的话就是产品组合跟应用别我们这边怎么看
[1238.18-1238.70] 谢谢
[1239.98-1246.12] 我们每一个季度的变化会跟着客人按键的时程高度相关
[1246.38-1248.94] 所以这个时间点我们并没有办法跟你预期
[1249.20-1249.96] 接下来
[1250.22-1251.24] 他的
[1251.50-1252.78] 分布会是如何
[1253.28-1254.32] 但我们看法是
[1254.62-1256.92] 接下来这些AI跟HPC的
[1257.44-1261.28] 在我们公司的比重他仍然会持续站在一个高点
[1261.78-1267.16] 那consumer相关的产品包含刚刚提到的PC gaming或者是像手机这一类的
[1267.42-1268.70] 那就会随着客人
[1268.96-1270.48] 或者说我们重要案件
[1271.00-1273.04] 他的时程什么时候大量销货
[1273.30-1274.32] 会有高度相关
[1274.84-1278.68] 所以大概看法是这样但我们认为高度成长的部分都
[1278.94-1284.32] 不管是今年或者是接下来如果follow这一块的这个进展我想这个部分我们是有蛮大的
[1284.62-1285.12] 一个
[1285.38-1286.40] 就是
[1286.66-1292.80] 信心也感到也非常兴奋我们在这个客人这边的地位是非常非常好的所以这个面会是我们
[1293.06-1294.60] 半年那个成长
[1295.12-1296.40] 的主要来源
[1299.98-1301.00] 经理早安
[1301.26-1304.84] 我有两个问题想要请教可不可以跟我们分享
[1305.10-1306.88] 多一点有关于Socket
[1307.14-1308.94] 他应该算是一个耗材
[1309.70-1311.24] 那他应用在Core
[1311.50-1312.26] Chipulate
[1312.52-1314.06] 或者是CPU的部分
[1314.62-1317.68] 那他在各个不同的制程当中
[1317.94-1322.56] 他是多久要替换一次还是说一个月换一片还是什么样子
[1323.06-1324.60] 可以了解一下这样的一个产品
[1325.62-1327.42] 对这个问题其实
[1327.68-1331.52] 蛮不错的我用我公司实际上的状态跟大家说明一下
[1332.28-1334.32] Socket本身他应该是高度客制
[1334.58-1340.48] 他其实本身并不会坏掉他可能中间那个接触的元件像探针
[1340.72-1342.00] 他会磨耗他需要换掉
[1342.52-1344.32] 但如果探针是公司做的吗
[1344.62-1345.64] 探针是公司做的
[1345.90-1347.68] Socket的探针是公司做的
[1347.94-1349.74] 那我们刚提到的那个产能
[1350.00-1352.56] 我们目前大概自制率40%左右
[1353.06-1355.12] 那我们目标是要进到50%
[1355.62-1356.64] OK所以这个
[1357.16-1362.02] 当然有部分也是外购那我们设计是请我们的合作伙伴去帮我们
[1362.28-1362.80] 制作的
[1363.82-1364.84] 这个他
[1365.36-1371.50] 这个产业他是纯属耗材没有错因为他就是你不可能拿A客人的Socket
[1371.76-1372.78] 去测B客人的案件
[1373.04-1373.54] 这是不可能的
[1374.62-1375.12] 他是
[1375.38-1378.46] 纯耗材我们讲高度客是跟这个概念是完全
[1378.72-1379.22] 相关的
[1379.74-1384.08] 但是如果你只要一直测这个案件假设他就是探针都没有磨耗
[1384.34-1385.12] 然后
[1385.36-1387.92] 也就是那个本体是不需要去替换的
[1388.44-1389.72] 概念是除非你把它装坏
[1391.76-1395.86] 那我第2个问题是说刚有讲到我们新的产品叫
[1396.12-1397.14] HyperSocket
[1397.66-1400.48] 那我们旧的产品叫CoAsideSocket
[1400.72-1403.80] 这两个最大的差别在哪边还有就是说
[1404.36-1405.90] HyperSocket他是指
[1406.16-1407.68] 意思应该是要比较快吗
[1407.94-1408.96] 或比较多针吗
[1409.74-1410.50] 这种感觉
[1410.76-1413.84] 那他到底是要处理什么事情那未来
[1414.08-1416.40] 他能够帮助客户提升
[1416.64-1418.96] 多少的效能或效率
[1419.98-1423.04] 好这个这个问题啊这个其实他
[1423.30-1423.82] 他
[1424.08-1428.42] 大或小增高或少这个是端看这个Device
[1428.68-1429.20] 做出来
[1429.96-1430.98] 要怎么设计
[1431.24-1432.00] 这是第1个
[1432.26-1433.80] 那HyperSocket跟CoAsideSocket
[1434.36-1435.64] 在技术层面上面
[1435.90-1441.28] 他当然在Perform上面他是就在更高一些因为他使用的结构不大一样
[1441.52-1444.60] 所以就技术上面来讲他每一个
[1444.86-1449.20] 接触点的主抗以及他能够传递讯息的这个
[1449.46-1450.74] 就是
[1451.76-1453.30] integrity会比
[1453.56-1457.92] CoAxial好但是这两个在我们公司他都是属于高阶的产品
[1458.42-1458.94] 所以
[1459.20-1461.24] 我们其实为什么要把
[1461.50-1464.32] AI一起拿进来呼应的原因是这一些机会
[1464.62-1467.18] 几乎清理设备都需要使用到高频高速的测试
[1467.44-1470.76] 所以这两种解决方案不管客人最后选择哪一种
[1471.28-1472.30] 他都是很
[1472.56-1476.14] 就是适配这样的一个高频高速以及高功耗的
[1476.40-1476.90] 应用
[1477.16-1480.74] 我想这个算是比较用Layman Turn的方式跟你解析
[1481.00-1482.28] 结构上面会有所不同
[1482.54-1484.08] 但是两者都会用到
[1484.32-1488.42] 刚刚提到的弹簧式的探针Pogo pin这样的一个结构
[1488.94-1491.50] HyperSocket会再加一层导电胶的一个形式
[1492.26-1492.78] 谢谢
[1494.62-1496.66] 时间的关系我们开放最后一个问题
[1496.92-1499.48] 现场投资先进还有任何想要请教的吗
[1502.04-1506.64] 那如果没有的话我们因为科技的业绩讲完会就到此先告一个段落
[1506.90-1510.48] 谢谢你为科技于经理也谢谢各位贵宾朋友的利灵
[1510.74-1512.54] 那提醒各位接下来是
[1512.80-1514.58] 感谢于经理
[1515.36-1520.60] 你各位接下来是中场休息时间那下一场活动是旺系科技的业绩讲完会
[1524.36-1525.38] 谢谢大家
[1525.64-1526.40] 谢谢
[1554.36-1555.38] 谢谢大家
[1584.36-1585.38] 谢谢大家
[1614.36-1615.38] 谢谢大家
[1644.36-1645.38] 谢谢大家
[1674.36-1675.38] 谢谢大家
[1704.36-1705.38] 谢谢大家
[1734.36-1735.38] 谢谢大家
[1764.36-1766.66] 谢谢 teeth
[1768.72-1769.22] 谢谢大家
[1769.48-1769.74] 谢谢各位
[1770.76-1771.28] 谢谢
[1783.56-1784.08] 谢谢
[1784.84-1785.36] 谢谢
[1785.60-1786.14] 谢谢
[1787.36-1787.92] 谢谢
[1789.20-1789.70] 谢谢
[1790.22-1790.72] 谢谢
[1791.24-1791.74] 谢谢
[1792.04-1792.54] 谢谢
[1792.92-1793.54] 谢谢
[1793.80-1794.22] 谢谢
