[0.00-6.64] 各位投資先進大家午安
[194.68-197.50] 瑞鼎有三大產品線
[197.50-202.62] 首先是大尺寸驅動IC以及VCOM跟PIMI的部分
[202.62-206.46] 這個產品點主要是用在電視
[206.46-207.74] 桌上顯示器上的產品面積的部分
[207.78-209.58] 以及電
[209.58-211.36] 在去年去年的話
[211.36-214.18] 在我們營收32%
[214.18-217.76] 第二個產品線是中小尺寸驅動IC
[217.76-220.58] 都是用在AMOLED上面
[220.58-224.42] 有用在手機平板以及筆電
[224.42-226.22] 還有穿戴式裝置上
[226.22-231.08] 以去年來說在我們整體營收在53%
[231.08-234.92] 第三個產品線是車載公控驅動IC
[234.92-237.48] 就是用在車載跟公控上面
[237.78-241.36] 以去年去年來說營收佔15%
[241.36-246.74] 接著是產品應用的部分
[246.74-250.58] 我們產品就應用在LCD以及AMOLED上面
[250.58-254.42] LCD的應用最終含品包含筆電
[254.42-255.44] 螢幕
[255.44-257.24] 電視
[257.24-258.78] 以及車載
[258.78-260.06] 的部分
[260.06-263.90] 接著是AMOLED的產品有用在
[263.90-264.92] 手環
[264.92-265.94] 手錶
[265.94-267.48] 智慧型手機
[267.78-268.80] 平板
[268.80-269.82] 筆電
[269.82-275.46] 以及車載
[275.46-279.56] 接著是全年的合併營收的部分
[279.56-284.16] 去年如剛有說到是全部全年業額是
[284.16-286.72] 新台幣243.8億
[286.72-288.78] 第四季是56.9億
[288.78-290.82] 第三季是62億
[290.82-293.12] 第二季是64.5億
[293.12-297.74] 第一季是60.4億
[297.78-300.86] 那接著是我們去年營收中
[300.86-302.64] 各個產品線的佔比
[302.64-305.46] 以去年去年來說
[305.46-306.74] 大尺寸驅動IC
[306.74-308.54] 即PMI跟
[308.54-309.30] T-POW
[309.30-312.12] 這個佔我們的營收32%
[312.12-313.90] 較去年40%
[313.90-315.70] 降低了8%
[315.70-318.00] 中小尺寸驅動IC
[318.00-319.80] 去年是53%
[319.80-321.34] 較前一年
[321.34-323.12] 增加了10%
[323.12-326.96] 車載公控的部分的話去年去年是15%
[326.96-327.74] 較前一年是53%
[327.78-332.38] 減少10%
[332.38-338.54] 那接著是我們去年第四季營運成果
[338.54-344.68] 那以合併綜合損利表來說去年第四季我們的營業收入為
[344.68-348.26] 56.89億
[348.26-349.80] 較前一季
[349.80-351.58] 62億
[351.58-353.90] 季減8.2%
[353.90-355.42] 較前一年
[355.42-356.96] 49.16億
[356.96-357.74] 年增
[357.74-360.04] 15.7%
[360.04-362.10] 那營業毛利的話為
[362.10-364.14] 16.81億
[364.14-365.42] 較前一季
[365.42-367.72] 18.57億
[367.72-370.02] 季減10.3%
[370.02-371.30] 較前一年
[371.30-373.10] 14.99億
[373.10-376.68] 年增12.2%
[376.68-379.24] 那營業費用為
[379.24-380.78] 13.04億
[380.78-382.06] 較前一季
[382.06-383.60] 12.78億
[383.60-386.42] 季增2.1%
[386.42-387.70] 較前一年
[387.74-389.54] 9.76億
[389.54-393.12] 年增33.7%
[393.12-396.18] 營業淨利為3.77億
[396.18-397.46] 較前一季
[397.46-399.52] 5.97億
[399.52-402.84] 季減36.7%
[402.84-405.14] 36.9%
[405.14-408.74] 較前一年的5.23億
[408.74-411.80] 年減28%
[411.80-413.08] 那
[413.08-414.88] 業外收益
[414.88-417.70] 在去年第四季為9200萬
[417.74-421.32] 那裡面大部分為匯兌的收益
[421.32-423.38] 那本期淨利為
[423.38-424.90] 4.18億
[424.90-426.44] 較前一季
[426.44-427.98] 5.37億
[427.98-430.28] 季減22.2%
[430.28-433.10] 較前一年4.13億
[433.10-436.18] 年增1.3%
[436.18-438.22] 那營業毛利率為
[438.22-440.02] 29.6%
[440.02-441.54] 較前一季
[441.54-443.34] 30.2%
[443.34-445.90] 季減0.6個百分點
[445.90-447.70] 較前一年的30.5%
[447.74-452.34] 年減0.9個百分點
[452.34-454.14] 那營業淨利率為
[454.14-456.44] 6.6%
[456.44-457.46] 較前一季
[457.46-459.00] 9.6%
[459.00-461.30] 年減3個百分點
[461.30-463.86] 較前一年的10.6%
[463.86-465.92] 年減4個百分點
[465.92-469.76] 那本期淨利率為7.3%
[469.76-471.04] 較上一季
[471.04-473.08] 8.7%
[473.08-475.38] 季減1.4個百分點
[475.38-477.70] 較前一年的8.4%
[477.74-480.30] 年減1.0個百分點
[480.30-482.34] 那
[482.34-483.88] 去年第四季的
[483.88-485.68] 基本每股營業率為
[485.68-486.44] 新台幣
[486.44-487.98] 5.51元
[487.98-489.52] 較上一季
[489.52-491.30] 7.08元
[491.30-494.38] 那季減1.57新台幣
[494.38-496.68] 那較前一年5.44元
[496.68-499.50] 年增了0.07新台幣
[499.50-505.90] 那下一頁為年度的
[505.90-507.18] 綜合選議
[507.74-510.30] 2024年的營業收入為
[510.30-512.34] 243.77億
[512.34-514.66] 那較前一年度
[514.66-516.70] 183.47億
[516.70-519.78] 年增32.9%
[519.78-521.56] 營業毛利為
[521.56-528.74] 73.13億
[528.74-530.02] 較前一年度
[530.02-532.06] 53.11億
[532.06-534.62] 年增37.7%
[534.62-537.70] 那營業費用為
[537.74-540.30] 51.84億
[540.30-541.58] 較前一年度
[541.58-543.38] 39.32億
[543.38-545.68] 年增31.8%
[545.68-547.98] 那營業淨利為
[547.98-550.28] 21.29億
[550.28-553.10] 較前一年度13.79億
[553.10-555.66] 年增54.4%
[555.66-558.22] 那本期淨利為
[558.22-560.02] 20.99億
[560.02-562.58] 較前一年度14.43億
[562.58-564.88] 年增45.5%
[564.88-566.66] 那
[566.66-567.70] 2024年
[567.70-569.74] 的營業毛利為
[569.74-571.54] 30.0%
[571.54-573.34] 較前一年度
[573.34-575.12] 28.9%
[575.12-577.94] 年增1.1個百分點
[577.94-581.02] 營業淨利為8.7%
[581.02-582.54] 較前一年度
[582.54-584.08] 7.5%
[584.08-586.90] 年增1.2個百分點
[586.90-589.72] 本期淨利為8.6%
[589.72-592.54] 較前一年度的7.9%
[592.54-595.86] 年增了0.7個百分點
[595.86-597.40] 那去年的
[597.40-598.68] 基本每股營業為
[598.68-600.48] 26.67新台幣
[600.48-602.78] 27.67新台幣
[602.78-606.10] 較前一年度的19.02
[606.10-607.12] 那
[607.12-613.52] 年增了8.6新台幣
[613.52-615.32] 那接著是
[615.32-617.88] 合幣資產負債表的部分
[617.88-619.92] 那截至去年第四季
[619.92-622.74] 我們的現金結當現金為
[622.74-625.30] 60.28億
[625.30-626.84] 60.26億
[626.84-628.38] 那較前一季
[628.38-631.44] 55.68億
[631.44-634.52] 計增8.2%
[634.52-637.84] 那較前一年度的60.24億
[637.84-639.64] 預金持平
[639.64-640.92] 那
[640.92-642.46] 應收賬款為
[642.46-644.50] 36.64億
[644.50-647.58] 較前一季37.12億
[647.58-649.88] 計減1.3個百分點
[649.88-651.42] 較前一年度
[651.42-653.20] 29.87億
[653.20-656.80] 年增22.7%
[656.84-658.12] 那存貨為
[658.12-660.16] 23.19億
[660.16-661.96] 較前一季
[661.96-665.54] 較前一季23.95億
[665.54-666.82] 計減
[666.82-669.12] 3.2%
[669.12-670.40] 3.2%
[670.40-673.48] 較前一年度20.29億
[673.48-676.30] 年增14.3%
[676.30-678.86] 那資產總計
[678.86-680.14] 為
[680.14-682.96] 204.22億
[682.96-684.24] 那
[684.24-686.80] 這數字與負債
[686.84-693.50] 負債與權利的價值相當
[693.50-696.82] 以下是我們每一季的合併營收的部分
[696.82-698.62] 那我們的
[698.62-703.22] 去年第四季合併營收為56.9億
[703.22-710.64] 那去年幾乎都在60億上下維持平穩的水準
[710.64-714.48] 那下一頁是我們的各產品補合的比重
[714.48-716.28] 去年第四季
[716.28-720.38] 大尺寸驅動外吸已經低碳批品33.3%
[720.38-722.42] 那較上一季支持平
[722.42-726.78] 跟去年同期的話是降低3%
[726.78-728.82] 中小尺寸驅動外吸為
[728.82-730.36] 49%
[730.36-731.64] 較上一季
[731.64-732.92] 減少1%
[732.92-733.94] 跟
[733.94-735.74] 去年同期
[735.74-738.04] 減少1%
[738.04-739.58] 那另外車載供控
[739.58-741.36] 驅動外吸佔18%
[741.36-743.68] 較上一季增加1%
[743.68-746.24] 較去年同期增加4%
[746.28-748.58] 較上一季增加3%
[748.58-749.86] 較上一季增加4%
[749.86-752.16] 以上為我們第四季的營運成果
[752.16-758.56] 那接著跟各位報告近期重要事件與營運重點訊息
[758.56-760.36] 首先是關於
[760.36-762.92] 現金股利發放的部分
[762.92-764.72] 我們去年
[764.72-766.00] 股利發放
[766.00-768.04] 22.2新台幣
[768.04-770.34] 那發放率大概是80%
[770.34-773.68] 所以我們過去五年的現金股利發放率
[773.68-775.46] 維持在80%
[776.28-781.92] 那接著是我們的幾個長相
[781.92-783.20] 那我們在
[783.20-785.76] 上一季融貨
[785.76-786.78] 勞動部
[786.78-788.82] 職安署2024年
[788.82-792.92] 企業永續報告書揭露職業健康與安全
[792.92-794.46] 績效主動評比
[794.46-797.78] 為優良企業
[797.78-801.88] 那另外在2024年第17屆TCSA
[801.88-804.18] 臺灣企業永續獎中
[804.18-805.98] 我們的永續報告
[805.98-811.10] 那在電子資訊製造業中得到第一類金級
[811.10-813.66] 那在綜合績效部分
[813.66-817.24] 我們也得到臺灣永續企業基油獎
[817.24-819.04] 那同時我們也榮獲
[819.04-822.10] 衛生服務部國民健康署的
[822.10-828.00] 健康促進標章
[828.00-830.82] 那接著是我們近期營運重點的訊息
[830.82-832.60] 我們首先先回顧
[832.60-835.94] 去年第四季以及去年的2020年全球的營運重點訊息
[835.98-840.08] 那2024年的去年營收為例子
[840.08-841.10] 是高
[841.10-843.66] 那疫創疫情後面的新高
[843.66-848.26] 那在去年第四季整體營收來說表現成季節
[848.26-850.58] 那我們主要原因包含
[850.58-852.88] 淡季的季節性影響
[852.88-854.66] 還有客戶的
[854.66-855.94] 調節庫存
[855.94-858.26] 那以及單價降低的部分
[858.26-862.34] 那另外的話在車載公控驅動IC
[862.34-864.90] 則有受惠觸控與顯示
[864.90-865.94] 顯示整合
[865.94-867.22] 車型驅動IC
[867.22-868.24] TDDI
[868.24-870.30] 新案持續進入量產
[870.30-876.94] 所以在這個產品別我們的動能持續相對穩健
[876.94-879.76] 那接著是我們這一季的營運重點
[879.76-883.60] 那這一季呢儘管還是產業是屬於淡季
[883.60-885.66] 那工作貼數減少
[885.66-888.46] 但是在中國消費性產品需求
[888.46-891.28] 受到補貼政策持續帶動下
[891.28-892.82] 看到市場需求
[892.82-895.64] 需求量渴望增加
[895.64-896.66] 那另外
[896.66-899.74] 美國關稅新政帶來的不確定性
[899.74-903.06] 使一個中端客戶可能會提前備貨
[903.06-907.42] 然後這會帶動IT市場需求會增溫
[907.42-910.48] 那我們看到我們三個產品線的出貨量
[910.48-911.26] 各劇動的
[911.26-914.32] 那在大尺寸驅動IC的部分
[914.32-917.14] TV跟monitor的需求比較良好
[917.14-918.42] 但是多不可能
[918.42-920.72] 可以維持平穩
[920.72-922.78] AMOLED驅動IC部分
[922.78-924.82] 手機出貨量持穩
[924.82-925.60] 穿戴
[925.64-928.46] 產品的需求是增加的
[928.46-931.28] 那在車載公控驅動IC部分
[931.28-934.60] 那這部分的需求因為淡季列有下降
[934.60-935.88] 為在新產品
[935.88-936.90] 新客戶
[936.90-939.46] 及新機種的導入貢獻下
[939.46-942.54] 我們看到長期還是維持穩健
[942.54-944.58] 那另外價格部分呢
[944.58-946.64] 我們看到冷安持續面臨
[946.64-952.26] 面板廠商要求降價的壓力
[952.26-954.82] 那以上是我們的簡報
[955.64-960.50] 那接下來進入Q&A時間
[960.50-963.32] 本次法說採文字提問
[963.32-966.64] 那請問各位投資先進利用聊天的功能
[966.64-967.92] 點選元大
[967.92-970.48] 然後以直接聊天來提供問題
[970.48-973.04] 歡迎大家踴躍提問
[973.04-976.12] 我們先回答會前提問的部分
[976.12-982.26] 那首先是關於營運跟產業展望的部分
[982.26-984.06] 這部分由董事長來回答
[984.06-985.08] 那第一個是關於營運跟產業展望的部分
[985.08-985.60] 這部分由董事長來回答
[985.60-989.70] 那第一個問題是由HRI的Lucas Liu所提出
[989.70-991.74] 那問題是關於
[991.74-994.56] 請問第一季各產品線
[994.56-995.84] LDDI
[995.84-996.60] T-COM
[996.60-997.38] PMIC
[997.38-998.92] SMDDI
[998.92-1000.20] 車載工控
[1000.20-1003.52] 這部分的濟增或濟減的趨勢為何
[1003.52-1005.06] 以及第一季
[1005.06-1007.10] 各中端應用需求
[1007.10-1008.90] 趨勢各為何
[1008.90-1010.94] 那請問董事長答
[1010.94-1013.50] 各位投資先進利用大家好
[1013.50-1015.04] 我想剛剛我們那個
[1015.04-1015.56] 呃
[1015.60-1018.92] 投資關係的人已經給稍微說明一下第一季的營運
[1018.92-1020.72] 那狀況的展望
[1020.72-1023.02] 我這邊再補充說明就是
[1023.02-1025.58] 如果以第一季來看
[1025.58-1029.16] 正面的因素是有中國的補貼政策以及
[1029.16-1033.00] 美國關稅的不確定性的因素下
[1033.00-1035.56] 這個是算會比較正面一點
[1035.56-1040.18] 那但是負面的因素主要還是在於產業的淡季還有
[1040.18-1042.48] 工作天數的減少
[1042.48-1045.56] 如果以產品上面來看的話我們看到
[1045.56-1047.10] 大尺寸機動IC
[1047.10-1048.64] TV Monitor
[1048.64-1051.70] 需求量上會增加的
[1051.70-1052.48] 那
[1052.48-1056.32] ROBEC這塊的話是比較持平
[1056.32-1059.38] 有關AMOLED機動IC的話
[1059.38-1062.96] 手機的部分的話出貨是比較吃穩
[1062.96-1067.84] 那我們看到穿戴的產品需求是在增加的
[1067.84-1070.90] 另外就是車載工控的機動IC
[1070.90-1073.72] 那這個部分因為有淡季的效應
[1073.72-1074.48] 那
[1074.48-1075.52] 在第一季應該會有
[1075.56-1076.84] 會有略微下降
[1076.84-1079.14] 但是長期來講我們還是看好
[1079.14-1083.24] 車載工控的一個成長的機會
[1083.24-1085.80] 也就整體來說我們
[1085.80-1090.40] 若以出貨量來看第一季整體出貨量應該會比
[1090.40-1092.72] 去年的第四季會成長
[1092.72-1095.78] 但是因為單價上面的下跌
[1095.78-1100.14] 那這會影響到我們整個營收成長的壓力
[1100.14-1102.18] 以上
[1102.18-1103.98] 謝謝董事長
[1103.98-1105.52] 那第二個問題
[1105.52-1108.08] 有幾個投資先進同事問到
[1108.08-1109.36] 那首先是
[1109.36-1113.96] 富蘭克林華美投信的周書全問到
[1113.96-1116.78] 2025年的展望為何
[1116.78-1119.86] 那KGY的Lucas Liu問到
[1119.86-1123.18] 2025年有初步成長率的想法
[1123.18-1129.32] 公司於2025年之成長動能主要來自哪些產品線或應用
[1129.32-1133.42] 將在哪些應用可以看到市佔率提升的機會
[1133.42-1135.48] 2025年的營收成長率的想法是如何?
[1135.48-1138.80] 可否達到雙位數的水準?
[1138.80-1141.62] 那另外元大的Antony Lau有問到
[1141.62-1143.92] 2025年的營收成長性
[1143.92-1146.24] 有望達到雙位數嗎?
[1146.24-1148.80] 主要的成長因此為何?
[1148.80-1151.86] 那國泰投信的張靜雲有問到說
[1151.86-1155.96] 請問公司對今年營收成長性的看法
[1155.96-1156.98] 為何?
[1156.98-1161.60] 以及各產品線今年營收成長性分別為何?
[1161.60-1163.64] 那這問題請董事長回答
[1163.64-1164.92] 好
[1165.48-1167.52] 我以出貨量來說明
[1167.52-1171.62] 2025年在我們的AMOLED的這個部分
[1171.62-1175.98] 手機因為在去年我們已經有一個非常高度的成長
[1175.98-1177.76] 所以機器上會比較高
[1177.76-1181.60] 比起今年會是相對比較持穩的
[1181.60-1187.24] 有關OLED的穿戴以及IT的這個部分
[1187.24-1190.82] 我們認為今年會在持續的成長
[1190.82-1195.44] LCD的大尺寸機動ICD COM還有PIMIC
[1195.48-1196.76] 這些產品線
[1196.76-1202.14] 我們預期今年有機會能夠達到雙位數的成長
[1202.14-1204.70] 那第三個是車載跟工控
[1204.70-1209.30] 我們還是維持一貫的看法就是
[1209.30-1212.38] 能夠保持穩健的一個成長
[1212.38-1214.42] 同時我們
[1214.42-1218.26] 因為也投入到新的這個顯示技術上面的開發
[1218.26-1219.54] 這裡面包括了
[1219.54-1222.10] 暖庫存液晶還有Micro LED
[1222.10-1225.44] 我們看到今年是有機會會有這個產品線的成長
[1225.48-1229.32] 所以進入到量產的階段以上
[1229.32-1231.36] 謝謝董事長的回答
[1231.36-1235.72] 那下一個問題是由KGY的Lucas Liu所提出
[1235.72-1237.26] 那問題是關於
[1237.26-1240.58] 公司預計未來將與哪些應用
[1240.58-1242.88] 看到更激烈的競爭
[1242.88-1248.00] 公司未來將如何因應
[1248.00-1252.36] 我看到各領域都是有競爭壓力存在
[1252.36-1253.90] 面對競爭
[1253.90-1255.44] 我們公司的因應之道
[1255.44-1261.08] 主要還是專注在領先的技術
[1261.08-1263.88] 並且能夠與我們的終端品牌客戶
[1263.88-1265.68] 還有面板的客戶
[1265.68-1268.50] 進行新產品的協同開發
[1268.50-1270.28] 另外就是
[1270.28-1273.62] 我們跟客戶之間的關係是相對比較緊密
[1273.62-1278.22] 我們客戶對我們的信任度相對是比較高的
[1278.22-1279.76] 同時
[1279.76-1280.78] 我們也會去
[1280.78-1283.60] 持續強化我們在整理解決方案
[1283.60-1285.14] 這就是LCD的
[1285.44-1289.80] 驅動IC抵抗PIMIC的一個整體服務的解決方案
[1289.80-1291.84] 我們會持續來強化它
[1291.84-1294.92] 另外我們也努力在做這個
[1294.92-1296.96] 多元客戶的組合
[1296.96-1299.78] 我想我們今年在就是
[1299.78-1302.60] 韓系的客戶上面
[1302.60-1307.46] 成長性會應該是相對比較樂觀以上
[1307.46-1309.76] 謝謝董事長回答
[1309.76-1312.32] 那下一個問題是由
[1312.32-1315.40] 博泰投信的張靜雲所提出的問題是
[1315.44-1316.98] 那問題是有關
[1316.98-1320.04] 近期中國手機補貼政策推出
[1320.04-1324.92] 請問公司對第一季營收和第二季營收的看法為何
[1324.92-1327.48] 那這問題請我們董事長回答
[1327.48-1330.28] 我還是以量來看
[1330.28-1335.66] 手機的部分的話我們看Q1的出貨量應該相對是持穩的
[1335.66-1337.96] 那在穿戴上面的話
[1337.96-1339.50] 應該會是成長
[1339.50-1341.30] 以上
[1341.30-1343.34] 謝謝董事長回答
[1343.34-1345.40] 那下一條問題是由KC
[1345.44-1347.74] HDI的Lucas Russo提出
[1347.74-1353.12] 那問題是關於公司認為中國次機政策對市場需求
[1353.12-1354.66] 是否延續性
[1354.66-1357.48] 是否看到結構性的需求改善
[1357.48-1359.78] 那這個問題請我們董事長回答
[1359.78-1366.94] 在TV的上面我們確實有看到去年第四季就有這個政策性的次機
[1366.94-1373.08] 需求增加今年的第一季應該還是會有持續的延續性
[1373.08-1375.14] 同時我們看到TV
[1375.44-1379.02] 是往更大尺寸的這個方向在演進
[1379.02-1383.64] 那這對機動IC的需求量也是一個正面的貢獻
[1383.64-1384.66] 以上
[1384.66-1386.70] 謝謝董事長回答
[1386.70-1389.52] 那下一個問題有兩個投資先進提出
[1389.52-1392.84] 那首先是KCHDI的Lucas Russo問到
[1392.84-1397.46] 公司是否感受到中國半導體自主化趨勢的衝擊
[1397.46-1400.02] 而有市佔地留思的風險
[1400.02-1402.06] 那元大的Antony Lau有問到
[1402.06-1405.40] 目前中矽DDI廠商在手機
[1405.44-1409.54] AMOLEDDDI技術能力與台廠的差別為何
[1409.54-1411.84] 那這問題請我們董事長回答
[1411.84-1414.66] 這剛剛其實也有說明過
[1414.66-1417.72] 競爭壓力一直是存在
[1417.72-1423.10] 那我們公司主要面對這樣一個競爭還是以
[1423.10-1426.94] 客戶的長期合作與信任為主
[1426.94-1429.00] 第二個就是說我們能夠
[1429.00-1431.30] 與客戶在
[1431.30-1434.12] 掀起的時候就擁有協同開發的這個優勢
[1434.12-1435.40] 那主要還是因為
[1435.44-1439.54] 我們在技術的掌握度上是比較領先的
[1439.54-1441.58] 同時
[1441.58-1444.66] 我們在整體的高階產品上面
[1444.66-1447.22] 能保有領先的一個優勢
[1447.22-1449.78] 相對於中國的這個
[1449.78-1451.82] IC設計公司來講
[1451.82-1453.62] 我們在高階產品上面是
[1453.62-1455.92] 相對有一個領先優勢存在
[1455.92-1456.94] 以上
[1456.94-1459.00] 謝謝董事長回答
[1459.00-1461.30] 那下一個問題是由
[1461.30-1464.12] 合力資本的溫錫鴻所提出
[1464.12-1465.40] 那問題是關於
[1465.44-1470.04] 瑞鼎2024年明顯在市佔率有所提升
[1470.04-1471.84] 那可否說明一下
[1471.84-1473.64] 根據我們自己的統計
[1473.64-1476.96] 2024年市佔率的提升狀況為何
[1476.96-1479.52] 那2025年能否持續
[1479.52-1481.56] 有市佔率的提升
[1481.56-1484.38] 那這問題請我們董事長回答
[1484.38-1485.66] 好
[1485.66-1490.02] 我們確實在2024年的OLE還有車載公控
[1490.02-1492.58] 整體營售是有很明顯的一個成長
[1492.58-1494.36] 那主要是因為我們
[1494.36-1495.40] 在產品上有
[1495.44-1496.72] 有較佳的性能
[1496.72-1502.36] 還有能源的這個效力
[1502.36-1503.64] 以2025年來講
[1503.64-1508.50] 我們的目標還是希望能夠在市佔率上有所提升
[1508.50-1510.54] 以上
[1510.54-1512.08] 謝謝董事長回答
[1512.08-1514.90] 然後以上是關於營運面的問題
[1514.90-1518.74] 接下來是關於價格成本漲緩的問題
[1518.74-1519.76] 那
[1519.76-1521.30] 首先是
[1521.30-1523.34] HRI的Lucas有問到
[1523.34-1525.40] 關於城能否跟我們分享的問題呢?
[1525.44-1526.72] 那這問題是關於
[1526.72-1529.02] 未來各產品線價格壓力排序為何
[1529.02-1532.10] 那後市產品報價走勢又將為何
[1532.10-1535.94] 公司是否看到OLED產品價格競爭逐漲
[1535.94-1539.00] 逐趨激烈的現象
[1539.00-1539.78] 那在
[1539.78-1541.82] 同業陸續加入市場後
[1541.82-1546.18] 是否看到OLED價格競爭加劇
[1546.18-1547.20] 那另外
[1547.20-1549.50] 國泰投信的張靜雲有問到
[1549.50-1553.08] 同業提到手機產品價格壓力還是很大
[1553.08-1555.40] 請公司評論一下未來價格狀況
[1555.44-1558.26] 那這問題請董事長回答
[1558.26-1563.38] 我想各產品線的這個降價壓力一直都是存在的
[1563.38-1565.94] 如果看OLED的這一塊
[1565.94-1571.32] 確實是看到這邊的一個價格壓力越來越加劇
[1571.32-1574.64] 原因是因為整個OLED手機的話
[1574.64-1576.44] 在去年
[1576.44-1580.52] 應該整個的滲透力已經要接近六成了
[1580.52-1584.62] 也就是說OLED已經是一個主流的一個顯示的技術
[1584.62-1585.40] 所以
[1585.44-1593.88] 各方的IC設計公司都希望能夠進到這個
[1593.88-1596.20] 顯示的這個技術領域裡面來
[1596.20-1598.76] 所以整體的競爭確實是比較
[1598.76-1600.80] 壓力比較大一點
[1600.80-1602.60] 謝謝
[1602.60-1604.38] 謝謝董事長回答
[1604.38-1608.22] 那接下來我們點綴關於中小尺寸DDI的問題
[1608.22-1610.52] 那首先是
[1610.52-1613.08] KGI的Lucas Liu問到
[1613.08-1615.40] 請公司更新的
[1615.44-1618.76] OLED TDDI產品進況
[1618.76-1621.32] 以及對未來成長性的看法
[1621.32-1623.88] 這個問題請我們董事長回答
[1623.88-1625.16] 好
[1625.16-1629.52] OLED的TDDI在穿戴上面
[1629.52-1632.60] 我們的競爭力是非常多的
[1632.60-1633.62] 而且
[1633.62-1637.46] 整體看起來市場上面的需求也是在增加
[1637.46-1640.02] 那這一塊
[1640.02-1644.12] Rating應該是保有一個相當好的一個影線的地位
[1644.12-1645.40] 在OLED的產品上
[1645.44-1649.54] 那對手機的TDDI的這個部分的話
[1649.54-1651.32] 目前來講
[1651.32-1653.38] 還沒有那麼前面性的一個導入
[1653.38-1657.72] 那Rating會是根據我們客戶的需求
[1657.72-1660.54] 的節奏來配合一起開發
[1660.54-1661.82] 以上
[1661.82-1663.88] 謝謝董事長回答
[1663.88-1665.92] 那下一個問題是由
[1665.92-1668.22] 元大的Anthony Lau所提出
[1668.22-1669.76] 那問題是關於
[1669.76-1674.62] 今年在重要手機客戶的滲透率是否有提升的空間?
[1674.62-1675.40] 那SMDDI的這個問題是關於今年在重要手機客戶的滲透率是否有提升的空間?
[1675.40-1678.72] 那SMDDI今年是否有新客戶的機會?
[1678.72-1681.28] 那這個問題請我們董事長回答
[1681.28-1684.62] 我們現有的手機客戶
[1684.62-1687.68] 都持續有新的機種的導入
[1687.68-1692.30] 那今年也很有機會能夠導入新的一個客戶
[1692.30-1693.84] 以上
[1693.84-1695.88] 謝謝董事長回答
[1695.88-1700.24] 那下一個問題是由KGI的Lucas Liu所提出
[1700.24-1704.58] 那問題是關於是請公司更新折疊手機的狀況以及一般手機的滲透率是否有提升的空間?
[1704.58-1709.96] 那這個問題請我們董事長回答
[1709.96-1715.84] 我們在折疊手機上面已經有產品在量產中
[1715.84-1719.42] 那客戶群裡面
[1719.42-1721.98] 也持續有新機種
[1721.98-1723.78] 會再導入
[1723.78-1727.10] 整體上面來看我們認為今年在
[1727.10-1729.42] 折疊手機的應用上面
[1729.42-1731.72] 出貨的比重也會持續增加
[1731.72-1732.22] 以上
[1732.22-1734.54] 謝謝董事長回答
[1734.58-1737.14] 那下一個問題是
[1737.14-1738.16] 由
[1738.16-1741.74] 遠大的Antony Lausso提出那是關於
[1741.74-1744.06] 今年RAMBES OLED DDI
[1744.06-1745.84] 採用的廠商增加
[1745.84-1747.38] 且DDIC
