[0.00-6.66] 大家早安
[242.56-246.56] 然后这个是在资产不再长的财务指标
[246.56-252.56] 那在我们的合并现金流量表
[252.56-260.56] 在第一季我们的营业活动的净现金流入
[260.56-264.56] 是4亿台币资本是7亿台币
[264.56-266.56] 那我们的货币是7亿台币
[266.56-268.56] 那借款减少了2亿台币
[268.56-272.56] 那现金额也是在很正常的状况
[272.56-281.56] 那合并营业收入跟归属母公司业主净利呢
[281.56-283.56] 这里我们有更新到5月份的资料
[283.56-285.56] 因为我们礼拜一嘛
[285.56-287.56] 礼拜一的时候我们已经有做了
[287.56-290.56] 合并营收跟字节水月的公告
[290.56-292.56] 那
[296.56-299.56] 归属母公司的净利跟合并营收
[299.56-300.56] 因为这个是累计数
[300.56-301.56] 所以看不太出来
[301.56-302.56] 电话趋势
[302.56-304.56] 我们看下一页
[304.56-307.56] 下一页应该是直接看美股营业
[307.56-312.56] 因为礼拜一公告之后就很多法人来询问了
[312.56-316.56] 因为基本上第一季的结果是
[316.56-318.56] 会计是查了后的结果1.16
[318.56-321.56] 那但是第四季跟第五
[321.56-323.56] 第四月跟五月是我们的季节
[323.56-325.56] 那五月份目前
[325.56-328.56] 现在结出来的结果是0.09
[328.56-331.56] 那等一下可能大家会做很多问题
[331.56-333.56] 那到时候再跟大家说明
[333.56-334.56] OK
[334.56-335.56] 好
[335.56-339.56] 那以上是针对第一季跟update到五月份的数据
[339.56-340.56] 好
[340.56-343.56] 谢谢许主任的简报说明
[343.56-348.56] 请接着进行Q&A交流
[348.56-350.56] 现在把时间交给大家
[350.56-351.56] 谢谢
[355.56-362.56] 谢谢
[363.56-365.56] 谢谢
[365.56-366.56] 谢谢
[366.56-367.56] 谢谢
[367.56-369.56] 谢谢
[369.56-375.56] 谢谢
[375.56-376.56] 谢谢
[376.56-377.56] 谢谢
[377.56-378.56] 谢谢
[378.56-379.56] 谢谢
[379.56-380.56] 谢谢
[380.56-381.56] 谢谢
[381.56-382.56] 谢谢
[382.56-383.56] 谢谢
[383.56-384.56] 谢谢
[384.56-386.56] 我沒有聽到
[388.56-390.56] 我沒有聽到
[390.56-392.56] 不是
[392.56-394.56] 他是在聊天室
[394.56-396.56] 留言
[396.56-398.56] 要確認Nike是否有要求
[398.56-400.56] 供應鏈分擔
[400.56-402.56] 關稅
[402.56-404.56] OK
[404.56-406.56] 呃
[406.56-408.56] 我們的主要客戶Nike
[408.56-410.56] 跟我們其實
[410.56-412.56] 我們沒有針對
[412.56-414.56] 這個Copy在討論
[414.56-416.56] 就是說
[416.56-418.56] 我們其實是在
[418.56-420.56] 我們每一年都有跟客戶在做
[420.56-422.56] 價格議定的一個機制
[422.56-424.56] 所以我們會在這個機制中
[424.56-426.56] 去討論
[426.56-428.56] 那這個機制其實就不會只有關稅
[428.56-430.56] 我們會包括效率的提升
[430.56-432.56] 跟能夠成本上漲
[432.56-434.56] 這些不同的因素來討論
[434.56-436.56] 但是當然關稅
[436.56-438.56] 關稅怎麼讓雙方去
[438.56-440.56] 互相能夠Win Win
[440.56-442.56] 這個是會在這個機制去討論
[442.56-444.56] 但只是說
[444.56-446.56] 就比較不是外界常常在說的
[446.56-448.56] 那個
[448.56-450.56] 比如說客戶要公司
[450.56-452.56] 負擔
[452.56-454.56] 5%啊3%啊這樣子
[454.56-456.56] 就不是用這樣子的方式
[456.56-458.56] 在做處理
[458.56-460.56] 所以我們認為這樣子
[460.56-462.56] 在原來的報價機制討論
[462.56-464.56] 其實這個是會比較健康一點
[464.56-466.56] 而且比較
[466.56-468.56] 我們
[468.56-470.56] 而且是有一個討論的一個理工學的
[470.56-472.56] 的往來
[472.56-474.56] 好
[474.56-476.56] 另外還有投資法人提問
[476.56-478.56] 5月會選大約是多少
[478.56-480.56] 5月的會選
[480.56-482.56] 以台灣來說
[482.56-484.56] 台灣我們講
[484.56-486.56] 記帳在營業外的
[486.56-488.56] 台灣來說應該是
[488.56-490.56] 因為你們可以看到那個
[490.56-492.56] 我們公告那個
[492.56-494.56] 禮拜一公告的
[494.56-496.56] 營業盡力跟稅前盡力的差異
[496.56-498.56] 就是會計報表就是
[498.56-500.56] 中間就是主要就是營業外的
[500.56-502.56] 那大概會有4億的台幣啦
[502.56-504.56] 5月份單月份
[504.56-506.56] 好的
[506.56-508.56] 謝謝
[508.56-510.56] 主任
[510.56-512.56] 接著有投資法人提問
[512.56-514.56] 他想要請教2024年以及
[514.56-516.56] 2025年第一季的出貨量
[516.56-518.56] 嗯
[518.56-520.56] 2024年
[520.56-522.56] 以及2025年
[522.56-524.56] 第一季的出貨量
[524.56-526.56] 因為我們對外沒有
[526.56-528.56] 談出貨量
[528.56-530.56] 我們沒有揭露出貨量
[530.56-532.56] 那
[532.56-534.56] 所以
[534.56-536.56] 我就不方便在這邊
[536.56-538.56] 去說明數字
[538.56-540.56] 那為什麼不談出貨量
[540.56-542.56] 因為其實像我們認為在很多
[542.56-544.56] 血型的變化它一雙
[544.56-546.56] 不等於過去的一雙
[546.56-548.56] 所以這些東西可能容易
[548.56-550.56] 會造成更多的疑問
[550.56-552.56] 那如果
[552.56-554.56] 就
[554.56-556.56] 出貨量來說其實第一季
[556.56-558.56] 今年第一季跟去年的
[558.56-560.56] 其實
[560.56-562.56] 其實還是比去年的第一季
[562.56-564.56] 略高一些啦
[564.56-566.56] 就略高一些
[566.56-568.56] 因為我們其實是有新產的效益
[568.56-570.56] 所以其實出貨量是有略高一些
[574.56-576.56] 好的有投資法人提問
[576.56-578.56] 請問關稅對公司的影響性
[578.56-580.56] 是怎樣的
[580.56-582.56] OK
[582.56-584.56] 關稅我不能說
[584.56-586.56] 一定是有影響
[586.56-588.56] 所以但是在
[588.56-590.56] 我們跟主要客戶在
[590.56-592.56] 談這個關稅的影響的時候
[592.56-594.56] 第一個當然不是
[594.56-596.56] 不是focus在分攤的材料成本
[596.56-598.56] 或分攤的關稅比率
[598.56-600.56] 是關稅比率
[600.56-602.56] 那個如果
[602.56-604.56] 我剛剛講的那個是在本來每一年的
[604.56-606.56] 溢價機制裡面會去
[606.56-608.56] 做討論
[608.56-610.56] 那關稅對我們的影響
[610.56-612.56] 主要就是我們其實就會
[612.56-614.56] 加快加快在生產
[614.56-616.56] 基地的配置的調整
[616.56-618.56] 就是本來
[618.56-620.56] 在生產
[620.56-622.56] 像中國大家也看到我們中國的產能
[622.56-624.56] 本來就是
[624.56-626.56] 不步在減少
[626.56-628.56] 那這個就是一直在做的方向
[628.56-630.56] 那在這個關稅等是會
[630.56-632.56] 稍微加快一些
[632.56-634.56] 就是我們等於是要把
[634.56-636.56] 其他國家
[636.56-638.56] 像越南跟印度跟印尼
[638.56-640.56] 能夠做更
[640.56-642.56] 更能夠因應關稅的一個調整
[642.56-644.56] 第一個就是
[644.56-646.56] 其實是過去這幾個月
[646.56-648.56] 跟客戶都是focus在
[648.56-650.56] 怎麼讓諧星可以順利在
[650.56-652.56] 運用其他生產機
[652.56-654.56] 來生產
[654.56-656.56] 那因為字寫是比較困難說
[656.56-658.56] 這個訂單從中國搬到越南
[658.56-660.56] 或是搬到印度說搬就搬
[660.56-662.56] 他還是有很多技術上
[662.56-664.56] 要當地的勞工可以承接
[664.56-666.56] 所以其實他
[666.56-668.56] 他會是我們現階段
[668.56-670.56] 跟客戶努力的目標
[670.56-672.56] 那當然他對我們的
[672.56-674.56] 短期的出貨
[674.56-676.56] 一定會有一點影響
[676.56-678.56] 這個也講到說
[678.56-680.56] 為什麼五月的營收是比較低
[680.56-682.56] 因為在這個調配的過程
[682.56-684.56] 一定會有一些
[684.56-686.56] 一些決策
[686.56-688.56] 跟一些時間上必須去
[688.56-690.56] 就是
[690.56-692.56] 產能的loss都會出現在
[692.56-694.56] 這段過程中
[694.56-696.56] 所以我會說關稅的影響
[696.56-698.56] 我認為
[698.56-700.56] 他並沒有帶來重大的影響
[700.56-702.56] 只是說我們
[702.56-704.56] 風態要怎麼在
[704.56-706.56] 這個產能調配的過程中
[706.56-708.56] 能夠很順利的去符合客戶
[708.56-710.56] 對於生產基地
[710.56-712.56] 的需求
[712.56-714.56] 調配生產基地的需求
[714.56-716.56] 好
[716.56-718.56] 謝謝許主任
[718.56-720.56] 請接著有投資法人提問
[720.56-722.56] 請問目前能見度如何
[722.56-724.56] 客戶有出現下修
[724.56-726.56] 出貨量的狀況嗎
[726.56-728.56] 好
[728.56-730.56] 能見度我過去都是在講說
[730.56-732.56] 三個月是比較明確的
[732.56-734.56] 三個月的訂單
[734.56-736.56] 那六個月訂單也都
[736.56-738.56] 因為一直以來都會有這個機制
[738.56-740.56] 三個月跟六個月那六個月的訂單當然他
[740.56-742.56] 就是屬於變化會比較大的
[742.56-744.56] 所以三個月的訂單是比較
[744.56-746.56] 能見度是比較好的
[746.56-748.56] 那
[748.56-750.56] 那至於客戶訂單有沒有下修
[750.56-752.56] 我先針對能見度好的
[752.56-754.56] 這幾個
[754.56-756.56] 能見度好的三個月內訂單來說明
[756.56-758.56] 因為
[758.56-760.56] 五月份的營收
[760.56-762.56] 相對於
[762.56-764.56] 前兩個月已經也是低了十幾%
[764.56-766.56] 所以法人都要詢問
[766.56-768.56] 那我們
[768.56-770.56] 我剛剛有提到說五月份
[770.56-772.56] 基本上有很多因素影響
[772.56-774.56] 因為也是在因應關稅
[774.56-776.56] 造成這樣子很多的訂單
[776.56-778.56] 或是生產紀律的
[778.56-780.56] 一些調配然後還有
[780.56-782.56] 當然也有一些季節性因素
[782.56-784.56] 或者是出貨的安排
[784.56-786.56] 所以他有不同因素影響造成五月份的
[786.56-788.56] 出貨的營收是比較低的
[788.56-790.56] 但是未來
[790.56-792.56] 兩到三個月我們
[792.56-794.56] 看其實就是
[794.56-796.56] 這個訂單其實是會回到比較正常的
[796.56-798.56] 比較正常大概就是
[798.56-800.56] 大約是三到四月這樣的水準
[800.56-802.56] 所以我可以說五月份
[802.56-804.56] 是一個相對在不同的
[804.56-806.56] 福利因素之下包括
[806.56-808.56] 出貨的安排
[808.56-810.56] 是比較低的一個狀況
[810.56-812.56] 可是未來二到三月看起來是有
[812.56-814.56] 應該說會回到
[814.56-816.56] 比較正常的水準
[816.56-818.56] 那三個月再往後呢就是
[818.56-820.56] 再往下幾個月我覺得
[820.56-822.56] 其實還是我們不敢
[822.56-824.56] 不敢說
[824.56-826.56] 是不是
[826.56-828.56] 還是維持
[828.56-830.56] 因為其實現在看到
[830.56-832.56] 確實
[832.56-834.56] 訂單的變化是比較大
[834.56-836.56] 所以我們只能說
[836.56-838.56] 我們是盡力在爭取我們整個
[838.56-840.56] 可以維持至少YOY
[840.56-842.56] 持平然後我們希望
[842.56-844.56] 雖然很challenging
[844.56-846.56] 但是這是我們的目標
[848.56-850.56] 好謝謝徐主任
[850.56-852.56] 緊接著有法人提問
[852.56-854.56] 目前長短單的比例
[856.56-858.56] 這個長短單
[858.56-860.56] 如果這個定義可能是說急單
[860.56-862.56] 還是說
[862.56-864.56] 呃
[864.56-866.56] 這個我
[866.56-868.56] 我可能沒有資訊我怎麼說
[868.56-870.56] 因為事實上鞋子本來
[870.56-872.56] 確實早期鞋子
[872.56-874.56] 在力態是比較長的
[874.56-876.56] 不過我們也為了因應客戶要
[876.56-878.56] 要
[878.56-880.56] 快速應對市場
[880.56-882.56] 所以我們也在進行
[882.56-884.56] 跟客戶做很多減少力態的
[884.56-886.56] 專案的努力的目標
[886.56-888.56] 所以
[888.56-890.56] 並沒有一個比率
[890.56-892.56] 這個還要看鞋型
[892.56-894.56] 其實因為大家就知道
[894.56-896.56] Nike是一個model非常多的
[896.56-898.56] 還要看鞋型
[898.56-900.56] 鞋型要牽涉到材料
[900.56-902.56] 所以這個倒沒有辦法給一個
[902.56-904.56] 比較明確的比例
[904.56-906.56] 好的
[906.56-908.56] 謝謝徐主任
[908.56-910.56] 緊接著有投資法人提問
[910.56-912.56] 目前訂單能見度
[912.56-914.56] 現在能見度
[914.56-916.56] 剛剛有說明的就是
[916.56-918.56] 三個月是比較明確的
[918.56-920.56] 六個月我們一看的道具就是六個月都是一月的定額
[920.56-922.56] 現在是變動
[922.56-924.56] 以現在來看
[924.56-926.56] 我們就會認為它是變動比較大
[932.56-934.56] 投資法人提問
[934.56-936.56] Fever to P5一頁外收入
[936.56-938.56] 剛講到台幣兌換利益
[938.56-940.56] 在
[940.56-942.56] 25年第一季
[942.56-944.56] YY減少40%
[944.56-946.56] 這是指去年有從
[946.56-948.56] 外幣兌換台幣
[948.56-950.56] 今年比較大
[950.56-952.56] 比較少的意思嗎
[952.56-954.56] 另外在什麼情況下公司會有
[954.56-956.56] 會對比較大的需求
[960.56-962.56] 剛剛對就是剛
[962.56-964.56] 2025年第一季
[964.56-966.56] 相對於2024年第一季就是
[966.56-968.56] 外幣兌換利益是比較小
[968.56-970.56] 2025年第一季
[970.56-972.56] 第一季其實台幣還是有走變
[972.56-974.56] 第一季是有
[974.56-976.56] 還是有兌換的意義的
[976.56-978.56] 相對於2024年
[978.56-980.56] 兌換的幅度是比較大的
[980.56-982.56] 所以
[982.56-984.56] 我沒有記錯的話
[984.56-986.56] 其他各個國家的
[986.56-988.56] 匯率也是都是走變
[988.56-990.56] 那就2024年
[990.56-992.56] 所以這個剛剛
[992.56-994.56] 回答您的問題是對的
[994.56-996.56] 然後第二個
[996.56-998.56] 第二個問題是問說
[998.56-1000.56] 匯率
[1000.56-1002.56] 匯率什麼情況會
[1002.56-1004.56] 比較大影響比較大
[1004.56-1006.56] 那
[1006.56-1008.56] 基本上匯率
[1008.56-1010.56] 匯率對我們的影響會是
[1010.56-1012.56] 比較短期的
[1012.56-1014.56] 就是說
[1014.56-1016.56] 因為我們跟客戶有
[1016.56-1018.56] 有一個比較有個
[1018.56-1020.56] 主要客戶啦主要客戶還有其他客戶
[1020.56-1022.56] 也是一樣那但是跟主要客戶間
[1022.56-1024.56] 是有個比較即時的
[1024.56-1026.56] 依照匯率去調整
[1026.56-1028.56] 價格的機制
[1028.56-1030.56] 所以基本上
[1030.56-1032.56] 一個月內
[1032.56-1034.56] 就可以去調整完
[1034.56-1036.56] 就是會依照
[1036.56-1038.56] 幣跌的波動
[1038.56-1040.56] 去調整價格
[1040.56-1042.56] 所以
[1042.56-1044.56] 對我們的影響會是短期的
[1044.56-1046.56] 一次性的會是短期的
[1046.56-1048.56] 那
[1048.56-1050.56] 這個調整後
[1050.56-1052.56] 其實
[1052.56-1054.56] 就比較不會有這部分的
[1054.56-1056.56] 匯率的影響
[1056.56-1058.56] 你好
[1058.56-1060.56] 我可以聽得到我的聲音嗎
[1060.56-1062.56] 可以可以
[1062.56-1064.56] 我想請問一下這個
[1064.56-1066.56] 外幣的兌換它是屬於
[1066.56-1068.56] 會計的一個
[1068.56-1070.56] 我們台灣的財報要轉成
[1070.56-1072.56] 台幣而去轉換的
[1072.56-1074.56] 還是說公司是
[1074.56-1076.56] 根據啦
[1076.56-1078.56] 市場上的外幣
[1078.56-1080.56] 波動或者是什麼
[1080.56-1082.56] 原因而去操作
[1082.56-1084.56] 實際去操作還是只是會計
[1084.56-1086.56] 做這樣OK
[1086.56-1088.56] 因為我們公司沒有做
[1088.56-1090.56] 風態是比較
[1090.56-1092.56] 在財務操作是很保守我們
[1092.56-1094.56] 其實是基本上董事會是
[1094.56-1096.56] 不太
[1096.56-1098.56] 要求要做衍生性
[1098.56-1100.56] 的外幣操作
[1100.56-1102.56] 所以我們不會有這塊外幣操作
[1102.56-1104.56] 的影響
[1104.56-1106.56] 所以我們現在在帳上就真的實打實
[1106.56-1108.56] 就是說那個會計上
[1108.56-1110.56] 也講會計上也是啦就是
[1110.56-1112.56] 應收帳款應付帳款
[1112.56-1114.56] 這些淨美金資產
[1114.56-1116.56] 它的損失啦會計上的
[1116.56-1118.56] 兌換的損失這樣子
[1118.56-1120.56] OK謝謝
[1124.56-1126.56] 投資
[1126.56-1128.56] 投資
[1128.56-1130.56] 請問聽得到嗎
[1130.56-1132.56] 可以我想請教一下
[1132.56-1134.56] 你剛剛講的那個就是
[1134.56-1136.56] 在寫款的那個
[1136.56-1138.56] 匯率上的是接到訂單
[1138.56-1140.56] 是有一個匯率嘛然後
[1140.56-1142.56] 之後又有一個匯率
[1142.56-1144.56] 是不是你到時候
[1144.56-1146.56] 出貨的時候又會根據當時
[1146.56-1148.56] 匯率去做一個價格的調整
[1148.56-1150.56] 是不是這樣的邏輯
[1150.56-1152.56] 它的邏輯大概是這樣運作沒有錯
[1152.56-1154.56] 對
[1154.56-1156.56] 好那另外想請教一下
[1156.56-1158.56] 就是你剛剛有說
[1158.56-1160.56] 你會配合客戶做一些
[1160.56-1162.56] 產能的調配
[1162.56-1164.56] 可以請問一下產能調配大概
[1164.56-1166.56] 什麼時候會對你們來講
[1166.56-1168.56] 會調的是比較順暢的
[1168.56-1170.56] 我們
[1170.56-1172.56] 其實現在Q3以後就在進行
[1172.56-1174.56] 所以Q3之後是
[1174.56-1176.56] 我們會focus在
[1176.56-1178.56] 這些把
[1178.56-1180.56] 把
[1180.56-1182.56] 把那個
[1182.56-1184.56] 有辦法調整的
[1184.56-1186.56] 生產到可以到
[1186.56-1188.56] 其他的國家像越南跟印度
[1188.56-1190.56] 在這個之間調配這樣
[1190.56-1192.56] 那什麼時候比較
[1192.56-1194.56] Smooth呢
[1194.56-1196.56] 這我不敢說因為這個跟牽涉到
[1196.56-1198.56] 這個整個的移轉
[1198.56-1200.56] 順不順利我剛剛也有提到說其實
[1200.56-1202.56] 困難的鞋子
[1202.56-1204.56] 在拆脫這些移轉的時候
[1204.56-1206.56] 它的困難度更高因為它需要
[1206.56-1208.56] 很多因為它
[1208.56-1210.56] 這些還是很多老歷密集的
[1210.56-1212.56] 需要很多很細節的配合
[1212.56-1214.56] 還有模具具的配合
[1214.56-1216.56] 所以
[1216.56-1218.56] 只能說我們現在Q3
[1218.56-1220.56] 跟現在下半年這次的會是
[1220.56-1222.56] 我們focus的目標
[1222.56-1224.56] 所以是從第三季開始
[1224.56-1226.56] 還是說已經陸續在調整
[1226.56-1228.56] 其實現在就是在準備了
[1228.56-1230.56] 因為所有東西都
[1230.56-1232.56] 已經知道
[1232.56-1234.56] 後續的生產都要提前去準備了
[1234.56-1236.56] 那另外想請教一下
[1236.56-1238.56] 就是現在
[1238.56-1240.56] 大客戶那邊的
[1240.56-1242.56] 現在的營業上的
[1242.56-1244.56] 是不是也是有比較弱一點
[1244.56-1246.56] 那另外就是說
[1246.56-1248.56] 新執行長上來之後
[1248.56-1250.56] 他的一些血型上
[1250.56-1252.56] 有做一些什麼調整
[1252.56-1254.56] 嗯
[1254.56-1256.56] 客戶的營運就是我們
[1256.56-1258.56] 不方便評論我們只能就他
[1258.56-1260.56] 他自己公告的
[1260.56-1262.56] 那我只是說他自己
[1262.56-1264.56] 在他們自己在對外說
[1264.56-1266.56] 還是
[1266.56-1268.56] 我如果沒有記錯的話他對於
[1268.56-1270.56] 他自己這一季跟下一季
[1270.56-1272.56] Nike都他自己對外公告
[1272.56-1274.56] 他其實都認為
[1274.56-1276.56] 還是會
[1276.56-1278.56] 減少嘛那
[1278.56-1280.56] 所以對於風態
[1280.56-1282.56] 我們看到的狀況也是
[1282.56-1284.56] 也是頭部的
[1284.56-1286.56] 就是說我們還沒有看到很
[1286.56-1288.56] 很那個
[1288.56-1290.56] 我們也還沒有看到轉折點
[1290.56-1292.56] 就是說所以我們會說
[1292.56-1294.56] 下半年還是蠻挑戰的
[1294.56-1296.56] 雖然說我跟我說未來三個月
[1296.56-1298.56] 我們應該也可以回復到前幾個月的水準
[1298.56-1300.56] 但是再往後看
[1300.56-1302.56] 我們覺得是蠻震震驚驚的
[1302.56-1304.56] 就是
[1304.56-1306.56] 當然要花很多
[1306.56-1308.56] 去跟客戶去溝通可以有對給風態更好
[1308.56-1310.56] 的訂單
[1310.56-1312.56] 不過確實在整個
[1312.56-1314.56] 市場不好的狀況
[1314.56-1316.56] 我覺得這是蠻挑戰的
[1316.56-1318.56] 這是對於客戶訂單的部分
[1318.56-1320.56] 的回應
[1320.56-1322.56] 那您第二個問題是
[1322.56-1324.56] 諧星
[1324.56-1326.56] 這個我也很難去講
[1326.56-1328.56] 很明顯的差異
[1328.56-1330.56] 因為沒有數據的
[1330.56-1332.56] 比較只是說
[1332.56-1334.56] 確實就是在
[1334.56-1336.56] 因為Innovation跟諧星
[1336.56-1338.56] 一直本來就是Nike的創新
[1338.56-1340.56] 的強項
[1340.56-1342.56] 其實風態也
[1342.56-1344.56] 因為風態為什麼跟Nike是這麼長久的夥伴呢
[1344.56-1346.56] 因為要有不斷的產品的
[1346.56-1348.56] 創新跟新的產品的
[1348.56-1350.56] 出來我們才
[1350.56-1352.56] 我們才會一直不斷的展現我們的風態價值
[1352.56-1354.56] 所以
[1354.56-1356.56] 基本上我們
[1356.56-1358.56] 基本上這個
[1358.56-1360.56] 氛圍是回來啦
[1360.56-1362.56] 因為我們其實有很多討論
[1362.56-1364.56] 這個所有的諧星都有很多討論
[1364.56-1366.56] 只是說要去期待
[1366.56-1368.56] 有更爆炸性的
[1368.56-1370.56] 更化學性的產品
[1370.56-1372.56] 我覺得這個好像都需要時間
[1372.56-1374.56] 然後剛剛講到關稅的問題喔
[1374.56-1376.56] 因為通常你們是
[1376.56-1378.56] 年度溢價嘛
[1378.56-1380.56] 對嘛
[1380.56-1382.56] 如果我沒記錯
[1382.56-1384.56] 年度溢價然後現在是有關稅
[1384.56-1386.56] 中間會有價格的變動嗎
[1386.56-1388.56] 會因為說
[1388.56-1390.56] 應該也不太會有嗎
[1390.56-1392.56] 是這樣子嗎
[1392.56-1394.56] 嗯
[1394.56-1396.56] 我年度溢價是一個機制啦
[1396.56-1398.56] 只是說
[1398.56-1400.56] 其實像很都會有
[1400.56-1402.56] 其實都還是會再去重新去談
[1402.56-1404.56] 談一個
[1404.56-1406.56] 在這個機制之下談要怎麼調整的
[1406.56-1408.56] 所以我想這個應該不會是用年度來看
[1408.56-1410.56] 剛剛講這個關稅的
[1410.56-1412.56] 或是這個影響的
[1412.56-1414.56] 不會是
[1414.56-1416.56] 只是用年度來切啦
[1416.56-1418.56] 所以
[1418.56-1420.56] 對
[1420.56-1422.56] 所以
[1422.56-1424.56] 因為其實我不是很清楚是說
[1424.56-1426.56] 會去跟客戶分攤
[1426.56-1428.56] 然後也說不一定會分攤
[1428.56-1430.56] 那我不知道就是說
[1430.56-1432.56] 客戶那邊的做法
[1432.56-1434.56] 會他是希望你們分攤
[1434.56-1436.56] 還是說
[1436.56-1438.56] 我覺得不是太懂
[1438.56-1440.56] 到底會不會要求你們分攤
[1442.56-1444.56] 細節我可能沒辦法說
[1444.56-1446.56] 太多喔但是我覺得其實
[1446.56-1448.56] 我也不可能說我們都
[1448.56-1450.56] 不需要跟客戶分攤
[1450.56-1452.56] 因為Nike也
[1452.56-1454.56] 這個月也去宣稱
[1454.56-1456.56] 也去公告他要調漲
[1456.56-1458.56] 他的議價
[1458.56-1460.56] 所以我覺得
[1460.56-1462.56] 這也是一個健康的方式啦
[1462.56-1464.56] 其實大家都要去
[1464.56-1466.56] 在這個關稅增加的
[1466.56-1468.56] 情況去做
[1468.56-1470.56] 做一些努力
[1470.56-1472.56] 所以我們
[1472.56-1474.56] 會在這項
[1474.56-1476.56] 我剛剛講的就是在做這個
[1476.56-1478.56] 議價機制之下
[1478.56-1480.56] 我們也會去討論說
[1480.56-1482.56] 怎麼去減少客戶那邊的
[1482.56-1484.56] Burden這樣子
[1484.56-1486.56] 實際上當然還是會去處理
[1486.56-1488.56] 這一塊
[1488.56-1490.56] 然後這個問題可以
[1490.56-1492.56] 請教一下現在的產能利用率
[1492.56-1494.56] 價動率的部分
[1494.56-1496.56] 我們現在
[1496.56-1498.56] 應該基本上
[1498.56-1500.56] 呃
[1500.56-1502.56] 80多
[1502.56-1504.56] 以上啦
[1504.56-1506.56] 應該還是一樣為所欲
[1506.56-1508.56] 80幾%
[1508.56-1510.56] 還沒有到過
[1510.56-1512.56] 90
[1512.56-1514.56] 應該還沒有到90%
[1514.56-1516.56] 好謝謝
[1516.56-1518.56] 謝謝
[1518.56-1520.56] 謝謝
[1520.56-1522.56] 留言板上有提問
[1522.56-1524.56] Nike新執行長上任
[1524.56-1526.56] 新鞋型開發時
[1526.56-1528.56] 有出現回升
