[0.00-5.00] 各位投資先進,各位媒體朋友,各位女士,各位先生
[201.00-204.00] 那北美的調整本來認為是適合行動的
[204.00-207.00] 所以他就把這個速度調到6個字
[207.00-210.00] 大概調到這個Q大概就是這個
[210.00-216.00] 那日本的調整是最慢發生的
[216.00-219.00] 所以日本的調整也陸陸續續看
[219.00-223.00] 也是到今年大概也到的完成
[223.00-226.00] 去年的下半年其實還有一個backdown
[226.00-228.00] 當時沒有back in
[228.00-232.00] 很大程度去年的top line
[232.00-234.00] 在北美的運動上
[234.00-237.00] 北美的民營商的基本的水位是低的
[237.00-240.00] 很屬於復燈調整的狀況
[240.00-244.00] 北美的所有的Admi-Q能行動是一個非常均衡的調整
[244.00-246.00] 所以對於沒有看到我們這個產品的
[246.00-249.00] Admi-Q是屬於調得非常非常厲害
[249.00-252.00] 那北美整體的阿輝的沒有調太大
[252.00-254.00] 主要是一個新產品的導入
[254.00-256.00] 也就是一個CAPELEON的導入
[256.00-258.00] 這幾家做MOMO零食
[258.00-262.00] 他用上廖的武器的品款來做這個互換介入
[262.00-264.00] 這個是北美我們的新產品的導入
[264.00-267.00] 我們去年主要能夠貢獻
[267.00-269.00] 沒有這一份貢獻的
[269.00-273.00] 去年的top line跟我們的Try-TWIST還會變嚴重
[273.00-279.00] 那印度整個亞洲的Age of the City主要中聯部
[279.00-281.00] 實際上兩個主流的市場
[281.00-283.00] 印度市場和日本市場
[283.00-286.00] 我剛提過這兩個市場相對而言
[286.00-289.00] 是比較沒有看到中國廠的成真
[289.00-292.00] 所以我們在裡面還是比較大的身份主流
[292.00-295.00] 中國的市場去年也是基本上是虛弱的
[295.00-298.00] 主要是靠印度的市場還有我們支撐
[298.00-303.00] 印度的寬品到去年跟第三次世界大戰
[303.00-306.00] 也基本上開始有太平洋的位置
[306.00-309.00] 印度漲大概從17年18年開始漲
[309.00-310.00] 可能也會大概來漲
[310.00-312.00] 沒有看到它停下來的美
[312.00-316.00] 其實去年的香港和印度的整個固定水位
[316.00-318.00] 應該說是最如逃的地步
[318.00-320.00] 印度主要的成長還是來自於韓國
[320.00-321.00] 也就是說
[321.00-325.00] 當你光顧到後來再顧不進去的時候
[325.00-327.00] 必須要靠印度來解決
[327.00-328.00] 我們這百公尺的時候
[328.00-331.00] 可以看得到去年整體的第三季度
[331.00-332.00] 尤其第四季度的
[332.00-335.00] 印度能維持不衰很大的原因
[335.00-336.00] 是因為它越來越不進來
[336.00-340.00] 北美跟印度都是靠一個單一產品在顧
[340.00-343.00] 整個傳統的寬品的這種衰退
[343.00-346.00] 也就是所謂庫城桃子的狀況
[346.00-347.00] 靠這兩個來做主流
[347.00-349.00] 所以你可以看到四季占比島
[349.00-351.00] 讓我們去年大概是
[351.00-354.00] 紐約的貨幣是減了大概10%
[354.00-356.00] 11%到12%
[356.00-358.00] 可是你去看我們整體的貨幣的8%
[358.00-359.00] 比如叫海都
[359.00-362.00] 大約是GPK的1.5%
[362.00-365.00] GPK裡面跟新臺幣的比重是有關係的
[365.00-368.00] 但是在韓國產品的比重相對
[368.00-370.00] 它的利润也還是比我們傳統的部門的
[370.00-372.00] 紐約的比重好一些的
[372.00-374.00] 所以可以看到這是我們去年
[374.00-378.00] 這個比例說的一個基調
[378.00-379.00] 我們看前面
[379.00-380.00] 那個TQ2
[380.00-382.00] 就是跌了大概下一個年
[382.00-384.00] 看前面
[384.00-386.00] 全年的營收
[386.00-388.00] 你可以看得到
[388.00-390.00] 營收就是剛才提到的
[390.00-393.00] Topline是摔了大概9.3%
[393.00-395.00] 那整個的GP
[395.00-397.00] 我們還Gain了將近1.6%
[397.00-399.00] 所以整個OP的水位
[399.00-404.00] 在我們這個全年是首幹5.2%
[404.00-407.00] 所以大概入口了大概29.1%
[407.00-409.00] 這樣的一個OP的水位
[409.00-413.00] 整體的Balance是217,000萬
[413.00-416.00] 所以去年韓國的跨市位
[416.00-418.00] 當然摔了5%
[418.00-421.00] 那整個看得到這個
[421.00-422.00] 晚銷的費用
[422.00-424.00] 大概是所在的那個水位
[424.00-426.00] 這個算是比較
[426.00-428.00] 比較Cover的一個結果
[428.00-430.00] 也就是上半年知道整個的
[430.00-432.00] 挑逆還沒有回來
[432.00-433.00] 開路還是相當長
[433.00-435.00] 所以可以看到在整個的財務的空間
[435.00-437.00] 對 成本的空間上面
[437.00-438.00] 還是要求的比較低
[439.00-466.00] 真正的
[466.00-467.00] 這麼說
[467.00-467.80] 一個
[467.80-468.70] 一個
[469.00-475.28] 當然比較大的是這個股本從26億漲到2024
[475.28-478.52] 主要是我們幾年前發的CB
[478.52-480.40] 在去年我們把全部轉換
[480.40-484.36] 當然財務結果上有明顯的結果上的變化
[484.36-486.20] 但是在Balancing上是沒有到達的
[486.20-490.44] 當然這樣的一個結果對我們對比是吸食的壓力
[490.44-494.16] 會做這樣的一個安排
[494.16-497.48] 主要是這個Balancing在我們前面的Pandemic之間
[497.48-499.56] 我們相當Stretch
[499.56-502.20] 由於當時的股份就有更高
[502.20-508.96] 當然我們也看好未來目前的資本配置
[508.96-511.56] 這個是應該可以指針到一千億的對比
[511.56-513.56] 可以指針到一千億的對比
[513.56-515.00] OK 下一個
[517.80-520.92] 我們看這個是產品組合
[520.92-522.44] 這邊看到的比例
[522.44-525.00] Boroughback的CB 其實本身其實是平的
[525.00-527.00] 你用絕對計算看它還是平的
[527.48-529.48] 因為整體的開業變小了
[529.48-531.72] 平的我剛才說過了
[531.72-534.04] 傳統的互換均衡其實是衰遠
[534.04-536.04] 主要是AW進來的
[536.04-537.76] AW是靠北美靠宇都
[537.76-538.92] 這兩邊靠北美靠北進來
[538.92-540.60] 包括我們整個Cabernet Hague
[540.60-542.44] 每天在一個持平的狀況
[542.44-544.88] IoT這邊其實
[544.88-548.80] 傳統的我們在健康控制這一塊變得比較強的
[548.80-551.80] 家庭安防家庭自動化的變比較強
[551.80-553.28] 基本上是吸火的
[553.28-554.76] 去年全天是吸火的
[554.76-557.32] 能夠這邊維持平利主要是在
[557.48-560.40] 幾個新的segment其實是已經開始有導入了
[560.40-563.24] 這裡面包含整個在Utility
[563.24-564.64] 也是電力的配備
[564.64-566.68] 電力的這種互聯網上面
[566.68-569.64] 還有一些作為這種醫療設備的
[569.64-571.28] 這些互聯網上面的投入
[571.28-573.32] 可以看到它有一些新的訂單機
[573.32-575.92] 補掉了我們原先的衰弱的
[575.92-578.48] 所以這邊維持了主要是難民接入
[578.48-580.08] 那Enterprise這邊
[580.08-582.36] 你可以看去年是在621%
[582.36-583.80] 一直下24%
[583.80-587.32] 掉到了這個568億的
[587.48-588.44] 這個18個%
[588.44-590.44] 這邊掉了這樣51
[590.44-593.92] 所以主要衰是在去年這邊調整
[593.92-595.80] 調整的幅度相當大
[595.80-598.00] 那這個調整幅度其實
[598.00-600.04] 你可以看得到它是
[600.04-604.00] 很大的原因是2022年期的超額的採購
[604.00-607.40] 都是比我們往常多了50到60%的
[607.40-608.16] 這種採購量
[608.16-609.84] 這明顯是over
[609.84-611.44] 市場沒有那麼大為大量
[611.44-612.44] 由於缺貨的原因
[612.44-613.48] 大量的補貨
[613.48-614.92] 補貨也就有辦法去塞滿
[614.92-616.96] 塞滿的時候欠了多少塞滿
[617.48-618.52] 所以我們補回來的時候
[618.52-620.48] 大概2022年2023年基本上
[620.48-623.68] 大概是花了一整年的時間在調整
[623.68-628.60] 那目前看起來整個訂單的狀況
[628.60-632.56] 2025年大概回到了2022年的水平
[632.56-634.52] 也就是說它已經回到了原先的水平了
[634.52-637.92] 就是2023年基本上是一個over期的狀況
[637.92-639.40] 2020年在調整
[639.40-640.56] 所以我們現在大概看得到
[640.56-642.48] 2025年應該是回到2022年的水平
[642.48-645.24] 所以它以去年統計比
[645.24-647.12] 今年這三個年是一定要漲的了
[647.48-649.48] 因為它是一個很低的水平
[649.48-650.48] 所以我們現在看得到
[650.48-651.48] 這個水平是一個很低的水平
[651.48-652.48] 因為它是一個很低的水平
[652.48-653.48] 所以我們現在看得到
[653.48-654.48] 這個水平是一個很低的水平
[654.48-655.48] 這個水平是一個很低的水平
[655.48-656.48] 這個是白色的
[656.48-657.48] 我剛才提到
[657.48-658.48] 24年這個數表的過程
[658.48-659.48] 24年這個數表的過程
[659.48-661.48] 整個的總資產從477億
[661.48-662.48] 整個的總資產從477億
[662.48-663.48] 縮到419億
[663.48-665.48] 這邊縮的大概將近60億
[665.48-666.48] 這邊縮的大概將近60億
[666.48-667.48] 主要是所謂的純貨
[667.48-670.48] 純貨從23年年底的175億
[670.48-671.48] 純貨從23年年底的175億
[671.48-672.48] 到現在的115億
[672.48-673.48] 你可以看到
[673.48-675.48] 整個數表是在這邊縮的
[675.48-677.48] 因為這裡大概一路一路進行在來
[677.48-680.48] 整個的調整
[680.48-682.48] 我的車頭在調
[682.48-683.48] 我面也在調
[683.48-686.48] 調整過程當然有一定的Tone要打
[686.48-688.48] 就是我的底噴很清楚
[688.48-690.48] 這個廁所要不清
[690.48-691.48] 一間一間關
[691.48-692.48] 最後通知狀態要
[692.48-693.48] 所以能夠打我們盡量打
[693.48-695.48] 所以整體看起來
[695.48-698.48] 現在庫城水位回到了一個原先
[698.48-700.48] 我們認為比較先鋼的水準
[700.48-701.48] 而且相對而言
[701.48-703.48] 目前所背的這些
[703.48-705.48] 我們所謂出貨Lagrime
[705.48-707.48] 基本上已經消耗了
[707.48-712.48] 這個是在整個的資產方面
[712.48-714.48] 在Lagrime方面
[714.48-715.48] 主要就是我們看到
[715.48-720.48] 我們的長債轉成了Iquity
[720.48-724.48] 從132億漲到163億
[724.48-726.48] 這主要是一個CP的漲
[726.48-730.48] 也就是說我們目前的Iquity
[730.48-733.48] 跟SRE是在38個
[733.48-735.48] 大概139%
[735.48-738.48] 這個從Classic的B-School的Training
[738.48-742.48] 我們Cash太多了
[742.48-745.48] 用不到有這麼多Cash
[745.48-748.48] 所以相當大程度
[748.48-750.48] 這個Cash要嘛去發給股東
[750.48-753.48] 要嘛Cash我要做更積極的購入
[753.48-754.48] 那我們等等
[754.48-756.48] 針對Dividend的發放
[756.48-758.48] 導致我們Square有比較大的變論
[758.48-761.48] 當然我還是維持我們
[761.48-762.48] 過去幾年所說的Set-A-Tone
[762.48-765.48] 我們60%的N-Main-N-Lean
[765.48-768.48] 我們昨天的Distribution
[768.48-770.48] 留在Cash的手上
[770.48-772.48] 當然我們有我們的美
[772.48-774.48] 這裡面當然針對
[774.48-777.48] 未來進一步這種擴充的可能
[777.48-779.48] 你可以看得到我的Asset
[779.48-782.48] 我其實從目前
[782.48-784.48] 原先的這個
[784.48-789.48] 總477億到今天419億的總Asset
[789.48-791.48] 我的Iquity現在是
[791.48-793.48] 站在163億
[793.48-796.48] 你假如用比較保守的
[796.48-797.48] 穩健的
[797.48-803.48] 你抓一個這個三成的Iquity Ratio
[803.48-805.48] 其實我們整個Cushion有降低
[805.48-809.48] 257到353公斤的Cushion在車上
[809.48-811.48] 這個是我隨便的指南的說法
[811.48-814.48] 我想在針對Payment
[814.48-816.48] 針對這個Geo-Harris的應變
[816.48-818.48] 你必須要有一定的Cushion在車上
[818.48-820.48] 因為我們沒有辦法猜測
[820.48-823.48] 未來的整個的
[823.48-825.48] 它的
[825.48-826.48] 往哪邊演變
[826.48-827.48] 現在猜測是
[827.48-828.48] 都沒有
[828.48-829.48] 誰猜不出來
[829.48-831.48] 所以我們得做好準備
[831.48-833.48] 我們認為Q2一定會來
[833.48-835.48] The storm is coming
[835.48-837.48] It's going to hurt
[837.48-839.48] It's going to rain very hard
[839.48-840.48] It's going to rain very hard
[840.48-842.48] 所以我們很大程度在準備
[842.48-843.48] 只懂來得很的
[843.48-845.48] 我們只能要做最快速的應變
[845.48-847.48] 那當然過程中間
[847.48-849.48] 一定會有
[849.48-851.48] 一個Challenge的時候
[851.48-852.48] 其實是有機會
[852.48-853.48] 有機會的時候
[853.48-855.48] 當然我們把一些數碼等子
[855.48-856.48] 帶在手上
[856.48-858.48] 我們會積極的準備看
[858.48-860.48] 未來在不同的領域
[860.48-861.48] 或什麼的可能
[861.48-863.48] 這是目前可以計較的方法
[863.48-865.48] 我想
[865.48-869.48] 那Cash flow28億的稅前
[869.48-871.48] 我們最後的Operation
[871.48-872.48] 大概收到27億
[872.48-873.48] 這當然
[873.48-875.48] 我覺得這是
[875.48-878.48] 這是蠻理想的一個Case了
[878.48-879.48] 主要不是因為
[879.48-880.48] 我們可以把Cash結出來
[880.48-883.48] 主要是因為我們可以把Cash結出來
[883.48-885.48] 所以你最後的Cash結
[885.48-887.48] 會在大陸再
[887.48-889.48] 那剛才有提到
[889.48-890.48] 我們那個
[890.48-891.48] 蔡委長是不是想要
[891.48-892.48] 叫我們一個人決定
[892.48-894.48] 我們可以幫忙
[894.48-895.48] 好
[895.48-896.48] 就像剛剛董事長講的
[896.48-897.48] 我們大概今年
[897.48-900.48] 遵循往歷會運用稅後淨利的
[900.48-902.48] 60%當中的標竿
[902.48-904.48] 所以根據剛剛的數字
[904.48-907.48] 我們今年會配發4.6塊
[907.48-908.48] 好
[908.48-911.48] 我們今天會把這個4.6以下的
[911.48-912.48] 標竿
[912.48-913.48] 我們看到
[913.48-914.48] 現在
[914.48-915.48] 我們已經有
[915.48-916.48] 出發的
[916.48-917.48] 這個
[917.48-918.48] 好
[918.48-919.48] 好
[919.48-920.48] 好
[920.48-921.48] 好
[921.48-922.48] 好
[922.48-923.48] 好
[923.48-924.48] 好
[924.48-925.48] 好
[925.48-926.48] 好
[926.48-927.48] 好
[927.48-928.48] 好
[928.48-929.48] 好
[929.48-930.48] 好
[930.48-931.48] 好
[931.48-932.48] 好
[932.48-933.48] 好
[933.48-934.48] 好
[934.48-935.48] 好
[935.48-936.48] 好
[936.48-937.48] 好
[937.48-943.88] 這個是我們整個運營團隊一定的吸血
[943.88-945.88] 有些地方在受傷很多
[945.88-950.68] 不過其實在操作上我們會有比較一些
[950.68-954.28] 可能會來的這些exclusion pain
[954.28-958.28] 會繼續的能夠保持呼吸
[958.28-962.28] OK嗎 OK 我們試試看
[962.28-968.28] 整體的 安萊提到了2025年的改變
[968.28-976.28] 今天是2月27 我們Q1快走完了
[976.28-982.28] Q1大概還是在整個這次Downturn的Collapsing的最尾部
[982.28-987.28] 這個非常明確的一單就是整個飄泌已經起來了
[987.28-991.28] Headwind基本上已經慢慢移除了
[991.28-992.28] 當然
[992.28-996.28] 中間有一個最不確定的不是Headwind跟Headwind的問題
[996.28-998.28] 是可能有Storm回來了
[998.28-1000.28] 這是一個不確定的風險
[1000.28-1002.28] 這個風險不高
[1002.28-1004.28] 現在也無法跟任何人講
[1004.28-1007.28] 我們只能並來講來主演
[1007.28-1009.28] 看某些準備的作為
[1009.28-1011.28] 等等我跟大家分享
[1011.28-1016.28] 那整個的Headwind上來主要有幾個Trials
[1016.28-1020.28] 我剛才提到的 固存的整個調整調整完成了
[1020.28-1022.28] Enterprise的調整基本上很明顯
[1022.28-1024.28] 調整完 把明顯調整完了
[1024.28-1026.28] 淨淡入序再回來了
[1026.28-1030.28] 那基調的這些傳統的寬頻的
[1030.28-1033.28] 加入這個調整也搞完了 也回來了
[1033.28-1037.28] 連我們看到這些安防的設備
[1037.28-1041.28] 基本上2024年是基本上全部停了
[1041.28-1043.28] 那我們也看到它回來了
[1043.28-1045.28] 入序淨淡已經開始回流了
[1045.28-1051.28] 這是傳統的基期的一個重新站在一個正常的標準的一個水位
[1051.28-1055.28] 這次是直至Pandemic Party結束之後
[1055.28-1058.28] 去年整個一整年大家都在予予予予
[1058.28-1060.28] 都還滿久的還沒有醒
[1060.28-1062.28] 那我想今年看起來
[1062.28-1064.28] 到淨淡入序回補
[1064.28-1066.28] 那這個回補的時間點發生
[1066.28-1068.28] 應該從Q2你們就會看到
[1068.28-1072.28] 我們營收會有一個比較大的動用上爬
[1072.28-1074.28] 那另外一個是新產品的導入
[1074.28-1076.28] 新產品主要在職業領域上面
[1076.28-1078.28] Wi-Fi Server開始耗量
[1078.28-1080.28] 在Enterprise Wi-Fi Server耗量
[1080.28-1082.28] 運營商的基本方面
[1082.28-1086.28] 那我們傳統比較強的到其實的Cable領域的4.0
[1086.28-1088.28] 從Q2開始耗量
[1088.28-1089.28] 這都發生在Q2
[1089.28-1091.28] 現在都已經在線上耗量
[1091.28-1092.28] 製造都已經開始在耗量
[1092.28-1094.28] 那營收會在4月5份看到
[1094.28-1098.28] 我們2月份做的東西你們大概到4月份就可以看到我們營收
[1098.28-1100.28] 因為我們要全力出去
[1100.28-1103.28] 那整個的這個
[1103.28-1108.28] FWA是我們去年最大的一個營運的支撐的成長
[1108.28-1110.28] FWA在整個今年
[1110.28-1112.28] 我們繼續還是看到它在跑
[1112.28-1114.28] 所以這個我們現在還是6G
[1114.28-1116.28] FWA最大的
[1116.28-1119.28] 未來看到FWA最大的一個
[1119.28-1122.28] 漲或不漲的條件是
[1122.28-1125.28] 針對Spectrum的效率的運用
[1125.28-1127.28] 因為在6G以內的Spectrum
[1127.28-1129.28] 有這麼多的Spectrum
[1129.28-1133.28] 大概在這個空間就最多只能夠塞這麼多的Box
[1133.28-1134.28] 再塞下去
[1134.28-1136.28] 平寬就不夠用了
[1136.28-1138.28] 所以你怎麼樣增加有效率的平寬
[1138.28-1141.28] 怎麼增加你在不同的Spectrum的利用
[1141.28-1144.28] 這是未來FWA的一個重點
[1144.28-1145.28] 所以這個也是中美貿易戰略部
[1145.28-1147.28] 全部都非常非常深的
[1147.28-1152.28] 這個有牽涉到基站跟機體台
[1152.28-1156.28] 跟這個我們中南三邊之間互相聯動的問題
[1156.28-1160.28] 這個會是我們未來比較大的一個期待
[1160.28-1163.28] 我們部件部了這麼多年的
[1163.28-1167.28] 我們覺得有機會有豐收成果的一個期間
[1167.28-1169.28] 這是我看講的第三塊
[1169.28-1172.28] 第四塊就是整個IoT的運用
[1172.28-1175.28] 我們去年IoT其實是傳統產品制型的
[1175.28-1178.28] 那首要是靠的Utility
[1178.28-1180.28] 有到是靠的這些Healthcare
[1180.28-1182.28] 也許的運用Power部
[1182.28-1184.28] 我們現在看到今天基本上也回來了
[1184.28-1186.28] 基調回來了
[1186.28-1187.28] 漲的也真的快漲
[1187.28-1191.28] 還有很大的一個就是AIG的運用
[1191.28-1192.28] AIG的運用
[1192.28-1194.28] 尤其在Video的AIG的運用
[1194.28-1197.28] 這個從Q2的下半部
[1197.28-1200.28] 會看到有蠻爆發性的復甦
[1200.28-1203.28] 這邊就是目前雲端的AIG
[1203.28-1205.28] 配上Edge端的AIG
[1205.28-1209.28] 由於整個在這個Image的處理上面的
[1209.28-1211.28] 這種模型的導入
[1211.28-1214.28] 讓它更聰明更User的
[1214.28-1218.28] 這種Useability
[1218.28-1221.28] 可靠性更高的狀況之下
[1221.28-1223.28] 這個新的應用我們已經看到它在動了
[1223.28-1227.28] 這也是我們今年主要會看到成長的
[1227.28-1228.28] 一個動向
[1228.28-1231.28] 所以可以跟大家預料的是
[1231.28-1234.28] Q2的這一波大概是延續了
[1234.28-1238.28] 我們前面2024年這幾個Q2的調整
[1238.28-1241.28] 調整到Q2開始的爬坡
[1241.28-1246.28] 爬坡的這個幅度會相當的大
[1246.28-1249.28] 那Q3 Q4應該都還是逐漸要成長的
[1249.28-1251.28] 而且都是雙位性成長的
[1251.28-1254.28] 這是目前Budget做出來的實際上的開始
[1254.28-1256.28] 那剛才提到
[1257.28-1261.28] 今年最大的不確定性就是這些Geo Power
[1261.28-1263.28] 會關注的處理
[1263.28-1265.28] 關注打敗怎麼辦
[1265.28-1268.28] 我們全球目前的營運的布局
[1268.28-1272.28] 我們在我們的中南
[1272.28-1273.28] 我們在菲律賓
[1273.28-1275.28] 我們在沖繩的蘇州
[1275.28-1276.28] 我們在印度的西南
[1276.28-1278.28] 我們在波士頁克的提瓦那
[1278.28-1280.28] 這是我們目前的五個
[1280.28-1283.28] 已經具有的生產據點
[1283.28-1285.28] 剛才也看到我們的Balanced
[1285.28-1286.28] 跟我們的這個
[1286.28-1288.28] 這個GDL
[1288.28-1289.28] 我們去年相比
[1289.28-1291.28] 我們花了差不多大概10幾年在菲律
[1291.28-1293.28] 我們菲律產能已經Power了
[1293.28-1298.28] 也就是跟2023年年底的同期相比
[1298.28-1300.28] 我們現在菲律賓大概已經是
[1300.28-1303.28] 佔在一個類似的台灣海的總區
[1303.28-1306.28] 我們把菲律賓的產能已經擴充到
[1306.28-1308.28] 準備迎接未來的全能來源
[1308.28-1310.28] 比較大的Shotway
[1310.28-1312.28] 北美
[1312.28-1314.28] 佔我們印度大概六成
[1314.28-1317.28] 然後亞太大概佔兩成
[1317.28-1319.28] 歐洲大概佔兩成
[1319.28-1321.28] 所以可以看到北美的六成營收
[1321.28-1323.28] 主要是菲律賓跟台灣支撐
[1323.28-1325.28] 我們這個未來跟大家的
[1325.28-1328.28] 我們不會特別在提台灣多少的特徵
[1328.28-1330.28] 對中聯合聯
[1330.28-1333.28] 台灣的工廠跟菲律賓工廠是密密密密的
[1333.28-1335.28] 他們兩個是天使綁到一起的
[1335.28-1337.28] 我台灣沒有長的
[1337.28-1338.28] 台灣沒有人力
[1338.28-1340.28] 基本上台灣沒有工人
[1340.28-1342.28] 然後工人還是缺的非常厲害
[1342.28-1343.28] 我們所在地
[1344.28-1346.28] 在竹南的廠區
[1346.28-1348.28] 周邊全部在做半島體的擴充
[1348.28-1351.28] 大量的風裝廠都在我們附近開
[1351.28-1353.28] 那你是知道我們跟半島體要搶工人
[1353.28-1355.28] 我們是搶得多辛苦
[1355.28-1358.28] 可是我們在離我們很近的地方
[1358.28-1360.28] 當然有一個很大的一個
[1360.28-1363.28] Pool可以讓我們有效的擴充
[1363.28-1365.28] 那菲律賓很大的問題還是
[1365.28-1367.28] 作為一個新的組織
[1367.28-1370.28] 它的中間的幹部的經驗
[1370.28-1372.28] 跟它的帶領的經驗是不夠的
[1372.28-1374.28] 跟研發的距離比較遠
[1374.28-1375.28] 所以相對而言
[1375.28-1376.28] 導入新產品過程中
[1376.28-1378.28] 它一定是有它的一些困難的
[1378.28-1379.28] 所以相對而言
[1379.28-1383.28] 我們在台灣的這些有經驗的工程人力
[1383.28-1387.28] 所謂這些線上的幹部領導
[1387.28-1389.28] 其實跟兩邊之間的搭配
[1389.28-1392.28] 其實是一方學習包圓
[1392.28-1394.28] 所以它們兩個我們現在是策略上
[1394.28-1397.28] 我們把它捆綁到一起
[1397.28-1400.28] 所以我們談到六層的菲律賓
[1400.28-1402.28] 其實是把台灣集合的
[1402.28-1403.28] 這是目前我們的計較
[1404.28-1406.28] 現在可以看得到
[1406.28-1407.28] 市場的組合622
[1407.28-1411.28] 我們整個產業配置也是622
[1411.28-1413.28] 就是在菲律賓6層
[1413.28-1415.28] 在中國大概還剩2層
[1415.28-1417.28] 然後在印度剩2層
[1417.28-1422.28] 印度100%目前是針對印度的自由市場做支撐
[1422.28-1424.28] 菲律賓主要是針對美美
[1424.28-1426.28] 菲律賓台灣主要是針對美美
[1426.28-1430.28] 然後中國的就是對日本和歐洲的支撐
[1430.28-1433.28] 大概是這樣一個分布的態勢
[1434.28-1436.28] 反正接下來怎麼辦
[1436.28-1437.28] 這個大家不要問
[1437.28-1440.28] 我想你現在問誰是一個人
[1440.28-1444.28] 我剛剛從美國回來
[1444.28-1447.28] 就是上次大家在那邊訪問一圈
[1447.28-1448.28] 所有客人問一樣的問題
[1448.28-1450.28] 我只能講一件事情
[1450.28-1453.28] 我說跟我在一起合作的客人
[1453.28-1454.28] 我說
[1454.28-1458.28] You are actually in a good situation
[1458.28-1461.28] 因為你要照整個
[1461.28-1464.28] 目前單獨看全面的
[1464.28-1467.28] 這座關稅局的影響
[1467.28-1469.28] 不同的Fact來看
[1469.28-1473.28] 要是菲律賓被打的話
[1473.28-1476.28] 那美國就脫穩了
[1476.28-1479.28] 你沒有辦法避免
[1479.28-1481.28] 是他打A不打B
[1481.28-1483.28] 所以你從B地方出
[1483.28-1484.28] 我沒有稅
[1484.28-1485.28] 你A地方出
[1485.28-1486.28] 我有稅的時候
[1486.28-1488.28] 你A地方所在的這些移民商
[1488.28-1490.28] 你就會有個兩難了
[1490.28-1492.28] 關稅誰出
[1492.28-1493.28] 市場出還是你出
[1493.28-1495.28] 當他有地帶的時候
[1495.28-1497.28] 當他打到全面的時候
[1497.28-1498.28] 大家就一樣
[1498.28-1499.28] 他全面打
[1499.28-1500.28] 反而沒有問題
[1500.28-1501.28] 大家就反正就照樣了
[1501.28-1503.28] 全面打就照樣了
[1503.28-1505.28] 是什麼時候照樣
[1505.28-1507.28] 假如說他局部打
[1507.28-1509.28] 選擇性打
[1509.28-1511.28] 那彼此之間就充滿
[1511.28-1513.28] AV插座的可能
[1513.28-1514.28] 充滿AV插座的可能
[1514.28-1516.28] 我們某些認為
[1516.28-1518.28] 從各種角度來講
[1518.28-1521.28] 在整個環亞派地區
[1521.28-1522.28] 台灣
[1523.28-1524.28] 越南
[1524.28-1525.28] 泰國
[1525.28-1527.28] 都是對我們高空情區
[1527.28-1528.28] 非常多的支持
[1528.28-1529.28] 有沒有機會打
[1529.28-1530.28] 為什麼打
[1530.28-1531.28] 只有你打
[1531.28-1533.28] 打台灣怎麼辦
[1533.28-1534.28] 那大家就看各家各家
[1534.28-1535.28] 怎麼快速地變
