[0.00-5.10] 各位投资先进下午好
[202.76-203.66] 就有7.5亿
[203.66-206.12] 因此全年的净利率是10.1亿
[206.14-207.88] 那每股盈余
[207.88-210.08] 就是以我们全年流通债务股数的话
[210.08-210.96] 是3.3
[210.96-212.54] 那各位可以看到
[212.54-214.14] 23跟24的一个差异
[214.14-217.00] 那营收虽然是微幅的衰退
[217.00-218.62] 可是我在毛利率的部分
[218.62-220.46] 跟营业利益率
[220.46-221.36] 以及净利率的部分
[221.36-223.14] 都是有显著的一个成长
[223.14-224.10] 那因此呢
[224.10-225.40] 我们在EPS的部分
[225.40-227.44] 虽然有去年IPO之后
[227.44-229.80] 有一个干贝10%的一个增值的部分
[229.80-232.04] 但是呢
[232.04-233.44] 还是让我们在整体的成绩
[233.44-234.66] 从去年的2.88
[234.66-235.82] 增加到了
[235.82-236.12] 全年流通债务股数
[236.14-242.28] 在整个资产负债表的部分呢
[242.28-243.48] 我们设定的目标
[243.48-244.14] 当然就是说
[244.14-245.30] 希望在存货的部分
[245.30-246.26] 能够有一个
[246.26-248.46] 每年无益的一个降幅
[248.46-250.60] 那这个部分呢
[250.60-251.94] 因为在24年的一些
[251.94-253.14] 产品组合的关系呢
[253.14-254.72] 我们原先设定
[254.72-256.62] 就是使用再顺利的部分
[256.62-257.74] 应该来到40%
[257.74-258.86] 可是呢
[258.86-261.22] 虽然有一些客户的调整
[261.22-262.96] 那让我们在整体的一个
[262.96-264.02] 再顺利的使用呢
[264.02-265.70] 大概来到34%
[265.70-266.12] 但是呢
[266.14-268.44] 这一个34%其实也
[268.44-269.54] 各位可以看到
[269.54-270.70] 其实在整体的一个
[270.70-272.14] 一件毛利率的部分
[272.14-273.78] 其实它已经有一些效果
[273.78-275.22] 那我们预期呢
[275.22-277.16] 在今年度持续
[277.16-277.82] 还是有些产品
[277.82-279.56] 在进入的状况之下的话
[279.56-281.38] 在我们的毛利率的预注
[281.38-282.88] 应该是还是相当可期
[282.88-284.82] 那当然这个部分是在解释
[284.82-286.02] 在我们存货的部分
[286.02-287.86] 它有从去年
[287.86-289.86] 应该说23年的年底的时候
[289.86-290.66] 从62亿
[290.66-293.54] 有降到了24年的一个
[293.54-294.44] 59.9亿
[294.44-296.12] 虽然说以全年级的
[296.14-297.50] 降幅的部分
[297.50-298.30] 我们还没有达到
[298.30-300.14] 我们年减5亿的一个目标
[300.14-300.70] 那但是呢
[300.70-302.28] 这个部分
[302.28-303.38] 刚有提到就是说
[303.38-304.72] 因为再顺利的一个
[304.72-305.74] 产品组合的关系
[305.74-306.90] 使用率还没有来到
[306.90-308.58] 我们设定的40%
[308.58-309.18] 那但是呢
[309.18-309.94] 这样的一个差异
[309.94-311.76] 其实也让我们在
[311.76-313.14] 整体的一个
[313.14-314.64] 二五年的毛利率的部分
[314.64-316.92] 会选择再顺利使用的比例提高
[316.92-319.20] 那也会有一些相当的一个预注
[319.20-320.76] 那在整理一个正总额的部分
[320.76-322.50] 大概是微幅的提升
[322.50-324.30] 那我们再看我们整理的一个
[324.30-325.84] 负债总额的部分
[325.84-328.34] 因为我们在做一些
[328.34-329.16] 投资的一个配置
[329.16-330.96] 因此我们在整个负债的部分
[330.96-332.84] 有稍微的微幅的增加
[332.84-333.92] 那从
[333.92-335.28] 但是因为
[335.28-337.80] 去年我们在IPO筹资的部分
[337.80-340.48] 有大部分来做改善财务结构
[340.48-340.88] 因此呢
[340.88-342.34] 我们在整个
[342.34-343.18] 负债比率的部分
[343.18-346.48] 是从去年的55%降到
[346.48-348.46] 应该说23年的55%
[348.46-350.38] 降到24年的45%
[350.38-351.90] 那当然跟第三季比的话
[351.90-353.66] 负债比率是稍微的增加
[353.66-355.58] 可是在股东权益的部分
[355.58-359.30] 美股的一个账面金额是
[359.30-362.24] 从去年的36%增加到今年41.3%
[362.24-365.06] 那也可以让各位投资先进知道
[365.06-367.26] 在整体的一个公司的一个营运
[367.26-368.78] 持续的一些
[368.78-370.40] 进进调整之下
[370.40-373.50] 我们持续朝着我们设定的中长期目标
[373.50-375.02] 锚利率27到30
[375.02-377.48] 营业利率15到20%
[377.48-379.52] 那有这样的一个方向来前进
[379.52-382.34] 当然存物一直是我们在关注的重点
[382.34-385.18] 那我们也积极的在做一些存物的管控
[385.18-388.44] 那包含我们在整体的一个债收率的运用的部分
[388.44-390.94] 因此我们在25年度的部分的话
[390.94-392.78] 我们还是秉持着
[392.78-396.78] 希望能够存货以年减5亿的方式来做一些调整
[396.78-398.58] 那也让我们在各个
[398.58-400.58] 我们在资产负债表的超过1亿的配置
[400.58-403.12] 能够更加的一个从健康的
[403.12-405.36] 更健康的一个脚步来前进
[407.20-409.28] 在展望的部分
[409.28-410.14] 25年的营收
[410.14-413.50] 我们设定确实还是来自于双位数的年成长
[413.50-415.18] 那虽然20到24年
[415.18-417.68] 我们的部分有受到一些整理经济的影响
[417.68-419.18] 不过在我们
[419.18-421.88] 从我们的一个主要客户群的一个配置
[421.88-425.08] 各位可以去了解到
[425.08-426.78] 我们的一个主要客户
[426.78-428.38] 虽然说大家都知道
[428.38-429.78] 可能在大陆地区
[429.78-430.78] 比如说保时捷
[430.78-432.38] Mercedes Benz
[432.38-433.78] 或者是一些豪车
[433.78-435.18] 它的销售是有下降
[435.18-438.48] 可是像保时捷它的一个年销量
[438.48-441.48] 虽然说从23年的33万台车
[441.48-443.78] 降到24年的31万台车
[443.78-444.58] 可是呢
[444.58-447.28] 对保时捷的一个出货量反而是增加的
[447.28-448.98] 那主要是
[448.98-451.18] 应该说归公于我们在整个接单策略上
[451.18-453.48] 其实有一些主力车种的部分
[453.48-454.98] 像是马肯的部分
[454.98-458.28] 其实是从去年开始上市
[458.28-459.78] 那虽然说台肯
[459.78-460.88] 大家看起来它销量不好
[460.88-464.48] 可是因为客户端目前的一个销售主力转到马肯
[464.48-466.18] 那这台车的售价
[466.18-467.38] 我去年看的话
[467.38-469.48] 大概也是将近台币300多万
[469.48-471.48] 也是算是一个蛮高档的车子
[471.48-473.68] 那刚好他去年是一个上市的一个
[474.58-476.08] 是一个首发
[476.08-479.38] 那因此在我们的整个出货量的贡献度是蛮大的
[479.38-482.08] 那当然我们在整体的一个客户布局的部分
[482.08-485.78] 其实还是朝着一个比较扁平式的一个布局
[485.78-487.78] 那单一客户的话也尽量
[487.78-489.18] 就是不要让他有
[489.18-491.58] 应该说我们都期望客户会成长
[491.58-493.48] 但是我们在设定上的话
[493.48-496.38] 就会尽量让客户的一个成长力道
[496.38-499.58] 应该是说我们在整体对客户的依赖度的部分
[499.58-502.48] 不要太过于集中在某几个客户
[502.48-502.98] 不过呢
[502.98-504.58] 以现在的一个整个
[504.58-505.68] 前五大的客户的话
[505.68-508.38] 我们现在的比重应该有超过60%
[508.38-508.78] 对
[508.78-509.38] 超过60%
[509.38-511.68] 所以各位可以想像就是说
[511.68-515.58] 我们过去可能在一开始的北美三大的时代
[515.58-516.98] 三家占了90%
[516.98-518.38] 那慢慢的扩张到
[518.38-520.78] 我们现在总共有40几个品牌客户
[520.78-523.08] 那在整个客户群的部分的话
[523.08-525.48] 虽然前五大还是相对来讲比较大
[525.48-527.18] 但是单一的部分
[527.18-528.78] 他的占比的话就是陆续的提升
[528.78-530.58] 都有大概将近10%以上
[530.58-534.38] 因此让我们在整体前五大有来到60%的这样一个占比
[534.58-536.38] 那在25年的部分呢
[536.38-541.58] 收回到整个整体的一些豪车品牌的一个
[541.58-543.58] 应该说他的一个销售展望
[543.58-544.58] 以及新车上市
[544.58-547.38] 那当然我们在整体接单策略的部分的话
[547.38-551.38] 确实在客户端一些比较基本款的部分
[551.38-553.78] 包含断圈的基本款的部分
[553.78-554.78] 他是量比较大
[554.78-555.98] 那这个部分的话
[555.98-559.18] 我们去考量到我们整体的一个产能的一个分配
[559.18-562.78] 那还是会比较着重在豪车里面的一些属于中高
[562.78-564.38] 也是算是高端的部分
[564.58-565.78] 那也因此呢
[565.78-570.78] 我们在去年度也持续接获了一些老师还是新的案子
[570.78-571.98] 那是一些案子的话
[571.98-575.78] 尤其各位可以知道老师还是他算他的整体的一个
[575.78-581.38] 我们讲说他的一个车款的年限相对来讲是比较长的
[581.38-581.98] 因此呢
[581.98-584.48] 我们在整体的一个休旅车跟商务车型的部分
[584.48-585.88] 他的需求持续的增加
[585.88-590.18] 那再来就是说我们在整体的一个今年度的部分
[590.18-593.18] 刚有提到从在手里的一个扩装
[593.18-594.38] 的
[594.38-596.38] 整个投入量的增加
[596.38-600.38] 那再来就是说我们在其他的一个非乘用车旅圈的需求也
[600.38-605.38] 逐渐的在布局包含在整体的一个我们讲说是原料类的部分
[605.38-610.18] 然后还有就是我们一些中间设备的部分都开始进入到一些
[610.18-612.58] 客户的一些明确的一个需求
[612.58-615.78] 那这个需求当然就是我们要会有一些验证需要通过
[615.78-617.48] 那这需要一些时间
[617.48-618.48] 那今年度呢
[618.48-620.28] 我们设定就是在2020年度的话
[620.28-623.68] 我们营收目标就有
[623.68-626.18] 相对20年有一个双倍数的成长
[626.18-629.98] 那当然就是会有机会来挑战历史的新高
[629.98-632.08] 那接下来在营业利率的部分呢
[632.08-633.78] 各位有看到我们在第四季的部分
[633.78-637.08] 我们的毛利率来到27%以上
[637.08-639.68] 那在营业利率的部分也将近来到15%
[639.68-640.58] 因此呢
[640.58-643.68] 在我们的一个整个两个策略的一个
[643.68-646.48] 我们讲说在一个推进之下呢
[646.48-649.48] 透过再生女的耳朵积极的使用
[649.48-650.68] 那当然这个部分的话
[650.68-653.58] 各位可以知道我们现在有7家客户已经合格
[653.68-655.68] 那陆续我们就是在整体的一个新案
[655.68-659.98] 或者是在一个财政转换的导入状况之下的话
[659.98-663.78] 就能够朝着我们今年度目标50%的一个目标来前进
[663.78-664.88] 那竞争营的部分呢
[664.88-667.98] 因为客户端在去年度开始陆续上线之后
[667.98-670.38] 我们的出户量也是稳健的在提升
[670.38-671.48] 那这个部分的话
[671.48-674.88] 也是会让我们在今年度整体的一个
[674.88-679.78] 营收的部分以及营业利率的部分都能够持续来前进
[679.78-682.68] 也朝着我们设定的目标就是营业利率
[682.68-683.68] 朝着我们的长期目标
[683.68-685.78] 15%到20%前进
[685.78-690.48] 因此我们在这样的一个策略之下
[690.48-693.38] 我们也积极的希望能够在整个再生旅游
[693.38-695.98] 熔炼事业群的部分来去做布局
[695.98-696.78] 那各位也知道
[696.78-702.48] 我们也透过设立子公司的一个部分来去做这样的积极的进展
[702.48-703.78] 那以现况来讲的话
[703.78-707.48] 我们会把第二座熔炼厂设定在屏东地区
[707.48-711.28] 让我们的整个熔炼厂能够跟既有的来做合并
[711.28-711.88] 但是呢
[711.88-713.58] 它比较大的差异是
[713.58-715.58] 在新的熔炼厂的部分
[715.58-719.38] 我们会在整个生产形材的尺寸跟规格的部分
[719.38-720.88] 会有比较大的一个弹性
[720.88-724.58] 那也能够满足就是不管是在整体的一个
[724.58-726.58] 我们讲说就是在营造业
[726.58-729.58] 然后移动一些气质零组件业
[729.58-732.58] 或者是在建筑业的部分都能够来做布局
[732.58-735.18] 也让我们在整个整体的再生旅的一个推广
[735.18-738.58] 来更加的来做扩大
[738.58-741.38] 那也积极来透过一些
[741.38-743.38] 纵向和横向的合作
[743.58-746.38] 来让我们整体的一个旅的产业应用的部分
[746.38-751.38] 能够让整个熔炼经济在台湾更加的一些扎根
[751.38-755.58] 那也让台湾这个不是属于天然矿产丰富的一个地区
[755.58-758.38] 能够透过这样一个再生旅的一个事业
[758.38-763.58] 让全球来了解到台湾这样的一个再生旅事业的一个重要性
[763.58-766.18] 那当然另外一个就我们刚提到的就是说
[766.18-767.58] 我们在存货的部分
[767.58-769.58] 我的目标还是每年无一的一个降低
[769.58-771.18] 那当然我们这个部分的话
[771.18-772.18] 以现况来看
[773.58-775.18] 我们在整体的原料库存
[775.18-778.18] 那它还是有将近台币30亿的一个量
[778.18-779.58] 那我们这个部分的话
[779.58-783.98] 当然随着我们在多种尺寸形材的一个合金的部分
[783.98-784.78] 来做布局
[784.78-787.18] 那我们在存货的去化就能够加速
[787.18-791.18] 而不是仅靠就是投入在段转旅圈的一个使用
[791.18-793.18] 会让我们在整体的一个
[793.18-794.58] 我们的一个营业规模
[794.58-798.38] 以及我们在存货的一个水位也能够大幅的降低
[798.38-800.38] 那当然长期存货筹展提出的部分
[800.38-801.78] 我们是以200天文目标
[801.78-803.48] 那这个部分也都是我们
[803.58-807.18] 持续在向各位投资人先进来做说明
[807.18-809.38] 那也设定是我们一个长期的目标
[811.88-815.18] 那接着还是回归到我们在原来的一个设定的部分
[815.18-817.58] 就是我们从我们策略的立场
[817.58-820.88] 除了我们在豪车品牌的这样的一个产业的领先地位
[820.88-826.18] 那但是我们并不以只做企业产业的这样的一个
[826.18-829.18] 功能来做唯一的一个面向
[829.18-831.58] 我们也是透过循环经济
[831.58-833.38] 透过不同领域的材料应用
[833.58-837.18] 来做来积极的来提升公司的营运效率及获利率
[840.58-842.48] 那这边当然就是跟各位说明说
[842.48-844.58] 虽然客户端的一些调整
[844.58-846.78] 但是呢各位从这张表可以看出
[846.78-848.98] 从2018年到2024年
[848.98-851.98] 其实每一个整个一些超跑豪车
[851.98-853.68] 跟一些高级车的部分
[853.68-856.78] 它的一个平均的成长率都还是维持在正的
[856.78-861.88] 那这也是带动巧先公司在整体的一个客户的布局的部分
[861.88-863.38] 能够让我们在营收有稳定的一部分
[863.58-867.58] 甚至能够维持一个成长的一个动能
[867.58-872.98] 那当然也不定的跟各位来重复的说明
[872.98-876.78] 就是我们在整个一个产品的一个布局的部分
[876.78-879.58] 我们慢慢的在整个全机架锻造的部分
[879.58-881.58] 会让适当的一些产品
[881.58-883.58] 拖跟客户的一些造型讨论
[883.58-885.58] 来去转换成竞争型的部分
[885.58-889.58] 这个部分呢对巧先公司来讲是一个很大的一个突破
[889.58-891.58] 因为以现款来做进行的话
[891.58-893.58] 除了第一大供应商autofox以外
[893.58-896.58] 那其他的产能相对来讲都没有像巧先公司那么大
[896.58-900.58] 那当然技术上我们还是有一些需要去精进的
[900.58-905.58] 不过呢在整个做中学那也持续的去提升我们的一个良率
[905.58-907.58] 以及我们生产效率的部分呢
[907.58-911.58] 也让我们在整体的一个加工机的一个投资
[911.58-915.58] 能够有比较不像过去就是要动辄几百台一个投资
[915.58-920.58] 那当然因为加工机它会比较需要整体的一个用地空间
[920.58-921.58] 厂房空间
[921.58-923.58] 那也会让我们在整体的一个
[923.58-927.58] 既有的空间下能够积极的去创造它的整个
[927.58-929.58] 我们讲说的就是使用面积的评效
[929.58-931.58] 因此呢我们在整体的一个配置上的话
[931.58-935.58] 在2025年度整个竞争型轮圈的占比会持续的增加
[935.58-937.58] 那这个部分呢当然是以欧
[937.58-940.58] 目前的话就是以欧洲区的一个客户为主
[940.58-942.58] 那这个部分的话当然
[942.58-945.58] 我们会将这样的一个工艺
[945.58-949.58] 以客户适合的造型来去做推广
[949.58-952.58] 那也希望能够来将这样的一个
[953.58-957.58] 低稍微低的一个成本来回归给客户
[957.58-963.58] 那这个就是我们目前在竞争型的一些客户的一些分配
[963.58-965.58] 也让各位做参考
[965.58-968.58] 那当然在整个再生铝的部分呢
[968.58-971.58] 也很荣幸的跟各位说明
[971.58-974.58] 我们在今年的整个循环经济获得一个
[974.58-978.58] 我们讲说就是那个产品的一个典范奖
[978.58-983.58] 那这个部分主要就是因为我们现况的一个再生铝的事业是
[983.58-986.58] 把这部分先下缴去做生产
[986.58-987.58] 那这样的一个生产过程中
[987.58-990.58] 其实最主要是在整个铝汤的结晶度
[990.58-991.58] 以及在它的一个生产过程中
[991.58-993.58] 整个去维持
[993.58-996.58] 让我们的整个产出的铝元素棒
[996.58-1000.58] 它的品质能够在后端的一个断胶跟加工过程中
[1000.58-1003.58] 是稳定的一个品质来供应
[1003.58-1006.58] 那当然因为我们的一个整个生产
[1006.58-1008.58] 各自成的生产管控
[1008.58-1010.58] 那让我们所有的一个再生铝
[1010.58-1012.58] 在整体的一个产品的性能上
[1012.58-1013.58] 都有优越的表现
[1013.58-1015.58] 也获得客户的支持与认证
[1015.58-1017.58] 这也接续的让我们客户持续的来
[1017.58-1019.58] 合格我们使用再生铝
[1019.58-1021.58] 那过去都会把再生铝
[1021.58-1023.58] 当成是一种次制品的概念
[1023.58-1026.58] 那从2014年开始已经开始去颠覆
[1026.58-1028.58] 那也让客人知道说再生铝其实
[1028.58-1032.58] 它不仅仅是能够跟原生铝有接近的性能
[1032.58-1034.58] 在整个碳烛机的一个部分
[1034.58-1037.58] 更能够有一个比较大的一个减少
[1037.58-1040.58] 那在我们做完14064的话
[1040.58-1042.58] 其实我们整体的碳烛机的话
[1042.58-1045.58] 在整个再生铝的部分大概就只有
[1045.58-1047.58] 每公斤的铝大概是只有0.45公斤的碳
[1047.58-1049.58] 那当然这个部分呢
[1049.58-1052.58] 我们随着我们这样的持续的使用的话
[1052.58-1056.58] 我们也预期将这样一个整个ESG
[1056.58-1059.58] 然后就是简单简单的一个成果
[1059.58-1060.58] 然后推广给我们的
[1060.58-1062.58] 让我们的客人也能够享受到
[1062.58-1064.58] 这样一个简单的一个效益
[1064.58-1066.58] 在铝料作业运用的部分
[1066.58-1070.58] 过去也跟各位提到就是我们在整体的一个
[1070.58-1071.58] 半导体设备零件的部分
[1071.58-1073.58] 有持续的在运作
[1073.58-1078.58] 那过去我相信有在跟我们做接触的一些投资人也知道
[1078.58-1081.58] 其实在整体的一个半导体零件的一个部分呢
[1081.58-1085.58] 它讲求的不是材料的一个所谓的轻量化
[1085.58-1087.58] 或者是它的一个疲劳性质
[1087.58-1090.58] 它在乎的是它的一个铝料的一个组织
[1090.58-1091.58] 以及它的耐腐蚀性
[1091.58-1092.58] 那这个部分呢
[1092.58-1094.58] 我们近期也拜访了一个新的客户
[1094.58-1097.58] 那也希望能够通过他们后端的一些制程
[1097.58-1099.58] 来去做一个进一步的一个认证
[1099.58-1101.58] 应该说进一步的测试
[1101.58-1104.58] 因为在我们比较基础下的话
[1104.58-1107.58] 虽然说过去在整体的半导体产业
[1107.58-1110.58] 它其实会有一些原料需要被核可的这样的一个作业
[1110.58-1112.58] 那我们在比较的基础下
[1112.58-1114.58] 其实我们整个的一个性
[1114.58-1121.58] 应该说组织的一个原料的一个内部的一个组织精力的部分
[1121.58-1123.58] 包含一些耐腐蚀性的部分
[1123.58-1124.58] 都是它的表现
[1124.58-1126.58] 那当然我们也希望透过不同的一个客户来去做
[1126.58-1128.58] 其实我们做一些认证
[1128.58-1131.58] 来让我们了解到还有哪一些我们可以持续来补强
[1131.58-1136.58] 去优化我们在这个部分的一个材料的一个配方
[1136.58-1138.58] 或者是我们在制程上做调整
[1138.58-1142.58] 来更大地能够满足客户端的要求
[1142.58-1144.58] 那这个部分我们会在近期
[1144.58-1146.58] 会在进入第二阶段
[1146.58-1150.58] 第二阶段客户的一个算是原料的一个测试
[1150.58-1152.58] 那也希望在这个部分的话
[1152.58-1156.58] 能够慢慢地来让台湾的在铝料供应的部分
[1156.58-1159.58] 能够也在整体的半导体供应的部分
[1159.58-1161.58] 有一些协助
[1161.58-1163.58] 那在移动设备的部分呢
[1163.58-1165.58] 这个部分我们也持续地在进行
[1165.58-1170.58] 那尤其现在有一些在轻轮车的一些储蓄品的一个口径的部分
[1170.58-1172.58] 也有跟机器人在跟客户在接洽
[1172.58-1174.58] 那重电设备的部分
[1174.58-1177.58] 当然我们会先从台湾的客户来进行
[1177.58-1180.58] 那现况也有一些比较明确的一些案子
[1180.58-1181.58] 让我们去做评估
[1181.58-1183.58] 那当然其他的部分的话
[1183.58-1185.58] 比较主要就是在我们的一些
[1185.58-1187.58] 红带衣材以及原料的部分
[1187.58-1189.58] 那原料当然就是
[1189.58-1191.58] 一直以来跟各位说明就是
[1191.58-1193.58] 我们在整体的一个再生铝料的部分
[1193.58-1195.58] 铝料这个东西呢
[1195.58-1197.58] 虽然说泛指是铝
[1197.58-1202.58] 那但是呢因为它的整体的合金成分差异很大
[1202.58-1204.58] 过去呢如果说我们讲说
[1204.58-1206.58] 都会有所谓的一个再生铝再生铝
[1206.58-1209.58] 但是呢比较常听到
[1209.58-1211.58] 或者是实际上在使用上的话
[1211.58-1213.58] 都会变成是降级使用
[1213.58-1215.58] 这个主要的原因是因为
[1215.58-1216.58] 各种铝的合金
[1216.58-1219.58] 比如说我们讲说航太级7系列
[1219.58-1220.58] 那如果是一些中电设备
[1220.58-1221.58] 可能是5级设备
[1221.58-1223.58] 那如果是在整个车辆
[1223.58-1224.58] 比如说是铸造
[1224.58-1227.58] 它可能是ADC或者是A356系列
[1227.58-1231.58] 那锻造可能是6061 6082系列
[1231.58-1234.58] 这些如果说都能够做好适当的分类
[1234.58-1237.58] 那它都能够在百分之百的还原到
[1237.58-1239.58] 回来回到原来的铝种
[1239.58-1240.58] 那这样的话
[1240.58-1242.58] 它的整个附加价值相当的高
[1242.58-1244.58] 但是如果在整体的一个除放
[1244.58-1246.58] 或者是在整体的一个
[1246.58-1249.58] 应该是说在收起的过程中
[1249.58-1250.58] 它没有办法被适当的分类
[1250.58-1256.58] 那它就只能够被需要用加新铝料的方式
[1256.58-1258.58] 就是加纯铝来去调整合金
[1258.58-1260.58] 或者是降级来使用
[1260.58-1263.58] 那就会让它的整个铝的一个附加价值
[1263.58-1266.58] 会遭受到一些减损
[1266.58-1269.58] 那这也是为什么我们其实在这一两年来讲
[1269.58-1273.58] 除了接触潜在的这些再生铝的客户之外
[1273.58-1275.58] 那我们也在了解
[1275.58-1279.58] 这个铝的一个我们讲说回收体系的话
[1279.58-1281.58] 怎么样来去做分料
[1281.58-1285.58] 那确实现在要去分铝铁是很简单的
[1285.58-1287.58] 可是不同的铝要去分合金
[1287.58-1290.58] 现况来讲好像还没有一个比较适合的技术
[1290.58-1292.58] 那这个部分我们也希望能够
[1292.58-1293.58] 透过跟客户端的一些互动
[1293.58-1295.58] 来去找出这样的技术
[1295.58-1297.58] 然后让我们跟客户之间
[1297.58-1299.58] 能够透过这样的一个技术
[1299.58-1301.58] 来做一些连结应用
[1301.58-1303.58] 让整体的一个铝的价值
[1303.58-1305.58] 附加价值的部分能够维持
[1305.58-1306.58] 那当然了
[1306.58-1309.58] 在整个铝应用的部分其实
[1309.58-1313.58] 它除了我们在整个技术产业看得到的话
[1313.58-1316.58] 在整体的一个新制程的部分
[1316.58-1317.58] 其实我们也在布局
[1317.58-1318.58] 那这个部分呢
[1318.58-1320.58] 我们也在跟国内一些几个机构在合作
[1320.58-1323.58] 希望能够把一些新的制程的部分
[1323.58-1327.58] 来去做一些更加大幅度的一个探讨
[1327.58-1331.58] 那来去探索有哪些有更适合的一些产业应用
[1331.58-1334.58] 以及我们就是有哪些适合的一些工法
[1334.58-1338.58] 能够透过一些精神成本的部分来回馈给客户
[1339.58-1341.58] 那接着呢
[1341.58-1344.58] 就是来把这样的一个整个营运的一个趋势
[1344.58-1347.58] 来跟各位做一个总观的一个说明
[1347.58-1349.58] 从2020开始呢
[1349.58-1351.58] 我们的整个
[1351.58-1352.58] 盲利率的部分
[1352.58-1354.58] 其实营业利率的部分
[1354.58-1356.58] 就从我们7%来到现在的13%
[1356.58-1357.58] 那当然呢
[1357.58-1358.58] 相对来讲
[1358.58-1361.58] 我们在整体的一个股东权益报酬率的部分
[1361.58-1363.58] 也有比较稳定的一个成长
[1363.58-1365.58] 现在来到10%
[1365.58-1367.58] 那以这样的趋势来看的话
[1367.58-1368.58] 其实我们也有信心
[1368.58-1369.58] 未来呢
[1369.58-1372.58] 能够朝着我们长期的营业利率
