[0.00-5.06] 大家好,欢迎参加合作联合科技2024年第四季线上访说会。
[243.92-249.20] 2024年第四季的税前盈余为59亿5500万元,
[249.98-252.12] 在扣除所得税费用之后,
[252.58-256.14] 本期净利为41亿8300万元,
[256.96-261.34] 归属母公司的部分则为37亿3700万元,
[262.20-264.44] 每股盈余为1.40元。
[265.64-266.80] 接下来请大家看这份报告。
[266.84-269.34] 翻到第六页的资产负债表
[269.34-274.30] 截至2024年底
[274.30-276.48] 相关的应收应付账款
[276.48-278.16] 皆在旺季正常水位
[278.16-280.12] 财务比率部分
[280.12-281.04] 流动比率
[281.04-285.44] 2024年第四季底为133%
[285.44-288.24] 负债比率64%
[288.24-290.84] 有息负债比率则为10%
[290.84-294.24] 再请大家看到第七页
[294.24-295.90] 现金流量部分
[295.90-299.10] 2024年营业活动为
[299.10-302.14] 净现金流入约559亿元
[302.14-304.96] 投资活动之净现金流出
[304.96-306.86] 则为213亿元
[306.86-309.16] 相关的资本支出
[309.16-310.88] 均按照计划执行
[310.88-314.34] 在融资活动部分
[314.34-318.18] 净现金流出约为204亿元
[318.18-322.76] 移墨现金则约为1231亿元
[322.76-325.52] 再来看折旧摊销
[325.52-328.90] 2024年折旧摊销费用
[328.90-330.84] 约157亿元
[330.84-333.70] 到去年同期略为增加
[333.70-338.80] 接着请各位翻到第九页
[338.80-340.56] 合并营收趋势
[340.56-343.66] 第四季的合并营收
[343.66-346.04] 约为327亿元
[346.04-348.56] 较上一季上升11%
[348.56-351.24] 主要原因是通讯产品
[351.24-355.30] 在旺季的出货及营收表现有所成长
[355.30-355.50] 在旺季的出货及营收表现有所成长
[355.52-358.22] 而下一页中可以看到
[358.22-361.38] 各产品线营收分析的年对年比较
[361.38-365.60] 资讯产品受惠于较佳的出货动能
[365.60-368.38] 及营收成长约13%
[368.38-372.20] 然消费性电子及通讯产品
[372.20-374.78] 则受到较弱的终端需求影响
[374.78-378.54] 分别下滑33%及5%
[378.54-381.70] 接下来请大家看到下一页
[381.70-384.08] 季对季的比较部分
[384.08-385.30] 因通讯产品的营收分析
[385.30-386.46] 因进入淡季
[386.46-390.06] 资讯产品及消费性电子产品之营收
[390.06-394.54] 皆较上一季各下滑19%及36%
[394.54-398.64] 而通讯产品则因新季发表持续拉货
[398.64-402.54] 及营收季对季有28%的成长
[402.54-404.28] 以上报告
[404.28-409.32] 谢谢莉莉
[409.32-412.90] 针对第四季的财务及业务状况做说明
[412.90-415.16] 接下来我们就开始
[415.16-416.34] Q&A的时间
[416.34-419.30] 那麻烦请想要提问的投资线性
[419.30-420.64] 使用举手的功能
[420.64-422.40] 我将依序请您提问
[422.40-424.10] 每次提问请以一个问题
[424.10-425.70] 加一个follow up回线
[425.70-428.00] 那提问前也反映投资线性
[428.00-430.60] 提供您的贵姓大名及公司保号
[430.60-433.48] 在此间感谢各位先进的配合
[433.48-438.90] 那在我们等待现场投资人提问的同时
[438.90-441.08] 我这边先请教
[441.08-443.92] 执行长及财务长一个问题
[443.92-444.92] 是关于
[444.92-446.92] 财务财务的展望部分
[446.92-448.92] 在第一季来看
[448.92-450.92] 不知道能不能够请执行长
[450.92-453.92] 提供一下针对营收上面的看法
[453.92-456.92] 然后针对各个产品别
[456.92-458.92] 是不是能够大致说明一下
[458.92-462.92] 这个成长或者是衰退的幅度
[462.92-465.92] 那同样的现在对于第二季
[465.92-467.92] 是不是也有一些能见度
[467.92-469.92] 能够跟大家分享
[469.92-471.92] 还有确定的营运目标
[471.92-473.92] 大概会是怎么样 谢谢
[474.92-476.92] 你好
[476.92-477.92] 谢谢
[477.92-478.92] 我是教程
[478.92-482.92] 跟各位先进投资先进报告一下
[482.92-486.92] 未来几季的一些展望跟预估
[486.92-489.92] 那第一季来看
[489.92-492.92] 其实过了去年Q4的旺季以后
[492.92-494.92] 第一季比较淡
[494.92-498.92] 然后关税的问题其实还现在在变动中
[498.92-500.92] 所以对于computing来看
[500.92-503.92] 我们看到的是像notebook出货量应该有
[503.92-505.92] 个位数的下跌
[505.92-511.92] 那在消费性电子产品跟通讯产品来看
[511.92-514.92] 一样过了去年Q4的旺季以后
[514.92-516.92] 现在进入传统的淡季
[516.92-519.92] 所以季节性的下滑是必然的
[519.92-521.92] 一般来说Q1是
[521.92-525.92] 对我们来讲是最淡的一个季节
[525.92-529.92] 那我们再来讲一下Q2的一些的outlook
[529.92-533.92] 在资讯产品来讲因为
[533.92-537.92] 新平台的换机潮有可能会到
[537.92-540.92] 那也希望到时候关税的问题
[540.92-544.92] 有一定的政策的明朗化
[544.92-548.92] 那希望或者是应该说
[548.92-552.92] 有机会至少可以keep Q1或者更好一点
[552.92-555.92] 消费性电子产品来看
[555.92-559.92] 就是一般我们的游戏机其实还在淡季中
[559.92-563.92] 但是IOT这个新品还有一些客人
[563.92-566.92] 新客人会开始的random
[566.92-568.92] 所以Quadro to Quadro来看
[568.92-571.92] 我们希望可以稳定向上
[571.92-574.92] 那在通讯产品来看其实
[574.92-578.92] 应该
[578.92-582.92] 网络是有机会比Q1还好
[582.92-585.92] 那整体来讲还是属于淡季
[585.92-588.92] 所以希望能够平稳稍微向上
[588.92-592.92] 那今年整年来看其实
[593.92-598.92] 我们在持续拓展消费跟商用的份额
[598.92-601.92] 然后ODM的案子也越来越多
[601.92-603.92] 然后也拓展了新兴市场
[603.92-607.92] 那对我们来讲AIPC的应用也越来越多
[607.92-614.92] 那对资讯产品来看成长的趋势是很清楚的
[614.92-617.92] 那在消费性电子产品来看
[617.92-622.92] 不管是游戏机或IOT的产品类别
[622.92-626.92] 都有新客户和新产品的发表
[626.92-630.92] 那应该可以带动营收的成长
[630.92-632.92] 那在通讯产品来看
[632.92-635.92] 网通因为WiFi 7的普及化
[635.92-637.92] 还有5G、ORAM
[637.92-641.92] 还有我们的很多日本、东南亚的客人的部件
[641.92-643.92] 都已经逐渐的完成
[643.92-649.92] 那我们也希望能够带动整个业绩的成长
[649.92-652.92] 那在投机方面
[652.92-655.92] 我们还是持续在技术上
[655.92-659.92] 还有生产上的努力
[659.92-661.92] 生产上经验的努力
[661.92-663.92] 那所有东西会根据业务的情况
[663.92-667.92] 跟客人的方向进行一定的调整
[673.92-675.92] 谢谢 谢谢资讯厂的分享
[675.92-678.92] 那再次提醒线上的图片
[678.92-680.92] 如果想要提问的话
[680.92-682.92] 请使用举手的功能
[682.92-684.92] 可以提问一下
[684.92-686.92] 我还没提问过
[686.92-688.92] 你应该没有取消
[688.92-690.92] 这个功能
[690.92-691.92] 你应该没有取消
[691.92-693.92] 你应该没有取消
[693.92-695.92] 不好意思
[695.92-697.92] 那我们现在先请
[697.92-699.92] 第一位是这个富光的 Arthur
[699.92-703.92] 请开始
[703.92-705.92] 听得到我声音吗
[705.92-707.92] 可以
[707.92-709.92] 我想几件事想请教
[709.92-711.92] 这个几个上级的评论
[711.92-718.92] 我想公司应该是对未来产品线会着重在这个伺服器跟EE
[718.92-724.92] 那尤其就是今年还是这个AI Server这个第二年
[724.92-729.92] 那我可不可以先想了解一下就是公司在这个AI伺服器的布局
[729.92-733.92] 还有EE未来五年公司会怎么做
[733.92-735.92] 但是这是我第一个问题 谢谢
[737.92-738.92] 阿神你好
[739.92-740.92] 我是Gary
[740.92-743.92] 有我来回答你的问题
[743.92-747.92] 我先从Server的这个角度来看
[747.92-752.92] 就如同过去几次我所说的
[752.92-762.92] 在去年我们对台湾的客户已经做过第一次的验证
[762.92-767.92] 那在今年的Q1我们会做最final的验证
[767.92-769.92] 那我想这个
[769.92-770.92] 这个
[770.92-771.92] 大概
[771.92-772.92] 大概
[772.92-773.92] 两个月的时间
[773.92-774.92] 这个验证
[774.92-777.92] 没有问题之后
[777.92-784.92] 应该客户会在Q2开始有小量的下单
[784.92-786.92] 甚至在下半年
[786.92-791.92] 我们预期应该就会平顺的发展
[791.92-794.92] 当然除了台湾的客户之外
[794.92-796.92] 我想在
[797.92-799.92] 硕尾牙的时候我也提到
[800.92-804.92] 我们的GB200在一月的时候
[804.92-810.92] 也送到美国的中型的CSP的公司
[810.92-814.92] 到目前测试结果
[814.92-817.92] 我想双方应该都还算满意
[817.92-824.92] 也跟我们的友商的测试状况
[824.92-826.92] 几乎是平起平坐
[826.92-830.92] 甚至我们都还有点点的进度了
[830.92-833.92] 但是我们的机会是有点不超前
[833.92-836.92] 相信这样子的结果
[836.92-839.92] 会吸引到更多的客人
[839.92-843.92] 对我们GB200的青睐
[843.92-848.92] 那整个server除了我们自己在桃园
[848.92-851.92] 有生产的基地之外
[851.92-856.92] 我们今年也期望在北美的客户
[856.92-859.92] 能提供北美的制造
[859.92-862.92] 广地来就近服务
[862.92-866.92] 我们在美国的客户
[866.92-870.92] 这一个部分应该在今年
[870.92-875.92] 就可以有量产的时机出来
[875.92-878.92] 这个是在server的部分
[878.92-884.92] server的部分也不是只有AI的server
[884.92-889.92] 我们在传统computing的server上面
[889.92-891.92] 也有一些斩货
[891.92-899.92] 我们甚至在跟solution的provider的厂商上面
[899.92-906.92] 也赢得两个difference deny-in的成绩
[906.92-911.92] 这个对我们后续的量产
[911.92-916.92] 或客户的server
[916.92-919.92] 应该也会有很大的帮助
[919.92-925.92] 再来我再讲到这个车用的部分
[925.92-930.92] 车用的部分在2024年
[930.92-933.92] 我们也到我们所预期的目标
[933.92-936.92] 有两位数字的成长
[936.92-940.92] 大家也知道车用的市场
[940.92-943.92] 在中国的竞争之下
[943.92-946.92] 美国欧洲的公司
[946.92-949.92] 确实也承受到比较大的压力
[949.92-954.92] 那在2025大家也比较
[954.92-961.92] 在成长的方面也许会比较平缓
[961.92-966.92] 我们在既有的客户
[966.92-973.92] 一力的争取这个市场的份额
[973.92-977.92] 希望在原本的share上面呢
[977.92-982.92] 能再提升生意的体力
[982.92-987.92] 我想这个我们是还蛮有信心的
[987.92-990.92] 除了既有的客户之外
[990.92-993.92] 我想我在过去也提到
[993.92-997.92] 我们在不同的客户的布局
[997.92-1001.92] 那我想这个部分我们也看到
[1001.92-1004.92] 有一些不错的成绩
[1004.92-1006.92] 第二个客户 第三个客户
[1006.92-1008.92] 第四个客户
[1008.92-1015.92] 将会在今年甚至明年初将计的量产
[1015.92-1019.92] 我想最大的一个因素还是来自于
[1019.92-1022.92] 这个市场的竞争
[1022.92-1031.92] 跟整个经济还有关税的因素影响
[1031.92-1036.92] 我们在跟客户这边的合作跟进步
[1036.92-1038.92] 和交流上面
[1038.92-1040.92] 我看到的是稳定
[1040.92-1042.92] 并逐步的成长
[1042.92-1045.92] 有新的开拓
[1045.92-1052.92] 那现在可能就要随着整个市场的因素
[1052.92-1054.92] 做快速的调整
[1054.92-1060.92] 甚至自我在生产效率的要求上面
[1060.92-1063.92] 要更进一步的加强
[1063.92-1065.92] 谢谢
[1066.92-1069.92] 那第二个问题
[1069.92-1074.92] 我知道公司现在对这个smartphone的business
[1074.92-1076.92] 是开局比较保守
[1076.92-1079.92] 那我自己有预估
[1079.92-1082.92] 是不是这样讲就是说
[1082.92-1086.92] 公司有机会在2028年或2029年
[1086.92-1089.92] 把这样的business降到50%
[1089.92-1093.92] 那因为这个也要考虑到公司
[1093.92-1096.92] 刚刚所说的这两个产品能够补充
[1096.92-1099.92] 这个smartphone的下降
[1099.92-1102.92] 那公司是不是有这样的target
[1102.92-1105.92] 希望说在几年之内
[1105.92-1107.92] 或者说哪个年度
[1107.92-1109.92] 会把这个通讯产品
[1109.92-1112.92] 我想最主要是智慧型手机降到50%
[1112.92-1114.92] 那这是我第二个问题
[1114.92-1117.92] 阿SIR你好
[1117.92-1120.92] 我还是回答你这个问题
[1120.92-1123.92] 跟我以前的回答几乎类似
[1123.92-1125.92] 其实我们很难对单一客人
[1125.92-1128.92] 单一产品去做评论
[1128.92-1132.92] 对我们来讲其实重要的才是
[1132.92-1136.92] 就是该成长的事业处
[1136.92-1138.92] 还有该成长的产品线
[1138.92-1140.92] 必须要赶快pick up起来
[1140.92-1141.92] 不然如果pick up起来以后
[1141.92-1145.92] 自然对smartphone这个category的分比
[1145.92-1146.92] 就会降低
[1146.92-1150.92] 我们比较采取neutral的方法去看这个
[1150.92-1152.92] 那我们跟客人的关系还是很好
[1152.92-1155.92] 那个我们还是会继续保持好的
[1155.92-1156.92] 程度
[1156.92-1159.92] 对我们来讲每个客人都是
[1159.92-1161.92] 一无二的而且都是重要的
[1164.92-1166.92] OK好没有问题谢谢
[1166.92-1168.92] 行你说不好意思
[1168.92-1171.92] 我想补充一下我想我们
[1171.92-1176.92] 生意的形象一定是积极争取
[1176.92-1181.92] 只是既有的生意对新的生意
[1181.92-1184.92] 也一定是开拓我们最大的能力
[1185.92-1188.92] 去获得客户的青睐
[1188.92-1192.92] 那至于这个百分比其实就是
[1192.92-1197.92] 我们所展现出来的生意能力
[1197.92-1201.92] 所做出来的一个百分比的比例而已
[1201.92-1205.92] 这个没有所谓比例是好是坏
[1205.92-1209.92] 最重要的还是要均衡的拓展
[1209.92-1212.92] 我们各个面向的技术
[1212.92-1215.92] 然后来获得更好的生意结果
[1215.92-1217.92] 这才是最重要
[1217.92-1220.92] 好谢谢两位指引长
[1220.92-1222.92] 那我没有问题谢谢
[1222.92-1224.92] 谢谢
[1224.92-1228.92] 谢谢接下来请GBS的Rate开始
[1228.92-1232.92] OK谢谢谢谢Karia
[1232.92-1235.92] 谢谢主持人接受我的提问
[1235.92-1238.92] 我第一个问题想要请教有关于
[1238.92-1241.92] Server这一块那您刚才有提到
[1241.92-1244.92] 就是说除了GB200
[1244.92-1246.92] 我们先讲GB200
[1246.92-1252.92] 您说有一个已经开始出货给美国的中型的这个CFP
[1252.92-1255.92] 这个是属于这个少量的市产
[1255.92-1258.92] 然后第二季会量比较大的
[1258.92-1260.92] 是这样子来思考吗
[1260.92-1264.92] 因为在GB200之前有提到各种不同的
[1264.92-1267.92] 零组件的良率不是太好的这些问题
[1267.92-1270.92] 那不晓得您在这边有什么样的看法
[1270.92-1271.92] 谢谢
[1271.92-1273.92] 我想那个GB200
[1273.92-1275.92] 因为它是水冷
[1275.92-1279.92] 不只是这个衣柜要水冷
[1279.92-1287.92] 甚至连Data Center的Facility也都要相对应的搭配
[1287.92-1292.92] 我们目前衣柜在客户那一边
[1292.92-1296.92] 就像我刚刚说的测试的结果
[1296.92-1299.92] 应该双方还算满意
[1299.92-1302.92] 这个部分其实不只是在
[1302.92-1305.92] 测试我们的机柜而已
[1305.92-1308.92] 客户也相对在对他们的
[1308.92-1312.92] 这个Data Center的建置设备
[1312.92-1315.92] 做一个搭配性的证
[1315.92-1321.92] 所以这个是很单纯的机柜
[1321.92-1325.92] 在这个结果之后
[1325.92-1326.92] 就像我刚刚讲的
[1326.92-1329.92] 应该我们就是努力去争取
[1329.92-1332.92] 让客户对我们下单
[1332.92-1338.92] 所以我们预期在今年的下半年会比较明显
[1338.92-1344.92] 那你至于刚刚所说的一些零件的问题
[1344.92-1351.92] 我想那个就是整个工程师的认证功力
[1351.92-1355.92] 跟对厂商品质的控制
[1355.92-1358.92] 我想这个非常非常的细节
[1358.92-1360.92] 我也不用在这边多说
[1360.92-1362.92] 那目前我们的工程师
[1362.92-1365.92] 我们在自己的实验室
[1365.92-1368.92] 当然也多多少少有看到一些问题
[1368.92-1371.92] 当然我们都一一克服
[1371.92-1375.92] 才有办法把第一柜送到客户那一边去
[1375.92-1378.92] 所以期望在Q2
[1378.92-1380.92] 甚至今年的下半年
[1380.92-1383.92] 有一个好消息出来
[1383.92-1385.92] 了解
[1385.92-1387.92] 那请问在General Service这边
[1387.92-1390.92] 刚刚有提到说好像会有两个这个
[1390.92-1392.92] 这个Design
[1392.92-1394.92] 是吗
[1394.92-1396.92] 或者是两个新的客户
[1396.92-1400.92] 那这样子的客户是来自于CST吗
[1400.92-1401.92] 还是Enterprise
[1401.92-1405.92] 是什么样的客户可以再多说明一下吗
[1405.92-1410.92] 我想这个我们没有办法对单一客户多做说明
[1410.92-1412.92] 可是我想就是说
[1412.92-1418.92] 市场上的一些Server的供应商
[1418.92-1421.92] 大概就是三四家
[1421.92-1424.92] 虽然有一些CSP他们自己
[1424.92-1426.92] 没有他们自己的Solution
[1426.92-1430.92] 这个都是我们极力争取的方向
[1430.92-1434.92] 在过去一年的努力之下
[1434.92-1436.92] 我们很高兴
[1436.92-1440.92] 我们的工程师的功力努力
[1440.92-1442.92] 被我们客户看到
[1442.92-1446.92] 大家合作起来相对愉快
[1446.92-1451.92] 所以陆续在去年的Q2的时候
[1451.92-1453.92] 我们也拿到了Q4
[1453.92-1455.92] 还有去年的Q4底
[1455.92-1457.92] 今年的Q1初
[1457.92-1460.92] 我们也拿到第二个DenyWin
[1460.92-1462.92] 那DenyWin并不代表
[1462.92-1469.92] 后面生意是不是就绝对会更好
[1469.92-1473.92] 我想我们从DenyWin这个合作上面
[1473.92-1479.92] 一定也可以连带的得到客户的青睐
[1479.92-1480.92] 在我们的
[1480.92-1484.92] 整个fulfillment的运作上面
[1484.92-1487.92] 也要能赶快跟客户
[1487.92-1490.92] 去满足客户的需求
[1490.92-1494.92] 还有办法做到第二步的成绩
[1494.92-1498.92] 好谢谢
[1498.92-1500.92] 那我再顺带就新产品这一块
[1500.92-1503.92] 我们刚才有提到车子这一块
[1503.92-1508.92] 电动车有第三个第四个客户
[1508.92-1509.92] 这个是以
[1509.92-1510.92] 是
[1510.92-1511.92] 明年会加入吗
[1511.92-1513.92] 我知道我们去年就是
[1513.92-1515.92] 也是有加入一个新的客户
[1515.92-1518.92] 那这个第三个第四个客户是今年
[1518.92-1520.92] 还是明年会开始出货
[1520.92-1524.92] 就如果如我刚刚说的
[1524.92-1528.92] 其实第二个客户其实已经开始出货了
[1528.92-1531.92] 也还蛮稳定的
[1531.92-1535.92] 客户有新的产品推出
[1535.92-1539.92] 我们也在供应链的名单里面
[1539.92-1545.92] 是以第三个第四个目前期望
[1545.92-1547.92] 是今年年底
[1547.92-1550.92] 甚至有一些机种是在明年
[1550.92-1552.92] 就如我刚刚所说的
[1552.92-1557.92] 这个是原本的时程上面
[1557.92-1561.92] 目前当然还是要观察整个
[1561.92-1565.92] 跟中国这一边市场的竞争
[1565.92-1568.92] 以及关税的影响
[1568.92-1573.92] 我们是要审慎的
[1573.92-1576.92] 也要求自己
[1576.92-1581.92] 要比较有弹性的来支援客户的需求
[1581.92-1584.92] 好谢谢
[1584.92-1586.92] 有关于他
[1586.92-1590.92] 可以分享今年的资本支出大概是多少
[1590.92-1594.92] 那是不是主要用在美国这边货场
[1594.92-1597.92] 那有关于这个手机这一块
[1597.92-1599.92] 应用关税
[1599.92-1604.92] 我们有没有什么样子的生产方面的配置的变化
[1604.92-1606.92] 谢谢您
[1606.92-1608.92] 我回答一下
[1608.92-1613.92] 今年的KF大概是3亿到3.5亿美金左右
[1613.92-1621.92] 基本上原来的规划是破除工厂能尤其是设备方面
[1621.92-1626.92] 因为川普现在关税非常所以我们也
[1626.92-1629.92] 也有可能会有新厂的设立
[1629.92-1633.92] 也许KF有可能再往上增加的可能性
[1633.92-1635.92] KF大概是这样子
[1635.92-1639.92] 至于你讲的那个手机这一方面
[1639.92-1642.92] 客人这单一客人我们还是不评论好了
[1642.92-1646.92] 就是我们会跟着客人紧密的配合
[1646.92-1648.92] 做什么就做什么
[1648.92-1652.92] 好了解非常的帮助谢谢您
[1656.92-1664.92] 即将开始
[1664.92-1667.92] 好听得到我的声音吗
[1667.92-1669.92] 可以
[1669.92-1672.92] 可以好谢谢
[1672.92-1674.92] 我这边大概有三个问题想要问
[1674.92-1678.92] 我第一个问题先简单一些在OPPES好了
[1678.92-1681.92] 其实上一次的这个法说公司
[1681.92-1684.92] 有提到我们未来2025年
[1684.92-1685.92] 75到85亿这样的一个费用
[1685.92-1688.38] 但第四季事实上有比较高
[1688.38-1691.14] 那我想再确认一下
[1691.14-1692.62] 就是说这是比较多
[1692.62-1695.08] 在第四季的一次性的费用产生
[1695.08-1696.98] 还是我们今年全年
[1696.98-1699.76] 费用上面的一个想法
[1699.76-1701.16] 也需要做一些调整
[1701.16-1702.34] 这是我第一个问题
[1702.34-1709.52] 如果看到那个第四季
[1709.52-1712.44] 就是说其实2024年到2023年
[1712.44-1715.14] 那在整个集团的合并
[1715.14-1716.92] 因为各位投资经纪
[1716.92-1718.24] 现在看到的当然是一个
[1718.24-1720.20] 合并财报的一个结果
[1720.20-1722.54] 那也可以看得到
[1722.54-1724.46] 其实除了刚刚两位经纪长
[1724.46-1725.34] 都有提到
[1725.34-1727.46] 在DMS本业
[1727.46-1728.84] 我们不管在EV
[1728.84-1731.06] 或者在其他非常多新的项目上面
[1731.06-1732.66] 都非常努力的在做
[1732.66-1733.56] 新的案子
[1733.56-1734.98] 新的客人的这些design
[1734.98-1737.60] 要做非常多的RD
[1737.60-1739.60] 能够引发客人的心
[1739.60-1742.76] 在DMS本身的研发费用
[1742.76-1743.84] 其实我们也还是
[1743.84-1745.12] 一直持续都有在投资
[1745.14-1747.14] 那投资经纪如果看到
[1747.14-1748.60] 我们集团内的蛮多
[1748.60-1750.00] 上市转投资的公司
[1750.00-1752.00] 都已经发布财报了
[1752.00-1755.00] 那像例如说像锦硕
[1755.00-1758.24] 锦硕他在营业费用的投资方面
[1758.24-1760.96] 其实也是有一个比较明显的征服
[1760.96-1763.20] 那因此这样子的一个结果
[1763.20-1766.00] 就是DMS以及转投资的公司
[1766.00-1768.58] 在研发费用或者是其他
[1768.58-1770.82] OPEX相关的费用上面的增长
[1770.82-1774.06] 也会看起来在整个OPEX上面是
[1775.14-1777.14] 有点高一点
[1777.14-1779.14] 这是我的回答
[1779.14-1782.04] 那请教财务长
[1782.04-1783.14] 我们是这个Range
[1783.14-1785.14] 才会再往上提高一些吗
[1785.14-1788.14] 这个的话其实梁惠芝
[1788.14-1792.14] 刚开过205年的一些内部的review
[1792.14-1794.14] 这个部分我们其实是
[1794.14-1796.14] 有相当大的弹性
[1796.14-1798.14] 包含像刚刚提到的Server
[1798.14-1800.14] 或者是像EV的新客人
[1800.14-1803.14] 以及刚刚提到像AIP的这些新的Segment
[1803.14-1805.14] 我们确实是会保留这个弹性
[1805.14-1807.14] 可能需要是今年
[1807.14-1808.14] 2025年可能
[1808.14-1810.14] 投资先进也都会感觉到
[1810.14-1812.14] 是一个相当Dynamic的一个一年
[1812.14-1814.14] 在这么Change的环境之下
[1814.14-1817.14] 我们在很多点都有一些新的布局
[1817.14-1822.14] 这个部分我们确实是会保有相当大的弹性
[1822.14-1827.14] 也确实在客人的配合之下
[1827.14-1829.14] 在这些部分有一些可能是
[1829.14-1832.14] 已经比较接近客人的验证时期
[1832.14-1835.14] 包含等等这些费用可能都
[1835.14-1837.14] 会在账上
[1842.14-1845.14] 好那我第二个问题是想请教一下
[1845.14-1848.14] 其实公司去年虽然营收下滑
[1848.14-1853.14] 其实毛利率有比前年有一些不错的增长
[1853.14-1857.14] 那当然也想要请教一下说
[1857.14-1861.14] 是不是我们在整个Product Mix里面
[1861.14-1863.14] 有一些贡献比如说
[1863.14-1865.14] 我们可能Server这一块
[1865.14-1869.14] 或者Ee这一块的一些贡献
[1869.14-1872.14] 那我们是想要进一步了解是说
[1872.14-1874.14] Server在Computing里面
[1874.14-1879.14] 那它是扮演的Margin有加分的角色吗
[1879.14-1882.14] 那这一块是目前比如说我们的AI Server
[1882.14-1885.14] GB200这些它是比较像是Consign
[1885.14-1888.14] 还是Buy and Sell的出货模式
[1888.14-1892.14] 那Ee的话当然是在我们其他这一块的营收里面
[1892.14-1894.14] 那在去年达这个来说的话
[1895.14-1897.14] 我们两位数的营收贡献
[1897.14-1899.14] 就是有千亿的这样贡献以后
[1899.14-1903.14] 可以请教一下今年大概是会接下来
[1903.14-1905.14] 或者今年它这个成长幅度
[1905.14-1909.14] 它是大概呈现什么样的一个营业
[1909.14-1913.14] 大概这个是第二个问题
[1913.14-1915.14] 我先回答第一个问题好了
[1915.14-1917.14] 第二个问题给Gary
[1917.14-1919.14] 那我觉得主要你想的没错
[1919.14-1922.14] 我们还是靠精神
[1922.14-1925.14] 还是靠我们自己想办法的Operation好了
[1925.14-1930.14] 另外一个当然产品线的调整是长期的动作
[1930.14-1932.14] 我们也一直在努力这一方面
[1932.14-1935.14] 那另外一个是配合公司
[1935.14-1938.14] 或者配合客人做的一定的调整
[1938.14-1942.14] 然后也希望客人可以配合我们
