[0.00-6.20] 各位好,我們今天是本年度的第一場法說會
[139.44-141.44] 那還有通信的銅纜
[141.44-144.44] 那通信銅纜的話可能就是有像
[144.44-149.44] 電線電纜或者是污染這些電線
[149.44-153.44] 那還有就是網路線的這些產品
[153.44-158.44] 那這都是我們主要的合積的電纜產品
[158.44-162.44] 好那再來就是我們說明一下
[162.44-168.44] 我們今年跟去年113年跟112年的
[168.44-171.44] 那個產品的營收變化比重
[171.44-173.44] 那這個部分我們看餅圖的話
[173.44-174.44] 其實
[174.44-178.44] 還就是還沒有什麼太大的變化
[178.44-181.44] 就是膠連電纜的部分一樣都是
[181.44-184.44] 都是最主要的銷售產品
[184.44-187.44] 那膠連電纜剛剛前面的產品類別有說過了
[187.44-190.44] 就是這裡面包含了高壓電纜
[190.44-192.44] 就是6到35KV的電纜
[192.44-194.44] 還有就是69KV超高壓
[194.44-197.44] 65KV以上超高壓電纜
[197.44-199.44] 這兩類電纜裡頭
[199.44-203.44] 那113年的超高壓電纜
[203.44-204.44] 膠連電纜就是
[204.44-207.44] 它的比重是67%
[207.44-210.44] 那比112年59%
[210.44-214.44] 又往上升了大概8個百分點
[214.44-218.44] 那這個部分的話主要就是超高壓電纜
[218.44-221.44] 它的交貨的那個數量
[221.44-226.44] 比前一個年度大概有成長了20%左右
[226.44-228.44] 那所以說
[228.44-233.44] 公司的那個營收的部分的比重也就是拉高了
[234.44-237.44] 那這個部分大概就是來自於主要客戶
[237.44-242.44] 它的161還有345KV的電纜的
[242.44-245.44] 我們就是有驗收完成
[245.44-247.44] 所以營收入帳這樣子
[247.44-250.44] 那這個也就是我們113年
[250.44-256.44] 最主要的產品的組合跟營收的狀況
[256.44-257.44] 好
[257.44-260.44] 那再來我們看一下就是
[260.44-262.44] 兩年度的選疫表
[262.44-263.44] 好
[263.44-265.44] 113年的話
[265.44-269.44] 合計的合併營收是46.74億
[269.44-273.44] 營業毛利的話是9.05億
[273.44-275.44] 那營業費用
[275.44-277.44] 營業費用是1.5億
[277.44-281.44] 那我們營業費用的話占整體的營業額大概是3%
[281.44-284.44] 那其實就是跟以往年度都相當的比重
[284.44-288.44] 那我們營業淨利的話是7.53億
[288.44-292.44] 然後營業外淨收益是1.38億
[292.44-294.44] 稅前8.91億
[294.44-298.44] 然後我們稅後的淨利是7.14億
[298.44-302.44] 那EPS是3.71億
[302.44-306.44] 那我們其實直接看一下就是我們的營業收入
[306.44-310.44] 我們營業收入大概是46.74
[310.44-311.44] 46.75億
[311.44-315.44] 那就是比去年同期的話
[315.44-317.44] 大概就是成長4個百分點
[317.44-321.44] 那營業額就大概也是跟1.2年相當啦
[321.44-322.44] 這樣子
[322.44-327.44] 那營業毛利的話是9.06億嘛
[327.44-330.44] 那比去年同期成長57%
[330.44-335.44] 那這一三年的營業毛利增加主要是因為在
[335.44-339.44] 焦點電來就是超高壓電纜的營業有增加
[339.44-344.44] 那剛剛有提到就是說這個電纜的
[344.44-349.44] 焦貨的數量有增加大概20%左右
[349.44-351.44] 所以說我們的整體的毛利的話
[351.44-356.44] 整體的毛利金額還有就是毛利率都有明顯的成長
[356.44-359.44] 那這個是在業內的部分
[359.44-365.44] 那再來我們看一個差異比較大的地方是營業外的淨利益
[365.44-367.44] 那業外淨利益的話
[367.44-370.44] 113年是1.38億
[370.44-374.44] 那比112年的話是成長386%
[374.44-377.44] 主要是一個原因是說112年的時候
[377.44-379.44] 我們當時候有認列一筆
[379.44-380.44] 廠房的報費數目是3.36億
[380.44-385.44] 那這個廠房就是之前法書有提過了
[385.44-390.44] 就是我們有一個廠房因為年代比較老舊久遠了
[390.44-392.44] 所以我們把它拆除掉
[392.44-394.44] 那那個部分拆除掉之後
[394.44-397.44] 我們現在是用來就是作為倉儲使用
[397.44-402.44] 那這個倉儲是用在擺放就是像超高壓電纜
[402.44-409.44] 這個比較大的電纜的儲放還有就是它的包裝去使用
[410.44-412.44] 我們是作為品保試驗的使用
[412.44-415.44] 那這是112年發生的一個報費損失
[415.44-420.44] 那那個金額大概是落在3964萬元
[420.44-424.44] 那因為113年就沒有這個損失項目了
[424.44-425.44] 好
[425.44-427.44] 然後另外就是113年的時候
[427.44-429.44] 我們轉投資的部分
[429.44-434.44] 我們認列股利收入大概是6069萬
[434.44-438.44] 然後那個黃金存摺的部分
[438.44-440.44] 因為公司有投資黃金存摺的部分
[440.44-443.44] 那為實現平價了一代16921萬
[443.44-447.44] 那這兩項約當合計是1.3億
[447.44-453.44] 那會比112年的同期利益大概增加5929萬
[453.44-455.44] 那所以說剛剛講的三項東西
[455.44-458.44] 一個是112年發生的廠房報費損失
[458.44-461.44] 然後113年我們的股利收入
[461.44-464.44] 還有黃金存摺會實現收入增加
[464.44-465.44] 這三個原因
[465.44-469.44] 所以是我們的營業外建立就是大幅的上升
[470.44-471.44] 好
[471.44-474.44] 那綜合一下我們就是剛講的
[474.44-478.44] 業內的成長原因是因為我超高壓電纜的部分
[478.44-480.44] 交貨數量增加
[480.44-483.44] 所以這個獲利毛利的成長
[483.44-486.44] 然後業外的部分是剛講的三個原因
[486.44-489.44] 所以說合計公司在113年度
[489.44-492.44] 整體的毛利的金額
[492.44-495.44] 還有就是本期的稅後金利的金額
[495.44-498.44] 就是大幅成比112年就是大幅的成長
[498.44-499.44] 我們就是120年
[500.44-504.44] BPS的話就是3.71元這樣子
[504.44-507.44] 好
[507.44-510.44] 那再來就看一下我們113年跟112年
[510.44-513.44] 每個季度的營收表現
[513.44-517.44] 那這個部分基本上
[517.44-520.44] 大概就是第一季的時候
[520.44-524.44] 有比較明顯的就是兩期差異
[524.44-526.44] 那再來其實二到四季
[526.44-530.44] 大概就沒有太明顯的營收差距了
[530.44-532.44] 然後整年度看起來就是
[532.44-534.44] 剛前面講的
[534.44-538.44] 113年跟112年的話
[538.44-541.44] 它的營收大概就是整體平均的話
[541.44-543.44] 就是成長4個百分點
[543.44-550.44] 那再來是我們的近五年的獲利
[550.44-554.44] 那其實大家看這個就是條狀圖
[554.44-558.44] 合計公司的EPS大概就是慢慢的一個
[558.44-559.44] 往上的一個區域來看的話就是
[560.44-565.44] 我們在113年就有一個蠻大的增幅
[565.44-567.44] 那這個部分主要就是說
[567.44-570.44] 台電的那個強力電網計畫
[570.44-573.44] 那因為它大概是從112年開始
[573.44-576.44] 就是那個動能大概開始出來了
[576.44-580.44] 所以說我們也陸續接到客戶的交貨通知
[580.44-584.44] 那隨著那個電纜的交貨數量
[584.44-586.44] 然後佔營收的比重上升
[586.44-590.44] 所以說在那個營收毛利跟毛利率的部分
[590.44-595.44] 就會很明確的反映在這個損益狀況裡頭
[595.44-597.44] 那就是目前大家看到的
[597.44-599.44] 呈現的這個獲利表現
[599.44-603.44] 那再來一樣就是說
[603.44-610.44] 像我們電線電纜業就是遇到的就是競爭
[610.44-614.44] 它就是我們希望未來這個業務市場
[614.44-616.44] 開拓的一個狀態
[616.44-620.44] 我們大概如果說各位用戶的朋友們
[620.44-622.44] 有閱讀我們的財報的話
[622.44-626.44] 在113年度的那個財報裡頭
[626.44-629.44] 我們有一個地區別的資訊揭露
[629.44-631.44] 那在這個資訊揭露裡面
[631.44-636.44] 合計公司的銷售市場大部分是以國內市場為主
[636.44-641.44] 那這個營收比重大概是佔了整體營業額的95%
[641.44-646.44] 那這個95%其實大家可以知道就是
[646.44-650.44] 這個95%我們又是以超高壓電力電纜為主
[650.44-652.44] 那這個部分的話
[652.44-656.44] 主要也都是從台電的強力
[656.44-661.44] 強韌電網計畫這個部分帶動出來的
[661.44-663.44] 那就是這個部分當然就是說
[663.44-666.44] 一個是我電纜的材料銷售
[666.44-668.44] 還有附屬器材的銷售
[668.44-672.44] 那另外還有接續工程的這個服務
[672.44-675.44] 得來的這個營收
[675.44-680.44] 那這個也就是公司未來幾年就是
[680.44-685.44] 獲利跟營收的主要來源
[685.44-688.44] 我們會在這個上面的話
[688.44-692.44] 就是會比較持續的去關注說
[692.44-698.44] 台電是不是有在陸續在釋出這樣超高壓的訂單的狀況
[698.44-703.44] 那另外就是在國際市場的部分
[703.44-709.44] 那目前的話就是最矚目的就是關稅的議題
[710.44-712.44] 那剛剛提到就是說
[712.44-714.44] 我們財報裡面揭露的
[714.44-718.44] 屬於地區別資訊裡頭的美洲市場這個部分
[718.44-720.44] 那在美洲市場的話
[720.44-723.44] 營收佔比以113年來說
[723.44-726.44] 約當時在一個百分點左右
[726.44-729.44] 那這個對合計公司來說
[729.44-733.44] 並不是一個很重大的影響
[733.44-735.44] 所以說
[735.44-740.44] 目前我們大概是不會對我們營收造成太大影響
[740.44-746.44] 那在美國地區的客戶的話
[746.44-751.44] 我們目前也是沒有聽到說客戶有延遲訂單的狀況
[751.44-754.44] 我們也都是在正常的出貨當中
[754.44-760.44] 不過因為目前關稅的議題都還沒有一個定案的狀況之下
[760.44-764.44] 我們也都會持續的去追蹤這個議題
[764.44-769.44] 那就是看跟客戶去注意客戶的之後的動向這樣子
[770.44-774.44] 那這個是目前的狀況
[774.44-779.44] 那再來就是說公司在114年度的話
[779.44-783.44] 我們期許就是我們
[783.44-786.44] 我們的未來的營運
[786.44-790.44] 可能就是跟113年的營運狀況
[790.44-796.44] 我們期許是在一個平穩相當的水準之下去繼續
[796.44-798.44] 那
[798.44-800.44] 如果說有
[800.44-802.44] 有一些新的
[802.44-803.44] 新的
[803.44-804.44] 市場開發
[804.44-806.44] 或者說是新的客戶的話
[806.44-809.44] 那我們也是會繼續去持續去努力
[809.44-810.44] 看算說
[810.44-813.44] 能不能找尋到新的一個市場
[813.44-815.44] 然後開拓出一些新的業績
[815.44-817.44] 然後就是有更好的獲利成果
[817.44-821.44] 跟各位股東跟投資人分享這樣子
[821.44-822.44] 好
[822.44-824.44] 那今天的簡報
[824.44-826.44] 大概就是到這邊
[827.44-829.44] 那就謝謝各位
[829.44-831.44] 今天來參加法手會
[831.44-832.44] 謝謝各位
