[0.00-4.80] 各位线上的投资人下午好
[541.10-543.10] 高下补值低风险
[543.10-544.50] 以及有
[544.50-548.80] 跟涨必迭发挥期货避险功能的这个特性
[548.80-551.00] 我们产品还可以客制化
[551.00-555.30] 依客户属性调整合适的产品类别
[555.30-557.50] 因此群益期货的
[557.50-560.60] 群益期金的市占率
[560.60-567.80] 稳定的达成市场的第一市占率更达到了91.6%
[567.80-573.70] 群益期金委任资金跟委任户数都持续的稳定的成长
[573.70-574.30] 我们未来的经济发展会有多大呢?
[574.30-579.10] 我们的经营方向仍追求客户绝对报酬为目标
[579.10-586.10] 我们也是业界唯一公开客户绩效的期货商
[586.10-590.90] 接下来我们再看一下本公司客户保证金的状况
[590.90-597.40] 我们看得到我们客户的保证金又创下了历史的最高
[597.40-602.30] 达到556.9亿
[602.30-604.10] 目前仍居市场的第二
[604.30-607.50] 那保证金的持续增加
[607.50-610.50] 我们也带动了利息收入的稳定的成长
[610.50-619.90] 接下来我们来看一下本公司杠杆业业务部的交易业绩
[619.90-625.60] 由于今年的第一季市场的波动大幅成长
[625.60-633.10] 所以一到四月杠杆交易部的明目交易额为6027台币
[633.10-633.50] 所以一到四月杠杆交易部的明目交易额为6027台币
[633.50-636.20] 所以一到四月杠杆交易部的明目交易额为6027台币
[636.20-638.90] 跟以往的各季来相较的话
[638.90-641.50] 几乎是翻倍的成长
[641.50-644.10] 市占率能维持市场第一
[644.10-650.90] 超过60%
[650.90-655.50] 群益期货杠杆业务今年虽然翻倍成长
[655.50-661.50] 但我们还有一个潜力成长的一项业务就是美股CFD
[661.50-662.70] 群益美股CFD可做多的工作
[662.70-664.00] 可做多的工作
[664.00-665.40] 亦可做空
[665.40-668.80] 交易灵活且具杠杆的特性
[668.80-673.30] 投资人小资金就可以参与美股的交易
[673.30-679.20] 那我们的交易平台群益CTA也提供了美股的即时行情
[679.20-682.60] 甚至还有智慧单停损停利的功能
[682.60-686.10] 可以提升客户的交易效率
[686.10-690.70] 我们提供客户167档美股CD以及25档的美股CFD
[690.70-691.50] 我们提供客户167档美股CD以及25档的美股CFD
[691.50-693.50] 我们提供客户167档美股CD以及25档的美股CFD
[693.50-695.50] 进行交易
[695.50-703.50] 我们更提供了58档美股个股与3档美股ETF可以进行盘前跟盘后交易
[703.50-707.50] 增加获利的机会与降低风险
[707.50-713.50] 我们亦是首家提供无杠杆的一倍美股CFD
[713.50-717.50] 就相当于证券的美股付委托
[717.50-719.50] 以及我们今年台湾付委托将近15万美股CFD
[719.50-720.50] 以及我们今年台湾付委托将近15万美股CFD
[720.50-721.50] 以及我们今年台湾付委托将近15万美股CFD
[721.50-723.50] 以2.5兆新台币的交易金额来看
[723.50-725.50] 以2.5兆新台币的交易金额来看
[725.50-731.50] 我们美股CFD非常具有高度的成长潜力以及竞争优势
[731.50-740.50] 下表为本公司发行的美股CFD与市场一般美股付委托的一个比较
[740.50-742.50] 可以请各位参阅
[742.50-744.50] 可以请各位参阅
[744.50-750.50] 接下来由我在跟各位分享群益期货AI发展的一些成长
[750.50-751.50] 接下来由我在跟各位分享群益期货AI发展的一些成长
[751.50-752.50] 接下来由我在跟各位分享群益期货AI发展的一些成长
[752.50-753.50] 首先跟各位分享我们新春不打烊的行销案
[753.50-754.50] 首先跟各位分享我们新春不打烊的行销案
[754.50-755.50] 首先跟各位分享我们新春不打烊的行销案
[755.50-757.50] 导入AI行销的成效
[757.50-759.50] 导入AI行销的成效
[759.50-761.50] 导入AI行销的成效
[761.50-763.50] 首先在新户动用率的部分
[763.50-765.50] 首先在新户动用率的部分
[765.50-767.50] 我们较去年同期增长2%
[767.50-769.50] 我们较去年同期增长2%
[769.50-771.50] 也较活动前的增加是4.62%
[771.50-773.50] 也较活动前的增加是4.62%
[773.50-775.50] 展现新户参与的热度
[775.50-777.50] 展现新户参与的热度
[777.50-779.50] 因为这个AI行销产生了稳定的成长
[779.50-781.50] 因为这个AI行销产生了稳定的成长
[781.50-783.50] 另外在日均量的部分
[783.50-785.50] 另外在日均量的部分
[785.50-787.50] 我们今年依照去年活动
[787.50-789.50] 同期提升了23%的交易量
[789.50-791.50] 同期提升了23%的交易量
[791.50-793.50] 依照活动前的日均量增加了39%
[793.50-795.50] 依照活动前的日均量增加了39%
[795.50-797.50] 那在净止户的部分
[797.50-799.50] 那在净止户的部分
[799.50-801.50] 我们这些户数在新春期间的交易量
[801.50-803.50] 我们这些户数在新春期间的交易量
[803.50-805.50] 占1月份总交易量的79%
[805.50-807.50] 占1月份总交易量的79%
[807.50-809.50] 随后3到5月
[809.50-811.50] 海奇的业绩仍持续的成长
[811.50-813.50] 海奇的业绩仍持续的成长
[813.50-815.50] 显示这一波活动成功激活了高潜力的客群
[815.50-817.50] 显示这一波活动成功激活了高潜力的客群
[821.50-823.50] 接下来我来跟各位分享
[823.50-825.50] 接下来我来跟各位分享
[825.50-827.50] 群益期货在AI发展的第二个成果
[827.50-829.50] 群益期货在AI发展的第二个成果
[829.50-831.50] 长期以来我们在发展量化交易的这个过程当中
[831.50-833.50] 长期以来我们在发展量化交易的这个过程当中
[833.50-835.50] 我们发展许多新的产品
[835.50-837.50] 我们发展许多新的产品
[837.50-839.50] 我们发展许多新的产品
[839.50-841.50] 因为不具备层次编程的这个能力
[841.50-843.50] 因为不具备层次编程的这个能力
[843.50-845.50] 因此而放弃了这个量化交易这个领域
[845.50-847.50] 因此而放弃了这个量化交易这个领域
[847.50-849.50] 虽然目前在市面上
[849.50-851.50] 虽然目前在市面上
[851.50-853.50] OpenAI也可以做层次的编译
[853.50-855.50] OpenAI也可以做层次的编译
[855.50-857.50] 但是我们发现
[857.50-859.50] 他们的正确率非常非常的低
[859.50-861.50] 他们的正确率非常非常的低
[861.50-863.50] 因此我们群益期货开始训练自己的AI
[863.50-865.50] 因此我们群益期货开始训练自己的AI
[865.50-867.50] 加强提升了层次编译的正确性
[867.50-869.50] 加强提升了层次编译的正确性
[869.50-871.50] 加强提升了层次编译的正确性
[871.50-873.50] 另外我们还有四大特色
[873.50-875.50] 另外我们还有四大特色
[875.50-877.50] 我们用对话式的Web界面
[877.50-879.50] 以及条件补权的引导服务
[879.50-881.50] 以及条件补权的引导服务
[881.50-883.50] 语法结构判断与错误的修正提示
[883.50-885.50] 语法结构判断与错误的修正提示
[885.50-887.50] 以及一键复制到MoneyChat平台的这四大特色
[887.50-889.50] 以及一键复制到MoneyChat平台的这四大特色
[889.50-891.50] 实现了客户零程式撰写基础
[891.50-893.50] 实现了客户零程式撰写基础
[893.50-895.50] 实现了客户零程式撰写基础
[895.50-897.50] 也可以实现量化交易的目的
[897.50-899.50] 这是我们第二项群意AI的发展成果
[899.50-901.50] 这是我们第二项群意AI的发展成果
[901.50-903.50] 这是我们第二项群意AI的发展成果
[905.50-907.50] 接下来跟各位分享我们群意AI的第三个发展成果
[907.50-909.50] 接下来跟各位分享我们群意AI的第三个发展成果
[909.50-913.50] 我们继去年CNN的AI模型后
[913.50-915.50] 我们今年更进化
[915.50-917.50] 进入了RNN的预测模型
[917.50-919.50] 进入了RNN的预测模型
[919.50-923.82] RNN的模组聚焦于次日K线预测分类
[923.82-927.10] 为应用时间序列模型
[927.10-930.10] 主要预测次日短线的方向
[930.10-934.86] 协助顾问于盘前完成选股排序与资金分配
[934.86-939.68] 我们从程式化到智慧化打造AI的顾问流程
[939.68-945.76] 我们可以看到我们实行期间的这个绩效
[945.76-949.16] 我们可以稳定的打败大盘的绩效
[949.16-956.10] 各位投资人好
[956.10-958.28] 我是公司治理主管陈启豪
[958.28-962.88] 接下来由我跟各位报告公司治理与永续发展的部分
[962.88-969.62] 我将区分为ESG三块来跟各位分别说明
[969.62-974.76] 首先在E环境的部分
[975.24-978.64] 本公司推动减碳的行动
[978.64-982.32] 包含了响应年度的世界关灯日
[982.32-986.38] 以及冰水主机设备的太旧换新
[986.38-996.16] 还有试物机由碳粉变更为喷墨式的等专案
[996.16-1000.76] 朝向降低环境影响提升能源效率的减碳目标
[1000.76-1006.64] 在S社会的部分
[1006.64-1008.40] 本公司第一季
[1008.64-1013.32] 全额补助员工及亲友参与2025年国道马拉松
[1013.32-1018.52] 促进权益齐获大家庭的成员身心健康
[1018.52-1021.10] 此外在4月的部分
[1021.10-1024.72] 邀请辅仁大学的师生例领参访
[1024.72-1027.02] 促进金融科技实务交流
[1027.02-1034.18] 在5月则有采购弱势团体的公益母亲节礼盒
[1034.18-1035.98] 至正董事及同仁
[1035.98-1036.40] 以及权益金融集团的家庭联合会议
[1036.40-1036.44] 以及权益金融集团的家庭联合会议
[1036.44-1036.48] 以及权益金融集团的家庭联合会议
[1036.48-1041.16] 以及权益金融集团的家庭日结合永续及防诈的宣导
[1041.16-1047.12] 在治理的部分
[1047.12-1052.76] 则要提供本公司的风险控管的一个案例
[1052.76-1054.52] 今年4月初
[1054.52-1057.68] 美国解放日宣布对等关税措施
[1057.68-1064.38] 导致台纸期连续重挫4,112点跌幅高达19.3%
[1064.38-1066.46] 面临剧烈市场波动
[1066.48-1069.04] 本公司展现良好的风控效能
[1069.04-1072.68] 在4月10号、11号两天
[1072.68-1077.72] 本公司发生违约金额总计仅有一户
[1077.72-1079.80] 新台币72,000多元
[1079.80-1082.70] 为所有专营期货商中最低
[1082.70-1086.04] 那是占整个市场的全体
[1086.04-1089.34] 申报违约金额的万分之16
[1089.34-1091.90] 那本公司风险控管
[1091.90-1095.26] 在这个事件中发挥效果的原因
[1095.26-1096.46] 可以从
[1096.48-1100.32] 事前、事中、事后的措施来加以说明
[1100.32-1102.16] 事前的部分
[1102.16-1105.02] 本公司针对个股期货的客户
[1105.02-1109.20] 用高于法规标准的方式加以封控
[1109.20-1111.70] 也就是每天由系统筛选
[1111.70-1113.28] 对持有单一个股
[1113.28-1117.22] 期货契约市值逾新台币5000万元
[1117.22-1119.58] 且维持率低于200%的客户
[1119.58-1122.06] 每日检视其履约能力
[1122.06-1123.86] 防范潜在违约风险
[1123.86-1126.44] 以及善用减和通知
[1126.44-1126.46] 和保证的方法
[1126.48-1129.50] 以防止客户以裸卖选择权的方式持仓
[1129.50-1131.82] 也就是每日收盘后
[1131.82-1134.34] 透过系统减和裸卖选择权客户
[1134.34-1135.80] 通知营业员
[1135.80-1138.20] 劝导改用价差单一管控风险
[1138.20-1141.68] 至于事中的风险控管机制
[1141.68-1143.46] 则是监控为
[1143.46-1144.86] 值率偏低的客户
[1144.86-1146.42] 与进行压力测试
[1146.42-1148.28] 估算潜在曝险
[1148.28-1149.88] 并预警业务单位
[1149.88-1152.68] 以立即时联系高风险客户
[1152.68-1155.08] 进行关怀与封控提示
[1155.08-1156.44] 而在这种情况下
[1156.44-1157.68] 而在事后的部分
[1157.68-1160.68] 如果客户发生超额损失
[1160.68-1162.64] 营业员主动
[1162.64-1165.22] 妥为说明补缴与违约的影响
[1165.22-1167.22] 并由交易室
[1167.22-1168.86] 同步发送简讯提醒
[1168.86-1171.22] 尽力避免违约发生
[1171.22-1176.08] 以上就是今日
[1176.08-1179.26] 线上法人说明会的全部简报
[1179.26-1181.08] 非常感谢各位
[1181.08-1183.22] 投资人的参与
[1186.44-1188.44] 各位投资人下午好
[1188.44-1189.30] 不好意思
[1189.30-1191.48] 刚刚直播连线有点状况
[1191.48-1193.04] 抱歉让各位等候了
[1193.04-1195.82] 那我们的简报已经结束
[1195.82-1197.58] 现在进入QA的部分
[1197.58-1200.50] 那刚刚已经有投资人
[1200.50-1202.04] 在对话视窗
[1202.04-1203.52] 打了一些问题
[1203.52-1205.68] 那我们先来看一下
[1205.68-1206.46] 这些问题
[1206.46-1208.28] 第一个问题是
[1208.28-1211.76] 正自营的累计获利均在零轴附近
[1211.76-1213.80] 请问过去的交易策略是什么
[1213.80-1215.78] 如何改善投资效率
[1215.78-1216.42] 请问过去的交易策略是什么
[1216.44-1217.34] 第二题是
[1217.34-1219.58] 今年对于美金新台币的
[1219.58-1220.78] 克保金利息收入
[1220.78-1223.14] 能否在克保金扩大
[1223.14-1224.72] 不容易降息的状况下
[1224.72-1227.06] 有比去年更佳的预期
[1227.06-1228.90] 那第三题是
[1228.90-1231.70] 今年现金股利配发率不弱以往
[1231.70-1233.28] 明年是否能在没有
[1233.28-1235.62] 现增干扰下提高配发率
[1235.62-1238.18] 到过往70%的水准
[1238.18-1239.86] 那这三道题目
[1239.86-1241.90] 我们请毛振华总经理
[1241.90-1243.44] 来为投资人说明
[1243.44-1244.50] 好
[1244.50-1246.08] 各位投资朋友
[1246.08-1246.42] 大家好
[1246.44-1248.78] 我是群一期货总经理毛振华
[1248.78-1251.50] 我现在就针对
[1251.50-1253.30] 刚才投资朋友所提出的
[1253.30-1254.12] 这三个问题
[1254.12-1256.30] 我来简单的说一些答复
[1256.30-1258.42] 第一个就是政治营的部分
[1258.42-1261.08] 其实我们政治营的策略
[1261.08-1264.50] 主要是主观交易的策略为主
[1264.50-1265.84] 那在今年
[1265.84-1268.70] 其实我们在主观上
[1268.70-1270.12] 今年年初的时候
[1270.12-1272.48] 因为大盘指数是24000多点
[1272.48-1274.98] 那我们加上我们的避险模型
[1274.98-1275.64] 告诉我们
[1275.64-1276.08] 我们
[1276.44-1276.94] 在
[1276.94-1278.12] 这个
[1278.12-1279.48] 清明年假前
[1279.48-1281.10] 其实把部位降到
[1281.10-1282.86] 几乎是两成以下
[1282.86-1284.42] 所以我们可以看到
[1284.42-1286.04] 虽然这一次我们也
[1286.04-1287.38] 受到这个
[1287.38-1288.76] 川普这个
[1288.76-1290.64] 关税战的这个冲击
[1290.64-1292.66] 不过我们的
[1292.66-1295.04] 损益是很小的
[1295.04-1295.82] 大概在
[1295.82-1298.22] 空在1000万以下的一个亏损
[1298.22-1299.18] 那
[1299.18-1300.40] 反观
[1300.40-1303.32] 就在大盘反弹以后
[1303.32-1304.90] 那我们政治营的部位
[1304.90-1306.30] 随之加大
[1306.30-1309.34] 所以现在的的绩效
[1309.34-1310.66] 是比
[1310.66-1314.06] 这个年初的时候要来的好很多
[1314.06-1315.38] 那第二个问题有关于
[1315.38-1316.78] 克宝金的部分
[1316.78-1318.02] 当然我们
[1318.02-1320.50] 在这一次的法说会的内容里面
[1320.50-1322.34] 我们看到我们克宝金
[1322.34-1323.58] 创下历史新高
[1323.58-1326.22] 达到557亿
[1326.22-1328.70] 当然在目前为止
[1328.70-1332.52] 以这个FED Watch的预期
[1332.52-1336.18] 今年美国还是仍然有两码的
[1336.30-1338.34] 降息的预期
[1338.34-1340.26] 除非除非
[1340.26-1342.38] 今年
[1342.38-1343.82] 比预期要好
[1343.82-1346.10] 就是说没有降息
[1346.10-1348.78] 否则的话到目前为止我们
[1348.78-1350.02] 克宝金的增加
[1350.02-1352.58] 加上这个预期两码的降息
[1352.58-1356.18] 我们预期跟去年的这个
[1356.18-1359.66] 保证金的利息收入应该是相当
[1359.66-1361.98] 应该是相当
[1361.98-1363.18] 那第三个问题
[1363.18-1365.86] 就是说今年的现金鼓励的配发率
[1365.86-1366.26] 不
[1366.30-1367.70] 不若以往
[1367.70-1370.02] 那我们在股东会的时候有跟
[1370.02-1372.06] 我们的股东说明过
[1372.06-1374.94] 那今年因为我们现金增资的关系
[1374.94-1376.54] 那明年
[1376.54-1380.30] 如果没有现金增资的干扰之下
[1380.30-1385.62] 应该会维持过往配发率的一个水准
[1385.62-1389.02] 那这个是不过
[1389.02-1390.86] 真正的配发率
[1390.86-1394.38] 还是要明年的股东会的决议
[1394.38-1396.26] 还是要明年股东会的决议之下
[1396.26-1400.86] 然后做最后的这个确认
[1400.86-1403.18] 以上回复谢谢
[1403.18-1410.26] 那请问各位投资朋友
[1410.26-1411.62] 如果有问题的话
[1411.62-1415.70] 可以在继续在对话之窗里头来让我们知道
[1415.70-1426.24] 那目前看起来好像没有
[1426.26-1429.34] 有更多的问题
[1429.34-1430.86] 好那
[1430.86-1435.48] 非常感谢各位投资朋友今天参与我们群一起获得法人说明会
[1435.48-1438.54] 那祝各位投资朋友投资顺利
[1438.54-1439.82] 万事顺心
[1439.82-1440.86] 那非常感谢
[1456.26-1460.86] 谢谢大家
[1463.02-1463.80] 现在
[1463.80-1464.96] 已经是
[1464.96-1465.72] 这个
[1465.72-1485.30] 多
[1485.30-1486.10] 谢谢
[1486.10-1486.22] 谢谢
