[0.00-4.24] 好,今日歡迎各位參加凱基證券與IR Trust的
[4.24-8.00] 舉辦2025世界新經濟秩序趨勢論壇
[689.24-697.24] 那主要就是歸因於我們的產品的組成這邊一直是維持在一個比較健康的一個水準
[697.24-704.24] 如果我們把我們產品區分為幾個類別區分成模具轉印件塗裝件成型件或其他的話
[704.24-706.24] 那我們毛利這邊的一個擴力的關鍵是什麼呢
[706.24-708.24] 我們在這個畫面上的這個圖像就是在塗裝件和轉印件
[708.24-715.24] 大家可以看到我們長年來都是保持在一個六成以上的一個產品的結構的一個占比
[715.24-720.24] 這就是為什麼我們毛利率可以維持比較穩定的一個原因
[720.24-727.24] 再來我們進入到的就是目前集團的一個客群的一個占比
[727.24-734.24] 那可以看到我們畫面中間下面這邊是日系車企的一個還是我們集團主要的一個客群
[734.24-737.24] 日系車企這邊的占比來到了46%
[737.24-739.24] 那裡面最大的還是日產
[739.24-744.24] 日產的話它的內外銷比例大概是1比2
[744.24-750.24] 那其他的也包含像豐田本田還有SUBARU這邊都是我們的供貨客群
[750.24-755.24] 那再來我們來到了畫面的右邊這邊是歐美車企
[755.24-758.24] 歐美車企我們目前供貨的占比大概占25%
[758.24-762.24] 包含了像內銷的有上汽大眾一汽大眾沃爾沃這些合資品牌
[762.24-763.24] 那也包含了像外銷的有上汽大眾一汽大眾沃爾沃這些合資品牌
[763.24-764.24] 那也包含了像外銷的有上汽大眾沃爾沃這些合資品牌
[764.24-765.24] 那也包含了像外銷的有上汽大眾沃爾沃這些合資品牌
[765.24-766.24] 那也包含了像外銷的有上汽大眾沃爾沃這些合資品牌
[766.24-767.24] 那也包含了像外銷的有上汽大眾沃爾沃這些合資品牌
[767.24-771.24] 克萊斯二就等於是我們現在目前集團的第二大的一個供貨客群
[771.24-783.24] 那這邊要特別再補充說明一下就是內外銷對內外銷的一個定義其實是指的是我們供貨的地點如果是在非中國的話
[783.24-784.24] 我們就是把定義成外銷
[784.24-786.54] 那17生產地點有可能是中國
[786.80-789.10] 也有可能是墨西哥的生產區點
[789.62-795.00] 那這部分的話應該就跟我們現在這個現在最新的一個話題關稅這個其實是蠻有相關的
[795.24-800.88] 針對我們在蘋果這邊的供貨,我們會在後面這邊比較做一個通膨性的說明
[802.42-808.56] 再來我們講完了日系還有歐美車系,接下來是集團,來到我們集團目前獲利成長
[808.56-812.66] 成長的一個比較大的重點就是中國車企這邊
[812.92-814.70] 也就是說我們說的自主品牌
[814.96-819.06] 我們可以看到中國車企這邊第一名的就是現在中國賣最好的BRT
[819.32-822.38] 那營收佔比已經來到我們營收的10%
[822.64-824.68] 那也成為了我們的第三大客戶
[825.20-828.28] 那現在長城呢長城的營收大概7%
[828.52-830.84] 那也是我們的第四大客戶
[831.08-832.36] 可以看到這個
[832.62-837.24] 中國車企這邊我們已經其實已經成功打入他們幾個比較主力的一個
[837.48-838.00] 中國車企
[838.26-838.52] 那目前
[838.76-842.14] 目前的營收佔比上也是佔等於說總共佔28%
[842.40-844.70] 已經超過了歐美車企這邊的25%
[848.04-852.12] 好那我前面有答應各位要跟各位分享的是我們這
[852.38-854.44] 這幾年來就是一個我們
[855.20-855.72] 日系
[855.96-858.02] 還有中國車企的一個
[858.28-859.56] 就是演變的一個
[859.80-863.64] 演變的一個狀況,大家可以看到畫面左邊這邊
[863.90-867.24] 我給各位統整的是我們近五年來
[867.48-868.26] 就是
[868.46-872.10] 我們的客群演變,大家可以看到畫面最左邊這邊的是
[872.36-874.92] 2020年的時候的一個客群佔比
[875.18-877.48] 當時的日期大概還有75%的
[877.74-879.26] 我們在我們營收佔比
[879.52-884.64] 那到了2024年的時候其實已經跌到剩46%了,跌了大概三成
[884.90-890.02] 那相對中國車企這邊呢原來在2020年的時候大概只有7.62%
[890.54-894.62] 那到了2024年的時候已經來到27.73%接近28%
[894.88-897.70] 所以這之間的一個佔比的一個
[897.70-900.52] 變化其實也反映了我們集團在
[900.78-906.92] 日系這邊還有歐美系可能在大陸這邊有一個下滑狀況,我們也做了一定的一個客群調配的一個轉型
[907.18-913.32] 那這個轉型到目前2024年呈現出來的結果其實也看到我們的客群分佈
[913.58-914.34] 其實已經
[914.86-918.70] 相較以前已經做了一個比較平均的分配
[919.20-922.54] 而且那在2024年的時候有一個比較好的一個消息是
[922.78-927.66] 我們在2024年整年的一個接的訂單量是我們這麼多年來一個算是一個比較平均的分配
[927.90-930.26] 比較最高的一個成績
[930.52-933.08] 那這個2024年接到的訂單呢
[933.34-935.64] 我們通常車企的一個
[935.90-941.78] 慣例都是我們接到訂單之後還要配合車廠裡面去做一個開發,這個開發過程
[942.04-946.38] 直到量產之前就可能會有一個12到18個月的一個開發週期
[946.64-949.20] 所以我們2024年接到訂單期待是在
[949.46-953.04] 2025年這邊可以有一個可能陸續的一個
[953.30-956.88] 營收的一個堆疊爬升效果,那在2027年呢真正
[957.90-959.24] 達到一個營收的高峰
[959.50-961.02] 當然我們在2025年還是會持續的
[961.28-964.86] 努力去做一個接單的工作為我們的營收去持續做一個堆疊
[968.10-975.10] 那畫面右邊這邊也呈現的就是在我們以前的接單的這個一個營收堆疊的一個效果
[975.36-977.66] 就是在我們今年1到3月的時候可以看到的是
[977.92-981.76] 我們2025年1到3月,那2024年1到3月的一個比較
[982.02-983.82] 其實已經呈現了一個
[984.06-986.62] 就是年增和月增的一個效果
[986.88-987.66] 那後面的部分
[987.90-991.28] 我們也可以持續來觀察就是這個營收一個堆疊效果到底
[991.54-994.36] 可以在2025年呈現出一個怎麼樣的成績
[996.92-998.20] 那接下來的話
[998.46-1001.02] 跟各位分享一下就是我們
[1001.26-1004.08] 目前的幾個比較具代表性的一個產品
[1004.34-1007.16] 首先是日系這邊我們有供貨
[1007.42-1010.22] 像宮田的漢南達也就是TOYOTA HIGHLANDER這邊
[1010.48-1016.62] 我們有供貨的是前後門板,那供應就是成型加上IS膠膜成型
[1017.90-1022.82] 這一台車在大陸這邊也是算是銷量長期來講比較穩定的
[1023.34-1024.36] 那再來的話呢
[1024.62-1026.14] 來到大陸的自主品牌
[1026.40-1028.20] 也就是BRD這邊的熱銷車款
[1028.46-1028.96] 像TANG
[1029.22-1032.04] 那我們有供貨是主副駕門編式條
[1032.30-1035.88] 工藝的話採用的是金屬膠膜,還有膜內成型
[1036.14-1037.66] 所以也是我們的轉印工藝
[1039.20-1044.32] 那再來這個的話比較特別是BRD的一個多車款共用的一個
[1044.58-1046.12] 車載冰箱的一個機構件
[1046.38-1047.40] 運用的工藝是成型
[1047.70-1050.26] 還有塗裝,所以其實我們雖然說我們
[1050.52-1054.86] 長年以來主要主工的是汽車內飾件,但是現在以大陸市場來講
[1055.12-1061.26] 其實內部不只要有內飾件的夾飾,其實還有可能一些很多具工人的東西,像是冰箱啊
[1061.52-1066.38] 或是柴電、電視啊,還有就是可能具有按摩工人的一些座椅啊這些
[1066.64-1069.46] 那我們可以看到其實在大陸的整個車市裡面
[1069.72-1073.82] 不只是捲價格啦,在價格上大家要非常有競爭力,我們
[1074.06-1075.10] 車子裡面的配備
[1075.34-1076.88] 其實大家也開始在做一個
[1076.88-1080.98] 競爭的動作,就是大家可能開始有軍備競賽的感覺
[1081.48-1085.84] 這些可能是在相較於台灣這邊測試一個比較明顯的一個不同
[1088.40-1091.22] 接下來這個是長安汽車的一個發光車標
[1091.48-1097.62] 那這個發光車標其實可以說是我們集團這邊我前面有提到,就是我們傳統工藝和新的工藝這邊
[1097.88-1101.46] 不會有消失的問題,反而可能可以做一個
[1101.72-1103.24] 相輔相成的一個結合
[1103.50-1106.84] 那這個發光車標運用就是我們集團這邊比較特有的一個
[1107.14-1107.90] 透光的膠膜
[1108.16-1110.72] 搭配他的這個發光車標等於說
[1110.98-1114.82] 發光這種新工藝配合上我們膠膜工藝的一個具體體現
[1117.12-1123.26] 那接下來呢這個來到我們集團講,發光工藝可能一個比較大的一個重點的一個產品
[1123.52-1127.10] 這個部分主要是我們跟日系這邊有非常密切的一個合作
[1127.36-1131.96] 那利用我們專門的一個mini LED燈還有膠膜或是皮革透光的技術
[1132.48-1135.56] 那開發出的這一款就是本田在大陸這邊的
[1135.80-1136.84] 市場代號S7E
[1137.08-1141.24] 以前是還有一個中文代號叫夜燈,一個火在一個中華的火
[1141.48-1147.64] 但是後來市場覺得就是電動車有火在裡面不太好,所以後來大陸不叫夜燈,就是叫S7P7
[1148.14-1154.28] 這台車子也是我們目前的一個光運,就是我們集團光雲美口號的一個典型產品,目前已經開始
[1154.54-1155.56] 大量量大貨
[1155.82-1161.96] 目前在我們集團的一個營收的一個貢獻裡面有比較大的一個營收貢獻
[1162.22-1166.06] 我們這邊供貨的是主副駕還有中控式版的一個
[1167.08-1168.68] 一個Mode型的一個
[1168.92-1171.74] 飾板,然後它的發光都是我們這邊來供貨的
[1172.52-1176.86] 這邊是有一個影片,可能不是很清楚,大家可以稍微看一下
[1178.14-1179.42] 可以看到這邊的一個
[1181.22-1181.72] 門飾板
[1183.78-1186.08] 光彩亮,不好意思,可能看不太出來
[1186.34-1188.38] 但是這個走向門飾板這邊
[1188.64-1192.48] 這樣一個Mode型其實都是它自己運用了我們皮革透光的技術
[1192.74-1196.84] 跟市面上這邊的一個LED燈,燈帶或燈條發光是完全沒有問題的
[1197.08-1198.16] 全部一樣的一個效果
[1198.42-1202.52] 我們這邊運用的是皮革透光,在市面上也是一個比較獨有特別的一個技術
[1204.56-1207.64] 那當然其實這種發光產品,那因為它
[1207.88-1208.40] 其實
[1208.66-1216.84] 發光裡面就是有一個高單價的特性,所以我們也期待就是未來越來越多這種我們光雲美的一個結合的一個產品推出之後
[1217.10-1221.46] 可以為我們的營收還有獲利這邊來帶來一個比較好的一個表現
[1226.88-1228.92] 那講到光雲美的產品呢
[1229.18-1234.30] 其實前面我有跟各位提到,因為光雲美的產品我們要具備跟以前
[1234.56-1241.72] 傳統家事是一個完全不一樣的概念,所以這部分我們其實是花了很多,很大的心力還有很大的一個身分
[1241.98-1245.06] 在做一個整體核心技術的掌握
[1245.32-1248.90] 所以可能在之前幾年,雖然我們一直有喊出這個口號,但是
[1249.16-1253.00] 實際可能有貢獻的營收,或是說甚至有結到的答應都不是
[1253.50-1254.28] 不是很有感覺
[1254.52-1256.84] 那比較好的是在2024年我們可能具體的
[1257.08-1259.70] 在結單上上面也有一個比較好的成績
[1259.96-1263.02] 目前有五款車是跟光雲美有相關的一個
[1263.28-1266.60] 五款產品是跟光雲美有相關的一個結合
[1266.86-1273.00] 那這部分呢我們也期待就是因為光雲美這個產品發光然後高單價的特性
[1273.26-1274.04] 可以為在未來
[1274.28-1278.12] 等他開發週期結束達到量產節點的時候,為我們的營收做一個
[1278.38-1278.90] 貢獻
[1279.16-1282.74] 但同時呢我們其實更注重的也包含了就是
[1283.00-1283.50] 因為要
[1284.02-1286.84] 這些光雲美的產品是一個在市場上是一個非常
[1287.08-1289.70] 非常新的東西,我們期待透過這些產品的量產
[1290.20-1290.72] 那
[1290.98-1293.54] 等於說為我們的技術來做一個打底
[1294.30-1299.42] 加上我們一個量產的工藝還有一個品質管控這邊來做一個
[1299.68-1300.70] 最有效的打底
[1301.22-1305.32] 那為我們未來等於說集團這邊有越來越多的發光產品的話
[1305.56-1308.38] 可以讓我們在市場上表現一個更好的競爭力
[1308.64-1310.94] 這也是我們重點需要看到的
[1313.50-1316.84] 前面跟各位介紹完了公司目前的一個
[1317.14-1320.20] 建況,那我們也來看一下目前市場上的一個動態
[1320.72-1326.86] 畫面的左邊這邊上下圖,額外我是列出了就是等於說五年前和五年後中國車市
[1327.12-1328.92] 這邊一個前十大車廠
[1329.16-1331.22] 就是下輛前十大車廠的一個
[1331.48-1335.06] 演變圖,畫面下面左下角這邊是五年前
[1335.32-1337.88] 五年前我們看到前十大的一個
[1338.12-1340.44] 車企大概都是合資品牌
[1340.94-1345.04] 像是大眾啊,歐美系的或日系這邊
[1345.30-1346.06] 比亞迪在哪裡?
[1346.32-1346.84] 完全沒有
[1347.14-1349.70] 我們看到五年前比亞迪是沒有進入前十的
[1349.96-1356.10] 那到了畫面上這邊是目前2024年的一個前十名的一個消貨狀況,我們可以看到
[1356.36-1360.44] 中國自己自主品牌的車企已經佔據了前十裡面的大部分
[1360.70-1364.28] 反而是歐美系和日系被洗出去了好多個
[1364.54-1369.16] 所以這就是這五年內中國車企中國車市一個翻臉覆地的變化
[1369.40-1375.56] 這個在其實在這個汽車產業是比較少見的一個狀況,因為我們知道汽車產業其實相對來講應該算是一個比較穩定
[1375.80-1376.84] 你要進入這個
[1377.08-1381.24] 汽車產業的投入成本,進入門檻其實都是非常高的
[1381.48-1383.80] 但是也因為就是現在電動車的一個崛起
[1384.04-1386.86] 然後加上中國大陸政府這邊的一個補貼,所以
[1387.12-1388.14] 有很多
[1388.40-1393.00] 原來可能沒辦法進入車企的這些企業都進入了電動車,新能源的這個
[1393.26-1393.78] 車企
[1394.04-1395.82] 那也就造就了目前中國
[1396.34-1398.38] 車市的一個有點像戰國時代的感覺
[1398.90-1402.48] 但好也就好在說我們的產品其實在新能源或是
[1402.74-1406.84] 傳統的油車這邊都是可以供應的,因為我們做的
[1407.08-1407.90] 汽車內飾件
[1408.16-1410.46] 其實不僅限於新能源車或是油車
[1410.72-1412.00] 是都可以做供貨
[1412.26-1414.56] 所以到畫面右邊這邊我們也可以看到
[1414.82-1417.12] 目前標黃色的這邊就是我們在
[1417.38-1421.98] 前20大中國目前銷量前20大有去做配套供貨的一些
[1422.24-1423.00] 車型
[1423.26-1425.82] 剛才長安車標這款車就在
[1426.08-1427.10] 我們這邊的第10名
[1427.62-1429.66] 一個月銷量也只有2萬台以上
[1434.52-1436.84] 那接下來是目前車市一個
[1437.14-1440.98] 對未來的一個預估,這個資料都是來源於網路的一些
[1441.24-1444.04] 觀察的相關的一些研究報告
[1444.30-1450.44] 那首先中國車市這邊的話我們可以看到2024年的話他的銷量是3143萬台
[1450.96-1457.10] 到了2025年的時候他預估是會有大概5%的一個成長,達到3290萬台
[1457.36-1463.50] 那大家可能會有一個疑問是目前中國我們看到一個狀況都是可能內需有點不正
[1463.76-1465.04] 消費有點不正的一個狀況
[1465.56-1466.58] 這個成長是不是
[1467.14-1468.42] 合理的一個預估
[1468.68-1472.00] 其實我認為是我們可以從這個角度去解釋
[1472.26-1474.82] 如果以我們網路上的一個
[1475.08-1480.44] 調查報告我們來看,美國這邊的每一千人他擁有的車子的台數是870台
[1481.22-1483.78] 那中國這邊是多長了,是312台
[1484.04-1489.92] 這中間的差距即便是考量就是兩國之間的一些基礎建設還有人民消費力的一個
[1490.18-1495.56] 差距其實都,我們都認為其實中國的車市這邊還是有一個比較充足的成長土壤
[1496.06-1496.84] 所以
[1497.14-1500.72] 銷量有這樣子的預估我們也不會感到很意外
[1501.24-1504.56] 那再來畫面下面這邊就是全球車市的一個預估了
[1504.82-1509.94] 我們可以看到2025年的時候,預估銷量總銷量會來到8900萬台
[1510.20-1513.52] 那可以看到也是終於回到了疫情前的一個水準
[1514.04-1518.38] 然後這之中呢我們可以看到另外觀察到就是新能源車的部分
[1518.64-1524.28] 其實是除了中國市場以外其他的市場都有一個放緩的一個跡象
[1524.52-1526.32] 這個也值得我們後續再觀察
[1526.88-1533.02] 好那最後跟各位總結一下目前的一個市場的一個預估
[1533.28-1534.04] 未來一個狀況
[1534.30-1538.40] 首先中國市場這邊因為我們主要的市場還是正中國這邊
[1538.66-1543.00] 那我們可以看到的是市場競爭力會非常激烈
[1543.26-1547.88] 車款不管是在銷售價格啊或是我們剛剛講到的那些配備上面來講
[1548.12-1551.20] 都還是會呈現一個軍備替代
[1551.46-1553.00] 互相內捲的一個效果
[1553.50-1556.84] 即便是現在我們觀察到就是有一些小的車企
[1557.14-1559.70] 或是一些供應商可能因為撐不住了
[1559.96-1563.02] 倒閉的這個狀況但是競爭還是會非常激烈而且
[1563.28-1567.64] 內捲營養會持續這個部分是我們可能可以看到的一個
[1567.88-1569.68] 還是會面臨比較大的一個競爭
