[0.00-2.82] 各位投資先進
[1255.24-1260.24] 就乘上貼線率的那個9.5%出來大概是830億
[1260.24-1267.24] 那另外就是2024年我們之前的這些預期的這個計算假設
[1267.24-1274.24] 滾入2024年的這個利潤的部分大概是會減少480億
[1274.24-1280.24] 那剩下的部分大概就是有比較minor的包含資料的變動
[1280.24-1282.24] 這個差異大概是-11億
[1282.24-1285.24] 那投報率我剛剛提到就是大概只有一個BP
[1285.24-1290.24] 所以這投報率的影響數大概Roughly大概40億左右變動不大
[1290.24-1295.24] 那另外計算假設的變動有減少360億
[1295.24-1298.24] 那計算假設變動主要受幾個原因
[1298.24-1301.24] 第一個是解約率的部分
[1301.24-1306.24] 在去年有比我們的解約假設稍微大一點
[1306.24-1311.24] 所以我們在去年我們在2024年的計算假設
[1311.24-1314.24] 我們也把解約率的部分再把它調高
[1314.24-1322.24] 所以這個部分的影響大概是40億左右的這個影響
[1322.24-1328.24] 那另外就是有那個宣告利率的部分
[1328.24-1333.24] 宣告利率的部分我們有把宣告利率拉高
[1333.24-1336.24] 所以這整個宣告利率大概有
[1336.24-1340.24] 對不起剛剛解約率的部分大概是影響了400億
[1340.24-1342.24] 負的400億
[1342.24-1348.24] 那宣告利率的部分大概是我們有拉高了大概有兩次的調整宣告利率
[1348.24-1353.24] 那個部分也是一個負面的影響大概是影響了70億
[1353.24-1359.24] 但是匯率的部分因為台幣從30.7貶到32.8
[1359.24-1362.24] 那這個部分大概有正貢獻180億
[1362.24-1368.24] 所以這個整個計算假設改變負360億的pros and cons大概是這個樣子
[1368.24-1374.24] 那新企業的變動就2023年依照我們
[1374.24-1378.24] 2023年Investigate 6假設初始大概是268億
[1378.24-1383.24] 那當然我們去年整個銷售量是比我們預期來的高
[1383.24-1389.24] 整體去年2024年的FIP達1541億
[1389.24-1393.24] 那較2023年是增加了210億
[1393.24-1399.24] 這裡面當然主要是美元傳統的這些保單的銷售
[1399.24-1402.24] 尤其下半年是增加蠻多
[1402.24-1405.24] 所以這個銷售量的貢獻大概貢獻了43億
[1405.24-1407.24] 那另外就是商品結構的影響
[1407.24-1410.24] 就整個margin是有上來
[1410.24-1412.24] Intensive FIP的margin
[1412.24-1417.24] 那主要原因是去年的投資型保單相對銷售量比較小
[1417.24-1419.24] 所以傳統型的銷售量比較大
[1419.24-1421.24] 所以傳統的margin比較高
[1421.24-1426.24] 所以這個部分商品結構的影響大概正貢獻了38億
[1426.24-1431.24] 那因此來到2024年的新企業價值
[1431.24-1436.24] 用2023年0倍滴倍率的價值大概是348億
[1436.24-1440.24] 但是我剛剛提到我們計算假設有做一些改變
[1440.24-1443.24] 所以這計算假設的改變之後
[1443.24-1447.24] 會大概減少10億台幣的量
[1447.24-1449.24] 那主要計算假設的改變
[1449.24-1455.24] 大體上主要影響的是宣告利率的影響
[1455.24-1458.24] 這宣告利率的影響大概影響10億左右
[1458.24-1461.24] 那因此整個2024年
[1461.24-1464.24] 用最新的2024年0倍滴倍率的假設
[1464.24-1468.24] 那新企業價值是338億
[1468.24-1471.24] 那後面的大概我們附上了
[1471.24-1474.24] 包含投資報酬率的敏感度分析
[1474.24-1477.24] 還有貼信率的敏感度分析
[1477.24-1480.24] 這個如以前大概給大家參考
[1480.24-1483.24] 那也羅列了出來這些同期比較的數字
[1483.24-1487.24] 那這個部分就請投資人參考我們附的這些比較
[1487.24-1491.24] 那以上就是國泰人壽2024年底的這個
[1491.24-1494.24] intel-Value的一個簡單的報告
[1494.24-1495.24] 謝謝
[1498.24-1501.24] 以上是今天法順會的報告
[1501.24-1502.24] 接下來開放提問
[1502.24-1506.24] 我們請李總經理跟各子公司的發言人上台
[1517.24-1521.24] 歡迎在現場以及線上的投資朋友
[1521.24-1524.24] 媒體朋友參加國泰金控
[1524.24-1527.24] 2095年第一季的法說會
[1527.24-1530.24] 那我們還是跟過去一樣
[1530.24-1533.24] 我們先開放現場的朋友提問
[1533.24-1535.24] 指揮官的提問
[1535.24-1537.24] 那現在我們就先開放
[1537.24-1538.24] 我們先開放
[1538.24-1539.24] 我們先開放
[1539.24-1540.24] 我們先開放
[1540.24-1541.24] 我們先開放
[1541.24-1542.24] 我們先開放
[1542.24-1543.24] 我們先開放
[1543.24-1544.24] 我們先開放
[1544.24-1547.24] 我們先開放現場的朋友提問
[1547.24-1550.24] 之後再開放線上的朋友提問
[1550.24-1553.24] 那針對剛剛財務長所報告的簡報以及
[1553.24-1557.24] 稻田植物所報告國泰人壽的精算報告
[1557.24-1560.24] 不曉得各位先進有沒有哪一位要先提問的
[1560.24-1562.24] 哪一位要先來的這邊請
[1570.24-1572.24] 你好這裡摩根大通證券
[1572.24-1574.24] 幾個問題想要請教
[1574.24-1577.24] 先問一下銀行這邊可不可以跟我們說一下
[1577.24-1581.24] 第一季的收入收入跟調整後的NIM大概是多少
[1581.24-1585.24] 因為想理解一下那個銀行投資收益這邊
[1585.24-1587.24] 因為調比較多就同比調比較多
[1587.24-1590.24] 不曉得說是因為收入收入的關係
[1590.24-1593.24] 還是說是債券這邊的交易力的
[1593.24-1595.24] 下降比較多的關係
[1595.24-1598.24] 然後人壽這邊的話
[1598.24-1600.24] 可不可以跟我們說一下
[1600.24-1605.24] 就是EV這邊的Cost of Capital下降
[1605.24-1609.24] C3調整的影響數大概是多少
[1609.24-1611.24] 是不是主要的一個影響
[1611.24-1616.24] 然後另外想問兩個就是接軌的問題就是說
[1616.24-1621.24] 第一個公司接軌17號跟ICS以後
[1621.24-1623.24] 我們還會繼續公佈EV嗎
[1623.24-1626.24] 那對投資人來說的話
[1626.24-1628.24] 衡量保險公司這邊的價值
[1628.24-1633.24] 我們以後應該是要看EV還是看17號下面的
[1633.24-1635.24] Sharehold Equity加CSM
[1635.24-1638.24] 就是哪一個比較適合投資人去做一個
[1638.24-1641.24] 長期公司價值的一個參考
[1641.24-1644.24] 然後第二個部分是我們看到長率現在
[1644.24-1646.24] 就美國這邊的長率
[1646.24-1649.24] 最近都在5%以上
[1649.24-1653.24] 那如果假設到年底都還在5% 6%
[1653.24-1655.24] 這樣子的一個水準的話
[1655.24-1660.24] 我不曉得說接軌上面對我們人壽這邊的
[1660.24-1662.24] 一些主要的一些指標
[1662.24-1666.24] 譬如說淨值或者是其他的一些
[1666.24-1670.24] 它的implication大概是怎麼樣
[1670.24-1671.24] 謝謝
[1676.24-1679.24] 銀行這邊先回答有關投資收益的部分
[1679.24-1681.24] 其中包含了SWAP
[1681.24-1684.24] 還有一些債券跟股票的表現
[1684.24-1687.24] 那我想說今年第一季跟去年第一季
[1687.24-1690.24] 其實整個市場表現就完全不一樣
[1690.24-1692.24] 那今年波動比較大
[1692.24-1694.24] 那相對的我們在SWAP
[1694.24-1696.24] 首先從SWAP開始說起
[1696.24-1698.24] SWAP部分去年第一季如果沒記錯
[1698.24-1700.24] 大概11 12億左右的水準
[1700.24-1704.24] 那今年第一季SWAP大概只有low single digit
[1704.24-1708.24] 所以這邊的相差大概就差了大概10億
[1708.24-1710.24] 10來億左右
[1710.24-1713.24] 那另外其他就是包含您剛剛提到
[1713.24-1716.24] 像債券跟股票這些部位上面
[1716.24-1719.24] 因為今年市場波動比較高
[1719.24-1720.24] 操作上比較保守
[1720.24-1722.24] 所以相對來講這個收益
[1722.24-1725.24] 相對去年的第一季來講稍微低一點
[1734.24-1738.24] 那個我們整個COC的影響
[1738.24-1740.24] 就是我剛剛有特別提到
[1740.24-1742.24] 那它有下降140億
[1742.24-1747.24] 那主要的原因是來自於C3
[1748.24-1751.24] 它不是RBC底下的C3
[1751.24-1758.24] 是來自於ICS就IIS去年2024年正式公布
[1758.24-1760.24] 它最終的版本底下
[1760.24-1763.24] 那有關利率風險
[1763.24-1767.24] 它把這個long term forward shock
[1767.24-1769.24] 本來是沒有上限的
[1769.24-1771.24] 那那個shock會變很大
[1771.24-1773.24] 那後來它有採取我們的建議
[1773.24-1775.24] 就有CAP在15個BP
[1775.24-1777.24] 那這個因為有這個CAP
[1777.24-1779.24] 就會讓我們整個利率風險
[1779.24-1781.24] 其實大幅度的下降
[1781.24-1785.24] 那另外就是本來它有一個情境是twist
[1785.24-1788.24] 那個twist那個因為很不穩定
[1788.24-1792.24] 那後來它考量之後也把twist弄掉
[1792.24-1793.24] 因為twist常常有時候是正的
[1793.24-1794.24] 有時候是負的
[1794.24-1796.24] 然後那個又依照的情境
[1796.24-1798.24] 又會變動非常大
[1798.24-1801.24] 所以最終它也把twist拿掉了
[1801.24-1802.24] 那也因為這樣的關係
[1802.24-1807.24] 所以讓我們整個這個利率風險的資本成本
[1807.24-1810.24] 大概減少了180億
[1810.24-1816.24] 那這個是我想最主要的這個貢獻的來源
[1816.24-1819.24] 那第二個有關這個接軌後
[1819.24-1821.24] 我們還會不會公布
[1821.24-1823.24] 我先講結論
[1823.24-1825.24] 我們覺得接軌後
[1825.24-1828.24] 比較好的評量方式
[1828.24-1829.24] 受險公司
[1829.24-1832.24] 當然其實國際現在也接軌了
[1832.24-1835.24] 那其實也有17號公報
[1835.24-1838.24] 所以其實禁止CSM這個都有
[1838.24-1841.24] 那也有人持續還是公布
[1841.24-1843.24] 其實這個市場都看得到
[1843.24-1846.24] 那最終你問我說
[1846.24-1849.24] 到底市場覺得會用什麼當指標
[1849.24-1852.24] 我覺得這個要交由市場來決定
[1852.24-1854.24] 那個保險公司講的都不算數
[1854.24-1856.24] 就像我們現在一直公布inventive value
[1856.24-1858.24] 老是說市場的multiple
[1858.24-1859.24] 跟我們公布的
[1859.24-1861.24] 它有很大的adjustment
[1861.24-1863.24] 那但是我覺得未來
[1863.24-1865.24] 財道上的數字
[1865.24-1868.24] 我覺得相信比我們inventive value
[1868.24-1870.24] 會更accountable
[1870.24-1871.24] 怎麼說
[1871.24-1873.24] 就是第一個禁止的部分
[1873.24-1875.24] 那個我想是
[1875.24-1878.24] 就跟現在這個禁止的部分相對是明確的
[1878.24-1881.24] 那因為CSM的這個部分
[1881.24-1884.24] 它是一個比較客觀
[1884.24-1888.24] 沒有像VNB或Value Enforced
[1888.24-1891.24] 它會有公司的投報率的假設
[1891.24-1893.24] 那因為投報率的假設
[1893.24-1894.24] 我覺得這個部分
[1894.24-1896.24] 尤其在台灣
[1896.24-1901.24] 我覺得長期又很容易受到匯率的變動
[1901.24-1902.24] 那個避險成本等等
[1902.24-1905.24] 還有這些這個
[1905.24-1908.24] 這個我們大部分投到美元債
[1908.24-1909.24] 那相對來講
[1909.24-1910.24] 這整個投資收益的波動
[1910.24-1913.24] 我想市場對這個discount是很大
[1913.24-1914.24] 但是未來
[1914.24-1916.24] 因為我們CSM的出發
[1916.24-1918.24] 它實際上是沒有牽涉到投報率
[1918.24-1920.24] 它全部都是無風險利率
[1920.24-1921.24] 加上流動性貼稅
[1921.24-1923.24] 所以那個是全市場一次的
[1923.24-1927.24] 那這個部分我覺得相對是比較客觀
[1927.24-1929.24] 所以這個數字出來的CSM
[1929.24-1931.24] 我覺得它的參考價值
[1931.24-1933.24] 會比Value Enforced
[1933.24-1935.24] 來得有參考價值
[1935.24-1937.24] 所以初步而言
[1937.24-1940.24] 我覺得拿股東權益
[1940.24-1943.24] 再加上稅後的CSM
[1943.24-1949.24] 這個相對來講是比較容易允當表達
[1949.24-1952.24] 公司在目前這個階段
