[0.00-4.22] 好
[697.44-701.44] 世界钢铁协会认为
[701.44-706.40] 当然需求力大红今年可能会有逐渐的回升
[706.40-711.20] 那中国大陆当然他现在一直在推动换融政策
[711.20-713.84] 有可能会带走他的进度需求
[714.72-716.72] 但是他现在的发展还是比较强的
[716.72-722.00] 但是比较另外一个变数就是美国加深了25%的关税
[722.00-725.72] 这整个钢铁的影响这个还是要观察
[725.72-730.72] 当然这对美国当地的当场应该是立即正面的影响
[730.72-737.72] 至于整个消亡美国的这些国家的标准会不会改变
[737.72-741.72] 这个就是另外一个要长期追踪的变数
[741.72-742.72] 那钢铁协会是预期今年的时间是多少年了呢?
[742.72-743.72] 那钢铁协会是预期今年的时间是多少年了呢?
[744.72-748.72] 那么国家的需求会增加大概1700万元
[748.72-759.72] 那当然近期大家最关注的除了关税之外就是无二战争的进度
[759.72-764.72] 那如果他现在传出有终止、露出曙光
[764.72-768.72] 这个重建的需求应该是市场上大家都很期待的
[768.72-771.72] 那所以势必会影响整个钢铁价格的一个变动
[771.72-772.72] 那如果他现在传出有终止、露出曙光
[772.72-773.72] 這個變動
[777.08-778.48] 接下來我們看到
[778.48-781.48] 全球主要國家出方的生產佔比
[781.48-783.68] 這個大概沒有什麼變化
[783.68-785.98] 還是中國大陸佔了15%
[790.24-792.04] 我們看到原料的走勢
[792.52-795.64] 廢鋼跟鐵礦石這樣的一個變動
[796.12-799.44] 這個藍色的鐵礦砂
[799.44-801.72] 去年年初
[801.72-806.20] 大概是140元美金
[806.84-811.80] 然後一直跌到年底剩下的99美金
[812.36-814.20] 那今年大概
[814.56-818.12] 到目前為止大概106、108
[818.12-820.08] 有消息的一個回升
[820.72-823.12] 那廢鋼的部分呢
[823.12-826.32] 就是去年2024年5月
[826.32-827.32] 大概
[827.40-829.32] 已經是420
[829.32-831.32] 到年底來到360
[831.32-832.72] 現在差不多360
[832.72-834.92] 所以廢鋼的變動是比較
[834.92-836.92] 也是下跌
[836.92-838.92] 但是它的跌幅跟鐵礦砂不同
[838.92-842.32] 鐵礦砂去年一整年跌了大概29%
[842.32-845.32] 那廢鋼大概跌了15%
[845.32-849.32] 所以這連動的一個高爐的價格
[849.32-852.32] 包含小鋼杯包含產品的價格
[852.32-858.32] 在去年高爐為主的一個供給
[858.32-861.28] 它的價格確實是會比較有競爭力的
[861.32-866.32] 所以這跟後面有一些相關的分析都會有相關的
[866.32-870.32] 那我們看到它原料的走勢
[870.32-872.32] 其實剛剛已經報告了
[872.32-874.32] 就是去年幾乎都一下子也漏到了
[874.32-876.32] 那成品也是一樣
[876.32-879.32] 以大陸爐爐為代表
[879.32-881.32] 大陸的爐爐也好
[881.32-883.32] 鋼配也好
[883.32-885.32] 鋼品也好
[885.32-887.32] 大概跌5%到16%
[887.32-889.32] 就是年初到去年底
[889.32-891.32] 那現在這個位置大概跟
[891.32-893.32] 去年底差不多
[893.32-897.32] 但是它是在其實今年的1月下旬
[897.32-900.32] 然後呢2月的時候有一個上漲
[900.32-904.32] 但是還是跟年底差不多
[904.32-907.32] 所以說這一個價格回升的力道
[907.32-909.32] 事實上現在沒有很明顯
[909.32-911.32] 就是在中國大陸的部分
[917.32-920.32] 接下來我們看中國的進出口狀況
[920.32-922.32] 首先我們看到它的出口
[922.32-924.32] 中國大陸的出口
[924.32-927.32] 月均量926萬噸
[927.32-931.32] 也就是說去年一整年出口的1.11億噸
[931.32-935.32] 以2023年成長了22%
[935.32-939.32] 這個是我們可以往上看
[939.32-942.32] 這是放2016年以來的
[942.32-944.32] 新高
[944.32-947.32] 上一次過億了
[947.32-950.32] 是在2015年
[950.32-955.32] 所以可以想像說整個的鋼價
[955.32-957.32] 在去年壓力是相當大的
[957.32-959.32] 那尤其在第四季
[959.32-961.32] 第四季的出口量
[961.32-963.32] 大概3000萬噸
[963.32-965.32] 所以是歷史前高
[965.32-968.32] 那大陸的
[968.32-970.32] 因為它的產量
[970.32-972.32] 在我剛有報告的上半年
[972.32-974.32] 出口產量大增
[974.32-976.32] 下半年減差
[976.32-978.32] 但是鋼價是一路下跌
[978.32-980.32] 在去年9月的時候
[980.32-982.32] 大陸鋼價是放下7年
[982.32-984.32] 可能性低
[984.32-986.32] 雖然我剛也有說明了
[986.32-988.32] 10月雖然有一個反彈
[988.32-990.32] 但是還是第四季
[990.32-991.32] 遇震法例
[991.32-994.32] 所以它第四季出口還是相當大
[994.32-996.32] 那今年
[996.32-997.32] 價格到目前為止
[997.32-1000.32] 大概也是算持平
[1003.32-1004.32] 這個走勢圖
[1004.32-1005.32] 大家可以看得到
[1005.32-1009.32] 當然去年整個就是大幅的往上
[1009.32-1011.32] 那它去年剛有講
[1011.32-1013.32] 綜合它的供給跟它的出口
[1013.32-1014.32] 它的供給
[1014.32-1017.32] 出鋼少了1700萬噸
[1017.32-1020.32] 但是它出口增加了2000萬噸
[1020.32-1022.32] 這樣就可以看得出來
[1022.32-1024.32] 它的內需的體肉程度
[1027.32-1029.32] 接下來我們看看它的出口
[1029.32-1031.32] 中國大陸的出口
[1031.32-1033.32] 首先看到產品出口
[1033.32-1036.32] 就盡量925萬噸
[1036.32-1038.32] 剛剛講了成長它其實22%
[1039.32-1042.32] 不只它成品大幅的出口
[1042.32-1043.32] 它半成品
[1043.32-1045.32] 每個月51萬噸
[1045.32-1049.32] 成長了101.3%
[1049.32-1050.32] 這個
[1050.32-1052.32] 我們跟2023年比
[1052.32-1053.32] 跟2022年
[1053.32-1057.32] 這個增加量是相當的大量
[1057.32-1060.32] 那原因就跟我剛講的都一樣
[1060.32-1064.32] 其實高農原料下降的優勢
[1064.32-1067.32] 再加上它的供需的差異很大
[1067.32-1068.32] 所以它也
[1068.32-1071.32] 就是你出口的導向來去化它的產品
[1071.32-1074.32] 所以我們都顯現在這邊的數字
[1074.32-1076.32] 那進口的部分
[1076.32-1077.32] 就是很必然的
[1077.32-1078.32] 它就是減少
[1078.32-1079.32] 所以
[1079.32-1081.32] 原因就跟剛剛報告的都一樣
[1081.32-1084.32] 內需比較差
[1087.32-1091.32] 那我們看到它的廢鋼的進口走勢
[1091.32-1093.32] 因為高農原料有優勢
[1093.32-1094.32] 而且它環國營求
[1094.32-1097.32] 所以它廢鋼的需求很少
[1097.32-1099.32] 所以它的進口量不止有4萬噸而已
[1099.32-1102.32] 對整個廢鋼市場沒有什麼影響
[1105.32-1107.32] 接下來我們看臺灣
[1107.32-1110.32] 臺灣的進出口的狀況
[1110.32-1111.32] 首先看到進口
[1111.32-1113.32] 你可以看到廢鋼的部分
[1113.32-1117.32] 廢鋼22萬7000噸
[1117.32-1122.32] 比前年減少了大概12.4%
[1122.32-1126.32] 那同樣的小搭配是增加了4.3%
[1126.32-1128.32] 現在我們會報告鋼晶
[1128.32-1130.32] 給我們一個表面消費量
[1130.32-1134.32] 因為大概主要的廢鋼還是
[1134.32-1138.32] 廢鋼跟小搭配跟鋼晶的供應銷售
[1138.32-1141.32] 大概連結性比較強
[1141.32-1143.32] 鋼晶的表面消費量
[1143.32-1147.32] 其實在去年一整年還是維持相對的高檔
[1147.32-1150.32] 所以需求是
[1150.32-1154.32] 鋼晶的需求是還去年是還存在
[1154.32-1156.32] 但是因為
[1156.32-1158.32] 廢鋼的跌幅
[1158.32-1165.32] 就是小於高瓦的鋼鋼砂以及煤炭
[1165.32-1167.32] 所以小搭配的競爭優勢
[1167.32-1169.32] 有價格的優勢
[1169.32-1172.32] 所以臺灣也進口了比較多的小搭配
[1172.32-1175.32] 來取得部分的廢鋼
[1175.32-1181.32] 那H型鋼大概也成長了24.8%
[1181.32-1183.32] 這大概就是價格的狀況
[1183.32-1186.32] 就是進口跟國內的價差比較大
[1186.32-1188.32] 進口量比較大
[1188.32-1193.32] 跟2022年比也是成倍的增加
[1193.32-1195.32] 那接下來是看到盤圓
[1195.32-1197.32] 14里上跟14里下的磁棒
[1197.32-1201.32] 這大概跟我們工業用的相關
[1201.32-1206.32] 鋼鋼鋼石頭帽手工具機械也比較相關
[1206.32-1210.32] 其實去2024年的上半年
[1210.32-1214.32] 這剛講的這三大產業其實它的
[1214.32-1216.32] 整個接單的動能
[1216.32-1221.32] 是還相較於去年下半年是還不錯的
[1221.32-1223.32] 等於是說
[1223.32-1225.32] 個貨接待不錯
[1225.32-1227.32] 那我們這邊的供應
[1227.32-1229.32] 看起來也相對也還不錯
[1229.32-1232.32] 所以它當時的一個進口
[1232.32-1235.32] 都有一個跟著成長
[1235.32-1237.32] 那來到下半年
[1237.32-1240.32] 因為我剛報告過中國大陸的鋼架
[1240.32-1245.32] 是在9月有一個很深的一個
[1246.32-1247.32] 新低嘛
[1247.32-1251.32] 所以說那些價格跟國內的價格也是有攬開的
[1251.32-1257.32] 所以說下游還是去進口一些比較低價的一個產品
[1257.32-1260.32] 所以我們看出來說它本格的一個進口量
[1260.32-1263.32] 其實還是算是成長的
[1263.32-1267.32] 那當然這個狀況到第四季
[1267.32-1269.32] 因為這是1到12月
[1269.32-1273.32] 那第四季看起來這個進口量是有比較減少的
[1273.32-1276.32] 不過它對我們國內鋼廠的一個銷售
[1276.32-1280.32] 政策啦價格啦還是有部分的影響
[1280.32-1286.32] 所以我們的包含中鋼包含我們公司在去年的
[1286.32-1289.32] 第三季的放線的價格
[1289.32-1293.32] 過去做了一些相對應的調降
[1293.32-1295.32] 不是因為這個原因
[1295.32-1298.32] 目前從那一次的調降到現在為止
[1298.32-1301.32] 價格是都一直維持平穩
[1301.32-1305.32] 好
[1305.32-1307.32] 好再來我們看一下出口
[1307.32-1310.32] 那因為國內的
[1310.32-1312.32] 因為國際鋼價下跌
[1312.32-1315.32] 國際鋼價當然就是下跌
[1315.32-1318.32] 出口的價格競爭壓力比較大
[1318.32-1321.32] 所以我們可以看得出來說出口的單價
[1321.32-1325.32] 其實就是很明顯它都是下跌
[1325.32-1331.32] 那但是因為國內的價格優勢不如
[1331.32-1334.32] 國外的一些中國大陸啦
[1334.32-1338.32] 或東南亞的一些高爐的油水的鋼廠
[1338.32-1343.32] 所以我們的出口量大概有約略的一個下降
[1343.32-1349.32] 接下來我們看鋼筋產業
[1349.32-1353.32] 鋼筋產業我們剛剛講過我們的表面消費量
[1353.32-1356.32] 從看2024年的鋼筋表面消費量
[1356.32-1359.32] 是647萬噸
[1359.32-1360.32] 跟2023年比
[1360.32-1362.32] 摔下1.4%
[1362.32-1364.32] 不過這一個數字
[1364.32-1367.32] 但也可以看得出來它還是相對是高大
[1367.32-1371.32] 從2017年回漲以後
[1371.32-1373.32] 已經連續6年的高漲
[1373.32-1374.32] 那是第一次
[1374.32-1378.32] 去年是第一次的小幅的一個下降
[1378.32-1381.32] 這個趨勢
[1381.32-1383.32] 用這個表來看的話
[1383.32-1385.32] 那趨勢是有點改變
[1385.32-1390.32] 那當然這個跟房地產的一個狀況是息息相關的
[1390.32-1392.32] 不過也是要
[1392.32-1398.32] 也是必須要再追蹤跟去觀察
[1398.32-1400.32] 因為去年其實
[1400.32-1402.32] 我們就一直在認
[1402.32-1404.32] 在看到那個
[1404.32-1406.32] 樓地板面積
[1406.32-1410.32] 身體建造樓地板面積就有在下降
[1410.32-1413.32] 但是去年的表銷量也沒有什麼下降
[1413.32-1414.32] 所以它的時間性
[1414.32-1416.32] 跟它的
[1416.32-1417.32] 的關聯性
[1417.32-1418.32] 這個可能沒有直覺的認為它是有下降的
[1418.32-1419.32] 這個可能沒有直覺的認為它是有下降的
[1419.32-1425.32] 就是那麼快的一個反應在需求量上面
[1425.32-1427.32] 所以整體看起來是
[1427.32-1431.32] 它是一個值得注意的一個數字
[1431.32-1435.32] 但是可能還是要逐月或逐季的去看看
[1435.32-1437.32] 實際上鋼琴的需求的變化
[1437.32-1438.32] 目前看起來
[1438.32-1443.32] 大概去年並沒有受到所謂的
[1443.32-1446.32] 前年一個建造
[1446.32-1449.32] 執照的面積
[1449.32-1451.32] 面積量下降或下滑的影響
[1451.32-1452.32] 面積量下降或下滑的影響
[1452.32-1455.32] 面積量下降或下滑的影響
[1455.32-1458.32] 這個就是剛我所引用的資料
[1458.32-1462.32] 說合法建築物建造執照
[1462.32-1467.32] 我們看2022年
[1467.32-1472.32] 到2023年就是有一個比較大的一個下降
[1472.32-1473.32] 這就是我剛剛講的
[1473.32-1475.32] 2023年那時候下降的時候
[1475.32-1477.32] 在幹性會不會影響到您需求
[1477.32-1478.32] 但是在2020年看不出來那個影響
[1478.32-1480.32] 但是在2020年看不出來那個影響
[1480.32-1482.32] 那2024現在是比2023年
[1482.32-1485.32] 大概成長6.7%
[1485.32-1493.32] 當然市場的建築業的熱度感覺是
[1493.32-1496.32] 在地區撥管制之後有一點點
[1496.32-1498.32] 需要冷卻一點
[1498.32-1501.32] 但是你看這個
[1501.32-1505.32] 分解的面積其實它是在2023年之後
[1505.32-1506.32] 有一個止點
[1506.32-1508.32] 有一個回升的
[1508.32-1510.32] 那就是這個現象
[1510.32-1512.32] 那細部的來講
[1512.32-1516.32] 去年整體整年都是增加6.7%
[1516.32-1519.32] 在建築的部分是增加了大概5.5%
[1519.32-1522.32] 那廠房反而是減少2.3%
[1522.32-1527.32] 那第四季跟第三季來比
[1527.32-1529.32] 把第四季跟前面第四季
[1529.32-1534.32] YOY這個建造執照的面積
[1534.32-1537.32] 身體量是成長了13個person
[1538.32-1540.32] 那跟第三季比是大概10個
[1540.32-1543.32] 所以它在第四季跟前面第四季比
[1543.32-1546.32] 它是反而是一個滿正向的
[1546.32-1548.32] 那我們還要看一個
[1548.32-1550.32] 這個上面沒有的一個資料
[1550.32-1552.32] 新開工面積的一個統計
[1552.32-1557.32] 去年跟前年比大概成長了0.2%
[1557.32-1563.32] 那廠房的部分增加比較多是12.6%
[1563.32-1567.32] 那第四季的新開工YOY也是成長了5.2%
[1567.32-1574.32] 那第三季的QOQ來比是衰退了13%
[1574.32-1578.32] 所以純粹看第四季YOY來看的話
[1578.32-1581.32] 建造跟新開工都有成長
[1581.32-1586.32] 這個對鋼機的需求應該有可能有所支撐
[1586.32-1594.32] 這是足跡的一個資料
[1594.32-1595.32] 我們剛剛有講了
[1595.32-1597.32] 第四季比第三季的一個資料
[1597.32-1600.32] 這個數字的變化成長
[1600.32-1602.32] 它跟去年
[1602.32-1604.32] 它跟前年2023年第四季
[1604.32-1606.32] 成長了13個分身
[1606.32-1611.32] 這個當然最主要這些統計資料
[1611.32-1612.32] 我剛剛已經報告過了
[1612.32-1616.32] 其實它在2023、2024對表銷量的一個影響
[1616.32-1618.32] 事實上沒有
[1618.32-1621.32] 沒有完全的
[1621.32-1625.32] 歸納出它的相關點的變化
[1625.32-1627.32] 那
[1627.32-1632.32] 現在的房地產的政策當然還是維持去年
[1632.32-1634.32] 低氣波管制的一個狀況
[1634.32-1638.32] 所以這需要長期的一個觀察
[1638.32-1646.32] 沒有辦法說從這兩個表銷量跟建築業建造的一個合法
[1646.32-1650.32] 能夠斷定的說現在的鋼金需求
[1650.32-1652.32] 是會產生什麼樣的變化
[1652.32-1655.32] 目前可能還是得有逐步的觀察
[1657.32-1661.32] 接下來我們看到銷售量
[1661.32-1665.32] 這是我們公司的銷售量跟國內的市佔
[1665.32-1669.32] 那我們公新2024年的一個銷售量
[1669.32-1671.32] 全年來說
[1671.32-1674.32] 全年
[1674.32-1680.32] 全年是跟2023年比大概是持平
[1680.32-1684.32] 那全國的部分是大概3個
[1684.32-1685.32] 這邊
[1685.32-1686.32] 那跟2023年比的話是大概3個
[1686.32-1689.32] 那用第四季來看的話
[1689.32-1691.32] 第四季
[1691.32-1695.32] YOY是衰退了大概3點多趴
[1695.32-1697.32] 那全國是衰退了6點多趴
[1697.32-1702.32] 所以第四季來說是跟前年比是比較減少了一點
[1702.32-1704.32] 那
[1704.32-1706.32] 去年第四季
[1706.32-1709.32] 大概沒有非常強
[1709.32-1712.32] 跟前年比是比較強的一點
[1712.32-1714.32] 那
[1714.32-1717.32] 跟前年第四季比較強
[1717.32-1720.32] 這個還是有一點點
[1720.32-1723.32] 背景因素有一點點關聯
[1723.32-1726.32] 2023年第四季那時候的
[1726.32-1728.32] 當價在走
[1728.32-1730.32] 走升在走揚
[1730.32-1732.32] 所以它當時對市場的
[1732.32-1736.32] 正面的激勵的效果應該是相對是好的
[1736.32-1739.32] 那去年的第四季的當價是在下跌的
[1739.32-1743.32] 這個難免會造成客戶的一個預期心理
[1743.32-1746.32] 所以它的出貨量會比較少
[1746.32-1748.32] 大概有這樣
[1748.32-1751.32] 我們認為是有這樣子的一個
