[0.00-5.64] 好的
[140.70-142.54] 现在算起来应该是4年前
[142.54-146.22] 我们有发一档20亿台币的CD
[146.22-146.42] 那那个CD在去年2024年去年发了一档20亿台币的CD
[146.42-149.38] 那那个CD在去年2024年去年发了一档20亿台币的CD
[149.42-150.98] 全部转换完毕
[150.98-155.98] 所以股本大家如果有去追踪的话
[155.98-158.94] 原本我们大概是23亿多的台币
[158.94-162.26] 那现在已经成长到25亿多的台币
[162.26-164.10] 那当然股本增加
[164.10-168.02] 其实随着股价的慢慢爬升
[168.02-170.94] 我们的市值也跟着慢慢成长
[170.94-175.02] 所以大家可以看到那个Nauticare市值的部分
[175.02-179.26] 其实已经相当接近10亿美金
[179.42-183.02] 就是一个billion的USD了
[183.02-185.94] 那我们现在就最近股价有一些移动
[185.94-191.66] 所以可能目前大概差不多在920个million
[191.66-193.38] 912的美金左右
[193.38-195.06] 这是我们的市值
[195.06-199.94] 那其实我们是觉得一个billion
[199.94-205.98] 10亿美金的一个市值是一个还不错的一个market cap的一个size
[205.98-209.38] 因为这个对很多外资投资
[209.42-213.26] 来讲的话是一个基本投资的门槛
[213.26-218.54] 那我们希望能够持续的把公司的市值维持在
[218.54-220.70] 看能不能接近超过一个billion
[220.70-222.74] 10亿美金这样的水准
[222.74-227.30] 那我们就可以引进更多的外资投资人进来
[227.30-231.66] 那我们的股价更有成长性跟稳定性
[231.66-235.06] 还有流动性也可以希望可以增加
[235.06-238.98] 那再来就是有关于我们公司
[238.98-242.78] 未来几个主要成长动能的方向的介绍
[242.78-245.38] 在这一页的对象应这边有
[245.38-250.66] 那我想这个AI大家已经都知道了
[250.66-257.42] 这个在科技业界整个AI带动所有科技产品的这个
[257.42-259.94] 应该算是巨量的成长
[259.94-266.90] 这个我想在我们华丽这边也相对可以相对看到一些产品跟着在成长
[266.90-268.54] 那当然
[268.54-272.62] 第一个想到AI直接售贵的就是蛋导体产业
[272.62-276.50] 我想台湾的户口神山群
[276.50-282.58] 整个蛋导体供应链里面所需要的上游原材料
[282.58-288.78] 我们华丽可以说是最完整的一个total solution provider
[288.78-294.06] 所以高阶蛋导体这边持续的演进
[294.06-297.98] 对华丽绝对是有相当大的帮助
[297.98-298.50] 因为
[298.54-302.26] 不仅先进制程的产品大家会提到
[302.26-305.46] 而且量还会在持续的方向上涨
[305.46-309.58] 这个我等一下再做进步的介绍蛋导体的介绍
[309.58-315.06] 那这边大概先基本介绍一下我们的几个成长功能来源
[315.06-317.06] 第一个当然是高阶蛋导体
[317.06-318.66] 当然已经讲很多
[318.66-323.70] 再来就是PCB IC台湾方面的一些材料
[323.70-326.70] 华丽这边也有相对应代理一些
[326.70-327.58] 也是一样
[327.58-328.38] 日文进口的
[328.54-335.46] 一些所谓的弹道PCB印刷电路板或者是主机板的耗材
[335.46-341.86] 我们这边华丽也有相对应进口代理一些除胶的产品
[341.86-344.54] 当然就是AI这刚刚已经讲过
[344.54-347.62] 还有一个所谓的次世代电子产品
[347.62-352.14] 目前在我们营收比重也有相当大的一个分量
[352.14-355.26] 基本上跟各位介绍就是其实就是所谓的讲白话一点叫做
[355.26-355.54] 这个基本上跟各位介绍就是其实就是所谓的讲白话一点叫做
[355.54-356.54] 这个基本上跟各位介绍就是其实就是所谓的讲白话一点叫做
[356.54-357.54] 这个基本上跟各位介绍就是其实就是所谓的讲白话一点叫做
[357.54-358.90] 这个基本上跟各位介绍就是其实就是所谓的讲白话一点叫做
[358.90-361.02] 电子来吧
[361.02-363.46] 就是我们在平面显示器里面
[363.46-365.42] 我们也有带一个
[365.42-368.30] 算是finish product
[368.30-373.10] 就是已经到下流的制成品的一个产品
[373.10-376.38] 营收的量比较巨大
[376.38-382.22] 对于我们的营收的发展的成长贡献也有它一定的分量
[382.22-383.58] 另外像5G
[383.58-384.78] 我想大家都知道
[384.78-386.34] 我就不用再多提
[386.34-387.42] 然后像
[387.54-391.02] 电动车的这个现在未来的储留
[391.02-392.02] 电动车的材料
[392.02-397.10] 我们这边也都有相对应很多的材料在供应
[397.10-398.30] 然后进行下列
[399.58-404.82] 这个是我们在地区别上面的一个营收贡献
[404.82-407.30] 因为刚好现在这个时间点
[407.30-411.34] 我更新到2025的1月
[411.34-417.06] 那这个去年全年的图刚刚过去啊
[417.06-419.06] 因为在上一场的
[419.06-422.82] 可能还是去年全年的一个介绍
[422.82-425.18] 不过我想差别大概不大
[425.18-428.06] 就是右下角这个图的部分
[428.06-432.94] 我这边是先显示我们今年1月的一个
[432.94-435.58] Geographical的一个break down
[435.58-438.22] 那大家可以看到右下角这边
[438.22-441.62] 我们台湾大概还是占主要的营收贡献
[441.62-443.62] 大概有55%
[443.62-447.06] 然后中国那边其实
[447.06-451.54] 都还是有很多的产业都还是持续在成长
[451.54-455.50] 所以大概占比大概接近40%
[455.50-462.94] 然后另外有剩下的差不多10%左右是在来自于我们的所谓的
[462.94-465.50] 东东协就是Asia
[465.50-471.50] 就是东南亚国家SEA东南亚东协的国家
[471.50-474.06] 包括这个所有的越南啊
[474.06-476.06] 泰国新加坡马来西亚
[476.06-477.02] 菲律宾
[477.06-481.38] 这个我们都已经早就在那边都有成立据点
[481.38-483.30] 然后都有在做销售
[483.30-486.50] 那最近因为地缘政治的关系
[486.50-489.62] 所以有所谓的这个transparency
[489.62-496.34] 这个所谓的这个产线风的产线分散风险的一个现象
[496.34-500.34] 所以东南亚那边的成长性也是越来越好
[500.34-502.62] 那大家在这张图上面可以看到
[502.62-506.06] 当然台湾还是我们最主要的营运据点嘛
[506.06-507.06] 所以
[507.06-511.38] 北中南我们都各有销售办公室
[511.38-514.58] 然后另外在高雄我们也打算
[514.58-516.46] 目前已经在进行
[516.46-519.22] 然后快要完成一个南部物流中心
[519.22-522.58] 那个也是配合各户客户的需求
[522.58-526.38] 我们在南部扩大我们的capacity
[526.38-529.50] 其实以华丽V的通货商来讲的话
[529.50-531.34] 我们并不是制造业
[531.34-536.86] 所以我们的capacity可以用一个方式来解释就是这个所谓的
[537.06-538.98] 当储物流的能力
[538.98-543.98] 这个等一下也会有一个专业的投影片跟各位说明
[543.98-549.18] 那另外一个重点就是有关于
[549.18-552.38] 像我们的大客户到日本
[552.38-555.26] 那日本跟美国的据点
[555.26-559.50] 这个那边我们也都有跟着过去
[559.50-562.74] 然后也有相对应的提供一些
[562.74-566.06] 我们可以提供给客户的一些套餐
[566.06-567.06] 客户也已经都可以拿到购物货了之后了
[567.06-568.98] 就开始使用
[568.98-572.06] 那这个是目前在地区
[572.06-575.06] 物区上面的一个简单的一个介绍
[577.26-579.58] 那我刚刚有提到说
[579.58-583.86] 可能很多投资人第一次看到我们所谓的
[583.86-586.42] 华丽这个货物商的时候就会问说
[586.42-587.34] 为什么
[589.02-592.74] 这些供应商就算是来自日本好了
[592.74-595.34] 这些供应商都非常的大
[595.34-595.74] 那
[595.74-598.50] 客户也都很大
[598.50-603.22] 比如说像台湾的代工龙头公司或者是
[603.22-610.10] 这个ODM OEM的这个主要的几个电子五哥等等的这些大公司
[610.10-611.94] 这客户都这么大
[611.94-615.54] 然后供应商可能都是日本的一些大商社
[615.54-616.54] 大制造厂
[616.54-619.22] 为什么他们不能直接做销售
[619.22-621.94] 为什么要有一个这样一个华丽中间人
[621.94-623.10] 货物商的销售
[623.10-624.54] 我想我就
[624.54-625.38] 呃
[625.74-630.86] 这个图在这一页上面我做一些比较进一步的解说
[630.86-632.74] 什么是所谓的华丽的
[632.74-635.14] Value proposition
[635.14-636.18] 这个呃
[636.18-643.86] 首先可以看到大家看到画面上上面的有我们的logo上面有三个这个小人头
[643.86-644.66] 小人
[644.66-648.90] 这个我们其实就是把它叫做MV1工程师
[648.90-654.38] 其实这些MV1工程师就是我们华丽的销售工程师
[654.38-655.58] 好
[655.74-660.34] 其实我们华丽的销售的人员业务人员
[660.34-665.14] 都是具有理工背景知识的一些呃
[665.14-666.22] specialist
[666.22-668.14] 都是一些呃
[668.14-670.66] 这个有专长的一些专家
[670.66-671.42] 哦
[671.42-676.30] 那他们在各个领域都是对这些技术科学
[676.30-676.54] 哦
[676.54-679.30] 还有这个先进的材料
[679.30-679.74] 呃
[679.74-683.38] 都有相对应的一些呃相当的知识
[683.38-688.90] 所以每当我们日本供应商那边有新的材料想要退出
[688.90-694.62] 然后想要呃导入到台湾市场或者是这个大洞华地区的市场
[694.62-702.70] 那我们的销售工程师就会先去日本的呃厂商的这个现场去做呃产品
[702.70-702.98] 哦
[702.98-707.42] 或者这个原材料相相对应的一些呃参数啦
[707.42-709.94] 或者是怎么样去调这个良率啊
[709.94-710.82] 跟配方啊
[710.82-712.54] 还有IP知识啊
[712.54-713.02] 等等这方面啊
[713.02-714.66] 各方面的训练啊
[714.66-718.98] 然后受训完完成回来台湾之后呢
[718.98-725.62] 他他们我们的这些呃华业销售工程师就可以代表呃日本原产
[727.02-734.50] 在客户的研发生产线上面去帮助客户做这个原材料的导入
[734.50-734.70] 好
[734.70-740.42] 因为我们大家都知道原材料从上游要导入的时候
[740.42-742.98] 你可能会需要调很多的参数
[743.02-745.58] 然后还有他的这个knowhow
[745.58-749.18] 然后还有他的整个他的所谓相对应的IP
[749.18-750.82] IP他的智慧
[750.82-753.98] 这个智慧产材权里面的知识到底是什么
[753.98-757.02] 所以我们的销售工程师呢
[757.02-760.14] 就等于是呃客户的FAU
[760.14-762.70] Field Application Engineer
[762.70-765.26] 这个所谓的资产工程师一样
[765.26-768.30] 在客户的呃生产线上
[768.30-772.62] 我们销售人员就会去帮助客户把这个原材料
[773.02-776.38] 顺利成功的导入他的产品线
[776.38-780.06] 以达到客户所需要的良率
[780.06-782.14] 然后这个所谓的大量生产
[782.14-784.30] 然后最后产品的产出
[784.30-791.34] 所以这个呃依供应商跟客户来讲的话
[791.34-796.70] 有华丽这样的一个中间商的角色是对他来讲是很有附加价值的
[796.70-803.02] 因为呃我们毕竟呃我们台湾的公司跟台湾的客户
[803.02-804.86] 或者是中国大陆的客户
[804.86-806.22] 大家同门同走
[806.22-808.30] 哦讲一样的语言
[808.30-810.86] 哦那呃文化也接近
[810.86-813.74] 所以不管是平常在合作上
[813.74-819.34] 或者是呃技术咨询的服务上面都可以做的比日人连长更好
[819.34-820.86] 而且更省成本
[820.86-822.70] 大家你想日本
[822.70-827.66] 呃商社如果要派他们自己的呃工程师来的话
[827.66-829.50] 呃这些expatriates
[829.50-832.86] 这些呃外派人员那个成本一定很高
[833.02-836.54] 哦那相对于我们呃提供在地化的服务的话
[836.54-839.58] 我们成本就可以相对于呃降低
[839.58-842.86] 好那这个就是我们所谓把value proposition
[842.86-843.82] 里面的第一点
[843.82-844.06] 好
[844.06-845.90] 这都叫做所谓的
[845.90-847.98] 呃我们把它叫做
[847.98-850.30] technical consulting service
[850.30-853.34] 哦就是全方位的技术资源服务
[853.34-853.58] 好
[853.58-856.30] 这是我们呃第一个附加价值
[856.30-857.42] 第一个附加价值
[857.42-861.18] 他这也是一个很重要的一个附加价值
[861.18-861.34] 好
[861.34-862.54] 这是第一点
[862.54-862.78] 他
[862.78-873.66] 那第二点就是呃我们在台湾也是在地的呃建立我们的这个所谓整套的物流跟呃仓储系统
[873.66-873.82] 哦
[873.82-877.26] 我们在所有的客户的主要据点
[877.26-882.06] 我们呃都有相对应的仓储仓库仓储
[882.06-882.30] 哦
[882.30-885.98] 然后这个呃这个销售人员
[885.98-887.42] 然后还有存货
[887.42-887.66] 哦
[887.66-891.90] 都就近接近在客户的生产据点附近
[891.90-892.22] 所以
[892.22-892.70] 我们可以
[892.70-894.62] 可以做到这一一的服务
[894.62-894.78] 哦
[894.78-895.58] 叫新看的
[895.58-895.82] 的
[895.82-896.70] newry
[896.70-897.26] 哦
[897.26-899.90] 然后这个另外就是说
[899.90-900.78] 呃
[900.78-902.46] 这个呃
[902.46-904.38] 供应商的方面
[904.38-904.62] 哦
[904.62-907.58] 他们不用为了自己的产品
[907.58-907.90] 哦
[907.90-911.66] 然后专程到台湾来成立他们自己的仓库
[911.66-913.42] 或者是物流系统
[913.42-914.06] 哦
[914.06-921.82] 因为如果呃某一个供应商他自己要到呃台湾这边来销售产品
[921.82-922.54] 他想要做的
[922.54-923.74] 的话
[923.74-928.06] 他自己成立这个呃物流销售系统的话
[928.06-930.14] 那个单位成本一定比较高吗
[930.14-930.86] 哦
[930.86-932.94] 因为他只销售他自己的产品
[932.94-933.50] 哦
[933.50-935.66] 那可是相对应的
[935.66-937.82] 如果我们华丽
[937.82-939.42] 及各家之大成
[939.42-939.82] 哦
[939.82-942.06] 把所有供应商的产品
[942.06-942.30] 哦
[942.30-947.02] 集中在我们的这个呃仓仓库里面的话
[947.02-955.18] 那相对应的他的不管是仓储或者或者是物流的单位成本一定可以下降很多哦
[955.18-960.46] 这个其实就是一个简单的一个呃经济规模的一个概念哦
[960.46-963.10] 那以供应商来讲的话
[963.10-967.26] 另外还有一个好处就是供应商只针对华丽哦
[967.26-968.46] 华丽一个客户
[968.46-970.30] 那我们的配门称哦
[970.30-975.18] 会比他们直接面对直接客户能变成配门的来的好哦
[975.18-976.38] 我们可能呃
[976.38-977.02] 呃
[977.02-979.98] 以我们的等一下也会介绍我们的at
[979.98-980.22] 啊
[980.22-981.18] 就是
[981.18-981.42] 呃
[981.42-983.42] 应收的应付账款的
[983.42-985.82] 等到个对大概是45天
[985.82-986.30] 啊
[986.30-990.06] 那比如如果供应商想要直接面对客户的话
[990.06-995.66] 可能有些客户要马就90天或者甚至到120天都有可能
[995.66-995.90] 好
[995.90-996.94] 所以呃
[996.94-1000.38] 供应商也乐于跟华丽直接交易
[1000.38-1000.62] 啊
[1000.62-1001.42] 然后
[1001.42-1001.90] 呃
[1001.90-1006.94] 我们还有一个重点就是我们跟供应商的这个所谓代理人
[1006.94-1007.02] 呃
[1007.02-1009.58] 关系都是所谓exclusive
[1009.58-1009.82] 哦
[1009.82-1011.82] 就是所谓都是独家的代理
[1011.82-1012.06] 哦
[1012.06-1013.34] 这是一个重点
[1013.34-1014.06] 好
[1014.06-1015.82] 我们呃
[1015.82-1019.26] 供应商只透过我们华丽做销售
[1019.26-1019.98] 好
[1019.98-1024.38] 然后我们也只代理供应商的这支产品
[1024.38-1029.10] 我们不会去代理跟他相竞争的相同的产品
[1029.10-1029.26] 啊
[1029.26-1032.70] 我想这是一个很明显的很简单的一个议题
[1032.70-1035.74] 就是说我们不会有所谓的利益冲突
[1035.74-1036.94] 我们不会今天
[1036.94-1039.74] 又代理比如说我们这一上的光组
[1039.74-1044.38] 然后又去代理另外一家别的厂商的光组
[1044.38-1048.30] 那这个就会有利益冲突问题
[1048.30-1053.90] 因为这个供应商怎么知道我们今天法律是要帮哪一个
[1053.90-1057.74] 哪一家的光组比销售的更用力一点
[1057.74-1063.42] 所以我想这个是一个供应代理商跟供应商中间的一个
[1063.42-1064.86] 独家代理的关系
[1064.86-1066.78] 这也是一个很重要的一点
[1066.78-1072.62] 那另外就是我们跟这些供应商的关系都是非常长期
[1072.62-1078.06] 然后可能都已经是三四十年四五十年以上关系
[1078.06-1082.14] 那这个对日本供应商来讲的话
[1082.14-1085.50] 他们也很重视这样的一个长期伙伴关系
[1085.50-1091.66] 所以基本上这个行业的进入障碍也相当的高
[1091.66-1095.90] 如果你今天是一个就是想要
[1095.90-1096.14] 呃
[1096.14-1096.62] 呃
[1096.62-1096.78] 呃
[1096.78-1100.94] ,第一次进入这个市场的一个竞争对手来讲的话
[1100.94-1103.90] 呃,要进入这个市场的门槛真的很高
[1103.90-1107.50] 你怎么去找到这个这个原厂
[1107.50-1113.58] 然后呃,有办法呃,让他们相信说你已经呃,有这个准备
[1113.58-1115.74] 可以马上把把业绩带给他们
[1115.74-1118.46] 我想这个可能都是一个很大的挑战
[1118.46-1121.74] 所以我们这个行业进入障碍其实也很高
[1121.74-1126.14] 那大概这个就是我们华丽
[1126.14-1129.98] 呃,我刚刚讲有两个重要的这个附加价值
[1129.98-1132.86] 一个就是呃,我最上面讲的这个
[1132.86-1134.62] 这个技术服务服务
[1134.62-1135.58] 这是第一个
[1135.58-1139.90] 那第二个就是整个后勤物流的服务系统
[1139.90-1140.14] 啊
[1140.14-1143.66] 那包括客户也不用背库存
[1143.66-1144.22] 啊
[1144.22-1147.90] 客户就是把原材料的库存放在华丽这边
[1147.90-1148.46] 啊
[1148.46-1150.70] 那华丽随时准备好一个月
[1150.70-1152.22] 超过一个月的库存量
[1152.22-1152.86] 啊
[1152.86-1154.86] 就算客户有鸡蛋啊
[1154.86-1155.98] 或者是
[1155.98-1157.98] 这些order啊rush order啊
[1157.98-1158.54] 这些
[1158.54-1161.90] 都可以随时从华丽这边拿到像他们
[1161.90-1164.30] 相对应需要的材料
[1164.30-1168.70] 那客户也可以减轻他们资产负债表上面
[1168.70-1170.06] 损货的负担
[1170.06-1172.06] 这个就其实就是
[1172.06-1174.86] 包括这个所谓的物流
[1174.86-1176.06] 然后这个金流
[1176.06-1178.06] 然后这个人人力流
[1178.06-1182.38] 这些这些各方资讯流等等这些方面的角色
[1182.38-1184.38] 就是由华丽这边来承担
[1184.38-1185.42] 所以
[1185.42-1188.38] 呃华丽在这个供应链上有一个
[1188.38-1189.18] 呃
[1189.18-1190.22] 不可
[1190.22-1192.14] 不可取代的一个一个角色
[1192.14-1192.38] 啊
[1192.38-1194.14] 这是跟各位报告这个
[1194.14-1196.06] 大家可能会有第一个问题
[1196.06-1196.38] 啊
[1196.38-1198.46] 这是为什么会有空在这个
[1198.46-1200.54] 通路上的存在
[1200.54-1204.38] 那接着来看一下我们的一些绩效表现
[1204.38-1205.02] 好
[1205.02-1207.74] 那我们可以看到我们过去10年
[1207.74-1208.06] 啊
[1208.06-1211.10] 那营收基本上是逐年成长
[1211.10-1211.42] 啊
[1211.42-1213.26] 除了2023年以外
[1213.26-1214.06] 啊
[1214.06-1214.86] 那
[1214.86-1215.42] Yap
[1215.42-1218.94] 呃基本上我们如果去涉算
[1218.94-1222.42] 呃这样的一个长期成长的k个k个
[1222.42-1224.94] 就是这个年负合成长率的话
[1224.94-1228.38] 大概是大概差不多在两位数
[1228.38-1230.06] 可能在1112%左右
[1230.06-1231.02] 啊
[1231.02-1234.86] 我们长期的一个成长动力的一个趋势
[1234.86-1237.66] 大概是在这样的一个一个trend
[1237.66-1237.82] 啊
[1237.82-1239.06] 这样一个
[1239.34-1241.26] 12%的一个趋势上面
[1241.26-1242.62] 好
[1242.62-1243.42] 那
[1243.42-1243.74] 呃
[1243.74-1244.78] 值得hi
[1244.86-1252.26] 另外一點就是去年我們還是又再次創了年營收的新高
[1252.26-1256.94] 我們突破了800億台幣的年營收規模
[1256.94-1264.64] 所以可見我們華麗基本上是一個也富有成長性
[1264.64-1271.24] 然後又有一個很基本面的一個公司
[1271.24-1274.08] 那這是我們年營收成長的趨勢
[1274.08-1276.78] 再來是一個季度的分期
[1276.78-1281.12] 這個基本上主要是想要讓大家知道
[1281.12-1286.62] 基本上這個行業在科技產業還是有所謂的Synergy
[1286.62-1289.56] Synergy以科技產業來講的話
[1289.56-1294.84] 基本上就是第三季通常就是BC的
[1294.84-1298.02] 就是最高的一個季度
[1298.02-1303.70] 那觀察過去這五年來的趨勢
[1303.70-1304.06] 基本上就是在這個季度中
[1304.06-1308.14] 基本上都是第三季是最高的一個季度
[1308.14-1312.04] 除了2022年以外
[1312.04-1316.62] 那因為2022年那時候整個聯邦
[1316.62-1318.94] 就是美國的聯組會升息
[1318.94-1322.78] 然後整個消費者需求下降
[1322.78-1325.96] 所以在第三季其實那時候是開始衰退的
[1325.96-1329.02] 我想大家還記得這樣的一個過程
[1329.02-1330.60] 那除此之外
[1330.60-1331.90] 基本上各個年度
[1331.90-1333.84] 我們通常是第三季是一個P3季
[1334.06-1337.98] 是一個所謂的旺季
[1337.98-1342.48] 那觀察去年2024年也是這樣的一個情況
[1342.48-1347.58] 那基本上這是一個趨勢的一個觀察
[1347.58-1352.88] 那接下來我可能再花一點時間介紹一下我們的產品
[1352.88-1356.98] 那我們華麗的幾個主要大的產品
[1356.98-1360.02] 就像這樣圖上面大家可以看到的
[1360.02-1363.92] 第一個就是這下面藍色的所謂ICT的部分
[1364.06-1369.68] ICT是所謂Information and Communication Technology
[1369.68-1373.54] 就是我們大家一般俗稱的自通訊
[1373.54-1375.18] 自通訊產業
[1375.18-1376.50] 那自通訊產業
[1376.50-1378.50] 環塊的範圍就相當廣
[1378.50-1382.08] 你每天看到所有的這些3C產品
[1382.08-1384.34] 然後手機
[1384.34-1385.66] NBPC
[1385.66-1387.62] 然後通訊器材
[1387.62-1389.94] 不管是交換器
[1389.94-1393.90] 路由器等等這些3C產品
[1394.06-1397.30] 那在這個3C產品ICT裡面
[1397.30-1402.30] 我們主要有兩大的銷售的產品
[1402.30-1405.46] 第一個是所謂的高階工程塑膠
[1405.46-1409.90] 然後第二個是所謂的印刷電路板的材料
[1409.90-1413.68] 這個剛剛也都有跟各位報告過了
[1413.68-1416.94] 那基本上高階工程塑膠
[1416.94-1422.02] 大概佔這個ICT的營收品種大概是75%
[1422.02-1424.00] 然後BCD的材料
[1424.06-1427.66] 佔ICT的比重大概25%
[1427.66-1430.66] 那我就接著下來
[1430.66-1433.70] 有幾頁的投影片可以分享給大家看
[1433.70-1436.58] 看這些產品主要的應用範圍是哪些
[1436.58-1439.22] 然後它的driver又是哪些
[1439.22-1443.62] 那高階工程塑膠就像這一頁上面講的
[1443.62-1446.10] 它除了基本的
[1446.10-1450.00] 大家日常所最常看到的這個連接器的應用
[1450.00-1450.82] Connector
[1450.82-1453.62] 因為Connector裡面一定會有這個塑膠
[1454.06-1455.86] 構建的部分
[1455.86-1459.14] 這些都要用到所謂的高階工程塑膠
[1459.14-1462.40] 因為所有的這些Connector
[1462.40-1464.78] 一定要能夠是所謂的
[1464.78-1469.74] 叫做Impact Resistant
[1469.74-1472.10] 這玩意叫做抗風級
[1472.10-1475.54] 就是你在那邊插拔好幾千次
[1475.54-1477.82] 好幾萬次可能都不會壞
[1477.82-1482.10] 這個要高階工程塑膠才能承受
[1482.10-1483.90] 那另外就是所謂的HID
[1484.06-1487.50] 就是耐熱度
[1487.50-1492.38] 像我們知道我們有一些電源供應器的這個Connector連接器
[1492.38-1494.82] 用久了你去摸都會發燙
[1494.82-1499.82] 那這個你就得要用高階的工程塑膠去做
[1499.82-1503.38] 才有它的這個堅固度跟耐受性
[1503.38-1505.58] 那一般的塑膠可能
[1505.58-1508.18] 長期處在高溫沒多久之後
[1508.18-1510.18] 它可能就會脆化或者是
[1510.18-1512.22] 就軟化或者是就變形
[1512.22-1513.90] 那這個就一定要注意
[1514.06-1516.62] 一定要用到我們高階工程塑膠
[1516.62-1520.58] 那可以先講一下它跟AI的關係
[1520.58-1523.66] 像我想大家應該都知道
[1523.66-1528.46] 臺灣也有幾家高階的在做這個連接器的廠商
[1528.46-1530.62] 也都應用到AI Server上面
[1530.62-1532.86] 我們有一個客戶
[1532.86-1536.62] 股價已經都上千元了
[1536.62-1541.46] 那他是專門在做這個高階的連接器
[1541.46-1543.90] 然後包括一些插槽
[1544.06-1549.06] 我們知道現在AI Server的板子上面
[1549.06-1551.86] 會插越來越多的晶片
[1551.86-1557.70] 不管是CPU GPU ASIC IC DRAM或者是HDM
[1557.70-1560.86] 等等這些記憶體ICA或是ICA
[1560.86-1564.34] 都需要所謂的這個插槽
[1564.34-1566.18] 那這些插槽在板子上面
[1566.18-1569.70] 都要用我們的高階工程塑膠去做
[1569.70-1573.66] 然後把IC Mount到板子上面
[1574.06-1578.74] 然後它需要經過所謂這個SMT的製程
[1578.74-1581.18] 叫做表面連鎖科技
[1581.18-1585.74] 這個SMT的製程一定都會過一個高溫的烤爐
[1585.74-1586.98] 一個高溫的爐子
[1586.98-1589.46] 那個工作溫度可能到
[1589.46-1593.54] 我印象中是差不多230-240度的高溫
[1593.54-1595.14] 那就如果剛剛所講的
[1595.14-1600.78] 我們的塑膠才能去耐受這樣子的一個高溫的環境
[1600.78-1604.06] 所以我們的各式各樣的可能性
[1604.06-1607.78] 就是我們可以說是一個很大的應用
[1607.78-1610.30] 那另外再講一些
[1610.30-1612.22] 除了AI的應用以外
[1612.22-1615.46] 我可以再講一些其他的應用
[1615.46-1618.18] 包括比如說光學
[1618.18-1621.26] 光學級塑料的一個
[1621.26-1623.90] 鏡片的一個應用
[1623.90-1626.74] 大家可以看到圖片右上角這邊
[1626.74-1630.62] 有這個手機有越來越多的鏡頭
[1630.62-1632.62] 然後包括中間的車子
[1632.62-1634.06] 車子上面有所謂的
[1634.06-1639.10] Optical Grade的一個光學級的塑料
[1639.10-1641.66] 那這個光學級的塑料
[1641.66-1642.86] 它有幾個特性
[1642.86-1644.42] 第一個就是
[1644.42-1646.70] 大家可以就簡單Google一下
[1646.70-1649.62] 有一個東西叫做阿貝係數
[1649.62-1652.06] 那個貝就是貝殼的貝
[1652.06-1653.26] 阿貝係數
[1653.26-1656.38] 那個阿貝係數你要達到某一個程度以上
[1656.38-1658.58] 你那個透明度
[1658.58-1661.26] 這個所謂的透光性跟透明度
[1661.26-1664.06] 它可以達到這個做鏡片的要求
[1664.06-1666.54] 那這個也都是要仰賴鏡頭
[1666.54-1668.74] 我們是從日本那邊進口
[1668.74-1671.66] 這樣的一個光學級的塑料
[1671.66-1676.46] 然後大量的供應給台灣跟大陸那邊的客戶
[1676.46-1680.14] 那我想大家應該也有知道
[1680.14-1684.42] 在大陸有一家很大的一個光學鏡頭模組廠
