[0.00-6.10] 各位投资先进午安
[316.26-318.62] 都是相对不确定性相当高的
[318.62-324.30] 大家对在这个船舶上面的需求都是相对的保守的
[324.30-327.10] 那我们大概认知现在
[327.26-330.14] 目前的状况是即便现在这个状况
[330.14-335.86] 4月2号关税这个对等关税有提出来一个相对的数据之后
[335.86-340.70] 这个部分的话其实也不会有太好的反弹
[340.70-341.82] 那就是相对来讲
[341.82-345.02] 今年目前的看法是充满的不确定性
[348.02-349.54] 有关船舶的需求
[349.54-352.58] 那当然我们可以这么说
[352.58-353.90] 现在的话呢
[357.26-360.66] 目前因为受到整个地缘政治的影响
[360.66-364.42] 而且整个市场的景气是在往下走的
[364.42-367.50] 那今年的经济的下行的风险相当大
[367.50-369.74] 那船只的供应呢
[369.74-371.30] 是大概是持平
[371.30-372.74] 但是货物的需求呢
[372.74-375.38] 目前看起来是相对的是减少的
[375.38-381.26] 2025的这个目前的交易情况已经到了
[381.26-383.10] 以目前的情况来说
[383.10-384.74] 是有很大的影响
[384.74-387.06] 但是这个情况是有很大的影响的
[387.06-394.22] 目前的船公司的那个需求来的那个的供给来讲的话
[394.22-398.98] 大概是已经都交船领地都到2028年左右
[398.98-399.66] 大概是这样
[404.18-407.18] 有关于新造船的这个走势
[407.18-410.86] 因为这个船价在这个创新高之后
[410.86-413.34] 虽然有微幅的稍微想向下
[413.34-415.02] 但是因为通膨啦
[415.02-415.90] 缺工
[415.90-417.02] 而且材料短缺的
[417.02-419.14] 这些因素来讲都一样
[419.14-422.86] 一样维持的使得这个价格一直维持在高档
[422.86-427.42] 那现在新交船目前来讲的话已经到2028年
[431.54-435.78] 那以上是我们今天对所有目前的这个我们的营运
[435.78-438.58] 还有大概对市场的看法的一些报告
[438.58-439.74] 谢谢大家
[439.74-441.90] 谢谢财务长详尽的报告
[441.90-443.66] 接着进行Q&A
[447.02-456.18] 今天Q&A结束
[456.18-458.34] 现在交给永东金主持人
[460.62-461.26] 好的
[461.26-464.74] 那今天非常感谢各位投资先进的参与
[464.74-468.42] 也谢谢四维航许财务长的报级说明
[468.42-470.98] 那今天的法人说明会就到此结束
[470.98-471.98] 再次谢谢大家
[471.98-473.06] 祝大家投资顺利
[473.06-473.66] 谢谢
[473.66-474.42] 拜拜
[477.02-478.02] 谢谢大家
