[0.00-3.12] 跟未来的展望
[851.62-854.62] 那可能各位先进都知道
[854.62-857.62] 多媒体芯片它主要应用界面
[857.62-858.62] 大概有三类
[858.62-860.62] 一个是USB
[860.62-863.62] USB2.0 3.0 4.0
[863.62-865.62] 那另外一个就是以它网路以生的
[865.62-867.62] 以前从100Mbps
[867.62-868.62] 变成Giga
[868.62-871.62] 那接下来到数据中心走到10Giga
[871.62-874.62] 那另外一个用的比较多的
[874.62-876.62] 就是说因为要接到电视
[876.62-878.62] 显示屏上面去
[878.62-881.62] 所以通常也会透过HDMI
[881.62-884.62] 那当然这样子的界面呢
[884.62-886.62] 在各种不同芯片上的应用
[886.62-888.62] 都是会存在的
[888.62-892.62] 阳智在这三个界面方面
[892.62-894.62] 我们特别把它整理出来
[894.62-896.62] 变成三组可以独立销售
[896.62-900.62] 可以独立跟客户做整合的系统IP
[900.62-903.62] 那透过我们现在正在推出的一个
[903.62-906.62] 所谓4K 8K的多媒体的显示平台
[906.62-909.62] 然后就可以配合客户各种不同的应用
[909.62-911.62] 帮客户做成不同的IC
[911.62-914.62] 那这个4K 8K多媒体显示平台
[914.62-916.62] 它是一个什么东西呢
[916.62-919.62] 就是像中间这个方框里面
[919.62-921.62] 就是刚才跟各位报告的
[921.62-924.62] 它有CPU有GPU有MPU
[924.62-927.62] 然后它有所谓的安全的引擎
[927.62-930.62] 然后它有这些多媒体显示的界面
[930.62-933.62] 然后它有这些高速的通讯功能
[933.62-935.62] 这样子整合成的一个单芯片里面
[935.62-938.62] 我们先把这样子的平台先做好了
[938.62-942.62] 然后在各个不同的半导体生产厂上
[942.62-944.62] 它经过验证了
[944.62-946.62] 然后呢客户
[946.62-948.62] 接下来他只要跟我们讲说
[948.62-949.62] 他需要哪些功能
[949.62-951.62] 比如说家电厂商的客户
[951.62-953.62] 他可能需要一些控制的功能
[953.62-955.62] 我们就把控制的这个部分留着
[955.62-957.62] 其他部分把它拿掉
[957.62-959.62] 我们很快的就可以推出一个
[959.62-962.62] 给家电产品专用的一颗ASIC
[962.62-966.62] 那比如说客户他有需要智慧音箱呢
[966.62-968.62] 那我们就把这个音频的部分留着
[968.62-970.62] 其他把它拿掉
[970.62-972.62] 就可以变成是一个智慧音箱
[972.62-973.62] 客户他需要卫生接收
[973.62-975.62] 我们就把调节器再加进去
[975.62-977.62] 配合原先的这个平台
[977.62-978.62] 很快的
[978.62-980.62] 我们就可以推出一个客户
[980.62-981.62] 他专用的ASIC
[981.62-983.62] 所以用这样子的方式
[983.62-987.62] 提供一个所谓显示界面IO
[987.62-990.62] 然后再配合这个多媒体显示的平台
[990.62-993.62] 我们可以很及时而且很有弹性的
[993.62-996.62] 可以很快的帮客户推出
[996.62-1000.62] 他想要的一个所谓客制化的设计晶片
[1000.62-1002.62] 那目前有一个趋势是说
[1002.62-1004.62] 因为AI的兴起
[1004.62-1007.62] 所以很多高算力的包含HPC
[1007.62-1009.62] 不管是用在云端的
[1009.62-1012.62] 或是用在所谓的边缘端的HPC
[1012.62-1014.62] 他还是会需要显示
[1014.62-1017.62] 他总是需要有一个输出输入的界面
[1017.62-1019.62] 那这样子输出输入的界面
[1019.62-1023.62] 其实用很先进制程的HPC制程去做
[1023.62-1025.62] 他其实是不太划算的
[1025.62-1028.62] 所以我们针对像这样子的应用
[1028.62-1031.62] 我们把我们的多媒体晶片的这些界面
[1031.62-1034.62] 包含USB Ethernet
[1034.62-1035.62] HDMI部分
[1035.62-1037.62] 我们也会把它做成小晶片
[1037.62-1042.62] 那这些小晶片就可以跟这些客户的HPC的主晶片
[1042.62-1043.62] 去做封装
[1043.62-1047.62] 透过CoreOS的封装去封成他HPC要的晶片
[1047.62-1049.62] 这样子封装起来的晶片
[1049.62-1051.62] 他第一个时效比较快
[1051.62-1053.62] 第二个他的Cost会比较低
[1053.62-1057.62] 那这是我们同时间也推出来的一个服务
[1059.62-1060.62] 下一页
[1061.62-1063.62] 那这个是一个例子
[1063.62-1068.62] 就是说我们在推出这个多媒体影音平台的时候
[1068.62-1069.62] 他有一些功能
[1069.62-1071.62] 比如说这里面我举两个例子
[1071.62-1072.62] 一个就是说
[1072.62-1074.62] 像上面这个例子
[1074.62-1075.62] 他可以放大
[1075.62-1076.62] 放大之后
[1076.62-1077.62] 他可以让影像
[1077.62-1079.62] 那个锯齿状的影像
[1079.62-1083.62] 他可以去把它平滑
[1083.62-1086.62] 可以做旋转
[1086.62-1089.62] 他也可以做这种资料格式的转换
[1089.62-1092.62] 然后还有这种高品质的视讯的放大
[1092.62-1096.62] 那这个都是可以在ASIC里面可以客制化的
[1096.62-1099.62] 那另外我们在所谓的超高新显示里面
[1099.62-1101.62] 我们可以跟他做优化
[1101.62-1105.62] 包含这些像素景深颜色这些调整
[1105.62-1108.62] 色调的调整都可以在芯片里面完成
[1108.62-1112.62] 所以现在所谓的AI的这些功能
[1112.62-1115.62] 他其实都靠晶片去做调整
[1115.62-1117.62] 那这个晶片他具备AI功能
[1117.62-1120.62] 他可以去做这些影像内容的调整
[1120.62-1122.62] 可以确保就是说客户在看的时候
[1122.62-1125.62] 他可以一个很极致的视觉的体验
[1125.62-1128.62] 这个都是我们ASIC可以做到的一个附加的功能
[1128.62-1131.62] 下一页
[1131.62-1136.62] 那这个是我的今天的一个主要的结论
[1136.62-1139.62] 就是说展望今年
[1139.62-1144.62] 那杨智科技这边我们聚焦所谓的双引擎成长策略
[1144.62-1147.62] 那双引擎我们指的是说
[1147.62-1151.62] 第一个我们是会继续推展所谓刚才的ASIC设计服务
[1152.62-1157.62] 那提供杨智科技大概我们有400个专利
[1157.62-1161.62] 近200个所谓的IP的细致材
[1161.62-1166.62] 用这样子的基底我们在ASIC设计服务上
[1166.62-1170.62] 我们其实已经开始取得一些重大的进展
[1170.62-1177.62] 那相关的IP跟设计已经开始在交付国内外的一些客户
[1177.62-1181.62] 那这一项ASIC设计跟IP授权的
[1182.62-1189.62] 动能可以成为我们公司今年业绩持续成长的一个重要的驱动力
[1189.62-1194.62] 那这里面就会包含我们帮客户设计IC
[1194.62-1196.62] 那我们会有NIE的收入
[1196.62-1199.62] 那另外我们授权IP给他
[1199.62-1203.62] 那会有IP细致材授权的收入
[1203.62-1207.62] 那另外呢客户如果继续让杨智科技帮他投片
[1207.62-1210.62] 出货生产的话呢我们还有授权金的收入
[1210.62-1212.62] 那这个都会贡献到今年
[1212.62-1214.62] 的营收里面
[1214.62-1217.62] 那这里面呢杨智比较有利的是说
[1217.62-1220.62] 因为杨智科技已经累积了30年来
[1220.62-1223.62] 已经有很丰富的一个细致材
[1223.62-1224.62] 就是IP的部分
[1224.62-1227.62] 那刚才提到就是我们大概有400项左右
[1227.62-1229.62] 多媒体相关的专利
[1229.62-1233.62] 然后我们把它整理成大概是200项所有的IP的细致材
[1233.62-1237.62] 这些东西一方面可以拿来做客户设计的时候
[1237.62-1238.62] 提供给客户使用
[1238.62-1240.62] 另外一方面也可以做IP细致材
[1240.62-1242.62] 那个受负的授权
[1242.62-1245.62] 那这个就是我们目前的使用
[1245.62-1249.62] 那另外呢就是说第二个成长动能呢
[1249.62-1251.62] 我们讲的就是本业这边
[1251.62-1254.62] 因为本业这边我们还是会持续维持成长
[1254.62-1259.62] 那这一块市场呢整个全球成长率大概在4.6%左右
[1259.62-1264.62] 那我们预期我们是希望可以达到双位数的成长
[1264.62-1270.62] 那杨智科技身为目前全球所谓广播电视晶片的领导企业
[1270.62-1272.62] 那我们刚才讲说我们大概
[1272.62-1275.62] 占赋惠卫星电视45%以上的市占率
[1275.62-1282.62] 那我们也会持续的在提供具有AI能力的系统单晶片
[1282.62-1291.62] 持续的往所谓的4K甚至未来8K的影像的应用去做发展
[1291.62-1295.62] 那这边的应用呢就不只是只有用在电视上面了
[1295.62-1297.62] 因为接下来商选啊
[1297.62-1300.62] 包含那个VR AR的头盔啦
[1300.62-1302.62] 这个都是可以用得到的
[1302.62-1306.62] 所以总结就是展望今年
[1306.62-1311.62] 我们就是会持续推进这样子的一个双引擎的成长策略
[1311.62-1315.62] 然后关注ASIC设计业务
[1315.62-1321.62] 然后持续经营高速站的那个高面
[1321.62-1323.62] 没有我要这样转进去转播
[1323.62-1329.62] 还有那个持续经营我们目前已经高速站的多媒体影音
[1329.62-1331.62] 这样子运营商的通路
[1331.62-1332.62] 那布局
[1332.62-1334.62] 奔远于AI
[1334.62-1336.62] 那把AI引进来
[1336.62-1338.62] 创造一个AI新的创新的应用
[1338.62-1341.62] 那以上是总结
[1341.62-1344.62] 那今年我们对未来展望的一个报告
[1344.62-1346.62] 谢谢各位
