[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 与点点栏目的专家与专家与专家与专家与专家
[374.62-376.92] 那我们看起来我们大概整个
[377.32-378.52] 目前
[379.06-382.52] 完工存货的部分比例也相对比较低
[382.52-385.36] 那这个是几乎都已经是完售的案子
[385.36-388.76] 所以这个部分就是等到整个进入到
[388.76-389.70] 整个家务的部分
[389.70-392.76] 大概我们都可以顺利接转成我们的损益
[393.22-395.46] 那另外就是整个
[395.66-397.42] 流动性的部分
[397.42-398.82] 我们到流动性大概
[399.26-402.00] 流动比例大概在163%
[402.16-403.16] 3个%
[403.40-405.32] 那目前看起来我们整个
[405.36-408.96] 资产负债的比例大概是维持大概在55%
[409.10-410.56] 那也符合我们比较
[410.72-413.90] 算是比较稳健经营的这样一个态势
[414.22-418.30] 那我们其实整个金融负债部分大概三成左右
[418.30-418.70] 在我们
[418.70-422.00] 我们的操作原则上相对是比较保守稳健
[422.26-424.00] 那在整个
[425.54-426.60] 合约负债的部分
[426.60-428.76] 就是从客户预收款的这一端的部分
[428.76-430.30] 也有比较高的不稳
[430.30-432.70] 那表示是这个我们的销售的部分
[433.14-435.24] 个案的销售状况是非常良好的
[435.24-436.96] 所以这个部分大概
[437.20-438.80] 随着整个工程的推进
[438.80-440.30] 只要拿到10兆之后
[440.30-441.40] 那这个部分就
[441.56-444.84] 就依序就会顺利接转成我们的营收进来
[445.34-447.40] 那我们是希望是说
[447.44-448.24] 这样子的一个
[448.24-449.64] 稳健的一个财务调度
[449.64-451.80] 那维持适当的杠杆度的部分
[451.80-452.98] 可以有效的
[453.04-455.48] 提升我们的整体的一个竞争力
[457.18-458.84] 那我们
[459.08-462.14] 接下来整个大概企业发展跟成长的策略
[462.14-463.80] 大概做一个简要的说明
[463.98-464.90] 那我们目前
[465.04-469.20] 大概会持续布局在六都跟整个新竹
[469.20-471.64] 这个大概六都加一的这样的一个策略
[471.78-474.24] 那目标我们也是希望是可以锁定
[474.48-477.24] 北部这样子的一个区域去进行开发
[477.58-478.18] 那
[478.24-479.74] 特别是都跟部分
[479.74-481.60] 我们大概最近也大概都有布局
[481.60-482.28] 大概可以
[482.54-484.30] 在媒体上大概知道我们霸城
[484.30-485.28] 还有额福的部分
[485.28-486.40] 我们大概都顺利
[486.60-487.78] 把下这些标案
[487.78-488.94] 那这个部分
[488.94-491.18] 因为都跟的部分其实也享有
[491.44-493.04] 虽然其成开发其成会比较久
[493.04-495.18] 但是也享有比较佳的融资条件
[495.18-498.94] 所以对我们整个资金效益上是比较有帮助的
[499.34-502.04] 那第二个部分是我们持续透过
[502.34-503.44] 权益法的投资
[503.44-506.14] 投资巨蛋的部分跟三井奥类的部分
[506.30-508.04] 希望就是说未来的部分有
[508.24-510.54] 固定的一个投资收益的部分
[510.94-513.00] 那刚刚也跟各位先进报告过
[513.00-514.60] 我们透过我们产品
[514.64-517.64] 绿能智能跟性能的一个规划设计
[517.64-521.18] 那持续深耕提金跟我们的优化产品
[521.18-523.00] 那创造产品的差异化
[523.00-525.20] 那透过不同产品线的规划
[525.20-526.44] 就是
[526.74-528.24] 配合我们的一个发展
[528.24-530.00] 跟整个政府的一个政策
[530.00-533.20] 然后维持稳健的一个营运的一个基调
[535.28-537.20] 那我们看一下我们
[537.44-538.20] 大概在台湾的一个预算是什么样的
[538.20-538.50] 我们大概在台湾的一个预算是什么样的
[538.50-539.70] 极度的一个布局
[539.70-543.44] 那从我们左下角这个派图的部分来看
[543.44-547.34] 我们目前整个库存的销售的部分
[547.34-549.44] 大概在2917亿
[549.44-552.06] 那大概平均大概北中南部分分布
[552.50-555.50] 大概都是维持这样的一个策略
[555.50-558.66] 那我们目前重点还是会希望说
[558.90-560.96] 因为厂办目前我们的
[561.44-564.94] 整个推案量的部分跟盘已经开始有
[564.94-566.40] 我们觉得是比较低一点
[566.40-567.44] 所以我们希望说
[568.20-571.70] 未来我们在厂办的市场这个部分
[571.70-574.44] 我们希望是可以琢磨上是可以多一点
[574.44-578.60] 那这部分因为厂办毕竟我们是过去是以厂办开发起家的
[578.60-579.60] 所以我们希望说
[579.84-583.16] 未来这一块的厂办的布局上是可以加大
[583.26-586.24] 那另外北部的整个发展重心的部分
[586.60-589.44] 也是可以同时去提升
[589.70-594.26] 那我们在右下角这整个开发的完工的年度
[594.26-596.16] 也可以看到大概未来几年
[596.50-597.40] 我们完工的一个年度大概都会是在2022年开始的
[597.40-598.14] 我们在右下角这整个开发的完工的年度也可以看到大概未来几年
[598.20-599.20] 我们在右下角这整个开发的完工的年度
[599.20-600.20] 大概都会是在2022年开始的
[600.20-603.70] 大概都维持200多亿接近300亿这样子上下的一个规模
[603.70-605.70] 那这个部分是比较我们希望
[605.70-607.54] 比较看到的一个经营成果
[607.54-608.70] 我们是希望是说
[608.70-613.90] 每年规案跟整个完工跟整个营收的部分是比较稳定的
[613.90-617.34] 那这个部分是作为我们未来一个发展的一个
[617.34-619.84] 定调的一个基石
[620.84-624.40] 那接下来是再谈一下我们投资的这个巨蛋的部分
[624.40-627.10] 那巨蛋大家也知道大概都是BOT的一个案子
[627.10-628.20] 那过去我们也有一个巨蛋的一个案子
[628.20-629.20] 那过去我们也有一个巨蛋的一个案子
[629.20-632.70] 跟市府这边的一个合作的一个状况
[632.70-637.44] 目前我们大概整个展延的整个经营期限
[637.44-639.44] 大概到2026年的3月
[639.44-645.44] 那因为这个案子有中间有经过一些协调跟仲裁的部分
[645.44-649.20] 那目前我们整个巨蛋的五大的事业体的部分
[649.20-654.70] 大概体育馆的部分已经在2024年的2月正式对外营运
[654.70-658.20] 那收购的部分预计大概也在2026年的Q1
[658.20-660.20] 大概明年第一季会开幕
[660.20-665.20] 那办公室的部分已经在2024年的Q1也对外招租
[665.20-668.20] 跟有实质客户签约进驻了
[668.20-673.20] 那目前大概就是比较慢的大概就是周季饭店的旅馆的部分
[673.20-676.20] 预计在2026年的Q2会开幕
[676.20-681.20] 那秀泰影城的部分也预计应该是在这个月月底应该会开幕
[681.20-685.20] 那我们希望是透过整个巨蛋团队的经营
[685.20-688.20] 未来它可以很稳定的进行
[688.20-692.20] 的一个贡献我们远雄建设的一个投资的一个效益
[692.20-698.20] 那以上大概是我们对我们公司近期跟未来发展的一个布局
[698.20-700.20] 跟发展部分做一个简要的一个说明
[700.20-701.20] 谢谢
[701.20-703.20] 那请各位在座先进的部分
[703.20-704.20] 如果有问题的话
[704.20-706.20] 我们大概可以互相交流一下
[706.20-707.20] 谢谢
[718.20-722.20] 谢谢
[742.20-747.20] 我们事实上是北科是有三个案子准备在在在在
[747.20-748.20] 在ROM
[748.20-749.20] 一个是住宅案子
[749.20-750.20] 一个商办的部分
[750.20-751.20] 一个是住宅案
[751.20-756.20] 那商办的案子应该是已经都顺利完销了
[756.20-758.20] 那另外一个住宅案的部分
[758.20-761.20] 销售率目前也是接近六成
[761.20-762.20] 对
[778.20-792.20] 嗯
[792.20-796.20] 那个案子我们在6月9号已经拿到10兆了
[796.20-797.20] 幸福城这个案子
[797.20-798.20] 那对保率的部分
[798.20-802.20] 我们从今年大概3月到5月中大概都对保
[802.20-805.20] 然后大概对保率目前大概是97个percent
[805.20-807.20] 那预期我们
[807.20-811.20] 大概在因为他户数也多了
[811.20-812.20] 2498户
[812.20-815.20] 所以我们配合整个地震作业的能量
[815.20-820.20] 我们总单预计大概要在8月中快一点话
[820.20-822.20] 也许8月初总单可以完成
[822.20-825.20] 所以我们预计分批整个过户交屋
[825.20-829.20] 大概在整个批次交应该在9月可以开始展开了
[829.20-833.20] 那我们预期今年度希望是可以至少可以
[833.20-836.20] 可以交到64到65个percent至少
[836.20-839.20] 那有一部分应该会跨到明年度
[839.20-841.20] 对大致上是这样子
[845.20-846.20] 你说
[854.20-855.20] 每个月
[857.20-860.20] 大概目前为止
[862.20-865.20] 大概在20亿左右一个月一个月对
[866.20-872.20] 对 improv
[872.20-875.20] 在整个短期间
[875.20-890.20] stim
[890.20-891.20] ост儿
[891.20-892.20] 即 Operations
[892.20-893.20] scheme
[893.20-894.20] 整个来 Hieraprès
[894.20-895.20] Gender
[895.20-897.20] 那大概是10月份
[897.20-899.20] 整個銷售率大概就比較有延緩
[899.20-903.20] 我們覺得這影響大概應該至少有40%以上
[903.20-905.20] 對
[905.20-906.20] 對
[906.20-907.20] 40%
[907.20-908.20] 對
[910.20-911.20] 那特別是今年
[911.20-913.20] 大概川普的關稅之後
[913.20-914.20] 大概
[915.20-918.20] 會這個影響力會比較明顯
[918.20-919.20] 對 不管這個區域
[919.20-922.20] 大概整個銷售量都有一些影響
[922.20-924.20] 那除了剛您提的就是
[924.20-925.20] 建設的這個部分
[925.20-929.20] 就對特定的區域有一些助攻的效果之外
[929.20-931.20] 其他部分我們都覺得是大概就是
[931.20-934.20] 我不敢講同業怎樣
[934.20-936.20] 但是與我們遠雄建設部分
[936.20-938.20] 我們是算銷售率算還不錯
[938.20-940.20] 但是明顯跟之前的
[940.20-942.20] 比那個整個動能的部分
[942.20-944.20] 都有比較減緩的蠻多的
[954.20-957.20] 其實我們大概
[957.20-962.20] 北中南銷售的速度都大概都還算還蠻平均的
[962.20-963.20] 對
[963.20-964.20] 就是慢了一點
[964.20-967.20] 但是個案大概都還有成交這樣
[967.20-969.20] 只是銷售的速度稍微會拉長
[969.20-972.20] 因為客戶的信心大概會觀望
[972.20-973.20] 對
[981.20-982.20] 嗯嗯
[984.20-994.20] 有喔 有
[994.20-995.20] 有
[995.20-998.20] 你對我們的公司銷售團隊要有信心
[998.20-1003.20] 但是我們以前
[1003.20-1004.20] 可以說嗎
[1004.20-1008.20] 我們以前不是可以一天一億這樣的一個銷售成績
[1008.20-1009.20] 對
[1009.20-1012.20] 終於不會
[1012.20-1013.20] 對
[1013.20-1014.20] 對
[1014.20-1044.20] 然後現在我們跟大家拑光
[1044.20-1074.18] 谢谢大家
[1074.20-1075.48] 到明年聯辦地區
[1079.06-1081.36] 對不起我沒有這個數據
[1083.92-1085.20] 因為這個部分
[1086.48-1088.54] 我們比較沒有去
[1089.30-1090.58] 去catch這一塊的
[1097.76-1098.78] 約工
[1100.06-1101.60] 應該是說
[1101.60-1104.68] 協力廠商的這個部分
[1105.18-1106.98] 有一些有面臨這樣的狀況
[1107.24-1108.76] 所以還是工期上會
[1109.02-1109.80] 還是有一點點影響
[1115.16-1118.50] 針對營造缺工這個部分
[1120.28-1122.08] 像泥作的缺工
[1122.34-1122.84] 事實上
[1123.62-1124.38] 今年來
[1124.90-1128.74] 在結構體的部分 鋼筋模板混凝土的這個部分的缺工
[1129.00-1131.04] 事實上有明顯的緩和
[1131.30-1131.56] 比起
[1131.86-1132.36] 前兩年
[1132.88-1134.68] 在工進上是比較好掌握
[1135.18-1139.80] 那另外一個缺工現在影響比較大的部分可能是在泥作跟
[1140.04-1140.56] 水電
[1142.60-1144.92] 遠雄營造在策略上就是
[1145.68-1147.48] 以前發包可能
[1147.72-1149.78] 在一個案會發一包或兩包
[1150.28-1151.32] 那現在會
[1151.56-1153.88] 擴大發包的一個廠商
[1154.12-1155.92] 會去分散這樣的風險
[1156.44-1157.96] 來降低這種缺工的影響
[1158.74-1160.28] 大概有朝這樣的方向在
[1160.52-1161.30] 在操作跟努力
[1161.60-1162.12] 所以說
[1162.62-1164.68] 在整體的一個工程進度上
[1165.70-1168.76] 大概跟我們設定的進度
[1169.02-1171.08] 跟建設要求的一個設定的一個
[1171.32-1173.38] 實照取得的進度基本上
[1173.88-1175.42] 都還算相對符合
[1175.94-1176.70] 大概是這樣
[1187.96-1191.04] 移工的幫忙的幅度是相對小的啦因為
[1191.04-1193.60] 移工的使用有蠻嚴格的限制
[1194.88-1198.20] 那我想市場的熱度比較低了
[1198.46-1199.48] 所以可能在
[1200.00-1204.60] 總體營造的需求工的需求也有應該微幅的下降那另外一方面
[1205.12-1205.64] 我當然
[1206.66-1207.94] 遠雄建設算是
[1208.20-1211.52] 跟遠雄營造算是相對比較大規模的公司
[1211.78-1212.54] 所以說
[1212.80-1215.36] 相對承攬的廠商風險小
[1215.88-1218.18] 所以說在這方面在
[1218.44-1220.22] 條件上還有在風險上
[1220.22-1222.78] 都算是比較優勢所以說
[1223.04-1225.60] 受缺工的影響相對比較小一點
[1238.14-1240.70] 這個案子大概銷售率大概三成
[1250.22-1252.26] 現在是看這一張在問的
[1268.14-1270.18] 問的就是
[1270.44-1271.46] 一個
[1273.26-1274.02] 點
[1274.28-1276.34] 所以說他們都是跟這一張在問的
[1280.22-1284.32] 這個新的
[1296.60-1299.16] 我們的個案大概也沒有
[1299.42-1300.70] 因為現在這個時間
[1300.96-1301.98] 大概我們也不會
[1302.50-1304.54] 刻意去做一些調價的動作
[1304.80-1305.82] 所以大概就是
[1306.08-1308.38] 合理的反應成本跟我們的利潤
[1308.64-1309.66] 沒有說特別調
[1309.66-1311.20] 再調就要被罵死
[1317.34-1319.38] 就是我剛跟您報告就是
[1319.64-1323.48] 反應我們合理的一個利潤的一個售價
[1323.74-1327.06] 我們也不會說刻意去炒作說刻意調的很高的一個價格
[1339.66-1341.46] 但是我們也不會說刻意去炒作
[1341.70-1342.98] 因為我們是要看這一個
[1343.24-1344.26] 這個
[1344.52-1345.54] 這個
[1345.80-1346.32] 這個
[1346.58-1347.34] 這個
[1347.60-1348.10] 這個
[1348.36-1349.14] 這個
[1349.38-1349.90] 這個
[1350.16-1350.66] 這個
[1350.92-1351.70] 這個
[1351.94-1352.46] 這個
[1352.72-1353.22] 這個
[1353.48-1354.00] 這個
[1354.26-1354.76] 這個
[1355.02-1355.54] 這個
[1357.32-1358.60] 因為他只要
[1358.86-1359.38] 他的
[1359.62-1360.90] 會計認列是我剛
[1361.16-1361.94] 以前報告過
[1362.18-1362.96] 就是他
[1363.46-1363.98] 只要
[1364.24-1365.52] 開始營運他就要提煉
[1366.02-1366.54] 折舊
[1367.06-1369.10] 那隨著商場然後
[1369.66-1372.48] 飯店跟整個商場
[1372.74-1376.06] 還有隱城的部分全面開幕的話這個折舊一定會提更高
[1376.58-1380.16] 所以這個對他的財務的衝擊影響數一定會
[1380.42-1380.92] 也是有的
[1381.44-1382.20] 所以我覺得
[1383.22-1386.04] 從帳面上看他的虧損應該是會擴大
[1386.56-1387.32] 因為我們預期
[1387.58-1388.34] 他
[1388.60-1393.72] 水利兩平最快最快我們覺得應該要到2027年以後才有機會
[1394.74-1397.30] 對不過我們比較有信心的是說因為
[1397.56-1398.08] 他
[1398.84-1399.62] 目前整個
[1399.92-1402.22] 辦公室的招租狀況都是非常理想的
[1402.48-1402.98] 而且
[1403.24-1404.26] 租金的部分
[1404.78-1405.30] 也是
[1405.54-1407.34] 應該是信義計畫區
[1407.86-1408.36] 裡面
[1408.62-1411.44] 算是目前整個A辦裡面整個
[1412.98-1416.04] 條幅啊還有他的一個定價部分都是
[1416.30-1417.58] 名業前茅的而且
[1417.84-1419.12] 出租率的部分也很好
[1419.88-1421.94] 所以我們對這個點是非常有信心的
[1430.42-1431.20] 對
[1439.38-1443.22] 他入帳比較久主要是因為他很多都是
[1443.48-1446.04] 可能是契金的客戶他是用法人持有
[1446.30-1450.40] 那我們觀察下來是他因為這些客戶很多都是
[1450.66-1451.42] 公司品牌
[1451.68-1452.70] 背後的公司很大
[1452.96-1455.00] 但是他是用新設立的公司
[1455.78-1456.80] 去做持有
[1457.30-1458.84] 那他在銀行整個
[1459.10-1459.62] 申請的注意上
[1459.92-1460.68] 就會比較久
[1460.94-1461.96] 所以我們預期
[1462.22-1463.50] 通常都是10兆
[1464.26-1466.32] 過後抓4個月大概才可以
[1466.58-1467.08] 交屋啦
[1467.34-1469.14] 那他這個案子應該是
[1471.70-1475.02] 所以我們預期應該最快最快應該在
[1475.54-1476.04] 9月
[1476.82-1477.06] 對
[1477.32-1481.42] 那當然他我知道他有幾戶是付現戶啦他這個部分
[1481.68-1483.46] 付現戶可能也許會快一點去
[1483.72-1484.50] 去做交屋
[1489.66-1493.50] 大部分還是在今年會交屋完成
[1493.76-1494.52] 對大部分
[1495.04-1495.54] 像
[1495.80-1498.88] 八九成應該是合理的一個
[1499.90-1500.42] 計了
[1508.34-1510.40] 不讓處分
[1510.66-1513.22] 經濟營運契約裡面有提到說
[1513.46-1515.00] 在營運的時候
[1515.78-1517.06] 我們是可以針對
[1517.30-1518.08] 股權的部分
[1518.34-1519.10] 做一些
[1519.66-1520.68] 調整
[1520.94-1523.50] 但是因為遠雄建設是最大的發起
[1523.76-1524.52] 他就是會有
[1524.78-1526.32] 一所遠雄建設的
[1526.82-1527.60] 持股比例
[1528.10-1529.14] 對所以他
[1529.38-1530.66] 都一直要維持著20%
[1531.44-1531.94] 所以
[1532.46-1537.58] 應該是這樣講說如果假設要處分遠雄建設在最低持股比28以外
[1538.34-1540.66] 別賣那其他的持有人的部分
[1540.90-1543.72] 可以去做調節那遠雄建設部分就是在
[1543.98-1545.78] 經濟營運契約裡面有這樣子的一個條件
[1545.78-1553.98] 對
[1554.22-1555.76] 對對對或者是說可以
[1556.02-1557.56] 可以去做一些處分
[1573.68-1574.96] 很難逃脫
[1575.78-1579.62] 這個我不方便回答這個
[1579.88-1580.38] 不清楚
[1587.82-1589.10] 他已經拿到10兆
[1589.86-1592.42] 預計應該他應該在7月可以開始交
[1595.50-1596.78] 對他就是100%完銷
[1598.56-1599.58] 今年應該可以
[1600.10-1601.38] 全部交完
[1601.64-1603.94] 我們從去年年底的
[1604.20-1605.74] 秦川到今年的
[1606.04-1606.54] 長翠
[1607.32-1609.36] 整個銷售率都是
[1609.62-1612.70] 除了幸福城我們有留105戶
[1612.94-1615.26] 第二階段銷售其他都是銷售率都是100%
[1624.72-1627.02] 不要賣
[1628.56-1629.34] 不是
[1629.58-1631.12] 不是要維持雄建設
[1632.14-1632.92] 最後
[1636.04-1636.80] 用這個
[1637.06-1638.34] 但是
[1641.42-1642.44] 我們一直都稀釋
[1642.70-1643.46] 我們還是要
[1643.98-1645.26] 用這個選擇
[1645.50-1646.78] 因為
[1647.04-1648.84] 我不能代替我們經營團隊回
[1649.10-1651.14] 但是如果就以財務上而言
[1651.66-1653.44] 要引資進來你也是要
[1653.70-1656.78] 經過計算之後你的稀釋之後你的持有的
[1657.02-1657.54] 部分也是要
[1657.80-1659.08] 大於20%
[1659.34-1661.38] 就這樣子講大概這個底線就在那邊
[1663.94-1664.70] 合理來說
[1664.70-1667.00] 因為他已經都新建完成
[1667.26-1668.02] 開始營運
[1668.54-1669.56] 基本上
[1670.34-1671.62] 要增資的
[1672.38-1673.66] 需求應該是
[1673.92-1674.42] 大
[1674.68-1675.20] 因為
[1675.46-1678.26] 已經開始正式營運了他就是開始回收
[1678.52-1679.80] 他的股本
[1680.06-1680.58] 很大
[1694.70-1700.84] 這個部分我們大概在8月會跟董事會建議
[1701.10-1702.64] 這個部分我們因為這個是
[1702.90-1704.68] 是會的權限我們要留待董事會去做合決
[1706.74-1708.26] 大概會準備幾個方案
[1710.58-1711.08] 是這樣子
[1724.70-1744.26] 你譬如說在超期 Hole
[1744.26-1750.30] 它以上 intelligent
[1751.84-1753.38] 預計在
[1753.62-1754.40] 8月會推
[1754.70-1765.00] 一般来讲,常办的预售市场是比较没有那么空洛
[1765.00-1772.48] 所以我们还是会计量比较长时间再做推案
[1772.48-1800.96] 我们看的是公司比较稳定的营收跟获利
[1800.96-1802.44] 所以说我们在净土
[1802.44-1802.46] 我们在净土
[1802.46-1802.48] 我们在净土
[1802.48-1810.38] 因为事实上现在进的土地是四年五年后才会营收获利
[1810.38-1813.56] 所以基本上我们在土地的购买
[1813.56-1819.48] 我们是依照我们中长期的一个营收的一个排配来进行
[1819.48-1828.48] 所以我们是有一个很重要的一个购买方式来进行
[1828.48-1849.46] 所以我们是有一个很重要的一个购买方式来进行
[1849.46-1854.82] 然后在常办的部分
[1854.82-1854.84] 然后在常办的部分
[1854.84-1859.46] HM2
[1859.46-1865.12] 那个应该是龟山的HM2会推案
[1865.12-1873.68] 那在台中BH13在七期会推
[1873.68-1879.44] 那在台中BH13在七期会推
[1879.44-1883.44] 还有BH11BH12应该都会推
[1883.44-1885.44] 因为两个加起来
[1885.44-1887.44] 那两个不大
[1887.44-1897.44] 那另外在台南我们的BH6会推案
[1897.44-1907.44] 另外高雄的EH6也会推案
[1907.44-1909.42] 另外高雄的EH6也会推案
[1909.44-1917.44] 所以明年算是我们推案的大年了
[1917.44-1919.44] 应该会破历史记录吧
[1919.44-1921.44] 应该会破历史记录吧
[1921.44-1924.44] 另外我们FH2
[1924.44-1928.44] FH2板桥的那个都更案
[1928.44-1930.44] 也会在明年推
[1930.44-1933.44] FH2也会在明年推
[1933.44-1935.44] FH2也会在明年推
[1935.44-1937.44] FH2也会在明年推
[1937.44-1939.44] FH2也会在明年推
[1939.44-1941.44] FH2是这个
[1941.44-1943.44] FH2也会在明年推
[1943.44-1967.44] FH2也会在明年推
[1967.44-1969.10] 都卖的差不多了
[1969.10-1971.46] 所以说本来这些案
[1971.46-1973.48] 有些案是在今年要推
[1973.48-1976.64] 像板桥的FH2
[1976.64-1978.72] 本来是今年要推
[1978.72-1980.80] 那是因为出根案
[1980.80-1983.06] 这个建造的掌握度
[1983.06-1986.98] 真的程序上的确比较久了
[1986.98-1990.84] 那另外像包括H1
[1990.84-1993.26] 那个四北科的第二期
[1993.26-1995.70] 事实上也是因为建造
[1995.70-1998.18] 有些许的delay
[1998.18-2000.38] 本来是在今年第十季要推
[2000.38-2001.92] 延到明年
[2001.92-2005.14] 大概是大部分都是因为
[2005.14-2008.38] 那个行政程序
[2008.38-2010.34] 建造取得的一个状况
[2010.34-2012.54] 尤其是刚刚讲到
[2012.54-2015.56] 出根现在以前可能一年的程序
[2015.56-2016.04] 可以完成
[2016.04-2017.82] 现在可能两年甚至两年半
[2017.82-2019.64] 所以说有时候在
[2019.64-2022.10] 在政府的这方面的行政程序
[2022.10-2024.34] 反而是影响我们推案
[2024.34-2027.70] 比较关键的一个因素
[2027.70-2048.82] 您说我们不好做预期
[2048.82-2049.32] 但是
[2054.34-2056.14] 对
[2056.14-2059.34] 我们明年度几个完工的个案
[2059.34-2061.20] 其实销售率也都很好
[2061.20-2064.74] 所以这个能见度就很高了
[2064.74-2068.54] 除了刚刚问的那个台中的
[2068.54-2070.02] FH8那个案子
[2070.02-2073.94] 销售率是相对比较没有那么
[2073.94-2074.70] 因为他比较
[2074.70-2077.66] 以外其他的基本上大概都
[2084.34-2088.70] 推套版的
[2088.70-2090.56] 本 festa
[2090.56-2092.38] 或会上搜或者说
[2092.38-2093.16] 不 peek
[2093.16-2094.14] Ravene
[2094.14-2111.22] M
[2111.22-2113.10] H
[2113.10-2114.08] ноч
[2114.08-2114.10] D
[2114.10-2114.28] C
[2114.28-2114.32] i
[2114.32-2114.34] t
[2114.34-2144.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2144.34-2174.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2174.34-2204.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2204.34-2234.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2234.34-2264.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2264.34-2294.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2294.34-2324.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2324.34-2354.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2354.34-2384.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2384.34-2414.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2414.34-2444.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2444.34-2474.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2474.34-2504.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2504.34-2534.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2534.34-2564.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2564.34-2594.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2594.34-2624.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2624.34-2654.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2654.34-2684.32] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
