[0.00-5.90] 现在时间为1点30分
[300.96-305.82] 相较2023年同期是增加了约36.55亿元
[305.82-311.70] 主要是因为裕隆汽车进口车销售台数较2023年同期增加
[311.70-316.32] 以及N7车型的销量销售是增长
[316.32-320.16] 所以致使整体的一个营收有成长
[320.16-323.22] 而看到营业净利也较全年同期对比
[323.22-325.54] 则有微幅的下滑
[325.58-330.70] 这部分主要是受到裕隆城跟纳智捷收入是有利的
[330.70-334.28] 而裕隆受到升息的影响而下滑
[334.28-342.22] 第二是税前净利则较2023年的同期是减少了14.52亿
[342.22-353.48] 主要刚刚也有报告过是因为裕隆企业本业的营收净利较2023年同期是减少了15.44亿元所致
[353.48-355.54] 接下来我们看到裕隆汽车2024年同期是增加了15.44亿元所致
[355.58-357.62] 接下来我们看到裕隆汽车2024年同期是增加了15.44亿元所致
[357.62-363.78] 在2024年本公司的一个合并资产负债比是75%
[363.78-371.70] 但是如果不含裕隆企业曾做融资业务短期借款以及应付短期票券等金额之后
[371.70-374.26] 则负债比是33%
[374.26-378.88] 那对比23年底的数字则是38%
[378.88-385.54] 接下来报告在2024年的一个合并现金流量表
[385.54-385.56] 接下来报告在2024年的一个合并现金流量表
[385.58-392.12] 首先我们看到营业活动的净现金是增加了194.09亿元
[392.12-392.14] 首先我们看到营业活动的净现金是增加了194.09亿元
[392.14-399.16] 主要是合并利息收支的金额是增加了大概208.16亿元
[399.16-403.88] 而在投资活动的净现金则是减少了27.82亿元
[403.88-408.36] 主要是固定资产是净增加了24.8亿元
[408.36-413.90] 那在第三投资活动的净现金是减少了196.28亿元
[413.90-415.54] 主要是短期净现金是减少了296.28亿元
[415.54-420.28] 而应付短期票券也减少了大概143.48亿元
[420.28-423.82] 那我们可以看到如果不含TAC
[423.82-428.52] 因为它的TAC的现金流是借款来做营收
[428.52-430.24] 放款营收的使用
[430.24-434.94] 所以我们通常会把不含TAC这个地方单独表列出来
[434.94-438.10] 在不含TAC的自由现金流量
[438.10-440.44] 也就是合并营业活动的现金流量
[440.44-442.32] 以及投资活动的现金流量
[442.32-444.48] 大概是53亿
[444.48-445.52] 对比的现金流量
[445.54-451.10] 比2023年整年则是增加了大约有78.5亿元
[451.10-456.94] 那这是整个裕隆汽车不含TAC的一个状况
[456.94-462.68] 那接下来请看到在2024年ESG的一个推动成果
[462.68-468.12] 裕隆汽车在环境保护、社会责任以及公司治理
[468.12-471.64] 都分别有取得各项奖项的肯定
[471.64-473.84] 那特别是在去年的时候
[473.84-475.36] 本公司已经第十度
[475.36-479.66] 产联公司治理评鉴在上市公司排名前5%
[479.66-485.08] 此外在2024年天下永续公民奖的大型企业制造业主
[485.08-486.78] 我们也到第17名
[486.78-496.48] 那最后我们在去年还是一样入选台湾永续指数的一个成分股
[496.48-500.32] 那接下来跟各位报告有关环境永续的部分
[500.32-504.74] 裕隆汽车持续针对台湾原生植物进行复育
[504.74-508.54] 目前与台湾山林复育协会共同合作
[508.54-515.66] 致力复育台湾浅山原生物种保存天然的一个零基的一个基因库
[515.66-519.32] 那我们在2024年整个年度的一个时机
[519.32-522.04] 累计完成了34个调查点
[522.04-525.62] 浅山地的一个采种有143种
[525.62-529.98] 也抚育了大概超过4000种的这个原生苗木
[529.98-533.44] 并持续在办理环境教育的体验营
[533.44-534.70] 而在今年度的目前的发展中
[534.74-538.12] 我们的目标针对幼苗的一个培育量
[538.12-541.32] 则会超过6000株一年
[541.32-546.50] 并且会建立两处的一个生态树岛
[546.50-549.32] 接下来报告在社会参与部分
[549.32-552.86] 裕隆汽车携手林业保育署
[552.86-557.04] 来推动保护地质回保的一个计划
[557.04-559.54] 那这个计划呢是系统公部门
[559.54-560.58] 以及在地的社区协会发展地质监测环境教育圈的一个计划
[560.58-562.78] 以及在地的社区协会发展地质监测环境教育圈的一个计划
[562.78-565.08] 以及在地的社区协会发展地质监测环境教育圈的一个计划
[565.08-567.66] 以及在地的社区协会发展地质监测环境教育圈的一个计划
[567.66-573.08] 共同守护苗栗县火焰山的一个珍贵地景以及生态资源
[573.08-575.70] 实现ESG的一个永续承诺
[575.70-580.74] 那以上是今天裕隆汽车法说会的一个书面报告
[584.74-587.44] 那接下来我们就请开放这个
[587.44-589.48] 线上的一个法人投资者
[589.48-591.58] 以及媒体朋友来进行发问
[591.58-592.48] 谢谢
[592.78-593.78] 谢谢
[622.78-627.78] 我先来就
[627.78-638.32] 法人有提到有关未来股利发放的比例 fot可能提高
[638.32-642.58] 把人有提到有关未来股利发放的比例
[642.58-645.66] 是否可能提高
[645.66-648.74] 那基本上我们的股利发放 di hoje
[648.74-650.62] 我还是很很��爽
[650.62-651.30] 我喜欢我们的股 инструмент
[651.30-652.58] 我喜欢反省抵抗changing
[652.58-655.30] 鼓励的发放政策是一贯的
[655.30-658.12] 那过去这几年来
[658.12-662.16] 一直维持大概在30到50之间
[662.16-666.66] 那30到50是我们基本上
[666.66-669.38] 认为是一个比较稳健的
[669.38-672.52] 一个鼓励发放的这个比例
[672.52-676.40] 那过去这五年平均大概是在35左右
[676.40-681.24] 那我们未来如果经营的体质
[681.24-683.02] 更加健全的时候
[683.02-688.14] 我们会在30到50之间来进行相关的调整
[688.14-693.18] 那这是有关鼓励发放这个部分的回复
[693.18-702.10] 那这一边有提到代工制造的数量跟预估量
[702.10-704.82] 有关代工这个部分
[704.82-710.96] 基本上我们是依照客户的需求
[710.96-711.22] 在进行的
[711.22-712.84] 在进行相关的调整
[712.84-719.00] 那目前我们代工的主体是育龙日产
[719.00-721.38] 还有这个红华先进
[721.38-724.06] 那这两个为主体
[724.06-728.86] 那当然会依照他们年度的这个计划量
[728.86-732.12] 来进行相关的调整跟预估
[732.12-737.72] 那如果从目前的一个状况来看
[738.30-741.18] 我们整体的这个生产代工
[741.18-747.74] 的能量大概是跟去年大概是维持相当的程度
[747.74-752.00] 那有几个比较大的变数
[752.00-758.84] 就是客户在新车型推出的这个时间的前后
[758.84-761.50] 那可能会影响一些数量
[761.50-763.08] 那就这个部分
[763.08-769.96] 我们会逐月或是逐季的来跟大家做回复跟报告
[771.18-773.54] 那另外针对
[773.54-777.74] 二年度的业务的展望
[777.74-780.86] 那这一块
[780.86-786.34] 有关未来的业务的展望
[786.34-793.24] 我先稍微花一点时间来跟大家报告一下
[793.24-800.48] 育龙汽车在过去经历了这个跟东风育龙
[800.48-800.90] 这个的展望
[801.18-803.30] 的这个合作
[803.30-807.38] 基本上有一定程度的挫败
[807.38-817.02] 那这一件事情在过去几年已经完全这个处理完毕
[817.02-822.62] 那现在育龙汽车的体质是非常的健全
[822.62-827.46] 那我们可以从几个部分
[827.46-830.58] 依照我们现在育龙汽车的财务的结构
[830.58-830.96] 是更加的进步了
[831.18-832.30] 是更加的稳健
[832.30-834.94] 那信用的平等
[834.94-838.38] 也在逐级的提升
[838.38-839.86] 那另外
[839.86-843.30] 我们在个体的负债的比例
[843.30-846.36] 事实上正逐年在下降
[846.36-848.36] 如果从我们的数据来看
[848.36-854.10] 我们去年的个体的负债比例已经降到大概在30以下
[854.10-856.08] 大概在26左右
[856.08-860.70] 所以我们的这个体质很健全啊
[860.70-861.02] 另外啊
[861.02-865.18] 就是近年来我们的自由现金流量啊
[865.18-866.94] 多是正数
[866.94-872.74] 那流动比例也多在100几乎是120%以上
[872.74-875.34] 所以就这一个部分
[875.34-878.58] 我们认为我们的财务结构啊
[878.58-880.62] 是非常的健全
[880.62-881.66] 那除此之外
[881.66-884.14] 刚刚也有跟大家报告过
[884.14-888.10] 我们在公司治理的层层面上面
[888.10-890.98] 我们已经连续非常多年
[891.02-895.22] 呃多在这个上市公司前5%的这个
[895.22-897.42] 呃的位阶了
[897.42-900.94] 的的名呃名单里头
[900.94-906.14] 所以呃相当程度显示我们公司的这个公司治理
[906.14-908.70] 的这个健全程度
[908.70-911.78] 那再进一步啊
[911.78-915.18] 如果就呃未来的发展上面
[915.18-921.00] 我认为我们育龙汽车未来是更稳健的在发展哦
[921.02-924.34] 那大家都知道影响我们育龙汽车
[924.34-927.42] 很主要获利结构的
[927.42-929.78] 部分有几个因素啊
[929.78-932.54] 那第一个就是洪华先进哦
[932.54-934.14] 那洪华先进
[934.14-937.46] 各位从很多的媒体
[937.46-940.34] 呃也可以看得到啊
[940.34-941.58] 洪华先进
[941.58-945.10] 现在的营收逐年在扩大
[945.10-949.94] 那也逐年在推出新的车型哦
[949.94-950.54] 所以
[951.02-955.12] 他是往向好的方向在进行
[955.12-956.66] 在前进
[956.66-958.50] 另外就是育龙日产哦
[958.50-963.22] 育龙日产主要是业外的认业收益的部分
[963.22-965.86] 那现在也更趋于稳定
[965.86-969.74] 所以呃就这一块对育龙汽车的影响
[969.74-974.06] 事实上未来是呃会比较平稳的
[974.06-978.42] 那其次是新安残险的获利
[978.42-979.70] 事实上
[979.70-980.98] 逐年多在提升
[980.98-985.08] 这个对我们来讲也是非常有利的
[985.08-987.12] 那育龙企业哦
[987.12-989.42] 刚刚提到TAC的部分
[989.42-993.52] TAC的部分事实上过去有碰到
[993.52-996.86] 特别是针对销金的部分哦
[996.86-1000.94] 那在这个不良资产的比例上面
[1000.94-1003.00] 事实上现在已经多
[1003.00-1005.82] 呃控制的非常的完善
[1005.82-1006.84] 那
[1006.84-1010.16] 除此之外他的资产的余额
[1010.16-1010.94] 现在已经是在
[1010.98-1014.30] 现在也在触底反升当中哦
[1014.30-1017.38] 所以呃就呃
[1017.38-1020.20] 整个融资的事业上面啊
[1020.20-1024.30] 特别再加上企业金融的领域啊
[1024.30-1026.34] 对于这个
[1026.34-1029.42] 育龙啊这一家公司未来的认列
[1029.42-1030.94] 我们认为
[1030.94-1032.22] 他还是
[1032.22-1034.02] 一个非常好的
[1034.02-1036.58] 呃一个发展
[1036.58-1038.38] 那另外
[1038.38-1040.16] 呃就是
[1040.16-1040.94] 呃在
[1040.98-1042.26] 在本业的部分
[1042.26-1045.08] 那可能大家会比较担心
[1045.08-1048.14] 呃育龙日产的销量在
[1048.14-1049.18] 减少
[1049.18-1051.98] 那又受到这个川普的
[1051.98-1053.78] 这个对等关税啊等等
[1053.78-1055.58] 这一类的一些影响
[1055.58-1056.60] 那或许
[1056.60-1059.66] 大家会有一定程度的担心
[1059.66-1061.20] 但是
[1061.20-1063.26] 呃在
[1063.26-1065.04] 国内来看哦
[1065.04-1066.84] 育龙汽车啊
[1066.84-1068.12] 基本上是
[1068.12-1069.90] 我们国内车厂最具嫩鲜的车厂
[1069.90-1070.94] 最具嫩鲜的车厂
[1070.98-1072.00] 那肯定是
[1072.00-1073.02] 一家
[1073.02-1074.82] 呃生产工厂
[1074.82-1079.18] 那特别是在未来电动车的这个浪潮之下
[1079.18-1080.96] 那育龙汽车是
[1080.96-1085.32] 最具有这个生产资质的这个生产工厂
[1085.32-1086.34] 那
[1086.34-1088.64] 呃我相信育龙汽车
[1088.64-1092.22] 他应该会是国内啊这个
[1092.22-1096.32] 最能够存续的一家汽车公司
[1096.32-1097.10] 那我
[1097.10-1098.12] 如果
[1098.12-1100.94] 可能的话我可以再进一步再跟
[1100.94-1103.24] 大家阐述一下
[1103.24-1106.82] 在电动车的这一个生产的
[1106.82-1108.62] 领域里头
[1108.62-1111.70] 在国内啊现在没有一家
[1111.70-1112.46] 车厂啊
[1112.46-1114.26] 具有
[1114.26-1116.82] 生产电动车的能力
[1116.82-1119.12] 那育龙汽车从
[1119.12-1121.94] 这个纳智捷M7开始啊
[1121.94-1125.52] 事实上也已经累积了超过
[1125.52-1130.64] 呃一万辆以上的这个纯电车的一个生产的资质
[1130.64-1133.20] 那可能大家或许比较
[1133.20-1135.24] 不一定那么了解
[1135.24-1138.84] 生产电动车跟生产汽油车
[1138.84-1143.18] 有一定程度有很大的区隔
[1143.18-1148.30] 那在电动车的部分有一个很重要的主体就是电池
[1148.30-1151.38] 呃这个主力生产
[1151.38-1155.22] 那他的核心的技术是在于组装
[1155.22-1157.00] 的过程当中的
[1157.00-1158.80] 品质的确保
[1158.80-1160.34] 那包括他的
[1160.34-1164.18] 封装包括他的测试验证
[1164.18-1168.02] 等等啊这个多需要有一些核心的
[1168.02-1171.60] 这个设备跟能力啊才有办法来
[1171.60-1175.18] 进行相关电池的这个组装
[1175.18-1178.00] 测试跟验证的工作
[1178.00-1180.06] 除此之外
[1180.06-1181.84] 还有就是
[1181.84-1183.12] 在
[1183.12-1186.70] EMS也就是电池的管理系统
[1186.70-1190.30] 还有就是OTA就是线上的这一些
[1190.30-1192.60] 相关的资讯的
[1192.60-1194.40] 连结取得
[1194.40-1197.72] 这个部分也是预容汽车
[1197.72-1199.00] 拥有的
[1199.00-1203.10] 一些测试的能力跟认证的能力
[1203.10-1204.64] 那另外就是
[1204.64-1206.42] 在电动车
[1206.42-1211.54] 的这个主力的过程当中为了要轻量化
[1211.54-1212.82] 所以他
[1212.82-1216.42] 在所谓易材质也就是说
[1216.42-1217.44] 这个
[1217.44-1220.00] 车身跟铝制件
[1220.00-1221.54] 之间的这个
[1221.54-1223.58] 这个锚合跟连结
[1223.58-1225.38] 的过程当中
[1225.38-1227.94] 这是需要有特殊的技术的
[1227.94-1228.70] 所以
[1228.70-1231.26] 不是一般泛用的
[1231.26-1234.08] 一般的这个板件的生产
[1234.08-1237.40] 所能够达到的能力
[1237.40-1238.44] 另外
[1238.44-1242.28] 电动车几乎大部分在轮胎
[1242.28-1244.06] 钢圈的这个
[1244.06-1247.40] 尺寸上面多超过19寸以上
[1247.40-1249.96] 这个也需要有特殊的
[1249.96-1251.76] 组装的设备
[1251.76-1253.54] 才有办法达成
[1253.54-1255.08] 我
[1255.08-1258.66] 林林总总约略做这样的一个表述
[1258.66-1260.96] 是要让大家知道
[1260.96-1263.28] 要能够生产
[1263.28-1264.56] 电动车
[1264.56-1268.64] 他是需要具备很多的资质跟能力的
[1268.64-1269.16] 所以
[1269.16-1272.48] 我在这边也特别跟大家说明
[1272.48-1275.82] 预容汽车的嫩性还有预容汽车
[1275.82-1276.58] 在
[1276.58-1279.14] 生产能量
[1279.14-1279.92] 各方面的
[1279.96-1283.28] 努力我们还会持续的去进行
[1283.28-1284.56] 那这个是
[1284.56-1286.88] 针对未来的
[1286.88-1288.92] 可能的发展我大概
[1288.92-1294.80] 花一点时间跟大家做以上的报告
[1294.80-1299.42] 那另外就是
[1299.42-1302.24] 股价低于净值
[1302.24-1305.04] 这个我们需要努力啦
[1305.04-1308.64] 我们把未来的发展好好
[1308.64-1309.92] 还有一些资源
[1309.92-1313.24] 整合的工作好好把它做好
[1313.24-1316.06] 我有一定程度的信心
[1316.06-1319.40] 我们会逐步来提升
[1319.40-1323.48] 我们的净值
[1323.48-1325.28] 那
[1325.28-1331.16] 纳资杰的销售目标这个可能要由纳资杰这一边
[1331.16-1331.94] 因为
[1331.94-1333.72] 这个是一个
[1333.72-1337.06] 变动的过程
[1337.06-1339.62] 年度的计划我们会
[1339.62-1340.64] 依照
[1340.64-1344.74] 这个生产我们产能的这一些相关的
[1344.74-1349.86] 计划来做一些规划跟安排
[1349.86-1351.90] 那针对
[1351.90-1356.78] 调降进口车关税这个议题我刚刚
[1356.78-1358.56] 有谈到过
[1358.56-1359.58] 那
[1359.58-1361.64] 目前
[1361.64-1364.96] 我认为关税
[1364.96-1367.26] 的部分短期间
[1367.26-1369.58] 当然这个是跟
[1369.62-1375.26] 美国的一些相关的政策不有影响
[1375.26-1375.76] 那
[1375.76-1380.38] 这个我们需要一些观察那我刚刚有特别强调
[1380.38-1383.44] 我们未来有很
[1383.44-1385.24] 大的
[1385.24-1386.26] 客户
[1386.26-1390.10] 生产的来源来自于这个鸿华先进
[1390.10-1391.64] 我们自
[1391.64-1392.92] 主品牌
[1392.92-1393.94] 所以
[1393.94-1396.50] 这一个部分比较不受
[1396.50-1398.80] 这个进口关税
[1398.80-1402.64] 调整的一些影响这个是我们
[1402.64-1405.72] 相当程度是比较
[1405.72-1408.02] 能够确保我们的产能
[1408.02-1409.80] 的利用
[1409.80-1410.84] 上面的
[1410.84-1412.88] 很关键的一个
[1412.88-1413.90] 一个
[1413.90-1416.72] 议题
[1416.72-1419.54] 那另外就是
[1419.54-1422.10] 股价
[1422.10-1424.92] 这个很抱歉股价没有
[1424.92-1427.98] 把它做好这个我们要努力
[1427.98-1428.76] 那
[1428.80-1431.36] 另外
[1431.36-1434.18] 10月22号川普
[1434.18-1436.74] 这个关税刚刚也已经
[1436.74-1439.56] 阅列说明了
[1439.56-1440.84] 那
[1440.84-1444.92] 其他具体活化资产的计划
[1444.92-1447.74] 在资产活化这一块
[1447.74-1453.12] 各位都知道我们在新店的这个育农城
[1453.12-1457.22] 的发展的开发事实上是
[1457.22-1458.76] 到目前为止来看是一种
[1458.76-1462.60] 是相当成功的以现在的客流量
[1462.60-1466.96] 还有跟营收等等之类的大概多
[1466.96-1470.02] 比我们预期的都还要好
[1470.02-1473.60] 那我们后续当然还有一些这个
[1473.60-1477.70] 这个住宅区甚至我们三亿厂区
[1477.70-1481.04] 还有一些这个开发的机遇
[1481.04-1485.12] 那这个我们都在进行相关的规划
[1485.12-1486.92] 我们尽量
[1486.92-1488.72] 做我们能做的
[1488.72-1495.86] 或是盡量讓我們的資產能夠更有價值的去體現
[1495.86-1499.86] 這個也是我在到任之後
[1499.86-1505.66] 一直在跟我們的同仁積極在探討的一些課題
[1505.66-1512.50] 那後續如果有比較具體的這個規劃成型的時候
[1512.50-1514.96] 會陸續來跟大家做報告
[1518.72-1533.56] 接下來是有關三億廠三菱電動車合作
[1533.56-1537.90] 這個部分就容許我要跟大家致歉
[1537.90-1544.00] 因為我們在業務的合作關係上面
[1544.00-1548.70] 我們是接受宏華先進的委員會
[1548.72-1550.72] 委託代工生產
[1550.72-1559.98] 那所以宏華的客戶跟宏華先進的一些相關的資訊
[1559.98-1562.98] 這個基本上我們沒有權利
[1562.98-1568.98] 而且這個部分應該是要由宏華先進這一邊來做說明
[1568.98-1572.98] 那我們說明也不是很妥善
[1572.98-1574.98] 也不一定正確
[1574.98-1576.98] 在這邊要跟大家致歉
[1576.98-1578.68] 那接下來我們就要來看看
[1578.68-1583.68] 那N5這個部分就是我剛剛有報告過
[1583.68-1588.68] 在今年的這個計劃目標上面
[1588.68-1594.68] 那它的上市時間就會影響到我們今年整體的產能
[1594.68-1598.68] 那因為有一些不確定性的因素
[1598.68-1604.68] 所以我沒有辦法在這一邊跟大家預告或是做預估
[1604.68-1608.68] 那我想隨著時間的接近
[1608.68-1614.68] 那我們會接續或是更明確會來再跟大家做說明
[1614.68-1618.68] 我們必然如果有一些這個新的資訊
[1618.68-1620.68] 一定會來跟大家做報告
[1638.68-1640.68] 那我現在就要來回答一下
[1640.68-1642.68] 那我現在就要來回答一下
[1642.68-1644.68] 那我現在就要來回答一下
[1644.68-1646.68] 那我現在就要來回答一下
[1646.68-1648.68] 那我現在就要來回答一下
[1648.68-1650.68] 那我現在就要來回答一下
[1650.68-1656.68] OK那如果沒有其他的提問的話
[1656.68-1662.68] 那或許容許我們今天就到這邊可以告一個段落
[1662.68-1666.68] 那在這裡我要特別謝謝各位法輪功學家
[1666.68-1668.68] 那在這裡我要特別謝謝各位法輪功學家
[1668.68-1670.68] 那在這裡我要特別謝謝各位法輪功學家
[1670.68-1672.68] 那在這裡我可以 Jane 股東對裕隆的支持
[1672.68-1674.68] 那你們的繼續支持
[1674.68-1676.68] 那 możemy能氣管我們
[1676.68-1686.78] 我們可以繼續
[1686.78-1688.78] 那沒了結果
[1688.78-1692.26] 但üllt
[1692.26-1695.34] 那個就是ony
[1695.34-1696.28] S Solar 分 голос
[1696.28-1696.70] 之
[1696.70-1697.30] 尼
[1697.30-1700.04] 今天非常谢谢云团队这边的分享
[1700.04-1702.64] 那我们今天育龙汽车的法说
[1702.64-1704.08] 就先到此告一段落
[1704.08-1706.56] 谢谢各位媒体及法人朋友们的参与
[1706.56-1707.30] 谢谢大家
[1707.30-1710.18] 好 谢谢 谢谢大家
