[0.00-3.88] 各位投资先进与媒体朋友午安
[238.28-240.54] 营业效率的持续优化
[240.54-241.50] 以及呢
[241.50-244.44] 与供应链紧密协作的中效
[244.44-245.92] 毛利率呢
[245.92-248.44] 年增2.3个百分点
[248.44-250.76] 季增1.3个百分点
[250.76-253.22] 营业利益的金额
[253.22-254.96] 年增65%
[254.96-257.34] 由于营收规模的提升
[257.34-259.22] 我们的营业利益率呢
[259.22-261.66] 年增2.3个百分点
[261.66-263.52] 季增1个百分点
[263.52-265.84] 营业费用呢
[265.84-266.46] 年增65%
[266.60-267.70] 则26%
[267.70-269.08] 营业费用率呢
[269.08-272.06] 则年减0.1个百分点
[272.06-273.02] 其中呢
[273.02-275.52] 研发费用对营收的占比呢
[275.52-277.96] 达到了5.6%
[277.96-279.46] 研发的金额呢
[279.46-280.78] 年增近两成
[280.78-282.90] 研发支出主要呢
[282.90-284.32] 还是以云端运算
[284.32-286.18] 光电 5G
[286.18-288.80] 以及新事业投入的比重较高
[288.80-291.42] 营业外收支金额是
[291.42-292.20] 9.9亿
[292.20-294.20] 年增1亿
[294.20-295.62] 税后净利呢
[295.62-296.58] 是34.1亿
[296.60-298.90] 每股净利呢
[298.90-300.40] 是1.51
[300.40-303.16] 年增45个百分点
[303.16-305.46] 这是我们第一季的营运成果
[305.46-307.00] 那我们来看一下
[307.00-309.20] 我们三大部门
[309.20-310.88] 三大事业部门呢
[310.88-312.00] 在第一季
[312.00-315.00] 我们的光电跟云端物联网
[315.00-316.06] 两大部门
[316.06-317.16] 合计营收呢
[317.16-320.08] 占比达到了62个百分点
[320.08-320.96] 同比呢
[320.96-323.64] 提升了4个百分点
[323.64-325.12] 那我们的营业利益呢
[325.12-325.70] 则是年增百分点
[325.70-328.00] 年增65%
[328.00-331.84] 我们看云端物联网部门
[331.84-335.18] 营收在第一季是156亿
[335.18-337.48] 占比43个百分点
[337.48-340.04] 年增55%
[340.04-342.86] 那主要呢是受惠于新一代
[342.86-344.64] 高阶电能的
[344.64-346.18] 高阶云端
[346.18-348.48] 电能出货产品的成长
[348.48-350.28] 包含了这个电源
[350.28-353.34] 以及储能的产品出货的成长
[353.34-354.62] 那营业利益呢是21亿
[354.62-355.66] 那营业利益呢是21亿
[355.70-360.56] 年增2.2倍
[360.56-361.84] 在光电部门
[361.84-363.64] 营收69亿
[363.64-365.68] 占比19个百分点
[365.68-367.48] 年增5%
[367.48-369.26] 那光电半导体当中呢
[369.26-371.06] 可见光的mini LED
[371.06-373.36] 与不可见光的核心应用
[373.36-374.64] 持续的提升
[374.64-376.70] 营业利益是4.8亿
[376.70-381.82] 年增59%
[381.82-384.12] 在资讯与消费性电子部分
[384.12-385.66] 营收是139亿
[385.70-388.26] 占比38%
[388.26-390.30] 年增了15个百分点
[390.30-391.34] 那当中呢
[391.34-393.38] IT的高阶电源
[393.38-394.92] 低轨卫星电源
[394.92-397.98] 以及智慧输入装置出货年成长
[397.98-401.06] 带动了这个营业利益是11亿
[401.06-402.86] 照去年同期呢
[402.86-407.20] 微幅的增加
[407.20-410.54] 那在我们简明的资产负债表的部分呢
[410.54-412.58] 我们第1季的流动资产
[412.58-413.86] 和同比相较
[413.86-415.66] 就跟去年同期相较的
[415.70-417.74] 我们的营收账款
[417.74-420.06] 因为营收的增加呢年增了
[420.06-421.58] 49亿
[421.58-424.66] 存货呢是年增20亿
[424.66-427.74] 流动负债当中的短期借款呢
[427.74-429.26] 年增89亿
[429.26-432.34] 那应付账款的年增72亿
[432.34-433.88] 在天数的部分
[433.88-437.20] 我们的营收账款还有存货的天数
[437.20-440.02] 分别年减5天跟8天
[440.02-441.56] 所以我们的CCC
[441.56-443.34] 现金循环周期呢
[443.34-445.66] 同比改善了11天
[445.66-450.78] 这反映了我们营运资金管理的成效是持续的提升
[450.78-454.36] 那同时我们的速动比例跟我们的流动比例呢
[454.36-457.94] 分别来到1.26跟1.53倍
[457.94-460.76] 相对呢是平稳的
[460.76-464.10] 净现金部位呢是737亿
[464.10-466.66] 对于我们未来提升营运动能
[466.66-469.72] 以及呢我们核心事业的投资跟成长呢
[469.72-472.02] 都有注意跟准备
[472.02-473.82] 每股净值39元
[473.82-475.62] 年增8%
[475.66-477.70] 这说明了我们的核心价值
[477.70-484.88] 就是Intrinsic Value持续的提升
[484.88-487.44] 我们从2021年开始呢
[487.44-488.72] 我们策略性的
[488.72-490.00] 提高这个
[490.00-492.56] 提升高价值事业的占比
[492.56-495.12] 并且降低这个非核事业
[495.12-497.42] 以及太弱流强产品组合
[497.42-500.50] 我们可以看到呢在2025年的第一季
[500.50-502.02] 我们的毛利率呢
[502.02-504.58] 提升到22.6%
[504.58-505.62] 那营业利益率呢
[505.62-508.70] 提升到10.1%
[508.70-510.74] 在营运模式优化的部分呢
[510.74-512.02] 我们是朝这个
[512.02-515.10] 系统整合发展高价值的事业
[515.10-516.88] 包含了我们的光电
[516.88-518.16] 跟云端部门
[518.16-520.46] 在整体营收呢在第一季
[520.46-523.02] 已经来到了62%
[523.02-525.34] 相较于21年的第一季呢
[525.34-527.38] 则是50%
[527.38-528.14] 所以
[528.14-530.20] 高值化事业的成长呢
[530.20-534.30] 带动了整体获利率的提升
[534.30-535.58] 那很快的我们看一下
[535.58-537.62] 我们第一季的营运总览
[537.62-541.22] 第一季我们的营收364亿元
[541.22-543.26] 年增27%
[543.26-546.34] 我们三大事业部门呢都是年成长
[546.34-549.14] 营业毛利率22.6%
[549.14-551.96] 营业利益率呢是10.1%
[551.96-555.30] 两者皆是年增2.3个百分点
[555.30-558.62] 主要是受惠于高价值事业比重的提升
[558.62-561.70] 全球营运效率的优化呢
[561.70-565.54] 再加上跟和供应链紧密协作的中效
[565.58-569.42] 研发投入占当季营收的5.6%
[569.42-571.46] 金额是年增近两成
[571.46-576.34] 聚焦在云端光电5G以及新事业等投入
[576.34-578.64] 税后净利34.6亿元
[578.64-582.98] 每股盈余1.51年增45%
[582.98-584.78] 在核心事业的部分呢
[584.78-587.86] 我们受惠于新一代AI伺服器的电源
[587.86-589.90] 云端运算的产品
[589.90-591.70] 以及呢电能管理系统
[591.70-593.22] 出货的顺利
[593.22-595.54] 云端及物联网部门的营业
[595.54-598.62] 营收年成长超过5成
[598.62-600.66] 光电部门当中呢
[600.66-602.70] 光电半导体的可见光
[602.70-604.50] 应用在miniLED
[604.50-608.08] 以及不可见光的核心应用持续提升
[608.08-612.18] 带动了这个部门营收年增近一成
[612.18-613.46] 资讯部门呢
[613.46-616.28] 受惠于高阶产品比重的提升
[616.28-618.32] 再加上低纬卫星电源
[618.32-621.14] 以及智慧输入装置出货的成长
[621.14-624.22] 带动营收年增近两成
[624.22-625.24] 同时呢
[625.24-627.54] 我们4月份董事会决议
[627.54-630.62] 预定买回库藏股13万张
[630.62-634.46] 那期间呢是从4月10号到6月9号
[634.46-637.02] 那截至昨日4月29号呢
[637.02-640.86] 已经买回了12135张
[640.86-643.92] 这个主要体现了我们的核心价值
[643.92-647.26] 以及维护股东权益的心意
[647.26-649.56] 那同时呢我们预定在520
[649.56-650.58] 5月20号
[650.58-652.38] 举办股东常会
[652.38-655.20] 那以上呢是我很快的
[655.24-657.80] 对第一季财务重点的报告
[657.80-659.60] 那接下来的时间呢
[659.60-661.12] 交给总经理Anson
[661.12-662.40] 向各位说明
[662.40-666.00] 公司的营运展望以及长期成长策略
[666.00-666.50] 谢谢
[670.34-671.62] 好谢谢Jerry
[672.40-673.68] 也谢谢
[673.68-676.74] 今天来这里的各位投资
[676.74-678.80] 伙伴还有媒体朋友们大家好
[680.08-682.38] 我知道今天可能有很多的法说冲突
[682.38-685.20] 所以今天还能看到各位坐在这个地方
[685.24-686.78] 我们PR部门呢
[687.04-689.08] 特别有跟我讲一下特别谢谢大家
[689.60-691.12] 谢谢大家的到来
[691.90-692.66] 那我想
[693.68-694.72] 今天可能大家觉得
[694.96-696.24] 场地不一样
[697.28-699.84] 为什么因为我们刚刚Julie说了我们的
[700.08-702.14] 这个一路以来都是在我们
[702.40-704.44] 公司内部的这个国际会议厅
[704.70-705.98] 好来做这样的一个
[706.48-707.52] 实地的法说
[708.02-712.38] 那今天因为刚好我们整个这个实体的这个
[712.64-714.68] 国际会议中心在remodel
[715.24-716.26] 就是为了那个
[716.52-720.36] 将来各位能够回到我们这个国际会议厅的时候
[720.62-722.40] 有个更舒服更舒适的环境
[722.66-723.44] 所以
[723.68-724.72] 今天我们就
[724.96-726.00] 到这个地方来
[727.02-729.58] 那这也说明了一件事情就是说
[730.86-732.14] 大家都应该习惯了
[732.40-732.90] 就是说
[733.16-733.92] 这个世界啊
[734.70-735.72] 每天都在变
[737.52-738.02] 所以
[738.28-739.04] 没有那个
[739.56-740.84] 一成不变的事情
[741.36-742.12] 哪怕
[742.38-744.68] 今天我们说我想维持我们的
[744.68-745.20] 这个
[745.24-747.04] 法说都在公司里面进行
[747.28-749.08] 但是还是会有碰到一些状况
[749.60-750.62] 那这跟
[751.38-752.16] 我想我们
[752.40-753.44] 大家都关注的
[753.68-754.46] 第二季
[754.72-757.28] 这个世界经济局势的变化
[757.78-758.80] 也是一样的道理
[760.34-761.88] 那我想大家第二季最
[762.14-763.42] 关注的一个事情
[763.68-765.46] 都应该是在这个
[765.98-767.76] 美国的这个
[768.02-768.80] 关税政策
[769.30-771.10] 所可能带来的影响
[771.86-774.94] 那我想我就先从这里开始跟大家聊起好了
[775.76-776.26] 为什么因为
[776.52-779.08] 为这个事情事实上我也特别
[779.34-781.64] 跟几个重要的客人
[781.90-782.66] 还有我们
[782.92-784.46] 可能是一些同业的前辈
[784.72-786.00] 包括我们在
[786.24-787.02] 这个
[787.28-788.56] 产业界里面的一些好朋友
[789.06-790.08] 都有做了一些
[790.34-791.62] 沟通跟了解
[792.90-793.68] 那普遍啊
[793.92-794.96] 我跟各位报告
[795.20-796.74] 我问到的答案都是
[797.26-798.02] 没有答案
[799.82-800.32] 就是说
[800.58-802.64] 大家都真的不知道接下来
[802.88-804.16] 到底这整个局势
[804.42-804.94] 会带来
[804.94-805.96] 给这个世界
[806.22-807.76] 带来什么样的改变
[809.04-810.06] 那也的确是啦
[810.32-811.08] 最主要是因为
[811.34-812.10] 这个政策的
[812.36-812.88] 这个
[813.64-816.46] 部分的每个礼拜我们不敢说每天
[816.72-818.50] 至少每个礼拜都有新的update
[818.76-819.28] 所以
[819.54-823.38] 这些改变到底真正影响到我们是什么的
[823.88-824.40] 我想
[824.66-826.44] 当然我们可以based on这个assumption
[826.70-827.72] 去做一些模拟
[827.98-828.50] 可是
[829.52-831.06] 这些模拟都有可能因为
[831.30-833.36] 下一次政令的改变
[833.36-835.16] 不做一些调整
[835.40-835.92] 所以
[836.18-837.96] 现在即使我有答案
[838.48-839.00] 回答
[839.24-840.28] 回答给大家
[840.52-844.36] 可能下个礼拜你们再问我同样的问题的时候可能答案又不一样
[844.88-845.40] 好不好
[845.64-847.18] 所以我利用这个机会
[847.44-848.46] 先跟大家说一下
[848.72-850.76] 因为我相信待会的Q&A里面
[851.02-853.08] 大概有很多好朋友都会问我这个问题
[853.58-855.88] 所以我大概就先主动的跟
[856.14-856.92] 说明一下
[857.16-858.20] 其实这件事情可能
[858.44-859.72] 要先决定说
[859.98-860.50] 这个
[860.76-863.32] 关税政策到底他是怎么样一个
[863.62-864.38] 最终落地的
[864.64-865.16] 拍板的
[865.40-866.18] 定案会是什么
[866.44-868.48] based on那个我想我们
[868.74-870.02] 能够做的事情
[870.78-871.30] 就是
[871.56-875.14] 如果在我们自己内部我们可以去做的是
[875.64-876.42] 尽可能的
[876.68-878.20] 把我们该做好的事情做好
[879.74-882.04] 外部不能改变的事情我想就
[882.56-885.88] 没有办法就看外部怎么变化那我们应该怎么因应
[887.16-888.44] 那至于说我们
[888.70-893.06] 怎么因应这个事情呢我觉得我可以分享给大家的事情就是说
[893.36-897.46] 这个关税政策也是我想也不是针对某一个国家更不
[897.72-900.28] 更不是针对某一个公司去做的事情
[900.52-902.58] 所以大家面对的环境都一样
[903.08-906.68] 所以我们应该是要回到我们自己内部的角度来思考
[906.92-909.24] 我们如何在这个变局当中呢
[909.48-910.26] 找到一个
[910.52-911.28] 好的position
[911.54-912.82] 找到一个好的机会
[913.58-917.42] 说明在这样的一个变动当中我们可以去扭转一些事情
[917.68-918.20] 然后
[918.44-920.76] 在这个过程当中可以去创造出
[921.00-922.04] 一个对我们公司
[922.28-923.32] 对各位
[923.62-924.12] 投资法人
[924.64-925.16] 投资者
[925.40-926.44] 有一个更好的一个
[926.94-927.72] 转机出来
[928.74-932.06] 所以我想第一个我们可能会去强化我们
[932.32-934.62] 在世界各地的这个制造
[934.88-935.40] 布局
[935.64-936.92] 这个是我觉得
[937.18-937.70] 在
[938.20-940.26] 关税不可避免的前提之下
[940.52-943.58] 我们应该要去建立一个前走更有
[943.84-944.86] 韧性的一个
[945.12-945.64] supply chain
[946.14-947.42] 那这个supply chain
[947.68-948.96] 除了我们自己
[949.98-951.52] 对应我们的客人之外
[951.78-953.32] 另外一个就是我们如何
[953.62-954.64] 也包括我们自己的
[954.90-956.68] 供应商我们的supply chain
[957.20-958.22] 配合我们一起
[958.48-960.02] 来建立一个更
[961.04-962.58] 暴地的更完整的
[962.84-963.60] 这样一个
[964.62-965.90] 区域性的一个供应链
[966.16-966.68] 我觉得
[966.92-968.98] 这个是第一个非常重要的一个事情
[969.74-970.76] 那第二呢
[971.28-971.80] 当然
[972.56-973.08] 最终
[973.32-975.12] 关税影响的就是成本
[976.14-978.70] 所以如何去降低我们的成本
[979.22-980.50] 那当然
[980.76-983.06] 可能也还是从我们自己本身的
[983.36-984.38] 社区上面去找手
[984.90-985.40] 所以
[985.66-987.20] 如何去提高我们自己
[987.46-988.48] 产品的这个
[989.24-989.76] 所谓的
[990.02-993.08] 技术力也好或者产品的这个本身的价值
[993.34-993.86] 也好
[994.36-997.18] 这个都是我们这个持续在做也是
[998.20-1002.04] 过去这几年我们公司一直在努力的往所谓的
[1002.30-1002.82] 系统
[1003.08-1004.10] 往所谓的solution
[1004.36-1005.88] 去做的这样的一个
[1006.14-1006.66] 布局
[1006.92-1007.42] 那我想
[1007.68-1010.24] 今天如果一旦我们可以把我们公司的产品
[1010.50-1012.80] 的价值再进一步的提升
[1013.36-1014.12] 我相信
[1014.90-1017.20] 在今天的这个布局当中
[1017.46-1018.22] 我们就应该比
[1018.48-1019.50] 我们的竞争对手
[1019.76-1021.56] 还有更多的机会才对
[1022.58-1025.40] 那第3个我想我们也可以从
[1025.90-1027.44] 我们自己在这个
[1028.98-1031.80] 除了我们自己本身的这个产品以外
[1032.04-1034.60] 我们如何在我们产品之外
[1035.12-1035.88] 也就是说
[1036.14-1037.42] 在我们其他
[1037.68-1039.22] 可以去供应的这些
[1039.72-1040.76] 供应链上面
[1041.00-1042.80] 如何去强化他们本身
[1042.80-1043.82] 的竞争能力
[1044.08-1044.60] 我觉得
[1044.84-1046.12] 这个也是一个很重要的事情
[1046.38-1047.16] 因为
[1047.66-1048.68] 必须坦白讲
[1048.94-1049.96] 如果说
[1050.22-1050.74] 我们
[1051.24-1052.02] 当初在
[1052.52-1053.80] 整个生产的这个
[1054.06-1056.12] 成本的都是放在同一个地方的时候
[1056.36-1057.64] 管理的成本是最低的
[1058.16-1062.00] 可是今天如果因应关税政策我们必须转移到其他地方
[1062.26-1064.04] 事实上我们会担心的就是
[1064.30-1065.32] 我们的供应链
[1066.10-1068.40] 伙伴们到底有没有同样的能力可以
[1068.66-1069.42] 像我们一样
[1069.68-1070.70] 到前九去布局
[1071.22-1072.24] 所以我相信呢
[1072.24-1075.56] 除了我们自己关注我们自己本身要把我们的产品
[1075.82-1077.62] 把我们的制造的布局做好以外
[1077.88-1079.66] 我认为有一件事情非常重要的
[1079.92-1081.72] 也就是要怎么样协助我们的供应商
[1081.96-1084.02] 怎么样让他们跟我们绑得更紧
[1084.52-1085.04] 更紧
[1085.30-1087.34] 怎么样能够协助他们
[1087.60-1089.64] 建立我们当地的一个供应链
[1089.90-1090.68] 这样的事情
[1091.18-1092.46] 来共同服务
[1092.72-1094.26] 灵活调度我们的产能
[1094.52-1096.04] 服务我们的这个客户
[1096.30-1098.60] 成为我们客户的最佳伙伴
[1098.86-1100.14] 我觉得这件事情
[1100.40-1101.68] 都是我们现在
[1101.68-1102.96] 科技做的
[1103.48-1105.00] 的事情来因应这个
[1105.26-1106.28] 关税所带来的
[1106.54-1108.34] 那当然各位也一定会想
[1109.10-1110.12] 成本的增加
[1110.38-1110.90] 最终
[1111.16-1112.44] 其实我认为还是
[1112.68-1113.20] 要
[1113.46-1115.00] 从客户的角度去看
[1115.24-1116.28] 所以我们当然
[1116.52-1119.34] 会配合我们的客户提高我们客户的竞争力
[1120.12-1120.88] 从这个
[1121.14-1122.42] 市场的这个上下游
[1122.68-1123.70] 供应链里面
[1123.96-1126.00] 大家把我们的成本做到最优化
[1126.26-1127.02] 从这个角度
[1127.28-1128.56] 来因应我们关税
[1128.82-1130.36] 所可能产生出来的冲击
[1130.86-1131.64] 我想这个是
[1131.94-1132.70] 引荐我的跟
[1132.96-1134.24] 大家先做一个
[1134.50-1135.78] Roughly的报告当然
[1136.28-1137.82] 大家如果待会还有什么问题的话
[1138.08-1140.12] 可以做细节的部分我们该进一步的
[1140.38-1141.40] 来探讨
[1142.18-1144.74] 那今天我也想利用这种机会在
[1145.00-1149.08] 这个场合里面向大家报告因为我们在第1季的时候
[1149.34-1152.42] 有参与了这个NWC跟GTC的大会
[1152.68-1155.24] 所以我想今天也准备一个小小的影片
[1155.48-1156.52] 来跟大家分享我们
[1156.76-1157.28] 分享一下
[1157.54-1159.84] 我们在这个两个展会当中的一些
[1160.10-1160.86] 的亮点
[1161.12-1161.64] 好不好
[1161.68-1162.70] 我们先看一下影片
[1191.94-1192.70] 我们再来看到
[1192.96-1219.58] 这个
[1219.58-1249.56] 中文字幕提供
[1249.58-1279.56] 中文字幕提供
[1279.58-1309.56] 中文字幕提供
[1309.58-1339.56] 中文字幕提供
[1339.58-1369.56] 中文字幕提供
[1369.58-1399.56] 中文字幕提供
[1399.58-1429.56] 中文字幕提供
[1429.58-1459.56] 中文字幕提供
[1459.58-1489.56] 中文字幕提供
[1489.58-1519.56] 中文字幕提供
[1519.58-1549.56] 中文字幕提供
[1549.58-1579.56] 中文字幕提供
[1579.58-1609.56] 中文字幕提供
[1609.58-1639.56] 中文字幕提供
[1639.58-1669.56] 中文字幕提供
[1669.58-1699.56] 中文字幕提供
[1699.58-1729.56] 中文字幕提供
[1729.58-1731.20] 中文字幕提供
[1731.20-1741.42] 中文字幕提供
[1741.42-1754.46] 中文字幕提供
[1754.46-1755.42] 中文字幕提供
[1755.42-1755.70] 中文字幕提供
[1755.70-1756.44] 中文字幕提供
[1756.44-1757.46] 中文字幕提供
[1757.46-1758.08] 中文字幕提供
[1758.08-1758.70] 中文字幕提供
[1758.70-1758.82] 中文字幕提供
[1758.82-1759.46] 中文字幕提供
[1759.46-1760.30] 今年的需求
[1760.30-1761.96] 因为今年的总出货量
[1761.96-1764.94] 目前都还是落后客户的期待
[1764.94-1766.72] 这个目前是这样的状况
[1766.72-1768.36] 所以我们也加紧的
[1768.36-1770.30] 在跟我们的供应商
[1770.30-1772.24] 最主要是因为我们有一些设备
[1772.24-1774.18] 的这个交集实在太长
[1774.18-1776.60] 现在我们也积极的希望供应商能够配合
[1776.60-1777.96] 能把交集提前
[1777.96-1779.94] 让我们能够顺利把我们的产能
[1779.94-1782.28] 如计划的落地
[1782.28-1784.72] 然后尽可能满足我们客户的要求
[1784.72-1785.08] 好不好
[1785.08-1786.98] 所以我想回答你的问题就是
[1786.98-1788.86] 我想我们产能计划
[1788.86-1789.96] 现在是有点调整
[1789.96-1792.64] 但是那个整体的计划没有改变
[1792.64-1798.46] 接下来接续问
[1798.46-1800.46] 之前越南厂这边
[1800.46-1802.70] 就是两绿这边的
[1802.70-1805.10] 之前越南厂两绿这边好像还在
[1805.10-1805.66] 还在tune
[1805.66-1808.14] 那目前想询问一下越南厂这边
[1808.14-1810.06] 可能PowerShift这边两绿
[1810.06-1811.78] 或是对这边的状况
[1811.78-1812.40] 对谢谢
[1812.40-1814.96] 好那个谢谢你
[1814.96-1817.92] 让我有机会说明这个越南的状况
[1817.92-1818.84] 那事实上
[1818.84-1822.08] 越南这个两绿的部分
[1822.08-1824.16] 在经过第一季以后
[1824.16-1829.08] 我们可以明显的感觉到整个的两绿的提升
[1829.08-1831.56] 是有很大的进步了
[1831.56-1833.36] 但是我们越南厂
[1833.36-1834.80] 它其实最重要的
[1834.80-1838.88] 现在的重心都还是放在我们的网通产品上面
[1838.88-1840.34] 那第一季
[1840.34-1842.14] 我们去年开始陆陆续续
[1842.14-1845.60] 又把我们的自动讯产品往这个越南厂去移动
[1845.60-1848.84] 所以我想自动讯产品是我们的第二个
[1848.84-1851.14] 那刚刚您提到的这个Shift
[1851.14-1854.22] 这个目前这个比较高单价
[1854.22-1857.68] 而且相对生产比较复杂的这个部分
[1857.68-1860.56] 现在积极的都是在我们的高雄扩产
[1860.56-1865.04] 尽可能避免越南厂所产生的影响
[1865.04-1867.16] 所以我想好消息是说
[1867.16-1869.60] 越南这刚刚提到的这个网通也好
[1869.60-1870.80] 在自动讯也好
[1870.80-1872.40] 集体整体的良率
[1872.40-1874.84] 已经随着这一个季度两个季度这样下来
[1874.84-1877.36] 我明显看到有很好的提升
[1877.36-1877.76] 那我想如果这个感觉到现在的这个市场上来说呢
[1877.76-1877.84] 那我想如果这个感觉到现在的这个市场上来说呢
[1877.84-1877.96] 那我想如果这个感觉到现在的这个市场上来说呢
[1877.96-1879.24] 那我想如果这个感觉到现在的这个市场上来说呢
[1879.24-1879.50] 那我想如果这个感觉到现在的这个市场上来说呢
[1879.50-1880.78] 那我想如果这个感觉到现在的这个市场上来说呢
[1880.78-1881.54] 我想我们在第三季的话
[1881.54-1882.56] 我想我们在第三季的话
[1882.56-1884.36] 应该也会把部分的这个
[1884.36-1887.44] 应该运算的产品往越南移动
[1887.44-1889.22] 去避免因为这个
[1889.22-1891.02] 移动的过程太过于复杂
[1891.02-1892.80] 然后造成这些良率上的影响
[1892.80-1894.86] 这个是为了整体的这样的一个
[1894.86-1897.16] 最好的一个配置来做考虑的
[1907.96-1925.40] 想请教一下对于关税有个问题
[1925.40-1927.92] 就是说如果零组件
[1927.92-1931.00] 你们是出到客户的全球hub仓
[1931.00-1935.86] 然后再由客户自行拉到比如像墨西哥之类的ODM上自行组装的话
[1935.86-1937.92] 那这些零组件是不是会认列
[1937.92-1940.06] 在就是该客户的库存
[1940.06-1942.02] 然后进一步可以规避掉
[1942.02-1943.10] 这个关税的风险
[1943.10-1946.06] 如果从我们的角度来看
[1946.06-1948.12] 事实上我们目前
[1948.12-1949.90] 并没有做关税
[1949.90-1951.50] 太大的影响
[1951.50-1953.94] 为什么因为刚刚您提到
[1953.94-1955.22] 一个很重要的事情我们
[1955.22-1957.60] 做的一些零件也好啦
[1957.60-1959.90] 或者是module也好主要都是
[1959.90-1961.62] 出到系统厂
[1961.62-1963.84] 那再由系统厂组装
[1963.84-1965.80] 然后最后才进到
[1965.80-1967.72] 美国去所以我们的
[1967.72-1969.60] 这个产品在
[1969.60-1971.56] 系统里面算是一个零件
[1971.56-1973.90] 它是搭着这个系统进去
[1973.90-1975.98] 所以不是我们直接去面对
[1975.98-1976.66] 这个关税
[1976.66-1980.18] 但是我们像我们一些光电的
[1980.18-1981.84] 产品是有一些直接
[1981.84-1983.14] 出到这个
[1983.14-1985.92] 美国市场那这个部分
[1985.92-1988.04] 事实上我们可能会透过一些
[1988.04-1990.00] 价格的调整来把这个
[1990.00-1991.80] 税的部分列了掉
[1991.80-1994.04] 但是这个占我们整体光电的
[1994.04-1995.38] 比重大概不到两个percent
[1995.38-1997.70] 我的两个percent是
[1997.70-1998.92] 营收不到两个percent是
[1998.92-2000.70] 逐出到美国去的
[2000.70-2003.12] 那其他的像一些可能应用客户的
[2003.12-2005.04] 就是accessory也有一部分
[2005.04-2006.50] 那是逐出到美国
[2006.50-2008.58] 那目前的部分因为那个比例
[2008.58-2009.52] 都非常的小
[2009.52-2010.98] 所以目前关税的部分
[2010.98-2012.36] 目前都是我们客户
[2012.36-2014.04] 帮我们carbo掉了
[2014.04-2015.90] 大概的状况是这个样子
[2027.76-2038.90] 斯坦 Rex
[2038.90-2040.24] 管理者你好
[2040.24-2041.40] 我是野春
[2041.40-2044.06] 那我想要问一下就是
[2044.06-2045.46] 因为最近台币汇率
