[0.00-3.84] 欢迎各位法人朋友参加盛群半导体
[180.94-183.50] 第一季的以实现毛利是38.3
[184.00-187.58] 那费用的部分在第一季是2.76亿
[187.84-191.42] 比去年第一季是加了大概1700万
[191.94-196.80] 那比去年第四季是减少了大概3300万左右
[197.32-203.46] 那其实公司在去年下半年事实上有针对整体的一个组织的
[203.72-205.50] 一个跟人力
[205.76-206.54] 有做了一些
[206.84-209.90] 一些精简所以我们在今年开始一些费用事实上
[210.42-211.70] 是逐步往下的
[213.50-217.58] 那为什么会比去年第一季费用看起来有增加
[217.84-221.42] 那主要是去年第一季事实上这2.56亿
[221.94-227.06] 他里面有一个就是我们针对被抵贷帐的一个回转大概5200万
[227.32-232.94] 那他主要排行去年第一季因为我们预期处理的差不多了帐上有一些被抵贷帐
[233.20-235.50] 那就就进行了回转所以
[236.02-240.88] 其实如果扣掉这一块其实对比去年第一季事实上费用还是在减少
[241.38-242.92] 那主要第一季
[243.18-245.74] 跟去年第四季跟第一季的一个
[246.26-249.32] 费用主力在人事层费用的一个下降
[250.10-252.66] 那所以我们可以看到第一季在
[252.90-253.94] 营收的
[254.18-257.26] 营收成长再加上费用下来
[257.52-260.58] 那我们在本业的部分在第一季事实上
[260.84-262.64] 是开始有获利
[262.90-263.40] 那
[263.66-265.20] 第一季的营业经历是
[265.50-266.26] 1500万
[266.78-270.62] 那业外的部分我们在业外有3100万的一个获利
[270.88-272.16] 可以看到比
[272.42-276.00] 去年第四季也比去年同期都有所增加
[276.50-282.66] 那这部分里面大概主力反映在我们转投资的收益
[282.90-284.44] 不管是去年第四季或
[284.70-285.72] 去年的第一季
[286.24-289.56] 那因为整体转投资这边的营运相对还没有脱离
[290.08-292.38] 营运的一个亏损状态
[292.90-295.46] 那今年第一季事实上我们在转投资已经认列了
[295.76-296.26] 一个获利
[296.52-298.58] 那也慢慢的回到过去
[299.08-302.42] 这些代理商开始建获利的一个状态
[302.66-304.46] 那再加上第一季里面
[304.98-307.02] 海币相对于
[307.28-308.82] 人民币跟美金是贬值的
[309.32-310.60] 所以我们在业外
[310.86-312.14] 是有
[312.40-314.70] 是有那个汇兑利益的产生
[314.96-319.30] 然后再加上基本上我们其他像利息收入啊跟一些
[319.82-325.46] 中国子公司这边的一些股贴收入所以我们在业外在第一季是有3100万的
[325.76-326.52] 一个获利
[327.04-330.10] 所以第一季在税前净利是4600万
[330.62-334.46] 那税后归属于母公司的本期净利是9000万
[334.98-338.82] 那这中间会有一个我们在第一季有认列了一个
[339.06-339.84] 锁税利益
[340.34-344.96] 那这部分是属于我台湾这边2022年申报营锁税
[345.22-347.78] 然后在3月份有核定下来
[348.02-349.06] 那核定
[349.30-353.14] 核定下来比我们当初财商所估列应退的
[353.66-355.46] 税额还多所以就会有多
[355.76-357.30] 这一块的锁税利益
[357.54-359.08] 所以我们在第一季
[360.36-362.66] 整体的EPS是0.4块
[366.26-367.78] 接着我们看一下
[368.30-370.86] 合并的一个资产负债
[371.12-374.44] 其实3月底我们整体的资产总计大概是58亿
[374.70-376.50] 我们可以看到这资产里面
[377.00-379.06] 资金的部位大概就占了5成亿
[379.30-381.10] 我们可以看到资金所谓在
[381.36-384.68] 对比去年第一季跟去年底事实上
[384.94-391.08] 随着营运的回温那我们资金部位事实上持续在增长
[391.60-395.18] 那另外就我们关注库存的一个去化状况
[395.44-396.96] 那我们可以看到事实上
[397.48-399.52] 截至3月底我们库存
[399.78-404.64] 下降到11.2亿那比去年同期15亿也比去年
[405.16-411.30] 比11.9亿都还有持续在去化那这是一个蛮好的现象
[412.58-414.38] 那接着我们看一下负债的
[414.68-415.44] 状况
[415.70-418.52] 那以盛行在流动负债其实是为止
[419.28-422.36] 大概总资产27%
[422.88-425.94] 过去去年同期跟去年底其实差不多
[426.20-428.24] 目前的流动负债
[428.76-434.90] 大概15.8亿那其中有10亿是我们对银行的一个短期的一个
[435.16-435.68] 动波
[435.92-441.82] 那负债的总计大概是占总资产35%那其实这个也没有太大的变动
[442.08-444.64] 目前的一个负债比例也还算健康
[444.94-448.78] 那以下面我们可以看到目前的一个
[449.04-453.38] 赚款应收赚款的一个收款天数大概下降到54天
[453.64-456.46] 那这也符合我们目前对于主力
[456.96-458.76] 客户的一个受信状况
[459.28-463.12] 那库存随着刚看到库存水位的下降那我们
[463.36-464.90] 持续在去化的情况下
[465.42-471.04] 那存货的一个周转天数是降到226天大概是
[471.56-474.64] 7个半月左右那我们后续会持续对
[474.94-477.50] 对现有的库存持续在消化
[477.76-479.28] 那流动比例目前是三倍
[479.54-481.84] 那看起来其实我们流动比例一直维持的很好
[482.62-485.44] 那以上大概是财务的一个说明
[491.84-497.98] 因为盛群在今年第一季的这个营收相较于去年第四季是
[498.24-498.74] 增加的
[499.00-502.08] 所以说MCU的这个销售
[502.58-504.38] 比那个营业销售额
[504.68-507.50] 也是增加的所以
[507.76-509.28] 2025年的第一季
[509.54-513.64] 整个MCU的销售金是5亿9100万
[514.16-516.46] 那QOQ是13%
[516.72-519.28] 那YY是正的85%
[521.58-527.72] 那MCU的出货数量跟去年第四季比基本上是持平的那QOQ是
[527.98-529.00] 1%
[529.26-531.30] YY是64%
[532.08-534.38] 出货的数量呢是
[534.94-536.72] 95.5k
[537.24-539.04] 那从这边可以看到
[539.28-546.72] 它的出货数量并没有增加但是它的金额是增加的那增加的主要原因是
[547.22-549.78] 今年第一季度的时候呢
[550.30-552.34] 出口到美国的这个安防市场
[552.86-555.68] 烟雾暴引器32bit的这个专用芯片
[556.18-558.48] 开始在第一季度开始
[558.74-560.80] 比较大批量的一个出货
[561.30-563.10] 所以说相同的这个
[563.60-564.12] 数量
[564.68-567.24] 但是呢它的金额呢就贡献会比较大
[570.32-571.84] 那触摸MCU呢
[572.10-576.72] 在今年第一季度的这个出货数量是12.7k
[578.00-582.34] 然后QOQ是负的14%YY是正的19%
[582.86-587.72] 那因为触摸芯片呢触摸MCU它主要用在这种智能家电
[588.24-589.00] 这方面
[589.52-592.08] 那智能家电它受到这个第一季
[592.58-594.64] 农历春节的这个影响
[594.94-597.76] 所以说在第一季它的这个数量本来就是会比较
[598.26-599.28] 下降
[599.80-604.40] 那我们的生物群的触摸芯片从2023年的Q1补底
[604.92-607.74] 那一直到2024年的下半年开始
[608.00-608.50] 那
[608.76-611.06] 代理商跟客户它的一个库存
[611.32-612.34] 逐渐去化
[613.12-618.48] 那现在这个触摸MCU呢它的订单开始就是回复到陆续
[618.74-619.26] 回稳
[619.52-620.28] 回不到
[620.80-621.30] 这个
[621.56-623.10] 这个以前的一个状态
[624.68-628.00] 那安防市场
[628.26-631.60] 刚刚有提到我们在今年第一季的时候
[631.84-634.92] 我们的这个出口到北美的这个
[635.44-638.24] 英国保险器开始在批量出货
[638.50-643.88] 所以我们在2015年第一季呢我们总出货数量是11k
[644.14-646.18] QOQ是39%
[646.44-647.72] YY是
[647.98-649.52] 246%
[650.02-650.80] 那
[651.04-654.38] 目前这个安防市场它
[654.68-659.04] 目前的订单将近有一半出到美国去
[659.54-660.32] 那
[662.10-668.24] 目前看起来它对于这个关税这一块美国关税没有太大影响
[668.50-669.78] 在今年上半年没有什么太大影响
[670.30-673.88] 反而是客户都是利用这90天的宽限期
[674.14-675.92] 拼命的去拉货
[677.20-679.52] 所以预计在今年的第二季
[679.76-681.82] 它的这个出货数量会比
[682.08-683.60] 今年第一季再增加
[684.68-690.32] 那接下来是健康
[690.82-691.60] 这个
[692.10-692.62] 产品
[693.12-696.72] 那我们今年第一季的出货数量是8.7k
[697.22-703.36] 那相较于去年第四季呢衰退38%YY是20%
[704.14-706.44] 那衰退的原因并不是因为我们的订单量
[706.70-707.20] 变少
[707.46-708.48] 最主要是
[708.74-710.54] 我们的那个交货来不及
[711.04-712.58] 那目前有很多客户
[713.10-714.38] 好几个IC的型号
[714.68-716.22] 目前都是在干
[716.48-716.98] R-RUN
[717.24-718.78] 家体在生产
[719.54-720.32] 所以在
[720.82-723.90] 第二季的时候呢它这个数量应该就回复到
[724.16-724.92] 两位数
[730.04-733.62] 接下来是BLDC的那个马达控制
[734.14-739.26] 那今年第一季的一个出货数量呢是差不多是3k
[739.76-742.32] 那QOQ是11%
[742.84-744.64] YY是469
[744.94-749.54] 那从2023年Q1开始
[749.80-750.56] 这是我们的
[751.34-752.10] 的谷底
[752.36-755.68] 那去年2024年下半年开始
[755.94-756.96] 也是因为
[757.22-760.04] 代理商跟客户的这个库存区划开始
[760.30-762.60] 那陆续的订单就开始
[762.86-763.36] 回来
[763.62-765.16] 那目前的这个
[765.42-768.24] 出货状况就是开始就是稳步的回升
[772.58-774.12] 那RF产品呢
[774.94-776.22] 在今年第一季
[776.48-779.04] 的一个出货数量是2.6k
[780.82-783.12] QOQ是少数衰退的2%
[783.38-785.44] RYY是141
[786.20-786.72] 那
[787.22-789.02] 设备IC呢
[789.28-792.34] 在去年的下半年开始
[792.60-794.90] 也是订单就开始逐渐回稳
[795.16-797.72] 那目前大概就是一个稳定的一个状态
[801.04-803.10] 那电动车的充电器
[803.86-804.64] 在今年第一季
[804.94-807.76] 出货数量的是
[808.26-810.06] 1.6k
[810.32-812.10] QOQ是正4%
[812.36-813.64] RYY是负的5%
[814.40-816.20] 那从2023年
[816.72-818.00] 到2024年
[819.28-821.32] 到目前为止基本上这个充电器
[821.58-823.36] 两轮三轮电动车充电器
[823.62-824.40] 是属于一个
[824.90-826.96] 平稳的状态
[827.20-827.72] 那
[828.24-834.38] 中国大陆的这个两轮电动车新国标在5月份的时候会有一波
[834.68-836.22] 认证的一个认证潮
[836.98-837.50] 那我们
[838.00-840.82] 我们期望说在今年下半年
[841.34-844.16] 这个订单量会开始往上增加
[847.48-849.28] 这是一个营收比重
[849.52-852.08] 2021今年第一季跟
[852.60-854.64] 去年第四季的一个比较
[855.42-860.02] 那前面有提到因为我们的这个安防产品在今年第一季
[860.28-861.82] 开始大批量的一个出货
[862.58-864.12] 所以说跟去年来比
[864.12-866.16] 它的比重从原本的9%
[866.68-868.48] 上升到18%
[869.50-872.56] 那健康产品因为第一季的这个
[872.82-873.60] 出货来不及
[874.10-875.64] 那它的出货会
[876.40-877.68] 落在第二季
[878.46-882.04] 所以说第一季的它的一个比重从16%
[882.56-883.32] 降到10%
[885.36-891.00] 那小家电这一块呢因为第一季本来就是传统的淡季
[891.52-893.82] 所以说它的一个比重从
[894.12-896.42] 去年第四季度的22%
[897.20-898.98] 稍微下降到19%
[900.00-902.56] 那其他的这些应用产品
[902.82-904.10] 它的比重大部分
[904.62-905.38] 基本上是相同的
[905.64-906.92] 没有什么太大的变化
[908.96-910.76] 以上是今天的报告
