[0.00-3.00] 各位投資先進 大家早安
[3.16-5.00] 很感謝大家來過空參加
[473.04-473.92] 比亞迪基本上的車子
[474.08-477.12] 百分之七、八十的領取就是自己供應的
[477.28-478.72] 市場自己供應的就是
[478.88-480.72] 它的供應商交半成品給它
[480.88-483.28] 由它組成成品供應交給車廠
[483.44-486.48] 所以變成是說我本來是可以交產品給你
[486.64-488.64] 變成我幫你做半成品而已
[488.80-491.92] 所以事實上過去像我們這樣子的廠商
[492.08-494.24] 其實可能在這樣子的策略上來講
[494.40-495.28] 總是會遲疑
[495.44-496.80] 所以就沒有特別加入
[496.96-499.52] 所以說比亞迪目前我們是比較沒做
[499.68-501.76] 除了比亞迪以外像吉利汽車
[501.92-502.88] 吉利汽車去年
[503.04-504.24] 它車廠百分之二十
[504.40-506.64] 其實也是市場成長很大的一個車廠
[506.80-507.44] 賣得很好
[507.60-509.28] 特別是說它有幾款車子
[509.44-510.72] 特別它現在的吉克
[510.88-512.56] 這幾天有看到吉克在講
[512.72-514.16] 它吉克的車子要先步
[514.32-516.16] 要賣一台一百萬的名品
[516.32-517.76] 大概就是四百多萬
[517.92-519.20] 它要把Land Rover幹掉
[519.36-521.76] 比如說其實中國大陸的一些品牌車廠
[521.92-523.36] 其實它的企圖性很大
[523.52-526.24] 但這些以吉利來講
[526.40-527.60] 因為我們在中國
[527.76-530.08] 當然跟的廠商都是這些大的廠商
[530.24-532.64] 像吉利、像一氣牌
[533.04-536.24] 一氣汽車企就是中國大陸領導人用車
[536.40-538.48] 就宏啟領導人用車
[538.64-539.60] 再來是長城
[539.76-542.64] 長城以前的車子就是大安廠的圖狗
[542.80-543.44] 大圖狗
[543.60-545.84] 因為大圖狗一個月才賣兩三萬台
[546.00-547.20] 也是很驚人的
[547.36-549.28] 再來就是像長安福特
[549.44-550.24] 福特汽車
[550.40-554.32] 長安福特它有跟合資的品牌在裡面
[554.48-555.76] 所以縱觀這樣來講
[555.92-561.04] 就是說以我們江蘇就是跟合資品牌合作
[561.04-565.44] 其實去年整個情況剛才已經講過
[565.60-568.08] 去年大概成長到HUD上87
[568.24-572.48] 整個市場交易量來到將近47、8萬台
[572.64-573.92] 將近50萬台
[574.08-579.12] 50萬台的市佔率大概應該是45%
[579.28-582.48] 也是中國大陸有裝HUD的車子
[582.64-585.76] 裡面有14%、15%是我們叫的
[585.92-587.04] 是很叫的
[587.20-590.56] 當然這一面有一大半可能是日系品牌
[590.56-592.56] 它做合資品牌合資的車子的
[592.72-595.52] 其他可能是我們跟其他同業在競爭
[595.68-598.08] 這個情況之下是說
[598.24-601.76] 整個中國大陸去年大概有裝HUD的車子
[601.92-604.64] 大概佔整個市場的佔有率大概在那裡
[604.80-605.92] 將近13%
[606.08-608.48] 也就是它3000萬台的車子裡頭
[608.64-611.84] 大概有390萬台是有裝HUD的
[612.00-615.28] 其中大概47萬台是裝我們家的
[615.44-616.72] 大概這下滿有的
[616.88-618.16] 我推特去郭烏說
[618.32-620.40] 今年大陸的車子會不會在實際成長
[620.56-624.96] 今年中國大陸的自主品牌的銷售
[625.12-628.00] 我覺得還是一樣會持續的增長上去
[628.16-629.52] 因為從第一、二季
[629.68-632.56] 其實整個合資品牌衰退的情況更嚴重
[632.72-635.36] 整個自主品牌其實成長得更高
[635.52-636.96] 而且剛才那個趨勢更明顯
[637.12-639.76] 就是說主力的車款其實銷售狀況還不錯
[639.92-643.60] 但是落後下面的廠商其實就是慢慢的落後下去
[643.76-648.88] 所以說今年我們在整個HUD的2025年
[649.04-650.40] 整個HUD的銷售預計
[650.56-653.60] 還是一個很樂觀的一個預期
[653.76-655.44] 當然目前來看
[655.60-658.88] 剛才有講到中國大陸當然唯一一是它的內檢
[659.04-660.64] 其實從去年來看
[660.80-662.48] 我們雖然說在它的內檢
[662.64-664.40] 當然我們還有在那樣的成長
[664.56-667.04] 但事實上從我們財務措施表現來看
[667.20-668.40] 其實內檢的過程
[668.56-671.60] 其實我們反而這幾年我們的毛利慢慢回升了
[671.76-674.72] 也就是說在這個內檢的過程裡頭
[674.88-676.16] 我們已經找到一個因應之道
[676.32-679.68] 讓我們的成本跟貨幣能夠有一個平衡
[680.56-682.80] 再來是講泰國的部分
[682.96-688.56] 泰國市場是我們近幾年發展比較著重的地方
[688.72-690.16] 因為泰國近幾年
[690.32-693.76] 當然泰國主要生產是交給日本品牌的車廠
[693.92-696.24] 其中那台TOYOTA占最大
[696.40-697.52] 其實TOYOTA最大
[697.68-699.76] 我們目前交TOYOTA整個集團
[699.92-704.24] 大概有將近35%以上都是交TOYOTA的車子
[704.40-705.76] 都是交給TOYOTA
[705.92-710.40] 但是TOYOTA這裡頭是分散在世界各地的TOYOTA
[710.56-714.96] 我們跟在泰國這邊
[715.12-720.40] 主要就是跟TOYOTA、Mitsubishi、Mista、Honda、Izuzu
[720.56-721.92] 這些廠商去做交易
[722.08-726.16] 因為整個東南亞是日系的產品銷售占比非常高
[726.32-727.12] 非常高
[727.28-730.48] 像馬來西亞可能稍微低0.0
[730.64-734.08] 像泰國跟印尼兩個主力市場
[734.24-735.84] 其實占比都超過6成以上
[736.00-738.40] 近幾年當然我要講的是說
[738.56-740.32] 2024年
[740.56-746.32] 其實是中國大陸的電動車進入東南亞市場
[746.48-748.88] 占貨最好的一年
[749.04-752.48] 因為中國大陸在2024年
[752.64-754.88] 其實它大概整個市場侵略的部分
[755.04-756.96] 它侵占了大概百分之十幾%
[757.12-758.64] 也就是說從日系品牌裡面
[758.80-760.80] 大概拿了十幾%的一個占比預料
[760.96-764.00] 也就是說整個原來日系品牌的部分就衰退下來
[764.16-767.60] 加上整個東南亞的車市
[767.76-769.52] 其實去年下半年以後
[769.68-770.48] 其實狀況是這樣
[770.64-772.88] 小股市大概衰退了將近二三十%
[773.04-776.24] 因為可能整個經濟有一些狀況
[776.40-778.08] 所以整個汽車銷售是減少
[778.24-779.52] 但是同樣的
[779.68-781.20] 我剛才講的說
[781.36-783.52] 中國大陸太古它是一個衰退的市場
[783.68-786.80] 但是我們營收整體其實成長了百分之十
[786.96-788.72] 比如說整個東南亞市場
[788.88-789.92] 其實去年有百分之十
[790.08-791.04] 那為什麼會有這樣成績
[791.20-792.64] 是因為我剛才提到
[792.80-794.88] 因為中國大陸它的競爭
[795.04-797.92] 其實這個是帶來給我們這種台資群
[798.08-799.28] 還是利多的信息
[800.56-801.84] 它是一個常多
[802.00-803.12] 是常多的信息
[803.28-804.16] 怎麼說常多
[804.32-806.80] 因為對它而言
[806.96-809.28] 其實它面對就是成本的競爭
[809.44-810.64] 它必須
[810.80-812.32] 因為從過去日系品牌
[812.48-816.40] 其實它對它的供應商的選擇很挑剔
[816.56-819.76] 大部分其實都集中在它原來的供應體系
[819.92-823.28] 也就是說它日本的系統的供應商
[823.44-825.28] 說它系統日本供應商的特色
[825.44-828.24] 就是成本高開發高開發周期差
[828.40-829.60] 因為事實上可能
[829.76-830.48] 日本的諸位成員
[830.64-831.84] 其實就一定的規範
[832.00-834.00] 所以它人的彈性可能沒那麼高
[834.16-836.40] 加上可能我們台廠
[836.56-841.12] 其實我們的背後的供應其實選擇很多
[841.28-842.88] 我們的選擇很多
[843.04-845.20] 所以我們可以應用很多的方案
[845.36-846.72] 讓它去做選擇
[846.88-847.92] 所以加貴性而言
[848.08-850.80] 它的成本就比我們高很大
[850.96-852.56] 但是就日本廠商來講
[852.72-856.16] 它在挑選它的非日系的供應商
[856.32-857.44] 其實它也很困難
[857.60-859.36] 所以它也只能夠先挑
[859.52-860.48] 本來就在日本的工廠
[860.64-863.12] 再交給它的非日系的供應商
[863.28-865.68] 所以我們就是在第一排
[865.84-868.48] 所以說我們在日系品牌這一塊
[868.64-869.84] 所獲得到的會是
[870.00-872.40] 事實上近幾年日系品牌在品質
[872.56-875.20] 我們受到它肯定的整情況之下
[875.36-878.16] 陸陸續續的把一些訂單釋放給我們
[878.32-882.56] 像車載主機過去它不會給全球訂單給我們
[882.72-885.60] 現在它也把車載的全球訂單給我們
[885.76-888.72] 全球訂單它目前就是針對某些車款
[888.88-889.68] 有開始把某些車款
[889.68-891.68] 有時候把某些車款有錢有訂單給我們
[891.84-892.88] 這個定義是什麼
[893.04-895.44] 過去我們交一個車時的音響
[895.60-897.36] 可能只能夠交東南亞而已
[897.52-899.44] 我開發一個產品花了兩千萬
[899.60-900.56] 只能交東南亞而已
[900.72-902.96] 現在我有機會交到全世界去
[903.12-905.04] 全世界的量就很大
[905.20-906.80] 全世界的量就變大了
[906.96-908.08] 所以說這個來講
[908.24-909.92] 整個交易要變大
[910.08-912.24] 第二是整個品項深度也變高了
[912.40-913.12] 深度變高
[913.28-916.72] 過去它一開始從攝像頭給我們做
[916.88-917.84] 就是攝影機給我們做
[918.00-919.52] 接下來做那個
[919.68-921.68] 攝影機機器
[921.68-923.68] 攝影機機器
[923.76-925.60] 接下來做倒攝攝影機
[925.60-926.40] 接下來做環節
[926.56-927.76] 再來做車載主機
[927.76-931.36] 現在目前為止連HUD也幾天開放沒有人做
[931.36-935.28] 所以說事實上我們在日系這邊能夠做的比現在做的越來越多
[935.44-939.28] 以過去來講人家講你們這樣市場的權力多大
[939.44-940.72] 這麼講
[940.88-942.88] 過去到目前為止
[942.88-944.80] 我們在整個東南亞的市場
[944.96-946.80] 拿到日系訂單裡的市值
[946.96-947.84] 占它不到環值
[949.68-952.88] 就是我們這樣的財品就是拿不到5%
[953.04-954.36] 大概5%左右而已
[954.52-955.88] 事實上它現在加大力
[956.04-958.32] 它每一個百分比在增加的時候
[958.48-959.40] 其實我們受跳動
[959.56-962.44] 5%其實我們大概目前來講
[962.60-966.72] 我們去年大概大陸是東南亞市大概做20億
[966.88-968.92] 如果一個百分比跳來
[969.08-972.28] 其實跳動就是大概兩三億的一個月以上去了
[972.44-974.28] 所以隨著它未來
[974.44-977.28] 它每一年度這樣持續的再下訂單給我們
[977.28-979.28] 這個在未來長期來講
[979.44-981.68] 事實上會有一個持續的發酵效果
[981.84-982.88] 直接發酵效效
[983.04-984.72] 這個是日系的部分
[984.88-986.32] 但東南亞部分除了日系部分
[986.48-987.92] 還有另外一個情況是
[988.08-991.52] 我們現在東南亞其實也慢慢在發展二輪市場
[991.68-993.40] 為什麼我們要去做二輪市場
[993.56-997.04] 不是人家講你可能四輪做不下去做二輪
[997.20-998.80] 而是因為二輪跟四輪
[998.96-1001.60] 其實在我們的產品的董內裡面
[1001.76-1003.20] 其實是高度重點
[1003.36-1005.48] 其實過去其實我們一直想做二輪
[1005.64-1006.40] 但是一直做不進去
[1006.56-1007.20] 因為我們知道
[1007.36-1011.36] 二輪的利潤比四輪高很多
[1011.52-1013.64] 像我們現在二輪的客人是像
[1013.80-1016.28] 那種Kawasaki、Ducati、Triumph
[1016.44-1017.84] 就是那種重型機車
[1018.00-1019.56] 你看Ducati跟Triumph
[1019.72-1023.72] 他們買一部重型機車動載是四、五十萬
[1023.88-1024.96] 所以它對它有一點
[1025.12-1026.88] 它的毛利是上邊也是很高的
[1027.04-1029.44] 因為它的產品標準也相對高一點
[1029.60-1031.24] 過去其實做不進去
[1031.40-1033.80] 其實因為它也一樣有它的門檻
[1033.96-1035.36] 就是不好切入進去
[1035.52-1037.12] 不好切入進去
[1037.36-1039.12] 現在我們剛好有一些機會
[1039.28-1040.56] 剛好透過一些方式
[1040.72-1042.44] 這邊可以坐
[1042.60-1043.44] 通過一些方式
[1043.60-1046.96] 剛好有人開始做二輪的產品
[1047.12-1048.68] 二輪產品當然現在目前為止
[1048.84-1051.52] 其實我們已經開始有這次交貨的時機了
[1051.68-1055.40] 除了隨著二輪市場的帶動以後
[1055.56-1056.20] 其實慢慢的
[1056.36-1058.52] 其實我們更有其他的機會進來
[1058.68-1063.48] 因為現在在我們手機已經非常的Public的情況之下
[1063.64-1066.36] 其實我們越來越多的交通工具
[1066.36-1067.56] 很多的交通工具
[1067.72-1070.68] 其實它是要跟你的手機去做連結
[1070.84-1073.00] 所以市場很多特殊的交通工具
[1073.16-1076.32] 其實它延伸了也需要車載自動性產品
[1076.48-1077.20] 目前為止
[1077.36-1079.56] 其實我們開始陸陸續續這樣的產品是什麼
[1079.72-1082.28] 比如說像農用機
[1082.44-1084.20] 像高復修車子
[1084.36-1085.76] 像沙灘車
[1085.92-1087.16] 像水上摩托車
[1087.32-1088.28] 這一類的
[1088.44-1090.12] 這一類的營收
[1090.28-1093.36] 其實它對我們來講開發的發掘都差不多
[1093.52-1095.48] 未來其實我們目前有很多這樣的機會
[1095.64-1096.28] 在
[1096.52-1098.60] 進行價值轉換
[1098.76-1100.60] 除了這個以外
[1100.76-1103.04] 泰國這邊其實還有另外的發展機會
[1103.20-1105.08] 市場在做印度市場
[1105.24-1108.92] 因為近幾年其實印度是一個
[1109.08-1111.40] 大家都目前為止可以定義到
[1111.56-1115.08] 印度是一個全球最有發展潛力的地方
[1115.24-1117.32] 但是它也有很多挑戰
[1117.48-1118.52] 它也都有挑戰
[1118.68-1121.44] 比如說在這幾天不是看那個友達
[1121.60-1123.64] 他在任列什麼收不到貨款
[1123.80-1124.48] 對不對
[1124.64-1125.52] 就列了很多
[1125.68-1129.60] 所以說你在整個供應商的觀念就很重要
[1129.76-1130.36] 供應商的觀念
[1130.52-1135.44] 像我們現在在印度的布里手業是第一個階段
[1135.60-1139.28] 事實上我們先設立我們的研發的一個辦公室在那邊
[1139.44-1141.60] 目前其實跟整個車廠
[1141.76-1144.12] 比如說像我們目前對應的Tata
[1144.28-1145.56] 因為已經在出貨了
[1145.72-1149.84] Tata其實它就好幾輪車子在跟我們做產品的開發
[1150.00-1150.96] 除了以外
[1151.12-1152.60] 近幾年我們開發另外的
[1152.76-1154.64] 因為整個印度市場
[1154.64-1155.64] 除了Tata以外
[1155.80-1157.00] 其實還有像Izuzu
[1157.16-1159.28] 還有Toyota在那邊也是發展很大
[1159.44-1161.36] 所以你只要有工廠在那邊
[1161.52-1164.04] 其實你可以趕快去銜接它未來
[1164.20-1166.88] 在整個汽車通貨發展在這階段裡頭
[1167.04-1169.56] 整個產品開發的一個把它接入進去
[1169.72-1171.96] 將來這一塊會有很大的
[1172.12-1174.72] 目前當然我們目前跟印度的交易方式
[1174.88-1176.96] 是透過泰國出貨
[1177.12-1178.72] 泰國那邊出貨
[1178.88-1182.56] 在暫時還沒有在直接當地設產
[1182.72-1184.52] 未來當然隨著看有沒有
[1184.72-1186.20] 機會比較成熟一點再看
[1186.36-1188.32] 所以至少我們目前的營運風險
[1188.48-1191.24] 先控制在一個比較穩定的情況之下
[1191.40-1194.32] 所以說重觀我們整個泰國來講
[1194.48-1198.36] 其實它在未來的發展的康點就很多
[1198.52-1201.32] 所以其他事情它都是長期的
[1201.48-1203.92] 今年可能就是比較穩定的去看這些事情
[1204.08-1206.08] 因為這些車廠的這些方向
[1206.24-1208.32] 基本上會奠定未來好多年
[1208.48-1211.92] 事實上這些今年當然可能就是稍微
[1212.08-1214.08] 讓整個集團稍微穩定的把
[1214.20-1216.08] 每一個對應都慢慢去對應掉
[1216.24-1218.84] 但是它的成績被陸續未來慢慢的發酵
[1222.08-1225.88] 剛才就是透過這一頁也很簡單的
[1226.04-1228.96] 把我們在集團的概況都先跟大家講了一下
[1229.12-1231.40] 接下來就順下我們的產品
[1231.56-1235.60] 當然這是我們公司的產品的發展的一個路面
[1235.76-1240.00] 從藍牙到車用的設產主機
[1240.16-1243.88] 到一些配件類到一些HUD
[1243.88-1248.72] 現在開發有個叫做3D的產品跟PHUD
[1248.88-1252.64] 這兩個產品目前就是在我們HUD裡頭
[1252.80-1253.88] 雖然說剛才提到
[1254.04-1255.92] 雖然說現在中國大陸很捲
[1256.08-1258.28] 但事實上捲你一定要有著策略
[1258.44-1259.92] 就是說你要有創新力
[1260.08-1261.80] 至少我們公司有創新力
[1261.96-1264.72] 創新力就是說你有新的產品可以被期待
[1264.88-1266.88] 目前事實上我們中國大陸那邊
[1267.04-1270.00] 其實陸陸續續在導入3D的產品
[1270.16-1271.80] 3D絕對是我們全球首創
[1271.96-1273.84] 目前為止大概
[1274.00-1274.96] 沒有人能夠做出來
[1275.12-1276.48] 當然我們講這個部分
[1276.64-1281.16] 就我們3D的技術已經在成熟了快第二年了
[1281.32-1284.04] 當然目前為止就是持續跟車廠去溝通
[1284.20-1288.16] 中華大陸這邊應該是有機會最快會去量產
[1288.32-1289.80] 你看今年有沒有機會
[1289.96-1292.56] 再來另外是大陸歐洲那一邊
[1292.72-1295.04] 歐洲那邊其實有幾個大廠在對應
[1295.20-1298.12] 特別是近幾年除了3D以外
[1298.28-1299.36] 還有個PHUD
[1299.52-1303.68] PHUD跟3D可能差異到就是說
[1304.00-1305.96] 我先講一下HUD的概念說
[1306.12-1309.84] 你的影像投射的時候是在你的前腦玻璃上面
[1310.00-1312.88] 所以你看到的資訊就好像這個資訊是在你車外
[1313.04-1315.76] 隨著你的車外的遠近它有分別
[1315.92-1320.52] 比如說在你車外可能在你車頭2.5公尺遠
[1320.68-1322.68] 這個是傳統的代表HUD
[1322.84-1324.44] 它是影像在你車頭而已
[1324.60-1327.64] 第二個是比較進階的叫AIHUD
[1327.80-1329.44] 叫擴充時間HUD
[1329.60-1333.04] 擴充時間HUD就是說它的資訊是會跟你的路況
[1333.20-1333.84] 是會跟你的路況
[1334.00-1335.00] 去做結合的
[1335.16-1337.08] 也就是說當你轉彎的時候
[1337.24-1340.60] 或者是當你看到它要告訴你前面有路況警訊的時候
[1340.76-1343.40] 它會告訴你就是那個方向那個位置
[1343.56-1344.88] 所以你開車在導航的時候
[1345.04-1347.64] 就很順著它的路線走就是轉彎過去的
[1347.80-1349.16] 比較不會說我右轉
[1349.32-1351.60] 它是我右轉是我右轉來給它自己去連接
[1351.76-1353.28] 就是AR是這樣子
[1353.44-1354.56] 3D又是更好
[1354.72-1357.16] 3D它本身就有更遠近的概念
[1357.32-1362.08] 就是說像剛才的AR其實它就是會有延伸的轉
[1362.24-1363.04] 但是它是畢竟來說
[1363.16-1365.60] 是SY走還是平面的資訊
[1365.76-1367.04] 但3D就是有遠近
[1367.20-1371.04] 比如當你今天一個物體越近的時候它會越大
[1371.20-1373.68] 那你看到一個物體變越大的時候
[1373.84-1376.40] 你就知道說那個距離會越來越近
[1376.56-1378.96] 它會有一個空間的概念在那邊
[1379.12-1382.36] 那3D應該是一個更好的應用
[1382.52-1384.76] 那目前就是說我們這樣的產品
[1384.92-1389.40] 在中國這邊一方面雖然說剛才講中國大陸很捲
[1389.56-1392.12] 但是你就是要在這個捲的過程開發新產品
[1392.28-1393.00] 但是你就是要在這個捲的過程開發新產品
[1393.16-1395.56] 我們的想法是當然現在捲
[1395.72-1397.96] 還是要想辦法去迎合它的市場
[1398.12-1400.44] 至少我們把市場佔有率先佔著
