[0.00-7.66] 财务长谢淑娟
[334.12-340.12] 那同時有一些供應鏈的一些需求移到越南這邊
[340.12-343.12] 如同我之前跟大家報告的一個狀況
[343.12-347.12] 我們在越南部分的供應的一個能力
[347.12-348.12] 是最強的
[348.12-351.12] 所以在這個遷移的過程當中
[351.12-352.12] 我們拿到大部分的一個單子喔
[352.12-353.12] 所以我們看到這個情況
[353.12-357.12] 我們在第三季第四季整體的一個成長的狀況
[357.12-359.12] 在綜合機構這一塊
[359.12-361.12] 我們看得到一個不錯的一個成長
[361.12-363.12] 那另外
[363.12-366.12] 我們另外日本一個Game console的一個customer
[366.12-368.12] 大家知道他們有做一些預購
[368.12-373.12] 那聽說他們報紙上面寫他們預購的一個狀況蠻不錯的
[373.12-376.12] so far我們看到他拉單的一個狀況
[376.12-378.12] 事實上也是蠻正向的
[378.12-380.12] 所以我們認為這一波應該到年底
[380.12-382.12] 應該有相當不錯的一個一個成長
[382.12-384.12] 一個成長的機會
[384.12-386.12] 那我之前跟大家說明
[386.12-388.12] 這一塊的成長的
[388.12-390.12] 幅度是
[392.12-393.12] 6到10
[393.12-397.12] 8到12個percent
[397.12-399.12] 那這一塊領域我們大概
[399.12-401.12] 到下半年整年
[401.12-404.12] 我們會把它調整到10到18個percent
[404.12-406.12] 所以整體在這塊領域裡面
[406.12-409.12] 會有比較多的一個成長的機會
[409.12-411.12] 那汽車機構件
[411.12-413.12] 我們一年多以來跟大家發說
[413.12-414.12] 在報告的時候
[414.12-416.12] 我們都講說比較低調
[416.12-419.12] 那我們逐步看到這個市場在回溫
[419.12-421.12] 那之前都是持平
[421.12-424.12] 那甚至有些時候是列為的一個衰退
[424.12-428.12] 那我們現在看到一個single digit的一個成長的一個機會
[428.12-429.12] 所以我們看到
[429.12-430.12] 這塊應該有
[430.12-433.12] 有蠻不錯的一個成長的機會
[433.12-435.12] 那我們在這個領域裡面
[435.12-438.12] 說話我們的客戶的一個狀況
[438.12-439.12] 真的是
[439.12-441.12] 保持住的
[441.12-442.12] 那我們也
[442.12-444.12] 在接單的一個狀況上面
[444.12-445.12] 我們蠻講究的
[445.12-447.12] 所以整體來看我們認為
[447.12-449.12] 這塊領域它會healthy的一個成長
[449.12-451.12] 對我們來看healthy的一個成長
[451.12-453.12] even single digit的我們仍然認為說
[453.12-455.12] 它有一個不錯的一個展望
[459.12-462.12] 我們現在的一個生產基地
[462.12-464.12] 強固型電腦在昆山汐止
[464.12-465.12] 那另外
[465.12-467.12] 大家知道我們在桃園大字廠
[467.12-469.12] 龜山工業區那邊有一個
[469.12-470.12] 執招基地
[470.12-473.12] 那我們打算把我們在汐止這邊的產能
[473.12-475.12] 把它擴增成兩倍
[475.12-477.12] 那大概在今年第三季底
[477.12-478.12] 或是第四季初的時候
[478.12-480.12] 我們就會開始營運生產
[480.12-483.12] 那不過不管怎麼樣子就是
[483.12-485.12] 這些產能都是足以應付
[485.12-487.12] 今年的一個需求
[487.12-490.12] 那展望明年我們是覺得以這樣的一個
[490.12-491.12] 準備的一個狀況
[491.12-493.12] 應該也是可以應應未來
[493.12-494.12] 一年的一些需求
[494.12-496.12] 那我們去年的一個
[496.12-497.12] KPEX金額
[497.12-499.12] 2024年KPEX金額約到
[499.12-501.12] 大概14億5000萬左右
[501.12-506.12] 我們今年看起來也大概15億上下左右
[506.12-510.12] 所以下一次我們也許就有機會把這個
[510.12-512.12] 台灣汐止這邊改成是
[512.12-514.12] 那個桃園大字廠
[514.12-517.12] 那另外基電能源這邊
[517.12-519.12] 台灣鄰國越南河內
[519.12-520.12] 那我們在越南河內這邊
[520.12-522.12] 新開的產線
[522.12-524.12] 在今年第一季的時候
[524.12-525.12] 開始營運生產
[525.12-526.12] 那從一些小量
[526.12-528.12] 從一些網通的一些產品
[528.12-531.12] 還有美系日系產品
[531.12-533.12] 都逐漸開始在那邊生產
[533.12-535.12] 那我想這也是一個不錯的一個開始
[535.12-537.12] 那塑膠事業選
[537.12-538.12] 這一樣不變
[538.12-540.12] 中國昆山越南河內
[540.12-544.12] 那大家之前也問過有關泰國的一個廠
[544.12-546.12] 我們泰國這邊仍然持續在觀察
[546.12-549.12] 適當的時候我們才開始準備一些
[549.12-552.12] 建廠投廠的一個動作
[552.12-554.12] 那也許有
[554.12-557.12] 有一些先進朋友會想到說
[557.12-559.12] 那你除了這一邊
[559.12-562.12] 越南泰國的一個營運的一個方向
[562.12-563.12] 製造的方向
[563.12-565.12] 還有沒有其他的一個領域
[565.12-568.12] 事實上我們在美國那邊
[568.12-569.12] 本來就有一些partner
[569.12-571.12] 在跟我們一些合作
[571.12-572.12] 簡單的一些configuration
[572.12-574.12] 那我們仍然具備這個能力
[574.12-578.12] 那同時我們也仍然不斷的在看
[578.12-581.12] 在美國生產製造的一個可行性
[581.12-582.12] 我們仍然是close
[582.12-583.12] 在watch這些事情
[583.12-585.12] 那我們同時在歐洲
[585.12-587.12] 也在同時做一些
[587.12-588.12] 類似一個動作
[588.12-591.12] 我們覺得在強固型電腦
[591.12-592.12] 這些方面電子產品
[592.12-594.12] 這些方面的一個製造的一個多樣性
[594.12-596.12] 多地化
[596.12-598.12] 我想是一個趨勢
[598.12-600.12] 所以這個領域假設
[600.12-602.12] 再來有更多一些進展的時候
[602.12-604.12] 才跟大家來報告
[606.12-609.12] 那我想大家在這邊可以看得到
[609.12-611.12] 就是這是2025年
[611.12-614.12] 那如同跟大家報告的
[614.12-616.12] 紅色的這是電子鍵
[616.12-619.12] 就是強固型電腦跟那個MVB機
[619.12-624.12] 那43的這個藍色跟那個灰色部分
[624.12-626.12] 這是綜合機構跟汽車機構
[626.12-627.12] Pretty much這個size
[627.12-629.12] 就是有關它營業額的一個size
[629.12-631.12] 那大家可以看得到
[631.12-634.12] 2025年的Q1這一邊
[634.12-636.12] 雖然Q2Q2略為低一點
[636.12-638.12] 那這邊增加比較多
[638.12-640.12] 但是我們認為到Q2的時候
[640.12-643.12] 這一塊紅色的領域
[643.12-645.12] 這邊會相對來說會大一點
[645.12-650.12] 然後藍色 灰色這邊會稍微小一點
[650.12-652.12] 當然它不是很嚴重的一個衰退
[652.12-654.12] 整體的營運狀況
[654.12-656.12] 仍然是很不錯的
[656.12-659.12] 那一個營運的營收的一個成長
[659.12-661.12] 我想偶爾來說我們能夠會保持
[661.12-666.12] 我剛所講的全體7到12%的一個成長的一個態勢
[666.12-667.12] 所以它
[667.12-669.12] 那整個上下半年這個比率
[669.12-673.12] 上半年我們看大概46%到48%
[673.12-674.12] 那下半年比例約當大概
[675.12-678.12] 52%到54%
[678.12-680.12] Pretty much大概以這個角度來看
[680.12-682.12] 那這些東西都是在
[682.12-685.12] 我們以新的匯率來計算過的
[685.12-687.12] 那全年大概
[687.12-690.12] 有一段看待大概就是7到12%一個成長
[690.12-692.12] 那Opere來說我們覺得
[692.12-694.12] 在Business一些Opportunity上面
[694.12-696.12] 我們能看到非常強勢的一些需求
[696.12-698.12] 客戶在這方面的需求
[698.12-700.12] 仍然是非常的不錯
[700.12-703.12] 所以我們現在唯一該做的事情就是
[703.12-705.12] 把單子把它接好
[705.12-708.12] 那把它做出去把錢把它收回來
[708.12-711.12] 那Opere來說我們現在準備開始來佈局
[711.12-714.12] 下半年還有明年一個營運的一個狀況
[719.12-722.12] 那整體的營運績效
[722.12-726.12] 我們已經連續12年持續成長
[726.12-728.12] 去年35668億元
[728.12-730.12] 那最後44.4%
[730.12-733.12] 我們也是一個健康友善的一個職場
[733.12-734.12] 那我想我們公司自己這一邊
[735.12-737.12] 大家都支持我們
[737.12-739.12] 很多人都知道我們一個
[739.12-740.12] 治理一個評鑑
[740.12-743.12] 排名都是6到28左右
[743.12-746.12] 讀懂的一個習識占比約大概40%
[746.12-748.12] 那同時我們去年度
[748.12-753.12] 也得到那個Newsweek跟Statista的一個
[753.12-756.12] 全球那個最受信賴的公司排行榜
[756.12-759.12] 這我們是覺得這是很光榮的一個獎項
[759.12-761.12] 那另外在ESG的部分
[761.12-763.12] CTPE這邊是B級
[763.12-765.12] 永續評價AA
[765.12-769.12] 這個SustainLitX ESG風險17.65
[769.12-773.12] 那MSCI ESG是PPP的一個等級
[773.12-776.12] 那後來說很簡單跟大家報告到這邊
[776.12-778.12] 那我們再來請財務長來跟大家報告
[778.12-779.12] 謝謝
[795.12-797.12] 謝謝
[806.12-810.12] 各位投資朋友大家好
[810.12-815.12] 那我們我今天來報告一下我們
[815.12-819.12] 2025年第一季的一個數字一個成果
[819.12-824.12] 那在第一季這邊呢
[824.12-829.12] 我們的營收是達到95億5200萬
[829.12-834.12] 那YY來講我們有9.7%的一個成長
[834.12-836.12] 那在營業毛利的部分呢
[836.12-839.12] 我們達到29億7100萬
[839.12-841.12] 有11.9%的一個成長
[841.12-843.12] 在毛利率的部分呢
[843.12-846.12] 有一個0.6%的一個增加
[846.12-847.12] YY來講
[847.12-849.12] 那在費用的部分呢
[849.12-853.12] 我們是守在15億4900萬
[853.12-857.12] 16.2%的一個營業費用率
[857.12-861.12] 是比去年同期是大概持平的
[861.12-863.12] 那在營業利益方面呢
[863.12-865.12] 我們是達到14億2200萬
[865.12-869.12] 營業利率達到14.9%
[869.12-875.12] 那在歸屬母公司淨利的部分是做到12億2800萬
[875.12-881.12] 在以這個成長率來講是11.2%
[881.12-884.12] EPS是1.98元
[884.12-886.12] 成長是9.4%
[886.12-887.12] 那這一季呢
[887.12-892.12] 應該算是在我們在營收營業利益跟
[892.12-896.12] 在歸屬母公司業主淨利這邊呢
[896.12-899.12] 如果以是正常淨利的部分來看
[899.12-901.12] 都是一個創新高的一季
[901.12-904.12] 我們第一季的這個成果
[904.12-908.12] 算是我們也相當不錯的一季
[911.12-914.12] 那在這個這邊我們細項來看呢
[914.12-917.12] 合併營業收入大家可以看到就是說
[917.12-918.12] 其實這幾季以來呢
[918.12-923.12] 這個95.52億都超過前面的這個四個季
[923.12-926.12] 那在合併營業利益的部分呢
[926.12-931.12] 也是一樣14.22億也是都超過前面這五個季
[935.12-936.12] 營業毛利的部分呢
[936.12-938.12] 我們是達到31.1%
[938.12-940.12] 雖然QOQ來講
[940.12-943.12] 有少了0.7%
[943.12-948.12] 那這最主要是我們這一次的佔比
[948.12-952.12] 剛剛在黃董有介紹我們前面的
[952.12-956.12] 各個事業體的一個營收的一個佔比呢
[956.12-957.12] 機構建這邊
[957.12-960.12] 綜合機構建這邊今年的佔比是比較高的
[960.12-962.12] 第一季是比較高的
[962.12-963.12] 所以因為這樣的關係
[963.12-969.12] 所以有把這個整個合併的毛利率呢
[969.12-970.12] 稍微拉高一點
[970.12-971.12] 拉下來一點
[971.12-975.12] 但是如果以各個事業體的毛利來講
[975.12-978.12] 我們每一個事業體其實都有成長的
[980.12-982.12] 那以合併利益來講呢
[982.12-984.12] 我們是達到14.9%
[984.12-989.12] 也是一個相當好的一個季
[989.12-993.12] 跟去年的第三季第二季都是大概是相當的
[996.12-998.12] 合併資產負債表來看呢
[998.12-999.12] 我們
[999.12-1003.12] 現金及其他金融資產的部分呢
[1003.12-1006.12] 還是有141億
[1006.12-1008.12] 那營收賬款是97億
[1008.12-1013.12] 比去年第四季呢是比較多
[1013.12-1017.12] 那是因為我們這一季營收也是創新高的關係
[1017.12-1020.12] 尤其是三月的營收達到37億
[1020.12-1022.12] 所以會造成這個營收
[1022.12-1024.12] 營收賬款會比較高一點
[1024.12-1027.12] 但是在周轉天數的部分呢
[1027.12-1028.12] 其實是比較低的
[1028.12-1031.12] 那在這個存貨的部分呢
[1031.12-1032.12] 是70億
[1032.12-1034.12] 跟上一季是持平
[1034.12-1036.12] 其他的部分呢
[1036.12-1039.12] 大概沒有太大的一個差異
[1043.12-1045.12] 這邊我們看營運能力來講呢
[1045.12-1047.12] 我們剛看到現金是141億
[1047.12-1048.12] 那存貨呢
[1048.12-1050.12] 這邊的周轉率呢
[1050.12-1051.12] 是87天
[1051.12-1052.12] 還比
[1052.12-1054.12] 雖然是絕對金額成長
[1054.12-1056.12] 但事實上比上一季來講
[1056.12-1058.12] 周轉天數還是有下降的
[1058.12-1059.12] 以貨來講呢
[1059.12-1060.12] 它是70億是持平
[1060.12-1062.12] 所以天數也是持平
[1062.12-1064.12] 那在這個應付賬款的部分
[1064.12-1066.12] 是有成長一些些
[1066.12-1068.12] 大概67億6400
[1068.12-1071.12] 所以它那個周轉天數是下降的
[1071.12-1073.12] 所以這樣子的營運周轉天數
[1073.12-1075.12] 整個進的來講是90天
[1075.12-1079.12] 比上一季成長多了6天
[1079.12-1081.12] 其實最主要還是應付賬款
[1081.12-1083.12] 這邊稍微減少的關係
[1085.12-1087.12] 那以我們的配息率來看呢
[1088.12-1090.12] 這個我想大家都應該知道了
[1090.12-1092.12] 我們已經公告了
[1092.12-1095.12] 我們今年的配息是6塊錢
[1095.12-1099.12] 所以大概我們的配息率是達到83%
[1099.12-1102.12] 也是比去年還要好一點
[1102.12-1104.12] 以上報告 謝謝
[1111.12-1113.12] 接下來是Q&A的時間
[1113.12-1114.12] 那各位投資先進
[1114.12-1116.12] 如果有任何問題的話
[1116.12-1117.12] 請用發言條提問
[1117.12-1120.12] 我們走到會有工作人員幫各位收取
[1120.12-1121.12] 謝謝
[1147.12-1148.12] 謝謝
[1177.12-1207.12] 
[1207.12-1237.12] 
[1237.12-1267.12] 
[1267.12-1269.12] 好 先來回答這個問題
[1269.12-1270.12] 這位先進所提的
[1270.12-1274.12] 如果二屋停站對公司的一個業績影響性是什麼樣子
[1274.12-1277.12] 我想我們整體看到
[1277.12-1278.12] 我剛剛有提到有關軍工規
[1278.12-1281.12] 一些產品的一個未來展望
[1281.12-1283.12] 事實上這不是短期的
[1283.12-1284.12] 這是中長期的
[1284.12-1285.12] 未來3到5年
[1285.12-1288.12] 我們看到的一個需求事實上是增加的
[1288.12-1291.12] 特別是我們最近在
[1291.12-1295.12] 像我剛剛跟大家報告有關精準行銷部分
[1295.12-1297.12] 在軍工這方面的
[1297.12-1299.12] 一些需求事實上比以前多很多
[1299.12-1301.12] 是倍數的增加
[1301.12-1303.12] 那我想這已經是一個趨勢了
[1303.12-1307.12] 特別在一些不同的一些
[1307.12-1308.12] 特別在裝飲上面
[1308.12-1311.12] UAV 相關UAV上面一些需求等等
[1311.12-1315.12] 這方面我想都會應用到軍工規的一個筆電
[1315.12-1321.12] 所以我想跟二屋停站
[1321.12-1323.12] 並沒有特別大的一個關係
[1323.12-1327.12] 那第二個問題就是一般筆電的能見度較低
[1327.12-1329.12] 尤其是美國市場
[1329.12-1331.12] 當然公司訂單能見度反而上升
[1331.12-1333.12] 請教原因為何
[1333.12-1334.12] 那我剛剛有做說明
[1334.12-1338.12] 事實上我們看到一個相對的情形
[1338.12-1344.12] 因為我們做的綜合計構件的一個部分
[1344.12-1346.12] 賣的是那個commercial account
[1346.12-1349.12] 事實上我們做消費性筆電的一個市場
[1349.12-1351.12] 我們是做非常低的
[1351.12-1354.12] 那整體來看我們所看到的一個情形
[1354.12-1357.12] 就美國的commercial的一個狀況是不差的
[1357.12-1362.12] 就OVO來說他們這一邊在替換一些新的筆電
[1362.12-1365.12] 特別是再來新的AI的一個筆電
[1365.12-1368.12] 真正AI筆電不管Copilot Plus
[1368.12-1372.12] 或是在尋求那個MPU的Top上面
[1372.12-1376.12] 或是另外大家都知道就是AI到AGE上面
[1376.12-1379.12] 所謂在AGE上面做Inference這一塊
[1379.12-1385.12] 那這些東西在commercial的一些筆電上面是比較容易受影響的
[1385.12-1386.12] 因為commercial筆電採購經常
[1387.12-1391.12] 一買就是要否未來五年到七年一個需求
[1391.12-1395.12] 而且有些東西他們也比較專業性比較高
[1395.12-1400.12] 而且對未來一些投資事實上是比較有這方面的一個前瞻性
[1400.12-1403.12] 那我認為這是最主要是導致這方面
[1403.12-1406.12] 這是整體一個客觀情勢上面
[1406.12-1412.12] 大家在AI的一個需求上面的一個狀況所導致的
[1417.12-1420.12] 那現在在未來的未來有什麼樣的未來的進展
[1420.12-1424.12] 未來有沒有可能的潛在競爭者
[1424.12-1427.12] 我想這指的是強固型電腦
[1427.12-1428.12] 工業電腦廠商
[1428.12-1433.12] 我想強固型電腦的一個競爭廠商
[1433.12-1436.12] 這十年來一直都不斷有新的進入
[1436.12-1439.12] 不管在台灣 在中國大陸
[1439.12-1442.12] 或是在其他一些區域
[1442.12-1444.12] 都不斷有強固型電腦廠商進來
[1444.12-1446.12] 不過這麼多年下來
[1446.12-1450.12] 我想在強固型筆電這上面主要還是三個供應商
[1450.12-1452.12] 就是我們跟另外兩家供應商
[1452.12-1453.12] 我之前跟大家說明
[1453.12-1457.12] 這三家大概加起來大概月當就90%到95%
[1457.12-1460.12] 目前看起來態勢仍然沒有改變
[1460.12-1463.12] 那有關關稅的一些因應
[1463.12-1465.12] 那上一次有跟
[1465.12-1466.12] 應該不是上次
[1466.12-1468.12] 那個關稅的一個因應
[1468.12-1470.12] 因為整體強固型電腦
[1470.12-1472.12] 歐洲來說大概製造的比例
[1472.12-1475.12] 大概90%到95%以上都是在台灣
[1475.12-1476.12] 嗯
[1476.12-1478.12] 沒有其他一些地方
[1478.12-1480.12] 非常少數可能是在美國
[1480.12-1482.12] 在歐洲或在日本製造
[1482.12-1484.12] 不過是非常非常的少數
[1484.12-1486.12] 所以我們認為關稅
[1486.12-1488.12] 假設90天以後
[1488.12-1490.12] reciprocal tax
[1490.12-1491.12] 又coming back
[1491.12-1492.12] 36%
[1492.12-1494.12] 我想這個影響的層面是一致的
[1494.12-1496.12] 所以我想
[1496.12-1499.12] 就既然大家影響是一致的
[1499.12-1500.12] 所以它就是相對性
[1500.12-1502.12] 那唯一的問題就是
[1502.12-1504.12] overall的一個需求是不是會變少
[1504.12-1505.12] 唯一是這個樣子
[1505.12-1507.12] 那我認為
[1507.12-1509.12] 這些東西是
[1509.12-1511.12] 應該不至於有太大的影響
[1511.12-1514.12] 因為基本上我們做的生意
[1514.12-1516.12] 主要在那個fortune 500
[1516.12-1518.12] 或是一些公家機關等等這方面
[1518.12-1520.12] 他們budget over來說
[1520.12-1521.12] 問題比較沒有那麼大
[1521.12-1523.12] 很快跟大家說明一下
[1529.12-1531.12] 目前客戶是否在強固型電腦
[1531.12-1533.12] 有出現AI換機槽
[1533.12-1534.12] 我想強固型電腦
[1534.12-1536.12] 賣的是Copra account
[1536.12-1538.12] 或是相關Public safety
[1538.12-1541.12] 或是Minitory上面一些需求
[1541.12-1545.12] 他們的一個更換事實上是
[1545.12-1547.12] 是比較漸進式的
[1547.12-1549.12] overall來說他們都比較cocious
[1549.12-1551.12] 會逐步來做變換
[1551.12-1553.12] 那我上次也跟大家說明
[1553.12-1555.12] 我們的確有看到這些單次
[1555.12-1558.12] 它整體的真相就是
[1558.12-1562.12] 第一個它比較需要新一代的CPU
[1562.12-1564.12] 然後它比較需要大size的Memory
[1564.12-1567.12] 還有它比較大的TB的SSD
[1567.12-1569.12] Hard disk drive
[1569.12-1571.12] 那這三個東西
[1571.12-1572.12] 我想講給大家聽
[1572.12-1574.12] 大家就知道一件事情就是
[1574.12-1576.12] 就是它單價變高
[1576.12-1577.12] 那單價變高對我們來說
[1577.12-1579.12] 事實上這是一個好消息
[1579.12-1581.12] 因為就代表我們賣的一些value的
[1581.12-1583.12] 一個amount of money
[1583.12-1585.12] 它是會增加的
[1585.12-1588.12] 那是不是要用到換機槽這個字來形容
[1588.12-1589.12] 我想我們在這個領域
[1589.12-1592.12] 不太容易出現這樣的一個狀況
[1592.12-1593.12] 那它是一個漸進式
[1593.12-1596.12] 我們事實上也看到它逐漸在發生
[1596.12-1599.12] 那如何看AI強固型電腦的一個展望
[1599.12-1603.12] 那事實上我們的一些客戶也開始在尋求
[1603.12-1608.12] 有關這些AI influence on edge的一個可能的狀況
[1608.12-1610.12] 那相當多的一些客戶
[1610.12-1614.12] 他們開始已經有在適當的deliver message出來
[1614.12-1617.12] 他們自己在發展自己在
[1617.12-1618.12] 在那個筆電上面
[1618.12-1621.12] AI強固型電腦上面的一些application
[1621.12-1623.12] 那這些都是我們急需要去配合的
[1623.12-1624.12] 一個場合
[1624.12-1628.12] 那我想這些engagement可以適當的造成
[1628.12-1630.12] 我們在這個市場上面
[1630.12-1632.12] 有更多的一個期許
[1632.12-1635.12] 那我想G-TECH神機作為一個市場上面
[1635.12-1637.12] 一個領導品牌
[1637.12-1640.12] 我們都會早期受到這些influence
[1640.12-1642.12] 這些通知來跟大家來搭配
[1642.12-1644.12] 所以我是覺得
[1644.12-1647.12] 更多這方面的一個應用的一些evolvement
[1647.12-1650.12] 對於我們神機的強固型筆電來說
[1650.12-1651.12] 我覺得是非常正面的
[1651.12-1653.12] 會帶給我們更多的應用
[1653.12-1656.12] 然後也會給我們一些銷售的機會
[1660.12-1664.12] 請問關稅部位客戶是否要求分攤
[1664.12-1666.12] 那個客戶不會要求分攤
[1666.12-1669.12] 他只會不說話然後叫我們付錢
[1669.12-1671.12] 我想就是這個樣子
[1671.12-1675.12] 不過我想我們事實上
[1675.12-1677.12] 我們所有在業界主要
[1677.12-1680.12] 我剛剛跟大家說明幾位主要的prayer
[1680.12-1683.12] 我們大家都是做調整價錢的一個因應
[1683.12-1685.12] 那這些調整價錢是因為
[1685.12-1688.12] 當然最主要就是針對美國市場
[1688.12-1691.12] 那因為我們把所有的那個
[1691.12-1693.12] 出口到美國部分
[1693.12-1695.12] 我們都把它搬到台灣來生產
[1695.12-1697.12] 所以that's why我們也希望能夠儘快把
[1697.12-1700.12] 我們桃園的廠區儘快把它擴張開來
[1700.12-1704.12] 不過我想我剛剛有幾個
[1704.12-1708.12] 幾個不同的地方說明有關關稅一些事情
[1708.12-1710.12] 我想關稅是一個overall的一個問題
[1710.12-1712.12] 那我們如何能夠讓我們可以
[1713.12-1715.12] 就適當的把一部分的價錢
[1715.12-1717.12] 把它轉嫁到客戶那邊去
[1717.12-1719.12] 我們正在這麼做也已經做了
[1719.12-1722.12] 所以我們不認為會有太大的一個狀況
[1722.12-1727.12] 台幣匯率這個等一下請財務長回答
[1727.12-1730.12] 未來中國產能是否會逐步退出
[1730.12-1734.12] 我想我們在中國大陸的一些產能
[1734.12-1737.12] 歐布來說這些建制事實上
[1737.12-1739.12] 並不是費用特別的高
[1739.12-1742.12] 那我想我們也
[1743.12-1745.12] 依著我們尋求一些新的一些生意
[1745.12-1748.12] 事實上市場上面新的一些opportunity
[1748.12-1750.12] 不斷在產生
[1750.12-1754.12] 我想擴增新的一些市場
