[0.00-8.20] 各位贵宾早安
[182.60-183.44] 所以对我们来讲的话
[183.44-184.60] 无论我们团队的国际化
[184.60-187.00] 还有能够迅速掌握和处理问题的能力非常重要
[187.00-187.76] 那除此之外
[187.76-189.36] 从在公司资源方面
[189.36-194.52] 我们也希望我们能够做到比别人稍微好一些的财务透明度
[194.52-196.52] 不敢讲说是无懈可击
[196.52-199.36] 但是每个月会公告我们的营收以外
[199.36-203.56] 也会有自己的这个盈余的尽力等等
[203.56-208.04] 然后我们今年开始也是朝向一年开四次法规会
[208.04-208.72] 就每记一次
[208.88-210.60] 在这个频率来进行
[210.60-212.68] 希望不管是投资人也好
[212.68-215.88] 或者是社会大众能够对我们公司更增强了解
[215.88-219.56] 所以我们是都很不介意跟各位有互动
[219.56-220.84] 如果大家有什么问题的话
[220.84-222.12] 也都非常欢迎
[222.12-228.32] 刚提到我们财务资讯的部分
[228.32-231.88] 我们可以看到在2024年的部分
[231.88-233.88] 我们每月会公告财务资讯
[233.88-237.04] 在这个地方也可以跟大家分享一下
[237.04-238.84] 如果要关心我们公司的财务
[238.84-239.52] 财务状况的话
[239.52-241.84] 其实可以参考一下OP margin
[241.84-244.32] 大家常常会看说是看Net income
[244.32-247.20] 不过Net income因为海运业界会受到一些
[247.20-248.32] 不要讲海运业界
[248.32-252.56] 至少我们公司会受到一些因素的影响
[252.56-253.88] 包含汇率
[253.88-255.24] 包含买卖船
[255.24-257.84] 或者是一些赔偿金等等
[257.84-259.40] 这些都是在本业以外的
[259.40-263.72] 所以当月的Net income可能会有比较大的波动
[263.72-265.52] 但是OP margin的话
[265.52-268.68] 比较能够正确的反映市场景气的情况
[268.84-271.12] 也就是我们收租金的情形
[271.12-272.40] 那我们汇扬20到后
[272.40-274.68] 我们可能会再介绍到
[274.68-276.68] 我们过去有一段时间
[276.68-279.96] 大概是在2019年之前
[279.96-283.12] 我们主要是以比较固定型租金
[283.12-286.08] 作为主要的营运方式
[286.08-288.32] 所以我们的OP margin其实相当稳定
[288.32-289.80] 那不过过去几年
[289.80-294.16] 我们慢慢转向是以指数连结型的租金为主
[294.16-295.84] 所以我们的OP margin
[295.84-298.56] 其实会随着市场波动来变化
[298.84-300.24] 所以各位看到一般来讲
[300.24-301.32] 我们有季节性的
[301.32-303.16] 就2月也是比较低的
[303.16-304.60] 那其实季节性来讲
[304.60-306.16] 应该8、9月也要比较低
[306.16-307.80] 不过去年状况比较特殊一点
[307.80-309.80] 反而是到年底的时候比较低
[309.80-314.28] 这一点我们稍微跟大家做一个分享
[314.28-316.28] 那我们今年也是已经有分
[316.28-317.88] 就是目前的财务资讯
[317.88-319.80] 然后我们第一月的时候
[319.80-325.48] 是连续去年的去年往下走的低档
[325.48-326.40] 所以呢
[326.40-328.76] 今年也是第一月二月
[328.84-330.32] 都还在往下走
[330.32-332.64] 不过我们其实看到市场在2月中的时候
[332.64-334.48] 就已经开始了反弹
[334.48-337.12] 所以我们希望在3月4月的时候
[337.12-343.12] 我们可以看到一个比较回归正常的毛利情形
[343.12-344.16] 那么另外就是
[344.16-347.40] 其实每家公司差异是在于他团队的配置
[347.40-348.12] 那散装航运
[348.12-349.92] 大家会说那就是散装船
[349.92-352.16] 都是多组船有什么不一样呢
[352.16-355.56] 其实散装船主要的差异是在于
[355.56-356.24] 应该这样讲
[356.24-357.84] 船这个东西大概分两个
[357.84-358.44] 一个是货柜
[358.84-359.60] 一个是散装
[359.60-362.48] 那散装部分有干散装和湿散装
[362.48-364.48] 湿散装所谓的wet bulb
[364.48-365.72] 指的大概就是tank了
[365.72-369.80] 在石油原油天然气化学品
[369.80-372.40] 这种东西是属于wet bulb
[372.40-373.24] 那dry bulb
[373.24-375.88] 就是我们公司所在的干散货
[375.88-377.20] 主要在就是这些什么
[377.20-378.68] 谷物矿物
[378.68-379.56] 铁矿砂
[379.56-380.60] 煤炭
[380.60-383.36] 然后等等的水泥
[383.36-387.76] 这这都是属于干散货的装载范围
[387.76-388.64] 那干散货
[388.84-389.88] 差异呢
[389.88-391.16] 干散货的状况是这样
[391.16-393.20] 因为大部分我们是货舱打开
[393.20-394.04] 船舱打开之后
[394.04-395.00] 或丢进去
[395.00-397.52] 所以一条船大部分的时候
[397.52-399.16] 其实他在货会比较单纯
[399.16-400.76] 很可能只有一种
[400.76-404.20] 所以船型会影响这条船载的是什么
[404.20-405.12] 东西
[405.12-406.48] 那我们在看船型的时候
[406.48-408.60] 其实讲主要是他的盾位
[408.60-409.88] capsule就是最大的
[409.88-411.12] 20万盾以上
[411.12-412.12] 他的max的话
[412.12-413.52] 早期是六万七千盾
[413.52-415.92] 现在大概在在八万多盾
[415.92-417.52] 八万一到八万三
[417.52-418.84] 那supermax的话呢
[418.84-421.04] 早期可能只有五万六万八
[421.04-423.72] 那现在主流应该是六万四左右
[423.72-425.44] 那handy size也是慢慢大型化
[425.44-426.56] 但是大约两次
[426.56-429.04] 大概三万七三万八是现在主流
[429.04-429.88] small handy的话
[429.88-431.80] 就是在正常的handy以下的
[431.80-433.28] 可能就两万八以下
[433.28-435.80] 总算是比较非正规的船型
[435.80-437.20] 算small handy
[437.20-438.96] 那为什么讲说盾位会造成
[438.96-440.68] 载运货物的差异呢
[440.68-444.16] 第一个是港口不一样
[444.16-446.40] 因为每个港口能靠的港
[446.40-448.80] 能够靠的船舶大小会有些差异
[448.84-451.60] 第二个是每一次出货的量也不一样
[451.60-453.96] 就像淡水河谷
[453.96-456.04] 它一出就是一大堆几十万吨
[456.04-458.24] 是几百万吨船还要排队去载
[458.24-459.96] 但有些时候你在带装米
[459.96-461.52] 带装米哪有那么多可以载
[461.52-464.16] 所以货物本身就不会有那么多
[464.16-466.80] 所以不可能有人去租一艘cape
[466.80-469.04] 来带装米
[469.04-472.76] 刚才水晶至少我没有听过
[472.76-476.84] 所以这个就是造成他载运货物不同
[476.84-478.44] 然后再来就是船上的设备
[478.44-479.40] 也不一样
[479.40-480.68] 一般来讲的话
[480.68-482.72] Caveside和Panamax这两种船型
[482.72-484.68] 船上是没有吊杆的
[484.68-487.48] 然后在Supermax以下船上是有吊杆的
[487.48-489.32] 那有吊杆有什么差异呢
[489.32-493.72] 就是如果当港口的设施没有这么完整的时候
[493.72-496.84] 你可以用吊杆来把这个岸上的货物
[496.84-498.36] 就吊到船上来
[498.36-500.76] 这样就是这样的事情
[500.76-503.72] 所以简单讲就是有附吊杆的船舶
[503.72-506.08] 可以进行装载工作
[506.08-507.68] 那如果是没有吊杆的船舶
[507.68-510.80] 就必须要依赖岸上的设备来进行装载工作
[510.80-513.32] 所以这就会造成一个差异
[513.32-516.28] 那希望刚刚讲的就是这跟货物有关系
[516.28-518.48] 有些货物
[518.48-520.20] 水泡砂水泥也好
[520.20-522.16] 煤矿纸浆这一类的
[522.16-523.72] 他的货物非常的单纯
[523.72-526.16] 所以用Conveyor用输送带就可以载
[526.16-527.12] 没有问题
[527.12-528.64] 有时间如果大型引擎
[528.64-530.92] 比如说说风力发电的风扇
[530.92-534.00] 那你有办法用Conveyor去载吗
[534.00-535.44] 恐怕是没有办法
[535.44-536.76] 像这种情形下的话呢
[537.68-539.08] 就会有一个差异
[539.08-542.68] 所以在不同的东西所运用的船舶设备
[542.68-544.16] 也会有点不太一样
[544.16-546.92] 所以以上这些都会造成船型的差异
[546.92-550.00] 跟市场的区隔的一个连结
[550.00-552.00] 所以有时候我们在看船公司都会想说
[552.00-553.76] 为什么现在这个市场
[553.76-555.20] 为什么他说他现在变好
[555.20-556.16] 他变差了
[556.16-558.96] 那其实有可能是因为他们经营的船型不一样
[558.96-561.52] 那这个部分我们稍后也会再跟大家
[561.52-564.24] 稍微讨论一下不同的船型
[564.24-566.88] 市场上表现的一个差异
[566.88-569.24] 那么刚刚讲到因为船型又有所不同
[569.24-571.04] 那我们那就比比较什么
[571.04-572.60] 董事会成员大家的习惯
[572.60-573.68] 或公司文化
[573.68-575.56] 大家可以具体看出来的东西是
[575.56-578.00] 船型大家投资的东西不太一样
[578.00-579.52] 像以运民来讲的话
[579.52-582.12] 他大概就是以Capsize和Panamens为主
[582.12-583.88] 但Handy和Small Handy基本上就没有
[583.88-585.08] 那他有一些Others
[585.08-586.80] 就是以前是做水泥船
[586.80-590.16] 但是现在做比较多风电方面的工作船
[590.16-591.72] 所以他的投资是像这样的
[591.72-594.52] 那像中航的话就是很着重在Capsize
[594.52-596.28] 那新兴也是大型船
[596.88-599.52] 那台湾的话就是Supermax和Handy比较多
[599.52-601.60] 那台航也会比较多Supermax
[601.60-603.88] 所以那相对来讲我们的话呢
[603.88-605.64] 是Capsize是最少的
[605.64-607.56] 其他的都有
[607.56-611.48] 那我们这个跟公司的经营策略有关系
[611.48-613.24] 那因为每一个不同的船型
[613.24-617.04] 它面对的市场是有一定程度差异的
[617.04-618.72] 我们不太像Container
[618.72-619.56] Container的话呢
[619.56-622.68] 基本上越大型的船效率越高
[622.68-625.00] 只是你要有这么多货就在
[625.00-626.64] 但是呢散装船
[626.88-630.08] 大的船不太会跟小型船抢货
[630.08-633.08] 市场比较极端的时候会
[633.08-634.92] 但是有限度
[634.92-636.36] 因为就像刚刚讲的
[636.36-639.60] 有些港口大船进不去
[639.60-640.80] 所以他没办法去抢
[640.80-643.08] 就算他有低价抢市也没办法
[643.08-645.88] 所以各位有时候会看到散装船
[645.88-648.16] 如果我们从四个船型来看的话
[648.16-651.32] 有时候Capsize的每日租金比Handy才小
[651.32-652.92] 这是一个很奇怪的事情
[652.92-654.00] 为什么你要
[654.00-656.84] 你租金都一样的话还更便宜
[656.88-658.56] 为什么你不租20万吨
[658.56-660.76] 你又有3万吨或20万吨
[660.76-662.08] 一定可以载啊
[662.08-663.20] 不见得
[663.20-663.96] 因为就刚刚讲
[663.96-666.24] 这是一个船型和港口的限制
[666.24-669.08] 更不要讲说大船一般来讲会比较耗油
[669.08-672.80] 所以其实散装船在市场不是很
[672.80-675.08] 尤其是在市场不太好的时候
[675.08-676.60] 很容易出现这种倒挂
[676.60-678.88] 就是大型的船
[678.88-679.92] 成本高
[679.92-680.64] 耗油高
[680.64-682.20] 日租金是低的
[682.20-682.88] 奇怪
[682.88-686.00] 但是这个就是散装船业界的一个
[686.88-688.48] 刚刚发生的一个情况
[688.48-689.24] 那么
[689.24-691.20] 藉由我们分散不同的船型
[691.20-694.32] 我们认为这样子可以更好的
[694.32-695.80] 去做到分散风险
[695.80-699.60] 那么也同时也可以打造一个更全面性的船队
[699.60-702.00] 也和我们的租家有更完整的配合
[702.00-705.84] 所以这个是我们做不同船型的原因
[705.84-708.28] 那各位有可能会有些投资人就会问
[708.28-710.24] 那奇怪那别人不会这样做吗
[710.24-712.36] 这个是我想是一个策略的问题
[712.36-713.80] 因为大的船舶
[713.80-715.48] 它的越大的船
[715.48-716.44] 其实它载用的货物
[716.44-716.84] 越单
[716.88-717.60] 越少船舶
[717.60-719.48] 靠舶的港口也越固定
[719.48-721.60] 所以其实比较好管理
[721.60-722.16] 这样
[722.16-723.52] 可是它的资本支付比较多
[723.52-725.16] 所以它风险会比较高
[725.16-728.28] 所以对于一些很多公司来讲
[728.28-729.96] 就认为说那我再大
[729.96-731.12] 做大的就好了
[731.12-732.40] 就没有什么问题
[732.40-733.84] 反正跟着市场走
[733.84-736.44] 那这个也当然也是一种策略
[736.44-738.20] 不过我们公司的策略就不太一样
[738.20-739.52] 尤其像cap size
[739.52-741.04] 我们是不太做的
[741.04-743.40] 不太做的原因是因为cap size
[743.40-745.36] 这个市场上的pay 比较少
[745.36-746.24] 一般都是矿场
[746.24-748.56] 或是钢厂比较为主
[748.56-750.08] 所以在这种情况下的话
[750.08-750.92] 我们觉得
[752.04-753.52] 船东是比较弱势的一方
[753.52-755.88] 所以我们不太喜欢做cap size
[755.88-757.52] 那过去有做了三艘cap size
[757.52-759.84] 主要是因为有15年长期租约
[759.84-761.80] 那这三艘已经有两艘卖掉
[761.80-762.56] 解约卖掉
[762.56-764.20] 那现在只剩一艘
[764.20-767.12] 这是我们在船型配置上
[767.12-768.16] 目前的一个状况
[769.76-772.20] 那我们这边同业也帮大家准理一下
[772.20-773.56] 同业营收准议
[773.56-776.04] 这其实是去年Q1到Q3的
[776.04-778.24] 因为年报的话本公司已经结束来了
[778.24-780.44] 但并不是每家公司都结出来了
[780.44-782.20] 所以我们不希望说丢出来
[782.20-783.80] 然后空一大堆
[783.80-784.36] 不太有意思
[784.36-788.20] 所以就这边是去年前一到三季的
[788.20-789.40] 给各位参考
[789.40-791.40] 那我想我们在各方面的表现
[791.40-792.84] 应该都是还算是可以的
[792.84-795.00] 那同时我们的revenue也是比较大
[800.44-802.48] 那么刚刚跟各位报告过说
[802.48-805.64] 我们公司的一个业务的状况
[806.04-807.76] 其实是一个很细腻的结构
[807.76-812.12] 其实散装船是一个
[812.12-813.32] division of labor
[813.32-816.12] 就是分工蛮细腻的一个产业
[816.12-819.28] 有些公司它只是投资船
[819.28-820.96] 它只是一个asset owner
[820.96-822.20] 它不管理的
[822.20-823.00] 它什么也不做
[823.00-824.00] 它就是投资船
[824.00-825.80] 反正就是赚一个回报
[825.80-829.28] 有时候甚至还把这个船是用售后租回
[829.28-831.72] 然后就是付买回的方式租给别人
[831.72-833.92] 它就是跟租赁公司一样赚个报酬率
[833.92-834.92] 这种船东也有
[836.04-838.56] 船东除了买船以外
[838.56-840.68] 都还要担负asset risk
[840.68-842.92] 就是船舶的涨价或跌价它也赔
[842.92-844.84] 所以它其实它会
[844.84-848.20] 它比较着重在资产的增值
[848.20-849.60] 做一个投资
[849.60-851.68] 那有一些船东则是说
[851.68-852.80] 那我还是多加管理
[852.80-853.92] 那管理钱我也要赚
[853.92-855.68] 那管理的钱一方面就是
[855.68-858.00] 这需要一些经验很融合
[858.00-859.92] 二方面它要担一些风险
[859.92-864.08] 所以其实不同的这个市场定位
[864.08-865.88] 跟它所承担不同风险是有的
[866.04-867.32] 有关系的
[867.32-868.44] 那当然也有一些船东
[868.44-869.88] 就是说那我要更多做一步
[869.88-871.08] 我连commercial management
[871.08-873.44] 就是在什么货我都要看
[873.44-874.20] 这样也有
[874.20-877.04] 所以这样完整才是一个
[877.04-878.60] 然后再加上揽货这些
[878.60-881.64] 这是一个完整的一个船的产业链
[881.64-883.44] 那我们惠阳公司的产业链
[883.44-885.48] 主要是我们持有船舶
[885.48-889.24] 也负责船舶的资产增值风险
[889.24-890.68] 增值或贬值风险
[890.68-893.04] 然后也营运风险
[893.04-895.88] 所以我们是船舶是长租给
[895.88-896.64] 住家
[896.64-899.08] 但是我们不负责揽货这一段
[899.08-901.24] 所以船舶要从哪里
[901.24-903.48] 载什么货到什么地方
[903.48-905.84] 这一段原则是我们是不管的
[905.84-907.72] 那以前我们跟住家
[907.72-909.60] 比较常见的合作方法是
[909.60-910.68] 既然我不管
[910.68-911.76] 我就当房东
[911.76-914.00] 你就一天付给我一万
[914.00-914.84] 一万二
[914.84-915.72] 其他我都不管你
[915.72-917.56] 你赚三万也是你的事
[917.56-918.80] 那我们现在的话
[918.80-919.80] 则是比较多
[919.80-922.32] 就是过去这种叫做TC的固定租金
[922.32-924.12] TC就是time charter
[924.12-925.84] 大部分都是说固定租金
[925.88-929.44] 但这几年因为我们的不管是财务结构各个方面
[929.44-930.08] 也变得更好
[930.08-931.24] 公司的规模
[931.24-935.32] 然后而且在我们对市场其实长期来讲还是比较乐观的
[935.32-938.36] 所以我们这几年比较多增加指数连结
[938.36-939.40] 这种方式
[939.40-941.64] 那指数连结的意思就是说
[941.64-945.36] 租家一样决定从哪边载货到哪里去
[945.36-946.92] 所以他们赚这个运费
[946.92-951.08] 但是他付给我们的租金不再是固定讲好
[951.08-952.64] 说三年都是这个
[952.64-954.56] 不是这样
[954.56-955.64] 他会跟我们做了
[955.88-958.44] 我们看指数
[958.44-960.88] 因为传播有个好处
[960.88-962.36] 有一个BDI
[962.36-963.44] 大家可以参考
[963.44-965.52] 他们就说这个指数是多少
[965.52-966.36] 我就付你多少钱
[966.36-968.72] 而且每日结算
[968.72-970.60] 所以这样形形下
[970.60-972.60] 其实我们会市场的波动
[972.60-974.84] 我们会承担一部分的风险
[974.84-978.72] 当然并不代表我们会承担百分之百的市场风险
[978.72-981.04] 因为任何一个市场水准
[981.04-985.84] 其实实际上在在运货物的时候都还是会有高低有落差
[985.88-993.48] 所以也不是说我们完全把市场风险全部都拿下来
[993.48-996.68] 但是我们现在负担是比较多的风险
[996.68-1000.72] 所以造成我们的margin会波动比较大
[1000.72-1002.84] 刚刚讲这种长期租约
[1002.84-1006.84] 也就是找寻一个比较优质的客户进行长期的配合
[1006.84-1010.20] 这个目前大概占我们整体revenue的89%
[1010.20-1012.12] 另外还有一些短约的
[1012.12-1015.72] 就是包含是一年以下的租约
[1015.88-1018.60] 我们就随行之就是短期的合作
[1018.60-1020.36] 或者是说单程的
[1020.36-1023.48] 就是今天我们就从印尼再到印度
[1023.48-1025.80] 这样这个也是这种tct
[1025.80-1027.60] 这种是短期的短约
[1027.60-1029.24] 然后另外还有运费
[1029.24-1032.60] 运费的话大部分是刚讲的这种
[1032.60-1034.76] 实际上负责软货的比较会有
[1034.76-1036.04] 那他运费的算法
[1036.04-1039.12] 大部分是我们今天在一个货物几吨
[1039.12-1041.28] 那一吨多少钱用什么方法来算
[1041.28-1043.40] 所以他的计费方式有点不太一样
[1043.40-1045.48] 简单讲的话
[1045.88-1048.96] 就是说这个有点像这个有点像这个租车
[1048.96-1051.08] 以租车公司来看的话
[1051.08-1053.28] 最左边这就是长期租车公司
[1053.28-1055.80] 然后这个中间这个的话就是比较短期的
[1055.80-1056.84] 可能就是计程车
[1056.84-1057.96] 你要包日的
[1057.96-1061.84] 然后最后一个就是算实际上里程里程数是多少
[1061.84-1064.84] 然后用我们来算钱的
[1064.84-1067.28] 那另外我们还有一些小小的传播管理收入
[1067.28-1068.32] 但这个都非常小
[1068.32-1070.20] 所以我们营收结构来讲
[1070.20-1072.88] 最主要的还是跟长期租车合作
[1072.88-1075.32] 那这个也是我们认为我们在
[1075.32-1076.60] 策略上来讲
[1076.60-1077.64] 比较重要的一块
[1077.64-1081.36] 因为挑选住家对我们来说是一个非常重要的事情
[1081.36-1082.56] 那所以目前来讲的话
[1082.56-1083.72] 不管像Cargill
[1083.72-1084.64] Vitara
[1084.64-1085.44] Swiss Marine
[1085.44-1087.88] 这些主要是以欧系公司为主
[1087.88-1089.64] 都是我们很重要的住家
[1089.64-1090.48] 那以前的话呢
[1090.48-1092.16] 我们也有很多日本的住家
[1092.16-1095.20] 那不过日本的住家其实在金融风暴的时候
[1095.20-1096.92] 他们就
[1096.92-1098.32] 活动就少了很多
[1098.32-1098.84] 所以呢
[1098.84-1100.52] 其实大概在1415年之后
[1100.52-1103.60] 他们在海外租款活动就开始下降
[1103.60-1104.80] 目前不是不租啦
[1104.80-1107.52] 但是他们的出价就比较不是很理想
[1107.52-1110.40] 而且他们也比较习惯用固定租金的方式
[1110.40-1112.28] 那所以常常就是在价格上
[1112.28-1114.48] 比较不容易打成共识
[1114.48-1119.08] 所以这个是造成我们这个目前在住家的组成上面
[1119.08-1120.40] 会有一些调整
[1122.52-1124.44] 那刚刚有跟各位提到
[1124.44-1126.76] 我们这个很多营收是跟指数连结的
[1126.76-1128.32] 那就是大家就会想说
[1128.32-1129.92] 那大家到底是有多少
[1129.92-1133.24] 那以10以跟着你2025年2月来讲的话
[1133.24-1134.08] 目前大概有
[1134.08-1137.60] 82艘船是用指数连结的
[1137.60-1139.56] 所以这个金额还不少
[1139.56-1141.28] 那我们这边的话呢
[1141.28-1144.28] 就可以看到这个对我们的营收就有一定程度的波动
[1144.28-1147.00] 所以如果是去年的Q1大概是
[1147.00-1148.32] 可能BPI是1万
[1148.32-1150.68] 然后BSI是1万3
[1150.68-1152.64] 那到了今年的Q1的话呢
[1152.64-1154.20] 目前来讲可能就只有
[1154.20-1156.40] 分别只有八九千这样
[1156.40-1159.40] 所以对营收来讲的话就是会有一个比较大的影响
[1159.40-1160.00] 那当然呢
[1160.00-1162.40] 所以市场如果往上走的话
[1162.40-1163.20] 这个也会
[1164.08-1165.08] 有些变化
[1167.32-1170.48] 那另外我们在整个船队的经营上
[1170.48-1172.52] 还有一块是自营船队
[1172.52-1174.84] 自营船队其实目前它的影响
[1174.84-1175.60] 越来越小
[1175.60-1177.40] 尤其在市场变好的时候
[1177.40-1179.76] 因为我们自营船队第一个船数不会很多
[1179.76-1181.80] 目前大概只有50号而已
[1181.80-1183.12] 而且都是偏小型
[1183.12-1184.44] 然后偏老的
[1184.44-1186.96] 因为我们平均船龄大概是8年左右
[1186.96-1189.48] 所以这个船龄12.4是比较老的
[1189.48-1192.32] 大部分都是以短程度约为主
[1192.32-1193.44] 那这个部分的话呢
[1194.08-1196.12] 是一个策略性的业务
[1196.12-1200.76] 我们认为贴近市场才能够比较了解市场的状况
[1200.76-1204.00] 因为这个是自营船队主要是这样的性质
[1204.00-1206.36] 但是在我们的营收来说的话
[1206.36-1207.80] 相对来讲并不是很重要
[1209.96-1212.36] 那我们公司在营运来讲的话
[1212.36-1213.32] 跟其他船公司
[1213.32-1214.52] 它有个比较不太一样的事
[1214.52-1215.64] 其实我们传统而言
[1215.64-1216.72] 新船是比较多的
[1216.72-1218.52] 我们都造比较多新船
[1218.52-1221.32] 那当然这两年数量其实减少了蛮多
[1221.32-1223.32] 不过我们目前的新船
[1223.32-1226.40] 就是在造的整个总数
[1226.40-1228.20] 大概也没有输给别人
[1228.20-1230.96] 可能还是算是台湾传统来讲
[1230.96-1232.68] 应该是最多的
[1232.68-1234.16] 那么2024年的话
[1234.16-1236.00] 我们总共交了4条新船
[1236.00-1237.64] 各位也看得到
[1237.64-1239.20] 相对于
[1239.20-1247.12] 相对于去年整体的margin是33.31
[1247.12-1251.88] 我们新船呢是达到了53.51
[1251.88-1253.16] 所以其实有一个蛮好的
[1253.16-1254.64] 一个差距
[1254.64-1256.28] 那为什么会有这样的差距呢
[1256.28-1258.04] 第一个是因为新船也比较好租
[1258.04-1260.24] 所以租家比较有机会
[1260.24-1263.08] 我们比较有机会跟租家拿到一些premium
[1263.08-1264.60] 那第二个是因为呢
[1264.60-1267.72] 我们2024年造新船来讲的话
[1267.72-1268.52] 回归三年
[1268.52-1270.84] 这个2021
[1270.84-1271.76] 相对而言
[1271.76-1274.76] 其实它的船价不是很高
[1274.76-1276.88] 所以我们觉得2024年
[1276.88-1280.80] 这个成本上也是有一些优势的
[1280.80-1282.48] 所以我们过往年来讲
[1282.48-1286.12] 大部分的时候新船的margin其实都会比
[1286.12-1288.80] 整体来就是整体的margin来的高
[1288.80-1296.04] 所以这也是我们公司进行持续都进行新船定造的一个蛮重要的一个动力
[1296.04-1298.32] 因为我们发现其实新船营运效率还是很好
[1298.32-1301.96] 尤其在未来这个业势级越来越重要之后
[1301.96-1306.16] 新船这一块我想在策略上是有它的必要性
[1308.24-1309.64] 那2025年的话
[1309.64-1311.08] 目前我们估计的新船
[1311.08-1311.96] 大概都是第四季才会交船的
[1312.48-1313.84] 那都是handy size
[1313.84-1315.88] 各位知道其实这个是
[1315.88-1319.28] 以汇扬来讲算是很少的
[1319.28-1320.04] 就是船很少
[1320.04-1322.80] 以前我们多的时候一年都交过10条船以上
[1322.80-1324.96] 那这两年的话就
[1324.96-1327.60] 这个数字是有减少的
[1327.60-1329.60] 那未来还要不要再定造这个还要看情况
[1329.60-1331.08] 因为其实近期
[1331.08-1332.68] 稍后我们可以跟大家分享
[1332.68-1334.72] 这个船价的
[1334.72-1335.60] 变化还蛮大
[1335.60-1337.44] 因为成本整个都在提高
[1337.44-1341.12] 所以呢我们怎么样是最适当的时机
[1341.12-1342.44] 也是需要一些
[1342.48-1343.12] 一些观察
[1345.84-1349.64] 那我们换约其实在我们固定租金的时候
[1349.64-1350.80] 一直都是很重要的一块
[1350.80-1351.96] 我要先跟大家说明一下
[1351.96-1354.04] 因为其实我们这个slides
[1354.04-1355.60] 我们因为固定都有在做法轴会
[1355.60-1358.92] 我们公司的slides其实是尽量是固定的template
